[00:00:00.349 --> 00:00:02.210]  Emergency Tuesday broadcast.
[00:02:50.015 --> 00:02:54.454]   still await the communist style circus of the january sixth committee
[00:02:54.630 --> 00:03:00.331]  You can't lock up a whole group of people and somehow identify them as terrorists in advance.
[00:03:00.871 --> 00:03:05.092]  A terror event on your own people to prevent terrorism, just, that doesn't make sense.
[00:03:06.206 --> 00:03:12.652]  And we won't ignore what our intelligence agency have determined to be the most lethal terrorist threat to the homeland today.
[00:03:14.694 --> 00:03:16.176]  White supremacy is terrorism.
[00:03:17.051 --> 00:03:22.272]  If you aren't up to speed, China's policy of mass genocide is skyrocketing.
[00:03:22.592 --> 00:03:36.195]  After killing a reported 1.2 million Tibetans, the Chinese army continued its progress towards Lhasa in a peaceful march that the Chinese news broadcast to their people.
[00:03:36.475 --> 00:03:55.740]   It was with more curiosity than animosity that the Tibetan population, isolated from the world for centuries, watched the arrival of these strange invaders These satellite images show the site where Terseny says she was held, sharing a cell with 13 other women with a bucket for a toilet.
[00:03:55.780 --> 00:03:57.361]  And she's haunted by one image.
[00:03:57.181 --> 00:04:03.501]   images show the site where Terseny says she was held, sharing a cell with 13 other women
[00:04:03.501 --> 00:04:09.421]   with a bucket for a toilet. And she's haunted by one image, masked men coming down a camp
[00:04:09.421 --> 00:04:12.620]  corridor like this one after midnight.
[00:04:12.620 --> 00:04:15.501]  They were three men.
[00:04:15.433 --> 00:04:17.396]  Not one, but three.
[00:04:18.698 --> 00:04:22.425]  They did whatever evil their mind could think of.
[00:04:23.010 --> 00:04:30.692]  And they didn't spare any part of my body, biting it to the extent that it was disgusting to look at.
[00:04:31.152 --> 00:04:45.875]  And imprisoning 5,000 Christians, including 1,000 Christian leaders, not to mention a myriad of horrific human rights abuses against the Chinese people, including forced abortion, sterilization, and organ extractions.
[00:04:46.335 --> 00:05:02.042]   For over a decade, the People's Republic of China ...has stood publicly accused of acts of cruelty and wickedness that match the cruelty and wickedness of medieval torturers and executioners.
[00:05:03.923 --> 00:05:13.288]  It's stated with certainty that in China, forced organ harvesting from prisoners of conscience has been practiced for a substantial period of time.
[00:05:14.212 --> 00:05:29.951]  The report underscored that there were extraordinarily short waiting times for organs to be available for transplantation, and numerous websites advertised hearts, lungs, and kidneys for sale, suggesting an on-demand industry.
[00:05:30.712 --> 00:05:56.717]  The Olympics themselves have been a historic ratings disaster, but NBC keeps on pushing their departure from compassion, common sense, and moral courage into the homes of any American gullible enough to sit transfixed by the brutal spectacle that is less than a decade away from having a hand in toppling Western civilization under the New World Order plan known as Agenda 2030.
[00:05:57.598 --> 00:05:59.598]  John Bowne reporting.
[00:05:59.598 --> 00:06:06.598]  [Music]
[00:06:06.598 --> 00:06:14.807]   After discussing with cabinet and caucus, after consultation with premiers from all provinces and
[00:06:14.807 --> 00:06:19.598]   territories, after speaking with opposition leaders,
[00:06:19.598 --> 00:06:28.598]   the federal government has invoked the Emergencies Act to supplement provincial and territorial capacity
[00:06:28.598 --> 00:06:32.598]  to address the blockades and occupations.
[00:06:33.410 --> 00:06:34.530]  I want to be very clear.
[00:06:35.511 --> 00:06:48.776]  The scope of these measures will be time-limited, geographically targeted, as well as reasonable and proportionate to the threats they are meant to address.
[00:06:49.716 --> 00:06:58.080]  The Emergencies Act will be used to strengthen and support law enforcement agencies at all levels across the country.
[00:06:59.000 --> 00:07:07.786]  This is about keeping Canadians safe, protecting people's jobs, and restoring confidence in our institutions.
[00:07:09.465 --> 00:07:14.288]  Here's how the measures we're taking today will help get the situation under control.
[00:07:15.529 --> 00:07:30.719]  The police will be given more tools to restore order in places where public assemblies can constitute illegal and dangerous activities such as blockades and occupations as seen in Ottawa, the Ambassador Bridge and elsewhere.
[00:07:31.940 --> 00:07:37.624]  These tools include strengthening their ability to impose fines or imprisonment.
[00:07:38.999 --> 00:07:51.124]  The government will designate, secure and protect places and infrastructure that are critical to our economy and people's jobs, including border crossings and airports.
[00:07:52.325 --> 00:07:59.008]  We cannot and will not allow illegal and dangerous activities to continue.
[00:08:00.441 --> 00:08:10.006]  The Emergencies Act will also allow the government to make sure essential services are rendered, for example, in order to tow vehicles blocking roads.
[00:08:11.807 --> 00:08:27.776]  In addition, financial institutions will be authorized or directed to render essential services to help address the situation, including by regulating and prohibiting the use of property to fund or support illegal blockades.
[00:08:29.076 --> 00:08:38.089]   And finally, We'll enable the RCMP to enforce municipal bylaws and provincial offenses where required.
[00:08:39.571 --> 00:08:42.874]  This is what the Emergencies Act does.
[00:08:44.216 --> 00:08:48.821]  Let me be equally clear about what it does not do.
[00:08:49.778 --> 00:08:53.579]  We're not using the Emergencies Act to call in the military.
[00:08:54.540 --> 00:09:00.002]  We're not suspending fundamental rights or overriding the Charter of Rights and Freedoms.
[00:09:00.782 --> 00:09:03.923]  We are not limiting people's freedom of speech.
[00:09:04.323 --> 00:09:07.625]  We are not limiting freedom of peaceful assembly.
[00:09:07.925 --> 00:09:13.467]  We are not preventing people from exercising their right to protest legally.
[00:09:14.927 --> 00:09:24.134]  We are reinforcing the principles, values, and institutions that keep all Canadians free.
[00:09:25.414 --> 00:09:39.414]  [Music]
[00:09:39.414 --> 00:09:51.414]   Trudeau is delivering on Klaus Schwab's stated goal to use worldwide lockdowns to trigger peasant revolts,
[00:09:51.414 --> 00:10:00.474]   which could then be used as a pretext to bring in permanent martial law through the private central banks' alliance
[00:10:00.474 --> 00:10:07.423]   with big tech to surveil and control and censor and debank and deplatform
[00:10:07.423 --> 00:10:14.414]   anyone that criticizes the ongoing martial law medical tyranny expansion.
[00:10:14.414 --> 00:10:22.414]   And that's where we are on this live Tuesday, February 15th, worldwide transmission.
[00:10:22.949 --> 00:10:38.762]  We have the ruling class, the mega banks, the most powerful billionaires and families on earth, waging war on civilization, waging war on our very biology, waging war on our very children and our families.
[00:10:42.825 --> 00:10:45.027]  We have the incredible news, stack of news right here.
[00:10:46.283 --> 00:10:47.303]  With major U.S.
[00:10:47.343 --> 00:10:56.167]  newspapers parroting the Canadian papers saying that freedom is a bad thing and that the word freedom is racist.
[00:10:58.568 --> 00:11:11.112]  Also, major Department of Education organizations are coming out and saying no one should be allowed to say Mr. or Mrs. This is a fundamental attack on the biology of humans.
[00:11:12.733 --> 00:11:15.614]  This is a biomedical takeover.
[00:11:17.312 --> 00:11:22.453]  We're going to be covering it all here today, and anyone signing on to this pretending like you're going to get ahead is a fool.
[00:11:22.513 --> 00:11:32.135]  This is a total enslavement system that is unspeakably evil, and they just hope the public goes into mass Stockholm Syndrome and submits, but that's not happening.
[00:11:32.675 --> 00:11:44.037]  So we force them to accelerate their program of control and to compact it in over just a few years instead of the next decade, and that is going to end up being explosive.
[00:11:45.532 --> 00:12:21.745]   In so many ways, and you know now that the civil emergency, the martial law, the financial martial law has been announced in the area of Canada that they're going to now trigger the violence as the pretext to use the military Physically, on the thousands and thousands of men, women, and children, peacefully, happily, cheerfully protesting the biomedical tyranny announcing ownership of their very bodies.
[00:12:25.166 --> 00:12:31.088]  Freedom Convoy organizers say they notified police that were being told nefarious elements planned to discredit the protests.
[00:12:31.128 --> 00:12:43.716]   Yes, they'll now have Antifa descend like vampire bats, dressed as the Patriots, to firebomb and Very soon there'll probably be a car bomb as well.
[00:12:44.616 --> 00:12:45.856]  It's very easy to predict this.
[00:12:45.916 --> 00:12:49.537]  I told you next they would start grabbing the bank accounts of the protesters.
[00:12:52.098 --> 00:12:57.880]  Meanwhile Trudeau, of course, loves promoting violent communist demonstrations around the world.
[00:12:57.900 --> 00:13:01.361]  We have a big stack of articles of him defending burning down US cities.
[00:13:04.242 --> 00:13:04.942]  There's that stack.
[00:13:06.164 --> 00:13:20.750]  Then there's the Durham investigation and the report of at least 25 more indictments set and the documents put in the federal filings of private security firms hacking into the White House and of course before that into Trump Tower and then of course U.S.
[00:13:20.770 --> 00:13:21.990]  intelligence agencies doing it.
[00:13:22.411 --> 00:13:26.032]  A classic bureaucratic coup over the nation.
[00:13:28.753 --> 00:13:30.314]  And then of course the biggest news.
[00:13:32.526 --> 00:13:34.788]  And I didn't just believe this this morning when I got up at 5 a.m.
[00:13:34.808 --> 00:13:40.194]  and saw that Paul Joseph Watson had written an article which was linked to the national Russian news.
[00:13:41.395 --> 00:13:47.761]  I went and looked at local Ukrainian publications and others, and indeed the Russians pulled back the vast majority of their military.
[00:13:47.801 --> 00:13:52.425]  They always have some there on their border, like any nation does.
[00:13:53.867 --> 00:13:55.929]  And they've ended their drills, which they have yearly.
[00:13:56.721 --> 00:14:01.123]  And Putin said, I told you I'm not invading, and laughed at everybody that was fear-mongering.
[00:14:01.143 --> 00:14:05.585]  NATO responded by saying, we don't want any military in your country.
[00:14:05.985 --> 00:14:11.947]  You can have no military, and you can have no border guards, and I've got the articles saying any military is not allowed.
[00:14:12.227 --> 00:14:17.369]  So having military on your own soil of any number is now bad, and it gets worse.
[00:14:18.190 --> 00:14:28.081]   The Associated Press and others came out against Zero Hedge and called for them to be shut down because they Linked to Paul Joseph Watson's article about it.
[00:14:28.341 --> 00:14:36.422]  So, you're not even supposed to say that Russia announced they pulled the troops back, which is now being confirmed by regional media.
[00:14:37.163 --> 00:14:41.103]  Okay, alright, Russia nuked the United States last night, we're all dead.
[00:14:42.084 --> 00:14:43.484]  I'm actually Casper the Friendly Gust.
[00:14:44.344 --> 00:14:47.165]  Just, I mean, it's the mind control.
[00:14:47.345 --> 00:14:56.065]   I have multiple US newspapers and Canadian papers saying, and colleges, It's time to ban the word freedom.
[00:14:56.506 --> 00:14:57.907]  If you tuned in, I'm not joking.
[00:14:58.207 --> 00:14:59.528]  They're already banning mother and father.
[00:14:59.568 --> 00:15:00.009]  Why not?
[00:15:02.531 --> 00:15:05.854]  So there you have Bloomberg wants zero head shutdown.
[00:15:05.894 --> 00:15:08.997]  And when the corporate media calls for your head to be cut, it is.
[00:15:11.159 --> 00:15:12.561]  Unbelievable.
[00:15:13.883 --> 00:15:14.904]  So much more, too.
[00:15:14.924 --> 00:15:16.545]  I mean, we're going to drill into all of this.
[00:15:17.486 --> 00:15:20.988]  We are just under global corporate criminal attack or gaslighting everyone.
[00:15:21.709 --> 00:15:23.110]  They're trying to start wars everywhere.
[00:15:23.130 --> 00:15:24.491]  They've dissolved our borders.
[00:15:24.551 --> 00:15:25.852]  They have sold us out to China.
[00:15:26.533 --> 00:15:28.094]  And they're sexualizing our children.
[00:15:28.134 --> 00:15:30.175]  My God, this is the new world order.
[00:15:31.336 --> 00:15:37.421]  And Infowars is here embattled, only hanging on because of your prayers, your word of mouth, and your financial support.
[00:15:37.841 --> 00:15:39.202]  So thank you all for keeping us on air.
[00:15:39.222 --> 00:15:39.763]  We'll be right back.
[00:15:41.776 --> 00:15:59.104]  All right, ladies and gentlemen, thank you again so much for joining us and caring about the broadcast and caring about free speech and caring about our ability to expose this incredibly evil takeover that is happening by these corporate interests that are completely ruthless and who have now become above the law organizations.
[00:16:00.285 --> 00:16:04.767]  Now, we have the Declaration of Martial Law and Financial Martial Law in Canada.
[00:16:04.787 --> 00:16:05.427]  That's coming up.
[00:16:06.007 --> 00:16:07.368]  I'm going to host all four hours today.
[00:16:08.177 --> 00:16:15.960]  We have the massive Durham bombshells with more information and more reports of imminent indictments and what that really signifies.
[00:16:16.000 --> 00:16:30.545]  Tulsi Gabbard said this, the Durham investigation has shown that the biggest threat to our democracy is not some foreign country, but rather the power elite led by the likes of Hillary Clinton and her co-conspirators in the mainstream media and security state who work to undermine our democracy from within.
[00:16:30.565 --> 00:16:36.427]  I'm about to talk about Hillary Clinton and her persecution of yours truly here in just a moment.
[00:16:37.310 --> 00:16:43.091]  And, of course, the huge news on Russia that I'll cover next segment in detail, where they are publicly pulling back the troops.
[00:16:43.151 --> 00:16:44.272]  It's in the Ukrainian news.
[00:16:44.292 --> 00:16:47.632]  The Ukrainian president said that they're pulling back.
[00:16:48.093 --> 00:16:50.473]  But the corporate media here says, no, it's not true.
[00:16:50.513 --> 00:16:54.114]  War is imminent because the West is planning to launch an attack on Russia.
[00:16:54.714 --> 00:16:55.154]  Two U.S.
[00:16:55.194 --> 00:16:57.475]  senators even said they may nuke Russia first.
[00:16:59.255 --> 00:17:06.648]   Deadly, dangerous, insane bravado and chutzpah That is taking place there, ladies and gentlemen.
[00:17:07.229 --> 00:17:09.830]  So that is coming up next segment as well.
[00:17:10.930 --> 00:17:17.173]  But I first wanted to hit something that deals with free speech, not just here, but around the world.
[00:17:17.213 --> 00:17:22.976]  Because we don't just see a high-tech hack of GiveSendGo redirecting and shutting it down yesterday.
[00:17:25.437 --> 00:17:29.079]  And the high-tech hackers celebrating that they had shut down free speech.
[00:17:30.320 --> 00:17:45.123]   And the little guy, It was also a major leak of the thousands of people that had donated to the truckers standing up against the permanent biomedical martial law, forced injection, Nuremberg Code violating, war crime.
[00:17:47.926 --> 00:17:54.552]  And then again, I have articles I'm going to show you coming up next segment where mainstream newspapers say freedom is bad.
[00:17:55.052 --> 00:17:55.873]  Get rid of freedom.
[00:17:55.933 --> 00:17:56.714]  Actually say freedom.
[00:17:57.469 --> 00:17:59.130]  Freedom is a right-wing racist thing.
[00:17:59.411 --> 00:18:00.532]  Freedom is a white thing.
[00:18:01.072 --> 00:18:05.936]  And this is vicious central banks that own these newspapers putting out this pure poison.
[00:18:07.377 --> 00:18:10.520]  We have to recognize these people for what they are and just fully reject them.
[00:18:11.040 --> 00:18:25.752]  And that comes home for us really close because I've learned a lot being sued by the Democratic Party law firm that bankrupted Remington and that openly, you know, is basically controlled by Senator Blumenthal and others.
[00:18:26.800 --> 00:18:49.835]  I've learned a lot about these guys and how things work in the last four years of them suing me and having the controlled courts engage in the type of tactics that they've been engaged in to be stuck between the law firms, the corporate media, the corrupt courts in a triangulation that is a beta test they admit for all Americans.
[00:18:50.703 --> 00:18:55.404]  That don't completely submit and turn our children over to the leftist agenda.
[00:18:55.464 --> 00:18:56.785]  So this broke this morning.
[00:18:58.085 --> 00:19:03.166]  Sandy Hook families reached $73 million settlement with gun manufacturer Remington.
[00:19:04.047 --> 00:19:05.347]  Bankrupted Remington.
[00:19:06.447 --> 00:19:07.808]  Bankrupted by the lawsuits.
[00:19:08.228 --> 00:19:09.588]  Supreme Court ruling against them.
[00:19:09.608 --> 00:19:12.149]  And then it went back to the courts, the lower courts.
[00:19:12.849 --> 00:19:15.390]  And the oldest U.S.
[00:19:15.530 --> 00:19:26.989]   firearms manufacturer shut down because Adam Lanza reportedly got a gun from his mother that she had legally, that he got illegally, and went and shot children.
[00:19:27.209 --> 00:19:32.573]  And so the CNN reporter cried about that, because obviously 73 million isn't enough.
[00:19:32.613 --> 00:19:38.017]  But the issue is, this is the end of the Second Amendment, the end of gun manufacturers, if this continues.
[00:19:38.057 --> 00:19:39.318]  This is a major domino to fall.
[00:19:40.659 --> 00:19:49.726]  And now the same law firm wants my free speech, wants me to stop talking about the Second Amendment.
[00:19:50.982 --> 00:19:53.283]  Wants me to roll over to them.
[00:19:55.063 --> 00:19:55.603]  Continuing.
[00:19:55.623 --> 00:19:59.505]  You can read in the Wall Street Journal article about all of this.
[00:20:00.545 --> 00:20:01.985]  Or CNN, pick your poison.
[00:20:03.926 --> 00:20:19.116]   But the very same group has reportedly told the insurer of GCN that they'll Settle the lawsuit with me for $500 million.
[00:20:19.877 --> 00:20:20.619]  That's very funny.
[00:20:20.919 --> 00:20:21.921]  I don't have $5 million.
[00:20:25.290 --> 00:20:27.112]  But that's not really what their goal is.
[00:20:27.152 --> 00:20:27.632]  They know that.
[00:20:27.932 --> 00:20:33.697]  Their goal is to shut us down and close our doors and take us off air.
[00:20:33.897 --> 00:20:37.660]  Because that's their goal, is to take all of your sacred birthright of the First Amendment.
[00:20:37.700 --> 00:20:38.561]  That's what this is.
[00:20:38.781 --> 00:20:39.702]  And it's all selective.
[00:20:40.362 --> 00:20:44.605]  You notice the federal court said Sarah Palin doesn't have a right to sue.
[00:20:45.206 --> 00:20:53.853]  When they knew the jury was going to rule in her favor, when the Democrats in the New York Times knowingly put reports out that she put crosshairs over people who were then later shot when it wasn't true.
[00:20:55.123 --> 00:20:56.224]  Premeditated lying.
[00:20:57.105 --> 00:20:58.606]  That's allowed by the New York Times.
[00:20:58.866 --> 00:21:01.868]  New York Times versus Sullivan stands.
[00:21:02.228 --> 00:21:11.235]  But in the Alex Jones case, I've been told by the Republicans, high level, who don't like me in Texas, the Bush Republicans, years ago, they said, roll over now.
[00:21:11.295 --> 00:21:11.996]  It's all rigged.
[00:21:12.016 --> 00:21:13.957]  We're actually running this with the Clintons.
[00:21:13.977 --> 00:21:15.819]  I had a meeting with them right in that room right there.
[00:21:16.879 --> 00:21:19.421]  Yeah, four years ago is off record, but I'm going to name names.
[00:21:19.662 --> 00:21:20.983]  It's off record, but I'm not going to do it.
[00:21:21.003 --> 00:21:22.404]  But push comes to shove.
[00:21:22.424 --> 00:21:22.744]  Who knows?
[00:21:23.843 --> 00:21:28.485]  Right in that room, about 30, 40 feet away, they sat there and told me all this.
[00:21:29.946 --> 00:21:31.746]  And I understood what was happening there.
[00:21:31.766 --> 00:21:37.349]  I just said, I knew that I had to fight them all the way and just hope America woke up and hope we turn the tide against this takeover.
[00:21:38.569 --> 00:21:44.792]  And so that's why they put these ridiculous numbers out of, we want you to come out against the Second Amendment and we want $500 million.
[00:21:44.812 --> 00:21:45.952]  What a joke!
[00:21:46.012 --> 00:21:47.653]  How about you want all the blood out of my body?
[00:21:48.908 --> 00:21:50.770]  You're not going to get any of that, it doesn't exist.
[00:21:51.290 --> 00:21:52.432]  But that's what it's all about.
[00:21:52.632 --> 00:21:58.478]  But they did bankrupt Remington, and the Supreme Court did say, hey, no more gun manufacturers in America!
[00:22:01.821 --> 00:22:05.425]  That's what this is about, is destroying the country from within.
[00:22:06.758 --> 00:22:13.243]  And I have those enemies, the same enemies that the NRA and the Second Amendment and you have, and I'm proud to be attacked by these people.
[00:22:13.703 --> 00:22:19.307]  And I'm proud to not back down when they control the press and the courts and the system and the banks.
[00:22:20.748 --> 00:22:24.730]  Because you're going to learn very fast that you're all in the crosshairs just like Alex Jones as well.
[00:22:24.790 --> 00:22:33.035]  Anybody that's Christian, anybody that loves God, anybody that's decent, anybody that cares about law and order, anybody that cares about sovereignty, we're being conquered.
[00:22:33.456 --> 00:22:38.919]  And these people know they're conquering us, and they know they're lying, and they know they're deceiving, and they don't care.
[00:22:38.999 --> 00:22:39.539]  They love it.
[00:22:40.160 --> 00:22:43.782]  They're here to break us, and absorb us, and usurp us.
[00:22:44.382 --> 00:22:45.283]  That's what they're doing.
[00:22:46.969 --> 00:22:51.091]  So remember who our enemies are, ladies and gentlemen, and remember you know a man by his enemies.
[00:22:52.252 --> 00:22:53.512]  Or you know a man by his friends.
[00:22:53.872 --> 00:23:06.278]  And our stock is rising, and humanity's waking up, and we're winning hearts and minds worldwide, and the enemy's losing, so they're taking their gloves off and putting it to the folks on the front line in a hope we'll curl up in a ball and go away.
[00:23:06.578 --> 00:23:09.420]  Well, I'm here in the words of the founder of the U.S.
[00:23:09.480 --> 00:23:09.760]  Navy.
[00:23:11.263 --> 00:23:19.294]  John Paul Jones, when he was fighting a ship twice the size with twice the men and the ship was sinking and they held him across on their bullhorn and said, you ready to give up?
[00:23:19.775 --> 00:23:24.242]  And he said, I have only begun to fight and he took that ship and won!
[00:23:24.950 --> 00:23:31.292]  And I have only begun to fight, and you can guarantee that we are winning on every front.
[00:23:31.632 --> 00:23:32.992]  They're discrediting their courts.
[00:23:33.232 --> 00:23:34.672]  They're discrediting the corporate media.
[00:23:34.832 --> 00:23:37.033]  They're discrediting their fake agencies they've hijacked.
[00:23:37.393 --> 00:23:38.493]  They are losing.
[00:23:38.813 --> 00:23:39.954]  They are going down.
[00:23:40.174 --> 00:23:45.915]  They'll get all their fake rig garbage, and it'll be like a blue ribbon that I won the fair for liberty.
[00:23:46.195 --> 00:23:48.756]  It'll be like a crown on my head.
[00:23:50.066 --> 00:24:13.540]  That the people that want to take the police away and disarm us and put Soros DA's in while we're raped and murdered and killed see me as their enemy and see themselves as being promoted by the evil witch Hillary Clinton into this program of evil if they could just bring down the Alex Jones when all they ever did was energize me and elevate me in the eyes of the wonderful people of America and the world!
[00:24:13.920 --> 00:24:15.701]  This is incredibly good news!
[00:24:16.630 --> 00:24:33.278]  If you go to the live show headline on the vaunted Infowars.com, hated by tyrants and criminals everywhere, Emergency Tuesday Broadcast, Russia withdraws troops from Ukraine border as NATO continues to declare full-scale war is imminent.
[00:24:33.758 --> 00:24:49.766]   Meanwhile, in Canada, Trudeau has declared a national emergency and financial martial law And is awakening the world to the threat of the global social credit score police state.
[00:24:50.646 --> 00:24:58.970]  Also, Alex Jones breaks down exclusive intel on the Durham case and how it shows the deep state has overthrown the U.S.
[00:24:59.070 --> 00:24:59.471]  government.
[00:25:01.191 --> 00:25:02.592]  And that's why these people are so arrogant.
[00:25:02.612 --> 00:25:06.554]  They believe they are invincible like all other tyrants throughout history.
[00:25:08.134 --> 00:25:08.734]  But the U.S.
[00:25:08.774 --> 00:25:15.778]  background says they will not win in the end, and if history repeats itself, they're going to be going to prison.
[00:25:17.058 --> 00:25:21.981]  I just want them to stop their criminal takeover using behavioral psychology and economic warfare.
[00:25:24.002 --> 00:25:30.885]  Now, I'm going to go over the Declaration of National Emergency and Financial Martial Law.
[00:25:31.485 --> 00:25:32.806]  That's not just me saying that.
[00:25:33.866 --> 00:25:40.309]  That is major members of parliament who happen to be liberals in Trudeau's own caucus.
[00:25:41.449 --> 00:25:47.631]  And the Civil Liberties Union of Canada says this is just unprecedented North Korea type behavior.
[00:25:48.352 --> 00:25:50.392]  And of course it's going to be expanded onto everyone.
[00:25:50.632 --> 00:25:55.394]  What did I tell you was coming next is the global social credit score, is that plan.
[00:25:55.434 --> 00:25:57.135]  That's what Trudeau admits he wanted.
[00:25:57.782 --> 00:26:20.400]  So they put people in an impossible position, they stand up peacefully and say we're not taking in our bodies, your experimental deadly shot that doesn't protect us and makes us sick in many cases, and that you want to track us and control us with, no more medical privacy, and his response is to say I'm calling the military out on you and we're going to take over your bank accounts and so much more.
[00:26:21.405 --> 00:26:25.467]  So you saw Bill Maher join the right side of history last week.
[00:26:26.188 --> 00:26:31.891]  He said it on Friday, we played it on the Saturday and Sunday shows here, that Trudeau has become Hitler.
[00:26:32.192 --> 00:26:35.153]  Trudeau is being Hitler-like in his quotes.
[00:26:36.214 --> 00:26:37.295]  I want a dictatorship.
[00:26:37.715 --> 00:26:38.735]  I don't care if you have rights.
[00:26:38.755 --> 00:26:39.576]  We're going to go ahead and take them.
[00:26:39.836 --> 00:26:41.257]  You're holding unacceptable views.
[00:26:44.699 --> 00:26:47.601]  What are we going to do with all these unvaccinated people taking up space?
[00:26:50.560 --> 00:26:51.280]  That's what's going on.
[00:26:51.300 --> 00:26:55.321]  So here's a short compilation that we just put together this morning.
[00:26:55.622 --> 00:27:02.484]  Just a sampling of some of what he said in the past and then his draconian declaration last night.
[00:27:02.323 --> 00:27:09.323]  Here it is.
[00:27:09.323 --> 00:27:16.323]   The small fringe minority of the population, the minority of the population,
[00:27:16.323 --> 00:27:17.162]  (upbeat music)
[00:27:17.406 --> 00:27:25.518]  Of people who are on their way to Ottawa or who are holding unacceptable views that they're expressing.
[00:27:27.385 --> 00:27:45.174]  Do not represent the views of Canadians who have been there for each other, who know that following the science and stepping up to protect each other is the best way to continue to ensure our freedoms, our rights, our values as a country.
[00:27:45.414 --> 00:27:52.278]  We are not intimidated by those who hurl insults and abuse at small business workers.
[00:27:53.260 --> 00:27:55.862]  and steal food from the homeless.
[00:27:56.843 --> 00:28:00.825]  We won't give in to those who fly racist flags.
[00:28:01.786 --> 00:28:08.731]  We won't cave to those who engage in vandalism or dishonor the memory of our veterans.
[00:28:09.311 --> 00:28:13.338]   So to those responsible for this behavior It needs to stop.
[00:28:13.659 --> 00:28:19.161]  The level of admiration I actually have for China.
[00:28:19.981 --> 00:28:31.586]  Because their basic dictatorship is allowing them to actually turn their economy around on a dime and say, we need to go green as fast as we need to start investing in solar.
[00:28:31.606 --> 00:28:38.009]  I mean, there is a flexibility that I know Stephen Harper must dream about of having a dictatorship that he could do everything he wanted.
[00:28:39.329 --> 00:28:40.570]  That I find quite interesting.
[00:28:41.130 --> 00:28:54.051]  Regardless of the fact that we are attacking your fundamental rights, or limiting your fundamental rights, and the Charter says that's wrong, we're still going to go ahead and do it.
[00:28:57.469 --> 00:29:06.975]  ...has invoked the Emergencies Act to supplement provincial and territorial capacity to address the blockades and occupations.
[00:29:07.556 --> 00:29:20.705]  We are broadening the scope of Canada's anti-money laundering and terrorist financing rules so that they cover crowdfunding platforms and the payment service providers they use.
[00:29:21.705 --> 00:29:29.710]  These changes cover all forms of transactions, including digital assets, such as cryptocurrencies.
[00:29:30.646 --> 00:29:31.767]  I want to be very clear.
[00:29:32.768 --> 00:29:46.021]  The scope of these measures will be time-limited, geographically targeted, as well as reasonable and proportionate to the threats they are meant to address.
