[00:00:00.883 --> 00:00:02.420]  Tomorrow's news, today.
[00:03:57.767 --> 00:04:00.169]  Pete Buttigieg isn't telling you anything about this.
[00:04:00.169 --> 00:04:02.590]  The administration is not.
[00:04:02.590 --> 00:04:06.293]  The NIH, the CDC, they suppress all this stuff.
[00:04:06.293 --> 00:04:07.854]  There's a number of pilots out there
[00:04:09.443 --> 00:04:12.547]  That are fearful to come forward and speak.
[00:04:12.547 --> 00:04:14.989]  They're fearful of retribution.
[00:04:14.989 --> 00:04:19.935]  There's guys that are going to work with crushing pains in their chest.
[00:04:19.935 --> 00:04:24.700]  So everybody can sit around and play their games that they're in the government, they're gonna be part of the winning team.
[00:04:24.700 --> 00:04:30.947]  The fools working in the federal government going along with this are destroying themselves with us right along with them.
[00:04:31.107 --> 00:04:34.989]  The anniversary of a violent terrorist attack on the Capitol.
[00:04:34.989 --> 00:04:38.451]  See, they hide behind the classification of January 6th.
[00:04:38.451 --> 00:04:39.792]  We know how they did it.
[00:04:39.792 --> 00:04:40.953]  We know who did it.
[00:04:40.953 --> 00:04:46.916]  The freaking FBI ran the attack on the Capitol and we have all the damn information.
[00:04:46.916 --> 00:04:49.557]  Does everybody get we're all gonna get destroyed?
[00:04:49.557 --> 00:04:52.299]  These are serious killers, serious criminals.
[00:04:52.299 --> 00:04:54.660]  Bunch of damn criminals running this country.
[00:04:54.660 --> 00:04:55.541]  Fuck them.
[00:04:55.541 --> 00:04:56.722]  Fuck them.
[00:04:56.722 --> 00:04:57.822]  I'm sick of their shit.
[00:04:57.822 --> 00:04:58.903]  Fuck these motherfuckers.
[00:05:01.215 --> 00:05:08.361]  Everything we've witnessed in the last few decades has only been the build-up for what the globalists are doing right now.
[00:05:08.361 --> 00:05:10.083]  This is their big offensive.
[00:05:10.083 --> 00:05:11.544]  This is their takeover.
[00:05:11.544 --> 00:05:15.548]  And this is the point that they're at their very weakest because now they've revealed themselves.
[00:05:15.548 --> 00:05:20.532]  Now their world government, their permanent martial law, their medical tyranny is out in the open.
[00:05:20.532 --> 00:05:22.714]  Their depopulation agenda has been exposed.
[00:05:23.755 --> 00:05:29.377]  They're using their corporate power and trillions to go across the planet and shut down people telling the truth.
[00:05:29.377 --> 00:05:34.778]  So listen, Paul Reveres, when you spread the word about the broadcast, when you pray for the broadcast, you're the tip of the spear.
[00:05:34.778 --> 00:05:38.459]  And when you buy products at InfoWarsTore.com, you keep us on air.
[00:05:38.459 --> 00:05:42.660]  Plus, we've got great products that have been sold out for months that are back in stock, 50% off, X2 and Winter Sun.
[00:05:45.521 --> 00:05:47.603]  Both of these are in our top five best sellers.
[00:05:47.603 --> 00:05:49.005]  They are so good for your body.
[00:05:49.005 --> 00:05:52.328]  And if there's two things you do for your body, it's these two products.
[00:05:52.328 --> 00:05:55.452]  They're all back in stock at M4WarStore.com.
[00:05:55.452 --> 00:05:56.953]  50% off and it keeps us on the air.
[00:05:56.953 --> 00:05:58.835]  Only way we fail is if you don't take action.
[00:06:11.022 --> 00:06:15.823]  Big Brother, mainstream media, government cover-ups.
[00:06:15.823 --> 00:06:17.544]  You want to stop tyranny?
[00:06:17.544 --> 00:06:19.204]  Well, so does he.
[00:06:19.204 --> 00:06:25.165]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:25.165 --> 00:06:33.027]  And we are live, ladies and gentlemen, on this Sunday, January 16th, worldwide transmission.
[00:06:33.027 --> 00:06:34.268]  The year is 2022.
[00:06:37.506 --> 00:06:46.137]  You know, the reason I've talked about taking a few weeks off, something I've never done, is I get so angry now that I blow up on air, and that's not professional, and that's not good.
[00:06:46.137 --> 00:06:55.308]  We need to lower the temperature in this country and around the world, because Klaus Schwab and the behavioral psychologists that run the Great Reset and the global government, globalist takeover...
[00:06:56.409 --> 00:07:03.750]  Say they want to raise the temperature and make society fall apart and make us commit suicide and make us hurt each other and family violence has exploded.
[00:07:03.750 --> 00:07:04.331]  It's tripled.
[00:07:04.331 --> 00:07:05.851]  Suicide's more than tripled.
[00:07:05.851 --> 00:07:09.652]  In the last few years, the drug overdoses have exploded to record.
[00:07:09.652 --> 00:07:12.292]  I mean, we are in crisis.
[00:07:12.292 --> 00:07:19.873]  And I don't care if somebody's black or somebody's white or somebody works for the government or somebody works for a big corporation or a small business.
[00:07:19.873 --> 00:07:20.734]  They're individuals.
[00:07:20.734 --> 00:07:22.794]  We have to judge them by who they are, but
[00:07:24.462 --> 00:07:28.785]  The corporate power structure is making its move on society.
[00:07:44.187 --> 00:07:55.715]  About the corruption of both parties and how it's systemic and then it was me blowing up at the end, something that I'm really going to work on not doing, even though it's popular with the viewers and the rest of it.
[00:07:55.715 --> 00:08:01.139]  It's not fake when I do it, but it's kind of like letting the dog off the leash.
[00:08:01.139 --> 00:08:07.703]  It's the dog when it's on the leash, it's still the dog when it's off the leash, but sometimes it bites when it's off the leash and at 48 years old now I need to
[00:08:08.649 --> 00:08:11.051]  Do that because, again, they want violence.
[00:08:11.051 --> 00:08:13.674]  They want us to attack each other.
[00:08:13.674 --> 00:08:18.998]  And if somebody like me is losing their temper on air, well then other people might not have as much self-control.
[00:08:18.998 --> 00:08:20.480]  They might do something more.
[00:08:20.480 --> 00:08:21.220]  And that's what they want.
[00:08:21.220 --> 00:08:27.866]  They want us to go crazy and, you know, have black folks run over white people and have white people go in and shoot black people.
[00:08:27.866 --> 00:08:32.570]  And they just want us killing each other to distract from what they're doing.
[00:08:34.835 --> 00:08:51.936]  I don't want to be a hypocrite when I'm attacking them for pushing this unity when sometimes I also paint with too broad a brush because this is a very evil time we're going into right now.
[00:08:54.059 --> 00:09:09.693]  I've always been really good at predicting what's coming next, and I told you a couple of years ago, you're going to see massive inflation, you're going to see civil unrest, you're going to see power outages, because that's what Klaus Schwab and the globalists said they would do, getting us ready for the collapse of civilization.
[00:09:09.693 --> 00:09:18.762]  But if you tuned in Tuesday or Wednesday, it had just broken in a local Illinois paper, and they were reporting how great it was, and listeners thought I was joking.
[00:09:20.879 --> 00:09:26.282]  But see how you thought Drag Queen Story Time with Convicted Pedophiles was a joke when we first reported it ten years ago.
[00:09:26.282 --> 00:09:30.525]  Now it's fun about major corporations all over the world and you're just like, oh yeah, that's what they do.
[00:09:30.525 --> 00:09:38.690]  Well now, the Satanic Temple is getting schools, with elementary schools, to have Satan Time, where you learn how Satan's good and how
[00:09:39.691 --> 00:09:42.093]  God doesn't exist, but Satan does.
[00:09:42.093 --> 00:09:54.881]  And so now if you just type in, to any search engine, the term, satanic temple to host events at Illinois schools, you'll then learn that it's actually happening all over the country and all over the world.
[00:09:54.881 --> 00:09:55.921]  Let me show you.
[00:09:55.921 --> 00:09:57.062]  Because I want to show this to viewers.
[00:09:57.062 --> 00:10:06.628]  The point is, is that folks didn't believe this back on, back on Wednesday.
[00:10:08.459 --> 00:10:18.481]  They thought it must be a fake story, but now if you simply type it in, you'll get hundreds of articles, and what's crazy is a lot of them are promoting it and saying it's a good time.
[00:10:18.481 --> 00:10:24.102]  The Satanic Temple Afterschool Satan Club.
[00:10:24.102 --> 00:10:26.663]  And the first thing Satan tells you is that Satan doesn't exist.
[00:10:26.663 --> 00:10:32.384]  I wanted to start with that, because then it moves into this area right here.
[00:10:32.384 --> 00:10:36.745]  This is out of USA Today, and this was in their Friday edition.
[00:10:38.174 --> 00:10:46.519]  California, this is the editorial section, should abolish parenthood in the name of equity.
[00:10:46.519 --> 00:10:46.919]  That's right.
[00:10:46.919 --> 00:10:51.202]  You even having a family, you even having children, other people might not have that.
[00:10:51.202 --> 00:10:52.242]  You don't deserve it.
[00:10:52.242 --> 00:10:56.145]  We need you to raise your children in government-run communes.
[00:10:56.145 --> 00:11:04.370]  And if you go to the UN, I was there last year, they have big posters up everywhere on the outside of the entrance saying, you'll soon own nothing and have nothing.
[00:11:05.421 --> 00:11:10.904]  And then it goes on to say, you'll soon live in communes and there'll be no more private homes.
[00:11:10.904 --> 00:11:11.704]  I showed you that video.
[00:11:11.704 --> 00:11:14.625]  People are like, well that's crazy, that'll never happen.
[00:11:14.625 --> 00:11:23.750]  But once they start turning off the economy for years and locking people down for years, you won't have the money to live anywhere else and you'll have to go live in the government communes.
[00:11:23.750 --> 00:11:26.591]  China made 400 million of its farmers.
[00:11:27.805 --> 00:11:32.446]  Move in to the cities and over 100 million died as everybody knows.
[00:11:32.446 --> 00:11:32.866]  On record.
[00:11:32.866 --> 00:11:34.407]  The Chinese don't even deny that.
[00:11:34.407 --> 00:11:40.888]  So we're going into a cultural revolution, a great leap forward of becoming robot slaves in the cities.
[00:11:40.888 --> 00:11:43.529]  So here's a real article USA Today.
[00:11:43.529 --> 00:11:49.950]  California, that's where it all starts, should abolish parenthood in the name of equity.
[00:11:49.950 --> 00:11:57.172]  And then it goes on to say if California is ever going to achieve true equity, the state must require parents to give away their children.
[00:11:59.522 --> 00:12:12.888]  Today's Californians often hold up equality, the goal of just society, completely free from bias, as our greatest value, Governor Newsom, makes decisions through an equity lens.
[00:12:12.888 --> 00:12:20.872]  Oh, and this is a serious article that goes on to say, but the promises are no match for the power of parents.
[00:12:20.872 --> 00:12:25.454]  And it goes on to say, we can have a utopia if the state raises your children.
[00:12:26.889 --> 00:12:29.152]  What did the UN say 21 months ago?
[00:12:29.152 --> 00:12:42.268]  They said the main goal is to get lockdowns going, habituate everybody to them, and then finally we're going to take children out of the houses, where even people aren't sick, to shield them in place in government dormitories to train the families to give up their children.
[00:12:42.268 --> 00:12:45.613]  So this isn't satire, this isn't a joke.
[00:12:46.752 --> 00:12:53.478]  Today's California often holds up equality, the goal of a just society, completely free from bias, a utopia.
[00:12:53.478 --> 00:12:58.201]  As our greatest value governor, Newsom makes decisions through an equity lens.
[00:12:58.201 --> 00:13:05.427]  Institutions from dance enablers to tech companies have publicly pledged themselves to equity.
[00:13:05.427 --> 00:13:08.090]  And again, whoever defines equity, you must follow.
[00:13:09.278 --> 00:13:12.564]  But their promises are no match for the power of parents.
[00:13:12.564 --> 00:13:19.376]  Fathers and mothers with greater wealth and education are more likely to transfer these advantages to their children.
[00:13:19.376 --> 00:13:19.657]  Oh, you see.
[00:13:21.158 --> 00:13:34.065]  So we're learning what the real reparations mean in the Great Reset, is you put yourself into a communal system, you put your money into a communal system, and then the computer they claim is independent and free decides what percentage you get back.
[00:13:34.065 --> 00:13:39.949]  And, you know, if you do have degrees and you sign on to this, up front you get a big percentage of your money back.
[00:13:40.751 --> 00:13:45.392]  But everybody's forced to be under the control of the AI that fairly distributes it out.
[00:13:45.392 --> 00:13:47.533]  Of course, it doesn't fairly distribute it out.
[00:13:47.533 --> 00:13:48.813]  It's all programmed.
[00:13:48.813 --> 00:13:52.574]  So, you want a nightmare, science fiction hell, Mark of the Beast?
[00:13:52.574 --> 00:13:56.495]  They're now rolling out where this leads.
[00:13:56.495 --> 00:13:59.856]  We have a breakdown of it on InfoWars.com, WTF, USA Today calls.
[00:14:01.741 --> 00:14:03.823]  For California to abolish parenthood.
[00:14:03.823 --> 00:14:05.244]  It's very serious.
[00:14:05.244 --> 00:14:07.365]  And then here's some of the background articles.
[00:14:07.365 --> 00:14:10.828]  This is having children is not a life affirming.
[00:14:10.828 --> 00:14:14.491]  It's immoral.
[00:14:14.491 --> 00:14:17.894]  Pure research, growing shares of childless adults, the U.S.
[00:14:17.894 --> 00:14:19.535]  don't expect to ever have children.
[00:14:19.535 --> 00:14:21.616]  Then it's praised one legacy.
[00:14:21.616 --> 00:14:24.499]  The pandemic may be less.
[00:14:24.499 --> 00:14:25.860]  Judgment of the child free.
[00:14:27.017 --> 00:14:29.979]  California, again, should abolish parenthood.
[00:14:29.979 --> 00:14:35.423]  It's immoral to have babies in the era of climate change.
[00:14:35.423 --> 00:14:40.847]  And then you've got Yonk and says parents have a fundamental right to make decisions about their children's education.
[00:14:40.847 --> 00:14:48.793]  That's now extreme right-wing to say your genetic line and who you are has some rights, but not all.
[00:14:48.793 --> 00:14:51.756]  And the Justice Department's investigating the Virginia parents that protest.
[00:14:52.793 --> 00:14:57.255]  There's small children being told they're white terrorists as terrorists.
[00:14:57.255 --> 00:14:59.156]  They're being investigated as terrorists.
[00:14:59.156 --> 00:15:06.039]  So, that's a small smattering of what we have here today.
[00:15:06.039 --> 00:15:11.941]  If you don't like Satan time at your school, or drag queen pedophile time, here comes the FBI.
[00:15:11.941 --> 00:15:20.525]  If you don't like your children being taught critical race theory, well, here comes the state.
[00:15:22.466 --> 00:15:32.914]  When we come back, I have a stack of news articles, it's everywhere, with the corporate media saying it's time to permanently lock up those that don't take shots in America.
[00:15:32.914 --> 00:15:36.217]  And they go, look at Europe, look at Australia, that's what we're doing next.
[00:15:36.217 --> 00:15:37.558]  And this is their plan.
[00:15:37.558 --> 00:15:40.881]  And if they can get people to follow these orders, they can get you to follow any order.
[00:15:40.881 --> 00:15:44.403]  Because this is the door being shut on freedom.
[00:15:44.403 --> 00:15:46.225]  All of the world's being put into a prison.
[00:15:47.481 --> 00:15:48.884]  It's a prison planet.
[00:15:48.884 --> 00:15:52.472]  And those that take the dead, the poison death shots?
[00:15:52.472 --> 00:15:54.456]  Well, they're gonna go beyond just being in a prison planet.
[00:15:54.456 --> 00:15:55.277]  They're gonna be dead.
[00:15:59.750 --> 00:16:06.895]  Everything we've witnessed in the last few decades has only been the build-up for what the globalists are doing right now.
[00:16:06.895 --> 00:16:08.617]  This is their big offensive.
[00:16:08.617 --> 00:16:10.078]  This is their takeover.
[00:16:10.078 --> 00:16:14.101]  And this is the point that they're at their very weakest because now they've revealed themselves.
[00:16:14.101 --> 00:16:19.065]  Now their world government, their permanent martial law, their medical tyranny is out in the open.
[00:16:19.065 --> 00:16:21.246]  Their depopulation agenda has been exposed.
[00:16:22.307 --> 00:16:27.913]  They're using their corporate power and trillions to go across the planet and shut down people telling the truth.
[00:16:27.913 --> 00:16:33.339]  So listen, Paul Reveres, when you spread the word about the broadcast, when you pray for the broadcast, you're the tip of the spear.
[00:16:33.339 --> 00:16:37.003]  And when you buy products at InfoWarsTore.com, you keep us on air.
[00:16:37.003 --> 00:16:40.788]  Plus, we've got great products that have been sold out for months that are back in stock, 50% off.
[00:16:40.788 --> 00:16:41.208]  X2 and Winter Sun.
[00:16:44.071 --> 00:16:46.133]  Both of these are in our Top 5 Best Sellers.
[00:16:46.133 --> 00:16:47.575]  They are so good for your body.
[00:16:47.575 --> 00:16:50.878]  And if there's two things you do for your body, it's these two products.
[00:16:50.878 --> 00:16:53.981]  They're all back in stock at Infowarshore.com.
[00:16:53.981 --> 00:16:55.503]  50% off and it keeps us on the air.
[00:16:55.503 --> 00:16:57.365]  Only way we fail is if you don't take action.
[00:16:59.735 --> 00:17:14.205]  We've all heard about the pastor and his famous statement from inside a concentration camp in World War II that when they came for one group he wasn't part of that group so he didn't stand up and then when they came for another group he wasn't part of that group so he didn't stand up.
[00:17:14.205 --> 00:17:14.765]  And finally,
[00:17:15.626 --> 00:17:16.567]  And they can't apprehend those.
[00:17:16.567 --> 00:17:17.727]  Nobody else can stand up.
[00:17:17.727 --> 00:17:22.590]  Well, the global social credit score that China's putting in, it's banning people to three hours of video games a week.
[00:17:22.590 --> 00:17:26.572]  And if you criticize the government, you can never buy or sell again.
[00:17:26.572 --> 00:17:31.715]  Well, that's being brought here and all over the world under the guise of COVID vaccine passports.
[00:17:31.715 --> 00:17:32.636]  They even admit it now.
[00:17:32.636 --> 00:17:35.277]  They're saying there's going to be a carbon tax attached to it.
[00:17:35.277 --> 00:17:39.720]  They're going to track where you go and what you do and decide where you can go and what you can do.
[00:17:39.720 --> 00:17:41.501]  That's what the lockdowns are about.
[00:17:41.501 --> 00:17:42.241]  You'll accept that.
[00:17:42.241 --> 00:17:43.062]  You'll accept anything.
[00:17:44.147 --> 00:17:50.073]  So again, the left is having fun right now with all the censorship and tyranny, pretending like they're part of the power structure.
[00:17:50.073 --> 00:17:52.135]  But they're all going to be targeted by this nightmare as well.
[00:17:52.135 --> 00:17:58.642]  We need to get back to basic human rights and promote them, or all of us will be enslaved by this horrible technocracy run by the globalists.
[00:17:59.750 --> 00:18:02.612]  It's time to protect your privacy.
[00:18:02.612 --> 00:18:16.601]  It's time to come to grips with the fact that even though you don't have anything to hide, criminals, hackers, corporations, big tech, government are stealing all of your data and creating a map and a database of where you go and what you do.
[00:18:16.601 --> 00:18:21.044]  So in the future, under their globalist takeover, they can shut you down.
[00:18:21.044 --> 00:18:29.430]  Protecting your privacy, protecting your credit cards, protecting your bank accounts, protecting your photos, protecting everything that's on your phone is paramount.
[00:18:29.930 --> 00:18:32.631]  That's why everybody should visit InfoWarsTore.com.
[00:18:32.631 --> 00:18:41.333]  We're carrying a huge new line of very compliant, made-in-America products that have 100% reviews and are simply incredible.
[00:18:41.333 --> 00:18:42.354]  It's a 360 win.
[00:18:42.354 --> 00:18:48.295]  Protect your privacy and shop at InfoWars to support the overall InfoWars against the Globalists.
[00:18:48.295 --> 00:18:50.076]  A true 360 win.
[00:18:50.076 --> 00:18:53.076]  Get your Faraday cages at InfoWarsTore.com.
[00:18:53.076 --> 00:18:54.177]  Check out the new line.
[00:18:54.177 --> 00:18:54.737]  It's amazing.
[00:18:59.321 --> 00:19:04.165]  I've been fighting as hard as I can for almost 28 years against the globalists.
[00:19:04.165 --> 00:19:06.227]  I wanted to stop their agenda.
[00:19:06.227 --> 00:19:11.712]  I wanted to wake up the world and stop them dead in their tracks before they went operational.
[00:19:11.712 --> 00:19:12.833]  But we failed.
[00:19:12.833 --> 00:19:13.994]  Yes, a lot of people are awake.
[00:19:14.454 --> 00:19:22.337]  Yes, we're not getting caught flat-footed, but they are going ahead with their full operational de-industrialization Great Reset.
[00:19:22.337 --> 00:19:31.259]  And that's why it's more important than ever that all viewers and all listeners tell everybody they know about the show, because people are ready to wake up and ready to hear the truth.
[00:19:31.259 --> 00:19:36.461]  So we've got to information warfare the enemy and try to stop their agenda, but we've also got to get personally prepared.
[00:19:36.461 --> 00:19:39.362]  And one of the number one things to do is high-quality, storable food.
[00:19:39.362 --> 00:19:42.183]  We've got the best food ready to ship at very affordable prices.
[00:19:42.603 --> 00:19:43.223]  It's Alex Jones!
[00:20:14.676 --> 00:20:20.158]  We are back live on this Sunday transmission, January 16th, 2022.
[00:20:20.158 --> 00:20:36.783]  You know, I'm going to hit the incredible martial law COVID announcements and national polls that the vast majority of Democrats want martial law declared by the president, military on the streets, and the unvaxxed locked up permanently until they starve to death.
[00:20:36.783 --> 00:20:43.625]  That's basically what Noam Chomsky also called for, and they're now implementing it in countries in Europe and countries in
[00:20:44.765 --> 00:20:46.146]  The Pacific, like Australia.
[00:20:46.146 --> 00:20:47.606]  I'm not joking.
[00:20:47.606 --> 00:20:53.648]  Utah's largest newspaper calls for unvaccinated to endure draconian lockdowns enforced by National Guard.
[00:20:53.648 --> 00:20:55.169]  CNN has another headline.
[00:20:55.169 --> 00:21:01.631]  Europe's loud, rule-breaking, unvaccinated minority are falling out of society.
[00:21:01.631 --> 00:21:05.353]  My father almost died for his country fighting in Okinawa today.
[00:21:05.353 --> 00:21:07.774]  His son can no longer walk the streets of Washington, D.C.
[00:21:07.774 --> 00:21:09.794]  without his papers.
[00:21:09.794 --> 00:21:11.355]  And then when I read this polls to you,
[00:21:13.464 --> 00:21:16.705]  Just wait until you see this poll.
[00:21:16.705 --> 00:21:21.186]  Fully vaccinated Canadian soccer player, sidelined with microcarditis.
[00:21:21.186 --> 00:21:22.886]  It's like happening every day.
[00:21:22.886 --> 00:21:24.086]  So are the deaths.
[00:21:24.086 --> 00:21:25.466]  And here's the big poll I mentioned.
[00:21:25.466 --> 00:21:35.148]  Poll reveals astonishing percentage of Democrats support unparalleled COVID tyranny for the unvaccinated.
[00:21:35.148 --> 00:21:37.469]  We'll hit that first when we come back next segment.
[00:21:37.469 --> 00:21:41.090]  But right now, let me go ahead and get back into what I was covering.
[00:21:41.090 --> 00:21:42.650]  Because just like I opened the show up,
[00:21:43.442 --> 00:21:46.485]  With the Satanic Temple, endorsed by the Democratic Party.
[00:21:46.485 --> 00:21:50.008]  They actually have a partnership with them, having big events all over the country.
[00:21:50.008 --> 00:21:53.010]  Major Hollywood blockbuster films promoting them.
[00:21:53.010 --> 00:21:57.094]  And they say, we don't believe in God, we're just Satanists, and we want access to your children.
[00:21:57.094 --> 00:22:08.964]  Then you research them, and let me tell you, they know this is a spiritual battle, but they want to first tell your kids, oh, the devil's not real, and God's not real, but the devil loves you, and he's going to teach you how to be powerful and be enlightened.
[00:22:10.111 --> 00:22:15.375]  It's really what we hear about in the Garden of Eden, whether you believe in that or not.
[00:22:15.375 --> 00:22:17.496]  It's being repeated in front of you in the real world today.
[00:22:17.496 --> 00:22:25.822]  But I want to go back to Joe Matthews, a big globalist, heads up stuff connected to the UN, Davos group.
[00:22:25.822 --> 00:22:33.287]  And he very calmly, very seriously, in USA Today, says it's time to abolish the family completely.
[00:22:33.287 --> 00:22:37.930]  And he says, give your children to the homeless people down the street.
[00:22:37.930 --> 00:22:39.631]  What he's saying is sacrifice your children.
[00:22:40.486 --> 00:22:42.067]  We're not building a global community.
[00:22:42.067 --> 00:22:44.548]  They want you to have no connection to anybody.
[00:22:44.548 --> 00:22:47.469]  That's why the CIA funded the sexual revolution.
[00:22:47.469 --> 00:22:49.250]  That's been declassified.
[00:22:49.250 --> 00:22:52.912]  Now I'm up here telling somebody that I judge you if you had more than one sexual partner.
[00:22:52.912 --> 00:23:00.556]  No, I'm just telling you they promoted it and pushed it so you would slowly break up the family and have no one to stand up for you.
[00:23:00.556 --> 00:23:01.136]  And here we are.
[00:23:02.799 --> 00:23:06.901]  A generation and a half later and it's all here because it was a plan.
[00:23:06.901 --> 00:23:19.069]  So let's read this article because this isn't a joke and remember it was USA Today just last week endorsed pedophilia and said it's not a bad thing and it's just a lifestyle.
[00:23:19.069 --> 00:23:20.009]  You're like, what are they doing?
[00:23:20.009 --> 00:23:26.233]  Well, they're waging war on us, ladies and gentlemen.
[00:23:26.233 --> 00:23:28.074]  This is an anti-human move.
[00:23:28.074 --> 00:23:31.096]  That's why people are blown away by the censorship and the attacks and the
[00:23:32.170 --> 00:23:48.306]  Corruption and people that protest at school boards being called terrorists is because this is a real breakdown and end of the family because they want you to become commodities programmed pod people.
[00:23:48.306 --> 00:23:49.928]  And if you go out to lunch somewhere,
[00:23:53.240 --> 00:23:58.544]  A friend of mine went to a Japanese kind of open counter Benihana type deal today.
[00:23:58.544 --> 00:24:02.768]  He showed me a photo of more than 20 people around the big communal table.
[00:24:02.768 --> 00:24:04.950]  None of them were talking.
[00:24:04.950 --> 00:24:06.311]  None of their children were talking.
[00:24:06.311 --> 00:24:10.014]  And everybody had a phone sitting there looking at them.
[00:24:12.549 --> 00:24:14.630]  And so you say, let's get rid of the family.
[00:24:14.630 --> 00:24:18.392]  They celebrate in here that people's attention spans are shorter.
[00:24:18.392 --> 00:24:19.652]  And people aren't having children.
[00:24:19.652 --> 00:24:21.853]  The family is falling apart.
[00:24:21.853 --> 00:24:23.294]  Yeah, so is society.
[00:24:23.294 --> 00:24:28.796]  He says, but soon we'll be able to plug these people in to a global commune through computers.
[00:24:28.796 --> 00:24:29.997]  Yeah, the Matrix.
