[00:00.000 --> 00:11.000]  And it's time for humanity to stand up in the Info War and say, I don't know what's going
[06:26.000 --> 06:35.000]  Now we have a run rate of about 20% excess mortality that's confirmed by the CDC numbers, the funeral home numbers, and the insurance company numbers.
[06:35.000 --> 06:39.000]  And then somebody did an independent study I saw recently suggesting 20% is the number.
[06:39.000 --> 06:41.000]  So we're running a 20% excess deaths.
[06:41.000 --> 06:44.000]  And a 10% increase in disabilities.
[06:44.000 --> 06:46.000]  This is a stunning number.
[06:46.000 --> 06:53.000]  You're telling me that things have been flat for five years at 29 million, and all of a sudden out of the data they got 3 million people are disabled out of nowhere?
[06:53.000 --> 06:58.000]  And now we are beginning to understand that this is just the beginning.
[06:58.000 --> 07:01.000]  Things are going to get much, much worse.
[07:01.000 --> 07:12.000]  Many of us have already seen the mysterious objects found in the vials of COVID vaccines by two separate independent groups using electron microscopy.
[07:12.000 --> 07:24.000]  We are also familiar with the rising number of strokes, heart attacks, and other side effects experienced worldwide after the biggest experimental vaccination in history.
[07:24.000 --> 07:29.000]  And now we are getting a first glimpse of what is causing all this.
[07:29.000 --> 07:35.000]  Something in the COVID vaccines seems to be growing within the recipient's vascular system.
[07:35.000 --> 07:42.000]  Anomalous objects are being discovered in the dead bodies of the vaccinated by embalmers and coroners.
[07:42.000 --> 07:47.000]  Horrific things being grown inside the veins and arteries.
[07:47.000 --> 08:01.000]  These are not blood clots, and they appear to be some sort of organic material with small crystals and extremely thin wires made up of what looks like reptilian scales.
[08:01.000 --> 08:10.000]  This internal blockage growing within the vaccinated would certainly explain all of the deadly side effects we are seeing today.
[08:10.000 --> 08:17.000]  What the mainstream media is currently spinning as sudden adult death syndrome.
[08:17.000 --> 08:24.000]  We do not know what these things are, but they are being found by embalmers and coroners everywhere.
[08:24.000 --> 08:31.000]  Except, pretty much all of them are too afraid to speak out, or they don't care.
[08:31.000 --> 08:37.000]  Only one has shown the courage to speak out so far, and this is the real tragedy.
[08:37.000 --> 08:41.000]  For those who remain silent, things will not get better.
[08:41.000 --> 08:51.000]  The FDA is poised to authorize these deadly vaccines to children as young as six months old, and humanity does nothing.
[08:51.000 --> 08:57.000]  Today, we want to provide an update on a topic that I know many parents and grandparents are focused on.
[08:57.000 --> 09:02.000]  The potential for the first COVID-19 vaccines for kids under five.
[09:02.000 --> 09:06.000]  We have waited a long time for this moment.
[09:06.000 --> 09:07.000]  Well guys, here's some good news.
[09:07.000 --> 09:15.000]  The Biden administration has finally announced a vaccine rollout plan for children under five, and they've ordered 10 million doses.
[09:15.000 --> 09:16.000]  That's great.
[09:16.000 --> 09:23.000]  Right now, kids are like, oh my gosh, we could finally meet up for drinks.
[09:23.000 --> 09:28.000]  Yep, as we speak, everyone in the lollipop industry is like, we're buying a yacht, here we go!
[09:28.000 --> 09:30.000]  You get a lollipop, you get one.
[09:30.000 --> 09:32.000]  It's very exciting to hear a four-year-old scream.
[09:32.000 --> 09:35.000]  Facebook told me Bill Gates controls the vaccines.
[09:37.000 --> 09:44.000]  Why should we deserve anything other than pain and suffering if we do nothing to protect our own children?
[09:44.000 --> 09:52.000]  Once those afraid of speaking out begin seeing their coroner tables filled with dead children, it will be too late.
[09:52.000 --> 09:54.000]  But it's not too late now.
[09:54.000 --> 10:05.000]  If you are an embalmer, a coroner, or a funeral director, and you are seeing these things, there is still time to save the lives of our innocent children.
[10:05.000 --> 10:12.000]  You can start now by contacting Dr. Jane Ruby at protonmail.com.
[10:12.000 --> 10:15.000]  Reporting for InfoWars, this is Greg Rees.
[10:15.000 --> 10:18.000]  Happy Juneteenth. We appreciate that here in Texas.
[10:34.000 --> 10:37.000]  Let's just talk about the black community for a little while.
[10:37.000 --> 10:45.000]  The black community was thriving in 1964.
[10:45.000 --> 10:50.000]  They had a lot of problems. They were starting to be shipped off to Vietnam.
[10:50.000 --> 10:56.000]  There was a lot of racism. Police would beat them sometimes. Some police wouldn't.
[10:56.000 --> 10:59.000]  A lot of problems went on.
[10:59.000 --> 11:03.000]  Happy Juneteenth. We appreciate that here in Texas.
[11:03.000 --> 11:08.000]  You ought to thank the Republican president. You ought to thank him.
[11:08.000 --> 11:13.000]  You ought to thank God that at least somebody was half not evil and did what it took.
[11:13.000 --> 11:16.000]  And the evil Democrats tried to keep this place from being free.
[11:16.000 --> 11:23.000]  They tried to keep the little black kids out of school in the 60s here in Texas and Alabama and Arkansas and all over.
[11:23.000 --> 11:29.000]  Yes, they're the party of slavery. They've just put blacks now on the plantation of welfare and pretty much forced them to do it.
[11:29.000 --> 11:33.000]  Don't let me get sidetracked.
[11:33.000 --> 11:37.000]  What did they do to the African Americans?
[11:37.000 --> 11:44.000]  The Democrats, LBJ, and I'm here in the heart of LBJ country, the heart of his corruption and evil.
[11:44.000 --> 11:46.000]  And he was evil. Very horrible man.
[11:46.000 --> 11:50.000]  What did they do to the blacks?
[11:50.000 --> 11:56.000]  Well, in 1964, and I like a lot of reforms giving equal rights, but we didn't have to put them on plantations,
[11:56.000 --> 12:01.000]  which we've done now, and inner cities falling apart with not letting them have men in the houses, excuse me.
[12:01.000 --> 12:04.000]  Trying to destroy their culture is what we've done.
[12:04.000 --> 12:10.000]  Only 22 to 23% of blacks were dependent on any form of government.
[12:10.000 --> 12:16.000]  That means things they had like pseudo food stamps in 64, some forms of welfare,
[12:16.000 --> 12:20.000]  things that were, you know, soup lines and things government pushed.
[12:20.000 --> 12:22.000]  That's wonderful. I'm ready to pay for that.
[12:22.000 --> 12:26.000]  For whites and blacks and Hispanics or Asians, I don't care.
[12:26.000 --> 12:32.000]  In 1997, 91%, this is the government's own numbers,
[12:32.000 --> 12:40.000]  91% of the African American community at one time or another gets one form of government assistance.
[12:40.000 --> 12:42.000]  I mean, serious government assistance.
[12:42.000 --> 12:45.000]  And with the whites, it's around 45% now.
[12:45.000 --> 12:48.000]  So we're, they're getting us on the plantation too.
[12:48.000 --> 12:52.000]  They don't look at it as a racial thing. They just see who it's more easier to corner and manipulate and attack.
[12:52.000 --> 12:58.000]  And they've attacked the black community, pumped drugs into those communities and allowed drugs to be sold in those communities.
[12:58.000 --> 13:02.000]  It's just a fact. But anyways, excuse me.
[13:02.000 --> 13:05.000]  So understand that's the love.
[13:05.000 --> 13:12.000]  Crime has gone up over 3,000% in the black community since the mid 60s and almost that and all other communities.
[13:12.000 --> 13:19.000]  Drug abuse, abortion, abortion skyrocketed at the same time illegitimacy has.
[13:19.000 --> 13:22.000]  They're having lots of abortions and they're also having lots of kids.
[13:22.000 --> 13:27.000]  I'm fine. I think it's fine to have kids. I think it's terrible for them to have all those abortions.
[13:27.000 --> 13:30.000]  I'm not a racist. I think African Americans should be able to have children.
[13:30.000 --> 13:36.000]  I just think they ought to be raised in schools where they're taught things and taught about how to be successful rather than taught by Jesse Jackson
[13:36.000 --> 13:43.000]  and people how to hate others and how to be losers and be part of the government surf system.
[13:43.000 --> 13:45.000]  Okay?
[13:45.000 --> 13:54.000]  That's what we're talking about. Government-sponsored racism and the media, the bureaus of propaganda, joining in on the racism,
[13:54.000 --> 14:02.000]  trying to get whites hating blacks, blacks hating whites, Hispanics hating blacks and whites, and whites and blacks hating Hispanics.
[14:02.000 --> 14:07.000]  We're all human beings, friends. We got the same blood in our veins.
[14:07.000 --> 14:16.000]  My genetics are the same as yours. Different pigment in my skin, different eye color, different hair.
[14:16.000 --> 14:23.000]  But they want to make us fixate on culture, not so we have a care of our culture.
[14:23.000 --> 14:27.000]  No, black culture is being destroyed.
[14:27.000 --> 14:36.000]  It's being torn out, and bureaucrats are replacing fathers and mothers, and that's the dream of the people that push big government.
[14:36.000 --> 14:45.000]  My dad grew up in a relatively small town, and his dad was, you know, a farmer and rancher, pretty successful.
[14:45.000 --> 14:53.000]  He said black community was thriving then. Own the cleaners, own the bunch of stuff, and there was black families with thousands of acres.
[14:53.000 --> 15:01.000]  You go there now, it ain't there. Because they come in, they destroyed all the black businesses, those thriving communities.
[15:01.000 --> 15:09.000]  They did that by taking incentive away, by destroying most of the average black people that used to buy things in those towns, and getting them all on food stamps.
[15:09.000 --> 15:14.000]  How did that, and whites were on food stamps too, by the way, and the government's getting us on them more and more every day.
[15:14.000 --> 15:19.000]  What did the government do to the blacks when slavery ended?
[15:19.000 --> 15:26.000]  They put them on a new thing, indentured sharecroppers, and they had to go to the company store and buy all their food there, and they didn't even get normal money,
[15:26.000 --> 15:28.000]  and the guy would write them little vouchers on pieces of paper.
[15:28.000 --> 15:36.000]  Same thing, blacks are on this, and whites and Hispanics are on these big things now, but they really targeted the blacks horribly.
[15:36.000 --> 15:43.000]  They get them in there, they say no men in the house, just like in slave times, the men weren't allowed to marry the women, because they didn't want leadership.
[15:43.000 --> 15:46.000]  A man takes command, they wouldn't have put up with it.
[15:46.000 --> 15:53.000]  You know, the black man wouldn't have put up with his family getting beat, so they kept the men in one area and the women in another area with the kids.
[15:53.000 --> 16:17.000]  And that still goes in our culture today, and that's what they want, they want to keep the black man out in a way.
[16:24.000 --> 16:31.000]  The immune support formula is incredible by itself.
[16:31.000 --> 16:34.000]  These other three together, it is amazing, 60% off.
[16:34.000 --> 16:45.000]  Then the trapezec to immune support, 50% off on immune support, X2 and D3 gummies, and then 40% off on X2, now back in stock at infowarstore.com.
[16:45.000 --> 16:54.000]  Now, just the X2 alone is the missing link with most people, highest quality deep breath crystal iodine, beyond critical for your immune system and your whole body.
[16:54.000 --> 16:59.000]  It's 40% off back in stock, but get four of the products together for 60% off.
[16:59.000 --> 17:13.000]  The National Dissues is a new film, 2000 Mules, is the most important documentary in modern times, because it proves how the deep state stole the 2020 election and how they're planning to steal future elections and complete our journey to basically being like Venezuela.
[17:13.000 --> 17:26.000]  Now, it's great that it's online, it's great that millions watch online, but you need to have the high quality HD DVD in your library with the expanded extras so it can't be censored in the future and so you can show it to everyone you know.
[17:26.000 --> 17:40.000]  Go to infowarstore.com and get 2000 Mules today and get it discounted up to 30% off when you get it with other documentary films, like in-game blueprint for global enslavement, the seminal classic that predicted the great reset,
[17:40.000 --> 17:45.000]  and of course part one, part two, and now the new part three of COVID land.
[17:45.000 --> 17:55.000]  Get them separate, get them together, massively discounted at infowarstore.com, but everyone needs to have 2000 Mules in their library so the globalists can't censor it.
[17:55.000 --> 17:59.000]  Infowarstore.com to get 2000 Mules today.
[17:59.000 --> 18:03.000]  Cognitive dissonance is a major issue amongst the left.
[18:03.000 --> 18:07.000]  It can be very stressful dealing with facts you refuse to accept.
[18:07.000 --> 18:16.000]  If you have a family member suffering from this degenerative mental condition, buy them a bottle of ultimate fish oil from infowarstore.com.
[18:16.000 --> 18:33.000]  Studies have suggested that fish oils and fish oil supplementation can slightly lower blood pressure, decrease triglyceride levels, decrease the growth rate of plaque, and provide a soothing reduction in inflammatory responses and joints and the digestive system.
[18:33.000 --> 18:44.000]  Recent studies have suggested that high EPA and DHA fish oil can stimulate immune function by increasing the concentration and activity of immune cells.
[18:44.000 --> 18:53.000]  It worked for my family and now I can have a logical and calm discussion about actual facts that pertain to reality.
[18:53.000 --> 19:03.000]  Get your ultimate fish oil for a friend, family member, or yourself at infowarstore.com.
[19:24.000 --> 19:34.000]  Formulated to improve upon our best selling product, knockout, with down and out, now the herbs and melatonin packed inside are extracted directly into the glycerin solution.
[19:34.000 --> 19:39.000]  So the ingredients are already dissolved into the formula before you even take it.
[19:39.000 --> 19:49.000]  One of the other sleep support herbs included is the passion flower, which was traditionally used by Native Americans like the Cherokees, who used it for its relaxing qualities.
[19:49.000 --> 19:55.000]  Be sure to take this product when you are completely ready for sleep because you will be down and out.
[19:55.000 --> 20:20.000]  Selling it out now at infowarstore.com.
[20:20.000 --> 20:26.000]  Welcome back, ladies and gentlemen. This is the Alex Jones show. I am your host, Harrison Smith. I'll just be sitting in for a few minutes.
[20:26.000 --> 20:35.000]  Alex is on his way. The return of Alex Jones is imminent, so fear not. He will be here very, very soon.
[20:35.000 --> 20:41.000]  But I'm sitting in for a few minutes in the meantime. I, of course, am the host of American Journal, the morning show here at InfoWars.
[20:41.000 --> 20:50.000]  And, boy, if you didn't watch American Journal this morning, you missed out because it's our call-in show. We spend at least half the show taking calls every episode.
[20:50.000 --> 20:58.000]  And some of the callers today were just incredible. And it really is great to just be able to interact with the audience.
[20:58.000 --> 21:01.000]  But in case you missed it, you might want to go back and check it out.
[21:01.000 --> 21:13.000]  We had one caller named David from California who was actually a transgender individual and talked about undergoing procedures at age 20 that he really regrets
[21:13.000 --> 21:19.000]  and has had something like nine open heart surgeries because of the side effects of the Lupron and some of the other.
[21:19.000 --> 21:27.000]  I'm not sure if that was the one he was on, but the really intense drugs that they put you on to change your gender have horrific side effects.
[21:27.000 --> 21:42.000]  And he was calling in to sort of make the connection between the heart damage that the vaccine has been shown to do and the heart damage that the transgender, you know, the affirmation drugs can do.
[21:42.000 --> 21:48.000]  And sort of saying, you know, why are they, why do they seem so desperate to promote things that destroy your heart and what could be behind that?
[21:48.000 --> 21:58.000]  And we did a little talking about, you know, what it was like for him to be transgender and to sort of be, well, as he put it, he said, you know, I believe the lies.
[21:58.000 --> 22:00.000]  And I fell for it and he regretted it.
[22:00.000 --> 22:05.000]  And he has trouble walking now because of some issues in his legs from the transgender stuff.
[22:05.000 --> 22:17.000]  But it was a very interesting call, a very informative call and some very interesting connections being made between the vaccine and these weird chemicals they're trying to give to children.
[22:17.000 --> 22:24.000]  And we had another caller named Tony from Denver who was talking about iodine and milk supply.
[22:24.000 --> 22:38.000]  She's had five kids in five years and she's 25 years old and was talking about how iodine was crucial in helping her breastfeed her children and how much more important that is now, especially if you can't rely on baby formula.
[22:38.000 --> 22:55.000]  But she also told a hilarious story about her husband being at a supermarket and making a joke about Michelle Obama actually being a man and the high school cashier person heard him say it and was sort of like, wait, what are you talking about?
[22:55.000 --> 23:06.000]  And so the guy started pulling up some Alex Jones videos and some Info Wars articles going, yeah, you know, Michelle Obama, she might not be, she might be the first lady after all, she might be something else.
[23:06.000 --> 23:15.000]  So then this kid gets intrigued, he starts looking into it, he realizes there's some validity to this, he ends up writing a paper for his school about it.
[23:15.000 --> 23:22.000]  The teacher refuses to grade him, gives him a failing grade because she says it's fake news, it's fake news, it's not true, you can't do it.
[23:22.000 --> 23:26.000]  And apparently this is what Tony from Denver told us this morning when she called in.
[23:26.000 --> 23:39.000]  They ended up taking it to court and the teacher got fired and lost their teaching license because of their behavior in this case about Michelle Obama's gender, her particular gender.
[23:39.000 --> 23:51.000]  So it was just a crazy story, you'll have to go back to this morning's episode to hear her tell it, but we're hoping the kid, the actual kid that wrote the story and was in the court case calls in so we can get the full details on that.
[23:51.000 --> 23:59.000]  And of course we had a caller who wanted to show off his info wagon, info war, his car completely decked out an info war sticker, awesome stuff.
[23:59.000 --> 24:04.000]  But we always hear great callers, we always get great insight from the info warriors out there.
[24:04.000 --> 24:08.000]  And today was particularly interesting and informative.
[24:08.000 --> 24:20.000]  But of course we spent a lot of time talking about the incredible news and headlines over this weekend, of which there is just an insane amount and good news, I guess, for everybody that hates children.
[24:20.000 --> 24:23.000]  This vaccine is now available for children.
[24:23.000 --> 24:39.000]  And it was approved unanimously by the FDA 21 to zero 21 people zero, you know, outliers in this, approving this COVID vaccine for zero to four year olds.
[24:39.000 --> 24:58.000]  Before they have made one complete circuit around the sun, children may be injected with this experimental gene altering spike protein creating death shot, which is just incredible because America is not only the only country in the world that now authorizes COVID shots for
[24:58.000 --> 25:09.000]  infants, but most other countries don't even allow him for the for adults. FDA advisors just voted 21 to zero to authorize Moderna's vaccine for children six months old to five years old.
[25:09.000 --> 25:17.000]  Germany, France, Denmark, Norway, Sweden and Finland have all suspended the Moderna vaccine for people under 30 due to safety concerns.
[25:17.000 --> 25:20.000]  But the US will now be giving this product to infants.
[25:20.000 --> 25:27.000]  It is absolutely wild how this is taking place and how they're, I guess, getting away with it.
[25:27.000 --> 25:43.000]  I mean, I guess they're just relying on the willful ignorance of the American people who slavishly adhere to the dictates of their of the authorities without doing even a modicum of research, you know, outside of that just whatever, whatever, you know, God says they do.
[25:43.000 --> 25:53.000]  And in their case, you know, their God is this, you know, scientific, technocratic, hellish authoritarian despotism that we're under right now.
[25:53.000 --> 26:03.000]  But some other news that came out this weekend, sort of ironically coincidentally at the same time that they're allowing little baby children to take this shot.
[26:03.000 --> 26:11.000]  We also learned that the COVID-19 vaccination temporarily impairs semen concentration and total motile count among semen donors.
[26:11.000 --> 26:24.000]  So they showed that, you know, the ability for people to reproduce may have been reduced by 15.4%. That's the sperm concentration decrease.
[26:24.000 --> 26:30.000]  And the motile count decreased 22.1%, so nearly a fifth down.
[26:30.000 --> 26:35.000]  So in case you were wondering, yes, it's basically confirmed now.
[26:35.000 --> 26:45.000]  If it's not on purpose, then there's just coincidentally and accidentally and serendipitously depopulation effects of this vaccine.
[26:45.000 --> 26:51.000]  It's just as horrific as you can possibly imagine.
[26:51.000 --> 27:08.000]  Story from heartgroup.org, FDA unanimously approves COVID vaccine for zero to four year olds. The FDA met on the 15th of June and despite all of the evidence of non-efficacy from the infant Pfizer vaccine and still total lack of data on long term harms, they voted to go ahead.
[27:08.000 --> 27:21.000]  And the last 18 months or anything to go by the MHRA will soon follow, followed by a respectable few weeks by the JCVI. Indeed, vaccines for this age group is already listed for JCVI discussion before the UK regulators make any decision.
[27:21.000 --> 27:29.000]  They would do well to read a detailed letter to the FDA from Senator Robert F. Kennedy, who says it was depressing that the FDA meeting.
[27:29.000 --> 27:38.000]  None of the members pointed out that two months follow up is totally inadequate for assessing safety nor question the use of an antibody level as a measure of success.
[27:38.000 --> 27:45.000]  No specific level of antibody exists, which provides protection against COVID. So how can this be used as a useful measure for young children?
[27:45.000 --> 27:49.000]  Much of their reduced risk from COVID arises from their superior innate immunity.
[27:49.000 --> 27:59.000]  And in the presentation of the FDA, Pfizer presented evidence that only antibodies produced in the children were the Wuhan spike with no detectable antibodies to the Omicron spike.
[27:59.000 --> 28:04.000]  So doesn't help, doesn't stop you from getting COVID. And in fact, we'll show you on the other side here.
[28:04.000 --> 28:15.000]  We'll pull in the video during the break, but the Will Linsky, the CDC head, when she announced that vaccines were now available for children, she didn't even make the claim that it would stop them from getting COVID.
[28:15.000 --> 28:22.000]  It's acknowledged now and really undeniable. It does not stop you from getting COVID. It does not stop you from spreading COVID.
[28:22.000 --> 28:38.000]  Of course, we've known this since very, very early on, but it's worth it to reiterate, especially when the head of the CDC, in her celebration of being able to inject this into little baby children now, doesn't even make the claim that it can stop you from getting the virus.
[28:38.000 --> 28:45.000]  No, the claim she makes is that it will stop you from getting the severe virus or from being hospitalized or from dying from the virus.
[28:45.000 --> 28:52.000]  But of course, we know that's not true. At least we know it's not true. In the case of adults, you're more likely to get severe COVID if you've gotten the vaccine.
[28:52.000 --> 29:09.000]  That was the latest from the study last week, but we'll show you the videos on the other side where they're pushing it to kids. Stay tuned.
[29:22.000 --> 29:28.000]  God helps those who help themselves. We have a lot of amazing products on sale right now at infowarstore.com.
[29:28.000 --> 29:35.000]  Like the ultimate immune support pack, our four best-selling products together at 60% off.
[29:35.000 --> 29:46.000]  We have the Traffecta Special, three of the best-selling items for 50% off, and X2 Sold Out, so important for your immune system, back in stock for 40% off for a limited time because you have limited supplies.
[29:46.000 --> 29:53.000]  In fact, one of these items, we only have 2,000 bottles up, so the ultimate sale will probably be over in just a few days.
[29:53.000 --> 30:20.000]  Take advantage of this and boost your immune system now and protect yourself and your family at infowarstore.com.
[30:23.000 --> 30:33.000]  Thank you so much for watching this video.
[30:53.000 --> 30:59.000]  We did this together, so God bless you all. Let's keep fighting.
[31:24.000 --> 31:38.000]  The new film, the seminal film, the most important documentary ever made in my view, 2,000 Mules, is now available on DVD with expanded extras at infowarstore.com.
[31:38.000 --> 31:44.000]  You can also get the powerful film with other documentaries discounted at infowarstore.com.
[31:44.000 --> 31:48.000]  Everyone needs this DVD in their library to show everyone you know.
[31:48.000 --> 31:55.000]  We have the tools to bring these criminals to justice. If they're planning to run the same scams again, this film can stop them if you take action.
[31:55.000 --> 32:21.000]  infowarstore.com, 2,000 Mules.
[32:25.000 --> 32:32.000]  So, don't you get the big secret? You've never seen fish oil look like that? No, you've never seen that, have you?
[32:32.000 --> 32:42.000]  And this little jewel right here is solid, liquid consciousness.
[32:42.000 --> 32:50.000]  Look it up. Find out how even the FDA and the government admit that fish oil is incredible.
[32:50.000 --> 32:55.000]  The only thing anybody can do for themselves is take good fish oil or krill oil.
[32:55.000 --> 32:59.000]  Just like our information is dynamite, so are our products in 4store.com.
[32:59.000 --> 33:09.000]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[33:09.000 --> 33:29.000]  Welcome back, ladies and gentlemen. Yes, the empire is on the run. The rebellion is growing stronger and boy, things are changing.
[33:29.000 --> 33:42.000]  We'll talk about that in just a second, the way that some of the old school blue blood Republicans are running headlong into the bulwark of the new conservatives, the new Republican Party.
[33:42.000 --> 33:55.000]  People that are not satisfied with merely losing graciously but actually want to win and push back and regain some semblance of common sense in this country, in our country.
[33:55.000 --> 34:17.000]  We'll talk about that in just a second, but we're talking about the fact that the FDA has now over this weekend unanimously approved COVID vaccine for children 0 to 4 years of age and complete contradiction to any other country, any other reasonable proceedings.
[34:17.000 --> 34:35.000]  I mean, you get the kids don't really get severe COVID, right? As a kid, you're not very likely to get COVID at all. If you do get it, it's not very likely to be severe and hardly any children have died from it across the entire country.
[34:35.000 --> 34:59.000]  It doesn't matter, apparently, they're going to start injecting kids with this horrific gene altering poison that they call a vaccine. Of course, they had to change the definition in order to call it a vaccine, but they don't let little things like the definition of words or truth or reality get in the way of their mad desperate drive towards depopulation and total control.
[34:59.000 --> 35:15.000]  And the kids are just the next step, in this case, stepping like a giant, stepping, crushing everyone underneath them. Well, now the children are in the shadow of that falling foot and they will soon be crushed like the rest of us.
[35:15.000 --> 35:31.000]  And they're excited to announce this. Let's go to the CDC announcement for vaccines under five and let's listen, let's pay attention and tell me if you hear any claims that she makes. She doesn't claim that they won't get COVID. She doesn't claim that they won't spread COVID.
[35:31.000 --> 35:41.000]  Now she only makes one claim here and it's a tenuous and dishonest one. So here she is, Rachel Wolinski, CDC.
[35:41.000 --> 35:46.000]  I know many parents with very young children have been anticipating this day.
[35:46.000 --> 35:56.000]  We now know based on rigorous scientific review that the vaccines available here in the United States can be used safely and effectively in children under five.
[35:56.000 --> 36:04.000]  Vaccinating young children is a critical opportunity to protect them against hospitalization and death from COVID-19.
[36:04.000 --> 36:10.000]  Parents, I strongly encourage you to get your children vaccinated.
[36:10.000 --> 36:25.000]  So I don't know, you can either go with her, the head of the CDC and all of her, you know, righteous power or just, you know, info wars, the outlet that's been right about everything the entire time.
[36:25.000 --> 36:39.000]  But notice she didn't say protect your child from COVID. Stop your child from getting COVID. No, she said stop your child from severe COVID and hospitalization and death from COVID.
[36:39.000 --> 36:50.000]  It's somewhat ironic, however, because we did cover the story last week that showed that severe COVID in this particular and very wide ranging study did not occur in the unvaccinated.
[36:50.000 --> 37:01.000]  It only occurred in the vaccinated. So that was their last, like I said, tenuous, their last thread they were clinging onto to try to justify why this vaccine could possibly be a good idea.
[37:01.000 --> 37:11.000]  And of course, it was largely non-fossifiable, right? You can't have it both ways. So that's why you had people saying, well, I've got COVID, but it would have been worse if I didn't get the vaccine.
[37:11.000 --> 37:21.000]  Well, you can't know that. It's impossible to know. It's impossible to falsify. You can't have the same person with the same infection in two different forms, vaccinated and unvaccinated.
