[00:00:00.169 --> 00:00:00.730]  I'm a fighter.
[00:13:26.624 --> 00:13:30.087]  So I'm honored these powerful forces are obsessed with taking us down and silencing us.
[00:13:30.147 --> 00:13:31.328]  I mean, I expect that to happen.
[00:13:31.388 --> 00:13:33.269]  It's still amazing to actually be at the center of it.
[00:13:34.430 --> 00:13:35.131]  And so there's that.
[00:13:36.552 --> 00:13:39.414]  Please spread the word about the broadcast and realize it's so precious.
[00:13:39.854 --> 00:13:46.620]  And every guest we have and every topic we cover, the information we go over is something that really scares the power structure because they know it's the truth.
[00:13:48.484 --> 00:13:50.486]  Also, financially support InfoWars.
[00:13:52.228 --> 00:13:54.630]  The individuals doing all this don't want to get money.
[00:13:55.190 --> 00:14:02.657]  They want to get charging orders to just come and close the doors and shut down the warehouse and shut down the shopping cart and physically fire all these employees.
[00:14:02.697 --> 00:14:03.938]  That's the stated, admitted goal.
[00:14:05.460 --> 00:14:07.001]  Obviously, I'll be able to stay on air.
[00:14:07.081 --> 00:14:23.893]  I'll be able to limitedly do what I've been doing, but all the Gregg Reese reports, and the Christy Lee reports, and the Darren McBrain reports, and all the things you've seen over the years, and those things that really are so hardcore and so special in the films and all of it, that will be further crippled, and that will be a big victory for the establishment.
[00:14:23.933 --> 00:14:31.577]   So, I mean, I would tell you right now, ladies and gentlemen, that if you want us to be able to stay on air, And be able to move forward in the future.
[00:14:31.697 --> 00:14:36.078]  I need you now to not wait and to go to infowarestore.com.
[00:14:36.478 --> 00:14:48.520]  Especially those of you that have never bought a book, never bought a film, never bought a t-shirt, never got a supplement, never got an air filtration, water filtration, shortwave radio, thousands of great items, books, you name it, at infowarestore.com.
[00:14:48.580 --> 00:14:49.461]  Get your living defense.
[00:14:49.521 --> 00:14:50.241]  Get your knockout.
[00:14:50.281 --> 00:14:51.021]  It's back in stock.
[00:14:51.681 --> 00:14:53.581]  Body's ultimate turmeric formula, lung cleanse.
[00:14:54.741 --> 00:14:57.022]  They're all there at infowarestore.com.
[00:14:57.743 --> 00:15:04.223]   And it's just that simple. There's also a button up on the top of the shopping cart that says support.
[00:15:04.223 --> 00:15:08.143]   And it says become a sponsor. And you just click there and you can give a monthly donation or just
[00:15:08.143 --> 00:15:12.543]   give a one-time donation. And then we actually get 95 percent of that money instead of just,
[00:15:12.543 --> 00:15:19.422]   you know, 30 or 40 percent, 50 percent with the sale of the product. So this is do or die time.
[00:15:19.634 --> 00:15:27.943]  If you want to keep us on air through these attacks of the system and the system pulling out all the stops to try to silence us, then this is the time.
[00:15:28.003 --> 00:15:29.345]  They are trying to silence you.
[00:15:30.186 --> 00:15:34.490]  They're trying to take down the leading voice of resistance.
[00:15:35.251 --> 00:15:38.275]  So I simply need you to go to Infowarstore.com.
[00:15:39.844 --> 00:15:41.724]  Or call toll-free, 888-253-3139.
[00:15:41.804 --> 00:15:50.606]  And also, I'm going to add a little link so you can donate to InfoWars right under the live show feed today, or maybe even above it.
[00:15:50.646 --> 00:15:56.608]  I'll say, donate to InfoWars to help us defend the First Amendment and stop the globalist program.
[00:15:56.628 --> 00:15:59.328]  We're going to put a link directly to the shopping cart.
[00:16:00.009 --> 00:16:05.950]  And I mean, I need, we're already totally maxed out and I am expending my backup capital.
[00:16:07.137 --> 00:16:11.822]  And I am very honored to do that, except when I run out of that, that'll be it.
[00:16:11.882 --> 00:16:14.224]  I'll have to start laying people off and cutting stuff.
[00:16:14.985 --> 00:16:27.478]  And again, the other side knows that and they just want us silenced because they do not like the topics we cover, what we do and how we stand up to this takeover, this bullying that we're all witnessing.
[00:16:27.538 --> 00:16:30.120]   So again, InfoWarsStore.com.
[00:16:30.821 --> 00:16:32.902]  And for some reason, we hide the hell out of the link to donate.
[00:16:33.943 --> 00:16:38.106]  So, you know, I'll add a banner at the top of InfoWarsStore.com right now.
[00:16:38.187 --> 00:16:40.368]  So you can also go right to the donate button.
[00:16:40.388 --> 00:16:41.749]  But we need your support now.
[00:16:42.290 --> 00:16:45.892]  Ladies and gentlemen, InfoWarsStore.com or 888-253-3139.
[00:16:46.273 --> 00:16:51.417]  There's a lot of treachery, a lot of evil out there, but there's also a lot of good.
[00:16:51.717 --> 00:16:52.658]  So I thank you for your support.
[00:16:52.698 --> 00:16:53.198]  We need your help.
[00:16:54.079 --> 00:16:57.662]  InfoWars is not going down without a fight.
[00:16:58.487 --> 00:17:02.249]  And the system knows that, and so they've pulled out all the stops.
[00:17:03.109 --> 00:17:04.510]  Welcome back to the Alex Jones Show.
[00:17:04.570 --> 00:17:13.914]  You know, we've just recently seen calls for Dianne Feinstein to step down because she's so senile and can barely talk.
[00:17:13.934 --> 00:17:22.278]  But when you actually see her give a speech, she has more cognitive ability than Ruth Bader Ginsburg did before she died or Joe Biden.
[00:17:23.559 --> 00:17:25.400]  So why do they want her gone?
[00:17:26.769 --> 00:17:27.689]  That's an interesting question.
[00:17:27.709 --> 00:17:30.230]  She is a Chinese double agent on record.
[00:17:31.430 --> 00:17:35.912]  But this is just emblematic of the rotting establishment that we have that's in control.
[00:17:35.972 --> 00:17:37.392]  But look at some of these headlines.
[00:17:38.512 --> 00:17:48.975]  The Washington Post, with the sub-headline, Democracy Dies in Darkness, says it's time to give the elites a bigger say in choosing the president.
[00:17:50.336 --> 00:17:50.916]  The elites!
[00:17:51.876 --> 00:17:57.168]   But then when Elon Musk wants to buy Twitter for free speech, He's a danger to the world.
[00:17:57.208 --> 00:17:57.788]  Here's another one.
[00:17:58.229 --> 00:17:59.690]  Real clear policy.
[00:17:59.770 --> 00:18:02.472]  Time to give elites a bigger say in choosing the president.
[00:18:03.252 --> 00:18:03.973]  Washington Post.
[00:18:05.714 --> 00:18:08.756]  To save democracy, we need a few good dictators.
[00:18:10.397 --> 00:18:11.338]  That's out of Bloomberg!
[00:18:12.299 --> 00:18:17.562]  We need to get rid of freedom.
[00:18:20.184 --> 00:18:22.386]  To save democracy, we need a few good dictators.
[00:18:22.406 --> 00:18:24.667]  We just showed a Financial Times of London headline.
[00:18:24.707 --> 00:18:25.428]  It's almost the same.
[00:18:27.858 --> 00:18:28.458]  Think about that.
[00:18:30.159 --> 00:18:39.004]  And you've got Harari, Noah Harari, the spokesperson for the Davos Group, saying, the end of humans is here.
[00:18:39.024 --> 00:18:40.305]  We're going to force the end of humans.
[00:18:40.345 --> 00:18:41.125]  Humans are bad.
[00:18:41.145 --> 00:18:42.926]  AI is taking you over.
[00:18:43.206 --> 00:18:46.228]  We're colonizing our bodies with the vaccines right now with nanotech.
[00:18:47.168 --> 00:18:49.610]  And then we point out he's saying that, and they go, oh, you're crazy.
[00:18:49.650 --> 00:18:50.290]  It doesn't exist.
[00:18:50.990 --> 00:18:51.871]  You need to be silenced.
[00:18:52.391 --> 00:18:54.072]  You are discrediting the power structure.
[00:18:55.093 --> 00:18:59.653]   Why would anyone, especially folks with children, Go along with this.
[00:19:01.994 --> 00:19:04.754]  Why would anyone accept headlines everywhere?
[00:19:04.774 --> 00:19:10.256]  I mean, the New York Times just had a bunch of headlines this year saying, it's time to stop telling the truth.
[00:19:10.396 --> 00:19:12.856]  It's time to stop asking questions.
[00:19:14.577 --> 00:19:15.917]  It's good to be lied to.
[00:19:16.057 --> 00:19:16.777]  These are headlines.
[00:19:19.638 --> 00:19:20.898]  Oh, don't ask too many questions.
[00:19:20.938 --> 00:19:22.118]  Don't do your own research.
[00:19:22.499 --> 00:19:23.979]  These are quotes.
[00:19:25.307 --> 00:19:36.312]  And the only way they can gaslight you and tell you all this and tell you things that are demonstrably authoritarian and dangerous and not true is if there's no opposition anywhere.
[00:19:36.612 --> 00:19:38.853]  That's why they're getting rid of the comments all over the internet.
[00:19:39.433 --> 00:19:50.918]  That's why they're getting rid of any ways for you to communicate because they are bringing in a prison lockdown society and InfoWars is just a canary in that coal mine.
[00:19:53.612 --> 00:20:13.507]  They are accelerating the demise of the currency all over the world to bring in the new global digital programmable token that the central banks will control worldwide and they will connect to your social credit score to monitor and track your behavior.
[00:20:14.328 --> 00:20:32.913]   And a lot of people are going to be, well, I'll just comply, but they're always going to add more compliance to what you've got to do until You're as bad off as they are in communist China with years of lockdown, starvation, mass suicide and death for asymptomatic people not even dying of COVID.
[00:20:33.653 --> 00:20:37.254]  It's all a raw exercise of power.
[00:20:38.714 --> 00:20:42.955]  And I am just here fighting as hard as I can with everything I've got.
[00:20:45.496 --> 00:20:47.917]  Try to stay on air as long as possible.
[00:20:49.071 --> 00:20:52.894]  Until humanity finds its soul again and stands up peacefully and says no.
[00:20:52.934 --> 00:20:55.056]  And that's starting to happen.
[00:20:56.337 --> 00:21:01.841]  So they had two years of police state, they backed off a little because all the prominent people were waking up and speaking out.
[00:21:03.142 --> 00:21:04.824]  And the attempts to silence people weren't working.
[00:21:05.184 --> 00:21:17.914]  So they backed off some, but now they're setting up and preparing the next wave of fear, the next wave of control, the next group of lockdowns, the next group of censoring and systems to silence their opposition.
[00:21:21.431 --> 00:21:26.634]  You can't avoid this corruption and just hide under a rock and hope it goes away.
[00:21:26.934 --> 00:21:27.955]  It's not going to go away.
[00:21:28.695 --> 00:21:42.304]  And I am very honored and blessed that we've been on the air 28 years and have learned a lot together and have made mistakes, but overall have changed the world for the better and have really gotten more accurate and more truthful and more insightful as time goes on.
[00:21:43.044 --> 00:21:53.412]  And that is all the good brain and soul God gave me, and the great brain and soul God gave you, and all the listeners, and all the guests, and this family that is in full force.
[00:21:53.432 --> 00:21:58.736]  But I got to tell you, folks, you're the only thing in our corner, and I'm in your corner.
[00:21:59.696 --> 00:22:06.121]  It's not the courts, it's not the corrupt bureaucracies, it's not the systems, and it's three things that override the enemy.
[00:22:06.141 --> 00:22:06.801]  And you know what they are?
[00:22:06.841 --> 00:22:13.124]   It's prayer, It's word of mouth to make sure this broadcast gets through the censors, it gets to the right people, and it's money.
[00:22:13.924 --> 00:22:15.384]  And I'm firing the bat signal here.
[00:22:15.404 --> 00:22:20.846]  You know, we've been firing it for a while, but now I'm like, folks at the Alamo, send that letter out.
[00:22:21.166 --> 00:22:21.907]  I'm not going to give up.
[00:22:21.947 --> 00:22:22.807]  I'm not going to back down.
[00:22:23.107 --> 00:22:26.668]  I'm sending a letter out saying, please send reinforcements, but we're going to stay here.
[00:22:27.309 --> 00:22:30.510]  And I'm telling you, ladies and gentlemen, whatever has to happen is going to happen.
[00:22:30.550 --> 00:22:33.571]  But I want to be strong and I want to continue to persevere.
[00:22:34.971 --> 00:22:42.357]   And the biggest way you can do that right now, Is by going to InfoWareStore.com and getting things you already need.
[00:22:42.498 --> 00:22:47.631]  I mean, look, I shouldn't even be selling all this stuff on sale because here's the predicament we're in.
[00:22:49.924 --> 00:22:56.508]  I'm spending almost all the money that comes in on infrastructure and the crew and legal and bandwidth and all of it.
[00:22:57.248 --> 00:23:02.471]  And then we have to buy product going forward and prices have gone up and supply chains have broken down.
[00:23:02.491 --> 00:23:05.173]  Instead of six weeks, it's 25, 30 weeks for a product.
[00:23:05.393 --> 00:23:11.257]  And we've got that money where now people used to let you do it for no money down and pay when it was ready or half the money down.
[00:23:12.199 --> 00:23:13.340]  And then pay when you got the rest.
[00:23:13.740 --> 00:23:15.061]  We don't get that with anybody anymore.
[00:23:15.842 --> 00:23:28.372]  And so, I'm sitting here looking at the product we've got, the books, the films, the t-shirts, everything we've got in stock and thinking, I can run off this stock for six, seven months, no problem.
[00:23:30.083 --> 00:23:38.254]  But then I'll have to basically implode and let go of most of the crew and do the show on a shoestring.
[00:23:38.514 --> 00:23:43.181]  It'll still be to everywhere, it'll still be available, it'll still be huge but not as effective.
[00:23:44.964 --> 00:23:46.605]  I don't want that to happen.
[00:23:46.625 --> 00:23:47.645]  So it's really simple.
[00:23:47.885 --> 00:24:04.950]  All of you that have been on the fence, all of you that have listened to the show over the years and never gone to InfoWarsTore.com, folks that have been doing that are the reason that the broadcast is still here and we've influenced so many powerful people and so many important people and so many influential people and so many great common people.
[00:24:05.030 --> 00:24:08.251]  It's just immeasurable what this family of InfoWars has done.
[00:24:09.111 --> 00:24:10.392]  And so we've already had a mighty effect.
[00:24:10.412 --> 00:24:11.373]  That's why they hate us so much.
[00:24:11.413 --> 00:24:14.235]  But I believe our most important work is still to come.
[00:24:14.255 --> 00:24:17.438]  But I can't win this fight without your commission.
[00:24:17.958 --> 00:24:26.145]  And your commission is praying for us, spreading the word, sharing the articles and videos and information, and going to infowarestore.com.
[00:24:26.185 --> 00:24:28.266]  So I need to see.
[00:24:28.326 --> 00:24:29.507]  I'm making some decisions right now.
[00:24:30.628 --> 00:24:31.329]  I need to see.
[00:24:32.526 --> 00:24:37.315]  From you, a sign that you want to support us.
[00:24:37.515 --> 00:24:41.242]  I need to see that you really want me to take it to the next level.
[00:24:41.823 --> 00:24:41.883]  Or...
[00:24:43.963 --> 00:24:48.426]  If you're not in the fight, and you don't think it's important to keep us on air, I totally understand.
[00:24:48.806 --> 00:24:50.707]  It's a free will universe, and I'm not even mad at you.
[00:24:50.908 --> 00:24:53.089]  And that's God's will, because I'm pretty tired.
[00:24:53.669 --> 00:24:54.890]  But I'm not going to give up.
[00:24:55.591 --> 00:24:56.931]  I could just give out, as they say.
[00:24:56.992 --> 00:24:59.433]  So go to infowarrestore.com right now.
[00:24:59.493 --> 00:24:59.913]  Don't wait.
[00:25:00.534 --> 00:25:02.435]  And get the new Alex Jones was right shirt.
[00:25:02.495 --> 00:25:03.336]  It's a fundraiser shirt.
[00:25:04.036 --> 00:25:05.317]  It's sold at a little bit of a premium.
[00:25:05.357 --> 00:25:06.719]  All the other shirts are being sold at cost.
[00:25:07.239 --> 00:25:07.920]  Total clearance.
[00:25:08.500 --> 00:25:09.361]  Alex Jones was right.
[00:25:09.841 --> 00:25:10.982]  Get yours for men and women today.
[00:25:11.042 --> 00:25:11.583]  It's historic.
[00:25:12.023 --> 00:25:13.445]  On the back, InfoWars.com.
[00:25:14.265 --> 00:25:19.190]  And again, this could be the last time in the last few months you're going to get any of this stuff because I can tell you folks, I'm not playing around.
[00:25:19.570 --> 00:25:20.991]  We are barely operating.
[00:25:22.613 --> 00:25:25.856]  And we are back on this Live Monday edition.
[00:25:26.736 --> 00:25:28.198]  Judge Andrew Napolitano.
[00:25:31.109 --> 00:25:34.271]  is going to be joining us coming up in the third hour today.
[00:25:34.291 --> 00:25:38.633]  Then host Gerald Salente is going to be live during the fourth hour.
[00:25:40.514 --> 00:25:56.242]  We now know it's mainstream news, federal filings, that the DOJ was working with the CIA to spy on candidate and then President-elect and then President Trump, as we told you five years ago, and that they were planting and creating false information.
[00:26:00.796 --> 00:26:13.562]  And we just saw a federal jury in Michigan find not guilty and then mistrial the others for the kidnapping plot for Governor Whitmer.
[00:26:16.323 --> 00:26:21.185]  They had another big federal trial there a few years ago with the Hatari militia they had set up and provocateured.
[00:26:21.585 --> 00:26:22.706]  They all were found not guilty.
