[00:00:00.049 --> 00:00:01.670]  Breaking bombshell!
[00:06:38.345 --> 00:06:41.067]  And I said, that's a really good question.
[00:06:41.287 --> 00:06:44.308]  Author, filmmaker, geoengineeringwatch.org.
[00:06:47.430 --> 00:07:05.100]  With them rolling out the public geoengineering now and the poisoning of the Earth's surface by nanoparticles, aluminum dioxide, barium salts, and others, and this now being mainstream news, total vindication of people like Dane Whittington, who's always up to date on the latest developments.
[00:07:06.341 --> 00:07:07.402]  And it's been a good decade.
[00:07:09.181 --> 00:07:11.223]  Since he's been on with us, it seems like five minutes ago.
[00:07:12.003 --> 00:07:14.345]  So that's why I love talking to folks in the street.
[00:07:14.485 --> 00:07:18.348]  He is joining us, coming up at the bottom of the next hour.
[00:07:19.649 --> 00:07:22.411]  Then we've had some big developments happen with Reset Wars.
[00:07:22.811 --> 00:07:24.032]  Really, people are loving it.
[00:07:24.412 --> 00:07:26.113]  But massive censorship attacking it.
[00:07:26.554 --> 00:07:27.814]  Jake Ducey's going to be joining us.
[00:07:29.195 --> 00:07:31.337]  And Ezra Levant of Rebel Media.
[00:07:31.717 --> 00:07:34.159]  Man, that guy's got more energy than the Energizer bunny.
[00:07:34.359 --> 00:07:37.762]  He's been all over Canada, crisscrossing, and he's there.
[00:07:38.755 --> 00:07:43.698]  Where the truckers have taken over the highway and have a blockade on the U.S.
[00:07:43.718 --> 00:07:45.398]  side going into Canada.
[00:07:46.999 --> 00:07:52.402]  Right dead center in the north center area of the United States on the Canadian border.
[00:07:53.443 --> 00:07:55.344]  So they've got the exclusive situation here.
[00:07:55.364 --> 00:07:58.845]  He's joining us at the start of the next hour and about 55 minutes.
[00:08:00.487 --> 00:08:01.808]  And he's got exclusive information.
[00:08:01.828 --> 00:08:04.470]  They have SWAT teams there threatening people.
[00:08:04.571 --> 00:08:05.792]  Just absolute tyranny.
[00:08:06.072 --> 00:08:08.234]  But meanwhile, that's what the Great Reset is.
[00:08:08.294 --> 00:08:10.175]  It's a global blockade against small businesses.
[00:08:10.756 --> 00:08:12.817]  It's a global blockade against families and schools.
[00:08:12.837 --> 00:08:15.420]  It's a global blockade against our right to travel.
[00:08:15.460 --> 00:08:19.283]  It's a global blockade until we accept a travel digital pass.
[00:08:19.343 --> 00:08:20.384]  It's a social credit score.
[00:08:22.185 --> 00:08:27.630]  It's a global blockade to bankrupt us, to put us on a social credit score system controlled by universal basic income.
[00:08:30.859 --> 00:08:32.679]  And so, what do they expect?
[00:08:32.739 --> 00:08:35.240]  We're fighting back with what they're doing to us.
[00:08:37.001 --> 00:08:39.061]  And people there are exposing that it's a Great Reset.
[00:08:39.641 --> 00:08:48.884]  People there are exposing that the government of the United States and the government of Canada, now hijacked and run by globalists, in the words of Klaus Schwab, he brags he runs the U.S.
[00:08:48.924 --> 00:08:54.945]  government, on television in Harvard, with David Gergen, who ran five administrations.
[00:08:56.625 --> 00:08:57.486]  Two peas in a pod.
[00:08:57.606 --> 00:08:58.466]  Shadow governors.
[00:09:00.805 --> 00:09:02.746]  And there they are clapping and there they are nodding.
[00:09:02.786 --> 00:09:08.887]  Last year when he said, we control your government, we control others, we have half the world's cabinets under our control.
[00:09:09.287 --> 00:09:11.748]  This wasn't Cobra Commander in some cartoon in the 80s.
[00:09:12.208 --> 00:09:15.889]  I now control half the major governments with my agents.
[00:09:16.789 --> 00:09:21.750]  I mean, I watched those in the early 1980s, you know, when I was like 12 years old or whatever.
[00:09:23.971 --> 00:09:41.598]   And it's like we live in a Cobra Commander script, except They're now purging our own military with the force inoculations and the critical race theory and all of it, so they can get all the good people out and put the agents of chaos, the agents of Spectre, the agents of Cobra in control.
[00:09:43.979 --> 00:09:56.222]  So I can cover a million things here today, but you have to understand this is a global, corporate, biomedical, dictatorship, tyranny, coming down on everyone.
[00:09:57.102 --> 00:10:10.094]  And when you look at the globalists that go to the Kennedy School, and go to the CFR, and go to the Trilateral Commission, and go to the Davos Group, and go to the Bilderberg Group, the top hundred of them are on all the boards of all the groups and run everything.
[00:10:10.634 --> 00:10:15.559]  Carnegie, Ford, Rockefeller Foundations, and now Bill and Melinda Gates Foundations.
[00:10:17.168 --> 00:10:20.790]  And they run the show, and they're mad scientists, and they brag.
[00:10:21.711 --> 00:10:26.474]  The head scientist of the Davos Group says, we are colonizing your bodies with nanotech.
[00:10:26.995 --> 00:10:30.697]  The future, quote, is not human.
[00:10:33.959 --> 00:10:41.904]  So before I cover all this huge breaking news, and it's massive, I want to just be very calm and very straightforward with all of you about this.
[00:10:41.924 --> 00:10:43.986]  I want this to sink in real good.
[00:10:46.684 --> 00:11:01.995]  This morning I was hiking in the early dawn light with my son on the Greenbelt, and it really hit me that of course they're not just trying to collapse America and the West.
[00:11:02.355 --> 00:11:05.698]  Of course they're not just trying to collapse our families and our borders and our currencies.
[00:11:07.216 --> 00:11:13.038]  With their geoengineering on record, they are killing the major soils of the world.
[00:11:13.558 --> 00:11:15.119]  The soil is a living thing when it's healthy.
[00:11:15.519 --> 00:11:16.659]  They are murdering it.
[00:11:18.840 --> 00:11:24.561]  And I can read the statistics and the studies of bees collapsing worldwide, except Cuba where they don't allow chemtrails.
[00:11:26.182 --> 00:11:40.514]   And I can go to our own family ranch that goes back on my dad's side Over, it's almost, I guess you count babies in the family, nine generations, it's not almost nine, it's nine generations now, since the 1820s.
[00:11:40.814 --> 00:11:43.916]  And when I was a child, it looked like Sherwood Forest.
[00:11:45.696 --> 00:11:52.079]  Out of movies you'd see about Robin Hood, it looked like Lord of the Rings, where the hobbits are in the shires.
[00:11:52.140 --> 00:12:03.585]  I mean, on our property, thousands of oak trees, five, six, seven, eight feet around, hundreds of trees, as big as you can imagine.
[00:12:04.378 --> 00:12:06.980]  Five people couldn't hold their hands around it and get all the way around them.
[00:12:07.320 --> 00:12:08.321]  Huge trees!
[00:12:08.982 --> 00:12:09.482]  Massive!
[00:12:09.922 --> 00:12:14.606]  So gorgeous when I was a child, hiking out there and hunting out there, just looking at it.
[00:12:14.666 --> 00:12:16.067]  We own property with this?
[00:12:17.488 --> 00:12:18.849]  It's ridiculously gorgeous.
[00:12:20.150 --> 00:12:26.435]  With all those old family homesteads and little cleared areas and little old dug wells and collapsed log cabins back in the woods.
[00:12:26.835 --> 00:12:27.696]  You know, really spooky.
[00:12:27.956 --> 00:12:28.877]  And you know what's there now?
[00:12:28.897 --> 00:12:32.840]  95% of those oak trees are deader than a hammer.
[00:12:34.807 --> 00:12:35.747]  And you know when they started dying?
[00:12:35.968 --> 00:12:36.828]  Mid-1990s.
[00:12:37.708 --> 00:12:38.709]  Aluminum dioxide.
[00:12:38.869 --> 00:12:39.469]  Barium salt.
[00:12:41.070 --> 00:12:44.411]  And there's just all these giant, mega-beautiful trees collapsed and dead.
[00:12:44.631 --> 00:12:46.172]  There are huge arms on the ground.
[00:12:46.672 --> 00:12:48.873]  And we're there just cutting it up for firewood.
[00:12:50.854 --> 00:12:54.796]  And that's emblematic of the death of our Earth.
[00:12:56.376 --> 00:12:58.157]  They are murdering our Earth.
[00:12:58.237 --> 00:13:01.358]  And Monsanto has come out with over a hundred seeds last time I checked.
[00:13:01.519 --> 00:13:02.339]  This was a decade ago.
[00:13:03.709 --> 00:13:15.016]  A hundred seeds, corn, and wheat, soybeans, everything that can grow in, wait for it, high aluminum soil, because nothing can grow in that.
[00:13:15.336 --> 00:13:19.238]  They are making GMO crops that only will grow in the future.
[00:13:19.418 --> 00:13:20.979]  Think of the evil of that.
[00:13:21.559 --> 00:13:24.559]  Think of the will to carry that out.
[00:13:24.559 --> 00:13:38.578]   I mean, our family land is still beautiful, but it's unrecognizable to just see dead oak trees
[00:13:38.578 --> 00:13:47.418]   and barely hanging on pine trees and just nothing left but yaupon and scrub brush,
[00:13:47.418 --> 00:13:51.959]   because it was chemically wiped out by Bill Gates in the Department of Energy.
[00:13:51.959 --> 00:14:01.958]  [BLANK_AUDIO]
[00:13:55.683 --> 00:13:56.143]  Unbelievable.
[00:13:58.547 --> 00:14:01.148]  And there isn't one-tenth as many insects as there was.
[00:14:01.368 --> 00:14:02.389]  And the studies show that, too.
[00:14:02.589 --> 00:14:03.710]  But I don't need studies.
[00:14:03.910 --> 00:14:04.950]  I can see it.
[00:14:06.171 --> 00:14:07.491]  Like, somebody flipped a switch.
[00:14:07.511 --> 00:14:13.054]  I remember my uncle, who runs the cows out there and stuff, in the mid-90s, going, I don't know why all these oak trees are dying.
[00:14:13.855 --> 00:14:14.675]  It's not oak wilt.
[00:14:14.715 --> 00:14:15.555]  They had people come out and check.
[00:14:15.856 --> 00:14:18.337]  They're just because they're spraying aluminum on them.
[00:14:20.178 --> 00:14:24.760]  So we can sit here and talk about this all day long, but you heard about Agent Orange getting sprayed?
[00:14:27.202 --> 00:14:32.726]  On the Vietnamese, well, that's nothing compared to what they're spraying us with.
[00:14:32.926 --> 00:14:37.089]  And that's why they tell you, in about the year 2030, everything collapses and we all die.
[00:14:37.109 --> 00:14:39.850]  And William Shatner says, I've been told everyone will soon be dead.
[00:14:39.870 --> 00:14:44.513]  The Great Cataclysm is coming because they are collapsing the Earth.
[00:14:44.934 --> 00:14:46.175]  They are killing the Earth.
[00:14:46.435 --> 00:14:47.675]  They don't want to just kill humans.
[00:14:47.936 --> 00:14:50.958]  They want to kill everything and create a new silicon life form.
[00:14:50.978 --> 00:14:54.580]  And they're terraforming us for a new life form in their own words.
[00:14:55.160 --> 00:15:10.825]   Now, I don't know If it's aliens, whatever you want, demons, whatever, the point is these people are killing the planet while they pose as the savers of the planet, but every action they carry out is to murder it with the 5G and the chemtrails and everything else.
[00:15:10.885 --> 00:15:12.145]  And the Earth is dying.
[00:15:12.466 --> 00:15:14.066]  And if it continues, it will die.
[00:15:14.286 --> 00:15:15.207]  The ocean will die.
[00:15:15.567 --> 00:15:17.908]  It will be a stinking mess of dead fish.
[00:15:18.488 --> 00:15:18.848]  Everything.
[00:15:19.028 --> 00:15:19.369]  It's on.
[00:15:19.489 --> 00:15:20.629]  We are all being exterminated.
[00:15:20.829 --> 00:15:22.350]  The Earth is being genocided.
[00:15:22.610 --> 00:15:24.251]  The Earth is being aborted right now.
[00:15:24.531 --> 00:15:24.891]  Stay with us.
[00:15:26.667 --> 00:15:46.174]  All right, so, Dane Whittington, expert on the geoengineering that's now publicly admitted, notice while they were building it and preparing it and launching it, oh it doesn't exist, don't look into it, now exactly what we told you decades ago is all confirmed, and they're rolling it out publicly and admitting that they spray poisonous chemical clouds on you to save the Earth.
[00:15:47.235 --> 00:15:53.357]  That's right, Bill Gates funded chemical cloud, could help stop global warming, Associated Press and others.
[00:15:55.575 --> 00:15:56.856]  We're not in Kansas anymore.
[00:15:57.837 --> 00:16:02.822]  And the mad scientists of the world are in a race with each other to discover immortality.
[00:16:03.563 --> 00:16:17.497]  And to do that, they're injecting the world population with self-replicating poisonous nanotech that is now replicating in our bodies and is now spreading from the vaccinated with this nanotech mutagen into the uninjected.
[00:16:19.853 --> 00:16:33.458]  That's why we have this next gigantic piece of news that is so huge, and all three pieces of these news, the geoengineering, this Department of Defense news, I'm about to hit, and the George Soros news, all tie together.
[00:16:33.478 --> 00:16:36.739]  Can we put the live show headline on screen, please?
[00:16:40.021 --> 00:16:41.901]  This is a big, big deal.
[00:16:42.521 --> 00:16:44.122]  Breaking bombshell.
[00:16:45.763 --> 00:16:54.473]   Leaked Pentagon report confirms, and they admit this is real, Skyrocketing illnesses and death caused by COVID Vax.
[00:16:56.194 --> 00:17:06.978]  Meanwhile, globalist Kingpin George Soros publicly declares war on China's leader, Xi Jinping, as the Anglo-American establishment goes into full panic mode.
[00:17:07.698 --> 00:17:14.527]   And yet, if you're a new listener, When you hear the Anglo-American power structure, that does nothing to do with being white.
[00:17:14.928 --> 00:17:24.174]  The original word means that, but it was seen as an Anglo-American, Anglo-Saxon power combine that's been in Europe for over a thousand years.
[00:17:25.054 --> 00:17:42.549]   The Anglo-Saxons are first written about before that, an area in northern Germany by the Romans as the Anglo-Saxons, but that group was basically The Vikings inland that then formed William the Conqueror's conquest and all the rest of the founding of Russia and everything comes out of that.
[00:17:43.430 --> 00:17:45.972]  And so that's why when Russia was talking about war with the U.S.
[00:17:46.012 --> 00:17:51.137]  last week, they said, it's time for the Anglo-American Anglo-Saxons to stop their global domination.
[00:17:52.918 --> 00:17:58.783]  And the Russians said, we saved you from the Muslims and the Huns in the last thousand years, and you must stop now.
[00:17:59.143 --> 00:18:00.264]  You will not destroy us.
[00:18:00.565 --> 00:18:06.670]  So they speak directly in the ancient tongue to their cousins and say, we know who you are, stop it now.
[00:18:09.952 --> 00:18:13.976]  And then you've got the whole Rothschild combine mixed in with that.
[00:18:14.296 --> 00:18:16.398]  It's serious, serious global business, folks.
[00:18:19.059 --> 00:18:29.885]  They have decided that they don't want a wealthy, upwardly mobile West with people with airline tickets going to Vegas and swimming pools and flying to the Bahamas for the weekend.
[00:18:30.445 --> 00:18:31.105]  Party's over.
[00:18:32.746 --> 00:18:38.149]  And all the lazy, dumb people that are into the system, they think if they just jump their hoops, things will go back to normal.
[00:18:38.996 --> 00:18:49.905]  And the system's playing on their weakness and their selfishness and their short-sightedness, saying, oh, take the shot, take the ID pass, do all this and you'll get to travel again, you'll get to go party again.
[00:18:49.945 --> 00:18:53.828]  But no, once you put this in place, that'll actually all be taken away from you.
[00:18:56.050 --> 00:18:57.030]  For 99% of you.
[00:18:58.051 --> 00:19:01.054]  This is a post-industrial world.
[00:19:01.094 --> 00:19:03.596]  This is a post-open-free society.
[00:19:04.744 --> 00:19:10.706]  Now that's all going to be taken away from you, ladies and gentlemen.
[00:19:12.226 --> 00:19:13.047]  And that's where we are.
[00:19:15.267 --> 00:19:17.228]  And so we have polls out here today.
[00:19:19.269 --> 00:19:22.130]  COVID fatigue.
[00:19:22.150 --> 00:19:31.873]  70% of Americans say we just need to get on with our lives, according to a new poll, with an image of a dog wearing a mask, a sign of the mass mental illness.
[00:19:35.791 --> 00:19:37.872]  It's not COVID that we want to just live with.
[00:19:38.692 --> 00:19:40.853]  It's the Great Reset you want to end.
[00:19:42.453 --> 00:19:45.514]  The third world isn't collapsing and starving to death because of COVID.
[00:19:45.534 --> 00:19:47.035]  It's because of the COVID lockdowns.
[00:19:48.795 --> 00:19:57.458]  Giant hordes of refugees aren't surging into Europe and what's left of North America because of COVID.
[00:19:57.478 --> 00:19:58.659]  It's because of the restrictions.
[00:20:00.253 --> 00:20:11.784]  People aren't sick of COVID, they're sick of the technocrats and the biomedical tyranny using it to wage war against our economies and put us into debt to collapse us and control us.
[00:20:12.745 --> 00:20:21.589]   And I know as an audience you get that, but if Congress doesn't get it, And if the people of the Earth don't get it, the globalists will continue to win.
[00:20:21.889 --> 00:20:24.912]  Because every Hydra head we cut off, they'll just grow two more.
[00:20:25.232 --> 00:20:27.594]  We have to defeat the heart of the Hydra.
[00:20:28.094 --> 00:20:29.636]  We have to identify the Hydra.
[00:20:29.676 --> 00:20:31.037]  We have to name the Hydra.
[00:20:31.297 --> 00:20:36.201]  We have to demonize the Hydra with its crimes, and expose it, and laze it.
[00:20:37.022 --> 00:20:40.585]  Target it politically, so that people know who's doing it.
[00:20:41.596 --> 00:20:49.484]  Justin Trudeau says people that don't want to be locked down for two years and go bankrupt and take five, six, seven shots and have their immune systems erased are Russian agents.
[00:20:51.546 --> 00:21:02.177]  That's because he's a globalist, Klaus Schwab, Great Reset agent, and he's told by the social engineers, say those that want freedom are outsiders, and that you are the Canadian.
[00:21:02.577 --> 00:21:11.190]   When he's bragging he wants a dictatorship, He's bragging he wants to take your children away.
[00:21:11.431 --> 00:21:13.132]  He's bragging he's built these camps.
[00:21:13.352 --> 00:21:15.493]  He's bragging he's using the Canadian military on you.
[00:21:15.733 --> 00:21:17.354]  He's bragging he's surveilling you.
[00:21:19.075 --> 00:21:21.236]  And he says the convoy is an insult to truth.
[00:21:21.256 --> 00:21:23.818]  That they hold unacceptable views.
[00:21:23.878 --> 00:21:24.358]  That's right.
[00:21:24.378 --> 00:21:26.379]  You're like, well that's tyranny.
[00:21:26.479 --> 00:21:26.940]  Exactly.
[00:21:27.680 --> 00:21:36.125]  They've taken the training wheels off, folks, and they're just in your face trying to sell you, by pure gaslighting, this takeover.
[00:21:37.629 --> 00:21:39.570]  Oh, you don't like your family being locked up for two years?
[00:21:39.630 --> 00:21:40.550]  Oh, you don't like going bankrupt?
[00:21:40.770 --> 00:21:43.732]  You don't like being told you can't go into business if you don't have these experimental shots?
[00:21:43.831 --> 00:21:50.831]  You're a Russian agent.
[00:21:50.831 --> 00:21:58.331]   Ezra Levant from not the Ottawa big ongoing event, we'll give us an update on that, but
[00:21:58.331 --> 00:22:04.271]  from the border, hundreds of miles to the west of Canada.
[00:22:04.271 --> 00:22:14.271]  [BLANK_AUDIO]
[00:22:05.563 --> 00:22:06.504]  Canada and the U.S.
[00:22:06.544 --> 00:22:10.887]  where hundreds and hundreds of trucks again have done what the globalists have done on a small scale.
[00:22:11.288 --> 00:22:16.252]  They're waging siege against the infrastructure, saying we refuse to be part of this.
[00:22:16.572 --> 00:22:18.834]  See, the globalists want to slowly collapse the infrastructure.
[00:22:19.094 --> 00:22:24.338]  They don't want us to realize their game and point out that they're the ones doing it on a massive scale.
[00:22:24.579 --> 00:22:27.081]  We're going to do it on targeted scales to show how evil it is.
[00:22:29.997 --> 00:22:31.377]  This is civil disobedience.
[00:22:31.717 --> 00:22:33.338]  This is what we need to see more of.
[00:22:33.898 --> 00:22:36.938]  But what we need to do is sue the great resetters.
[00:22:37.639 --> 00:22:44.440]  Sue the people in the parliaments and in the legislatures and in the Congress that admit they're on the payroll of Klaus Schwab.
[00:22:44.460 --> 00:22:52.962]  Because things are only going to get worse until this global corporate crime syndicate is brought to justice.
[00:22:52.982 --> 00:22:53.622]  But we come back.
[00:22:55.899 --> 00:22:58.600]  This is a Don Salazar article that went up last night.
[00:22:58.800 --> 00:23:00.821]  Always his articles go up in the evening because he works late.
[00:23:01.221 --> 00:23:03.742]  It needs to be reposted to the front page of Infowars.com.
[00:23:03.762 --> 00:23:07.543]  I'm going to have it posted, a link to it, under the live show feed of the show today.
[00:23:07.563 --> 00:23:09.504]  We're going to come back and cover this.
[00:23:10.104 --> 00:23:10.765]  The documents.
[00:23:11.145 --> 00:23:14.206]  See the leaked DoD database showing U.S.
[00:23:14.246 --> 00:23:16.847]  military illnesses skyrocketing from the COVID jab.
[00:23:18.227 --> 00:23:27.060]   And that ties into the public AI-powered DoD data analysis program That first reported this six months ago and has now confirmed it's getting worse.
[00:23:27.621 --> 00:23:31.482]  And it mirrors the numbers we see from Europe and other areas.
[00:23:31.502 --> 00:23:33.683]  300% increases in heart attacks.
[00:23:33.983 --> 00:23:35.064]  1,000% increase in neurological.
[00:23:35.084 --> 00:23:38.565]  5,000% increases in blood clots.
[00:23:39.845 --> 00:23:41.486]  Same numbers everywhere coming in.
[00:23:41.686 --> 00:23:43.167]  Different databases, different systems.
[00:23:43.807 --> 00:23:45.328]  They're murdering us en masse.
[00:23:45.808 --> 00:23:47.168]  All 100% confirmed.
[00:23:47.528 --> 00:23:50.370]  As they chemtrail the planet, murdering the plants and the soil.
[00:23:50.710 --> 00:23:51.330]  We'll be right back.
[00:23:52.737 --> 00:23:53.297]  Let me do this.
[00:23:53.558 --> 00:24:01.822]  I'm going to hit the DOD documents confirming what all the other documents show around the world that these vaccines are not vaccines.
[00:24:01.862 --> 00:24:07.445]  They are chemical slash nanotech slash bioweapons.
[00:24:08.206 --> 00:24:09.026]  That's next segment.
[00:24:10.227 --> 00:24:12.068]  But I want to tie all this together.
[00:24:12.969 --> 00:24:15.190]  People are asking me a lot of folks on the street.
[00:24:16.246 --> 00:24:18.768]  A lot of other podcasters and talk show hosts have contacted me.
[00:24:19.288 --> 00:24:22.671]  They said, Alex, what do you make of this George Soros situation?
[00:24:23.371 --> 00:24:26.433]  In fact, guys, will you get me the George Soros compilation?
[00:24:26.453 --> 00:24:28.855]  I think it's called Final George Soros.
[00:24:29.615 --> 00:24:36.380]  We've had like 10 or 15 different versions of him on 60 Minutes and him on NPR and him on PBS saying he worked for Hitler.
[00:24:36.440 --> 00:24:37.521]  It was the best time of his life.
[00:24:38.021 --> 00:24:40.143]  He was the happy time, happy making time.
[00:24:40.783 --> 00:24:43.526]  It was exhilarating, it was invigorating.
[00:24:44.767 --> 00:24:46.749]  Him and his father were out doing all this.
[00:24:47.891 --> 00:24:48.952]  Get that queued up for me, thanks.
[00:24:48.972 --> 00:24:50.493]  I forgot to tell you that.
[00:24:52.115 --> 00:24:57.240]  George Soros has come out and said that Xi Jinping is the new Hitler.
[00:24:57.781 --> 00:24:59.883]  He said it again, but this time on video.
[00:25:00.784 --> 00:25:03.907]  And that China is like Nazi Germany.
[00:25:07.984 --> 00:25:11.226]  Now that's a very big statement, and part of it's true.
[00:25:12.346 --> 00:25:17.009]  But why is George Soros telling the truth for once?
[00:25:19.610 --> 00:25:25.073]  Well, because it's a competing evil organization to the globalist Anglo-American Combine.
[00:25:27.815 --> 00:25:31.737]  And again, that just means the old British Empire and the United States and that whole power arm.
[00:25:33.215 --> 00:25:35.538]  That is not pro-America or pro-UK, it's globalist.
[00:25:35.738 --> 00:25:44.046]  It's been using us and our blood and sweat and ingenuity to build its corrupt system while it now quietly poisons and dumbs us down and bankrupts us ahead of murdering us.
[00:25:45.328 --> 00:25:48.151]  As you now see with the deadly shots and the 5G and the rest of it.
[00:25:49.592 --> 00:26:03.124]   So what does it mean when George Soros comes out And says that China is a horrible high-tech technocracy surveillance police state.
[00:26:04.505 --> 00:26:07.386]  And that China poses the biggest threat to world peace.
[00:26:07.426 --> 00:26:09.287]  And that China is an evil empire.
