[00:00:00.000 --> 00:00:01.000]  [Gun cocks]
[00:13:52.079 --> 00:13:55.480]   shopping at info war store dot com getting the great supplements like brain
[00:13:55.480 --> 00:13:59.839]   force ultra super male vitality ultimate krill oil the whole food multivitamin
[00:13:59.839 --> 00:14:04.438]   alpha power fizzy magnesium vitamin mineral fusion that's what keeps us
[00:14:04.438 --> 00:14:10.399]   on air so get the great supplements at info war store dot com right now
[00:14:10.399 --> 00:14:19.060]   so I don't really like doing the self praise here on air
[00:14:19.060 --> 00:14:22.940]   because as somebody that listens to talk radio it's always been kind of a turnoff
[00:14:22.940 --> 00:14:27.480]   for me personally when hosts do self praise
[00:14:25.594 --> 00:14:26.975]  So this isn't about self-praise.
[00:14:27.015 --> 00:14:31.337]  This is about affirming to you that you are in the right place.
[00:14:32.257 --> 00:14:43.041]  This is affirming to you and the crew and the audience and everybody that's ever helped InfoWars throughout this process, fighting for truth and justice and freedom in this country.
[00:14:43.982 --> 00:14:45.162]  You are in the right place.
[00:14:45.262 --> 00:14:46.263]  You bet on the winner.
[00:14:47.293 --> 00:14:48.734]  We have been vindicated.
[00:14:50.854 --> 00:14:51.815]  We are the winners.
[00:14:53.555 --> 00:14:54.536]  We know what's coming.
[00:14:54.576 --> 00:14:55.696]  We are the most accurate.
[00:14:56.116 --> 00:14:57.697]  And I say we, that's all of us.
[00:14:58.377 --> 00:15:02.298]  I just happen to be the one in front of the camera, behind the microphone, with the voice.
[00:15:02.398 --> 00:15:03.339]  But it's all of us.
[00:15:03.399 --> 00:15:13.002]  A collective people that love freedom and truth and want to see it into the future with prosperity in the West as an example for the rest of the world.
[00:15:14.818 --> 00:15:17.759]  So this isn't to do self-praise here.
[00:15:18.179 --> 00:15:20.100]  I find that a little off-putting as well.
[00:15:20.680 --> 00:15:22.900]  It's just to let you know, you're in the right place.
[00:15:23.581 --> 00:15:28.162]  We are next year's news today, next month's news today, next week's news today, whatever you want to say.
[00:15:29.822 --> 00:15:39.685]  So this is from Friday's War Room, where in the middle of the show I said, I'm going to crunch the numbers and tell you what's going to happen in Nevada.
[00:15:39.765 --> 00:15:40.826]  This is from Friday.
[00:15:41.446 --> 00:15:42.046]  Here's how it went.
[00:15:43.823 --> 00:16:04.970]  I was crunching some numbers in Nevada, and while these are obviously rough numbers, because we don't get the exact numbers, but with the numbers that I have available to me, if the trends continue to the close of the counting in Clark County and in Washaw County, Masto is going to overtake Laxalt and win by less than 10,000 votes.
[00:16:05.650 --> 00:16:07.451]  That's where the numbers and the trends are right now.
[00:16:07.791 --> 00:16:12.713]  So unless something changes, looks like they may flip Nevada and it may go blue as well.
[00:16:13.624 --> 00:16:16.125]  Alright guys, now go ahead and put the graphic on the screen.
[00:16:17.365 --> 00:16:18.785]  So there you go, so that was from Friday.
[00:16:18.805 --> 00:16:20.746]  Go ahead and pull that down.
[00:16:21.786 --> 00:16:23.066]  And so, there you go!
[00:16:23.886 --> 00:16:25.047]  What do you have here?
[00:16:25.067 --> 00:16:32.188]  Oh, Masto overtakes Laxalt and wins with 5,000 votes.
[00:16:32.788 --> 00:16:33.768]  How did I know?
[00:16:34.329 --> 00:16:35.589]  How did I see it coming?
[00:16:36.971 --> 00:16:38.212]  It's really not that hard, actually.
[00:16:38.852 --> 00:16:44.114]  And I kind of feel bad for the true believers that still think Republicans are going to have victories in Arizona.
[00:16:44.214 --> 00:16:48.976]  I mean, maybe if they do audits and recounts and have dozens of lawsuits, which might happen.
[00:16:49.856 --> 00:16:52.497]  But no, you're not going to have any victories for Republicans in Arizona.
[00:16:52.937 --> 00:16:53.518]  Sorry to tell you.
[00:16:53.698 --> 00:16:54.218]  Not going to happen.
[00:16:54.738 --> 00:16:55.639]  Lake's not going to win.
[00:16:55.739 --> 00:16:57.099]  Masters was never going to win.
[00:16:58.080 --> 00:16:59.240]  Fincham wasn't going to win.
[00:16:59.460 --> 00:17:00.461]  Hamade wasn't going to win.
[00:17:00.481 --> 00:17:01.261]  They were never going to let you win.
[00:17:02.708 --> 00:17:06.990]  The Democrats and the Republican establishment were never going to let you win.
[00:17:07.730 --> 00:17:07.930]  Never.
[00:17:09.050 --> 00:17:09.690]  And that's too bad.
[00:17:09.710 --> 00:17:10.731]  It really is.
[00:17:10.791 --> 00:17:13.852]  Blake Masters was a phenomenal candidate and a true class act.
[00:17:15.212 --> 00:17:16.433]  Carrie Lake, great candidate.
[00:17:16.813 --> 00:17:17.533]  Could be the future.
[00:17:19.214 --> 00:17:24.876]  Fincham and Homiday were going to set standards of how you operate as the Secretary of State and Attorney General.
[00:17:26.345 --> 00:17:28.586]  You really think the Democrats were going to let them get in?
[00:17:28.866 --> 00:17:31.968]  You really think the establishment Republicans were going to let them get in?
[00:17:32.589 --> 00:17:36.791]  We're going to let the populist wave set a standard in the state of Arizona?
[00:17:37.771 --> 00:17:38.692]  You really thought that?
[00:17:39.052 --> 00:17:40.873]  I'm sorry, I don't mean to laugh at you if you did.
[00:17:41.293 --> 00:17:42.994]  It's just, we knew better here.
[00:17:44.235 --> 00:17:45.576]  And that's why we were warning you.
[00:17:46.596 --> 00:17:57.760]   And that's why I said, if there's a fair election, Republicans will take 52 seats If it's rigged, Democrats will take 52 seats and it looks like that's exactly where we're going.
[00:17:58.140 --> 00:18:04.566]  And let's be clear the message that the Democrats have sent to the Republicans that they better find a way to respond to quickly.
[00:18:05.847 --> 00:18:08.510]  The Democrats own Pennsylvania.
[00:18:09.150 --> 00:18:09.851]  You understand me?
[00:18:11.372 --> 00:18:14.475]  The Democrats own Pennsylvania.
[00:18:15.196 --> 00:18:15.656]  They own it.
[00:18:16.764 --> 00:18:18.566]  I don't care how much money you spend.
[00:18:18.586 --> 00:18:21.049]  I don't care how many people vote Republican.
[00:18:21.469 --> 00:18:24.973]  I don't care how bad the Democrat candidate is versus the Republican.
[00:18:25.453 --> 00:18:26.374]  None of it matters!
[00:18:27.135 --> 00:18:30.499]  The Democrats own Pennsylvania.
[00:18:30.858 --> 00:18:36.458]   and as long as they can get three to one, four to one, five to one people to vote
[00:18:36.458 --> 00:18:44.457]   democrat supposedly in Philadelphia, the Republicans will never have a statewide victory in Pennsylvania.
[00:18:44.588 --> 00:18:45.609]  Zero percent chance.
[00:18:45.889 --> 00:18:48.651]  You're about at that same level with Michigan and Detroit.
[00:18:49.692 --> 00:18:51.773]  You're on the brink in Wisconsin.
[00:18:52.833 --> 00:18:56.736]  But Wisconsin is truly a red state now, so they were able to overcome the fraud in Milwaukee.
[00:18:58.860 --> 00:19:03.582]  And now you have the new phenomenon that the Republican Party better wake up to, and fast.
[00:19:04.242 --> 00:19:11.685]  And that's the Democrats trying to stamp Georgia as their own, which I'll pretty much go ahead and tell ya, they already have.
[00:19:11.985 --> 00:19:12.425]  It's over.
[00:19:12.765 --> 00:19:14.666]  Walker's not gonna win, I'm sorry to say.
[00:19:14.886 --> 00:19:17.167]  Now, if you're in Georgia, you should still get out to vote.
[00:19:17.907 --> 00:19:21.252]  That doesn't mean give up, because the practice of voting is important.
[00:19:21.272 --> 00:19:26.660]  You know, somebody asked Owen, you always rail on how elections are rigged, so why go waste your time and vote?
[00:19:26.920 --> 00:19:33.050]  Here's why, because it's all about the integrity, and it's all about the belief in the system.
[00:19:34.383 --> 00:19:34.983]  Yeah, you know what?
[00:19:35.103 --> 00:19:37.405]  I might not trust the voting system.
[00:19:37.445 --> 00:19:38.386]  In fact, I don't.
[00:19:39.106 --> 00:19:55.417]  But see, I still have the integrity to go out and do the practice of voting in the belief that this is how we can continue to maintain peaceful transitions of power and peaceful transitions of influence and peaceful transitions of policy.
[00:19:55.857 --> 00:19:57.738]  I still believe in that system.
[00:19:58.079 --> 00:20:07.137]   And so I'm going to be a man of integrity and continue to express my belief in that system When it comes voting day, even if that system has been corrupted.
[00:20:07.437 --> 00:20:11.158]  So it's more about expressing belief in the system so that we maintain it into the future.
[00:20:11.198 --> 00:20:20.840]  Because you understand, if you give up on voting, and if you give up on the system of voting, there's not going to be a vote, the Democrats will cancel the vote, guarantee you.
[00:20:21.560 --> 00:20:25.300]  They won't have elections anymore, they'll cancel them if you quit showing up.
[00:20:26.581 --> 00:20:27.561]  So it's important to vote.
[00:20:28.800 --> 00:20:36.303]  But no, the Democrats are about to show you they've stamped Georgia as their own, just as they've stamped Pennsylvania as their own.
[00:20:36.823 --> 00:20:40.544]  Now they're in the process of stamping Nevada and Arizona as their own.
[00:20:42.785 --> 00:20:45.526]  I do believe there will be fight in Arizona.
[00:20:45.806 --> 00:20:46.447]  I do believe that.
[00:20:46.567 --> 00:20:51.969]  I do believe the Republicans in Arizona have fight and a backbone and that that's going to be a battle there.
[00:20:53.129 --> 00:20:54.730]  Nevada, I'm 50-50 on.
[00:20:55.030 --> 00:20:57.711]  There was some good grassroots boots on the ground.
[00:20:58.908 --> 00:21:07.210]  Republican movements in Nevada, but they were nowhere near as energized and influential as they were in Arizona.
[00:21:07.250 --> 00:21:16.752]  So I'm not sure about Nevada, but from what I've seen, the Democrats are about to stamp Georgia as a blue state, when of course it's not, it's a red state.
[00:21:17.132 --> 00:21:28.255]  But it doesn't matter when you have the tri-county area in Atlanta, same thing as Philadelphia, going 4-1, 5-1 Democrat, with the populist overwhelming the rest of the state's will and votes.
[00:21:29.488 --> 00:21:34.429]  And they're about to repeat that same formula in Arizona and Nevada unless they're stopped.
[00:21:35.089 --> 00:21:37.130]  And I broke this down last Friday as well.
[00:21:37.210 --> 00:21:38.370]  You need to understand something.
[00:21:39.271 --> 00:21:54.615]  If the Democrats own Pennsylvania, if the Democrats own Georgia, and if the Democrats own either Arizona and Nevada, then you can pretty much just forget about a Republican ever winning a presidential election ever again.
[00:21:55.395 --> 00:21:55.955]  Never gonna happen.
[00:21:57.153 --> 00:22:02.358]  If the Democrats own Pennsylvania, Georgia, and Arizona, or Nevada, it's done.
[00:22:03.600 --> 00:22:03.960]  It's done.
[00:22:04.220 --> 00:22:05.842]  It's signed, sealed, and delivered.
[00:22:05.982 --> 00:22:10.086]  They have the electoral votes already in the bag before any presidential election starts.
[00:22:11.508 --> 00:22:15.011]  With their ownership of those states, which they clearly have, plus New York.
[00:22:15.131 --> 00:22:17.234]  So, I mean, there are ways to...
[00:22:18.866 --> 00:22:19.567]  Mitigate this.
[00:22:19.627 --> 00:22:22.929]  There are ways to fight back against this peacefully and politically.
[00:22:23.650 --> 00:22:25.011]  And we'll cover some of those coming up.
[00:22:25.071 --> 00:22:26.933]  I'm sorry I didn't get any of the news here.
[00:22:27.673 --> 00:22:28.314]  But I'll come back.
[00:22:28.354 --> 00:22:29.735]  I promise I've got election news.
[00:22:29.775 --> 00:22:31.416]  I'll get to the next election news headlines.
[00:22:31.456 --> 00:22:33.858]  But when we come back, the big developing story...
[00:22:34.719 --> 00:22:36.181]  And again, the American people have a choice.
[00:22:36.342 --> 00:22:40.668]  Do you want to see the corruption and accept it for what it is or continue to bury your head in the sand?
[00:22:41.168 --> 00:22:47.337]  What just happened with the FTX crypto Democrat Ukraine scandal is massive.
[00:22:47.958 --> 00:22:48.659]  Is massive.
[00:22:48.739 --> 00:22:50.983]  And joining me on the other side to discuss it is Mike Adams.
[00:22:52.352 --> 00:22:55.633]  No one knew how much risk was in that system.
[00:22:55.693 --> 00:22:59.034]  Bilateral, spook, non-reported transactions.
[00:22:59.074 --> 00:23:02.375]  No one knew how much risk was in that system.
[00:23:02.395 --> 00:23:05.476]  Repackaged and re-leveraged again and again and again and again.
[00:23:05.496 --> 00:23:09.118]  No one knew how much risk was in that system.
[00:23:09.158 --> 00:23:12.439]  Bilateral, spook, non-reported transactions.
[00:23:12.479 --> 00:23:15.460]  No one knew how much risk was in that system.
[00:23:15.480 --> 00:23:18.881]  Repackaged and re-leveraged again and again and again and again.
[00:23:20.103 --> 00:23:27.089]  So there you go, and it's now being reported that the FTX CEO Sam Bankman-Freed has been detained in the Bahamas.
[00:23:27.109 --> 00:23:28.611]  This is just recently breaking.
[00:23:29.531 --> 00:23:37.578]  And so, I mean, honestly, just trying to keep up with all the news has been nearly impossible because it's breaking so fast at this point.
[00:23:38.019 --> 00:23:41.262]  But Mike Adams joins me now to try and make sense of all of it.
[00:23:41.302 --> 00:23:48.570]   I've got all the headlines and all the stories in front of me, Mike, but you know, Crypto is never a big issue for me.
[00:23:48.630 --> 00:23:50.953]  I mean, I cover it because I cover news every day.
[00:23:51.474 --> 00:23:53.957]  So I wasn't really following this story out of the gates.
[00:23:54.980 --> 00:23:59.421]  But when I'm trying to catch up to it now, it was so obvious from the beginning.
[00:23:59.441 --> 00:24:08.484]  I mean, this was like, I mean, this was so obvious that this is exactly what was going on from the very beginning with the characters involved, with the activities involved.
[00:24:08.804 --> 00:24:10.745]  How did how did nobody see this coming?
[00:24:10.785 --> 00:24:12.906]  How is it that it had to actually break like this?
[00:24:13.526 --> 00:24:17.027]  Except I think we know the answer, Mike, because they're going to use it to regulate crypto.
[00:24:17.327 --> 00:24:19.148]  Mike Adams joins me now from Natural News.
[00:24:19.188 --> 00:24:19.868]  Mike, take it away.
[00:24:20.757 --> 00:24:20.957]  All right.
[00:24:20.977 --> 00:24:21.659]  Thank you, Owen.
[00:24:21.679 --> 00:24:22.460]  Great to join you.
[00:24:22.580 --> 00:24:30.031]  And just a reminder, I'm going to be hosting the second hour of the show tonight, the Sunday Night Show, and I'm bringing on an expert, John Perez.
[00:24:30.592 --> 00:24:32.555]  And we're taking a deep dive into this issue.
[00:24:32.575 --> 00:24:33.396]  So that's 7 p.m.
[00:24:33.476 --> 00:24:36.100]  Central, right after your hour hosting the show as well.
[00:24:36.921 --> 00:24:38.182]  My voice is a little raspy.
[00:24:38.222 --> 00:24:45.509]  I've been screaming on the phone for the last couple of days with a lot of people about some of what's going on here.
[00:24:46.289 --> 00:24:50.533]  Not in an angry way, but just, well, let me say it this way.
[00:24:51.214 --> 00:24:54.757]  We've only just begun to see what's about to go down in the crypto space.
[00:24:54.857 --> 00:25:03.304]  And the big, big story here is that, yes, this was a setup and it's a setup to take down or an attempt to take down unregulated crypto.
[00:25:04.145 --> 00:25:26.376]  So this whole thing, if you look into Sam Bankman fraud, is what I call him, and who set him up and who funded him and where the money came from, this is a network of deep state money, and they have begun to achieve what they wanted, which was to cause billions of dollars in losses to bring in massive regulation of the centralized exchanges.
