[00:00:04.086 --> 00:00:09.368]  Here we are, right in the center of the fight, live Sunday, December 18, 2022.
[00:01:52.299 --> 00:01:54.982]  And of course, Gavin Nunes and others that have been tracking this.
[00:01:55.968 --> 00:01:59.170]  I pointed out what we pointed out that the other big tech groups are just as bad.
[00:01:59.190 --> 00:02:07.096]  We just haven't gotten into their documents yet, but we have all the other documents that we've been exposing over the years that already document that completely.
[00:02:07.796 --> 00:02:17.083]  We also have dozens of cities led by El Paso, Denver, and New York, the Big Apple, saying we are in an emergency.
[00:02:18.323 --> 00:02:19.824]  Declaring an emergency.
[00:02:22.326 --> 00:02:24.608]  I've talked to Internal Border Patrol sources high up.
[00:02:25.533 --> 00:02:34.077]  And they said that this year was tracking to be 10 million illegal aliens coming into the United States.
[00:02:35.378 --> 00:02:37.659]  That's 10 million in one year.
[00:02:38.159 --> 00:02:43.182]  And it's all directed by the United Nations, all directed by NGOs, and I just sit here and point out that's totally illegal.
[00:02:43.442 --> 00:02:49.284]  The Border Patrol, we've been down to the Texas border, the Arizona border, we've shown you the footage, we've shown you the whistleblowers, their blurred out faces.
[00:02:50.005 --> 00:02:51.145]  We show you the names of the groups.
[00:02:51.806 --> 00:02:59.886]   That the UN, the same UN that NGOs that ran the collapse of Europe's borders were then brought in here to actually run them here?
[00:03:00.186 --> 00:03:01.226]  Well, thank God!
[00:03:02.007 --> 00:03:05.427]  Finally, it seems like the Texas governor's getting his head screwed on straighter, waking up.
[00:03:06.308 --> 00:03:10.729]  He's got a criminal investigation going of the NGOs and how they're in command of the Border Patrol.
[00:03:11.149 --> 00:03:11.489]  Yes.
[00:03:13.229 --> 00:03:15.510]  They're breaking a lot of laws to do this.
[00:03:17.210 --> 00:03:20.631]  And we need to have state prosecutions of that.
[00:03:22.332 --> 00:03:30.166]   Instead of just trying to get Biden to do his job, Still, state grand juries can indict these NGOs smuggling kids with no documents and giving them to people.
[00:03:30.406 --> 00:03:31.667]  They've caught them in sex slavery.
[00:03:31.727 --> 00:03:32.788]  It's been in Senate reports.
[00:03:33.148 --> 00:03:34.209]  So indict them on that.
[00:03:35.570 --> 00:03:38.733]  Indict them on the UN NGOs running the entire operation.
[00:03:38.993 --> 00:03:43.517]  That's completely illegal to have some foreign, non-governmental organization with George Soros funding running it.
[00:03:43.777 --> 00:03:44.858]  We know all the names of the people.
[00:03:45.179 --> 00:03:46.079]  It's ridiculous!
[00:03:47.741 --> 00:03:48.802]  So we've got all of that.
[00:03:50.191 --> 00:03:53.152]  We've got a really out-of-control ruling out of the wonderful state of Connecticut.
[00:03:53.172 --> 00:03:54.072]  Talk about rigged courts.
[00:03:54.532 --> 00:03:58.654]  Court rules against biological females over Connecticut transgender athlete policy.
[00:03:58.674 --> 00:04:04.555]  It says men will compete in basketball against women, in track, in boxing, in wrestling, in everything.
[00:04:05.115 --> 00:04:16.659]  And so now everywhere, the winners of cycling and boxing and MMA are biological men beating the living snot out of women.
[00:04:17.719 --> 00:04:19.020]  So that's coming up.
[00:04:19.660 --> 00:04:23.303]  And then we've got all the economic collapse news that I don't have to tell you we're in the middle of.
[00:04:23.823 --> 00:04:31.728]  What the Federal Reserve's doing, raising the rates, the basis points on lending and more.
[00:04:31.768 --> 00:04:37.059]   There is so much happening and there could be more critical time for InfoWars
[00:04:37.059 --> 00:04:37.129]  to still be on air.
[00:04:37.129 --> 00:04:41.129]   But it's only because you're a word of mouth and your prayer and buying products at InfoWarsTore.com.
[00:04:41.129 --> 00:04:43.278]  We've got a lot of great products at InfoWarsTore.com.
[00:04:43.278 --> 00:04:45.129]  Please go there now or we won't be here.
[00:04:45.129 --> 00:04:47.629]  And please don't let me prove it to you by shutting down.
[00:04:47.629 --> 00:04:49.129]  We're very close.
[00:04:49.129 --> 00:04:52.129]  [Silence]
[00:04:52.129 --> 00:04:59.129]   Welcome, ladies and gentlemen, to this live, teleprompter-free, uncensored, raw edition of the Alex Jones Show.
[00:04:59.129 --> 00:05:02.129]  I'm on the air every weekday at 11 a.m.
[00:05:02.583 --> 00:05:03.524]  until 3 p.m.
[00:05:03.564 --> 00:05:03.904]  Central.
[00:05:03.944 --> 00:05:06.906]  Then I return Sunday nights 4 to 6 p.m.
[00:05:07.006 --> 00:05:10.328]  Owen Schroer will be hosting of course Sunday live 6 to 8 p.m.
[00:05:10.709 --> 00:05:13.471]  this evening with guest calls and so much more after I leave you.
[00:05:13.491 --> 00:05:17.493]  I want to wish you all a Merry Christmas and thank you all for tuning in today.
[00:05:18.094 --> 00:05:20.275]  This is another incredibly important broadcast.
[00:05:20.335 --> 00:05:22.017]  I want to remind you we're in an information war.
[00:05:22.917 --> 00:05:36.829]  And that you are the real power out there, that when you share the local stations we're on, when you share InfoWars.com forward slash show, when you share the local TV stations and cable stations, when you share the articles, the videos, it gets past the censors and changes the world.
[00:05:37.189 --> 00:05:41.533]  All their propaganda and censorship would not be necessary if resistance was futile.
[00:05:43.686 --> 00:05:45.107]  I've got so much to hit here.
[00:05:45.167 --> 00:05:49.149]  Henry Kissinger is one of the top people in the New World Order.
[00:05:49.589 --> 00:05:51.690]  He helped set up the whole Globals program we're in right now.
[00:05:52.330 --> 00:05:56.813]  He is still the omnibudsman of the whole Rockefeller Rothschild Combine.
[00:05:57.173 --> 00:05:59.174]  He came out and said, we've got to have a peace deal right now.
[00:06:00.123 --> 00:06:03.246]  Or the Russians are going to go to nuclear war and this thing's escalated out of control.
[00:06:03.587 --> 00:06:04.567]  That's a true statement.
[00:06:05.048 --> 00:06:05.909]  So we're going to get to that.
[00:06:06.269 --> 00:06:13.496]  We've got a bunch of different mayors around the country declaring an emergency over the border completely collapsing at the end of Title 42.
[00:06:13.876 --> 00:06:18.341]  El Paso's getting 14,500 illegals a day.
[00:06:18.581 --> 00:06:19.862]  They're just sleeping on the streets.
[00:06:19.882 --> 00:06:20.343]  They're everywhere.
[00:06:22.068 --> 00:06:26.150]  14,000 plus people a day, many of them little children who are not with their parents.
[00:06:26.170 --> 00:06:35.034]  There's been some big breakthroughs on criminal investigations in Texas on who's running this and we're very close to grand jury indictments just like you've seen in Florida.
[00:06:35.895 --> 00:06:41.658]  Now with the state level grand juries investigating the drug companies lying about their poison shots.
[00:06:41.718 --> 00:06:46.488]   So that's That's really, really, really, really good important news.
[00:06:46.848 --> 00:06:48.028]  We've got Twitter files.
[00:06:48.168 --> 00:06:49.789]  Twitter is an FBI subsidiary.
[00:06:50.129 --> 00:06:51.249]  So are the other big tech companies.
[00:06:51.269 --> 00:06:52.190]  We've got news on that.
[00:06:52.650 --> 00:06:56.891]  We've got globalist coups around the world in places like Peru and Brazil.
[00:06:57.551 --> 00:07:02.653]  We've got Bill Gates announcing more plans for depopulation operations.
[00:07:02.693 --> 00:07:06.594]  We've got so much to cover here tonight.
[00:07:08.683 --> 00:07:21.596]  But the first thing I wanted to hit, because what you see happening in Canada or what you see happening in New Zealand or what you see happening in Germany or the UK is all run by the Globalist, all run by the WEF, all run by the UN, and they're beta-tests for what's coming here.
[00:07:21.616 --> 00:07:26.100]  We have a tendency to say, well, I don't care what's happening over there, it's not happening here.
[00:07:26.921 --> 00:07:27.621]  Well, it's coming here.
[00:07:28.162 --> 00:07:43.285]   Just like a decade ago, the UN hired NGOs And set up giant refugee centers on the borders of Europe to bring in over 15 million Middle Easterners, Africans, and others into Europe.
[00:07:43.385 --> 00:07:44.726]  And now tourism is down 80%.
[00:07:45.667 --> 00:07:46.408]  Everything's wrecked.
[00:07:46.788 --> 00:07:48.169]  There's just crime everywhere.
[00:07:48.890 --> 00:07:51.352]  Open, defecating in the roads.
[00:07:52.293 --> 00:07:55.295]  Just massive, massive crime.
[00:07:55.675 --> 00:07:57.197]  No-go zones all over the place.
[00:07:58.420 --> 00:08:00.982]  I mean, I've been to Europe recently and it's just, it's just, it's wrecked.
[00:08:01.262 --> 00:08:03.364]  And I've talked to family that's been to places like Paris.
[00:08:03.424 --> 00:08:09.008]  I mean, it looks like an open toilet with just trash everywhere and just people just lounging around all over.
[00:08:09.729 --> 00:08:10.889]  It just goes on and on.
[00:08:11.790 --> 00:08:18.195]  And now you see that with our border completely wide open, Biden saying, if I get elected, immediately surge the border.
[00:08:18.895 --> 00:08:23.299]  You see how just a few years later, the same thing that happened to Europe is happening to us.
[00:08:23.419 --> 00:08:28.687]   So when we look at these stories, understand That this is a beta test.
[00:08:28.747 --> 00:08:30.088]  So I wanted to hit this first.
[00:08:31.549 --> 00:08:37.832]  It's coming out in mainstream news that Pfizer's COVID-19 vaccine causes blood clots, microcarditis, and heart attacks.
[00:08:38.133 --> 00:08:39.814]  I've got a stack of mainstream news admitting that.
[00:08:39.834 --> 00:08:41.875]  We told you years ago, but here it is.
[00:08:41.995 --> 00:08:52.822]  But the UN has said, going back two and a half years ago, that during future lockdowns, they're going to arrest people that are against the lockdowns and put them in the COVID camps.
[00:08:53.800 --> 00:08:55.101]  And the UK's announced that.
[00:08:55.201 --> 00:08:56.161]  Canada's announced that.
[00:08:56.621 --> 00:08:57.682]  Australia's announced that.
[00:08:57.702 --> 00:08:59.422]  They're all British commonwealths, you notice.
[00:09:00.143 --> 00:09:01.203]  Never got out from under the crown.
[00:09:02.244 --> 00:09:05.665]  And that same globalist system wants to bring that here.
[00:09:06.505 --> 00:09:14.469]  And so when you see these chilling, chilling reports by these Orwellian, even looking people, and they just look like super villains.
[00:09:15.289 --> 00:09:17.550]  New Zealand goes full 1984.
[00:09:18.670 --> 00:09:21.912]  Tells public to report political dissidents as terrorists.
[00:09:22.912 --> 00:09:26.733]  And they say people that don't want to take the shots or have lockdowns.
[00:09:26.813 --> 00:09:33.054]  Well, what is in Biden's June 2001 new National Terrorism Directive?
[00:09:33.514 --> 00:09:34.395]  Counterterrorism Directive.
[00:09:34.695 --> 00:09:48.058]  He says not being for lockdowns, not being for shots, not being for forced injections, questioning elections, or questioning open borders, or later they released new documents a month ago, questioning military operations.
[00:09:48.820 --> 00:09:56.527]  You can't protest or be against the hasty withdrawal from Afghanistan or be against the Ukraine, you know, potential nuclear war.
[00:09:57.468 --> 00:10:00.490]  So this is the criminalization of dissent.
[00:10:00.510 --> 00:10:12.021]  I've got a bunch of clips in Canada, in New Zealand, in Australia, where they're saying, we have a digital Newcastle society based on your vaccine passport, which are trying to roll out here as well.
[00:10:13.806 --> 00:10:19.850]  And we're gonna basically spy on you and arrest you and have your neighbors watch you if you protest lockdowns.
[00:10:20.711 --> 00:10:25.454]  And then, of course, Tulsi Gabbard goes into it in great detail and just eviscerates Trudeau.
[00:10:26.855 --> 00:10:35.482]  Up in Canada, who again is the top WEF minion, Schwab says he's the greatest example of what they want for every nation as they take our, quote, cabinets over.
[00:10:35.783 --> 00:10:37.064]  As they penetrate the cabinets.
[00:10:37.624 --> 00:10:38.985]  So let's just play these back to back.
[00:10:39.005 --> 00:10:48.874]  Here's New Zealand, goes full 1984, then Australia, digital ID, link, vaccine verification certificates, no vaccines, you lose everything, bank accounts, social networks, internet access.
[00:10:49.474 --> 00:10:58.041]  And then of course we got Tulsi Gabbards that will play back-to-back here as well, where she pulls no punches in her assessment of autocratic Justin Trudeau.
[00:10:58.081 --> 00:10:58.542]  Here it is.
[00:10:59.543 --> 00:11:04.807]  Our Secret Service is launching an initiative to help us identify people who may have been radicalized.
[00:11:05.067 --> 00:11:10.852]  Know the Signs details dozens of indicators that a friend or family member could be planning a terror attack.
[00:11:11.493 --> 00:11:17.458]  As Adam Hollingworth reports, the move comes as our spy chiefs identify a new and worrying type of terrorism.
[00:11:18.430 --> 00:11:22.373]  Time was when the intelligence services were never seen, never heard.
[00:11:22.834 --> 00:11:29.799]  But now they're loudly proclaiming your country needs you to keep an eye on those you know and if necessary, drop them in.
[00:11:30.119 --> 00:11:39.287]  Recognising a potential warning sign and then alerting NZSAS or police could be the vital piece in the puzzle that ultimately saves lives.
[00:11:39.727 --> 00:11:46.793]  To that end, they're publishing a guide called Know the Signs to help us all identify potential terrorists in our midst.
[00:11:47.133 --> 00:12:03.782]  To pay attention and to be alert so that if they see or hear about something that seems off, that worries them and concerns them, they might have a look at this information to say, does this indicate to me that this person is on the road to actually committing an attack?
[00:12:04.022 --> 00:12:15.812]  The SIS has listed around 50 signs from obvious ones, like writing on a weapon as happened in Christchurch, to... A person who is really developing an us-versus-them worldview.
[00:12:16.113 --> 00:12:20.617]  Authorities say they're usually closely monitoring 40 to 50 potential terrorists.
[00:12:21.097 --> 00:12:25.301]  These people used to be motivated by their white identity or by their faith.
[00:12:25.801 --> 00:12:28.644]  But in the past six months, a third group has emerged.
[00:12:29.024 --> 00:12:30.926]  Those motivated by politics.
[00:12:31.286 --> 00:12:33.707]  And so it could be the COVID measures that the government took.
[00:12:33.767 --> 00:12:36.188]  And so it could be the COVID measures that the government took.
[00:12:36.588 --> 00:12:40.609]  Or it could be other policies that are interpreted as infringing on rights.
[00:12:41.529 --> 00:12:47.591]  And it's what I sometimes describe as a kind of hot mess of ideologies and beliefs.
[00:12:48.191 --> 00:12:49.632]  Fueled by conspiracy theories.
[00:12:49.812 --> 00:12:51.232]  Fueled by conspiracy theories.
[00:12:51.492 --> 00:12:58.034]  The launch of the initiative Know the Signs is an indicator that the security services know that they can't do it alone.
[00:12:58.314 --> 00:13:00.095]  They need the help of the public.
[00:13:00.475 --> 00:13:03.237]  But to some, the guide is a first step only.
[00:13:03.417 --> 00:13:14.085]  How do we upskill those people in our community who are much closer to people who might be potentially radicalised and get them to understand what it is they're saying?
[00:13:14.485 --> 00:13:15.366]  That's our challenge.
[00:13:15.766 --> 00:13:16.907]  Adam Hollingworth, News Hub.
[00:13:17.347 --> 00:13:23.412]  Alright, so they're coming at you with forced injections worldwide that erase your immune system, give you heart attacks, cancer, infertility.
[00:13:23.912 --> 00:13:31.910]   And the literal security chief in New Zealand looks like Dr. Evil's assistant like a dead ringer.
[00:13:32.131 --> 00:13:34.392]  I mean, you can't even make this up.
[00:13:36.534 --> 00:13:41.177]  Look at how Klaus Schwab looks like Blofeld.
[00:13:41.818 --> 00:13:42.839]  He even dresses like him.
[00:13:43.099 --> 00:13:46.481]  They're doing it to throw it in your face.
[00:13:47.247 --> 00:13:52.029]  We're going full tyranny, ladies and gentlemen, and saying it's a good thing.
[00:13:52.389 --> 00:13:56.851]  And watching mass Stockholm Syndrome be triggered as the minions all get in line to submit to it.
[00:13:57.271 --> 00:13:58.211]  Why are they doing this?
[00:13:58.231 --> 00:14:03.153]  Because they're getting ready to shut off the world economy, ready to shut off the fuel and just depopulate.
[00:14:03.833 --> 00:14:10.075]  I mean, 90% of the people going along with this that are thinking they're on the winning team will be destroyed themselves as well.
[00:14:10.095 --> 00:14:14.317]  I'm going to come back and play the Casual Society Club and more when we come back.
[00:14:17.987 --> 00:14:22.029]  And we are back on this Sunday, December 18, 2022 transmission.
[00:14:22.589 --> 00:14:23.650]  I'm your host, Alex Jones.
[00:14:25.030 --> 00:14:25.350]  All right.
[00:14:26.431 --> 00:14:35.035]  Let me finish up with the UN Global Corporate Government System and what we're seeing in Canada, Australia, New Zealand, Europe.
[00:14:35.095 --> 00:14:38.036]  It's all the same program, all UN run, all UN certified.
[00:14:38.516 --> 00:14:45.161]   Just other areas are a few years ahead of us, and if they get This is everything in the fight against this program.
[00:14:44.980 --> 00:14:52.899]   your social credit score and the basis of which is the vaccine ID system, they're
[00:14:52.899 --> 00:14:57.061]   going to control every facet of your life in their own words and force injections on
[00:14:57.061 --> 00:15:01.450]  you. This is everything in the fight against this program.
[00:15:01.450 --> 00:15:07.171]   We've got a good chance of stopping it, especially here in the U.S. if we
[00:15:07.171 --> 00:15:08.980]  simply only become aware of it.
[00:15:09.123 --> 00:15:11.324]  But that's why they've got the massive censorship.
[00:15:11.344 --> 00:15:13.025]  That's why they've got the AI control.
[00:15:13.085 --> 00:15:16.587]  That's why they're trying to shut down anybody talking about this information.
[00:15:16.867 --> 00:15:19.468]  That's why Elon Musk can bring back all these other journalists to people.
[00:15:19.648 --> 00:15:21.889]  Because they're not really talking about the big issues.
[00:15:21.909 --> 00:15:23.910]  They're talking about political distractions.
[00:15:24.731 --> 00:15:25.611]  Even if they're conservative.
[00:15:25.631 --> 00:15:28.813]  But we are hammering the heart of the matter.
[00:15:30.106 --> 00:15:31.266]  That's because we're over the target.
[00:15:31.867 --> 00:15:38.029]  So I pledge you, New Zealand's head of the Secret Service saying, if you don't want to take the shots or don't like lockdowns, you're a terrorist.
[00:15:39.550 --> 00:15:41.070]  That's being set up globally.
[00:15:41.570 --> 00:15:42.831]  Biden has said that officially.
[00:15:45.932 --> 00:16:01.794]   But here's a clip in Australia of the digital ID linked to vaccine verification, which I told you two and a half years ago would be the plan because The Rockefeller Foundation, Bill Gates of the UN said they were doing it, and guess who developed the actual software and the program of the QR code they've already adopted?
[00:16:02.455 --> 00:16:05.317]  The Communist Party of China, the CCP.
[00:16:05.737 --> 00:16:07.178]  You can't make this up, folks.
[00:16:07.859 --> 00:16:12.302]  I know most listeners are like, yeah, Alex told us literally a thousand times, but it's here now.
[00:16:13.683 --> 00:16:15.485]  So here is the clip out of Australia.
[00:16:17.110 --> 00:16:24.440]  COVID vaccination could become our future ticket to international travel and possibly even determine where you can shop or eat.
[00:16:24.840 --> 00:16:26.562]  So, how do you prove you've had it?
[00:16:27.043 --> 00:16:28.986]  Nines, Fiona Willem, explains.
[00:16:31.676 --> 00:16:36.479]  Once you get a COVID-19 jab, you can access your vaccination certificate in four ways.
[00:16:36.980 --> 00:16:49.968]  Through the vaccine provider, the Express Plus Medicare app, by contacting Services Australia, or by logging into your myGov account and visiting Medicare, where you'll find it on the Australian Immunisation Registry.
[00:16:50.389 --> 00:16:57.494]  And to make that process more secure, the Government has now linked myGov to the nation's digital ID system, myGovID.
[00:16:58.365 --> 00:17:08.373]  And of course the vaccination certificate that will be available for Australians will be available through myGov and digital identity is the safest, easiest way to access myGov.
[00:17:08.673 --> 00:17:12.356]  The digital ID isn't just for downloading your vaccination certificate.
[00:17:12.816 --> 00:17:22.504]  It can currently be used to access 75 government services online and the plan is to expand it to the private sector so that you can use it to check your bank details or your electricity bill.
[00:17:23.024 --> 00:17:28.088]  It replaces the traditional 100 point ID check that you'd usually do at a bank or Australia Post.
[00:17:28.748 --> 00:17:37.131]  Well, if you want a quick, simple interaction with a government service, you can use your digital ID rather than presenting physical ID.
[00:17:37.751 --> 00:17:50.555]  Two million Australians have signed up for a digital identity and the government wants more people to do it as the vaccination program ramps up to ensure your details are more secure and you're the only person who can access your certificate.
[00:17:50.976 --> 00:17:51.796]  Fiona, thank you.
[00:17:52.728 --> 00:18:02.617]  You're the only person that can access a certificate even though you're going to be using it to leave your house, let's leave it out in Australia, or go to the mall, or go to your job, or drive your car, or get on a plane.
[00:18:03.117 --> 00:18:05.800]  Oh, it's so secure, it's so wonderful, it's so great!
[00:18:06.755 --> 00:18:17.281]  Here's Tulsi Gabbard's Bulls No Punches and her assessment of autocratic Justin Trudeau who again says he wants to be a dictator and admires dictatorship and works directly for the World Economic Forum.
[00:18:17.621 --> 00:18:19.322]  He's trying to put Canada into this as well.
[00:18:19.703 --> 00:18:20.563]  Italy's putting it in.
[00:18:21.103 --> 00:18:22.304]  The first country in the EU.
[00:18:22.464 --> 00:18:23.325]  It's happening now.
[00:18:23.385 --> 00:18:23.705]  Here it is.
[00:18:25.745 --> 00:18:39.649]  Basically what they're telling us is you are an enemy of the state if you pose or even question the president, his administration, or his policies, shut up, step back, fall in line, or we're coming after you.
[00:18:42.590 --> 00:18:45.371]  This isn't some theory.
[00:18:46.051 --> 00:18:47.031]  This is reality.
[00:18:47.251 --> 00:18:50.652]  And this is a reality we're seeing play out in Canada as we speak.
[00:18:50.672 --> 00:18:53.673]  You have the autocratic leader in Canada.
[00:18:55.486 --> 00:19:05.153]  Who's resorted to genuinely authoritarian and tyrannical means to suppress a peaceful mass protest against the power elite there.
[00:19:06.694 --> 00:19:08.656]  Everything that we see happening up north.
[00:19:08.776 --> 00:19:18.903]  Everything from the execution of emergency powers, to the freezing of bank accounts, the seizure of children from parents, the destruction of livelihoods and small businesses.
[00:19:19.444 --> 00:19:22.026]  All of these things could happen here.
[00:19:24.380 --> 00:19:31.224]  So the question I ask myself in confronting all this is, what are they so afraid of?
[00:19:32.986 --> 00:19:34.847]  Who are they afraid of?
[00:19:37.969 --> 00:19:38.809]  You know the answer.
[00:19:38.869 --> 00:19:39.450]  It's simple.
[00:19:40.991 --> 00:19:41.711]  They're afraid of us.
[00:19:43.873 --> 00:19:46.554]  They're afraid of a free people.
[00:19:47.915 --> 00:19:50.197]  They're afraid of a free society.
[00:19:52.202 --> 00:20:05.067]  I've got to believe that Thomas Jefferson was thinking about these cowardly, fearful leaders when he said they prefer the calm of despotism to the boisterous sea of liberty.
[00:20:06.868 --> 00:20:16.832]  They're afraid of the freedom that empowers each and every one of us to seek the truth, to speak freely, to question their decisions and their authority.
[00:20:18.112 --> 00:20:19.273]  They're afraid of losing power.
[00:20:20.444 --> 00:20:42.624]  Knowing full well the intent of our founders when they wrote in the Declaration of Independence that governments are instituted among men, deriving their just powers from the consent of the governed, and that whenever any form of government becomes destructive of these ends, it's the right of the people to alter or abolish it and institute a new government.
[00:20:45.543 --> 00:20:50.965]  But instead, the big megabags of corporations to the UN and to the media are taking over society.
[00:20:53.626 --> 00:20:54.166]  This is here.
[00:20:54.386 --> 00:20:55.066]  This is happening.
[00:20:56.087 --> 00:20:58.488]  And they don't want the public to see these type of articles.
[00:20:59.168 --> 00:21:01.649]  Pfizer COVID-19 vaccine linked to blood clotting.
[00:21:02.189 --> 00:21:02.769]  FDA.
[00:21:03.749 --> 00:21:09.251]  It's an Epoch Times article linking right to the FDA admitting, okay, it does cause heart attacks and blood clotting.
[00:21:10.292 --> 00:21:10.812]  Case closed.
[00:21:12.375 --> 00:21:16.516]  Baby given vaccinated, blood infusion, dies within days, a blood clot.
[00:21:16.856 --> 00:21:17.636]  That's in the U.S.
[00:21:19.136 --> 00:21:24.697]  30 years ago, Dr. Robert Wilner accused Fauci of genocide during the HIV crisis.
[00:21:24.737 --> 00:21:28.398]  It's the same story over and over again.
[00:21:28.958 --> 00:21:30.018]  And why are they doing this?
[00:21:30.498 --> 00:21:45.175]   Because they're getting ready to pop the giant Ponzi bubble they've used to shut down all the other industries, to shut down their competition, and then To use the trillions they've stolen to cement and complete their power takeover.
[00:21:47.476 --> 00:21:51.858]  And once they get us in the next position, hell will be released.
[00:21:52.418 --> 00:21:53.539]  You think things are bad now?
[00:21:53.919 --> 00:21:55.620]  You'll look back on this as a good time.
[00:21:56.940 --> 00:21:59.501]  And a lot of folks are afraid to listen and say, well, I just, I'm not going to oppose it.
[00:22:00.622 --> 00:22:04.023]  Well, you will oppose it and people will oppose it once it gets bad enough.
[00:22:04.443 --> 00:22:08.625]  So everything we do now affects what they call the battle space for the mind in the future.
[00:22:09.580 --> 00:22:13.722]  Everything we do now will have huge effects in the future, because people will remember what they were told.
[00:22:13.742 --> 00:22:14.822]  They'll remember they were warned.
[00:22:15.102 --> 00:22:19.484]  They'll remember we laid it all out, as they've already seen what we laid out in the past coming true.
[00:22:19.885 --> 00:22:23.586]  And then folks will understand, oh, submitting this time only makes it worse.
[00:22:24.006 --> 00:22:25.167]  They actually want to kill me.
[00:22:25.487 --> 00:22:26.487]  They want to depopulate me.
[00:22:26.507 --> 00:22:36.612]  And they want people so poor, so censored, so shut down, that when they're burying people all around you, which they're already doing, but it's much worse, people just say, well, you better shut up or they'll come take you away.
[00:22:39.005 --> 00:22:41.706]  The attack's coming to the medical system and the economic system.
[00:22:42.246 --> 00:22:46.068]  And if you accept this digital straitjacket of big tech, it's over for you.
[00:22:46.808 --> 00:22:54.751]  Alright, we got the big economic news, the big Russian news, the big censorship news, and the big emergency news on the border straight ahead.
[00:22:57.515 --> 00:23:06.922]  All right, we're going to look at the emergencies declared across the country as the border has completely dissolved and what that really means and what the next phase of that's going to be.
[00:23:07.583 --> 00:23:08.724]  But there is some good news.
[00:23:10.438 --> 00:23:12.879]  Folks are listening to this broadcast, and that's really what's happening.
[00:23:13.719 --> 00:23:20.662]  And the governor of Texas understands that crimes are being committed that they can prosecute that are also crimes at the state level.
[00:23:21.082 --> 00:23:26.064]  And we're waiting for the grand juries to come to their own aid, to the American people's aid, and do the right thing.
[00:23:26.084 --> 00:23:32.586]  You see the governor getting new grand juries set up at the state level in Florida for the poison shots.
[00:23:33.267 --> 00:23:36.348]  The same thing is now being announced in Texas.
[00:23:37.458 --> 00:23:38.858]  By the governor with the open borders.
[00:23:38.898 --> 00:23:42.019]  We'll explain that here in a moment, but but but first let me talk about this.
[00:23:42.219 --> 00:23:44.060]  OK, I'm at peace with this.
[00:23:45.360 --> 00:23:47.921]  And I've learned a lot of the factors that are going on out there.
[00:23:51.242 --> 00:23:51.402]  And.
[00:23:52.322 --> 00:23:55.763]  I need listeners to understand that I don't want to prove to you.
[00:23:56.943 --> 00:24:05.305]  The fact that we don't have extra money like the media says we do by us shutting down or me canceling Owen Show and canceling.
[00:24:06.186 --> 00:24:19.911]   American Journal, I'm not going to do it right now, but the point is that the facts of not having the money will do that in the near future, and then this show, as you know it, will no longer be here.
[00:24:20.891 --> 00:24:21.191]  All right?
[00:24:21.632 --> 00:24:28.554]  So, I hate to tell folks the details because it lets the enemy know what's successful.
[00:24:29.274 --> 00:24:32.976]  They've already been successful, and so I'm just going to go ahead and tell you, okay?
[00:24:33.963 --> 00:24:39.003]   When they got up four months ago at that rigged trial in Texas for the Sandy Hook thing
[00:24:39.003 --> 00:24:44.923]   and had their financial expert on who had all our documents, had our financials, knew the truth
[00:24:44.923 --> 00:24:57.163]   and he said Alex Jones is worth 160 million dollars and InfoWars is worth more than 200 million dollars.
