[00:00:00.169 --> 00:00:01.450]  Is the pandemic over?
[00:06:12.387 --> 00:06:13.028]  2022.
[00:06:13.210 --> 00:06:20.674]  Now, we've got a loaded news day coming up, as I'll be with you here through 6 p.m.
[00:06:20.914 --> 00:06:26.977]  Central, fulfilling my normal war room host duties, but tons of news to get to here on the Jones Show.
[00:06:27.057 --> 00:07:00.859]   Plus, we've got stuff from Alex lined up, including Something that for me was, I don't really know what the analogy would be, but it was a relief, I think it was a sign of where the populist movement was going, and I think it shows that unity in the populism movement, in the pro-America movement, in the free speech movement, in the conservative movement,
[00:07:01.826 --> 00:07:03.847]  It encompasses all of that, this populist movement.
[00:07:04.647 --> 00:07:07.629]  That unity moving forward is going to be the key.
[00:07:08.889 --> 00:07:11.930]  And that doesn't mean we all have to sing and dance the exact same.
[00:07:12.391 --> 00:07:17.473]  That doesn't mean we all have to have the exact same vision for the future or how we're going to get there.
[00:07:18.753 --> 00:07:30.178]  But putting aside our differences, putting aside the division that the media wants us to remain in, is going to be key.
[00:07:30.218 --> 00:07:45.394]   And I don't want to make a Big issue of the past, but it's pretty well known that Alex Jones is considered a controversial figure and people don't want to invite him onto their shows or they're afraid they're going to get censored.
[00:07:45.414 --> 00:07:49.237]  They're afraid the mainstream media is going to attack them if they share Alex Jones videos.
[00:07:49.257 --> 00:07:50.398]  But what's happening?
[00:07:50.678 --> 00:07:53.580]  Kyrie Irving shares an Alex Jones video that goes totally viral.
[00:07:54.121 --> 00:07:54.801]  What does the media do?
[00:07:54.821 --> 00:07:55.482]  They attack him.
[00:07:55.522 --> 00:07:56.883]  They say how bad he is for doing it.
[00:07:57.796 --> 00:08:01.318]  That shouldn't be a sign for Kyrie Irving not to share an Alex Jones video.
[00:08:01.338 --> 00:08:06.720]  That should be a sign to share another Alex Jones video when the corrupt establishment is coming after you.
[00:08:07.421 --> 00:08:45.345]   So when I walked in the studio last night, because I knew we were going to play this video today, of Alex Jones getting a round of applause, a standing ovation at a Turning Point USA event, It was, it was such a relief, it brought such a relief, a wave of relief, because, you know, you can sit here and point out Alex Jones's flaws, or you can sit here and point out Alex Jones's prophecy, but that man deserves to be speaking at an event called Defeating the Great Reset.
[00:08:45.385 --> 00:08:48.428]  He's been fighting the Great Reset for three decades.
[00:08:49.801 --> 00:08:55.812]  And finally, it's nice to see what we would normally consider the conservative establishment or conservative Inc.
[00:08:56.293 --> 00:08:57.796]  recognizing Alex Jones.
[00:08:59.175 --> 00:09:08.520]  For calling out the Great Reset ahead of its arrival and talking about how to battle it and now it's gone into the hearts and minds of all Americans.
[00:09:08.640 --> 00:09:13.563]  So, here is Alex Jones at the Turning Point USA event.
[00:09:14.303 --> 00:09:16.024]  Just happened on Saturday.
[00:09:16.424 --> 00:09:21.267]  He's introduced to the crowd and we will play the full speech for you now here on the Alex Jones Show.
[00:09:22.371 --> 00:09:29.595]  Since we're doing the remote guest, while we're talking, I just want to make sure our guest can hear everything we're saying and all that.
[00:09:29.675 --> 00:09:37.299]  So, I was told by everybody, it's not the President Trump, but it is going to make you guys, wait till you see this, alright?
[00:09:39.480 --> 00:09:44.202]  In fact, this man is more hated by the media than Donald Trump, and that says something, okay?
[00:09:45.022 --> 00:09:53.777]   Which is, so, If you're gonna talk about the Great Reset, then you have to have someone who's the most banned man in America.
[00:09:53.957 --> 00:09:55.957]  Alex Jones joins us.
[00:09:55.957 --> 00:10:23.957]  [Applause]
[00:10:23.957 --> 00:10:25.957]  To Alex-- whoa! Alex--
[00:10:25.553 --> 00:10:27.154]  Alex, welcome remotely.
[00:10:27.194 --> 00:10:32.840]  I was told by all the people like, oh, you can't have Alex at your event, which makes me just want to have Alex even more.
[00:10:35.383 --> 00:10:37.325]  Alex, you wrote a book on the Great Reset.
[00:10:37.585 --> 00:10:38.586]  What is the Great Reset?
[00:10:38.606 --> 00:10:39.347]  Why did you write the book?
[00:10:40.922 --> 00:10:47.165]  Well, I saw Steve Bannon yesterday and he's absolutely right, and I love the title and the hashtag, Defeat the Great Reset.
[00:10:47.886 --> 00:10:53.468]  The Great Reset is what Ronald Reagan, when he was first running for office in 1979, spoke about.
[00:10:53.508 --> 00:11:07.155]  Nobody really talks about these speeches, but I've seen at least 10 of them, where he's talking about the New World Order and the globalists and how multinational corporations want to use a form of corporate communism to control everybody.
[00:11:07.596 --> 00:11:20.883]   And so I didn't discover all this, I grew up With my father in Dallas, where I grew up, taking me to see speeches by candidate and then President Ronald Reagan.
[00:11:20.984 --> 00:11:26.809]  And so Ronald Reagan, the first few years of his administration, really got into this big central topic.
[00:11:26.829 --> 00:11:29.231]  There's not just communism we're worried about, not just China and Russia.
[00:11:30.143 --> 00:11:38.869]  Not just radical Islam, but really powerful corporations that are authoritarian and want to take over our nation that are really anti-free market.
[00:11:38.889 --> 00:11:47.543]   So the Great Reset is the Bilderberg Group, UN corporate And a month ago they were given official U.N.
[00:11:48.244 --> 00:11:53.546]  advisory status or on par with the Secretary General that the U.N.
[00:11:53.586 --> 00:12:07.332]  signed a treaty with the World Economic Forum and Klaus Schwab who is announcing world government, announcing global IDs, announcing carbon taxes, announcing social credit scores, announcing carbon lockdowns, announcing everything.
[00:12:07.952 --> 00:12:12.614]  So folks who really love the book, it's been an off and on number one bestseller for the last two weeks.
[00:12:13.374 --> 00:12:14.855]  And people ask, how did you write this book?
[00:12:14.895 --> 00:12:15.696]  It's so powerful.
[00:12:16.216 --> 00:12:22.040]  This thing was about 800 pages long, and then Tony Lyons at Skyhorse and his crew did a great job cutting it down to 300 pages.
[00:12:22.520 --> 00:12:24.221]  This thing could have been, again, 1,000 pages long.
[00:12:24.582 --> 00:12:27.984]  It's mainly their quotes, bibliography, showing where they said it.
[00:12:28.004 --> 00:12:31.166]  People read this, and they say, is this believable?
[00:12:31.426 --> 00:12:36.850]  Then you go to the back, it shows the YouTube links or the World Economic Forum links where they are admitting it.
[00:12:36.870 --> 00:13:01.757]   So Hitler, in the late 1920s, Well, Klaus Schwab has written a bunch of books that are basically his Mein Kampf, and this is a condensed breakdown of their own words and the blueprint of their global takeover plan, and how they plan to turn the world energy off, implode the third world, flood the first world, replace it with migration.
[00:13:02.117 --> 00:13:03.878]  This is the Death Star plans.
[00:13:04.458 --> 00:13:21.248]   And so what's great is, I was talking about the Great Reset many, many years ago and how they were going to trigger this big event to force us into a worldwide economic collapse and a social credit score and a universal basic income that controls every facet of our lives, which is now being rolled out.
[00:13:21.609 --> 00:13:22.890]  And people really didn't listen back then.
[00:13:23.410 --> 00:13:26.992]  But now they're listening because we're living in this operation.
[00:13:27.332 --> 00:13:30.253]  And so that's why the Great Reset and the War of the World is so important.
[00:13:30.613 --> 00:13:39.138]  We will beat them if mainline populist politics, which is the Republican Party now, we're taking over thanks to you, Charlie, and that great crowd and so many others.
[00:13:39.458 --> 00:13:43.460]  Thanks to loyal Americans, we are winning this fight right now for the hearts and minds of the world.
[00:13:43.540 --> 00:13:48.382]  That's why the Deep State, not just here but around the world, is trying to silence people, trying to surveil people.
[00:13:48.462 --> 00:13:50.363]  It just came out, as you know, yesterday.
[00:13:51.562 --> 00:14:17.291]  In federally released documents that not only is Facebook and other big tech companies taking direct orders from previously Obama, and then now under the third administration of Obama, Biden, but they are specifically spying on prominent conservatives' private texts and delivering, without warrants, files on a minute-to-minute basis of everything we're saying and doing.
[00:14:18.111 --> 00:14:19.491]  And so it's far beyond censorship.
[00:14:19.551 --> 00:14:22.152]  It is total illegal criminal surveillance.
[00:14:22.232 --> 00:14:23.832]  They're going for broke.
[00:14:23.892 --> 00:14:32.094]  And just last Thursday in Senate hearings, the spokesperson, the corporate rep of Facebook admitted to all of this and just threw down the gauntlet.
[00:14:32.134 --> 00:14:39.796]  So the battle's joined, but I am extremely honored to literally be here with the leader of the pack, Charlie Kirk, and the great Turning Point USA.
[00:14:40.576 --> 00:14:42.797]  I mean, your buzz has been giant for six years.
[00:14:42.817 --> 00:14:51.041]  And I'm telling you, everywhere there's victory, everywhere people are awakening, everywhere young people are being energized and others, it's Charlie Kirk at Turning Point USA and what you're doing.
[00:14:51.100 --> 00:14:55.421]   So I am very honored to be here and I salute you in the fight for Western civilization
[00:14:55.421 --> 00:15:07.900]   and the future of our world and in the battle to defeat the Great Reset.
[00:15:07.882 --> 00:15:09.943]  We see rolling blackouts across Europe.
[00:15:10.183 --> 00:15:13.725]  Can you talk about the role that energy plays in the Great Reset?
[00:15:13.745 --> 00:15:17.086]  This is a topic we haven't touched on very much in our conference here.
[00:15:17.426 --> 00:15:23.429]  What does the Green New Deal, all this environmentalism, environmental fascism, have to do with the Great Reset?
[00:15:23.449 --> 00:15:25.530]  Can you help connect the dots for our audience here?
[00:15:27.250 --> 00:15:37.913]   If energy was a chess piece, In the globalist game plan on the board, it's the Queen.
[00:15:38.749 --> 00:15:42.392]  And for those who don't know about chess, the queen is the most powerful, powerful piece.
[00:15:42.612 --> 00:15:44.794]  She can go any direction she wants, do whatever she wants.
[00:15:44.854 --> 00:15:54.061]  So, control of energy in their takeover plan isn't a pawn, it's not a rook, it's not a bishop, it's not a knight, it's not a king, it is the queen.
[00:15:54.701 --> 00:15:57.624]  And it is absolutely the most powerful piece and they admit that.
[00:15:58.024 --> 00:16:06.751]  If you control energy, you control populations, you can bring them to their knees and make them capitulate with a social credit score, universal basic income, everything they're doing.
[00:16:07.620 --> 00:16:12.164]  And so, yes, they're dissolving the borders and bringing in third world populations as a permanent underclass.
[00:16:12.685 --> 00:16:14.226]  Yes, they're attacking family values.
[00:16:14.567 --> 00:16:15.648]  Yes, they're funding our enemies.
[00:16:15.968 --> 00:16:17.269]  Yes, they're devaluing our currency.
[00:16:17.730 --> 00:16:19.431]  Yes, they are undermining our culture.
[00:16:19.812 --> 00:16:25.957]  And all those things are important, but the central piece is energy, and energy has two heads.
[00:16:27.071 --> 00:16:31.992]  Energy for electricity and cars and in factories and society.
[00:16:32.892 --> 00:16:37.373]  So energy for machines and then energy for humans.
[00:16:38.153 --> 00:16:46.675]  So we think as they cut off the pipelines and the Keystone and won't let us have new drilling permits in the US or Gulf of Mexico or Alaska.
[00:16:47.635 --> 00:16:53.796]  All the great things Trump did within just four short years took us from the number three energy producer, the number one energy producer and a boom economy.
[00:16:54.577 --> 00:17:07.852]  By simple executive orders that Biden signed his second day in office, he turned off thousands of sub-pipelines, tens of thousands of pipeline spurs, killed more than 20,000 new pipeline spur permits.
[00:17:08.232 --> 00:17:13.017]  Even when they get the natural gas or oil, they can't get it to the central refining areas or to the trucks.
[00:17:13.678 --> 00:17:22.107]  Now, that sounds important, and we'll go more into actual energy for the internal combustion engine, for power plants, and things like that, but it's still not the most important head.
[00:17:22.167 --> 00:17:22.868]  It's the little head.
[00:17:23.568 --> 00:17:28.313]  The most important energy is for us, seven and a half billion of us, and it's called food.
[00:17:28.854 --> 00:17:31.357]  And their war on food is specific and direct.
[00:17:31.897 --> 00:17:42.324]  In more than 100 countries, like Sri Lanka and the Netherlands, they're announcing the shutdown of almost all farming, any nitrogen-based fertilizer that's totally healthy and good.
[00:17:42.964 --> 00:17:47.487]  They've already announced within six years they're going to ban 80% of cows, this year 30% in the Netherlands.
[00:17:49.229 --> 00:18:06.317]  That's why Klaus Schwab says, you will have no beef, you'll own nothing, you'll like it, you're gonna eat the bugs, is because they are literally listing, not just carbon dioxide, a life-giving gas, the key fourth part of the carbon cycle, sunlight, water, oxygen, carbon dioxide, half-dead or for life.
[00:18:06.937 --> 00:18:11.818]  But they're now targeting methane that bovine burp and also pass through the rear end.
[00:18:12.338 --> 00:18:13.839]  And so this is happening.
[00:18:14.159 --> 00:18:15.099]  This isn't coming.
[00:18:15.519 --> 00:18:21.140]  Their revolution is now a revolution against prosperity, a revolution against humans, a transhumanist agenda.
[00:18:21.580 --> 00:18:32.743]  And so we've got to point out that the mass starvation of the third world, not from COVID-19, but from two plus years of IMF World Bank imposed lockdowns, whereas we had six months of lockdowns, whereas Australia had a year and a half.
[00:18:33.383 --> 00:18:37.567]  Some parts of Africa and Latin America just went out of lockdown the last six months.
[00:18:37.947 --> 00:18:39.028]  So they are collapsing.
[00:18:39.048 --> 00:18:40.990]  I've had national surveys and international surveys.
[00:18:42.811 --> 00:18:48.036]  90% of the illegal alien migrants coming here, who I don't blame, some of them are criminals and we need to stop them.
[00:18:49.526 --> 00:18:53.209]  90% say, or 93% depending on the poll, I'm starving.
[00:18:53.749 --> 00:18:57.451]  The farm I worked on is closed, or the factory I work at is closed, I have no food.
[00:18:57.932 --> 00:19:22.668]   And so they deliberately turn off the food, turn off the energy, the third world collapses, then it floods us, the western lifeboats, the first world nations, we then sink, and the globalists organize after the Great Reset, With their Build Back Better, which is the authoritarian technocracy transhumanist system, they want to build on the rubble of our great Renaissance, truly classical liberal civilization.
[00:19:22.969 --> 00:19:24.689]  And so, everything is energy.
[00:19:25.370 --> 00:19:29.871]  Energy for the combustion engine, energy for machines, and energy for humans.
[00:19:30.012 --> 00:19:33.013]  And they're coming directly at those two key sectors.
[00:19:33.908 --> 00:19:36.169]  So let's zero in on the food thing, Alex.
[00:19:36.229 --> 00:19:39.271]  In particular, they are fascinated with getting rid of meat.
[00:19:39.991 --> 00:19:43.854]  Talk more about that, but also talk about the other implications of getting rid of meat.
[00:19:43.914 --> 00:19:51.018]  Testosterone levels, maybe replacing it with this synthetic nonsense that Bill Gates just happens to also be an investor in, by the way.
[00:19:51.418 --> 00:19:52.739]  Super crony capitalist.
[00:19:53.059 --> 00:19:59.242]  Talk about why they're so incredibly focused on eradicating meat from our planet.
[00:19:59.262 --> 00:19:59.883]  What's going on with this?
[00:20:01.479 --> 00:20:09.043]  Well, if you go back to Genesis, anybody should go read it, written 3,000 plus years ago by amazing Jewish scribes, inspired by God.
[00:20:09.063 --> 00:20:15.247]  In the first chapter, they just keep talking about cows and meat all day long, and saying that's the real symbol of freedom.
[00:20:15.547 --> 00:20:21.591]  Now Moses said later, we're not going to worship the golden calf, that's idolatry, but they were worshipping a golden calf, they were worshipping a cow.
[00:20:22.458 --> 00:20:25.100]  And the cow is the perfect meat.
[00:20:25.160 --> 00:20:26.141]  The Native Americans knew it.
[00:20:26.501 --> 00:20:27.041]  Everybody knew it.
[00:20:27.242 --> 00:20:33.386]  You can mate a bison with a water buffalo from Africa or India or with a Holstein cow in France.
[00:20:34.387 --> 00:20:39.330]  So, meat, red meat they put out for 50 years is deadly and poisonous and horrible.
[00:20:39.551 --> 00:20:43.113]  There are now thousands of studies that it annihilates heart disease.
[00:20:43.353 --> 00:20:44.694]  It annihilates strokes.
[00:20:45.135 --> 00:20:46.396]  It's what our bodies are made of.
[00:20:46.456 --> 00:20:47.737]  We love red meat.
[00:20:48.723 --> 00:20:57.827]  More than anything, what we don't need is highly cooked, burned meat like bacon and things, and things that turn into trans fats, and artificial fats gum up our arteries and our veins.
[00:20:58.528 --> 00:21:02.349]  When people just eat a plant diet, they have lower IQs, they're not as healthy.
[00:21:02.389 --> 00:21:06.891]  When they don't eat meat as children, brain sizes and growth are up to a third smaller.
[00:21:07.432 --> 00:21:18.075]   So, I don't really buy their official evolution line, but even the evolutionary scientists will tell you, humans, they believe evolved and became powerful and smart and got big heads
[00:21:18.075 --> 00:21:19.394]  from eating lots of meat.
[00:21:19.394 --> 00:21:22.274]   It's as soon as humans started eating meat, even according to their theories,
[00:21:22.274 --> 00:21:24.114]  that we got advanced intelligences.
[00:21:24.114 --> 00:21:26.114]  So, I mean, it's simple.
[00:21:26.114 --> 00:21:32.235]   You didn't have the ancient Vikings taking over the world, sitting there, you know, just eating their Wheaties.
[00:21:32.235 --> 00:21:33.575]  Red meat is key.
[00:21:33.575 --> 00:21:39.755]   Fish is incredible, shrimp are incredible, krill is probably the best superfood on Earth,
[00:21:39.755 --> 00:21:41.515]  but not everybody lives by the ocean.
[00:21:41.515 --> 00:21:45.255]   But there's a reason the longest-lived cultures, like the Japanese, mainly eat seafood.
[00:21:45.255 --> 00:21:50.875]   So, in lieu of seafood, and most people can't afford it or get it, now I probably can't afford high-quality
[00:21:50.875 --> 00:21:53.213]  seafood every day, my God, the bills are incredible.
[00:21:53.213 --> 00:21:55.755]   My wife thought to eat seafood last week, it was like 150 bucks.
[00:21:55.755 --> 00:21:57.615]  The point is, but beef is still cheap.
[00:21:57.615 --> 00:22:02.595]   And whether you're in India or whether you're in the Netherlands, where they worship cows again in India,
[00:22:02.595 --> 00:22:06.434]   a sacred cow, because the milk or the cheese, everything it gives them.
[00:22:06.538 --> 00:22:14.625]  Everywhere they have the cow, we have a ranch, we've had those Mexican land grants in 1826, and we still have the land, we still have cows on it.
[00:22:15.266 --> 00:22:21.932]  Well, without the property tax exemption, or ag exemption, we couldn't pay for the couple thousand acres we still have left.
[00:22:22.532 --> 00:22:25.953]  And so, most of these family farms also have cows.
[00:22:26.454 --> 00:22:33.717]  And so, if you're not running a dairy, or you're not running beef cattle, you have no money to even pay the limited, reduced taxes you've got to pay.
[00:22:34.017 --> 00:22:42.580]  So, if you undermine beef, anybody that's been in an airplane, or flown cross-country in a helicopter, I don't care if you're in New Mexico, or New York, or Texas, cows are everywhere.
[00:22:43.020 --> 00:22:48.663]  And it's cows that are sustainable, renewable, delicious, and nutritious.
[00:22:48.983 --> 00:22:56.887]   And so, it's basically, if you want to starve people, The first thing you do is target beef, and then you undermine all the rest of the agricultural system.
[00:22:58.048 --> 00:23:06.453]  So Alex, that segues to a question that some people have, which is, I want to just be as precise and factual with this as possible.
[00:23:07.714 --> 00:23:14.118]  Is there an agenda by the World Economic Forum, Klaus Schwab or Bill Gates, to depopulate the Earth?
[00:23:14.858 --> 00:23:18.961]  What evidence do you have to show that and talk about the research you've done on that?
[00:23:20.242 --> 00:23:22.022]  I have so much evidence it gives me a headache.
[00:23:23.943 --> 00:23:29.804]  Anybody can see my seminal film that before Google took it off had over 80 million views.
[00:23:30.364 --> 00:23:37.785]  I put it out in 2017 and it's called Endgame Blueprint for Global Enslavement.
[00:23:38.625 --> 00:23:39.986]  And people are always re-uploading it.
[00:23:40.086 --> 00:23:40.866]  It's free to air.
[00:23:40.926 --> 00:23:42.386]  There's no trademark copyright on it.
[00:23:42.706 --> 00:23:43.786]  It belongs to you folks.
[00:23:43.806 --> 00:23:44.487]  That means use it.
[00:23:45.127 --> 00:23:46.327]  And it's a two and a half hour movie.
[00:23:47.341 --> 00:23:56.585]  And probably 30 minutes of it is just global leaders saying, we're going to take over the world, cut off the energy, shut down the family farms, and starve people down to 500 million.
[00:23:57.105 --> 00:23:58.546]  The same thing was on the Georgia Guidestones.
[00:23:58.586 --> 00:24:00.827]  Incredibly ambitious, genocidal goal.
[00:24:01.821 --> 00:24:04.644]  And it is just replete, and so is this book.
[00:24:05.165 --> 00:24:16.156]  Anybody can pull up Yuval Harari, who is the high priest of this globalist group, the WEF, that is just the mouthpiece of the globalists.
[00:24:16.717 --> 00:24:21.882]  Anybody can pull up Klaus Schwab, or anybody can type in, World Economic Forum calls for depopulation.
[00:24:22.583 --> 00:24:23.504]  They are specific.
[00:24:23.664 --> 00:24:28.288]  King Charles III, he was Prince Charles, you know, said he wants to depopulate the Earth.
[00:24:28.869 --> 00:24:44.864]  His father said he wants to come back, Prince Philip, in Reuters and in AFP, or the French News, and also in the Audubon Society said, I want to come back as a virus to kill 80% of the world population.
[00:24:45.624 --> 00:24:48.317]   So, Bill Gates' foundation.
[00:24:48.738 --> 00:24:49.939]  You can find these clips online.
[00:24:50.540 --> 00:24:55.005]  Until the late 90s, it wasn't called Bill & Mel Gates Foundation, it was called the Depopulation.
[00:24:56.277 --> 00:24:56.817]  Foundation.
[00:24:57.457 --> 00:24:59.198]  And so his father was the head of Planned Parenthood.
[00:24:59.238 --> 00:25:01.418]  So this has always been their agenda.
[00:25:01.898 --> 00:25:03.319]  This has always been their goal.
[00:25:03.819 --> 00:25:05.979]  They're not really bringing sustainable things to communities.
[00:25:06.059 --> 00:25:07.640]  I think we should industrialize the third world.
[00:25:07.960 --> 00:25:09.140]  I think we should have clean technologies.
[00:25:09.440 --> 00:25:11.940]  I think people should try to shoot for no more than three children.
[00:25:12.181 --> 00:25:12.661]  You want to have more?
[00:25:12.701 --> 00:25:13.121]  That's great.
[00:25:13.561 --> 00:25:31.686]   But we need, as all the scientists and demographers and historians and mathematicians and statisticians and Elon Musk have said, if you don't Have 2.2 children on average, every two adults don't have 2.2 children in the aggregate, you will have societal collapse.
[00:25:32.286 --> 00:25:34.908]  And so, England has a 1.4, the US a 1.7, Italy a 1.2, Japan a 1.2.
[00:25:34.967 --> 00:25:39.367]  The US at 1.7, Italy at 1.2, Japan at 1.2.
[00:25:39.367 --> 00:25:41.686]  That is total collapse level.
[00:25:41.686 --> 00:25:45.127]   And then I'm sorry, nothing against third world populations, it doesn't work.
[00:25:45.455 --> 00:25:50.178]  You bring them in as the quote replacement group, all you've done is created a permanent third world population.
[00:25:50.559 --> 00:25:53.681]  You don't collapse the first world to save the first world.
[00:25:53.761 --> 00:26:01.987]  So the centerpiece of the globalist agenda, cutting off energy to machines and energy to homo sapiens, is societal collapse.
[00:26:02.027 --> 00:26:06.958]   And then Klaus Schwab talks about the angrier world. And as things fall apart, as things
[00:26:06.958 --> 00:26:12.288]   disintegrate, as crime explodes, Abel then poses the saviors with a global socialist
[00:26:12.288 --> 00:26:17.138]   communist government directed by crony capitalist fascists who are exempt from
[00:26:17.138 --> 00:26:22.848]   their own rules, just like Martha's Vineyard, you know, threw out the illegal aliens in 24
[00:26:22.848 --> 00:26:26.749]   hours, but tells Texas towns that have millions coming in, you just need to pay for them.
