[00:00:01.340 --> 00:00:03.661]  Put the U.S.
[00:06:04.726 --> 00:06:06.568]  Of course, he doesn't work for the feds.
[00:06:06.588 --> 00:06:07.889]  He works for the Southern Poverty Law Center.
[00:06:08.129 --> 00:06:11.953]  You know, I could cover these hundreds of incredible reports, and I will, today.
[00:06:13.154 --> 00:06:16.777]  But we need to get that 35,000 foot view and talk about what's really happening.
[00:06:18.963 --> 00:06:28.148]  America has been captured by very evil multinational corporate crime syndicate run out of the Bilderberg Group and its public arm, the Dabos Group.
[00:06:30.430 --> 00:06:38.574]  And they are not intending to allow the population of the planet to continue on as it is, to say the least.
[00:06:39.595 --> 00:06:45.938]  And depopulation is what's being carried out through covert means through the so-called vaccine program.
[00:06:45.978 --> 00:06:48.520]  And that's now coming out and mounting.
[00:06:49.705 --> 00:07:00.391]  And then you ask the logical question, how did the technocracy engage in this mass murder that's now unfolding with these slow kill, soft kill weapons?
[00:07:00.991 --> 00:07:02.212]  How will they get away with that?
[00:07:02.272 --> 00:07:06.214]  And the answer is further destabilization.
[00:07:06.274 --> 00:07:12.918]  So horrible that you forget the last major insult to the human ecosystem.
[00:07:14.819 --> 00:07:17.681]  So we are being treated as a disease, as a cancer to be cut out.
[00:07:19.020 --> 00:07:31.664]  And the big lie is people working for the system believe that they are positioning themselves with the winning team and that they are going to be taken care of because they are going to execute this operation.
[00:07:32.705 --> 00:07:41.748]  When you read deeper into leaked documents out of the Dabos Group and Bilderberg Group that we and others got at great danger to ourselves, I should add, a lot of people actually died with this information.
[00:07:43.812 --> 00:07:58.975]  You will then discover that they plan to implode all the Western governments and then even have show trials of the bureaucracies that are going to engage in the initiation of the civil war that has already begun and not just here but other parts of the world.
[00:07:59.615 --> 00:08:16.426]   So all the ministers in Australia and ministers in the Netherlands and the UK and the US that are doing all of this Really believe their position, because they went to the Davos Group School, they went to the Bilderberg School, that they have a school, and that they're on the winning team.
[00:08:16.466 --> 00:08:21.328]  But if you actually read some of the deeper stuff that they're not given, no, they're going to all be wiped out as well.
[00:08:22.829 --> 00:08:29.373]  So I have prepared myself, and I know what this means for me.
[00:08:30.393 --> 00:08:31.714]  We are the tip of the spear.
[00:08:33.221 --> 00:08:49.045]  The number one organization that exposed all this, and I have a sense of satisfaction, and I have a sense of being able to look myself in the mirror, and a sense of that I'm starting to measure up to my ancestors that were pretty amazing people, and that I didn't join these scum.
[00:08:49.866 --> 00:08:53.086]  But that means I will be set up and put in prison or killed very soon.
[00:08:53.467 --> 00:08:56.167]  And let's just get down to being honest about this with you, okay?
[00:08:56.487 --> 00:08:58.668]  I don't tell you this to be dramatic, we're at the end of the road here, okay?
[00:08:59.830 --> 00:09:01.732]  It's 298 days out from the election.
[00:09:01.792 --> 00:09:03.513]  They're never going to let us have a free or fair one again.
[00:09:03.533 --> 00:09:05.855]  And they're going to devalue the dollar.
[00:09:05.875 --> 00:09:06.916]  They're going to gut the country.
[00:09:07.176 --> 00:09:10.979]  And you just need to get right with God and realize we're being judged for abortion.
[00:09:12.840 --> 00:09:18.945]  I also want to say that I am not offensively, as I've told you, going to be involved in any type of military operations.
[00:09:20.806 --> 00:09:23.408]  You're going to obviously hear that when they stage terror attacks.
[00:09:23.428 --> 00:09:34.839]   They're already blaming myself and Rush Limbaugh posthumously, in his case, for the January 6th fiasco and a provocative false flag extravaganza.
[00:09:35.979 --> 00:09:41.442]  And so I just, I have to really just get down to brass tacks with you and say this is the end of the line.
[00:09:41.822 --> 00:09:42.082]  Okay?
[00:09:43.202 --> 00:09:47.884]  And hey, those babies didn't get any protection when they got chopped up in the womb or had acid sprayed on them.
[00:09:48.085 --> 00:09:50.425]  So let's just realize that we're being judged.
[00:09:51.146 --> 00:09:52.766]  And we deserve what we get.
[00:09:53.227 --> 00:09:53.847]  And so do I.
[00:09:54.835 --> 00:10:03.043]  And the people carrying out the evil, they are just instruments of the system that themselves will be absolutely destroyed.
[00:10:03.083 --> 00:10:04.404]  It's very, very sad for everybody.
[00:10:05.205 --> 00:10:07.767]  But this is what happens when you become a decadent satanic society.
[00:10:09.169 --> 00:10:19.939]  Speaking of that, I've got three articles today that really illustrate the little secret ingredient, secret flavor that's not secret anymore of Satanism in this whole thing.
[00:10:21.092 --> 00:10:22.493]  This is a mainstream news article.
[00:10:22.553 --> 00:10:23.514]  Well, we have it linked here.
[00:10:23.534 --> 00:10:26.056]  It's on ABC News is reporting it with a straight face.
[00:10:26.096 --> 00:10:26.877]  So is NBC News.
[00:10:26.917 --> 00:10:27.537]  It's all over the news.
[00:10:27.557 --> 00:10:27.937]  You've seen it.
[00:10:28.758 --> 00:10:29.279]  Probably seen it.
[00:10:29.758 --> 00:10:36.318]  Parents horrified as school host Satan Club for children.
[00:10:36.318 --> 00:10:48.797]   So, parents in Illinois were shocked to discover that their children's school
[00:10:49.466 --> 00:10:52.469]  Approved an event for children organized by the Satanic Temple.
[00:10:53.649 --> 00:11:06.179]  The event titled, Satan Club, held at the Jane Addams Elementary School, vowed to introduce children to a scientific, rationalist, non-superstitious worldview.
[00:11:07.380 --> 00:11:14.026]  And when you see these Satanists, and I've seen their film they put out that got all the praise for Hollywood, I mean, you talk about losers.
[00:11:14.813 --> 00:11:16.855]  What my dad calls glow-in-the-dark people.
[00:11:16.995 --> 00:11:18.156]  I don't care if they're black or white.
[00:11:18.456 --> 00:11:21.719]  They've got like green colored skin and they're translucent.
[00:11:22.860 --> 00:11:24.201]  And they don't look too happy, do they?
[00:11:24.561 --> 00:11:26.763]  These are the slaves of the slaves.
[00:11:28.905 --> 00:11:33.349]  These are the... They're not even cockroaches of the spiritual world.
[00:11:33.389 --> 00:11:39.114]  They're just losers that turned into the energy, put into the energy of Satan.
[00:11:39.794 --> 00:11:41.656]  And never felt anything like it in their lives.
[00:11:41.676 --> 00:11:42.857]  Never had a connection to God.
[00:11:43.998 --> 00:11:45.859]  And just never knew what hit them.
[00:11:45.899 --> 00:11:47.380]  I mean, basically they're not even human anymore.
[00:11:47.400 --> 00:11:48.120]  They're just demons.
[00:11:48.740 --> 00:11:49.621]  They're not basically demons.
[00:11:49.641 --> 00:11:50.261]  They are demons.
[00:11:51.261 --> 00:11:59.025]  And they've never even imagined what they could have had if they would have had communion with the real God.
[00:11:59.385 --> 00:12:01.726]  But that's again a great failure of ours, isn't it?
[00:12:02.506 --> 00:12:03.427]  So here we are.
[00:12:03.647 --> 00:12:05.448]  So we have that little tidbit for you.
[00:12:06.788 --> 00:12:10.390]  And then we have another Tucker Carlson clip I'm going to play.
[00:12:10.410 --> 00:12:12.871]  Because he's just knocking it out of the park every day.
[00:12:14.301 --> 00:12:14.761]  Last night.
[00:12:16.062 --> 00:12:17.403]  And he just has a way of doing things.
[00:12:17.443 --> 00:12:41.639]  It's confirmed now that the Justice Department through the White House went to the Broward County School in Florida and went to the one up in Virginia and a bunch of other schools now we're learning, not just one, and said, send letters in to the National Education Association, the National Association of School Districts, all of them, send letters in that you're scared of the parents and they're terrorists and they're bad.
[00:12:41.959 --> 00:12:43.440]  And give us some bad examples of them.
[00:12:44.417 --> 00:12:55.621]  And then we're going to call in the Justice Department to come in and have the FBI land in helicopters, in the case of Virginia, and walk in with earpieces and stare at the parents.
[00:12:55.681 --> 00:12:56.882]  I mean, this is just unbelievable.
[00:12:57.162 --> 00:12:58.662]  And you're like, why are they doing that?
[00:12:59.403 --> 00:13:01.043]  Well, because the enemy is the parents.
[00:13:01.383 --> 00:13:02.724]  The system wants the children.
[00:13:03.084 --> 00:13:07.566]  Every authoritarian state comes in and takes over the children.
[00:13:08.866 --> 00:13:11.327]  Every single authoritarian state does this throughout history.
[00:13:12.922 --> 00:13:14.083]  And it's their prize.
[00:13:14.163 --> 00:13:16.684]  And it's not just because authoritarians want to brainwash the next generation.
[00:13:17.084 --> 00:13:23.627]  They spiritually want the children because they are energetically draining them in all the different things.
[00:13:23.667 --> 00:13:34.193]  The pedophilia and the abuse and the brainwashing and manipulating them through trauma-based systems to join evil because they believe evil will make them strong.
[00:13:35.153 --> 00:13:35.994]  It's about their souls.
[00:13:38.575 --> 00:13:40.536]  And that's where we are.
[00:13:41.710 --> 00:13:45.693]  So, of course the Justice Department planned the rollout.
[00:13:46.333 --> 00:13:49.515]  I mean, you know, they tried to go to Waco.
[00:13:49.615 --> 00:13:51.336]  They could have arrested Koresh in town at any time.
[00:13:51.356 --> 00:13:52.197]  He had a business in town.
[00:13:53.437 --> 00:13:54.498]  Jogged off the property.
[00:13:54.518 --> 00:13:56.559]  He was a marathon runner, basically, every day.
[00:13:56.779 --> 00:13:57.480]  But they didn't want that.
[00:13:57.500 --> 00:14:02.003]  They wanted to go shoot up the building and burn up the kids and, you know, do all the rest of it to start their war on cults.
[00:14:03.063 --> 00:14:10.108]  By picking a weird group that was, you know, did need to be investigated by CPS, I think, and did need to have, you know, but you don't come burn them down for that.
[00:14:10.348 --> 00:14:10.729]  No, no, no.
[00:14:10.769 --> 00:14:11.609]  They picked that.
[00:14:11.649 --> 00:14:15.872]  They admitted in documents and video to get funding and to start a war with the American people.
[00:14:16.092 --> 00:14:19.475]  So pick a group that's weird and that we don't agree with and has got problems.
[00:14:19.915 --> 00:14:23.438]  And then once you don't stand up for them, well, nobody's going to stand up for you.
[00:14:24.979 --> 00:14:25.899]  And so you saw that.
[00:14:27.000 --> 00:14:37.550]   And then now they've moved on from A splinter group of the Seventh-Day Adventists apocalyptically living out on the plains of North Central Texas.
[00:14:38.651 --> 00:14:42.395]  And now they've moved on to, oh, you don't like drag queen story time?
[00:14:42.415 --> 00:14:43.856]  You don't like Satan time?
[00:14:44.356 --> 00:14:50.422]  You don't like the local high priest, Satan, coming to your school and teaching how Jesus is not real?
[00:14:51.223 --> 00:14:52.504]  And the devil's not real?
[00:14:52.524 --> 00:14:55.747]  Remember, the devil's biggest trick is telling the kids the devil ain't real.
[00:14:56.513 --> 00:14:59.494]  That's why I'm here talking to you about how there's no God and you're all alone with me.
[00:14:59.514 --> 00:15:04.156]  Because you dial into God, now you can go through anything they're going to throw at you.
[00:15:04.677 --> 00:15:10.299]  They don't want you to know you got that spiritual antenna that you're with the Holy Spirit anytime you ask it in.
[00:15:11.000 --> 00:15:13.321]  But you deny it and you persecute children.
[00:15:13.921 --> 00:15:17.963]  God will close the door and remove the Holy Spirit and damn you while you're alive.
[00:15:18.803 --> 00:15:27.151]   And once the door is closed, I felt the door closing when I was about 17 and Oh, thank God.
[00:15:27.292 --> 00:15:29.333]  Right as it almost closed, I just got the channel.
[00:15:29.893 --> 00:15:30.873]  And that's everything to me.
[00:15:31.454 --> 00:15:32.494]  That's the most important thing.
[00:15:32.514 --> 00:15:34.135]  You want that connection to God.
[00:15:34.756 --> 00:15:36.276]  We're gonna come back and talk more about the Satanist.
[00:15:37.057 --> 00:15:41.119]  And how your children are basically the gas for their engines.
[00:15:42.140 --> 00:15:43.500]  Your children are everything to them.
[00:15:43.760 --> 00:15:44.641]  Destroying your children.
[00:15:45.601 --> 00:15:48.043]  So, the mission has been carried out.
[00:15:49.023 --> 00:15:51.505]  My operations against the globalists have been executed.
[00:15:53.105 --> 00:15:55.667]  And now, it's time to take it like a man.
[00:15:58.971 --> 00:16:00.131]  But know this, evildoers.
[00:16:01.092 --> 00:16:02.332]  God will punish you.
[00:16:03.633 --> 00:16:04.453]  And God's real.
[00:16:05.313 --> 00:16:10.155]  And you will stare into God's face when you are damned to hell forever.
[00:16:11.515 --> 00:16:11.895]  Not me.
[00:16:13.836 --> 00:16:14.716]  I'm going to the next level.
[00:16:16.957 --> 00:16:18.398]  All right, here we are, ladies and gentlemen.
[00:16:20.298 --> 00:16:24.480]  I'm going to air it next segment because it's so true.
[00:16:24.560 --> 00:16:25.320]  And it's in the news.
[00:16:25.380 --> 00:16:36.977]   It's not Tucker Carlson's opinion that the Justice Department Went around to the different, not just in Virginia, all over, and told them, tell us the public are terrorists, and called them terrorists in the letters.
[00:16:39.017 --> 00:16:44.899]  I mean, if you ever wanted to know how evil this government is, and that it's run by very sick people that want your children, that's their mission.
[00:16:44.999 --> 00:16:45.799]  These Pied Pipers.
[00:16:48.980 --> 00:16:49.580]  That's what they're doing.
[00:16:49.600 --> 00:16:51.840]  And when you look at who they are, Jeffrey Epstein.
[00:16:54.561 --> 00:16:55.161]  The Clintons.
[00:16:55.941 --> 00:16:58.122]  Your children are the currency.
[00:17:00.814 --> 00:17:07.360]  Now I killed my children, and I say that, I'm ashamed of that, but I'm proud of the fact I'll be honest with you.
[00:17:09.342 --> 00:17:21.292]  And as I said, they weren't people, but God touched my heart and said, I've got a mission for you and you're going to carry this out and you will be reprieved.
[00:17:22.853 --> 00:17:26.617]  But if you don't, the door is shut.
[00:17:27.924 --> 00:17:42.872]  And I want to encourage people that have served the dark side or been evil or had a experience with the dark side to understand that if you can still feel any connection of guilt or any connection to God, you can still be saved.
[00:17:44.713 --> 00:17:55.679]  Before we cover all this temporal news that's happening in the world, you got to understand you are an eternal being of light that is energized by God's spirit and God's creation around you.
[00:17:56.471 --> 00:17:59.012]  It's like I put an iPhone on a little invisible charging station.
[00:17:59.032 --> 00:18:00.392]  You can't see it, but it's beaming it in.
[00:18:01.153 --> 00:18:01.993]  That's the analogy.
[00:18:03.914 --> 00:18:10.996]  But Satan is going to send his transmission and his wavelength to you, whether you want the transmission or not.
[00:18:11.576 --> 00:18:22.300]  God is not going to hit you with the real transmission, the master transmission, the prime transmission, unless you're open for that transmission.
[00:18:24.699 --> 00:18:28.640]  And sin, going against God's program, blocks that.
[00:18:29.940 --> 00:18:33.581]  It's like a Faraday cage, but still part of it gets through.
[00:18:33.601 --> 00:18:46.243]  And then as you cut away the sin, the bad you're doing, and get aligned with that energy coming to you, even if it's a tiny beam of the Holy Spirit that makes it through, within that is the seed of God's larger plan.
[00:18:46.263 --> 00:18:52.624]  You can take that and then plant it in yourself, and it grows and gets bigger, and then it becomes more and more and just expands.
[00:18:53.976 --> 00:18:54.756]  Like an explosion.
[00:18:56.597 --> 00:18:58.918]  And it's that explosion that the Satanists hate.
[00:19:00.159 --> 00:19:05.501]  It's that explosion of our will and our psychic energy and our connection to God that they don't like.
[00:19:05.581 --> 00:19:07.942]  They want that transmission cut off.
[00:19:09.563 --> 00:19:12.404]  That's what the higher orders of the satanic system want.
[00:19:13.584 --> 00:19:20.327]  And this is completely energetic.
[00:19:21.267 --> 00:19:22.468]  This whole thing is about energy.
[00:19:23.953 --> 00:19:28.095]  And you don't just think some old oil in the ground can create energy.
[00:19:28.115 --> 00:19:30.016]  You don't just think the sun up in the sky can create energy.
[00:19:30.036 --> 00:19:32.196]  Because as amazing as the sun is, it's not alive.
[00:19:34.677 --> 00:19:36.678]  It's an ongoing giant thermonuclear explosion.
[00:19:38.899 --> 00:19:41.660]  But you can contemplate that in the entire universe.
[00:19:42.021 --> 00:19:43.381]  And you can contemplate God.
[00:19:43.661 --> 00:19:45.022]  And you can interface with God.
[00:19:46.342 --> 00:19:47.623]  You can commune with God.
[00:19:48.223 --> 00:19:50.124]  And be lifted up by God.
[00:19:52.097 --> 00:19:52.797]  In that worship.
[00:19:53.258 --> 00:19:55.098]  And they don't want you to have any contact with that.
[00:19:55.999 --> 00:19:57.619]  They don't want you to have any connection to that.
[00:19:57.639 --> 00:19:58.800]  They don't want you to know that's there.
[00:19:58.840 --> 00:20:00.721]  They want you in the darkness.
[00:20:01.701 --> 00:20:03.422]  In fact, I was telling them, come in with one song.
[00:20:03.982 --> 00:20:07.143]  Come in with, uh, I'm Gonna Live Forever by the High Woman.
[00:20:07.823 --> 00:20:09.044]  We should play that song when we come back.
[00:20:11.485 --> 00:20:13.646]  Don't let the darkness take them.
[00:20:14.446 --> 00:20:16.367]  Don't let them be forsaken.
[00:20:17.267 --> 00:20:19.168]  Just lead them safely to the light.
[00:20:21.698 --> 00:20:31.525]  When this whole world's blown asunder, and all the stars fall from the sky, know there is someone who really loves you.
[00:20:32.946 --> 00:20:37.829]  We'll live forever, you and I. I'm gonna live forever.
[00:20:38.550 --> 00:20:40.251]  I'm gonna cross that river.
[00:20:42.112 --> 00:20:44.534]  I'm going to reach tomorrow now.
[00:20:44.554 --> 00:20:46.175]  Yeah, let's go ahead and play the song right now.
[00:20:46.195 --> 00:20:46.776]  Go ahead and play it now.
[00:20:49.901 --> 00:21:21.731]   You're gonna wanna hold me just like I always told you I'm gonna live forever I'm gonna cross that river I'm gonna catch tomorrow now You're gonna wanna hold me just like I always told you You're gonna miss me when I'm gone Nobody here will ever find me But I will always be around
[00:21:21.731 --> 00:21:30.731]   Just like the songs I leave behind me I'm gonna live forever now
[00:21:30.731 --> 00:21:45.731]   You fathers and you mothers Be good to one another
[00:21:45.731 --> 00:21:52.731]   Please try to raise your children right Don't let the darkness take 'em
[00:21:52.731 --> 00:21:57.731]   Don't make 'em feel forsaken Just lead 'em safely to the light
[00:21:57.731 --> 00:22:06.731]   When this whole world is blown asunder And all the stars fall from the sky
[00:22:06.731 --> 00:22:15.096]   Remember someone really loved you I'm going to live forever.
[00:22:15.176 --> 00:22:19.878]  I'm going to cross that river.
[00:22:19.958 --> 00:22:25.580]  I'm going to catch tomorrow now.
[00:22:25.720 --> 00:22:28.361]  I'm going to live forever.
[00:22:28.381 --> 00:22:31.423]  I'm going to cross that river.
[00:22:31.863 --> 00:22:56.863]   I'm gonna get you tomorrow now I'm gonna live forever
[00:22:56.851 --> 00:22:58.672]  Biden has officially put the U.S.
[00:22:58.591 --> 00:23:01.591]  I'm gonna catch tomorrow now.
[00:23:01.591 --> 00:23:13.591]  [Music]
[00:23:13.591 --> 00:23:15.591]  Friday emergency broadcast.
[00:23:15.591 --> 00:23:21.591]  Biden has officially put the U.S. under martial law.
[00:23:21.591 --> 00:23:26.591]   The federal government has been completely captured by agents of the Great Reset,
[00:23:26.591 --> 00:23:29.191]  by agents of the Bilderberg Group.
[00:23:29.278 --> 00:23:34.819]  And now they're making their biomedical move to sterilize, poison, and kill large swaths of the population.
[00:23:36.799 --> 00:23:40.480]  And of course, those of us in opposition to this are going to be hunted down and killed.
[00:23:43.141 --> 00:23:47.102]  And the people helping carry all this out will be destroyed as well by their masters, not by us.
[00:23:48.002 --> 00:23:48.762]  This is judgment.
[00:23:50.443 --> 00:23:52.203]  This is doomsday for freedom.
[00:23:54.059 --> 00:23:55.921]  Unless we get a reprieve like Nineveh.
[00:23:57.762 --> 00:24:12.675]  Unless we wake up to this nightmare and decide to not be evil anymore, and to face the fact that they tell us all day the white people are bad, or the black people are bad, or the Christians are bad, or this group's bad, that group's bad, but never the Democrats.
[00:24:15.037 --> 00:24:19.300]  They tell us the veterans are bad, the police are bad, but never the people at the top, right?
[00:24:19.320 --> 00:24:20.241]  They're the good guys, right?
[00:24:22.822 --> 00:24:24.263]  Well, here we are, ladies and gentlemen.
[00:24:24.303 --> 00:24:30.786]  One of the crew gave me an amazing, amazing Ephesians Bible quote.
[00:24:30.906 --> 00:24:31.386]  So true.
[00:24:33.167 --> 00:24:39.751]  And have no fellowship with the unfruitful works of darkness, but rather expose them.
[00:24:40.971 --> 00:24:45.894]  For it is shameful even to speak of those things which are done by them in secret.
[00:24:46.474 --> 00:24:49.996]  But all things that are exposed are made manifest by the light.
[00:24:51.493 --> 00:24:53.755]  For whatever makes manifest is light.
[00:24:54.856 --> 00:25:02.982]  Therefore, he says, awake you who sleep, arise from the dead, and Christ will give you light.
[00:25:05.644 --> 00:25:06.365]  Powerful truth.
[00:25:08.286 --> 00:25:10.648]  Inspired by the big guy.
[00:25:11.489 --> 00:25:13.451]  Not Donald Trump, the big guy.
[00:25:15.072 --> 00:25:20.076]  So, I want to show TV viewers this.
[00:25:20.096 --> 00:25:21.137]  Maybe we can put it on screen in there.
[00:25:22.921 --> 00:25:23.641]  Look at this logo.
[00:25:23.661 --> 00:25:24.721]  This is happening all over the country.
[00:25:24.741 --> 00:25:29.843]  So, convicted pedophiles coming and having your five-year-old sit on their lap, sometimes unannounced in places like Denver.
[00:25:30.363 --> 00:25:34.664]  That's not bad enough, but zoom in on this or maybe put it up from InfoWars so you can see.
[00:25:34.684 --> 00:25:34.984]  There it is.
[00:25:36.564 --> 00:25:39.385]  The Satanic Temple Afterschool Satan Club.
[00:25:41.946 --> 00:25:45.446]  And it's a friendly, happy little Satan.
[00:25:46.827 --> 00:25:49.787]  And it's even got the messed up, lazy eye like the head of it.
