[00:00.000 --> 00:21.160]  The
[04:06.160 --> 04:07.160]  about all this.
[04:07.160 --> 04:10.280]  We made some pretty public mistakes and we need to own them.
[04:10.280 --> 04:14.960]  This admission came after the CDC received the findings of an external review she ordered
[04:14.960 --> 04:16.440]  of the agency.
[04:16.440 --> 04:22.120]  The CDC says the review found the agency's COVID guidance was confusing and overwhelming.
[04:22.120 --> 04:26.160]  But you are still out there saying no it's great and you're proud of it.
[04:26.160 --> 04:31.760]  Now that they've admittedly set you and America and the world up with an experimental drug
[04:31.760 --> 04:37.600]  they rolled out of gene therapy against the general public it is critical for you to decouple
[04:37.600 --> 04:43.080]  from these people like Bolsonaro and other leaders like Victor Orban have done saying
[04:43.080 --> 04:47.480]  hey at first we were for this we thought it might help but now we know it doesn't work
[04:47.480 --> 04:51.080]  it's a fraud and we need to put the brakes on this.
[04:51.080 --> 04:52.640]  President Trump I care about you.
[04:52.640 --> 04:57.120]  I know you mean well you're a very smart man but they're coming after six months old and
[04:57.120 --> 04:59.520]  up babies with these dangerous shots.
[04:59.520 --> 05:04.720]  Ladies and gentlemen if millions of people get this book our funding problems will be
[05:04.720 --> 05:06.560]  over and it's starting to happen.
[05:06.560 --> 05:09.960]  That's why I said yeah go to infoworkstore.com get the book and start shipping in a couple
[05:09.960 --> 05:14.000]  weeks the great reset in the war for the world but I said go to Amazon because it's the number
[05:14.000 --> 05:19.280]  one book chart in the world and if it goes to number one not a political not of history
[05:19.280 --> 05:23.520]  not of US history it's already number one over 40 categories like political science
[05:23.520 --> 05:26.440]  you name it 40 plus categories is number one.
[05:26.440 --> 05:32.840]  Ladies and gentlemen drum roll please of books in the world the great reset in the war for
[05:32.840 --> 05:42.160]  the world is one two three four five six seven eight nine we are now number nine in the world.
[05:42.160 --> 05:47.680]  This is major this is political this could fund our war chest just go to amazon.com everybody
[05:47.680 --> 05:53.600]  and buy 10 copies send this blueprint to the death star and the new world order because
[05:53.600 --> 05:56.640]  you read this you know their whole plan how to stop them get the great reset in the war
[05:56.640 --> 06:09.560]  for the world now it's going to go to number one what do you make of that.
[06:09.560 --> 06:16.520]  If you are receiving this transmission you are the resistance live from Austin Texas
[06:16.520 --> 06:33.520]  you're listening to the Alex Jones show.
[06:33.520 --> 06:38.720]  We are being told that we must stop eating beef because the methane produced by cattle
[06:38.720 --> 06:45.240]  burps and farts is accelerating global warming so let's look at the science mass balance
[06:45.240 --> 06:52.840]  calculations take into account material being added exchanged and lost during natural processes
[06:52.840 --> 07:00.280]  and Australian geologist Ian Plymer breaks down this science in eat beef save the planet
[07:00.280 --> 07:07.320]  grass along with most plant life consumes carbon dioxide from the air as food the more
[07:07.320 --> 07:13.880]  CO2 the greener the environment so the theory that CO2 levels are hurting the environment
[07:13.880 --> 07:18.640]  is flawed from the start but for the sake of argument we can examine the science and
[07:18.640 --> 07:25.120]  see if cow farts actually are increasing CO2 levels in the atmosphere the grass consumes
[07:25.120 --> 07:31.000]  CO2 from the air and when it dies methane is released which quickly separates into
[07:31.000 --> 07:38.200]  CO2 and water vapor when the grass is eaten by cattle this carbon is recycled in various
[07:38.200 --> 07:44.040]  ways cattle waste fertilizes the grass with some of this carbon and the rest is stored
[07:44.040 --> 07:51.480]  in meat milk blood intestines bones and skin thanks to the cattle carbon is taken from
[07:51.480 --> 07:58.200]  the grass and used as fertilizer stored in leather goods and consumed as food where most
[07:58.200 --> 08:04.480]  of it stays with the body until death and so the processes of meat production and consumption
[08:04.480 --> 08:11.120]  actually removes carbon from the atmosphere and recycles it elsewhere humans cattle and
[08:11.120 --> 08:18.320]  grass are all parts of the same natural ecosystem and carbon is the building block the entire
[08:18.320 --> 08:24.960]  anti meat agenda is built upon lies grass fed beef is so nutritious that in all beef
[08:24.960 --> 08:30.000]  diet has become a very popular choice for people cleansing and healing from several
[08:30.000 --> 08:36.000]  ailments and disease humans are omnivores and that means we have the ability to survive
[08:36.000 --> 08:42.000]  on both plants and animals our teeth are able to cut and masticate animal flesh and we have
[08:42.000 --> 08:47.280]  the digestive enzyme trypsin for breaking down meat which has allowed the human brain
[08:47.280 --> 08:53.400]  to grow larger over time allows us to grow stronger and operate more efficiently many
[08:53.400 --> 08:59.000]  people eat vegetarian diets because they believe that eating meat is immoral this argument is
[08:59.000 --> 09:04.560]  taught like a religion with the main rule being don't eat anything with a face which
[09:04.560 --> 09:10.120]  doesn't make any sense what about the millions of microorganisms we consume in a single glass
[09:10.120 --> 09:15.960]  of water do they not deserve the same respect experiments with plants and vegetables show
[09:15.960 --> 09:21.360]  how they feel pain and recognize the person who hurt them do they not deserve the same
[09:21.360 --> 09:27.600]  respect simply because they have no face a simple law of the physical natural world is
[09:27.600 --> 09:34.720]  that life is sustained by life every living thing sustains its own life by consuming other
[09:34.720 --> 09:41.360]  living things this is true of the carnivore the omnivore and the vegan the moral argument
[09:41.360 --> 09:47.920]  of veganism is just another ego trip many are learning veganism from modern yoga teachers
[09:47.920 --> 09:53.440]  as if it were an ancient religion but this is a myth the cow was sacred in traditional
[09:53.440 --> 10:00.320]  yoga because it sustained life vegetarianism was only promoted among the lower casts so
[10:00.320 --> 10:05.520]  that enough meat was available to the warrior and priest classes and that's all that's
[10:05.520 --> 10:13.000]  happening today the all-powerful 0.1% want us lower casts to eat bugs while they save
[10:13.000 --> 10:18.120]  the best for themselves but it's even worse than that they want us all to get sick and
[10:18.120 --> 10:24.200]  die in an evaluation of edible insects and the transmission of parasitic diseases one
[10:24.200 --> 10:30.600]  third of all insects studied were found to be pathogenic to humans and most insects contain
[10:30.600 --> 10:37.600]  titan which is a modified polysaccharide present in most insects and absent in all mammals
[10:37.600 --> 10:42.960]  we cannot digest it and it is known to cause several health issues with humans who consume
[10:42.960 --> 10:51.080]  it including respiratory issues and the accelerated growth of cancer cells the real problem isn't
[10:51.080 --> 10:57.080]  beef consumption it's factory farming and we can solve this by incentivizing local
[10:57.080 --> 11:06.320]  grass-fed cattle farming reporting for info wars this is greg reese that is what you call
[11:06.320 --> 11:11.760]  a fabulously informative and true report sacred cows the dangers of eating bugs went
[11:11.760 --> 11:16.560]  live saturday i'm gonna have it added to the live show feed today and bring it back to
[11:16.560 --> 11:22.280]  the front page of info wars dot com that is all completely absolutely true what an incredible
[11:22.280 --> 11:29.000]  short report less than five minutes long on info wars dot com get it and share it take
[11:29.000 --> 11:32.760]  it reupload it wherever you want none of our stuff is trademark copyright it's free to
[11:32.760 --> 11:43.680]  air get it out there all right we've got an incredible broadcast lined up today every
[11:43.680 --> 11:48.240]  broadcast is is is really informative and amazing but this one is just over the top
[11:48.240 --> 11:55.240]  steve kersh who is investigative journalist and also major tech entrepreneur and engineer
[11:55.240 --> 11:59.560]  has put all the studies and research from the insurance companies and governments together
[11:59.560 --> 12:06.560]  proving mass death from the poison shots he joins us in the second hour and then of course
[12:06.560 --> 12:11.760]  stockbroker expert trends forecaster edward dowd with the biggest development yet joining
[12:11.760 --> 12:22.200]  us today and then gerald salante will be taking over in the fourth hour big broadcast ahead
[12:22.200 --> 12:31.960]  of on shroyer three p.m. central always informative on the war room all right when we come back
[12:31.960 --> 12:37.200]  still a long time to break when we come back elon musk has put out his most important tweet
[12:37.200 --> 12:46.160]  yet we have the execution assassination of alexander dougan's daughter when they were
[12:46.160 --> 12:52.120]  trying to kill him what that really signifies massive economy news so much on the great
[12:52.120 --> 12:57.840]  reset and more today this is another broadcast you're not going to want to miss but separately
[12:57.840 --> 13:03.880]  here is the good news freedom is popular this book with no advertising in the corporate
[13:03.880 --> 13:10.680]  media has gone to number five fluctuates between that the top hundred on amazon dot com the
[13:10.680 --> 13:15.000]  number one book platform in the world it's it's the equivalent of the new york times
[13:15.000 --> 13:19.280]  by seller list before they got caught rigging in the last twenty years so nobody looks at
[13:19.280 --> 13:23.200]  or believes anymore totally fake the amazon chart is a hundred percent real this has
[13:23.200 --> 13:29.640]  been in the top ten off and on for several weeks and you see this is the actual book
[13:29.640 --> 13:35.680]  it is here it's ready to ship ladies and gentlemen and i can tell you that there are a few thousand
[13:35.680 --> 13:42.400]  books left at info war store dot com till a new order comes in but for the time being
[13:42.400 --> 13:46.800]  this will be the only sign books i do and it's a fundraiser keep us on air it's absolutely
[13:46.800 --> 13:51.840]  critical to thank all of you that went and got the signed fundraiser copy of the book
[13:51.840 --> 13:55.440]  it's a piece of history it's the desk our plan the great reset the war for the world
[13:55.440 --> 14:00.000]  is your last chance to get a signed copy at info war store dot com and is a fundraiser
[14:00.000 --> 14:04.840]  we're doing so thank you so much your support the great reset the war for the world is my
[14:04.840 --> 14:12.480]  magnum opus it is a masterwork and it just absolutely devastatingly lays out how evil
[14:12.480 --> 14:18.800]  and sick these people are it is a must read now available exclusively signed copies and
[14:18.800 --> 14:23.560]  info war short dot com or unsigned copies and amazon dot com and hundreds of other platforms
[14:23.560 --> 14:30.000]  and we do want to push it to number one we are barred from shipping it until the twenty
[14:30.000 --> 14:37.560]  ninth and so we got a warehouse full of them we have eight pallets of the book we got a
[14:37.560 --> 14:41.840]  few thousand copies left that have it sold all the rest are waiting for you and i'm
[14:41.840 --> 14:51.040]  about to go into machine gun fashion hours a day doing this right here signing the great
[14:51.040 --> 15:00.840]  reset and the war war world ladies and gentlemen as the first signed book right there boom they
[15:00.840 --> 15:05.640]  are going to have it as a semi line just handed them to me and i love it because you're supporting
[15:05.640 --> 15:11.360]  us you're getting a piece of history you're getting the desk our plans it is going to
[15:11.360 --> 15:21.600]  be amazing their attempts to shut us down are backfiring big time and i'm very blessed
[15:21.600 --> 15:27.240]  very honored to be here with you now so get your signed copies exclusively and info war
[15:27.240 --> 15:36.480]  store dot com they predict this book is going to go number one in the world what an important
[15:36.480 --> 15:43.000]  message to the new world order their attempts to silence us okay you want the inside baseball
[15:43.000 --> 15:46.680]  we're as close to it as you're going to get all the enemy tunes in to figure out what's
[15:46.680 --> 15:51.560]  going on most of our department allies very blessed to be here all glory goes to god we
[15:51.560 --> 15:56.120]  back on the other side and watch the main transmission today nobody you know tune in
[15:56.120 --> 16:01.920]  now to info wars dot com forward slash show you say Alex Jones crazy he's a conspiracy
[16:01.920 --> 16:08.480]  theory guy's a nutcase you got these rants and all that what they miss is that this guy's
[16:08.480 --> 16:15.120]  a head of the curve on so many different topics of signal not noise if you look at the signal
[16:15.120 --> 16:21.920]  and you compare that to pbs and npr and bbc and we'll do what Alex Jones put out there
[16:21.920 --> 16:26.920]  versus what your collective body has put out there and if you're a set in a human being
[16:26.920 --> 16:30.200]  and just watching it you say well god Alex Jones is ahead of this not only that he can't
[16:30.200 --> 16:35.840]  explain it you are one of the great thinkers of this that is very rare you got to go back
[16:35.840 --> 16:41.000]  almost to the revolutionary generation and see that in this new book I got to tell you
[16:41.000 --> 16:45.400]  when Tony Lyons first approached me I read this thing I go this is it this is no beat
[16:45.400 --> 16:48.920]  free you're not going to be flipping pages are you going to be having a pin out you're
[16:48.920 --> 16:55.960]  going to be underlying stuff great reset by Alex Jones order your copy now at amazon or
[16:55.960 --> 17:01.280]  infowarstore.com the best product I'm not supposed to be biased but I'm going to tell
[17:01.280 --> 17:05.040]  you all now if you haven't tried turbo force you need to try it I've tried turbo force
[17:05.040 --> 17:09.640]  with everything sometimes you know I went a little bit crazy I put turbo force in my
[17:09.640 --> 17:13.960]  coffee that was a crazy week I don't remember sleeping but as far as the products go turbo
[17:13.960 --> 17:17.640]  force is my favorite and all the info wars products are down to take control of your
[17:17.640 --> 17:23.480]  life take control of your health not relying on other people to do it for you nobody wakes
[17:23.480 --> 17:28.160]  up in the morning and thinks I'm going to give that person over there a better life I'm
[17:28.160 --> 17:31.800]  going to wake up today you know I'm going to spend my entire day trying to make that guy
[17:31.800 --> 17:35.360]  over there healthier happier and richer I'm going to make sure he gets a Ferrari and a
[17:35.360 --> 17:38.480]  girlfriend I don't think that happens very often it's never happened to me I've never
[17:38.480 --> 17:42.080]  had anyone knock on my door and said Tate you're such a good guy how can I improve your life
[17:42.080 --> 17:45.320]  in every single way there's only one person who woke up and thought that and that was
[17:45.320 --> 17:48.960]  me I woke up and thought you know what okay I want to take control of my life I want to
[17:48.960 --> 17:51.800]  take control of my health and that's why you need to go to info wars.com take control of
[17:51.800 --> 17:55.320]  your health right now and support the resistance don't buy into the group think don't drink
[17:55.320 --> 17:59.560]  the Kool-Aid drink the turbo force Kool-Aid's bad the turbo force is good the globalists
[17:59.560 --> 18:05.240]  are fighting around the clock to destroy the family to destroy heterosexual relationships
[18:05.240 --> 18:11.120]  to annihilate our marriages and the studies are all clear the number one cause of marital
[18:11.120 --> 18:17.840]  splits is that there is problems in the bedroom and the number one issue men have is erectile
[18:17.840 --> 18:22.800]  dysfunction ladies and gentlemen the left makes big jokes about this because they don't want
[18:22.800 --> 18:28.360]  people having lasting good love and relationships they want to break up society we are so excited
[18:28.360 --> 18:35.800]  to have the number one natural male enhancement pill in the world available as a major sponsor
[18:35.800 --> 18:43.360]  now go to theironpatriot.com today theironpatriot.com and watch the instructional video look at
[18:43.360 --> 18:48.480]  the science yourself and get a bottle of insta heart it's discreet shipping I've used it
[18:48.480 --> 18:52.920]  it's amazing and it's not just for folks that have problems in the bedroom this also enhances
[18:52.920 --> 19:01.880]  it so again get yours today at theironpatriot.com we brought the game changing product previously
[19:01.880 --> 19:06.040]  only available to major oil companies around the world to the civilian market two years
[19:06.040 --> 19:12.600]  ago the bio pros for septic tanks for porta potties for RVs for your drains your boats
[19:12.600 --> 19:17.720]  it goes on and on it'll eat the oil off of your driveway if you just add water but it's
[19:17.720 --> 19:23.720]  been so successful now we're selling it to major RV parts pig farms you name it because
[19:23.720 --> 19:31.000]  this stuff will eat anything that is organic and it's exclusively available at the bio
[19:31.000 --> 19:38.320]  pros.com and now info wars store.com we sold out of this for almost a year we made a major
[19:38.320 --> 19:43.880]  purchase and it is now in stock for whatever your need is at info wars store.com you also
[19:43.880 --> 19:50.080]  find instructional videos and more information at info wars store.com or the bio pros.com
[19:50.080 --> 20:01.440]  made America powered by God's great creation it is amazing and it funds the info war leading
[20:01.440 --> 20:08.440]  a frontal assault on the lies of the new world order it's alex jones
[20:42.440 --> 20:43.440]  ride the tiger
[20:52.440 --> 20:53.440]  gotta get away
[20:53.440 --> 20:54.440]  gotta get away
[20:59.440 --> 21:01.440]  between the velvet lies
[21:02.440 --> 21:04.440]  there's a truth as hard as steel
[21:07.440 --> 21:08.440]  shiny diamonds
[21:09.440 --> 21:11.440]  like the eyes of a captain of black and blue
[21:12.440 --> 21:15.440]  something is coming for you
[21:17.440 --> 21:18.440]  look out
[21:18.440 --> 21:19.440]  race for the morning
[21:19.440 --> 21:23.440]  you can hide in the sun till you see the light
[21:26.440 --> 21:27.440]  gotta run away
[21:31.440 --> 21:32.440]  here's the key
[21:32.440 --> 21:34.440]  between the velvet lies
[21:38.440 --> 21:39.440]  there's a truth
[21:39.440 --> 21:46.440]  there's a truth as hard as steel
[21:46.440 --> 21:48.440]  the vision never dies
[21:53.440 --> 21:55.440]  alright let's get to the big news here
[21:55.440 --> 22:00.440]  I know for a fact and I told you this a couple years ago that Elon Musk was riding the fence
[22:00.440 --> 22:05.440]  and that he decided to fight the new world order at least he told his top advisors that
[22:05.440 --> 22:10.440]  he was going for a pro human future and to not depopulate the earth and to fight the new
[22:10.440 --> 22:13.440]  world order now whether he's being legitimate or not
[22:13.440 --> 22:16.440]  Christ says you judge a tree by its fruits
[22:17.440 --> 22:21.440]  look what Elon tweeted out yesterday got hundreds of thousands of retweets
[22:21.440 --> 22:22.440]  Elon Musk
[22:23.440 --> 22:25.440]  here's the actual image
[22:26.440 --> 22:30.440]  please let me use the CERN Large Hadron Collider
[22:30.440 --> 22:35.440]  I'm normal and can be trusted with the demonic technology
[22:35.440 --> 22:37.440]  unlike anything the world has ever seen
[22:39.440 --> 22:42.440]  what is a demonic technology
[22:42.440 --> 22:45.440]  well they admit they're trying to find the
[22:46.440 --> 22:47.440]  God particle
[22:49.440 --> 22:55.440]  they admit they're trying to create artificial black holes and strangelets that create particles so strong
[22:55.440 --> 23:01.440]  it sinks the center of the earth and then creates a black hole that implodes the entire planet
[23:01.440 --> 23:04.440]  it's not a Star Trek movie it's reality
[23:04.440 --> 23:06.440]  and they're there
[23:06.440 --> 23:12.440]  it blew up a few years ago the last time they tried it now they're doing these tests again
[23:12.440 --> 23:18.440]  and while they're doing the tests they're constantly doing satanic rituals above ground
[23:18.440 --> 23:20.440]  on the facilities
[23:21.440 --> 23:22.440]  acreage
[23:22.440 --> 23:27.440]  so here's another Gregory's report from a few months ago where we come back and hit all the Russian news
[23:27.440 --> 23:29.440]  the economy news is so much more but
[23:29.440 --> 23:35.440]  Elon Musk is now putting out tweets about demonic technology that could destroy the earth
[23:35.440 --> 23:37.440]  and the evidence is that's true
[23:38.440 --> 23:42.440]  these people aren't playing games
[23:42.440 --> 23:44.440]  Elon Musk
[23:44.440 --> 23:47.440]  please let me use the CERN Large Hadron Collider
[23:47.440 --> 23:52.440]  I'm normal and can be trusted with a demonic technology like anything the world has ever seen
[23:52.440 --> 23:57.440]  here is the report posted at band.video I suggest you watch it and share it
[24:04.440 --> 24:10.440]  CERN is an acronym that translates to European Council for Nuclear Research
[24:10.440 --> 24:14.440]  but has since moved on to studying particle physics
[24:14.440 --> 24:18.440]  and even though they invented the internet in 1989
[24:18.440 --> 24:22.440]  they are most famous for their 666 logo
[24:22.440 --> 24:26.440]  a video of a woman being ritually sacrificed on CERN grounds
[24:26.440 --> 24:30.440]  at the altar of Shiva, the Hindu god of destruction
[24:30.440 --> 24:34.440]  and for potentially destroying the universe
[24:34.440 --> 24:40.440]  multiple lawsuits have been filed to stop CERN's particle collider
[24:40.440 --> 24:44.440]  in fear that it could destroy the earth
[24:44.440 --> 24:48.440]  which revealed to the public that CERN is a sovereign entity
[24:48.440 --> 24:51.440]  outside the jurisdiction of the courts
[24:51.440 --> 24:53.440]  so they can do whatever they want
[24:53.440 --> 24:55.440]  what is it that they're doing?
[24:55.440 --> 24:59.440]  it has to do with high velocity counter rotational spin
[24:59.440 --> 25:04.440]  which was first documented in Nazi Germany's most secret program
[25:04.440 --> 25:06.440]  the Glock, the Bell
[25:06.440 --> 25:08.440]  according to surviving documents
[25:08.440 --> 25:11.440]  the bell was somehow affecting time and space
[25:11.440 --> 25:14.440]  the most distinctive aspect of the bell
[25:14.440 --> 25:17.440]  was high velocity counter rotational spin
[25:17.440 --> 25:20.440]  also known as torsion physics
[25:20.440 --> 25:24.440]  many are concerned that CERN is attempting to open a portal
[25:24.440 --> 25:29.440]  into another dimension that will allow demonic entities to enter ours
[25:29.440 --> 25:34.440]  this was blatantly portrayed 6 years ago in a pagan ritual
[25:34.440 --> 25:39.440]  to commemorate the opening of the Gothard tunnel, just east of CERN
[25:39.440 --> 25:44.440]  the dimension they would be attempting to open is already somewhat accessible
[25:44.440 --> 25:46.440]  do you hear voices in your head?
[25:46.440 --> 25:51.440]  if you do, then you likely know it's best to keep that to yourself
[25:51.440 --> 25:54.440]  because a doctor will tell you that you're a schizophrenic
[25:54.440 --> 25:59.440]  modern psychiatry calls these voices auditory hallucinations
[25:59.440 --> 26:05.440]  and even though a whopping 1% of the world's population suffers from schizophrenia
[26:05.440 --> 26:07.440]  there isn't much research
[26:07.440 --> 26:11.440]  but after 30 years of working closely with the criminally insane
[26:11.440 --> 26:16.440]  Jerry Marzinski has noticed that the voices talking to these schizophrenics
[26:16.440 --> 26:18.440]  are all saying the same things
[26:18.440 --> 26:21.440]  there is a distinct predictable pattern
[26:21.440 --> 26:26.440]  the voices are exclusively generating negative emotion
[26:26.440 --> 26:30.440]  leaving the patient physically and emotionally drained
[26:30.440 --> 26:35.440]  the voices are always pulling a person away from God or anything positive
[26:35.440 --> 26:38.440]  the voices are always a call to action
[26:38.440 --> 26:43.440]  instructing the person to either hurt themselves or hurt someone else
[26:43.440 --> 26:50.440]  which is probably why the voices always rebel against the drugs that are prescribed for schizophrenia
[26:50.440 --> 26:53.440]  these drugs make a person comatose
[26:53.440 --> 26:56.440]  and the voices want you to do things
[26:56.440 --> 27:01.440]  Marzinski believes that schizophrenics are being attacked by non-physical entities
[27:01.440 --> 27:04.440]  that he calls energy parasites
[27:04.440 --> 27:07.440]  because they feed off of negative energy
[27:07.440 --> 27:09.440]  and in practically every case
[27:09.440 --> 27:12.440]  the victim has experienced severe trauma
[27:12.440 --> 27:14.440]  usually sexual trauma
[27:14.440 --> 27:19.440]  which explains why the voices tell people to traumatize others
[27:19.440 --> 27:22.440]  these demons want more victims
[27:22.440 --> 27:25.440]  according to the ancient Gnostics
[27:25.440 --> 27:28.440]  who refer to these entities as Archons
[27:28.440 --> 27:31.440]  they are destructive sadistic beings
[27:31.440 --> 27:35.440]  who control the earth via the thoughts of humans
[27:35.440 --> 27:37.440]  voices in the head
[27:37.440 --> 27:41.440]  this explains the rampant pedophilia we are seeing today
[27:41.440 --> 27:44.440]  and the incestuous inbreeding of royal bloodlines
[27:44.440 --> 27:50.440]  these energy parasites need traumatized people to feed upon
[27:50.440 --> 27:53.440]  perhaps some of the thoughts in our own mind
[27:53.440 --> 27:56.440]  are not our own
[27:56.440 --> 27:59.440]  most schizophrenics claim that this is the case
[27:59.440 --> 28:03.440]  but are told by doctors that they are crazy
[28:03.440 --> 28:08.440]  doctors who only give them lobotomies, electroshock and drugs
[28:08.440 --> 28:12.440]  and Marzinski has only seen schizophrenics recover
[28:12.440 --> 28:16.440]  once they start seeing these voices as an external entity
[28:16.440 --> 28:20.440]  they then realize that they can actually resist them
[28:20.440 --> 28:22.440]  and the voices go away
[28:22.440 --> 28:26.440]  and so while CERN is a great mystery and a concern
[28:26.440 --> 28:30.440]  the demons from another dimension may already be here
[28:30.440 --> 28:32.440]  in our thoughts
[28:32.440 --> 28:36.440]  so it's a good thing we all have free will
[28:36.440 --> 28:40.440]  reporting for Infowars, this is Greg Rees
[28:41.440 --> 28:45.440]  wow and now Elon Musk is talking about it
[28:45.440 --> 28:47.440]  very, very interesting
[28:47.440 --> 28:50.440]  we'll be back with all the huge news, Infowars.com
[28:50.440 --> 28:54.440]  tomorrow's news today, man.video, those are the coordinates of freedom
[28:54.440 --> 29:18.440]  share them and defeat the New World Order, share them now
[29:43.440 --> 29:45.440]  it keeps us on the air
[29:45.440 --> 29:47.440]  and it's gonna sell out quick
[29:47.440 --> 29:51.440]  but despite that, we're offering it for 50% off
[29:51.440 --> 29:57.440]  at infowarstore.com to support our longtime viewers and listeners
[29:57.440 --> 30:00.440]  and for new folks to take advantage of it
[30:00.440 --> 30:02.440]  sold out for more than six months
[30:02.440 --> 30:05.440]  our number one best seller is now back in stock
[30:05.440 --> 30:07.440]  vitamin mineral fusion
[30:07.440 --> 30:09.440]  all the minerals, all the vitamins
[30:09.440 --> 30:11.440]  all the keomino acids to turbo charge
[30:11.440 --> 30:15.440]  your immune system and make your body as healthy as it could possibly be
[30:15.440 --> 30:17.440]  ladies and gentlemen, this is our best selling product
[30:17.440 --> 30:18.440]  because people love it
[30:18.440 --> 30:20.440]  we first launched it four years ago
[30:20.440 --> 30:21.440]  and it's the best other item
[30:21.440 --> 30:23.440]  it's high quality vitamins, minerals, okay great
[30:23.440 --> 30:25.440]  people love it because it tastes great
[30:25.440 --> 30:26.440]  and they see the results
[30:26.440 --> 30:28.440]  and it funds the info war
[30:28.440 --> 30:30.440]  so sold out for more than six months
[30:30.440 --> 30:33.440]  vitamin mineral fusion is now back in stock
[30:33.440 --> 30:34.440]  for a limited time
[30:34.440 --> 30:37.440]  at infowarstore.com for 40% off
[30:37.440 --> 30:39.440]  because I want you to experience it
[30:39.440 --> 30:40.440]  I want you to get it
[30:40.440 --> 30:41.440]  I want to move it out the door
[30:41.440 --> 30:42.440]  and hopefully get more in the future
[30:42.440 --> 30:44.440]  but who knows, supply chain breakdowns
[30:44.440 --> 30:45.440]  it may not happen
[30:45.440 --> 30:48.440]  so get your vitamin mineral fusion at infowarstore.com today
[30:48.440 --> 30:50.440]  and keep info wars on the air
[30:50.440 --> 30:53.440]  vitamin mineral fusion back in stock
[30:53.440 --> 30:57.440]  40% off at infowarstore.com
[30:57.440 --> 30:59.440]  vitamin mineral fusion
[30:59.440 --> 31:02.440]  sold out for seven months
[31:02.440 --> 31:06.440]  body's ultimate turmeric formula is back in stock
[31:06.440 --> 31:09.440]  turmeric's been known for thousands of years
[31:09.440 --> 31:11.440]  to do amazing things for your joints
