[00:00:00.000 --> 00:00:03.359]  [MUSIC PLAYING]
[00:01:57.923 --> 00:02:16.035]  When the Dutch government voted in a scheme that will force farmers to cut their livestock down to unsustainable levels, thereby forcing them out of work and shutting down the second biggest food exporter in the world, the farmers did the right thing and said no.
[00:02:16.875 --> 00:02:20.358]  And protests have broken out all throughout the Netherlands.
[00:02:21.699 --> 00:02:29.005]  Shutting down the world's second biggest food exporter is all part of the anti-human zero emissions plan.
[00:02:29.706 --> 00:02:38.033]  And so the Dutch farmers aren't just protesting losing their jobs, they're protesting the mass murder of the world's population.
[00:02:39.602 --> 00:02:43.285]  Just like the Canadian truckers and farmers did last winter.
[00:02:43.966 --> 00:02:49.771]  And just like the Canadian police sided with the tyrants, the Dutch cops are doing the same.
[00:02:50.892 --> 00:02:56.857]  Police drawing their sidearms on peaceful protesters and opening fire on them.
[00:02:56.877 --> 00:03:09.890]   No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, using undercover agents and provoking violence to shut down
[00:03:09.890 --> 00:03:23.721]  peaceful gatherings.
[00:03:23.721 --> 00:03:28.200]  Because the globalists are not taking no for an answer.
[00:03:28.376 --> 00:03:42.509]  And while you may back the blue, chances are that they won't back you when it comes to the globalist agenda, which has now enlisted A-list celebrities to convince us all to eat bugs.
[00:03:43.029 --> 00:03:47.774]  I'm Nicole Kidman, and I am going to eat a four-course meal of bugs.
[00:03:48.374 --> 00:03:54.038]  They're trying to persuade us into dying peacefully, like good, obedient slaves.
[00:03:54.958 --> 00:03:57.480]  But soon, the food will start to run out.
[00:03:58.020 --> 00:04:07.987]  And worse, more signs of kinetic world war on the horizon, as Japan's longest-standing Prime Minister, Shinzo Abe, is assassinated.
[00:04:08.687 --> 00:04:19.257]  And former Russian President Dmitry Medvedev joins President Putin in threatening nuclear annihilation if the United States continues their provocations.
[00:04:19.937 --> 00:04:22.760]  Which is exactly what the Extinction Rebellion wants.
[00:04:23.581 --> 00:04:25.742]  And it's what the Biden administration wants.
[00:04:26.623 --> 00:04:28.484]  It's what everyone in charge wants.
[00:04:29.245 --> 00:04:33.548]  The only way out of this is a worldwide people's revolution.
[00:04:33.948 --> 00:04:38.871]  The Dutch farmers have begun, and they have been joined by people from other nations.
[00:04:39.531 --> 00:04:42.193]  The revolution will not be televised.
[00:04:42.633 --> 00:04:46.656]  And if you want to stand up against evil, then now is the time.
[00:04:47.356 --> 00:04:48.937]  While you are still alive.
[00:04:50.378 --> 00:04:52.660]  Reporting for InfoWars, this is Greg Reese.
[00:04:54.477 --> 00:04:55.298]  It's Sunday Live.
[00:04:55.318 --> 00:04:55.838]  Stay with us.
[00:04:55.658 --> 00:04:57.658]  this will be back in 60 seconds.
[00:04:57.658 --> 00:05:00.238]  (upbeat music)
[00:05:00.238 --> 00:05:02.819]  (upbeat music)
[00:05:02.819 --> 00:05:09.077]  Sunday, July 10th, 2022.
[00:05:09.077 --> 00:05:12.278]  The Great Reset is here.
[00:05:12.278 --> 00:05:16.759]  InfoWars, tomorrow's news today.
[00:05:16.759 --> 00:05:23.079]  (upbeat music)
[00:05:23.079 --> 00:05:24.497]  Yeah, baby, yeah!
[00:05:25.113 --> 00:05:27.294]  India.
[00:05:27.334 --> 00:05:28.574]  The Netherlands.
[00:05:28.694 --> 00:05:28.994]  Albania.
[00:05:28.874 --> 00:05:58.854]   Sri Lanka, India, the Netherlands, Albania, the US, the UK, South Africa, and countries
[00:05:58.854 --> 00:06:00.854]  in Latin America.
[00:06:01.208 --> 00:06:04.970]  Over a hundred nations having massive riots, government buildings being stormed.
[00:06:05.550 --> 00:06:09.953]  Sunday live, the global collapse that we have predicted is here.
[00:06:09.973 --> 00:06:14.596]  It is the organized Great Reset being carried out by design.
[00:06:14.616 --> 00:06:16.037]  We're going to lay out what comes next.
[00:06:17.873 --> 00:06:37.981]  Now a lot of people, including a lot of nationalists and populists and conservatives, are celebrating the riots and takeover of government buildings around the world, and they're saying, look, the people are awake, they're angry, they're going after these corrupt systems, they know what's going on.
[00:06:39.602 --> 00:06:40.563]  This is an equation.
[00:06:40.623 --> 00:06:44.066]  This is political math, basically, is what it boils down to.
[00:06:44.986 --> 00:06:52.072]  Yes, the public's angry, because they've been under two and a half years in many areas of the world of lockdown that destroyed the economy and the supply chain.
[00:06:53.033 --> 00:06:58.277]  And yes, many of these governments have been clients of the globalists, and so they are bad people.
[00:07:00.859 --> 00:07:26.893]   But if you go back to the IMF and World Bank documents that Greg Palastcott In 2002 that we covered ad nauseum, they said that in the next 20 years they would implement the same formulas they had used in third world countries to collapse them by design in Western Europe, the United States, Canada, Australia and New Zealand.
[00:07:28.379 --> 00:07:31.780]  And so people ask why I've been harping on the coming collapse.
[00:07:31.920 --> 00:07:41.563]  Well, that's because the globalists have said they would do it, not just in those documents, but in thousands of other statements and documents we've covered here.
[00:07:41.603 --> 00:07:44.304]  So it wasn't like I was predicting this.
[00:07:44.684 --> 00:07:46.324]  I knew they were going to try to do it.
[00:07:46.604 --> 00:07:51.506]  And so we were trying to expose them and stop them from getting to this point.
[00:07:52.346 --> 00:07:54.266]  We weren't just trying to predict it to be proven right.
[00:07:54.606 --> 00:07:56.287]  We were trying to stop it.
[00:07:58.689 --> 00:08:01.751]  So, are they bad to storm government buildings in Sri Lanka?
[00:08:01.891 --> 00:08:02.111]  No.
[00:08:02.771 --> 00:08:04.692]  Are they bad to storm government buildings in India?
[00:08:04.872 --> 00:08:05.092]  No.
[00:08:05.693 --> 00:08:11.876]  Are they bad to surround police stations in the airports in the Netherlands and block all the major roads in the country?
[00:08:11.976 --> 00:08:12.176]  No.
[00:08:14.637 --> 00:08:16.058]  Are they wrong in Albania?
[00:08:16.918 --> 00:08:17.539]  Do the same thing?
[00:08:17.579 --> 00:08:17.779]  No.
[00:08:20.300 --> 00:08:27.404]  But the corporate media is spinning it like they're just mad at their governments, and this is going to cause a worldwide collapse.
[00:08:28.703 --> 00:08:30.414]  No, the lockdowns of the last 30.
[00:08:34.181 --> 00:08:52.434]  Months is what was on record to destroy the supply chain and destroy food supplies and energy supplies, and then mathematically they know that when you're spending more than 50% on food and energy, you will have a violent revolution.
[00:08:52.955 --> 00:08:53.955]  It's guaranteed.
[00:08:54.276 --> 00:08:55.617]  Black people act the same.
[00:08:56.117 --> 00:08:57.478]  Brown people act the same.
[00:08:57.878 --> 00:08:59.119]  White people act the same.
[00:08:58.938 --> 00:09:03.139]  the end of the day folks we're the same.
[00:09:03.139 --> 00:09:09.938]   And that's why Klaus Schwab talks about an angrier world and how we're going
[00:09:10.761 --> 00:09:29.225]  And that's why Bill Gates, and Joe Biden, and Bill Clinton, and Angela Merkel, and Macron, and Johnson, and all of them say, Trudeau, all of them say, we're cutting off the energy and the food to bring in the new system.
[00:09:29.685 --> 00:09:31.725]  But there is no new system we're even bringing in.
[00:09:33.346 --> 00:09:38.443]   So I've been sitting here looking at my watch, Hoping we could stop it.
[00:09:40.464 --> 00:09:41.264]  Knowing it was coming.
[00:09:42.324 --> 00:09:43.404]  Not knowing exactly when.
[00:09:43.965 --> 00:09:45.325]  But these are the big central banks.
[00:09:45.825 --> 00:09:47.866]  These are the people who took over the world by fiat currency.
[00:09:48.226 --> 00:09:56.968]  These are the folks that run the eugenics systems, and the depopulation operations, and the drag queen pedophile time, and the devalued currencies, the open borders, and the whole thing.
[00:10:00.549 --> 00:10:05.790]  And so, we've been sitting here battling their agenda, warning people they'll ban your cows.
[00:10:06.789 --> 00:10:11.850]  Which holds up and is the only profit in most farms in the world, and now they're banning those in Europe.
[00:10:12.310 --> 00:10:13.191]  And now it's coming here.
[00:10:13.551 --> 00:10:19.592]  Bill Gates doesn't get up and say, we're going to ban beef, we're going to make you eat bugs, because he's pulling that out of his rear end.
[00:10:20.032 --> 00:10:20.992]  They mean that.
[00:10:21.813 --> 00:10:23.253]  And folks are going to figure that out.
[00:10:23.573 --> 00:10:29.274]  That we're not up here imagining fantastical stuff, and then it just comes true.
[00:10:29.675 --> 00:10:34.276]  A very popular thing I see everywhere is Alex Jones gives them ideas.
[00:10:34.356 --> 00:10:35.416]  Boy, I wish that was the case.
[00:10:36.357 --> 00:11:00.698]  No, I am reading their battle plan for a controlled worldwide economic demolition that will starve the third world to death, who survives will flood us, bring us down, mass war, famine, collapse, and then out of it a worldwide authoritarian government to stabilize the planet with a planetary currency, carbon taxes, universal credit score, built on the back of the vaccine passport.
[00:11:02.748 --> 00:11:04.609]  And all of it's been announced, and all of it's here.
[00:11:04.709 --> 00:11:07.389]  So, my job is about to get a lot easier.
[00:11:08.630 --> 00:11:11.330]  I'm not here telling you what I'm trying to stop anymore.
[00:11:12.331 --> 00:11:14.331]  Baby, baby, baby.
[00:11:15.031 --> 00:11:16.052]  We're in it now.
[00:11:18.472 --> 00:11:22.914]  The only question is, how far do you want this to go?
[00:11:26.255 --> 00:11:30.316]  How bad do you want it to get until you identify the new world order?
[00:11:30.336 --> 00:11:31.136]  Let me give you the good news.
[00:11:32.762 --> 00:11:41.184]  In Australia, in New Zealand, in Albania, in Sri Lanka, and in the Netherlands particularly, and the UK.
[00:11:44.265 --> 00:11:46.465]  You go read the signs, we've translated them.
[00:11:48.025 --> 00:11:54.487]  In the Dutch, in the German, in the French, in the Sri Lankan, all of it.
[00:11:56.181 --> 00:12:00.604]  They are saying, we want the central banks, we want Klaus Schwab, we want Bill Gates.
[00:12:01.064 --> 00:12:02.746]  We don't want our governments to be run by them.
[00:12:02.786 --> 00:12:04.086]  We know you cut the fuel off.
[00:12:04.387 --> 00:12:05.627]  We know you cut the food off.
[00:12:05.928 --> 00:12:07.589]  We know you did the lockdowns to do this.
[00:12:07.649 --> 00:12:08.710]  We're gonna kill you.
[00:12:08.730 --> 00:12:10.731]  That's what they're saying.
[00:12:14.568 --> 00:12:17.190]  So let me give the New World Order a little announcement here.
[00:12:17.831 --> 00:12:22.315]  Because I don't just tell the general public what's coming next, I tell the enemy and they know it's true.
[00:12:22.335 --> 00:12:24.316]  Because I don't say something unless I believe it.
[00:12:24.817 --> 00:12:30.602]  You screwed up big time, you doubled down, and now you're in deep trouble.
[00:12:31.122 --> 00:12:38.984]  Maybe not this year, maybe not five years, but in the end, you will all be in prison for the rest of your lives, if you're lucky, when this is all over.
[00:12:39.264 --> 00:12:44.225]  You're not going to have your robot take over, your great reset's going to fail, your agenda 2030's not going to work.
[00:12:44.365 --> 00:12:59.888]  People know you're doing it, and they know who you are, and there's seven and a half billion of us, and we know when you release the next bioweapon that's ten times more deadly than you did it, and there won't be anywhere on earth that's safe for you and your Georgia Guidestones.
[00:13:01.869 --> 00:13:04.971]  So, I'm here to thank God for this.
[00:13:05.972 --> 00:13:07.873]  As bad as things are, at least we're in a fighting stance.
[00:13:07.893 --> 00:13:08.674]  At least we know what's going on.
[00:13:09.354 --> 00:13:11.115]  Warmer people know, and it's a chain reaction.
[00:13:11.375 --> 00:13:11.836]  We're winning.
[00:13:13.497 --> 00:13:14.978]  But I want to thank God, number one.
[00:13:18.460 --> 00:13:21.102]  I want to thank the crew and the audience of activists.
[00:13:22.762 --> 00:13:25.124]  And my family and those that have supported us.
[00:13:25.485 --> 00:13:27.186]  And I want to make this announcement not as a boast.
[00:13:27.226 --> 00:13:28.707]  We're under attack because the enemy knows it's true.
[00:13:29.088 --> 00:13:29.748]  But I want to say this.
[00:13:30.069 --> 00:13:32.791]  This operation blew the New World Order down the road.
[00:13:33.512 --> 00:13:35.293]  It's like Force 10 from Navarone.
[00:13:35.313 --> 00:13:36.635]  They plant the bombs on the dam.
[00:13:37.195 --> 00:13:38.456]  They explode and they go, it failed.
[00:13:38.857 --> 00:13:41.899]  And the demolition expert goes, give it a couple minutes.
[00:13:44.346 --> 00:13:45.627]  Give it a couple minutes.
[00:13:46.487 --> 00:13:47.607]  You think you blew us?
[00:13:48.268 --> 00:13:50.008]  You think you took down our civilization?
[00:13:50.068 --> 00:13:51.369]  You just destroyed yourselves.
[00:13:51.689 --> 00:13:52.670]  You psycho demons.
[00:13:54.130 --> 00:13:58.552]  Led around by your nose by Satan, thinking you were about to inherit the earth and pull this off.
[00:14:00.453 --> 00:14:02.314]  80% of my mission is now complete.
[00:14:03.294 --> 00:14:04.695]  I will complete the rest of the 20%.
[00:14:04.915 --> 00:14:07.736]  And if I'm still around after that, that's all gravy.
[00:14:07.996 --> 00:14:08.996]  But it's all in God's hands.
[00:14:09.637 --> 00:14:10.797]  I just want to complete the mission.
[00:14:11.157 --> 00:14:12.298]  And I want the crew to understand that.
[00:14:13.186 --> 00:14:15.188]  But I have done the numbers on the U.S.
[00:14:15.208 --> 00:14:20.813]  economy and the world economy, and I will tell you, barring a miracle, we won't be on the air in one year.
[00:14:21.594 --> 00:14:23.336]  These Democrat lawsuits don't matter.
[00:14:23.756 --> 00:14:24.617]  None of this stuff matters.
[00:14:24.657 --> 00:14:25.398]  Folks, let me explain something.
[00:14:26.039 --> 00:14:28.341]  It's going down.
[00:14:29.682 --> 00:14:35.408]  So get ready with your family and prepare yourselves, because civilization as you know it is over.
[00:14:35.868 --> 00:14:43.800]   But at the end of this, The globalists and their master that have launched this attack will be in chains!
[00:14:44.600 --> 00:14:52.805]  And the new civilization, not their Build Back Better, but God's civilization, will be built on their ashes, not ours!
[00:14:53.004 --> 00:14:54.004]  Stay with us!
[00:14:54.004 --> 00:14:56.004]  [Music]
[00:14:56.004 --> 00:15:06.004]  [Music]
[00:15:06.004 --> 00:15:11.004]   I have stated this point probably 5,000 times in the last 20 years.
[00:15:11.767 --> 00:15:14.789]  I've been on air 28, but things really came into focus 20 years ago.
[00:15:16.450 --> 00:15:22.334]  As evidenced by the thousands of clubs out there making the rounds of the internet before we predicted all of this from the enemy's own documents.
[00:15:23.335 --> 00:15:25.317]  Welcome back to the Alex Jones Show Sunday edition.
[00:15:27.018 --> 00:15:28.139]  I'm gonna put it to you this way.
[00:15:30.063 --> 00:16:01.318]   We have all the globalist battle plans, we have all their operational manuals, we know their system up one side and down the other, and they wanted to have a worldwide collapse, where you believe, oh, viruses came out of a jungle, global warming is your fault, oh, all this chemtrailing, oh no, that's humans causing all the bad weather, well yeah, humans with geoengineering, and oh, the collapse of the border and the currency, that's all by accident, we didn't know Printing quadrillions in currency would do this.
[00:16:03.380 --> 00:16:10.264]  They wanted a worldwide collapse, where the big mega-corporations could collapse all the governments, blame the governments.
[00:16:10.505 --> 00:16:12.746]  They've said this at the Davos Group on television!
[00:16:14.908 --> 00:16:21.472]  And then have the people all destroy their governments, bring down the civilization, and then have the New World Order roll in as the saviors.
[00:16:23.654 --> 00:16:35.892]   But if they're exposed for how they orchestrated it, and now everybody knows, They have to block the comments on Instagram and Twitter and Facebook and everywhere on the DeVos Group.
[00:16:36.532 --> 00:16:37.313]  And for Pfizer.
[00:16:37.834 --> 00:16:38.975]  And for Bill and Melinda Gates.
[00:16:39.355 --> 00:16:49.585]  Because you'll have 10,000 comments to one, literally, quoting them, talking about how people know they're the enemy, how they're depopulationist, how they planned it all.
[00:16:50.586 --> 00:16:53.309]  They'll never put the genie back in the bottle.
[00:16:54.727 --> 00:17:06.037]  Unless they have a huge nuclear war and all the power's off for years and billions of us die right away and then they think they can reorganize because their emergency governmental systems are still in place.
[00:17:07.339 --> 00:17:16.087]  But the bureaucracy and the police and the social contract that serves the people with its problems is being dismantled in front of us.
[00:17:18.189 --> 00:17:20.654]   A controlled Demolition.
[00:17:21.435 --> 00:17:25.257]  And so we're not in beta of the Great Reset, the New World Order.
[00:17:25.537 --> 00:17:27.458]  We're not in Agenda 21 anymore.
[00:17:27.718 --> 00:17:33.841]  That was just the setup of this when they launched it officially with the treaty in the UN in 1992 at Rio de Janeiro.
[00:17:34.822 --> 00:17:37.223]  We are now in operations.
[00:17:39.124 --> 00:17:42.346]  And it's not going well for the New World Order, but they don't care.
[00:17:42.806 --> 00:17:49.350]  Just like Hitler getting his ass kicked two years into World War II, doubled down and invaded Russia.
[00:17:51.223 --> 00:17:53.104]  And the New World Order's done the same thing here.
[00:17:55.186 --> 00:18:07.135]  They've doubled down, and they've got anthropologists and sociologists in every country using cultural data and information to turn the people against each other so we fight with each other.
[00:18:08.596 --> 00:18:22.247]   And that may get a certain percentage of the population to be rabbit-trailed off But it's not affecting a large minority of people of every race, color, and creed that understand what's happening.
[00:18:22.567 --> 00:18:37.597]  And so if the blame for the global meltdown goes to Bill Gates and Klaus Schwab and the Rothschilds and the Carnegie Endowment and the Rockefeller Endowment and the whole neoliberal world, it's over for them.
[00:18:40.359 --> 00:18:41.640]  It's still gonna be rough.
[00:18:44.170 --> 00:18:45.451]  It's still gonna be bad.
[00:18:46.632 --> 00:18:51.817]  But under their plan, the collapse goes on forever and ever until at least 80% of us are dead.
[00:18:52.738 --> 00:18:54.560]  Most of their actuaries show 90 plus percent.
[00:18:56.081 --> 00:19:10.348]   And so the only chance we've got, the only card we've got to play, which by the way is total victory, is to expose these people like our lives depend on it, because they do, And to tell everybody what's coming next so they know.
[00:19:10.728 --> 00:19:16.050]  How'd I tell you three years ago, next they'll do climate lockdowns and power outages and cut off the food?
[00:19:16.350 --> 00:19:18.430]  Because it's the damn plan.
[00:19:20.811 --> 00:19:27.233]  And there's nothing more frustrating than having the enemy playbook and telling people they're about to run this play, and they run it.
[00:19:27.553 --> 00:19:28.413]  They're about to run this play.
[00:19:28.573 --> 00:19:29.453]  They're about to run that play.
[00:19:29.793 --> 00:19:30.514]  Over and over again.
[00:19:31.154 --> 00:19:35.775]  And people slowly start to listen, but not fast enough.
[00:19:39.847 --> 00:19:43.569]  So it's a mixed bag, as they say.
[00:19:44.469 --> 00:19:46.730]  There are riots in over 100 countries.
[00:19:47.151 --> 00:19:48.551]  Major governments have fallen.
[00:19:48.951 --> 00:19:51.613]  The Japanese real Prime Minister, his party's still in power.
[00:19:52.013 --> 00:19:53.053]  Abe was still running things.
[00:19:53.374 --> 00:19:54.134]  Assassinated.
[00:19:54.854 --> 00:19:56.375]  Boris Johnson resigns.
[00:19:57.696 --> 00:19:59.256]  The head of OPEC mysteriously dies.
[00:20:02.418 --> 00:20:03.859]  Georgia guidestones are destroyed.
[00:20:04.599 --> 00:20:05.880]  The stock market crashes.
[00:20:07.054 --> 00:20:34.560]  And all over the world, people, because there's no food on the store shelves, there's no money, there's no fuel, all done by design, the central banks, the big AI systems, deliberately doing this to bring in a global crisis, to bring in their one world currency, their cashless society, their social credit score, their carbon tax, their vaccine passport.
[00:20:35.472 --> 00:20:37.353]  And they're all announcing it as a solution.
[00:20:37.614 --> 00:20:39.195]  And they said they would use it as a solution.
[00:20:43.258 --> 00:20:44.739]  But the public knows it's them.
[00:20:45.480 --> 00:20:47.221]  In Europe.
[00:20:48.322 --> 00:20:49.123]  In Western Europe.
[00:20:49.243 --> 00:20:49.923]  In Eastern Europe.
[00:20:50.724 --> 00:20:51.464]  In Sri Lanka.
[00:20:52.125 --> 00:20:52.585]  In India.
[00:20:53.926 --> 00:20:55.848]  In Greece.
[00:20:56.328 --> 00:20:57.189]  In Mexico.
[00:20:57.709 --> 00:20:58.149]  Everywhere.
[00:20:59.430 --> 00:21:01.492]  It's the same thing by design.
[00:21:01.532 --> 00:21:09.357]   A complex System, computer run that the globalists know they can manipulate and shut down whenever they want.
[00:21:10.098 --> 00:21:22.340]  And they'll continue to do that to consolidate power, to double or triple their profits every year until we grow up and learn how the scam works and say no to it.
[00:21:26.201 --> 00:21:33.879]   And the good news is I've been monitoring Australia I've been monitoring New Zealand, Sri Lanka, India, Albania.
[00:21:35.539 --> 00:21:38.800]  I've been monitoring the Netherlands and Germany and France, the UK and the US.
[00:21:38.860 --> 00:21:39.820]  I've been monitoring it all.
[00:21:40.480 --> 00:21:44.521]  And the leaders of the movements are anti-New World Order.
[00:21:44.981 --> 00:21:47.582]  The signs are against Bill Gates and Klaus Schwab.
[00:21:47.962 --> 00:21:59.344]  The demands are against the central banks and those turning off the economies and saying they're going to shut down one-third of the farming in the countries this year as they announce all the new bug factories being created to feed you bugs.
[00:22:00.888 --> 00:22:06.550]  And crops, given nutrients from human dead bodies being rendered down.
[00:22:06.670 --> 00:22:17.374]  I mean, it's a dystopia that the New World Order is building and bringing forward against us, and all we gotta do is recognize them and say no to them.
[00:22:19.082 --> 00:22:38.079]  And reject the Hollywood scum, and reject the corporate media trash, who are truly mercenaries, bought and paid for, up on their pedestals, telling us to go against our instincts, to turn our children over to them, to turn our lives over to them, and to submit to their lies.
[00:22:41.582 --> 00:22:44.065]  Literal perverts.
[00:22:45.532 --> 00:23:02.518]  Literal scumbags in Austin, Texas, on the last days of school this year, we're showing you footage, dancing with the elementary students, who men dressed as women, coming to visit the school, then spend their time with them as part of pedophile pride.
[00:23:04.679 --> 00:23:09.241]  That's going on miles from where our studio is right now.
[00:23:10.281 --> 00:23:11.361]  Radio listener, you're blessed.
[00:23:11.941 --> 00:23:12.982]  You don't have to look at this.
[00:23:14.588 --> 00:23:15.660]  This is unbelievable.
[00:23:17.881 --> 00:23:25.104]  All right, when we come back, we're going to drill into all of it and more and break down what's coming next and how to defeat these people and so much more.
[00:23:25.224 --> 00:23:32.027]  Big broadcast lined up for you on this live, independent, pro-human, pro-God, pro-family, pro-human transmission.
[00:23:32.607 --> 00:23:37.309]  InfoWars.com is the coordinates of victory and resistance.
[00:23:37.168 --> 00:23:42.047]   If you're a rebel and if you want to survive and thrive, then you're sharing the articles
[00:23:42.047 --> 00:23:45.808]  and videos and live feeds from Infowars.com.
[00:23:45.808 --> 00:23:57.168]  It's never going to get any better.
[00:23:57.360 --> 00:23:58.081]  Don't look for it.
[00:23:58.521 --> 00:23:59.642]  Be happy with what you got.
[00:24:00.782 --> 00:24:03.864]  Because the owners of this country don't want that.
[00:24:04.405 --> 00:24:06.046]  I'm talking about the real owners now.
[00:24:06.446 --> 00:24:07.507]  The real owners.
[00:24:07.567 --> 00:24:12.090]  The big wealthy business interests that control things and make all the important decisions.
[00:24:12.470 --> 00:24:13.691]  Forget the politicians.
[00:24:13.931 --> 00:24:17.213]  The politicians are put there to give you the idea that you have freedom of choice.
[00:24:18.774 --> 00:24:19.235]  You don't.
[00:24:19.995 --> 00:24:20.996]  You have no choice.
[00:24:21.356 --> 00:24:22.297]  You have owners.
[00:24:22.597 --> 00:24:23.518]  They own you.
[00:24:24.847 --> 00:24:26.148]  They own everything.
[00:24:26.389 --> 00:24:28.030]  They own all the important land.
[00:24:28.391 --> 00:24:30.132]  They own and control the corporations.
[00:24:30.172 --> 00:24:33.636]  They've long since bought and paid for the Senate, the Congress, the State Houses, the City Halls.
[00:24:33.656 --> 00:24:35.238]  They got the judges in their back pockets.
[00:24:35.578 --> 00:24:40.383]  And they own all the big media companies, so they control just about all of the news and information you get to hear.
[00:24:40.563 --> 00:24:42.185]  They got you by the balls!
[00:24:43.689 --> 00:24:45.770]  They want obedient workers.
[00:24:46.230 --> 00:24:47.731]  Obedient workers.
[00:24:48.051 --> 00:25:00.756]  People who are just smart enough to run the machines and do the paperwork, and just dumb enough to passively accept jobs with the lower pay, the longer hours, the reduced benefits, the end of overtime, and the vanishing pension that disappears the minute you go to collect it.
[00:25:00.816 --> 00:25:04.058]  And now they're coming for your social security money.
[00:25:04.518 --> 00:25:07.179]  So they can give it to their criminal friends on Wall Street.
[00:25:08.599 --> 00:25:09.520]  It's a big club.
[00:25:10.495 --> 00:25:11.136]  And you ain't in it.
[00:25:11.156 --> 00:25:16.840]  And you said recently, quote, when you give, they do whatever the hell you want them to do.
[00:25:17.200 --> 00:25:18.081]  You better believe it.
[00:25:18.181 --> 00:25:20.062]  So what specifically did they do?
[00:25:20.503 --> 00:25:25.687]  If I ask them, if I need them, you know, most of the people on this stage I've given to, just so you understand.
[00:25:25.887 --> 00:25:26.507]  A lot of money.
[00:25:27.128 --> 00:25:29.850]  You and I are not in the big club.
[00:25:30.190 --> 00:25:32.111]  The owners of this country know the truth.
[00:25:32.752 --> 00:25:36.475]  It's called the American dream because you have to be asleep to believe it.
[00:25:37.898 --> 00:25:39.379]  But I'll tell you what they don't want.
[00:25:39.739 --> 00:25:43.222]  They don't want a population of citizens capable of critical thinking.
[00:25:43.242 --> 00:25:47.184]  They don't want well-informed, well-educated people capable of critical thinking.
[00:25:47.204 --> 00:25:48.165]  They're not interested in that.
[00:25:48.425 --> 00:25:49.386]  That doesn't help them.
[00:25:49.746 --> 00:25:51.127]  That's against their interest.
[00:25:51.627 --> 00:25:52.068]  That's right.
[00:25:52.308 --> 00:25:57.431]  From the front lines of the information war, it's Alex Jones.
[00:26:01.634 --> 00:26:05.037]  We are now inside the Great Reset, Global Collapse, New World Order.
[00:26:06.249 --> 00:26:08.530]  Every day we're on air is a blessing to be warning the planet.
[00:26:09.051 --> 00:26:11.772]  We've built stiff resistance to them worldwide.
[00:26:12.433 --> 00:26:13.794]  Their plan will not work now.
[00:26:13.814 --> 00:26:15.955]  It will fail, but they've already committed to it.
[00:26:15.975 --> 00:26:19.357]  So it's going to be very explosive and destructive.
[00:26:19.377 --> 00:26:20.918]  We're showing you footage of Sri Lanka.
[00:26:22.819 --> 00:26:31.184]  Yesterday, as millions of people broke through the police lines and stormed the government capital complex, burning down the president's house.
[00:26:32.886 --> 00:26:34.467]  Government officials fled by helicopter.
[00:26:35.280 --> 00:26:37.280]  through Navy ships and have evacuated.
[00:26:37.280 --> 00:26:48.879]  Our media, our control media is calling this a protest.
[00:26:49.125 --> 00:26:56.287]  Here's folks inside the government palace on the government treadmills in the government swimming pools.
