[00:00:21.767 --> 00:00:23.028]  It's Tuesday, August 27.
[00:09:37.110 --> 00:09:44.812]  This is a Google search comparison from two days ago for the search terms Miley Cyrus versus Syria.
[00:09:44.832 --> 00:10:00.596]  And as you can see, an infinitely greater number of Americans are more interested in some whore of Babylon, talentless airhead gyrating on stage than they are the fact that their government is about to lead them into another war.
[00:10:01.036 --> 00:10:04.359]  That could very well end up being the genesis of World War 3.
[00:10:04.959 --> 00:10:11.725]  So you've got a twerking Miley Cyrus versus a potential global nuclear conflict.
[00:10:12.325 --> 00:10:13.946]  No composition for Americans.
[00:10:14.387 --> 00:10:16.628]  Miley Cyrus wins hands down.
[00:10:17.702 --> 00:10:28.451]  Someone on Facebook came up with a separate graphic, which you can now see, in a desperate attempt to kind of hoodwink Americans into paying attention by combining the two subjects.
[00:10:29.131 --> 00:10:32.133]  Don't think it's going to be successful, but good effort anyway.
[00:10:32.694 --> 00:10:43.723]  So, you know, verge of another war, Americans are obsessed with MTV Video Music Awards and Miley Cyrus gyrating about on stage, par for the course, with the zombies.
[00:10:44.403 --> 00:10:48.226]  Couple of quick items of financial news in relation to Syria now.
[00:10:48.727 --> 00:10:51.669]  Dow falls 100 amid mounting worries over Syria.
[00:10:51.849 --> 00:10:53.611]  All S&P sectors leveler.
[00:10:53.651 --> 00:10:55.152]  This is CNBC.com.
[00:10:55.633 --> 00:11:05.741]  Stocks remained in negative territory Tuesday with the Dow drifting further from its psychologically important 15,000 mark amid building worries over potential US military action in Syria.
[00:11:06.802 --> 00:11:12.607]  And gold is having a huge day and it just went straight vertical, reports Business Insider.
[00:11:13.433 --> 00:11:20.235]  And again, when war is on the horizon, of course, investors rush to the safe haven of gold bullion.
[00:11:20.955 --> 00:11:26.436]  And if it gets as bad as some have warned later down the line, then gold is just going to go parabolic.
[00:11:26.456 --> 00:11:34.538]  So all of you who bought during the recent dip are going to be patting yourselves on the back for making the right decision.
[00:11:34.958 --> 00:11:39.719]  Stock market heading lower, gold heading higher in response to these war drums.
[00:11:41.010 --> 00:11:46.376]  And now a fascinating article out of the Telegraph switching gears into environmental news.
[00:11:47.185 --> 00:11:50.447]  Headline, weather could be controlled using lasers.
[00:11:51.108 --> 00:11:57.792]  Scientists are attempting to control the weather by using lasers to create clouds, induce rain, and even trigger lightning.
[00:11:58.512 --> 00:12:08.859]  Experts from around the world are together at the World Meteorological Organization next month to discuss how powerful laser pulses can be used to generate changes in the atmosphere that influence the weather.
[00:12:09.519 --> 00:12:16.264]  Their experiments have shown that intense pulses of light can cause ice to form and water to condense, leading to the formation of clouds.
[00:12:17.718 --> 00:12:21.299]  And they've begun testing this, firing lasers into the sky.
[00:12:21.819 --> 00:12:36.342]  And you know that if they're going public with this now, then, you know, as we've documented, governments have already been geoengineering on a vast scale for decades, altering the weather, altering disasters before they happen.
[00:12:36.783 --> 00:12:42.744]  And I guess that, you know, firing lasers into the sky is less dangerous than loading the atmosphere.
[00:12:44.171 --> 00:12:59.942]  ...in the name of reducing global warming, which is what the likes of Bill Gates-funded scientific organizations have been doing for many years, with potentially disastrous consequences as these geoengineering projects get bigger and bigger.
[00:12:59.982 --> 00:13:04.205]  But now they're talking about firing lasers into the sky to alter the weather.
[00:13:04.225 --> 00:13:05.506]  That's out of the Telegraph today.
[00:13:06.533 --> 00:13:07.774]  Time for our quote of the day now.
[00:13:08.494 --> 00:13:18.139]  Every gun that is made, every warship launched, every rocket fired, signifies in the final sense a theft from those who hunger and are not fed.
[00:13:18.499 --> 00:13:21.221]  Those who are cold and are not clothed.
[00:13:22.181 --> 00:13:34.268]  That's Dwight D. Eisenhower, who of course warned us of the perils of the military-industrial complex, now set to suck hundreds of millions, if not billions more dollars out of the US economy,
[00:13:35.143 --> 00:13:48.556]  In the name of another insane yet lucrative military intervention in Syria, which, as we said earlier, is going to cost some $750 million just for a kickoff.
[00:13:48.596 --> 00:13:53.861]  So again, warning from history from Dwight D. Eisenhower.
[00:13:54.875 --> 00:14:12.589]  Coming up, I talk to singer-songwriter Silver Varsity about the Miley Cyrus-style degenerative pop culture cannibalism that's the debate at the moment, and how the music industry is being used as a tool to dumb down and distract America's youth.
[00:14:12.689 --> 00:14:15.491]  Stay tuned for that interview on InfoWars Nightly News.
[00:14:19.924 --> 00:14:25.025]  Now you can watch Alex Jones live at Infowars.com forward slash show.
[00:14:25.205 --> 00:14:30.307]  You'll find links to all of our content there and a free 15-day trial for Prison Planet TV.
[00:14:30.687 --> 00:14:38.569]  You can also browse the network, the Infowars Nightly News, and over 60 movies and documentaries all together in one place.
[00:14:38.809 --> 00:14:41.790]  You can watch the Alex Jones Radio Show live as it happens.
[00:14:42.150 --> 00:14:45.431]  So check it out, Infowars.com forward slash show.
[00:14:49.747 --> 00:15:00.876]  Many anthropologists and archaeologists believe that before man even discovered the power to harness and use fire, we were involved in agrarian activities.
[00:15:01.337 --> 00:15:06.121]  That is, taking the seeds of plants and then replanting them to produce more.
[00:15:06.741 --> 00:15:15.749]  The very foundation of our modern civilization and human culture is centered around the planting and cultivation of edible plants.
[00:15:16.269 --> 00:15:21.090]  Here are some of the amazing deals at InfoWarsSeedCenter at InfoWarsShop.com.
[00:15:21.530 --> 00:15:31.112]  The Survival Seed Vault by My Patriot Supply features only the finest survival heirloom seeds for a robust and hardy garden, even in the toughest times.
[00:15:31.352 --> 00:15:38.713]  We also have starter varieties of the deluxe seed packages for fruit, salad, salsa, peppers, medical herbs, and more.
[00:15:39.153 --> 00:15:42.994]  Go to the InfoWarsSeedCenter at InfoWarsShop.com.
[00:15:43.694 --> 00:15:44.274]  And remember,
[00:15:45.135 --> 00:15:47.527]  The revolution against tyranny is growing.
[00:15:59.693 --> 00:16:12.037]  We're back on InfoWars Nightly News, and if you've seen the show before, then you'll know that we're always keen to promote up-and-coming independent musicians whose work is informed by the spirit of truth.
[00:16:12.597 --> 00:16:17.279]  And on that note, I'm pleased to be joined by singer-songwriter Silva Versady.
[00:16:17.699 --> 00:16:18.939]  Silva, welcome to the show!
[00:16:19.859 --> 00:16:21.520]  Hey Paul, thanks for having me on the show.
[00:16:22.418 --> 00:16:23.118]  Thanks for being here.
[00:16:23.478 --> 00:16:29.980]  So for the viewers who are not aware of you or your work, briefly tell us about yourself and your musical background.
[00:16:30.000 --> 00:16:31.160]  Okay.
[00:16:31.900 --> 00:16:32.720]  My name is Silva.
[00:16:33.401 --> 00:16:37.101]  I'm a first generation Australian with a Hungarian family heritage.
[00:16:38.402 --> 00:16:48.704]  When I started singing and songwriting, it resonated with me deeply and I knew that creating and performing music was the path that I wanted to follow for the rest of my life.
[00:16:49.504 --> 00:16:51.745]  And Paul, I find music to be such a beautiful gift.
[00:16:52.641 --> 00:17:00.347]  And the fact that it's a language that everyone on this planet understands was the main reason why I wanted to pursue music.
[00:17:01.368 --> 00:17:15.439]  So, you know, since I've been here in Los Angeles, I've been writing and producing music, probably, gosh, over 80 songs with my music partner, Chris Landon, and we've formed the music production company 222 Music.
[00:17:17.761 --> 00:17:21.524]  Some of these songs I use for my artist repertoire when I perform live with my band.
[00:17:22.285 --> 00:17:32.053]  However, a lot of songs that we write are used for licensing to other artists, for commercials, for movies and whatnot.
[00:17:32.474 --> 00:17:38.819]  I just want to say that my mission in life is to inspire and bring about change through the language of music.
[00:17:39.460 --> 00:17:43.844]  I believe that's why I'm here and I want to do it in a positive and impactful way.
[00:17:45.737 --> 00:17:55.684]  Now, you're obviously Australian, but you're in LA at the moment, but from speaking to you, you're obviously aware of, you know, Alex Jones, Infowars and the Truth Movement in general.
[00:17:55.704 --> 00:18:00.707]  How did your political awakening arise and how does it inform your music?
[00:18:02.287 --> 00:18:08.308]  Well, I think alternative media sources are exactly what society has needed for a very long time.
[00:18:09.088 --> 00:18:16.230]  Because prior to this, we only really had one mainstream machine pumping us with a one-dimensional angle.
[00:18:16.330 --> 00:18:22.371]  So, you know, I believe that our society has the right to explore, you know, subjects in different lights.
[00:18:22.531 --> 00:18:26.512]  So, to me, you know, it's a positive move in the right direction.
[00:18:26.592 --> 00:18:31.913]  And I think everyone has the right, you know, to explore subjects in different lights.
[00:18:32.860 --> 00:18:37.092]  Um, it's, you know, as Americans, as Australians and that kind of thing.
[00:18:37.132 --> 00:18:38.155]  So, um.
[00:18:39.600 --> 00:18:50.543]  I think everyone can agree that YouTube, as crazy and oversaturated as it is, has opened up a lot of doors to an overall awakening, which is great.
[00:18:51.303 --> 00:19:05.607]  And as an artist, I consider myself more alternative as opposed to mainstream, so I prefer to write songs about my passions and my life experience and my thoughts and visions, and that's never going to change.
[00:19:07.611 --> 00:19:20.357]  Now, one of your songs I saw in a previous interview, you briefly discussed it, is about overcoming resistance and you cited Stephen Pressfield's book, which I've also read, called The War of Art, as an influence.
[00:19:21.017 --> 00:19:28.900]  And, you know, as anyone who's read that book will know, it's mainly focused on eliminating procrastination, especially in the creative fields.
[00:19:30.501 --> 00:19:41.571]  Just explain to the audience, you know, where this form of self-resistance comes from and how we can overcome it in the creative process, whether it's writing music or any artistic pursuit.
[00:19:42.312 --> 00:19:42.592]  Right.
[00:19:42.952 --> 00:19:55.143]  Well, procrastination definitely is one of the main forms of resistance, and resistance is a self-created invisible force, and it basically deters us from our path.
[00:19:55.344 --> 00:19:56.665]  You know, when we're trying to move forward,
[00:19:58.050 --> 00:20:00.292]  Of fulfilling our goals and that kind of thing.
[00:20:00.993 --> 00:20:02.214]  It's like a negative magnet.
[00:20:02.274 --> 00:20:07.940]  So for every step that we move forward, resistance tries to take us back a step or two.
[00:20:08.863 --> 00:20:13.907]  And resistance, through distraction, is a very powerful force to overcome.
[00:20:13.927 --> 00:20:22.673]  I think pop culture is a massive form of resistance and it doesn't encourage critical thinking and creative expression.
[00:20:22.693 --> 00:20:32.260]  Paul, in regards to self-generated resistance, I think the first step in overcoming that is identifying its existence.
[00:20:32.280 --> 00:20:34.602]  And once we've done that, we can learn
[00:20:35.622 --> 00:20:39.086]  And through discipline we can block it and win our own creative battles.
[00:20:41.569 --> 00:20:42.870]  You talk about pop culture.
[00:20:42.890 --> 00:20:54.242]  This is something that I've discussed before, which as you mentioned, it's kind of this deliberate reductionism in art and music to encourage this cycle of passive unthinking content while
[00:20:54.989 --> 00:20:57.991]  Downplaying or discouraging anything with any real meaning.
[00:20:58.331 --> 00:21:13.621]  But what we also see in the music industry is, which is quite bizarre, which a lot of people focus on and it gets a lot of attention, is this deluge of famous music artists who talk about the illuminati as if they're a part of it.
[00:21:14.381 --> 00:21:30.111]  Do you think these artists genuinely believe that they're part of some kind of secret society that gives them this power and success in the music industry, or is it just a mindless fad that they try and glom onto in an effort to appear, you know, at the top of the tree, as it were?
[00:21:30.131 --> 00:21:31.372]  Right.
[00:21:32.052 --> 00:21:40.117]  Well, unfortunately, Paul, I don't think it's just a mindless fad, and I don't know where it's going to go next, you know?
[00:21:40.197 --> 00:21:40.578]  I don't know.
[00:21:41.593 --> 00:21:43.034]  Nobody knows where it's going to go next.
[00:21:44.316 --> 00:21:57.087]  One thing I do know, though, is that the messages being portrayed to young people today, and I'm talking pre-teens, are perhaps a reflection of the mindless behaviour of so many Americans that we keep hearing about in the news.
[00:21:57.728 --> 00:22:06.495]  Like, quite recently, my fellow Aussie, Chris Lane, who was recently a victim of this American
[00:22:09.994 --> 00:22:16.698]  It really shocked Australia and obviously people worldwide that this kind of thing could happen, you know, through boredom.
[00:22:16.978 --> 00:22:25.323]  And I think, you know, I think pop culture definitely influences that, can influence that.
[00:22:26.718 --> 00:22:33.361]  Well, that's a good point, because the murder of Chris Lane, now we've discovered, was a result of a gang initiation.
[00:22:33.861 --> 00:22:37.603]  And, of course, that is now predominant in rap music especially.
[00:22:38.784 --> 00:22:46.127]  This idea that to be cool, to be successful, you have to throw up gang signs and talk about, you know, being part of a gang.
[00:22:46.708 --> 00:22:53.391]  Whereas, if you look at some of the rap music from, you know, a decade or two earlier, it was more about self-empowerment.
[00:22:53.431 --> 00:22:55.792]  But as it's got more popular, it seems to be
[00:22:56.694 --> 00:23:03.152]  Encouraging a more degenerative message and I guess that this brings me on to my next question which is
[00:23:04.366 --> 00:23:14.312]  You know, we've got all this controversy this week about the MTV Video Music Award performances last night, just really kind of degenerative and ugly.
[00:23:14.432 --> 00:23:26.178]  As you mentioned, pre-teen audiences are watching the likes of Miley Cyrus while she's, you know, gyrating up against somebody's crotch, and most of her fans are 13, 14-year-old girls.
[00:23:26.198 --> 00:23:27.119]  Exactly.
[00:23:27.739 --> 00:23:32.883]  People have made reference to selling their soul to be successful in the music industry.
[00:23:33.504 --> 00:23:49.175]  Is there any way for talented people that you can see to become really popular and deservedly successful without crossing into that whole Illuminati degenerative sphere and, you know, not compromising their ideals?
[00:23:49.256 --> 00:23:54.720]  Is there any way for independent artists to become successful without selling their soul, as it were?
[00:23:56.550 --> 00:24:03.155]  Well, Paul, I think, you know, a lot of artists are intimidated by the realities of the music industry as a whole.
[00:24:03.195 --> 00:24:10.200]  But, you know, every artist has the ability to overcome this resistance and deserves to have their voice heard in society.
[00:24:10.220 --> 00:24:18.286]  I think young creatives today are encouraged to follow a dead end path instead of creating a path of their own.
[00:24:18.586 --> 00:24:19.907]  But with the means of
[00:24:20.655 --> 00:24:23.096]  Social media, I think anything's possible.
[00:24:23.756 --> 00:24:27.437]  And if you're true to yourself, this will ring true to others as well.
[00:24:27.517 --> 00:24:34.378]  So I hope that we can create a, you know, a new generation of artists by supporting each other's art and creations.
[00:24:34.778 --> 00:24:41.080]  And, you know, to do this in an effort to overcome the resistance that our current pop culture attacks us with.
[00:24:41.600 --> 00:24:42.320]  And I just
[00:24:43.072 --> 00:25:01.746]  I just want to say that I feel like today, you know, pop culture is a machine that's fronted by, how should I put it, like an army of puppeteers that communicate a disturbing subliminal message to entertain an audience and our future society.
[00:25:01.766 --> 00:25:10.673]  I mean, sometimes it's subliminal, sometimes it's not so subliminal as we saw at the VMAs, but the true definition of the word entertain
[00:25:11.437 --> 00:25:13.939]  Is being detained and letting something into you.
[00:25:15.079 --> 00:25:24.925]  And the more I do my own personal research on, you know, shows such as Info Wars and that kind of thing, we find out about things and learn about things.
[00:25:25.045 --> 00:25:28.688]  It's, you know, about how our youth are being entertained.
[00:25:29.628 --> 00:25:31.229]  It's really scary.
[00:25:31.970 --> 00:25:33.531]  I'm kind of worried for the future.
[00:25:35.367 --> 00:25:42.112]  Well, of course, Lauren Hill, when she went public earlier this year, she labelled it the media industrial complex.
[00:25:42.152 --> 00:25:50.197]  She basically said it was the music industry was designed to oppress people with genuine talent while pumping out this mindless nonsense.
[00:25:50.858 --> 00:25:51.138]  Right.
[00:25:51.761 --> 00:26:02.164]  Relation to that, I mean, what role, from a positive aspect, do you think that music has to play in educating young people about real issues?
[00:26:02.204 --> 00:26:06.164]  Because we saw more of that, you know, 20-25 years ago, not so much now.
[00:26:06.805 --> 00:26:12.706]  So, how do you think music should be used to educate and inspire young people, the young generation?
[00:26:14.206 --> 00:26:20.168]  Well, music has a profound impact on society and culture and
[00:26:21.300 --> 00:26:36.517]  I feel like our current pop culture promotes a very disturbing behaviour amongst young people in society like we've just been talking about and nobody is speaking about it critically in the mainstream media and young people don't know any better so they embrace it.
[00:26:37.959 --> 00:26:39.401]  So hopefully
[00:26:40.154 --> 00:26:55.118]  People will, you know, wake up to the reality of what pop culture is doing to us and continue educating themselves through alternative media sources like Infowars and evolve beyond the forces of resistance that we are brainwashed with.
[00:26:57.259 --> 00:27:01.860]  Okay, so in closing, just tell people how they can find out more about you and your music.
[00:27:03.300 --> 00:27:07.061]  Okay, I've just released a video
[00:27:10.174 --> 00:27:19.736]  It's called Overcoming Resistance, a songwriter's quest, which you can find on YouTube, which is youtube.com forward slash silver music.
[00:27:20.717 --> 00:27:30.419]  You can also stay updated on all the latest on Facebook, which I update on a regular basis, and that's facebook.com forward slash silver music.
[00:27:31.319 --> 00:27:34.480]  And yeah, my official site is silvermusic.com.
[00:27:36.371 --> 00:27:37.513]  Silvermusic.com.
[00:27:37.553 --> 00:27:43.602]  Okay, Silverversity will continue to track your progress and have you on again in the future.
[00:27:43.663 --> 00:27:46.207]  Thanks for joining us on InfoWars Nightly News.
[00:27:47.216 --> 00:27:47.596]  Fabulous.
[00:27:47.716 --> 00:27:48.717]  Thank you so much for having me, Paul.
[00:27:48.737 --> 00:27:49.598]  You have a great day.
[00:27:49.638 --> 00:27:50.018]  Thank you.
[00:27:50.378 --> 00:27:53.700]  That's going to do it for this edition of InfoWars Nightly News.
[00:27:53.940 --> 00:27:57.423]  Please subscribe at PrisonPlanet.tv, of course.
[00:27:57.823 --> 00:28:04.507]  For those of you watching this on YouTube, just a ton of multimedia content since 2004 now, PrisonPlanet.tv.
[00:28:05.608 --> 00:28:11.512]  A library of information, speeches, special events, content that you're not going to see on YouTube.
[00:28:11.912 --> 00:28:20.743]  And of course it supports our entire network, enables us to deliver this content, InfoWars Nightly News, Monday to Friday at 7pm.
[00:28:20.763 --> 00:28:28.093]  So subscribe at PrisonPlanet.tv and we'll see you on the next edition of InfoWars Nightly News.
[00:28:34.062 --> 00:28:39.304]  Now you can watch the Alex Jones Show live as it happens at InfoWars.com slash show.
[00:28:39.684 --> 00:28:44.725]  You'll find links to all of our content there and a free 15-day trial for Prison Planet TV.
[00:28:45.225 --> 00:28:51.007]  More than 60 movies and documentaries all in one place at InfoWars.com slash show.
