[00:00:22.682 --> 00:00:26.044]  Welcome to the InfoWars Nightly News this Wednesday, September 18, 2013.
[00:05:52.524 --> 00:05:55.246]  Check for combo packs to multiply your savings.
[00:05:57.649 --> 00:06:01.572]  Wear your colors proudly with one of these conversation starters.
[00:06:02.853 --> 00:06:04.214]  Now available in pink.
[00:06:05.919 --> 00:06:10.441]  Get prepared and fund the revolution at InfoWarsStore.com.
[00:06:17.585 --> 00:06:28.651]  Earlier this week on InfoWars.com, Paul Joseph Watson wrote an article that the former NSA director Michael Hayden said that he advocates a Chinese-style internet takeover.
[00:06:32.646 --> 00:06:36.608]  Former NSA Director Michael Hayden says he has a problem with the Internet.
[00:06:37.048 --> 00:06:37.809]  It's anonymous.
[00:06:38.429 --> 00:06:45.172]  Hayden compared the Internet to the Wild Wild West, a lawless free-for-all, indicating that he'd like to see the U.S.
[00:06:45.292 --> 00:06:50.555]  adopt a system of web policing much like that used in Communist China.
[00:06:51.215 --> 00:07:03.863]  In order to crush dissent, users there are mandated to provide their real names, addresses, and identification numbers before they can use services like the heavily censored Chinese version of Twitter.
[00:07:04.103 --> 00:07:11.628]  The ruling Communist Party routinely censors keywords and scrubs entire conversations that contain politically sensitive information.
[00:07:12.128 --> 00:07:30.597]  Prominent bloggers who attract millions of followers as a result of criticizing the government are now being arrested and forced to confess their crimes against the government on live television in what appears to be a move to intimidate online opinion leaders from speaking too freely or critically of the government.
[00:07:30.977 --> 00:07:35.439]  Hayden's not the only one advocating the move for a Chinese-style World Wide Web.
[00:07:35.959 --> 00:07:40.601]  Senator Joe Lieberman invoked cyber security in his attempted kill switch bill in 2010.
[00:07:40.661 --> 00:07:41.201]  Lieberman said,
[00:07:50.305 --> 00:07:56.930]  We reported in 2011 about the Obama Administration's plans to develop a National Internet ID System.
[00:07:57.310 --> 00:08:13.742]  The so-called National Strategy for Trusted Identities in Cyberspace would be a voluntary identity ecosystem where all of your information will be stored on a smart card, cell phone, or some other gadget which you would use to access a myriad of info like your tax returns,
[00:08:14.102 --> 00:08:24.409]  Banking statements, health information, basically a passport to your entire life, which you'd only be able to access via the internet if you volunteered yourself to the system.
[00:08:25.069 --> 00:08:32.514]  The IRS, Homeland Security, and banks everywhere have already been caught red-handed abusing and mismanaging account information.
[00:08:32.974 --> 00:08:41.060]  And now they propose that they provide the management for a single sign-on system that's going to affect tens of millions of citizens?
[00:08:42.406 --> 00:08:45.888]  Your ID provider would not know how you use your credential.
[00:08:46.268 --> 00:08:49.230]  There is no central database tracking your actions.
[00:08:49.770 --> 00:08:50.050]  Oops.
[00:08:50.470 --> 00:08:50.990]  Busted.
[00:08:51.651 --> 00:08:52.211]  Sorry, guys.
[00:08:52.531 --> 00:08:57.574]  But Edward Snowden already blew that lie wide open when he informed the world about PRISM.
[00:08:58.054 --> 00:09:04.477]  Cybersecurity is being used to justify the push toward a Chinese-style Internet ID system and censorship.
[00:09:04.878 --> 00:09:05.718]  But the U.S.
[00:09:05.858 --> 00:09:08.960]  government might just be the biggest hacker of all.
[00:09:09.448 --> 00:09:11.931]  It's really important that we stop cyber attacks.
[00:09:12.051 --> 00:09:15.575]  And the way to do that is to make our cyber systems more secure.
[00:09:15.755 --> 00:09:17.898]  But the problem is the government is doing the opposite.
[00:09:17.938 --> 00:09:19.960]  They are funding the creation of vulnerabilities.
[00:09:19.980 --> 00:09:25.667]  They are offering rewards for people to find and build vulnerabilities in the system and give it to the U.S.
[00:09:25.707 --> 00:09:26.928]  government so then the U.S.
[00:09:26.968 --> 00:09:29.171]  government can launch cyber attacks in other countries.
[00:09:29.770 --> 00:09:31.351]  Hayden himself said that the U.S.
[00:09:31.411 --> 00:09:34.594]  could be charged with the militarization of the Internet.
[00:09:34.894 --> 00:09:43.522]  But it's this very cyber warfare that's given cybersecurity advocates the justification they need to arm President Obama with an Internet kill switch.
[00:09:44.142 --> 00:09:44.883]  And if the U.S.
[00:09:44.923 --> 00:09:52.369]  government stages a cybersecurity false flag to cripple the Web and threaten national security, well, that voluntary I.D.
[00:09:52.429 --> 00:09:56.813]  program will become mandatory for anyone who wishes to use the Internet.
[00:09:57.458 --> 00:10:06.366]  To see the progression of the police state, pick up copies of the Police State Trilogy and Police State 4 The Rise of FEMA at InfoWarsShop.com.
[00:10:07.127 --> 00:10:10.189]  Reporting for the InfoWars Nightly News, I'm Leanne McAdoo.
[00:10:12.792 --> 00:10:17.095]  The Starbucks CEO says your gun is not welcome in his coffee shop.
[00:10:18.024 --> 00:10:28.047]  Now they're not planning on actually stopping people with guns, but he says it's a gun-free zone and the presence of a weapon in our stores is unsettling and upsetting for many of our customers.
[00:10:28.308 --> 00:10:37.691]  But to be clear, Starbucks will not slap an outright ban on guns, he says, because enforcing such a ban would potentially require our partners to confront armed customers.
[00:10:38.191 --> 00:10:43.833]  So even if people are carrying guns in the store, they are not going to approach you and tell you to get out.
[00:10:44.493 --> 00:10:45.514]  So this is probably a
[00:10:47.094 --> 00:10:48.917]  Politically correct maneuver on his part.
[00:10:49.919 --> 00:10:56.430]  And, talking about guns, Rick Warren recently said that he forgives the person who sold his son a gun.
[00:11:01.465 --> 00:11:10.693]  Rick Warren was on Piers Morgan last night, and you would think that Piers Morgan wouldn't want to have him on that often, since Piers Morgan hates the Bible as much as he hates the Constitution.
[00:11:10.913 --> 00:11:15.157]  But he's always been very polite, very deferential to Rick Warren, especially last night.
[00:11:15.457 --> 00:11:17.619]  And it wasn't just because of his recent loss.
[00:11:17.819 --> 00:11:22.203]  It's because Piers Morgan knew that Rick Warren would push the gun control agenda.
[00:11:22.898 --> 00:11:27.322]  Rick Warren's son committed suicide with a gun that he illegally got in California.
[00:11:28.182 --> 00:11:29.163]  Where did he get this gun?
[00:11:29.203 --> 00:11:32.346]  We now know that he had mental health issues his whole life.
[00:11:33.086 --> 00:11:34.968]  Well, he didn't get it legally, that's for sure.
[00:11:35.028 --> 00:11:37.350]  The gun laws in California are very strict and they worked.
[00:11:37.970 --> 00:11:42.053]  We're grateful that the laws kept Matthew from getting the gun for as long as it did.
[00:11:42.654 --> 00:11:47.378]  Warren thinks that the California gun laws are great, even though his son was still able to get a gun.
[00:11:48.138 --> 00:11:52.081]  Anyone who is determined to get a gun will get one whether it's legal or illegal.
[00:11:52.521 --> 00:11:54.002]  Prohibition doesn't work.
[00:11:54.423 --> 00:11:56.865]  Alcohol prohibition didn't stop people from getting booze.
[00:11:57.265 --> 00:11:59.867]  Drug prohibition hasn't stopped people from getting drugs.
[00:12:00.347 --> 00:12:05.851]  All it does is increase the availability and the lethality of the things that we're trying to prohibit.
[00:12:06.231 --> 00:12:10.555]  It also breeds political corruption, gang violence, street crime.
[00:12:11.235 --> 00:12:12.075]  It doesn't work.
[00:12:12.496 --> 00:12:16.617]  We just saw a shooting in DC, where there's more gun laws than anywhere else in the country.
[00:12:16.997 --> 00:12:19.138]  And it was done inside a military facility.
[00:12:19.698 --> 00:12:22.799]  It's just like people dying from drug overdoses in federal prisons.
[00:12:23.560 --> 00:12:34.684]  But don't expect Rick Warren, Piers Morgan, or their followers to have a single moment of cognitive dissonance as they push for even more laws that are ineffective, except to harass legal gun owners.
[00:12:35.024 --> 00:12:37.185]  He wanted one, as far as you're aware, for one purpose.
[00:12:37.265 --> 00:12:38.025]  Oh, only one purpose.
[00:12:38.285 --> 00:12:39.126]  I have to say, Piers,
[00:12:40.442 --> 00:12:44.124]  One of the hard things was forgiving the person who sold him the gun.
[00:12:44.144 --> 00:12:45.164]  Because I prayed.
[00:12:45.184 --> 00:12:46.745]  Because I didn't want to forgive him.
[00:12:47.125 --> 00:12:50.507]  Rick Warren doesn't blame himself, doesn't blame his wife, doesn't blame his son.
[00:12:50.967 --> 00:12:51.647]  I don't blame them.
[00:12:51.807 --> 00:12:54.469]  I don't know what I would do in that kind of a situation.
[00:12:55.149 --> 00:12:57.170]  But Rick Warren is looking for someone to blame.
[00:12:57.890 --> 00:13:03.213]  So he passively blames the person who sold the gun and says that he forgives that person.
[00:13:04.073 --> 00:13:06.255]  Well, that person doesn't need his forgiveness.
[00:13:06.475 --> 00:13:16.102]  Selling a gun to someone is not assisting in a suicide any more than selling a rope to someone, where they turn around and hang themselves with it later, is helping that person to commit suicide.
[00:13:16.442 --> 00:13:19.705]  If his son had committed suicide with a car, should we prohibit cars?
[00:13:20.185 --> 00:13:23.027]  Should we hassle people buying cars with ineffective laws?
[00:13:24.128 --> 00:13:27.831]  I'm here because my grandfather successfully defended his life with a gun.
[00:13:28.542 --> 00:13:29.923]  Without even firing it.
[00:13:30.543 --> 00:13:32.043]  Guns are simply a tool.
[00:13:32.383 --> 00:13:33.584]  They're an inanimate object.
[00:13:33.844 --> 00:13:38.245]  It depends on the person who is using it, whether it's used to save lives or to take lives.
[00:13:38.705 --> 00:13:45.048]  Of all people, Rick Warren should understand that it's the person that matters, not the inanimate object.
[00:13:45.408 --> 00:13:54.611]  If he doesn't have the wisdom to understand how guns can be used in self-defense, if he doesn't have the wisdom to understand the political implications of how guns can be used against tyrants,
[00:13:55.171 --> 00:14:00.580]  He should get out of the debate and not be a tool of the gun grabbers like Piers Morgan.
[00:14:00.940 --> 00:14:03.124]  For InfoWars Nightly News, I'm David Knight.
[00:14:05.720 --> 00:14:11.445]  If you want to do your own research into these matters, you can go to PrisonPlanet.tv and we have everything there.
[00:14:12.326 --> 00:14:16.710]  And you can also give your username and password to up to 10 people.
[00:14:17.551 --> 00:14:18.732]  Stick around until after the break.
[00:14:18.752 --> 00:14:23.537]  We'll be talking with George Heminger and he's looking at what Jerry Brown is doing to California.
[00:14:23.837 --> 00:14:26.159]  They're adding more gun laws, if you can believe it.
[00:14:26.400 --> 00:14:28.522]  We're going to talk a little bit about what's happening inside of the VA.
[00:14:33.337 --> 00:14:38.462]  Now you can watch Alex Jones live at Infowars.com forward slash show.
[00:14:38.622 --> 00:14:43.707]  You'll find links to all of our content there and a free 15-day trial for Prison Planet TV.
[00:14:44.107 --> 00:14:51.994]  You can also browse the network, the Infowars Nightly News, and over 60 movies and documentaries all together in one place.
[00:14:52.235 --> 00:14:55.197]  You can watch the Alex Jones Radio Show live as it happens.
[00:14:55.578 --> 00:14:58.861]  So check it out, Infowars.com forward slash show.
[00:15:03.157 --> 00:15:14.285]  Many anthropologists and archaeologists believe that before man even discovered the power to harness and use fire, we were involved in agrarian activities.
[00:15:14.766 --> 00:15:19.529]  That is, taking the seeds of plants and then replanting them to produce more.
[00:15:20.150 --> 00:15:29.157]  The very foundation of our modern civilization and human culture is centered around the planting and cultivation of edible plants.
[00:15:29.677 --> 00:15:34.499]  Here are some of the amazing deals at InfoWarsSeedCenter at InfoWarsShop.com.
[00:15:34.939 --> 00:15:44.522]  The Survival Seed Vault by My Patriot Supply features only the finest survival heirloom seeds for a robust and hardy garden, even in the toughest times.
[00:15:44.782 --> 00:15:52.145]  We also have starter varieties of the deluxe seed packages for fruit, salad, salsa, peppers, medical herbs, and more.
[00:15:52.585 --> 00:15:56.406]  Go to the InfoWarsSeedCenter at InfoWarsShop.com.
[00:15:57.107 --> 00:15:57.687]  And remember,
[00:15:58.547 --> 00:16:00.949]  The revolution against tyranny is growing.
[00:16:13.159 --> 00:16:19.043]  Recently on InfoWars, we had a chance to do a story on gun confiscation dealing with the Veterans Administration.
[00:16:19.804 --> 00:16:25.569]  And George Heminger was able to actually talk with the VA doctor and get the details on the situation.
[00:16:26.488 --> 00:16:28.650]  George, thank you so much for joining me today.
[00:16:28.670 --> 00:16:30.792]  Hey, no problem, Gigi.
[00:16:30.832 --> 00:16:31.773]  Thank you for having me on.
[00:16:32.513 --> 00:16:33.794]  So let's just jump right in.
[00:16:33.854 --> 00:16:36.957]  Right now, the topic of the Veterans Administration is really hot.
[00:16:37.998 --> 00:16:39.159]  What was that interview like?
[00:16:40.580 --> 00:16:44.604]  Well, I mean, I kind of happened upon this after we interviewed the U.S.
[00:16:44.644 --> 00:16:49.188]  Navy vet that had a forced psychiatric evaluation, a wellness check.
[00:16:49.228 --> 00:16:54.072]  They confiscated his permits and took his guns and had forced hospitalization.
[00:16:55.087 --> 00:17:14.200]  Actually, people within the VA system started contacting me, and one guy I did respond back to was a VA doctor out of Florida, and we ended up doing an hour-long interview in detail of how the VA administration is progressing a nationwide gun confiscation program that's been ongoing for years.
[00:17:14.821 --> 00:17:22.847]  And the good thing about the video is that it really goes into detail from a doctor's perspective what they have to do to go ahead and take the guns from the veterans.
[00:17:23.527 --> 00:17:27.870]  And I think it was so scary at the time that a lot of people ignored it.
[00:17:27.950 --> 00:17:35.115]  So hopefully it'll see the light of day and more people will be able to see exactly what's going on internally with the VA hospital system.
[00:17:35.496 --> 00:17:37.037]  Now George, where can we find it?
[00:17:37.077 --> 00:17:42.721]  I realize that it's not on George4Title anymore, your YouTube site, but what can people do to find it?
[00:17:43.581 --> 00:17:45.943]  Yeah, this information was really hot to handle.
[00:17:46.523 --> 00:17:52.068]  I initially did the interviews with another gal that I ran a website with, and she took it down.
[00:17:52.728 --> 00:17:58.353]  He actually wanted to retract the video because he was afraid that they were going to come after him.
[00:17:58.373 --> 00:18:09.462]  There were some issues with some voice modulation with the video, but if you type into Google, VA doctor, gun confiscation, the video will come up and you'll be able to watch it.
[00:18:10.510 --> 00:18:24.395]  And basically, for those that don't know, we did an article here at Infowars.com covering this, where there was actual kickback for the VA doctors who are taking guns from the veterans, willingly or unwillingly.
[00:18:25.035 --> 00:18:27.436]  And I really wanted to talk a little bit about that, George.
[00:18:27.916 --> 00:18:35.939]  When you spoke to him, he mentioned that basically they were going to take those guns, whether the person was going to allow it or not.
[00:18:35.999 --> 00:18:37.880]  Can you tell us a little bit about that and how they did it?
[00:18:39.173 --> 00:18:47.578]  Yeah, he gave me some intimate details of how they are, how basically they make their money at the VA system, and a lot of it is incentivized.
[00:18:48.039 --> 00:18:53.322]  So there's a whole lot of work on the ground that doctors do that they get incentivized for.
[00:18:53.342 --> 00:18:57.505]  It could be anything from helping teach other doctors.
[00:18:57.985 --> 00:19:05.069]  And in this case, he mentioned that they were paid $3,000 to take away guns from veterans.
[00:19:05.430 --> 00:19:05.710]  So there's
[00:19:06.130 --> 00:19:15.877]  It's actually a financial incentive to go ahead and try to take the guns of veterans that are red flagged on their questionnaire system.
[00:19:17.017 --> 00:19:18.298]  Now there's the funny part.
[00:19:18.378 --> 00:19:23.562]  Some of those red flags are, it's not really funny I suppose, but some of those red flags are if you're a patriot.
[00:19:24.679 --> 00:19:30.400]  Yeah, I went into detail with him, and it's on the video, where I asked him, you know, what's going on with these questionnaires that you're doing?
[00:19:30.420 --> 00:19:42.683]  And he says, when you come in, and we don't want to scare veterans from getting any medical help, but they need to understand, at least from this doctor's perspective, that the questionnaires are getting very, very intimate, very, very detailed.
[00:19:42.983 --> 00:19:45.284]  They want to know all your family history.
[00:19:45.584 --> 00:19:54.086]  They are doing bipolar screening, depression screening, all types of family, work history, anything and everything they are putting down in these questionnaires.
[00:19:54.682 --> 00:19:59.444]  And these interview systems, and then they will use that against you.
[00:19:59.724 --> 00:20:06.266]  If you have anything that is showing any type of mental situation, any type of stress situation, they can go ahead and use that.
[00:20:06.686 --> 00:20:16.330]  Working with local law enforcement to take away your guns, do a wellness check, and then end up, you know, you might end up in a situation where you're hospitalized against your will.
[00:20:17.071 --> 00:20:26.567]  Well, basically what they're saying now, it seems like, is if you don't answer things the way that they tell you to answer it, whether it's, hey, do you have a weapon?
[00:20:26.708 --> 00:20:30.634]  And you answer, well, that's none of your business, then that's automatically yes.
[00:20:31.431 --> 00:20:41.739]  Yeah, you're already red flagged when you just stand up for your rights or you display your political affiliations and they're not in line with Obama.
[00:20:42.480 --> 00:20:45.342]  And that's where I try to get to the heart of the matter.
[00:20:45.382 --> 00:20:46.663]  Where is this all coming from?
[00:20:46.683 --> 00:20:49.866]  And he, on his level, was a little bit confused.
[00:20:50.266 --> 00:20:58.793]  He believes that the game plan to take away the guns is really going to come from the Department of Health and Human Services, perhaps Homeland Security,
[00:20:59.733 --> 00:21:03.035]  But that's really the target of how they're getting the veterans.
[00:21:03.115 --> 00:21:08.058]  And right now, there's so many veterans that are on medication, sleep medication.
[00:21:10.359 --> 00:21:13.921]  They get benefits for post-traumatic distress disorder.
[00:21:14.422 --> 00:21:16.023]  And they also get those benefits.
[00:21:16.343 --> 00:21:18.864]  They don't have to be in combat to apply for those benefits.
[00:21:19.144 --> 00:21:23.907]  They could be in a car accident or they could just be having stress or some type of anxiety.
[00:21:24.147 --> 00:21:26.208]  So I think the latest statistic was like 40% of our veterans
[00:21:27.329 --> 00:21:32.871]  They have some type of post-traumatic distress and they're getting services from the VA.
[00:21:32.911 --> 00:21:40.473]  They need to understand while they're getting those services and benefits, they can use that as an in-way, as a pathway to take away their guns.
[00:21:40.553 --> 00:21:40.994]  Well, sure.
[00:21:41.114 --> 00:21:43.374]  And this flies in the face of HIPAA.
[00:21:43.755 --> 00:21:47.676]  You know, we're supposed to have doctor-patient privacy.
[00:21:48.076 --> 00:21:50.117]  You know, who's getting this information?
[00:21:51.617 --> 00:21:53.438]  And how are they using it against you?
[00:21:53.498 --> 00:21:56.779]  Is that really even, that sounds to me, almost against the law.
[00:21:57.369 --> 00:22:00.651]  Well, and the thing with it is they're saying, hey, come on this way.
[00:22:00.731 --> 00:22:01.792]  You have PTSD.
[00:22:01.832 --> 00:22:02.792]  Here's your prescription.
[00:22:03.313 --> 00:22:07.596]  And the thing is they're making it so easy for them to have the benefits that it's a lure.
[00:22:08.016 --> 00:22:09.637]  They just don't realize what they're walking into.
[00:22:10.518 --> 00:22:18.244]  Some of the questions, he actually goes into detail, the exact questions he asks, and questions that he asks are, do you feel the government can watch you?
[00:22:18.765 --> 00:22:21.367]  Do you feel the government wants to take your guns?
[00:22:21.407 --> 00:22:28.833]  And if you say yes, or you answer with the wrong wordage, they can go ahead and classify you as paranoia.
[00:22:28.893 --> 00:22:34.137]  And I said, hey, what happens if you say you watch Alex Jones or you're against Obama's policy on the wars?
[00:22:34.537 --> 00:22:36.078]  And he said, that could be interpreted.
[00:22:36.198 --> 00:22:37.980]  I mean, it's very, very political.
[00:22:38.420 --> 00:22:46.506]  And he says a lot of these VA hospitals are aligned with leftist-leaning liberal institutions, and they're against gun rights in general.
[00:22:46.746 --> 00:22:59.194]  So he basically says, from the top down, over the years, things are getting more in a way where they're going after guns any way they can.
[00:22:59.875 --> 00:23:02.737]  And it's accelerating under the Obama administration, no doubt.
[00:23:03.958 --> 00:23:05.619]  Yeah, and I'm sure Obamacare
[00:23:06.092 --> 00:23:07.313]  We'll be able to.
[00:23:07.833 --> 00:23:13.078]  I don't know if this is the first step in gun confiscation with regards to the general populace.
[00:23:13.118 --> 00:23:16.941]  At first, they're trying this out using doctors against the veterans.
[00:23:16.981 --> 00:23:22.625]  And then all of a sudden, when Obamacare kicks in, they're going to use regular doctors to go after regular civilians.
[00:23:23.146 --> 00:23:25.488]  You know, those are questions we just don't know the answer to.
[00:23:26.223 --> 00:23:39.622]  Well I'm trying to get my hands on some paperwork right now because on the internet it seems that people are visiting doctors now, pediatricians, cardiologists, whatever, and the form, they actually ask from a form and it asks if you have weapons in your home.
[00:23:40.383 --> 00:23:42.206]  Now what that has to do with your doctor's visit...
[00:23:43.439 --> 00:23:51.625]  It has nothing to do with your doctor, though that's informational gathering for law enforcement and for other agencies we may not be aware of.
[00:23:52.005 --> 00:24:05.615]  I mean, if you are a veteran and you're seeing your doctor for maybe a sleep issue or maybe you're having depression or something and they all of a sudden say, you know what, we're calling the VA police and they come in
[00:24:06.295 --> 00:24:13.498]  And they say we're going to have to get you to surrender your firearms and you're going to be hospitalized, forced hospitalization for two or three or four days.
[00:24:14.318 --> 00:24:18.800]  That can evoke a very stressful response and they can use that against you.
[00:24:18.840 --> 00:24:23.181]  I mean this is involuntary hospitalization in a psych ward.
[00:24:23.522 --> 00:24:30.944]  This is what they do to intimidate you and to basically raise additional red flags and that's how they go ahead and take your guns.
[00:24:31.585 --> 00:24:35.426]  Now you also know about the man in Connecticut that had that happen too.
[00:24:36.411 --> 00:24:36.911]  Exactly.
[00:24:37.051 --> 00:24:42.373]  Well, just by pure luck, I primarily cover stories here locally in Southern California.
[00:24:42.393 --> 00:24:43.954]  I talk about the economic collapse.
[00:24:43.994 --> 00:24:49.256]  I talk about peep families, you know, basically living on the streets, my own personal struggle.
[00:24:49.636 --> 00:25:00.620]  But, you know, by being out there on the Internet, I have a lot of people that contact me, sometimes faster than maybe they'd be able to contact InfoWars, and Dave Schmecker was one of those individuals that contacted me.
[00:25:00.640 --> 00:25:04.822]  We got him up online, and he basically was forced out of his house
[00:25:05.704 --> 00:25:10.865]  Uh, they took his guns out of the gun safe that he had and they hosp- they forced hosp-
[00:25:11.637 --> 00:25:20.660]  Hospitalized him for four days and then he had to deal with the reoccurring problematic issues of dealing with these agencies and trying to get his guns back.
[00:25:20.720 --> 00:25:23.480]  Right now, I don't know what happened Dave, but I believe he was on your show.
[00:25:23.600 --> 00:25:29.002]  Yes, I was going to say for our viewers, you can go to InforWars.com and you'll find the interview.
[00:25:29.102 --> 00:25:39.885]  Also, Alex, talk to him and I want to ask you a couple more questions right now regarding gun control because I hear in California, Jerry Brown has a list of laws that are up on his table.
[00:25:41.724 --> 00:25:48.051]  Yeah, I think California is really in the running as the poster child for gun confiscation and
[00:25:49.176 --> 00:25:51.057]  limiting our Second Amendment rights.
[00:25:51.537 --> 00:26:04.642]  There's been about 30 pieces of anti-gun legislation that has been passed this year alone and I think Jerry Brown, our governor, has about seven pieces of legislation.
[00:26:05.222 --> 00:26:16.887]  You can look it up online but they're anything from banning all semi-autos with a detachable magazine to banning all lead ammo in hunting.
[00:26:17.367 --> 00:26:17.767]  So they just
[00:26:18.476 --> 00:26:25.380]  Basically, this is a progression in California of trying to take away any gun rights that you may have.
[00:26:25.440 --> 00:26:31.943]  And I've talked with people that own semi-automatic weapons, and they are totally confused.
[00:26:32.443 --> 00:26:34.004]  Totally confused.
[00:26:34.064 --> 00:26:35.265]  What's legal and what's illegal?
[00:26:35.505 --> 00:26:40.848]  And George, we're running out of time, so I wanted to quickly, before we disconnect here, apps.
[00:26:41.068 --> 00:26:43.289]  Can you tell us about apps real quick in about 10 seconds?
[00:26:44.099 --> 00:26:45.000]  Okay, real quick.
[00:26:45.220 --> 00:26:48.803]  APPS is a law that passed in California.
[00:26:48.883 --> 00:26:51.065]  It's called the Armed Prohibited Person System.
[00:26:51.125 --> 00:26:52.225]  Definitely do your research.
