[00:00:42.189 --> 00:00:43.789]  It's Tuesday, July 16th.
[00:02:19.081 --> 00:02:29.350]  And now, according to First Coast News, rumours have spread that the deadly shooting is in retaliation to a bumper sticker placed on the Bohannon's truck that said, Free Zimmerman.
[00:02:29.850 --> 00:02:31.451]  So the family's denying this.
[00:02:31.671 --> 00:02:35.512]  The police have come out and denied it, that there's any connection to the Zimmerman case.
[00:02:36.073 --> 00:02:40.574]  But residents there, particularly on Facebook, are asking hard questions.
[00:02:41.095 --> 00:02:46.357]  Could there have been a cover-up that this murder was caused by the free Zimmerman sticker?
[00:02:46.997 --> 00:02:51.022]  We know that there was a heated argument in the moments before the shots were fired.
[00:02:51.423 --> 00:02:52.785]  What was that argument about?
[00:02:53.045 --> 00:03:01.716]  The reports say there were multiple eyewitnesses, there was surveillance footage of this incident, but no details have emerged out of that so far.
[00:03:02.677 --> 00:03:16.505]  So we know there have been scores of threats to murder white people, to murder Hispanics by Trayvon Martin supporters that were made on Twitter in the days before the Zimmerman verdict and of course in the days following.
[00:03:17.205 --> 00:03:29.192]  So a lot of people are asking the question tonight, could the police have deliberately decided to downplay this connection in order to prevent retaliatory attacks amidst this national tension?
[00:03:30.192 --> 00:03:36.474]  And many would even argue that that was a wise move in the light of the current climate.
[00:03:37.214 --> 00:03:39.475]  So, we'll see another story tonight.
[00:03:39.875 --> 00:03:47.157]  Violence, which is primarily being carried out by Trayvon Martin supporters, is starting to become a disturbing theme.
[00:03:47.217 --> 00:03:50.858]  In fact, just before we came on air, there was a story out of Pennsylvania
[00:03:51.258 --> 00:03:52.238]  We're good to go.
[00:04:13.766 --> 00:04:17.770]  Trayvon protesters storm Walmart, assault bystanders.
[00:04:18.010 --> 00:04:19.632]  Again, this is out of Infowars.com.
[00:04:20.232 --> 00:04:29.081]  Unrest continued for a third night in Los Angeles last night as protesters against the Zimmerman verdict stormed a Walmart, attacked bystanders and stomped on cars.
[00:04:29.621 --> 00:04:31.103]  And as you can see in the clip here...
[00:04:32.102 --> 00:04:35.944]  Basically, an unruly mob again rampaging through the streets.
[00:04:35.984 --> 00:04:43.627]  We saw it the previous night with them blocking the freeways, intimidating drivers, in some cases attempting to pull them out of their vehicles.
[00:04:44.428 --> 00:04:45.768]  It seems to be picking up.
[00:04:45.888 --> 00:04:48.029]  Last night, there was even more disorder.
[00:04:48.349 --> 00:04:53.251]  Thankfully, it remains limited to Los Angeles and Oakland, as far as I can tell at the moment.
[00:04:53.792 --> 00:04:56.353]  But more of these disturbing incidents coming to light.
[00:04:58.027 --> 00:05:06.172]  And the LA Times report continues, several protesters made their way into the Walmart as guards scrambled to close the security gates.
[00:05:06.232 --> 00:05:07.253]  And you can see that in the video.
[00:05:07.793 --> 00:05:15.819]  A short while later, Los Angeles Police Department officers wearing helmets and carrying batons swarmed the store as others marched through the parking lot.
[00:05:16.599 --> 00:05:21.900]  So, amidst all this unrest, this disorder, we've got the LAPD who have come out.
[00:05:22.280 --> 00:05:35.303]  Of course, as we reported a couple of days ago, initially they were ordered to back off, let the protesters, as they're still being called, swarm through the streets, attack vehicles, attack bystanders, set things on fire.
[00:05:35.904 --> 00:05:37.384]  The police were told to stand down.
[00:05:38.280 --> 00:05:42.083]  According to the LAPD last night, tonight is going to be different.
[00:05:42.263 --> 00:05:48.108]  They're going to treat these acts of criminality, which is what they are, with the proper response.
[00:05:48.708 --> 00:05:50.650]  So they're risking escalating it.
[00:05:50.690 --> 00:06:04.540]  Of course, we know back during the 92 LA riots, the deliberate tactic was to not intervene in these riots in many cases, which some people blame for the 2,000 injuries, the 53 deaths during those riots.
[00:06:05.081 --> 00:06:05.901]  So the police have
[00:06:07.142 --> 00:06:13.887]  ...promised to crack down tonight, so hopefully these riots will begin to fizzle out, otherwise the situation could escalate.
[00:06:14.228 --> 00:06:17.170]  Twitter is ablaze with these death threats against Zimmerman.
[00:06:17.210 --> 00:06:22.214]  Of course, his family have now gone into hiding due to the massive amount of death threats that they've received.
[00:06:22.854 --> 00:06:31.321]  And we also see protesters, Trayvon Martin protesters, wearing these t-shirts, dead or alive, with a picture of George Zimmerman on them.
[00:06:31.781 --> 00:06:34.663]  So, the rhetoric, the heated rhetoric, continues.
[00:06:35.816 --> 00:06:51.843]  But whereas, you know, Justin Carter, the Texas teen who made a joke Facebook post and got ten years in prison for it, or is set to face ten years in prison, he's already being beaten up in jail for that crime, yet you have thousands of people making direct death threats.
[00:06:51.903 --> 00:06:59.546]  It's being almost completely ignored by the media, and according to the likes of Time magazine, you know, we're racist to even talk about it.
[00:06:59.887 --> 00:07:02.708]  So the fallout from the Zimmerman verdict continues.
[00:07:03.368 --> 00:07:05.729]  Now I have this story out of my Fox DC.
[00:07:06.169 --> 00:07:09.549]  Jogger says he was attacked in retaliation for Zimmerman verdict.
[00:07:09.950 --> 00:07:18.852]  A man who says he was jogging alongside of a road when three black men abducted and beat him claims the alleged attack was in retaliation for George Zimmerman's acquittal.
[00:07:18.872 --> 00:07:21.792]  Police in Senatobia, Missouri told Fox News.
[00:07:22.252 --> 00:07:32.135]  Police Chief Steve Holtz told Fox News the alleged victim, who is white, was jogging Sunday night along Highway 51 when he said the suspects pulled over and ordered him to get inside their car.
[00:07:33.115 --> 00:07:36.216]  So basically they said, they said, do you know who Trayvon Martin was?
[00:07:36.236 --> 00:07:38.377]  They made it clear it was about the case.
[00:07:38.417 --> 00:07:41.378]  They abducted him, beat him up, threw him out on the side of the road.
[00:07:42.339 --> 00:07:52.142]  And we've had numerous reports of photographers, reporters also being attacked by these mobs in places like Oakland as if they were responsible for the Zimmerman verdict.
[00:07:52.182 --> 00:07:53.583]  Of course, completely ridiculous.
[00:07:54.163 --> 00:08:01.166]  We've also got a story out of Baltimore where a Hispanic man was beaten up while his attackers screamed, this is for Trayvon.
[00:08:01.886 --> 00:08:11.129]  And this is all over the past two, three days, and then as you add to it the murder story that we started the show with, and unfortunately this violence seems to be starting to build.
[00:08:12.809 --> 00:08:18.511]  Next story, legendary musician attacked after dedicating song to Trayvon Martin.
[00:08:18.531 --> 00:08:20.391]  This is out of ktvu.com.
[00:08:20.771 --> 00:08:24.092]  Again, another violent attack related to the case.
[00:08:24.592 --> 00:08:29.634]  This time it was a white woman attacking a black musician because he dedicated a song
[00:08:30.114 --> 00:08:31.295]  To Trayvon Martin.
[00:08:31.335 --> 00:08:34.278]  This was music legend Lester Chambers.
[00:08:34.698 --> 00:08:46.989]  He dedicated the song People Get Ready by Curtis Mayfield to Martin when 43-year-old Dinah Lynn Andrews Potter jumped up and shoved Chambers to the ground after allegedly yelling, it's all your fault.
[00:08:47.989 --> 00:08:53.334]  So they're saying this was racially motivated hate crimes charges are going to be filed against this woman.
[00:08:53.694 --> 00:08:56.517]  So you've got white people attacking black people now.
[00:08:57.597 --> 00:08:58.438]  And it continues.
[00:08:58.618 --> 00:09:00.159]  This is out of Hollywood Reporter.
[00:09:00.639 --> 00:09:04.842]  Stevie Wonder boycotting Florida following Zimmerman verdict.
[00:09:05.522 --> 00:09:10.265]  Stevie Wonder won't be performing in Florida anytime soon in the wake of the George Zimmerman acquittal.
[00:09:10.526 --> 00:09:16.009]  The singer said he would not be performing in the Sunshine State until its Stand Your Ground law is abolished.
[00:09:16.390 --> 00:09:27.157]  He also said he would not be performing in any other state that recognizes the law which some say contributed to Zimmerman's acquittal in the shooting death of Florida teen Trayvon Martin.
[00:09:27.677 --> 00:09:29.858]  So let's go to the clip of Stevie Wonder.
[00:09:30.798 --> 00:09:43.783]  I decided today that until the Stand Your Ground law is abolished in Florida, I will never perform there again.
[00:09:51.105 --> 00:09:56.487]  Wherever I find that law exists, I will not perform in that state or in that part of the world.
[00:09:59.528 --> 00:10:03.813]  So there's Stevie Wonder saying he's not going to play in Florida because of the outcome of this case.
[00:10:04.574 --> 00:10:07.937]  But forget the rights and wrongs of the Zimmerman trial.
[00:10:07.957 --> 00:10:20.691]  The question has to be, you know, why isn't Stevie Wonder boycotting Chicago in light of the fact that scores of black people are killed every single month, more than the number of US troops killed in Afghanistan?
[00:10:21.482 --> 00:10:31.776]  You know, more black people are killed in Chicago by other blacks every weekend than the number killed by the Ku Klux Klan over a period of 50 years.
[00:10:32.497 --> 00:10:34.279]  No one seems to be concerned about that.
[00:10:34.299 --> 00:10:35.781]  Nobody's protesting about that.
[00:10:36.442 --> 00:10:55.111]  You know, we have a national outcry over one dubious case which may or may not have been self-defense, yet black people, certainly the ones who are up in arms over Trayvon Martin, don't seem to be too animated about the 1,300 black babies that are killed every day in America through abortion.
[00:10:55.131 --> 00:10:55.111]  93%!
[00:10:55.151 --> 00:10:58.633]  93% of murdered black men are killed by other black men!
[00:11:03.206 --> 00:11:06.248]  There's no outcry about black-on-black violence.
[00:11:06.288 --> 00:11:11.750]  There's no national conversation about the kind of culture that creates that bloodshed.
[00:11:11.790 --> 00:11:20.655]  A culture, I would add, is being pushed, contrived, and emphasized by the likes of MTV through mainstream hip-hop.
[00:11:21.275 --> 00:11:23.356]  So it's selective outrage once again.
[00:11:23.416 --> 00:11:25.797]  It's mass media contrived mind control.
[00:11:26.277 --> 00:11:31.180]  And as you saw from the stories earlier, it's only creating more violence and division.
[00:11:32.273 --> 00:11:33.753]  Moving on to other news now.
[00:11:34.433 --> 00:11:36.794]  Muslim Brotherhood beat kidnap child.
[00:11:37.254 --> 00:11:42.475]  Muslim Brotherhood supporters in the streets of Egypt are seen beating and kidnapping a young boy.
[00:11:42.535 --> 00:11:43.415]  Let's go to the clip.
[00:12:09.881 --> 00:12:20.731]  So basically we have no idea what happened to that boy after he was abducted as you saw in the clip or indeed what egregious crime he was supposed to have committed in the eyes of those Muslim Brotherhood supporters.
[00:12:21.311 --> 00:12:31.500]  So this is another one of the stories developments in Egypt that has fallen off the radar to a large extent as you know the focus has been on Zimmerman in the United States.
[00:12:32.201 --> 00:12:36.665]  Because last night seven people were killed and four hundred injured in Cairo
[00:12:37.185 --> 00:12:42.689]  As a result of continued confrontations between pro-Mohammed Morsi protesters and the Egyptian military.
[00:12:43.450 --> 00:12:52.476]  On Friday, the Obama administration called for the release of Morsi, so they seem to be putting their ducks in order back behind the Muslim Brotherhood again.
[00:12:52.937 --> 00:12:59.461]  Of course, we know that the original coup that saw Morsi come to power was State Department backed years in advance.
[00:13:00.458 --> 00:13:11.443]  And then also a few days ago, USS San Antonio and the USS Kiasij were moved closer to Egypt directly as a consequence of the still unfolding crisis in that country.
[00:13:12.123 --> 00:13:16.165]  So, you know, that doesn't mean the US military is preparing for an intervention.
[00:13:16.645 --> 00:13:20.107]  But it certainly means that the situation in Egypt remains fluid.
[00:13:20.487 --> 00:13:26.811]  And of course we know that the Egyptian military is funded to the tune of 1.3 billion dollars a year by the US military.
[00:13:27.391 --> 00:13:31.173]  So, they've got a dog in the fight on both sides of the game.
[00:13:31.193 --> 00:13:36.216]  They've backed the Muslim Brotherhood, they've also backed the Egyptian military with over a billion dollars a year.
[00:13:36.796 --> 00:13:57.211]  But given the brutality of the Muslim Brotherhood, which of course is a lesser version of the jihadists, the extremists the Obama administration is currently backing in Syria, let's hope the situation in Egypt doesn't descend into another Algerian-style civil war, because if you research that back 20 years ago,
[00:13:57.911 --> 00:13:59.573]  It was a very similar situation.
[00:13:59.613 --> 00:14:03.737]  It was a clash between the government and extremist Muslim groups within the country.
[00:14:04.197 --> 00:14:09.262]  And I believe around 200,000 people ended up dying as a result of that civil war.
[00:14:10.023 --> 00:14:15.227]  But you've also got the Al-Nawr Party in Egypt, which is a Salafist ally of the Muslim Brotherhood.
[00:14:15.908 --> 00:14:25.374]  And that's now playing an influential role in this interim Egyptian government, and many people fear that they could become even worse than the Muslim Brotherhood if they get into power.
[00:14:25.695 --> 00:14:33.500]  On the flip side, you've got Mohamed ElBaradei, who of course is a George Soros Foundation stooge, so the U.S.
[00:14:33.540 --> 00:14:40.044]  seems to have all bases covered currently in Egypt as the situation continues to unfold.
[00:14:40.564 --> 00:14:45.168]  Staying with geopolitical news now, this is Anthony Gucciardi out of StoryLeak.
[00:14:45.988 --> 00:14:49.890]  Russia amasses full combat readiness strategic bombers.
[00:14:50.490 --> 00:15:04.177]  Straight out of Russian news, Vladimir Putin has called for the nation's strategic bombers to enter a state of full combat readiness following the snap drills that were initiated after Israel bombed Russian-made missiles within Syria.
[00:15:05.296 --> 00:15:21.423]  So as Gucciardi reported on Sunday, Russia's large-scale amassing of over 160,000 troops, naval ships, fighter planes, strategic bombers, has been virtually ignored by the mainstream media, with only Russian-based news services really reporting on the event.
[00:15:22.369 --> 00:15:26.831]  And these are the largest Russian war games since the Cold War.
[00:15:27.011 --> 00:15:30.973]  You'd think that would be a bigger story, but it's receiving relatively little attention.
[00:15:30.994 --> 00:15:38.117]  And it, of course, follows the recent revelation that Israel once again attacked Syria.
[00:15:38.317 --> 00:15:44.561]  Again, imagine if Syrian warplanes were bombing Israel once a month, what do you think the reaction would be?
[00:15:45.521 --> 00:15:55.284]  Of course it was recently announced that that happened again in Syria when Israel bombarded weapons supplies in Latakia, weapons that had been provided by the Russians.
[00:15:56.294 --> 00:16:04.556]  And according to a report out of Ynet News today, the Israelis only gave the green light for the attack when they were assured that no Russians were on site.
[00:16:04.776 --> 00:16:09.637]  So they're being very careful not to initiate tension, more tension, with the Russians.
[00:16:10.818 --> 00:16:16.759]  And you've got several incidents over the past few months where fighter jets, both Turkish and Israeli,
[00:16:17.119 --> 00:16:29.942]  ...have mysteriously fallen out of the sky due to technical malfunctions when people in Syria have in fact contradicted that narrative and said that those F-16s could in fact have been shot down.
[00:16:30.402 --> 00:16:39.104]  Israel's not going to admit to that because it's a slap in the face for them, but the rumours that those fighter jets were shot down continue to circulate.
[00:16:39.884 --> 00:16:50.396]  And the article continues, the revelation that Israel was behind the strike on the Russian-made missiles in Syria may be behind the reason for the combat drill, assuming the Russians found out before the general public.
[00:16:51.197 --> 00:16:51.878]  So firstly...
[00:16:52.875 --> 00:16:57.157]  Of course we had the Snowden wild goose chase and now the Zimmerman controversy.
[00:16:57.197 --> 00:17:03.599]  While all that's been at the forefront of the news agenda, the continued build-up to war continues to simmer.
[00:17:04.399 --> 00:17:14.603]  In Britain, the military has basically told David Cameron that arming these radical jihadist rebels in Syria is not going to happen, so they're having to backtrack on that.
[00:17:15.103 --> 00:17:27.737]  And the case for arming them in terms of the court of public opinion has completely collapsed in light of these numerous atrocities that have been documented and have indeed intensified over the past year.
[00:17:28.757 --> 00:17:29.537]  So we've got that.
[00:17:29.938 --> 00:17:36.941]  We've got the Syrian Army that continues to score key victories in its battle to retake these rebel areas across the country.
[00:17:37.442 --> 00:17:40.503]  So, in conclusion, the window appears to be closing.
[00:17:40.923 --> 00:17:49.688]  Remember the Wall Street Journal reported back in June that the rebel push backed by US weapons is set to begin in early August.
[00:17:50.208 --> 00:17:55.311]  So, if we're still talking about this situation, if it remains the same in two months' time,
[00:17:55.871 --> 00:18:01.633]  Then it appears that that window for intervention in Syria will be firmly shut.
[00:18:01.713 --> 00:18:06.975]  But now we've got Russia staging the biggest war games since the Cold War.
[00:18:07.556 --> 00:18:13.738]  And it's basically hardly anybody is talking about it, but we're talking about it here on InfoWars Nightly News.
[00:18:14.558 --> 00:18:15.439]  Quote of the day now.
[00:18:16.812 --> 00:18:18.734]  Racism is taught in our society.
[00:18:18.834 --> 00:18:20.016]  It is not automatic.
[00:18:20.136 --> 00:18:24.961]  It is learned behavior towards persons with dissimilar physical characteristics.
[00:18:25.582 --> 00:18:31.469]  So again, that speaks to the point that a lot of this race-baiting, a lot of this hatred, is contrived.
[00:18:31.869 --> 00:18:49.921]  You know, people who share the same culture shouldn't be at each other's throats over physical characteristics when our main enemy remains those in power who will abuse it and who will inflict that abuse against all of us no matter what our colour or creed.
[00:18:51.072 --> 00:18:52.093]  There's the show note now.
[00:18:52.113 --> 00:19:01.639]  If you're watching PrisonPlanet.tv tomorrow, I would urge you to do so because we're going to premiere State of Mind, the exciting new mind control documentary.
[00:19:02.099 --> 00:19:11.565]  We're going to intersperse the screening of this new film with a roundtable discussion featuring some of the people behind that film, some of the InfoWars crew.
[00:19:12.105 --> 00:19:25.136]  So that's going to be the premiere of State of Mind exclusively at PrisonPlanet.tv tomorrow on InfoWars Nightly News, so be sure to subscribe at PrisonPlanet.tv to get first access to that.
[00:19:25.916 --> 00:19:37.666]  We're going to go to break now, but when we come back, David Naik talks to former Congressional candidate David Seaman about the inherent structural corruption in the US electoral system and ways we can fix it.
[00:19:37.826 --> 00:19:38.807]  So we're going to go to a break.
[00:19:38.967 --> 00:19:40.208]  That interview is coming up.
[00:19:40.228 --> 00:19:40.769]  Stay tuned.
[00:19:44.500 --> 00:19:52.185]  This is Antonio Beeler of the Peaceful Streets Project, and I'm here to invite you to a concert featuring Jordan Page here in Austin, Texas this Thursday, July 18th.
[00:19:52.746 --> 00:19:59.050]  This concert will help fund the Peaceful Streets Project annual Police Accountability Summit, which will be the culmination of a crazy year and a half.
[00:19:59.410 --> 00:20:05.615]  We'll start with my New Year's arrest for trying to take pictures of and stop two thug cops from assaulting a woman who had committed no crime.
[00:20:06.215 --> 00:20:16.700]  I subsequently joined with other activists here in Austin to launch the Peaceful Streets Project to bring about a cultural shift so that people would stand up for their rights while standing together to bring accountability to criminal cops.
[00:20:17.380 --> 00:20:21.742]  Since then, the Peaceful Streets Project has given victims of police abuse a platform to share their stories.
[00:20:22.062 --> 00:20:31.707]  We've hosted dozens of Know Your Rights trains, organized over 100 cop watches, and hosted a successful police accountability summit where we gave out 100 cameras to people in need so they could film the police.
[00:20:32.307 --> 00:20:36.449]  We were also named the Grassroots Movement of the Year by the Austin Chronicle, and now we're going national.
[00:20:36.749 --> 00:20:43.932]  We currently have a dozen chapters nationwide in cities such as Dallas, Houston, New York, Manchester, New Hampshire, and Sedusky, Ohio.
[00:20:44.392 --> 00:20:55.437]  This Thursday, July 18th, Liberty rocker Jordan Page will be coming to Austin, Texas to perform at a private benefit concert to help raise funds for a second annual Police Accountability Summit that will be held on August 17th.
[00:20:55.877 --> 00:21:01.239]  The money we raise is necessary to offset the cost of the venue, as well as the cost associated with our featured guests,
[00:21:01.499 --> 00:21:06.103]  There are three ways you can help us make this benefit concert and summit a success.
[00:21:06.143 --> 00:21:09.527]  First, please share this video with friends via email, Facebook, and Twitter.
[00:21:25.021 --> 00:21:27.963]  Second, come to the benefit concert this Thursday in Austin.
[00:21:28.343 --> 00:21:31.044]  Go to PeacefulStreets.com slash JordanPage to prepay.
[00:21:31.444 --> 00:21:36.187]  And third, come to and or donate to the second annual Police Accountability Summit.
[00:21:36.567 --> 00:21:39.228]  Go to PeacefulStreets.com slash donate for more information.
[00:21:39.709 --> 00:21:42.030]  Together, we can bring down the police state.
[00:21:46.752 --> 00:21:49.514]  Are we choosing our own paths, our own destiny?
[00:21:50.074 --> 00:21:51.895]  Or has it been pre-selected for us?
[00:21:53.143 --> 00:21:53.523]  C.S.
[00:21:53.583 --> 00:22:01.607]  Lewis said, when training beats education, civilization dies.
[00:22:01.987 --> 00:22:06.810]  We need to always be cognizant of, as a free society, that information can be used as a weapon.
[00:22:06.930 --> 00:22:10.411]  Barrier to discovery is not ignorance, it's the illusion of knowledge.
[00:22:10.591 --> 00:22:13.973]  We are seen as nothing but biological androids.
[00:22:14.033 --> 00:22:17.575]  To gain control of education in America,
[00:22:18.355 --> 00:22:23.921]  Not for a philanthropic purpose, but to change the thinking of the American people.
[00:22:24.202 --> 00:22:29.948]  From the time we're very young, we're taught to, you know, worship authority, basically, because that's our key to survival as young children.
[00:22:30.048 --> 00:22:39.758]  Discover the history, the present, and the future of mind control, from compulsory state education to the Hollywood media brainwashing machine.
[00:22:40.399 --> 00:22:44.821]  We are kept in perpetual bondage to the ideas that shape our actions.
[00:22:44.961 --> 00:22:51.523]  In the CIA, scientists could actually film people who had been surreptitiously dosed with LSD.
[00:22:51.763 --> 00:22:55.385]  There's a brain entrainment process that takes place.
[00:22:55.785 --> 00:23:01.187]  That gives the government free reign to create whatever story or narrative it wants to create.
[00:23:01.327 --> 00:23:07.189]  Whatever the public face of something is, whatever they're talking about publicly, there's something else over here they're probably not looking at.
[00:23:07.389 --> 00:23:16.418]  How to engineer the opinion of the American people so that they would fully endorse, not only endorse, but demand a war.
[00:23:16.519 --> 00:23:24.367]  When you watch mainline establishment television, you are putting yourself in front of the barrel of a gun.
[00:23:25.646 --> 00:23:33.751]  Discover the history, the present, and the future of mind control, psychological warfare, brainwashing.
[00:23:34.091 --> 00:23:35.712]  Are we controlled and manipulated?
[00:23:36.212 --> 00:23:36.772]  You bet!
[00:23:37.353 --> 00:23:40.014]  That's mind control par excellence.
[00:23:40.554 --> 00:23:47.458]  Find out how deep the rabbit hole really goes with this new groundbreaking documentary film, State of Mind.
[00:23:48.199 --> 00:23:50.860]  Available exclusively at InfoWars.com.
[00:23:58.274 --> 00:24:00.575]  Because there's a war on for your mind.
[00:24:01.115 --> 00:24:06.596]  That has been our motto here at InfoWars for my 18 years of battle against the globalists.
[00:24:07.136 --> 00:24:13.878]  And now we see the open announcements of global private corporate tyranny over our governments.
[00:24:14.278 --> 00:24:15.698]  That's what the New World Order is.
[00:24:15.758 --> 00:24:23.820]  It's an unaccountable private combine of organized crime engaged in corporate takeovers of nation states and the
[00:24:25.100 --> 00:24:30.422]  Conscious attempt to abolish basic rights and fundamental liberties.
[00:24:31.002 --> 00:24:35.904]  InfoWars.com is not just leading the charge against this here in the US or North America.
[00:24:36.344 --> 00:24:38.725]  We are leading the charge worldwide.
[00:24:39.205 --> 00:24:49.009]  And that's because our listeners, our viewers, our supporters, fellow freedom lovers like you across the planet, resonate with our message of liberty and telling it like it is.
[00:24:49.589 --> 00:24:51.550]  And that's why for the last two years especially,
[00:24:51.910 --> 00:25:02.336]  I have thrown everything I've got, my time, my energy, our backup capital, everything into really trying to awaken the sleeping giant that is humanity.
[00:25:02.736 --> 00:25:06.438]  And that's why the July issue that just came in a few days ago is so important.
[00:25:06.458 --> 00:25:11.621]  We've already sold about half the stock we have of it at cost in groups of 10 up to 100 in bulk.
[00:25:13.163 --> 00:25:24.811]  It covers the entire NSA spy grid, how it ties in worldwide, how it's not about stopping terrorists, but about suppressing and dominating and controlling the free press and political opposition.
[00:25:25.251 --> 00:25:30.535]  And in this magazine, we don't just have three free bumper stickers like I did a few months ago.
[00:25:30.875 --> 00:25:34.418]  We have ten bumper stickers, four full-size ones.
[00:25:34.918 --> 00:25:41.640]  With amazing messages guaranteed to get people thinking like America has been occupied by globalist forces.
[00:25:41.920 --> 00:25:42.980]  InfoWars.com.
[00:25:43.260 --> 00:25:45.801]  Listen to Alex Jones at InfoWars.com.
[00:25:46.201 --> 00:25:47.301]  InfoWars.com.
[00:25:47.581 --> 00:25:48.682]  Forbidden information.
[00:25:49.002 --> 00:25:50.022]  Listen to Alex Jones.
[00:25:50.362 --> 00:25:51.443]  InfoWars.com.
[00:25:51.823 --> 00:25:56.964]  And then on top of it, six medium-sized bumper stickers with the message as well.
[00:25:57.264 --> 00:26:03.886]  These are key to post in legal and lawful areas on your book bag, your computer, your car, or to give friends and family.
[00:26:04.887 --> 00:26:08.490]  I have printed 500,000 of these bumper stickers.
[00:26:08.930 --> 00:26:12.172]  Only half of this month's run of magazines has them.
[00:26:12.612 --> 00:26:18.456]  So when you purchase them in bulk, or you're a 12-month subscriber, you will get the special issue.
[00:26:18.556 --> 00:26:22.859]  And I can't afford to do this every month, so it's going to be quite a while until we do this again.
[00:26:23.219 --> 00:26:24.720]  Please take advantage of this.
[00:26:25.081 --> 00:26:30.284]  Buy them in bulk, and give them to your friends and family, and encourage them to get these bumper stickers out.
[00:26:31.986 --> 00:26:37.071]  100,000 stickers, we can reach tens of millions of people with the message of truth.
[00:26:37.211 --> 00:26:38.392]  They want to collectivize us.
[00:26:38.632 --> 00:26:39.633]  They want to bankrupt us.
[00:26:39.653 --> 00:26:42.937]  They want to drive us into their arms to control us.
[00:26:43.237 --> 00:26:44.378]  They want to dumb us down.
[00:26:44.738 --> 00:26:47.842]  But the sleeping giant that is for humanity is awakening.
[00:26:48.422 --> 00:26:49.883]  So I want to thank you all for your support.
[00:26:49.923 --> 00:26:56.466]  I want to encourage everybody to go to InfoWarsStore.com and to get a 12-month subscription or to give a gift subscription.
[00:26:56.506 --> 00:26:59.688]  Imagine 12 of these coming to your friends or family's door to wake them up.
[00:27:00.068 --> 00:27:04.170]  Or to give a gift subscription to the local police department or your local congressman or woman.
[00:27:04.810 --> 00:27:06.851]  This is how we're going to affect change.
[00:27:06.971 --> 00:27:09.612]  Voting with our dollars and voting with our time.
[00:27:09.912 --> 00:27:19.136]  Again, visit InfoWarsTore.com today to subscribe, to get the magazine in bulk, or to give a gift subscription, or to give yourself a subscription to wake up friends and family.
[00:27:19.657 --> 00:27:20.397]  I am all in.
[00:27:20.937 --> 00:27:27.459]  I am committed 110% to not mince words, and to not back off, and to boldly confront the globalists.
[00:27:27.639 --> 00:27:36.441]  So I want to thank all of you that have supported us in the past, and I want to encourage all of you out there who may be on the fence, that know this information is true, but have been scared to take action.
[00:27:36.861 --> 00:27:42.003]  You had better be scared of not taking action, and letting this monstrous system come to fruition.
[00:27:42.403 --> 00:27:44.404]  Now is the time to commit.
[00:27:44.884 --> 00:27:47.865]  Now is the time to say which side of history you're on.
[00:27:48.205 --> 00:27:49.465]  Now is the time.
[00:27:49.861 --> 00:27:53.305]  to stand against the Globalist and the New World Order.
[00:27:53.805 --> 00:28:04.016]  And regardless of whether you get this July issue, this July 4th resistance to tyrants issue, spread the word about liberty, resist corruption in your area.
[00:28:04.556 --> 00:28:07.399]  Millions of us doing little things can move mountains together.
[00:28:07.920 --> 00:28:12.084]  I'm Alex Jones signing off for InfoWars.com and the InfoWars team.
[00:28:23.544 --> 00:28:26.945]  Well, the question is always before us is, how do we affect change?
