[00:00:21.974 --> 00:00:23.555]  It's Tuesday, October 15th.
[00:12:39.238 --> 00:12:40.078]  I'm Gigi Ornette.
[00:12:40.138 --> 00:12:41.159]  Welcome to Tyranny Watch.
[00:12:41.979 --> 00:12:43.500]  So what happened to the freedom to worship?
[00:12:44.120 --> 00:12:48.102]  Catholics across the United States are a target for the militant government.
[00:12:48.942 --> 00:12:57.386]  They cannot worship at military bases and priests, who offer to do the masses even for free, are being told that they may be arrested for it.
[00:12:58.346 --> 00:13:00.446]  Clearly, the people of Washington, D.C.
[00:13:00.486 --> 00:13:02.007]  need to examine their hearts.
[00:13:02.507 --> 00:13:11.609]  The deceit reaches over oceans, as Kerry is in Malaysia and he praises Malaysia for their multi-faith model in a Muslim country that bans Bibles.
[00:13:11.829 --> 00:13:22.571]  It's good to know that Secretary of State John Kerry's ideal multi-faith model is a country that seized 20,000 Christian Bibles, banned Ahmadis from praying, and destroys a Hindu temple every three weeks.
[00:13:22.851 --> 00:13:27.172]  Let's hope his boss doesn't intend to introduce this multi-faith model in the United States.
[00:13:27.412 --> 00:13:33.254]  One of the worst problems is forced conversions to Islam, which has become particularly acute since 2001.
[00:13:33.635 --> 00:13:42.338]  Despite the provision for freedom of religion entrenched in Article 11 in the Malaysian Constitution, even the non-recognized Muslim sects are in trouble.
[00:13:42.798 --> 00:13:54.543]  The Selangor Council of Islamic Religion in Malaysia has issued a notice ordering the Ahmadiyya Muslim Community Malaysia to immediately stop offering prayer services at the national AMC headquarters.
[00:13:55.083 --> 00:13:59.464]  The waters are definitely muddy when it comes to multi-faith in this administration.
[00:14:00.264 --> 00:14:04.325]  This weekend they had their hands full as people stood up all over Washington.
[00:14:04.705 --> 00:14:20.087]  Thank you for being here today because we the people are determined to show the United States military, our esteemed vets, that the size of the heart of America for our vets is immeasurable.
[00:14:20.307 --> 00:14:22.608]  We are here to honor our vets.
[00:14:23.388 --> 00:14:40.592]  You look around, though, and you see these barricades, and you have to ask yourself, is this any way that a commander-in-chief would show his respect, his gratitude to our military?
[00:14:40.632 --> 00:14:42.072]  This belongs to you.
[00:14:42.412 --> 00:14:44.413]  This does not belong to the government.
[00:14:44.553 --> 00:14:45.813]  It belongs to the people.
[00:14:49.880 --> 00:14:51.200]  No, no.
[00:15:13.971 --> 00:15:16.873]  There always has to be a bully cop or a bully government official.
[00:15:16.893 --> 00:15:23.677]  And in New York, a criminal defense attorney reveals that in the Bronx, they actually lied to meet quotas.
[00:15:24.038 --> 00:15:27.059]  Narcotic police lied to reach arrest quotas in the Bronx.
[00:15:27.320 --> 00:15:33.904]  It'll be interesting to hear details in upcoming weeks about how they threw innocent people in the slammer just to satisfy their job requirements.
[00:15:34.184 --> 00:15:38.809]  The TSA absolutely humiliates an 82-year-old woman at Sky Harbor Airport.
[00:15:39.209 --> 00:15:43.654]  This revelation is in a recent report only available because of the Freedom of Information Act.
[00:15:43.994 --> 00:15:53.023]  An 82-year-old woman in a wheelchair in the screening line at Phoenix Sky Harbor Airport goes all the way through until the metal detector beeps over her chest.
[00:15:53.223 --> 00:15:57.388]  The woman tells TSA that she has a breast prosthesis because she had a mastectomy.
[00:15:57.788 --> 00:16:05.914]  The TSA agents take the woman to a room and order her to take off her blouse, then her bra, and then her prosthesis, which they examine.
[00:16:06.474 --> 00:16:10.217]  The elderly woman strips to her waist with nothing to hide her scars.
[00:16:10.377 --> 00:16:11.598]  Welcome to the USA.
[00:16:11.938 --> 00:16:12.739]  Stop the tyranny.
[00:16:12.859 --> 00:16:17.662]  Sign up for PrisonPlanet.tv today and give your username and password to up to 10 people.
[00:16:18.082 --> 00:16:18.863]  And don't lose hope.
[00:16:19.443 --> 00:16:25.208]  Remember Psalm 118.8 says that it's better to take refuge in the Lord than to trust humans.
[00:16:26.334 --> 00:16:29.637]  I'm Gigi Ornette with Tyranny Watch for the InfoWars Nightly News.
[00:16:38.423 --> 00:16:46.369]  Stay tuned because coming up David Knight talks to Joel Gilbert about the political scandal surrounding New Jersey Senate candidate Cory Booker.
[00:16:46.409 --> 00:16:48.651]  That's coming up next on InfoWars Nightly News.
[00:17:13.112 --> 00:17:19.875]  Alex Jones here to warn you about some of the most important health information you may ever hear.
[00:17:20.515 --> 00:17:28.158]  I'm talking about radiation, radioactive fallout, radioactive particles contaminating the Northern Hemisphere.
[00:17:29.118 --> 00:17:38.602]  Conservatively, since the 1940s, the Northern Hemisphere of our planet has more than doubled its background radiation.
[00:17:39.122 --> 00:17:41.683]  In fact, that was before Fukushima exploded.
[00:17:42.723 --> 00:17:44.584]  Now the levels are going up and up and up.
[00:17:44.704 --> 00:17:50.807]  Fish are contaminated in the Pacific, and the FDA, the EPA, and others, they're not worried about it.
[00:17:51.247 --> 00:17:55.189]  They've been raising the levels of what they claim is safe radioactive particles.
[00:17:55.889 --> 00:18:05.694]  So after more than two years of research into how to protect my family, looking at all the literature, talking to the experts across the board, they agreed iodine is key.
[00:18:06.889 --> 00:18:07.529]  Thanks for watching.
[00:18:24.195 --> 00:18:25.076]  It's not my opinion.
[00:18:25.596 --> 00:18:33.120]  It is admitted that iodine is essential for the health of our bodies overall and nascent iodine is the best form.
[00:18:33.580 --> 00:18:41.485]  Now, we're announcing the launch of Infowarslife.com and we're going to bring you scores of products over the next few years that we're researching and developing.
[00:18:41.865 --> 00:18:46.768]  But nascent iodine is the first product we're coming out with because it's so important
[00:18:47.208 --> 00:18:50.730]  And it's also listed as a fluoride detoxer.
[00:18:50.750 --> 00:18:52.531]  It does so many other things.
[00:18:52.911 --> 00:19:00.795]  Your body needs it and when you don't have enough iodine, forget the radiation, your thyroid absorbs the sodium fluoride and other things.
[00:19:01.035 --> 00:19:08.379]  Nascent Iodine, an InfoWars Life survival shield in double strength at half the cost of the leading competitors.
[00:19:08.779 --> 00:19:12.061]  Please visit InfoWarsLife.com today.
[00:19:16.803 --> 00:19:25.073]  Well, tomorrow, Wednesday, October the 16th, there's a special election to replace deceased Senator Frank Lautenberg, who died in office earlier this year.
[00:19:25.694 --> 00:19:29.579]  Now, one of the candidates there, Cory Booker, is the mayor of Newark, New Jersey.
[00:19:29.980 --> 00:19:34.365]  And although he was in the city council for four years and seven years as Newark mayor,
[00:19:35.106 --> 00:19:41.434]  We just learned from Joel Gilbert and Charles Johnson that a lot of people have a question as to whether or not he even lives in Newark.
[00:19:41.735 --> 00:19:42.576]  Welcome, Joel Gilbert.
[00:19:43.177 --> 00:19:45.139]  Tell us about this viral story.
[00:19:45.600 --> 00:19:47.723]  What made you think that he didn't live in Newark?
[00:19:49.124 --> 00:19:50.584]  Well, we had multiple reports.
[00:19:51.325 --> 00:20:06.209]  Charles Johnson, who's an independent investigative journalist here in Los Angeles, and I had been monitoring the election between Cory Booker and Steve Lonegan, and we'd had multiple emails and reports from residents of Newark
[00:20:06.929 --> 00:20:07.169]  Really?
[00:20:30.071 --> 00:20:33.914]  Yeah, and claimed to be rescuing people on the streets.
[00:20:34.594 --> 00:20:43.040]  And then we noticed that his campaign slogan was, quote, Cory Booker does not run away from problems, he runs towards problems.
[00:20:43.900 --> 00:20:47.843]  So it seemed obvious that he was trying to create this narrative.
[00:20:48.183 --> 00:20:49.644]  Maybe he's a New York firefighter.
[00:20:50.745 --> 00:20:52.926]  Well, I don't think so.
[00:20:53.006 --> 00:20:57.950]  I think he's trying to, we thought that he was trying to prop himself up
[00:20:58.925 --> 00:21:00.406]  By overcompensating.
[00:21:00.646 --> 00:21:02.447]  That he's always the man on the spot.
[00:21:02.487 --> 00:21:03.367]  He's always there.
[00:21:03.927 --> 00:21:07.909]  So we decided to go to Newark and talk to people and investigate the truth.
[00:21:07.949 --> 00:21:13.191]  How can this be that this particular mayor saves dogs from freezing on the porch?
[00:21:13.671 --> 00:21:16.252]  He claims to have rescued a woman from a burning building.
[00:21:17.093 --> 00:21:17.793]  And on and on.
[00:21:18.433 --> 00:21:23.956]  So as soon as we hit the streets and started speaking to people, we found out two things.
[00:21:23.996 --> 00:21:26.357]  They all claim that Booker is never there.
[00:21:27.626 --> 00:21:43.964]  and that he simply rides around in the car with the police or with a police scanner and shows up at high-profile events and then claims to somehow be involved in and save the day uh... so this is why we went there and we discovered not only that
[00:21:45.085 --> 00:21:56.029]  Most of these scenes of personal heroism were phony, but that Booker is really never seen in the city, and he does not live at the addresses which he purports to live at.
[00:21:56.409 --> 00:22:00.310]  Yeah, he filed for Senate, and there are six people that filed for Senate.
[00:22:00.350 --> 00:22:01.570]  Now, he used a P.O.
[00:22:01.610 --> 00:22:02.811]  box when he filed for Senate.
[00:22:03.291 --> 00:22:06.212]  Now, one of the other candidates as well used a P.O.
[00:22:06.252 --> 00:22:11.173]  box, but he has two residences that he claims are in Newark, 435 Hawthorne and 19 Longworth.
[00:22:13.294 --> 00:22:15.235]  Did you go to both of those, and what did you find?
[00:22:15.255 --> 00:22:16.395]  That's correct.
[00:22:16.435 --> 00:22:27.338]  He actually had a third as well, which was a crack house, which we went to and was boarded up, and we found that he had recently sold for a dollar and owed back taxes.
[00:22:28.159 --> 00:22:32.580]  The other two residences, the 435 Hawthorne, we went to.
[00:22:33.080 --> 00:22:38.602]  We spoke to several neighbors, including a woman named Tashae Thomas and James Sharp,
[00:22:39.182 --> 00:22:40.763]  And they said, we're here every day.
[00:22:41.264 --> 00:22:43.746]  We saw him one time in 2009.
[00:22:44.166 --> 00:22:45.547]  He does not live here.
[00:22:46.028 --> 00:22:47.949]  He's a liar, quote unquote.
[00:22:49.030 --> 00:22:51.932]  We saw a man in the window and spoke to him.
[00:22:52.293 --> 00:22:54.274]  He said his name was Officer Martinez.
[00:22:55.135 --> 00:22:56.536]  And I asked him if he was a tenant.
[00:22:56.876 --> 00:23:00.359]  He said, no, that he's a security there.
[00:23:01.800 --> 00:23:03.802]  So it was pretty clear that
[00:23:04.711 --> 00:23:07.734]  Uh, Booker was nowhere to be found near that location.
[00:23:08.235 --> 00:23:25.653]  Then we went to 19 Longworth, there's a police car in the driveway, a policeman answers, and as shown on the video that I produced and put out on YouTube and in the Daily Caller, the policeman says that Booker doesn't live there, he hasn't seen him, he doesn't know when he'll be there.
[00:23:26.494 --> 00:23:38.902]  So, in response to this, yesterday the Booker campaign said that Booker moved from Hawthorne to Longworth two weeks ago, which makes no sense.
[00:23:39.062 --> 00:23:43.325]  Number one, why would you plan a move in the middle of a Senate campaign?
[00:23:44.686 --> 00:23:48.388]  The fact that when we were at Longworth, the policemen there
[00:23:49.349 --> 00:23:51.651]  Had not seen him or knew when he was around.
[00:23:52.211 --> 00:23:54.272]  So I think it's a shell game.
[00:23:54.433 --> 00:24:05.580]  He has multiple, he claims multiple residences and keeps 24 hour security at these multiple residences so that the neighbors won't suspect that he's never there.
[00:24:05.620 --> 00:24:08.442]  They just think, well, he must be, you know, at the other house.
[00:24:09.003 --> 00:24:10.384]  So many questions arise.
[00:24:11.264 --> 00:24:14.986]  Why does he have 24-hour security at two separate locations?
[00:24:15.326 --> 00:24:15.907]  Right.
[00:24:16.227 --> 00:24:26.352]  Now one of these people that you talked to said that they were a census taker and that when they went to get information at one of those addresses that they were told that it was a police station.
[00:24:26.412 --> 00:24:27.433]  Which address was that?
[00:24:28.286 --> 00:24:37.393]  At 435 Hawthorne, one of the census workers, Cassandra Dock, said she went and knocked there and was told by the police that it was a police station.
[00:24:37.954 --> 00:24:45.199]  Now, the officer we spoke to there, Martinez, said that Booker did live there.
[00:24:45.219 --> 00:24:46.100]  It was his house.
[00:24:46.860 --> 00:24:50.303]  But then Booker said the next day that he had moved.
[00:24:51.004 --> 00:24:54.727]  So you have to wonder, why was this officer hanging out there
[00:24:55.886 --> 00:24:58.087]  24 hour security if he really had moved.
[00:24:58.567 --> 00:25:11.773]  So we find all of Booker's explanations to be disingenuous and most residents believe that Booker lives in New York City and he's simply using the Newarkans, the residents of Newark,
[00:25:12.613 --> 00:25:13.714]  Yeah.
[00:25:13.974 --> 00:25:22.438]  That's right.
[00:25:24.178 --> 00:25:26.980]  He has a lot of connections to Hollywood.
[00:25:27.020 --> 00:25:31.182]  As a matter of fact, one of the neighbors in that video said we call him Hollywood.
[00:25:31.822 --> 00:25:36.124]  His big supporters are in Hollywood and of course he has very close ties to Obama, who himself
[00:25:36.664 --> 00:25:39.087]  Has some questionable background issues.
[00:25:39.748 --> 00:25:44.333]  And a very changing story in his own personal background.
[00:25:44.453 --> 00:25:46.716]  So we see this again with Cory Booker.
[00:25:46.736 --> 00:25:52.723]  That's very disturbing when we don't know anything about these people that are getting elected to very high office.
[00:25:53.336 --> 00:26:07.365]  Well, that's a phenomenon, a very dangerous phenomenon, that I've chronicled in my film, you know, Dreams from My Real Father, where I showed that Barack Obama's personal and political background are very, very different from what he claimed.
[00:26:07.905 --> 00:26:16.931]  He claimed that his father was a goat herder from Kenya, and he was uniquely qualified with this background to bring people together in compromise.
[00:26:17.731 --> 00:26:19.953]  I showed that his real biological father
[00:26:20.839 --> 00:26:29.849]  Who became his ideological mentor was a Communist Party USA propagandist named Frank Marshall Davis, who was also a Soviet agent.
[00:26:29.989 --> 00:26:35.315]  Now, Obama admits that he was raised by this guy, but claims that it was just a friend of the grandfather.
[00:26:35.876 --> 00:26:40.802]  So we have Cory Booker, almost an Obama clone in some sense.
[00:26:41.903 --> 00:26:43.104]  We don't know where he lives.
[00:26:43.945 --> 00:26:53.937]  He claims all these fantastic stories of saving the day and being Batman and rescuing people from burning buildings, but the media refuses.
[00:26:54.437 --> 00:26:54.957]  Absolutely.
[00:26:55.018 --> 00:26:55.478]  It's gone viral.
[00:26:55.518 --> 00:26:56.199]  It's a big issue.
[00:26:56.259 --> 00:26:58.220]  Well, we're out of time, Joel Gilbert.
[00:26:58.280 --> 00:27:04.966]  Tomorrow is the election, and we'll see, but he certainly does have some connections with Batman, even if it's just his secret identity and his hidden lair, right?
[00:27:20.299 --> 00:27:20.920]  Thank you very much.
[00:27:21.180 --> 00:27:26.384]  I think I found that Cory Booker's potential voters were not motivated.
[00:27:26.424 --> 00:27:28.286]  They all hated him.
[00:27:28.907 --> 00:27:31.849]  And that Lonegan's voters were highly motivated.
[00:27:31.909 --> 00:27:33.030]  So I think it's going to be close.
[00:27:33.070 --> 00:27:33.771]  I think it'll be close.
[00:27:34.111 --> 00:27:34.371]  All right.
[00:27:34.511 --> 00:27:35.112]  Interesting to see.
[00:27:35.132 --> 00:27:35.712]  Thank you very much.
[00:27:35.772 --> 00:27:36.473]  Interesting report.
[00:27:36.893 --> 00:27:37.534]  Thanks for having me.
[00:27:38.175 --> 00:27:41.117]  Well, it'll be interesting to see what happens in that special election tomorrow.
[00:27:41.157 --> 00:27:43.879]  But we already have a powerful politician
[00:27:44.540 --> 00:27:47.602]  Whose background has a lot, a lot of question marks.
[00:27:47.622 --> 00:27:48.843]  We're not allowed to investigate.
[00:27:49.263 --> 00:27:52.225]  But Joel Gilbert did investigate it, as he mentioned in this interview.
[00:27:52.585 --> 00:27:56.248]  Dreams From My Real Father, and that's available at InfoWarsStore.com.
[00:27:56.928 --> 00:28:01.291]  It goes into Obama's background, and it is something that you ought to be concerned about.
[00:28:01.311 --> 00:28:08.896]  When we have people elected to the highest offices in the land, and we know nothing about them, that's a very frightening prospect.
[00:28:09.456 --> 00:28:11.618]  That's not transparent government like we need to see.
[00:28:12.338 --> 00:28:13.138]  Well, that's it for tonight.
[00:28:13.158 --> 00:28:15.939]  We'll be back tomorrow at 7 Central, 8 p.m.
[00:28:16.140 --> 00:28:16.520]  Eastern.
[00:28:17.860 --> 00:28:20.701]  Stay tuned after the news for more special reports.
[00:28:22.482 --> 00:28:27.764]  Now you can watch the Alex Jones Show live as it happens at InfoWars.com slash show.
[00:28:28.104 --> 00:28:33.166]  You'll find links to all of our content there and a free 15-day trial for Prison Planet TV.
[00:28:33.646 --> 00:28:39.429]  More than 60 movies and documentaries all in one place at InfoWars.com slash show.
[00:28:58.343 --> 00:29:02.464]  Can I ask you what I was doing wrong?
[00:29:04.004 --> 00:29:08.005]  So you can just stop anybody in the world for rudely displaying a gun?
[00:29:08.025 --> 00:29:08.365]  Yes.
[00:29:08.725 --> 00:29:10.266]  How am I rudely displaying a gun?
[00:29:10.326 --> 00:29:10.886]  I'm walking!
[00:29:11.486 --> 00:29:12.626]  My name is Jonathan Garcia.
[00:29:12.666 --> 00:29:17.387]  I'm with Open Carry Texas and I'm out here today to show my support for Master Sergeant C.J.
[00:29:17.427 --> 00:29:17.807]  Grisham.
[00:29:18.067 --> 00:29:22.968]  The Master Sergeant who was unlawfully arrested and disarmed over in Temple.
[00:29:23.528 --> 00:29:24.709]  His trial starts today.
[00:29:24.729 --> 00:29:26.589]  How are you feeling about the proceedings so far?
[00:29:27.267 --> 00:29:29.869]  Well, it's all been procedural right now, just picking a jury.
[00:29:31.370 --> 00:29:34.593]  Again, I don't think I have anything to worry about.
[00:29:34.633 --> 00:29:40.278]  The facts are on my side and the case is going to unfold that way and I'm going to walk out of here
[00:29:40.976 --> 00:29:44.317]  A free man that I can begin to hold the people accountable that put me through all this.
[00:29:44.657 --> 00:29:49.059]  I think it was more than half.
[00:29:49.199 --> 00:29:56.001]  I think it was like 80% of the people stood up and said they were familiar with the case.
[00:29:56.641 --> 00:29:57.862]  You know, it's hard to tell.
