[00:00:03.578 --> 00:00:04.138]  Will you fight?
[00:09:55.595 --> 00:09:56.295]  Undoubtedly.
[00:09:57.196 --> 00:10:05.021]  Specifically, with all the paramilitary buildup, the arms race going on domestically, what do you think the feds are planning?
[00:10:05.041 --> 00:10:06.362]  What do you think they're preparing for, Dr. Paul?
[00:10:07.642 --> 00:10:13.525]  Well, I think they prepare for everything, and they themselves, you know, go with the flow.
[00:10:13.545 --> 00:10:16.426]  They don't know exactly what will happen, but they're prepared.
[00:10:18.427 --> 00:10:23.510]  They don't know that in two months from now there's riots in the street, but they know that there could be.
[00:10:23.530 --> 00:10:25.891]  And the same way with the monetary system.
[00:10:27.091 --> 00:10:34.675]  They argue academically that, oh yes, it's okay to print money and debt doesn't matter, you know, the Paul Krugman argument.
[00:10:35.155 --> 00:11:02.814]  I think they know exactly what can happen the consequence that we warn about and try to prepare for So they make their preparations like I think you mentioned in your introduction about what what they do at the international level under the UN and the IMF and the You know these group of 20 and all they do plan So we we know what would be the answer that is sound money and honest money and have a commodity money They want to maintain their power.
[00:11:02.874 --> 00:11:04.475]  So they're laying their plans to
[00:11:05.275 --> 00:11:08.379]  But I don't think they know the day they're going to use it.
[00:11:08.439 --> 00:11:15.066]  They plan for all contingencies because the action of human beings are not predictable.
[00:11:15.627 --> 00:11:21.613]  But when certain events come about, they're laying their plans in their network.
[00:11:22.895 --> 00:11:24.757]  And it's really scary when you think about
[00:11:25.497 --> 00:11:45.303]  The drone thing should, you know, wake up everybody on what they can do, how much surveillance, how many weapons can they carry when they pretend that they can target any one individual thousands of miles away from the United States with people who maneuver those things even here.
[00:11:45.684 --> 00:11:52.926]  What can they do if they decide, well, we're going after this drug dealer, we're going after this guy that owns an illegal weapon, who knows what?
[00:11:53.526 --> 00:12:08.413]  And what we do know is, in spite of their fantastic, you know, ability, you know, the advancement in these weapons, we do know that they make a lot of mistakes, there's a lot of collateral damage, and they just write it off.
[00:12:09.113 --> 00:12:20.298]  And so I would expect that the people in charge know that there's trouble ahead, and they're laying their plans to react in any way they think necessary.
[00:12:20.859 --> 00:12:37.237]  Undoubtedly, and I want you to break this down in your own words, but you've spoken to it before, but I marvel, we've had big government, we've had tyrannies before around the world, but the socialist collectivist class, funded by the big special interests that want a monopoly, obviously, of power,
[00:12:38.098 --> 00:12:51.344]  To write health care, of course you know about this being a retired medical doctor, but my dad's a dentist, oral surgeon, he's also in medical management, and he said to me, he said, son, I knew it when I read the bill, but he's watching it happen.
[00:12:52.024 --> 00:13:00.547]  Making people, raising payroll taxes on poor people, taxes on investments, doubling premiums this year.
[00:13:00.827 --> 00:13:04.669]  I mean, this is designed to kill the American economy that's competing with China.
[00:13:04.989 --> 00:13:06.670]  Obama shutting down the power plants.
[00:13:07.430 --> 00:13:13.617]  They are clearly trying to shut down the economy so that everybody goes on welfare and basically bankrupts.
[00:13:13.657 --> 00:13:15.138]  This is an economic takeover.
[00:13:15.158 --> 00:13:17.361]  Do you agree with that or can you speak to that?
[00:13:18.328 --> 00:13:18.969]  Absolutely.
[00:13:19.029 --> 00:13:27.396]  Now, I don't know if I have an absolute insight on all the motivations, because there's a mixture up there.
[00:13:27.756 --> 00:13:32.400]  I mean, there are evil people who have evil motives and they want to do exactly what's happening.
[00:13:32.440 --> 00:13:37.805]  There are others, though, who are intellectually totally bankrupt and actually believe this stuff.
[00:13:38.125 --> 00:13:43.770]  You know, I think Paul Krugman doesn't sit down and conspire to blow up the world financially.
[00:13:43.790 --> 00:13:45.332]  I think he sits down and
[00:13:45.792 --> 00:13:51.754]  He is dedicated to proving his philosophy on money and credit are the correct ones.
[00:13:52.074 --> 00:13:54.956]  And then there's a lot of other people who are very gullible out there.
[00:13:55.016 --> 00:13:57.697]  You know, how many people... Did Obama lose the election?
[00:13:57.737 --> 00:14:01.598]  No, I mean... Sure, but I mean, Obama said he was going to give poor people free stuff.
[00:14:01.878 --> 00:14:03.319]  He's literally raping them.
[00:14:05.529 --> 00:14:07.710]  The people are naive enough to believe that.
[00:14:07.730 --> 00:14:11.151]  So you put all that together, and you end up with this calamity.
[00:14:12.131 --> 00:14:28.636]  Because they do not deal with the world as we would like to deal with it, and that is concentrating on individuals who have a right to their own life, have a right to keep the fruits of their labor, have property rights and contract rights, and sound money, and get the government out of our way.
[00:14:28.696 --> 00:14:29.697]  So they don't work on that.
[00:14:29.977 --> 00:14:31.357]  They work on the opposite.
[00:14:32.337 --> 00:14:33.838]  Sure, but Dr. Paul, here's my question.
[00:14:35.418 --> 00:14:36.259]  We're good to go.
[00:15:02.170 --> 00:15:03.711]  Sure, I want to get into the Second Amendment.
[00:15:03.731 --> 00:15:08.235]  I don't know if you've seen this, it broke Friday, but you're always on to the news I bring up.
[00:15:09.016 --> 00:15:19.686]  Summary of Select Firearms Violence Prevention Strategies for the White House by the Department of Justice actually says basically just outlaw almost all guns and make people turn them in.
[00:15:21.127 --> 00:15:24.370]  If they try to take the guns, Congressman, are they trying to start a civil war?
[00:15:24.790 --> 00:15:28.893]  You know, that once again is trying to interpret everything that they're thinking and they're planning.
[00:15:29.354 --> 00:15:36.319]  They're liable to start a civil war by doing it, and for whatever reason they are, but they don't believe that people should have guns.
[00:15:36.339 --> 00:15:41.964]  They believe the government should have guns, and they believe this very sincerely as a philosophy.
[00:15:42.805 --> 00:15:46.788]  So yes, whether that's exactly what they want,
[00:15:47.429 --> 00:16:00.885]  Uh, it's hard to say, but I know one thing is that they don't want the people to have the guns, but you know, I don't, it's one thing, I think a lot about these problems, but I just don't think that the people are going to give up their guns.
[00:16:03.427 --> 00:16:06.490]  You prepare by purchasing gold, food, and firearms.
[00:16:06.850 --> 00:16:12.296]  But if you don't have a home security system, then you're missing a critical weapon in your arsenal for home protection.
[00:16:12.896 --> 00:16:16.099]  When you're sleeping or away from home, who's watching out for intruders?
[00:16:16.780 --> 00:16:18.041]  Check out SimpliSafe.
[00:16:18.361 --> 00:16:22.225]  It's a new do-it-yourself home security system that is completely wireless.
[00:16:22.826 --> 00:16:24.868]  Go to GetSimpliSafe.com.
[00:16:25.515 --> 00:16:27.897]  SimpliSafe is independent and off the grid.
[00:16:28.257 --> 00:16:32.040]  It runs on battery power, so even if the grid goes down, you're protected.
[00:16:32.620 --> 00:16:38.765]  It's completely customizable, so you can use it in your home, business, boat, trailer, storage unit, or shed.
[00:16:39.285 --> 00:16:40.886]  Get SimpliSafe.com.
[00:16:41.607 --> 00:16:48.432]  SimpliSafe is also ridiculously easy to install yourself in under 20 minutes, so there's no need to let a stranger into your home.
[00:16:48.992 --> 00:16:52.575]  If you move or need to relocate, you can take the system with you wherever you go.
[00:16:53.056 --> 00:16:59.521]  You aren't always at home, but SimpliSafe will stand guard, protecting your property 24 hours a day, 7 days a week.
[00:17:00.082 --> 00:17:02.244]  Again, that's GetSimpliSafe.com
[00:17:03.442 --> 00:17:04.463]  I had tried everything.
[00:17:04.523 --> 00:17:09.568]  I'd cut back the amount of food I was eating, I was lifting weights and jogging, but nothing was working.
[00:17:10.008 --> 00:17:14.472]  My body was literally starving for minerals and trace elements as well as key vitamins.
[00:17:14.833 --> 00:17:21.199]  And as soon as I had that, I immediately could eat half of what I was eating previously and be satisfied.
[00:17:21.679 --> 00:17:32.162]  Now, there are hundreds of great products at Infowarsteam.com, but I want to point out the three that have helped me lose 37 pounds in just two months.
[00:17:32.902 --> 00:17:37.044]  Products like Beyond Tangy Tangerine, Pollen Burst, and Rebound.
[00:17:37.384 --> 00:17:43.406]  When I started taking the Tangy Tangerine and other products every day, I lost more than 37 pounds in just two months.
[00:17:43.626 --> 00:17:44.786]  Now, that's results.
[00:17:45.186 --> 00:17:51.629]  I want to challenge my listeners to go to Infowarsteam.com and to order just three of their products.
[00:17:51.989 --> 00:17:57.191]  And you will see the changes in the way you look, feel, and in your appetite almost immediately.
[00:17:57.712 --> 00:17:59.953]  Start your journey to health and wellness today.
[00:18:00.253 --> 00:18:01.953]  Infowarsteam.com.
[00:18:03.634 --> 00:18:09.457]  Now that we have moved into the winter season, there is an increased need to support our immunity and health.
[00:18:10.382 --> 00:18:16.266]  At Silverlungs, we are committed to meeting your needs by providing a full selection of silver-based products.
[00:18:17.126 --> 00:18:27.212]  Our most popular silver-based products are the 32-ounce Nano Silver Solutions, our 2-ounce Nano Silver Nasal Applicators, as well as our all-natural silver soaps.
[00:18:28.093 --> 00:18:31.395]  Just released is our 100% natural silver gel.
[00:18:32.215 --> 00:18:38.419]  Our new silver gel is not based on synthetic gelling agents, which quickly evaporate and leave the silver at the surface.
[00:18:39.139 --> 00:18:49.570]  But rather we have formulated our silver gel using the natural skin nourishing chemistry of aloe vera to quickly penetrate and nourish the skin while delivering the silver more effectively.
[00:18:50.391 --> 00:18:58.119]  Visit www.silverlungs.com and click on our store page to find what silver based products are best for you.
[00:18:59.180 --> 00:19:02.103]  That's www.silverlungs.com
[00:19:03.208 --> 00:19:04.529]  Your freedoms are on the line.
[00:19:04.769 --> 00:19:06.370]  The Second Amendment is in danger.
[00:19:06.570 --> 00:19:08.651]  How soon before your freedoms are taken away?
[00:19:08.911 --> 00:19:10.452]  What can you not live without?
[00:19:10.632 --> 00:19:12.073]  What is your greatest dependency?
[00:19:12.333 --> 00:19:13.053]  Is it your guns?
[00:19:13.333 --> 00:19:13.954]  Is it your home?
[00:19:14.274 --> 00:19:15.394]  No, it's food.
[00:19:15.695 --> 00:19:17.576]  It all boils down to the food supply.
[00:19:17.816 --> 00:19:21.097]  Tyrannical governments control people by controlling their food supply.
[00:19:21.317 --> 00:19:22.378]  Don't be dependent.
[00:19:22.558 --> 00:19:23.499]  Be self-sufficient.
[00:19:23.639 --> 00:19:25.219]  Don't wait for the government to feed you.
[00:19:25.300 --> 00:19:25.960]  Feed yourself.
[00:19:26.400 --> 00:19:28.501]  I can warn you, but I can't feed you.
[00:19:28.621 --> 00:19:31.964]  Do like Alex has done and get a supply of food from eFoodsDirect.
[00:19:32.184 --> 00:19:34.805]  It's the best long-term storable food on the planet.
[00:19:34.925 --> 00:19:37.047]  Get the popular Mega Patriot Pack free.
[00:19:37.287 --> 00:19:40.729]  A 24-day supply of food plus stove, cook pot, and fuel.
[00:19:40.909 --> 00:19:49.674]  Call 800-409-5633 or go to eFoodsDirect.com slash Alex and get up to 20 Mega Patriot Packs free with purchase.
[00:19:49.895 --> 00:19:54.117]  Build your food supply, be in control, be self-sufficient, and be a patriot.
[00:19:55.578 --> 00:19:56.218]  We're good to go.
[00:20:18.433 --> 00:20:22.454]  You are listening to an InfoWars.com Frontline Report.
[00:20:22.835 --> 00:20:26.796]  If you are receiving this transmission, you are the resistance.
[00:20:34.339 --> 00:20:42.862]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:20:44.969 --> 00:20:47.750]  Ladies and gentlemen, we have breaking news.
[00:20:47.810 --> 00:20:48.571]  We have the clip.
[00:20:48.591 --> 00:20:50.332]  It's coming up with Michael Savage.
[00:20:50.472 --> 00:20:54.373]  Obama saying again, you don't do things alone in America.
[00:20:54.714 --> 00:20:55.994]  That's how our system works.
[00:20:56.054 --> 00:20:56.895]  You didn't build that.
[00:20:56.935 --> 00:20:59.856]  A new clip live on CNN 25 minutes ago.
[00:20:59.876 --> 00:21:02.257]  I was just telling Michael Savage about it during the break.
[00:21:02.277 --> 00:21:03.098]  He's like, you're kidding.
[00:21:03.358 --> 00:21:03.998]  He did it again.
[00:21:04.018 --> 00:21:05.759]  Yes, we're going to be playing that clip.
[00:21:05.779 --> 00:21:07.640]  But the reason I wanted to get Michael Savage on
[00:21:08.200 --> 00:21:09.662]  This is a time for war.
[00:21:09.782 --> 00:21:16.288]  Michael Savage, many number one New York Times bestsellers, 30-something books, multiple doctorates.
[00:21:16.328 --> 00:21:17.729]  I'm not going to go over his whole bio.
[00:21:18.090 --> 00:21:22.314]  Most of you know who he is in the talk radio world or you're hiding under a rock somewhere.
[00:21:22.834 --> 00:21:24.796]  But he also writes for WorldNet Daily.
[00:21:25.257 --> 00:21:26.418]  They are censoring this.
[00:21:26.458 --> 00:21:28.340]  And you know, this is a big subject I've talked about.
[00:21:28.900 --> 00:21:30.542]  You notice that Red Dawn
[00:21:31.772 --> 00:21:31.952]  What's
[00:22:02.433 --> 00:22:09.278]  Arguably the number two, number one talk show host in the country doesn't usually do this because I listen to the show and have followed it to sell books.
[00:22:09.739 --> 00:22:15.243]  This is in a news blackout because across the board China owns our fraudulent debt.
[00:22:15.644 --> 00:22:17.345]  China has thousands of front companies.
[00:22:17.826 --> 00:22:20.668]  Al Gore's on the board of Apple with Foxconn and the suicide nets.
[00:22:21.128 --> 00:22:22.490]  They are the liberal tyrants.
[00:22:23.070 --> 00:22:24.830]  And they are the new globalist muscle.
[00:22:24.890 --> 00:22:28.351]  Michael Savage joins us with this breaking news.
[00:22:28.411 --> 00:22:32.552]  And Michael, it is so exciting to get you on the broadcast.
[00:22:33.552 --> 00:22:38.233]  Well, it's always good to be on, especially someone who kicked the limeys behind on air.
[00:22:38.813 --> 00:22:45.115]  As you well know, you know what I think of the spineless side of the Brits.
[00:22:45.455 --> 00:22:51.436]  I was always an Anglo-phile until this thing came along where this slime, the socialist slime,
[00:22:52.302 --> 00:22:58.265]  Slanted me and said I said things I didn't say and I'm the only American broadcaster, Alex, not allowed to enter Britain.
[00:22:58.285 --> 00:23:08.069]  I'm on a list with murderers and terrorists and nobody in the media with the exception of Alex Jones right now dares even talk about how is that possible?
[00:23:08.610 --> 00:23:11.131]  Why is my State Department not lobbying on my behalf?
[00:23:11.846 --> 00:23:13.527]  But let's not go into the England thing.
[00:23:13.907 --> 00:23:15.028]  It's great to be on your show.
[00:23:15.268 --> 00:23:17.310]  It's great to have you here, as long as we can keep you.
[00:23:17.330 --> 00:23:19.191]  I know you've got your own show coming up tonight.
[00:23:19.471 --> 00:23:25.175]  Let's first plug that, because you now are on Cumulus and exploding across the country.
[00:23:25.796 --> 00:23:26.737]  Well, that's pretty good.
[00:23:26.897 --> 00:23:30.339]  Number one, they're the best company in the business, and I'm not just saying it because I work with them.
[00:23:30.379 --> 00:23:32.560]  They are the best company in the business, number one.
[00:23:32.600 --> 00:23:35.242]  Number two, I'm on the best stations in the country.
[00:23:35.282 --> 00:23:40.625]  For example, Alex, I finally got on in New York City on WABC, nine o'clock at night.
[00:23:40.805 --> 00:23:41.626]  Now, what happened?
[00:23:42.006 --> 00:23:43.107]  Michael Savage, who's he?
[00:23:43.787 --> 00:23:48.451]  I exploded within two months to number one amongst younger listeners, mainly males.
[00:23:48.691 --> 00:23:52.614]  I mean, women, as you well know, are not a big listenership in talk radio in general.
[00:23:52.674 --> 00:23:55.996]  I always joke, I say I have eight listeners, eight women listeners across the country.
[00:23:56.017 --> 00:23:58.238]  Yeah, they're busy not having kids as the whole West dies.
[00:23:58.598 --> 00:24:02.902]  Well, the men listen, but here's the question, Alex, because you have a younger demo and guys mainly.
[00:24:03.622 --> 00:24:04.763]  Why are they listening to you?
[00:24:04.823 --> 00:24:08.046]  Why did they find Michael Savage, an older guy, on WABC?
[00:24:08.426 --> 00:24:16.953]  I beat other talk stations, I beat all news stations, I beat... Because young people are looking for men role models in the age of crucifying John Wayne.
[00:24:17.254 --> 00:24:22.158]  They understand they're having their testicles chopped off and they want to fight back and have a future.
[00:24:22.498 --> 00:24:25.800]  Well, first they have their testicles cut off chemically.
[00:24:26.280 --> 00:24:28.701]  They're chemicalized to destroy their masculinity.
[00:24:28.721 --> 00:24:29.122]  That's right.
[00:24:29.262 --> 00:24:34.825]  And if they survive the chemical castration, the next thing is the educational castration.
[00:24:35.325 --> 00:24:39.787]  If they survive the chemical and educational castration, I mean, what's left for them?
[00:24:39.807 --> 00:24:41.408]  They don't know which way to turn in this country.
[00:24:42.509 --> 00:24:44.470]  You know, Alex, last week I started my show
[00:24:45.197 --> 00:24:48.360]  By saying, I saw a Kung Fu movie when I was out on vacation last week.
[00:24:48.380 --> 00:24:49.681]  I was watching a lot of television.
[00:24:50.222 --> 00:24:58.050]  And there was a picture of a Kung Fu academy in China, with thousands of young Chinese being taught by a really tough, mean Kung Fu teacher.
[00:24:58.070 --> 00:25:01.453]  And he's saying to them, no weakness, no pain, no mercy.
[00:25:02.367 --> 00:25:03.927]  And he says, what do we learn here?
[00:25:03.967 --> 00:25:09.189]  And the Chinese scream back in Chinese, no weakness, no pain, no mercy.
[00:25:09.249 --> 00:25:11.369]  And I say, look at my sad sack country.
[00:25:11.750 --> 00:25:17.471]  We have a government and an educational establishment teaching our children to say, I'm weak.
[00:25:18.031 --> 00:25:18.651]  I'm in pain.
[00:25:18.691 --> 00:25:19.132]  This hurts.
[00:25:19.192 --> 00:25:19.692]  That hurts.
[00:25:20.152 --> 00:25:21.572]  I need the government to help me.
[00:25:22.232 --> 00:25:24.873]  Now, who wins this battle in the long run, Alex?
[00:25:25.153 --> 00:25:27.534]  That doesn't take a genius to figure out what's happening, does it?
[00:25:27.814 --> 00:25:27.954]  No.
[00:25:29.321 --> 00:25:30.402]  Okay, so that's where we're at.
[00:25:30.842 --> 00:25:35.206]  So, now we know that China has lobbied very effectively in Hollywood.
[00:25:35.746 --> 00:25:39.749]  The Hollywood sewer pipe, as I've called it affectionately for 20 years now.
[00:25:40.170 --> 00:25:45.975]  The Hollywood sewer pipe is controlled by many different factors, but the number one factor is money.
