[00:00:19.398 --> 00:00:20.739]  It's Tuesday, September 10th.
[00:06:14.713 --> 00:06:26.883]  But judging by some of the testimony today out of John Kerry and Harry Reid, you know, Obama could just still stick the proverbial middle finger up to both Russia and Congress and go ahead with the attack anyway.
[00:06:26.903 --> 00:06:37.112]  I mean, their insanity has come this far, why not push it over the edge with maybe the aid of another convenient chemical weapons incident
[00:06:37.930 --> 00:06:45.201]  It's all still very much a possibility that they could ignore Congress, they could ignore this whole Russian proposal and go ahead with the attack.
[00:06:45.682 --> 00:06:48.185]  Anyway, moving on to other news now.
[00:06:49.184 --> 00:06:51.565]  Global warming computer models collapse.
[00:06:51.885 --> 00:06:56.788]  Arctic ice sheets rapidly expand as planet plunges into global cooling.
[00:06:57.388 --> 00:06:59.189]  This is Mike Adams, NaturalNews.com.
[00:06:59.629 --> 00:07:13.716]  For years we've all heard that global warming is threatening our planet, but now in a stunning turnaround, world scientists are warning that an era of global cooling seems to be upon us, complete with extraordinary expansions of ocean ice being recorded in just the past year.
[00:07:15.040 --> 00:07:21.343]  It turns out that global warming predictions were little more than doom-and-gloom fear-mongering based on failed computer models.
[00:07:22.304 --> 00:07:32.909]  And in this article Adams highlights mainstream media reports from 2007 out of BBC News which said that the Arctic would be, quote, ice-free by the summer of 2013.
[00:07:33.009 --> 00:07:36.111]  What actually happened?
[00:07:36.531 --> 00:07:39.093]  Well, last summer, since last summer,
[00:07:39.833 --> 00:07:46.916]  We've seen over 1 million square miles of new sea ice formed in the Arctic.
[00:07:47.276 --> 00:07:48.176]  It's an increase of 60%.
[00:07:49.237 --> 00:07:53.639]  And you can see that from the satellite imagery in this article.
[00:07:54.259 --> 00:07:57.820]  So, again, man-made global warming has been discredited.
[00:07:58.381 --> 00:08:02.963]  Overpopulation fearmongering has been discredited, but they're still kind of failing forward.
[00:08:03.383 --> 00:08:08.365]  They're still pushing it, which leads on to our next story out of the Daily Mail.
[00:08:09.165 --> 00:08:17.151]  It's irresponsible to have big families, Sir David Attenborough warns overpopulation could mean the end for human evolution.
[00:08:17.731 --> 00:08:23.736]  Sir David Attenborough has suggested it is irresponsible to have a large family in today's overcrowded world.
[00:08:24.276 --> 00:08:37.245]  He even appeared, bearing in mind he's got two children, to voice support for China's brutal one-child policy, saying the country had recognized it would have too many mouths to feed if it did not impose restrictions on family size.
[00:08:38.246 --> 00:08:39.908]  Okay, so we've got three points here.
[00:08:40.609 --> 00:08:50.419]  One, China's population boom was caused by Chairman Mao telling females to be warrior moms and have ten kids for the communist military machine.
[00:08:50.819 --> 00:08:54.323]  It was an artificially created problem in the first place.
[00:08:54.883 --> 00:08:59.308]  And the fact that Attenborough is advocating a policy which, as we've reported,
[00:08:59.988 --> 00:09:00.528]  I think?
[00:09:17.549 --> 00:09:22.934]  But two, the UN's own population figures show that global population peaks at 9 billion in about 2050.
[00:09:23.474 --> 00:09:34.544]  It crashes after that, and in fact the future problem that we're going to face is rapid depopulation, which is why countries like Russia are begging their citizens to have children.
[00:09:35.064 --> 00:09:35.845]  And three, you know,
[00:09:37.063 --> 00:09:45.310]  Even if you believe this propaganda, why is Attenborough and the like lecturing Westerners about not having kids?
[00:09:46.311 --> 00:09:50.955]  Indigenous Western populations are having less children than ever before.
[00:09:51.676 --> 00:09:55.158]  I was at a wildlife park a couple of weeks ago now.
[00:09:55.839 --> 00:10:19.660]  Watching a cheater display and they were talking about how they, as an organisation, as a business for protecting endangered species, were working with Attenborough and the Optimum Population Trust, of which he is a patron, to brainwash British kids into not having children of their own in order to save the cheaters.
[00:10:20.529 --> 00:10:25.133]  Now, how many wild cheaters are there in Britain to save?
[00:10:25.733 --> 00:10:26.294]  Zero.
[00:10:27.074 --> 00:10:33.840]  So why are they brainwashing British children to not have kids when it has absolutely nothing to do with it?
[00:10:34.690 --> 00:10:38.211]  You know, are British kids chopping down rainforests in South America?
[00:10:38.971 --> 00:10:42.032]  Are they destroying the habitats of pandas in China?
[00:10:42.692 --> 00:10:50.775]  No, that's the work of giant corporations tied in with governments who are often also allied to these phony environmental organizations.
[00:10:52.085 --> 00:10:53.487]  So, they blame us.
[00:10:53.947 --> 00:10:58.792]  Just like global warming, overpopulation is a form of neo-eugenics.
[00:10:59.152 --> 00:11:04.618]  The solutions that they offer have nothing to do with saving the cheetahs, or saving the Earth.
[00:11:05.499 --> 00:11:14.268]  It's everything to do with lowering our living standards, taking away our freedom, and ushering in their pre-planned, planned-opolis agenda.
[00:11:15.169 --> 00:11:24.694]  Of the post-industrial revolution, which they've talked about on many occasions, and overpopulation, fear-mongering is another key integral part of that agenda.
[00:11:26.195 --> 00:11:31.418]  Moving on now, CNS News reports, Obamacare regulations are eight times longer than the Bible.
[00:11:32.038 --> 00:11:42.784]  Obamacare regulations add up to 10,516 pages in the Federal Register, or more than eight times as many pages as there are in the Gutenberg Bible.
[00:11:43.683 --> 00:11:54.730]  And it says that the final Obamacare regulations published so far amount to approximately, get this, 10,516,000 words.
[00:11:55.511 --> 00:11:58.392]  So again, this is coming to the forefront.
[00:11:58.412 --> 00:12:03.656]  We've got Senators Ted Cruz and Rand Paul, of course, leading the charge to defund Obamacare.
[00:12:04.196 --> 00:12:07.518]  But again, the establishment Republicans have refused to join them.
[00:12:08.059 --> 00:12:18.046]  And even though people like Boehner and Cantor are offering tacit support, they're being booed off the stage at events because their actions just have no teeth.
[00:12:18.126 --> 00:12:19.167]  They're designed to fail.
[00:12:20.148 --> 00:12:41.945]  And this is the part of, it's all about conservatives slowly coming to the realization that they need to get these rhinos out of office, these Republican in name only, get more people in like Rand Paul and Justin Amash before we even begin to see anything other than a one-party monopoly which continually, whether it be war,
[00:12:42.685 --> 00:12:53.577]  You know, Obamacare, taxes, global warming legislation, continually closes ranks on the key issues while posing as being two competing factions.
[00:12:54.618 --> 00:13:01.125]  And finally, would you volunteer to go to Mars if it meant never returning to the Earth?
[00:13:02.028 --> 00:13:04.590]  Well, that's what a Dutch company is offering.
[00:13:04.790 --> 00:13:18.159]  Bas Lansdorp, a Dutch engineer and entrepreneur, plans to establish a permanent base on Mars in a mission he hopes will take off in 2022, if he can find the necessary $6.49 billion.
[00:13:18.299 --> 00:13:31.528]  One in four of the 202,000 applicants for the one-way trip are Americans, says Mars One, a non-profit group which initiated the hunt for would-be Mars settlers back in April.
[00:13:32.248 --> 00:13:41.712]  If they survive the trip, the human Martians will have to deal with temperatures of minus 55 degrees Celsius in a desert-like atmosphere that consists mainly of carbon dioxide.
[00:13:42.732 --> 00:13:52.596]  They will also have to be consent to being observed back on Earth full-time as stars of a reality TV show that would help cover expenses.
[00:13:53.216 --> 00:13:56.598]  And it's a fascinating philosophical conundrum, isn't it?
[00:13:57.158 --> 00:13:58.999]  Would you swap your entire life
[00:13:59.679 --> 00:14:06.221]  Your home planet, even, to become one of the first humans on Mars and take your place in history.
[00:14:06.741 --> 00:14:17.224]  While the crazier things get here on Earth, with World War III still looming in our future, I can definitely see why it would appeal to some.
[00:14:17.244 --> 00:14:27.847]  And we're going to go to a report by Dan Bidondi on the anniversary of 9-11, which of course is coming up tomorrow, and a special event related to that.
[00:14:27.907 --> 00:14:28.807]  Here's Dan Bidondi.
[00:14:32.995 --> 00:14:37.336]  Hi, Dan Badandi here and tomorrow is 9-11 and this is a special news bulletin.
[00:14:37.416 --> 00:14:40.077]  Can we see a possible false flag attack?
[00:14:40.617 --> 00:14:50.159]  We have Senator Lindsey Graham warning everybody in the South Carolina area about the possible nuclear strike and they tie it right into this scenario as we have U.S.
[00:14:50.379 --> 00:14:52.980]  prepares to move troops into the Middle East.
[00:14:53.706 --> 00:14:54.867]  And they're preparing for war.
[00:14:55.527 --> 00:14:57.047]  And that was an article by Kurt Nimmo.
[00:14:57.628 --> 00:14:59.749]  And, you know, we see all this coming to play.
[00:14:59.789 --> 00:15:00.689]  Now we see the U.S.
[00:15:00.729 --> 00:15:04.310]  Marines, they're moving closer to Libya as 9-11 anniversary approaches.
[00:15:04.711 --> 00:15:07.252]  And they keep warning us, 9-11, 9-11, 9-11.
[00:15:07.292 --> 00:15:08.292]  Look what happened last year.
[00:15:08.332 --> 00:15:08.952]  We had Libya.
[00:15:09.513 --> 00:15:12.214]  And how many false flags have we had in the past 10 years alone?
[00:15:12.854 --> 00:15:15.455]  And, again, can we see a big false flag tomorrow, folks?
[00:15:15.535 --> 00:15:17.336]  I mean, I hope and pray to God I'm wrong.
[00:15:17.716 --> 00:15:22.618]  But, you know, they might stage another false flag just to get public support to go into Libya.
[00:15:23.218 --> 00:15:29.621]  Now, however, I'm welcoming anybody in the Northeast area, that's New England area, to join me tomorrow at 1 p.m.
[00:15:29.741 --> 00:15:30.121]  Eastern.
[00:15:30.481 --> 00:15:35.844]  I'm hosting the biggest 9-11 in Fort Flag Awareness Rally in New England.
[00:15:36.323 --> 00:15:37.504]  And it's got to be 1 p.m.
[00:15:37.584 --> 00:15:41.368]  in front of the Statehouse in Providence, Rhode Island, right in front of Kennedy Plaza.
[00:15:41.388 --> 00:15:44.251]  So anybody's welcome to come, bring signs, bring whatever you want.
[00:15:44.691 --> 00:15:46.853]  Just bring yourself mainly, come out and support it.
[00:15:46.893 --> 00:15:49.956]  We got over 100 people so far confirmed coming.
[00:15:50.517 --> 00:15:53.440]  And for event information, go to truthradioshow.com.
[00:15:55.061 --> 00:15:58.403]  Then click on the 9-11 Awareness Rally event banner.
[00:15:58.603 --> 00:16:00.425]  Again, truthradioshow.com.
[00:16:00.765 --> 00:16:01.785]  And come out and join us.
[00:16:01.966 --> 00:16:05.948]  And our goal is to get the public aware of false flags.
[00:16:05.988 --> 00:16:12.833]  Not just 9-11, but we're focused on 9-11 because it is 9-11, but Benghazi, about past false flag events.
[00:16:13.013 --> 00:16:22.259]  And we need to get public aware of this because we can see another false flag unfold as we've seen in the recent past with the chemical warfares in Syria.
[00:16:22.919 --> 00:16:23.659]  And, you know, we got
[00:16:24.760 --> 00:16:30.887]  Obama and John McCain and all these globalists are hell-bent on going to Libya.
[00:16:32.069 --> 00:16:36.674]  And so we need to make the public aware about false flags and we need to put a stop to this.
[00:16:36.714 --> 00:16:38.696]  Again, it's truthradioshow.com.
[00:16:39.077 --> 00:16:41.119]  Click on the 9-11 Truth Awareness event.
[00:16:41.499 --> 00:16:42.781]  And this is Dan Bodondi reporting.
[00:16:46.533 --> 00:16:57.441]  That's going to wrap it up for the news, but stay tuned because after the break, David Knight talks to filmmaker Telly Blackwood about having his channel reinstated on YouTube.
[00:16:57.501 --> 00:16:59.542]  This is Infowars Nightly News.
[00:16:59.582 --> 00:17:00.183]  Don't go away.
[00:17:24.502 --> 00:17:27.466]  Jakari Jackson here, and I want to talk to you for a second about water.
[00:17:28.107 --> 00:17:35.516]  You know about Pro-Pure, our flagship water purification system, but check out some of our portable water filter products at InfowarsStore.com.
[00:17:36.077 --> 00:17:37.759]  The Clearly Filtered Water Pitcher.
[00:17:38.520 --> 00:17:42.605]  Also, for those of you on the go, we have the Athlete Edition Filtered Water Bottle.
[00:17:43.426 --> 00:17:44.607]  And the R.A.D.
[00:17:44.687 --> 00:17:47.930]  Eliminator Pro-Filtered Sports Bottle that removes radiation.
[00:17:48.410 --> 00:17:51.332]  And keep in mind we have replacement filters for all of these products.
[00:17:51.973 --> 00:17:54.995]  The ever-popular grab-and-go bag favorite, the LifeStraw.
[00:17:55.595 --> 00:17:57.637]  The Crystal Quest Shower Filter System.
[00:17:58.838 --> 00:18:01.720]  And the Aquapod Kit, great for mass storage of water.
[00:18:02.060 --> 00:18:04.802]  You can find all this and more at the InfoWarsStore.com.
[00:18:05.062 --> 00:18:07.784]  And don't forget, it's your support that funds our operation.
[00:18:08.165 --> 00:18:12.268]  Sign up for our free newsletter at InfoWars.com forward slash newsletter.
[00:18:16.949 --> 00:18:20.571]  Are we choosing our own destiny or has it been pre-selected for us?
[00:18:20.811 --> 00:18:26.093]  As we've moved through history, every great leader has had to understand the potential of information.
[00:18:26.333 --> 00:18:33.716]  Billions of dollars have been spent privately and publicly looking at how to tap into your psyche.
[00:18:34.056 --> 00:18:43.160]  From compulsory state education to the Hollywood media brainwashing machine, we are kept in perpetual bondage to the ideas that shape our actions.
[00:18:43.380 --> 00:18:50.362]  When somebody obscures that feedback loop between you observing and testing it out and verifying it, they can take total control of your awareness.
[00:18:50.522 --> 00:18:53.423]  All of this is happening so fast, you need to be ahead of the game.
[00:18:53.443 --> 00:19:00.305]  How to engineer the opinion of the American people so that they would not only endorse but demand a war.
[00:19:01.085 --> 00:19:03.486]  Well, tonight we're going to talk to one of the entrants into the Operation Paul Revere contest.
[00:19:25.606 --> 00:19:31.230]  Telly Blackwood had the video, George Washington's Revenge, and I'm sure you probably saw it.
[00:19:31.770 --> 00:19:35.592]  It had over a half million views, and it got a lot of mainstream attention.
[00:19:35.652 --> 00:19:40.716]  It also got the attention of Michael Moore, who tweeted about it and criticized him and attacked him.
[00:19:41.316 --> 00:19:52.183]  And somebody, somebody, and we're going to talk to him about this tonight, managed to get his entire off-the-hook TV account taken off of YouTube without explanation.
[00:19:52.952 --> 00:19:53.973]  Well, we've got an update on that.
[00:19:54.053 --> 00:19:55.214]  He's going to tell us what's happened.
[00:19:55.234 --> 00:20:03.159]  That's been restored and an apology has been put out now after several months of having his entire channel deleted with millions of views.
[00:20:04.740 --> 00:20:05.380]  Welcome, guys.
[00:20:06.101 --> 00:20:14.186]  We want to get an update as to what's going on with Off The Hook TV and having your channel taken down by Google because of some bogus complaints.
[00:20:14.226 --> 00:20:16.808]  Tell us what you just learned just a couple of days ago.
[00:20:18.271 --> 00:20:36.365]  Well, David, I was just kind of going through my email, and I saw an email from YouTube stating that on second review of your channel, we did not find your channel to be in terms of service, and we will be unsuspending your account immediately.
[00:20:36.885 --> 00:20:37.105]  Wow.
[00:20:37.225 --> 00:20:42.089]  Now, tell us what you found out in terms of who had filed complaints and the nature of the complaints and that sort of thing.
[00:20:43.049 --> 00:20:58.643]  Well, I didn't get any names from them at all, but I was told that multiple people have programs where they can preload hundreds and maybe even thousands of YouTube dummy accounts, which can be used to flag accounts and to generate views.
[00:20:59.524 --> 00:21:08.352]  And unfortunately, George Washington's Revenge received over a thousand flags within a 24-hour period, immediately knocking it off the grid.
[00:21:08.372 --> 00:21:08.432]  Wow.
[00:21:09.983 --> 00:21:18.849]  Amalia also had told me that they had received two other complaints as well, legal complaints, as per some complaints from some government offices as well.
[00:21:20.310 --> 00:21:23.892]  In the email that you sent me, you said they named three government offices.
[00:21:23.952 --> 00:21:27.895]  They said it was three government offices, but they didn't name them, as well as two private individuals, correct?
[00:21:28.612 --> 00:21:28.812]  Yes.
[00:21:29.253 --> 00:21:29.473]  Wow.
[00:21:30.694 --> 00:21:34.698]  It really got people's anger even though it was just a parody video.
[00:21:34.738 --> 00:21:35.979]  That's what's amazing about it.
[00:21:36.419 --> 00:21:37.600]  But you had a lot of views.
[00:21:37.620 --> 00:21:38.862]  You had over half a million views.
[00:21:39.362 --> 00:21:40.483]  Tell us about your channel.
[00:21:40.523 --> 00:21:44.547]  You had how many subscribers, how many views on your channel and how many years was it up?
[00:21:46.039 --> 00:21:47.680]  It's been up since 2005, 2006.
[00:21:48.100 --> 00:21:55.943]  We've generated close to 10 million views and we are probably around 10,000 subscribers about now.
[00:21:55.963 --> 00:22:06.147]  In George Washington's Revenge video, I thought it was 507,000 when it went offline, but now it's back online and has over 800,000 views on it.
[00:22:06.527 --> 00:22:06.748]  Really?
[00:22:06.768 --> 00:22:06.888]  Wow.
[00:22:07.188 --> 00:22:10.269]  Yeah, because the last thing we saw just before they took it down, it was just over 500,000.
[00:22:11.349 --> 00:22:12.730]  Well, what are you going to do with that now?
[00:22:12.750 --> 00:22:14.511]  Are you going to continue off the hook TV?
[00:22:15.842 --> 00:22:16.843]  What's your plan?
[00:22:16.863 --> 00:22:19.426]  I was going to have a little bit of fun with it.
[00:22:19.607 --> 00:22:32.823]  My original plan was to pass the company down to my sons and some other older members of the crew as well to operate and I was going to move on to documentaries and films and kind of move on.
[00:22:33.757 --> 00:22:34.737]  Yeah.
[00:22:35.158 --> 00:22:44.362]  Well, it certainly had a big impact, and I guess the thing for everybody to be concerned about is to see just how easy it is to lose your information off of Google.
[00:22:44.762 --> 00:22:57.067]  We've seen many cases where people have had a bogus complaint against them, and they had data files that were stored on the cloud, or have their entire business shut down like you did with Google and YouTube.
[00:22:58.668 --> 00:23:02.350]  Yeah, it's insane, and they just take it all away from you and just push up a button.
[00:23:03.459 --> 00:23:07.020]  Well you haven't stood still even though this has been gone now for several months.
[00:23:07.220 --> 00:23:07.921]  How long has it been?
[00:23:07.961 --> 00:23:09.941]  Has it been three or four months now that they took it down?
[00:23:10.641 --> 00:23:11.582]  Oh yeah.
[00:23:12.002 --> 00:23:19.625]  So in that interim, you've been busy, you're an entrepreneur, you're not going to stay down, so you've got a couple of other things in the fire right now.
[00:23:19.685 --> 00:23:25.707]  You've got a couple of Indiegogo campaigns that you've just started, a couple of ideas, one of them is an application.
[00:23:25.727 --> 00:23:26.407]  Tell us about that.
[00:23:27.769 --> 00:23:33.432]  The Freedom Genie application is an idea to create safety for people.
[00:23:33.512 --> 00:23:37.974]  For instance, let's say you get pulled over by a police officer and you're getting harassed.
[00:23:38.074 --> 00:23:39.255]  He's not following the book.
[00:23:39.795 --> 00:23:48.419]  You can simply turn this app on and it'll actually stream the video live of the whole incident to where the cop can't grab your phone and break it or turn it off.
[00:23:48.979 --> 00:23:56.643]  All the evidence is live up to a server and also can be set to notify your attorney, your family, your friends, your loved ones.
[00:23:57.123 --> 00:24:00.965]  That you're being detained and be able to tell what kind of incident you're in.
[00:24:01.365 --> 00:24:04.487]  That's what I like about it is the fact that it ties together a whole bunch of different things.
[00:24:04.507 --> 00:24:11.370]  You know, we tell people when they get pulled over, one of your most effective ways to protect yourself is to record the incident.
[00:24:11.430 --> 00:24:18.474]  You know, the police are recording the incidents, but when it's something that's not favorable to them, often those recordings just kind of disappear.
[00:24:19.174 --> 00:24:20.836]  So there's ways that you can do that.
[00:24:20.916 --> 00:24:25.580]  You can send it to Ustream or some of the other streaming accounts, and you can have it automatically saved.
[00:24:25.700 --> 00:24:29.024]  But with your app, it's going to do a lot of other things.
[00:24:29.124 --> 00:24:30.505]  It's going to notify people.
[00:24:30.605 --> 00:24:32.727]  It's going to record a lot of information.
[00:24:33.968 --> 00:24:38.713]  Tell us about where you are in this development process.
[00:24:39.619 --> 00:24:42.260]  Well, we have the ideas, the designs, and everything.
[00:24:42.720 --> 00:24:50.582]  Just the funding to actually create the app is actually expensive, so I have created the Indiegogo campaign to help raise money to create the app.
[00:24:51.362 --> 00:25:02.125]  Some features will vary between Android and Apple, but the funding from everybody who wants to help protect themselves with this can actually help us fund and create this program.
[00:25:02.145 --> 00:25:03.065]  That's right.
[00:25:03.085 --> 00:25:06.686]  We've seen kind of a network of people set up in
[00:25:07.853 --> 00:25:09.533]  One or two towns in New Hampshire.
[00:25:09.613 --> 00:25:16.315]  There's something that they're trying to start here in Austin that's already underway, where people get together cooperatively and do that.
[00:25:16.435 --> 00:25:18.316]  But this is a more ambitious project.
[00:25:18.356 --> 00:25:19.996]  This would cover a lot of people.
[00:25:20.116 --> 00:25:24.637]  So I can easily see people coming together to fund this kind of startup.
[00:25:25.257 --> 00:25:27.158]  Tell us about the other project that you've got going.
[00:25:27.198 --> 00:25:29.398]  That's the one that Phil's here to talk about as well, right?
[00:25:29.458 --> 00:25:30.278]  The documentary?
[00:25:30.318 --> 00:25:32.379]  Yes, that's correct.
[00:25:33.884 --> 00:25:45.452]  Prescription for Murder is a documentary we came up with to expose the FDA and the pharmaceutical companies for suppressing a cure for cancer.
[00:25:46.112 --> 00:25:54.899]  It's been suppressed since the 1970s and we have got together here to build a virtual murder case against the FDA and the pharmaceutical companies.
[00:25:55.319 --> 00:25:56.360]  That's very important work.
[00:25:56.920 --> 00:26:00.963]  Now, Phil, you worked with Telly on Off the Hook TV, is that correct?
[00:26:01.684 --> 00:26:02.245]  That's correct.
[00:26:02.465 --> 00:26:08.711]  I've worked with him on a couple of different small projects as well as the George Washington's Revenge one, which you mentioned earlier.
[00:26:09.211 --> 00:26:12.154]  Okay, and so what are you doing in this documentary?
[00:26:12.454 --> 00:26:16.318]  You're working as a producer, as director, as editor?
[00:26:16.338 --> 00:26:17.419]  What's your role in this?
[00:26:18.910 --> 00:26:19.570]  All of the above.
[00:26:20.190 --> 00:26:22.251]  We pretty much came up with the concept together.
[00:26:22.271 --> 00:26:32.994]  And I just, you know, I thought if somebody's stopping or suppressing a cure of something that could potentially save millions of lives, that's not just murder, that's mass.
[00:26:33.894 --> 00:26:38.535]  And the fact that it's premeditated for profit, it made me want to vomit.
[00:26:38.575 --> 00:26:44.117]  Most of the things we're talking about is a doctor in Texas, excuse me, named Brzezinski.
[00:26:45.157 --> 00:26:48.159]  There's already a documentary in place about him and his work.
[00:26:48.739 --> 00:26:52.882]  But, um, you know, it's just, you have to think about how big it is.
[00:26:52.902 --> 00:26:58.786]  A lot of people maybe just brush it over or think it's, you know, quackery or some type of herbal medication, but it's not.
[00:26:59.487 --> 00:27:00.607]  There's scientific basis.
[00:27:00.647 --> 00:27:04.250]  He's in phase three of FDA trials right now.
[00:27:04.970 --> 00:27:09.254]  So, I mean, herbal medication doesn't get that far, and crap doesn't get that far.
[00:27:09.374 --> 00:27:10.294]  It's a real cure.
[00:27:10.655 --> 00:27:16.479]  He's got a far greater success rate than conventional medications, especially chemotherapy, which is a poison itself.
[00:27:17.160 --> 00:27:23.224]  And it's just absolutely disgusting that an entity at all, whether it be government or
[00:27:25.748 --> 00:27:27.050]  Whatever, a corporation.
[00:27:27.590 --> 00:27:31.755]  It's so annoying to see the government take these decisions out of our hands.
[00:27:31.855 --> 00:27:38.002]  I mean it goes not only to what kind of medicine we use, and we're talking about patients who are terminal.
[00:27:38.583 --> 00:27:42.968]  So why shouldn't they be allowed to make those decisions for themselves?
[00:27:44.036 --> 00:27:44.436]  Exactly.
[00:27:44.897 --> 00:28:06.015]  And the harsh thing about the reality of this is a lot of people are forced to go through chemos and all these poisonous remedies that by the time you're able to get to a cure or treatment that might cure you, most of the time when you get cured by it, you're going to die from all the poisons that they made you go through first before you can seek alternative treatment.
[00:28:06.275 --> 00:28:06.596]  That's right.
