[00:00:14.273 --> 00:00:17.055]  It's time for humanity to stand up in the info war!
[00:02:30.425 --> 00:02:34.149]  And the fears of these terrorists acquiring chemical weapons is absurd.
[00:02:34.469 --> 00:02:40.394]  They've already acquired them with US, NATO, British, Saudi, Qatari, and even Israeli help in Libya in 2011.
[00:02:40.835 --> 00:02:47.701]  And in fact, these are the very same Libyan terrorists that are spearheading the foreign militant groups that are flooding into Syria through the Turkish-Syrian border.
[00:02:48.101 --> 00:03:00.570]  So we have to be on the lookout now for false flag attacks because reports have already come out before warning that the rebels had the chemical weapons and they were going to detonate those and blame it on Assad as a pretext to invade the country.
[00:03:01.651 --> 00:03:06.174]  What's worse is a Russian MiG has buzzed Israel following the attack on Syria.
[00:03:06.674 --> 00:03:14.060]  Moscow has said that such action if confirmed of the Israel attack would amount to an unacceptable military interference in the war-ravaged country.
[00:03:14.520 --> 00:03:25.782]  Which was issued by the Russian Foreign Ministry, excuse me, and Lebanon sources have later reported that a Russian MiG-31 fighter crossed over Wednesday, headed in the direction of Israel.
[00:03:26.482 --> 00:03:36.464]  Russia obviously isn't taking Israel's actions lightly, and China has gone on record before to say that if Russia, if something happens to Syria, Russia's going to get involved, China's also going to get involved.
[00:03:36.484 --> 00:03:38.024]  This is the verge of World War III.
[00:03:38.064 --> 00:03:39.345]  This is what we're talking about right now.
[00:03:39.745 --> 00:03:40.865]  They're playing with fire here.
[00:03:41.625 --> 00:03:47.969]  And InfoWars will definitely keep you up to date on all the latest information at InfoWars.com as this situation unfolds.
[00:03:48.649 --> 00:03:49.990]  So we're going to switch gears now.
[00:03:50.090 --> 00:03:57.774]  A fish actually caught near the Fukushima plant shows more than 2,500 times the legal radiation limit for human consumption.
[00:03:58.175 --> 00:04:05.239]  A fish was caught as part of an ongoing Tokyo Electric Power Company seafood monitoring program tested at 254,000 Bq per kilogram of radioactive cesium.
[00:04:08.060 --> 00:04:16.464]  And this level of radiation is enough to suggest that the plant is more than likely still releasing extremely high levels of nuclear radiation directly into the ocean.
[00:04:17.044 --> 00:04:19.766]  And we at InfoWars, we have reported that this was going to happen.
[00:04:19.806 --> 00:04:24.088]  The mainstream media is not reporting on this, even though stories like this come out every single day.
[00:04:24.468 --> 00:04:27.429]  And they're going to continue to come out, and you never hear about them.
[00:04:27.829 --> 00:04:30.551]  But you will continue to hear about them here at InfoWars.
[00:04:31.411 --> 00:04:36.316]  Now moving on, over a thousand Green Berets have now signed a letter supporting our Second Amendment.
[00:04:36.856 --> 00:04:41.040]  The letter was written by current or former Army Reserve National Guard and active duty U.S.
[00:04:41.100 --> 00:04:49.248]  Army Special Forces soldiers and highlights the fact that the Constitution was drafted primarily as a means of protecting citizens against governmental tyranny and or oppression.
[00:04:49.908 --> 00:04:51.409]  And I love this quote, so I'm going to read it.
[00:04:51.429 --> 00:04:56.030]  Throughout history, disarming the populace was always preceded by tyrants' accession of power.
[00:04:56.351 --> 00:05:00.492]  Hitler, Stalin, and Mao all disarmed their citizens prior to installing their murderous regimes.
[00:05:00.932 --> 00:05:06.474]  And at the beginning of our own nation's revolution, one of the first moves made by the British government was an attempt to disarm our citizens.
[00:05:06.774 --> 00:05:12.056]  And when our founding fathers ensured that the Second Amendment was made part of our Constitution, they were not just wasting ink.
[00:05:12.337 --> 00:05:18.399]  They were acting to ensure our present security was never forcibly endangered by tyrants, foreign or domestic.
[00:05:19.099 --> 00:05:23.290]  But, as you've seen, the attack on our Second Amendment continues in the mainstream media.
[00:05:23.310 --> 00:05:28.041]  We're actually going to continue to take a look at this now with a special report filed by Aaron Dykes.
[00:05:34.204 --> 00:05:36.125]  Aaron Dykes here for InfoWars.com.
[00:05:36.145 --> 00:05:50.895]  Now we've seen already how the gun grabbers will stop at almost nothing to advance their agenda as long as they get to rein in the Second Amendment right, because the fact that individuals have rights is very threatening to any authoritarian government, whatever its stripes, political stances, or colors.
[00:05:51.295 --> 00:05:54.858]  But the latest hoax we saw on MSNBC is just incredible.
[00:05:55.178 --> 00:06:04.544]  They went out of their way to distort gun owners and advocates of the Second Amendment right who are in testimony Monday with the parents of the Sandy Hook victims.
[00:06:05.024 --> 00:06:15.692]  And MSNBC deliberately edited testimony of Neil Heslin, the father of Jesse Lewis, as he advocated restricting assault rifles, banning high-capacity clips,
[00:06:16.272 --> 00:06:16.793]  Which is fine.
[00:06:16.813 --> 00:06:21.596]  You can understand his grief, why he would speak out on that, even though I think it's a misguided position.
[00:06:21.676 --> 00:06:28.301]  I certainly sympathize with the families who lost children, with anyone who's lost children or family members in a tragedy.
[00:06:28.341 --> 00:06:38.568]  But what's not okay is the way that Martin Bashir, Lawrence O'Donnell, and other figures on MSNBC, on blogs across the internet, went with the hoax on purpose.
[00:06:39.128 --> 00:06:51.434]  Where Neil Heslin, in the middle of his testimony, asked the rhetorical question, who of you in this room can answer this question, why does anyone in this room need to have an assault rifle or a high-capacity clip?
[00:06:51.874 --> 00:06:57.557]  And he waits a few seconds, there's silence, and he says, no one can answer that question in this room.
[00:06:57.997 --> 00:07:04.640]  And so a number of gun rights advocates who were there at the hearing spoke up, saying that you shall not infringe on the Second Amendment.
[00:07:05.060 --> 00:07:22.834]  I ask if there's anybody in this room that can give me one reason or challenge this question why anybody in this room needs to have one of these assault style weapons or military weapons or high capacity clips.
[00:07:28.442 --> 00:07:30.428]  Not one person can answer that question.
[00:07:31.311 --> 00:07:31.752]  Forgive me.
[00:07:37.353 --> 00:07:53.585]  And what they did was edited this part of the testimony, edited out the part where the father asked the question, and just made it look like people were interrupting this father's testimony, who had just had children die in Sandy Hook, and obviously it's a very sympathetic moment.
[00:07:54.085 --> 00:08:04.493]  We're all entitled to our own opinion, and I respect their opinions and their thoughts, but I wish they'd respect mine and give it a little bit of thought.
[00:08:06.098 --> 00:08:09.342]  A father's grief interrupted by the cries of a heckler.
[00:08:09.623 --> 00:08:17.754]  That was the scene today in Hartford, Connecticut, where the parents of children killed at Sandy Hook Elementary testified before an audience that wasn't always friendly.
[00:08:18.134 --> 00:08:22.200]  Deliberately distorted, just like they deliberately edited the audio.
[00:08:22.660 --> 00:08:30.487]  of the Trayvon Martin shooting to make it seem like it was racially motivated when in fact it turned out that Zimmerman had often worked with the black community.
[00:08:31.107 --> 00:08:35.231]  He himself was a mixed race and really race shouldn't have been the main issue of that.
[00:08:35.291 --> 00:08:39.394]  Certainly it's legitimate to question if his death was justified.
[00:08:39.514 --> 00:08:56.191]  We get that MSNBC is state-run propaganda for the Obama administration, just as Fox News was blatantly state propaganda during the George W. Bush years, and the next time they roll out a president, maybe they'll switch networks again, or maybe MSNBC will continue on its current track.
[00:08:56.531 --> 00:08:56.891]  I get it.
[00:08:56.931 --> 00:08:58.892]  What do you expect from a pig but a grunt?
[00:08:59.213 --> 00:09:18.284]  But what I don't understand is why they always paint anyone who asks questions, anyone who stands up for rights, anyone who says that we're being delivered hoaxes in the media to push an agenda, why those people are blamed and why they always say, how dare you ask those questions or defend those rights because of the families who have victims from this tragedy.
[00:09:18.744 --> 00:09:32.854]  Why don't any of the parents from these tragedies, whether it's 9-11 or Sandy Hook or any of the Colorado shooting, anything, why don't they get mad at the establishment using their tragedy to advance the establishment's agenda?
[00:09:33.174 --> 00:09:38.657]  It's very clear we know that Feinstein was pursuing the assault weapons ban before the Sandy Hook shooting.
[00:09:39.038 --> 00:09:46.122]  It's very clear that Rahm Emanuel said their policy, that the Obama administration's policy, is to use crises.
[00:09:46.222 --> 00:09:48.524]  Don't let a good crisis go to waste.
[00:09:48.624 --> 00:09:50.986]  You never want a serious crisis to go to waste.
[00:09:52.146 --> 00:09:55.909]  And what I mean by that, it's an opportunity to do things that you think you could not do before.
[00:09:55.969 --> 00:10:02.794]  We know that the Patriot Act was written beforehand and on the books, and the Bush administration was looking for the excuse to get it put into law.
[00:10:03.114 --> 00:10:12.400]  We know that the Project for a New American Century wanted a Pearl Harbor-style attack to advance an American Empire agenda, a multi-theater war overseas.
[00:10:12.780 --> 00:10:13.880]  We know they have agendas.
[00:10:14.060 --> 00:10:26.804]  They announced them, they've been uncovered, found by researchers, but they always say, how dare the researchers question, how dare you question those in power who admittedly are just seeking more power and will use any tragedy to find it.
[00:10:27.204 --> 00:10:31.065]  Why don't the parents get mad at the establishment for using their tragedy?
[00:10:31.445 --> 00:10:36.927]  That I don't understand, and why don't we put up with MSNBC deliberately advancing hoaxes?
[00:10:36.987 --> 00:10:37.487]  It's sickening.
[00:10:37.887 --> 00:10:39.828]  Aaron Dyke, signing off for InfoWars.com.
[00:10:43.666 --> 00:10:52.040]  So as you can see there, the mainstream media deliberately edited that to make it look bad for gun owners, to make them look bad, to continue this further demonization.
[00:10:52.340 --> 00:10:58.049]  And if that's not enough, the mainstream media just continues the attack on Second Amendment and on gun owners, as you will see here.
[00:10:58.641 --> 00:11:06.684]  Those, you know, crazy crackers on the right, like if they start with their very hateful language, just disgusted with the tone.
[00:11:06.724 --> 00:11:08.805]  So these guys have to be very, very careful.
[00:11:08.885 --> 00:11:21.831]  And the other thing that these guys know is that those, you know, crazy crackers on the right, like if they start with their very hateful language, that is going to kill them in the same way that they learned at their little retreat that let's not talk about rape.
[00:11:22.651 --> 00:11:28.615]  So as you can see there, we're considered crazy crackers, but we also are doing the hate speech.
[00:11:29.236 --> 00:11:34.099]  But as we're about to show you here, it's not us that's involved in the hate speech, it's the mainstream media.
[00:11:34.119 --> 00:11:34.920]  Let's take a look at this.
[00:11:35.420 --> 00:11:38.963]  In America's gun culture, I believe the NRA is the new KKK.
[00:11:39.003 --> 00:11:39.423]  Wow.
[00:11:40.143 --> 00:11:43.386]  And that the arming of so many black youth and
[00:11:46.027 --> 00:11:56.310]  Blowing up our communities with drugs and then just having an open shooting gallery is the work of people that obviously don't have our best interest.
[00:11:56.790 --> 00:11:58.091]  I've listened to the full interview.
[00:11:58.871 --> 00:12:00.251]  You can go listen to it for yourself.
[00:12:01.272 --> 00:12:02.432]  This is incredible.
[00:12:03.272 --> 00:12:05.633]  And you're racist if you want the Second Amendment.
[00:12:05.953 --> 00:12:12.915]  And it's our fault there's a gangster culture in rap and pit bulls and Michael Vick, I guess, did that with those dogs.
[00:12:13.736 --> 00:12:14.996]  It's our fault, ladies and gentlemen.
[00:12:16.308 --> 00:12:18.528]  But check it out, gun owners aren't just the KKK.
[00:12:18.648 --> 00:12:20.229]  Apparently, we're also Nazis.
[00:12:21.229 --> 00:12:36.292]  Surely, finding Osama bin Laden, surely passing civil rights legislation as Lyndon Johnson was able to do, and before that, surely defeating the Nazis, was a much more formidable task than taking on the gun lobby.
[00:12:37.112 --> 00:12:44.694]  This is a turning point in this country, and the president is going to have to do more than just make a speech about it.
[00:12:45.970 --> 00:12:46.591]  So there you go.
[00:12:46.611 --> 00:12:49.594]  We're KKK members, we're Nazis, we're crazy crackers.
[00:12:49.634 --> 00:12:54.500]  They're pulling out all the stops and just when you think it couldn't get any more ridiculous, check this one out.
[00:12:56.172 --> 00:13:03.296]  The Supreme Court ruling in Heller, which struck down the District of Columbia's ban on handguns, laid out a good framework.
[00:13:04.137 --> 00:13:11.521]  It said an individual right to bear arms does exist, but it comes with limitations like every amendment.
[00:13:12.161 --> 00:13:16.104]  Those on the pro-gun side must recognize no amendment is absolute.
[00:13:17.168 --> 00:13:19.229]  The First Amendment protects freedom of speech.
[00:13:19.289 --> 00:13:19.890]  It's hallowed.
[00:13:20.590 --> 00:13:25.494]  But you still can't falsely shout fire in a crowded theater or traffic in child pornography.
[00:13:25.534 --> 00:13:28.395]  Those are reasonable limits on the First Amendment.
[00:13:29.376 --> 00:13:37.982]  But for the last several years, my particular focus in the area of gun safety has been on responsible gun ownership and background checks.
[00:13:39.554 --> 00:13:53.543]  Which, neither of those two things would have had anything to do with preventing Sandy Hook as the person who supposedly perpetrated those crimes, didn't get those guns illegally, didn't have a background check, and was going into a gun-free zone with guns and murdering people.
[00:13:53.583 --> 00:13:56.245]  So, none of the stuff that guy just said made any sense at all.
[00:13:56.725 --> 00:13:57.746]  But, where is this headed?
[00:13:57.786 --> 00:14:03.230]  Well, an NPR article that came out says that, should gun owners have to buy liability insurance?
[00:14:03.970 --> 00:14:08.954]  Apparently, they're saying you have to buy car insurance, so you should also have to buy gun insurance.
[00:14:09.774 --> 00:14:11.975]  And they aren't the only ones actually saying that.
[00:14:12.776 --> 00:14:22.120]  If you'll recall, I actually wrote an article back in the beginning of January when Kurt Eichenwald, the contributing editor at Vanity Fair, wrote an article titled, Let's Repeal the Second Amendment.
[00:14:22.480 --> 00:14:27.883]  And one of the things that he talks about in there is that this amendment has nothing to do with modern America.
[00:14:27.983 --> 00:14:29.684]  A free state doesn't mean a free country.
[00:14:29.724 --> 00:14:31.625]  The phrase people doesn't mean all people.
[00:14:32.325 --> 00:14:36.408]  And basically we need to have a new amendment and gun owners should be forced to purchase insurance.
[00:14:36.789 --> 00:14:45.155]  He says the new amendment should read, the people retain the right to keep and bear arms subject to reasonable restrictions deemed necessary by the Congress and the President to secure the lives and well-being of others.
[00:14:45.876 --> 00:14:46.216]  Really?
[00:14:46.816 --> 00:14:55.383]  And that the restriction he really wants to impose, and this is a quote, but here's the restriction I really want to impose, force all gun owners to purchase liability insurance.
[00:14:55.823 --> 00:14:59.046]  So basically they're talking about an Obamacare now for gun owners.
[00:14:59.626 --> 00:15:01.307]  And it's just unbelievable.
[00:15:02.168 --> 00:15:03.549]  And now we go to the quote of the day.
[00:15:03.729 --> 00:15:06.952]  Happy the man who has been able to learn the causes of things.
[00:15:07.532 --> 00:15:07.993]  Virgil.
[00:15:08.573 --> 00:15:10.755]  I think that's meant to be taken tongue-in-cheek.
[00:15:11.636 --> 00:15:13.917]  And that's going to do it for tonight's InfoWars Nightly News.
[00:15:13.937 --> 00:15:15.178]  I've been your host Melissa Melton.
[00:15:15.218 --> 00:15:17.961]  Stay safe and we'll see you back here again tomorrow at 7 p.m.
[00:15:18.001 --> 00:15:18.281]  Central.
[00:15:18.701 --> 00:15:25.329]  Freedom lovers, Alex Jones here with the biggest contest announcement we've ever made.
[00:15:25.870 --> 00:15:28.513]  This is so incredibly exciting.
[00:15:28.653 --> 00:15:32.317]  We are launching Operation Paul Revere.
[00:15:33.243 --> 00:15:34.324]  What did Paul Revere do?
[00:15:34.844 --> 00:15:42.668]  He rode through the countryside in New England saying, to arms, to arms, the Redcoats are coming.
[00:15:43.048 --> 00:15:44.569]  Oneth by land, toeth by sea.
[00:15:45.150 --> 00:15:49.472]  And all that evil men and tyrancy deflourish is that good men and women do nothing.
[00:15:49.652 --> 00:15:51.273]  Let me officially announce
[00:15:51.673 --> 00:15:54.614]  Operation Paul Revere.
[00:15:55.015 --> 00:16:02.238]  A $100,000 cash first place winner to be judged by your truly, Alex Jones.
[00:16:02.678 --> 00:16:05.739]  The film can be three minutes, it can be up to two hours.
[00:16:05.839 --> 00:16:09.521]  It can be fiction, non-fiction, documentary, drama.
[00:16:09.961 --> 00:16:14.703]  It's got to promote liberty and freedom and expose tyranny and oppression.
[00:16:15.043 --> 00:16:16.524]  And it's not just people in the U.S.
[00:16:16.544 --> 00:16:17.064]  that can enter.
[00:16:17.144 --> 00:16:18.385]  It's folks worldwide.
[00:16:18.705 --> 00:16:23.168]  The rules, the details are at InfoWars.com forward slash contest.
[00:16:23.288 --> 00:16:27.251]  You have to read the rules and officially sign up for this because it's a $100,000 prize, first place.
[00:16:27.271 --> 00:16:27.671]  $10,000, second place.
[00:16:33.035 --> 00:16:33.675]  $5,000 third place.
[00:16:34.155 --> 00:16:54.829]  But just as I did last year with a reporter contest, we are going to crowdsource from the pool of incredible talent out there and hire several official crews to be directors and writers and camera people in Infowars.com-produced major films and documentaries that will be put in movie theaters and on cable.
[00:16:55.069 --> 00:16:56.891]  And I've got all the connections to get it done.
[00:16:57.091 --> 00:16:59.452]  Together, we're going to really give the New World Order hell.
[00:16:59.733 --> 00:17:00.853]  This is extremely exciting.
[00:17:01.113 --> 00:17:01.934]  I've made over 20 films.
[00:17:02.394 --> 00:17:05.435]  One of them alone has reached more than 40 million people on YouTube and Google Video.
[00:17:05.695 --> 00:17:09.176]  The Obama Deception, Endgame, Fall of the Republic, Road to Tyranny.
[00:17:10.296 --> 00:17:13.717]  Films are the most effective thing I do, but they're very time-consuming.
[00:17:14.498 --> 00:17:18.279]  And so I want to turn the power of We the People loose here.
[00:17:18.319 --> 00:17:22.900]  And your art, your research, your ideas are unstoppable.
[00:17:23.120 --> 00:17:25.421]  We're officially kicking the contest off.
[00:17:26.201 --> 00:17:27.302]  This Friday.
[00:17:27.322 --> 00:17:31.385]  And you've got a little more than three months until April 30th.
[00:17:31.405 --> 00:17:37.610]  Just a little more than three months to produce your documentary or your film and get it out.
[00:17:37.810 --> 00:17:41.233]  And it will absolutely reach tens of millions of people.
[00:17:41.393 --> 00:17:43.735]  Our normal contests get about 500 entries.
[00:17:44.396 --> 00:17:45.396]  That's what $10,000 prize is.
[00:17:45.797 --> 00:17:46.838]  This is 10 times that.
[00:17:47.218 --> 00:17:48.859]  $100,000 for first place.
[00:17:48.959 --> 00:17:50.681]  That's one of the biggest contests out there.
[00:17:51.221 --> 00:17:54.543]  In fact, it's the biggest next to Doritos that has $100,000.
[00:17:55.104 --> 00:17:57.245]  This is huge, ladies and gentlemen.
[00:17:57.325 --> 00:18:04.830]  $115,000 in cash prizes and a shot to have your film produced and financed by InfoWars.com.
[00:18:05.011 --> 00:18:14.237]  Edit it, upload it to YouTube and one other alternate public video site and send your entry to PaulRevere at InfoWars.com.
[00:18:14.417 --> 00:18:19.925]  The animating contest of liberty that Thomas Jefferson talked about is happening right now.
[00:18:20.386 --> 00:18:23.731]  The modern battlefield is in the mind more than ever.
[00:18:24.011 --> 00:18:26.815]  We use truth, the globalists use lies and deception.
[00:18:27.256 --> 00:18:30.701]  The corruption and oppression and high-tech police state is in our face.
[00:18:31.121 --> 00:18:32.462]  But the controllers are scared.
[00:18:32.822 --> 00:18:36.224]  They intended to use the internet to dominate and control humanity and surveil us.
[00:18:36.464 --> 00:18:38.585]  But we've turned their system against them.
[00:18:38.985 --> 00:18:42.207]  This is a historic crossroads that we have reached.
[00:18:42.847 --> 00:18:50.551]  And I ask you to ride in the year 2013 just as one of the founders of this republic did back in 1775.
[00:18:51.211 --> 00:18:56.754]  I'm calling you to arms in the Infowar because the pen and the video camera
[00:18:57.194 --> 00:18:58.755]  is mightier than the sword.
[00:18:59.015 --> 00:19:05.497]  Let's go in there and rescue humanity and awaken them and set brush fires in the minds of men and women everywhere.
[00:19:05.797 --> 00:19:06.877]  Be part of this contest.
[00:19:06.977 --> 00:19:07.898]  You've got three months.
[00:19:08.218 --> 00:19:09.338]  Put your hat in the ring.
[00:19:09.478 --> 00:19:12.419]  Be part of the solution to the corruption and oppression.
[00:19:12.779 --> 00:19:14.960]  Be part of the resistance to tyranny.
[00:19:15.000 --> 00:19:20.582]  We're looking for the Paul Reveres that will drive a stake through the New World Order's wicked heart.
[00:19:26.257 --> 00:19:29.539]  ProPure is introducing ProOne.
[00:19:30.159 --> 00:19:34.302]  All of your filtration in one system, portable, on the go.
[00:19:35.043 --> 00:19:38.785]  This is the ProOne by ProPure.
[00:19:39.065 --> 00:19:40.286]  You wanted it, you got it.
[00:19:40.666 --> 00:19:45.569]  No more do you have two or three filters to just reduce sodium fluoride.
[00:19:46.090 --> 00:19:52.614]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:19:53.434 --> 00:20:05.521]  Advanced manufacturing technology combines silver-impregnated white ceramic with new Aquamedics Advanced Media for removal of fluoride and other heavy metals, all in one filter element.
[00:20:06.421 --> 00:20:09.683]  It cuts out the acid derivative of fluoride.
[00:20:10.003 --> 00:20:13.205]  It is the only one that does it, and out of the gates!
[00:20:13.705 --> 00:20:17.468]  We have it discounted at 10% off with promo code WATER.
[00:20:18.348 --> 00:20:37.031]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:20:37.572 --> 00:20:40.635]  This is a revolution against the tyrants.
[00:20:40.955 --> 00:20:46.500]  They love putting the toxic acid base of fluoride into your water.
[00:20:46.560 --> 00:20:53.927]  They love the fact that it's an adjuvant supercharging the trace Prozac in the water and the hormones and the other chemicals.
[00:20:54.468 --> 00:21:02.835]  By cutting out fluoride, you cut out the turbocharger in all the poison being artificially introduced into your body.
[00:21:03.516 --> 00:21:04.637]  This is what I use.
[00:21:05.117 --> 00:21:05.957]  It's a win-win.
[00:21:06.278 --> 00:21:08.419]  You get a high-quality product at the lowest price.
[00:21:08.699 --> 00:21:09.980]  You support the Infowar.
[00:21:10.320 --> 00:21:16.103]  Get your Pro-Pure with the new Pro-1 filters today at InfowarStore.com or by calling 888-253-3139.
[00:21:24.750 --> 00:21:29.254]  Alex Jones here with a message that could revolutionize health in this country.
[00:21:29.554 --> 00:21:35.399]  Going back about a year and a half ago, I began to learn about the incredible health effects of longevity products.
[00:21:35.799 --> 00:21:39.582]  Erin Dykes lost 92 pounds.
[00:21:39.602 --> 00:21:41.404]  We're going to show you some before and afters.
[00:21:41.824 --> 00:21:43.585]  Aaron, break down what happened.
[00:21:43.625 --> 00:21:44.185]  Your story.
[00:21:44.465 --> 00:21:49.528]  I've worked really hard with diet and exercise to try to lose weight, but I just didn't get the results.
[00:21:49.568 --> 00:21:50.448]  It just didn't happen.
[00:21:50.749 --> 00:21:53.330]  Then I saw what you were doing with Infowarsteam.com.
[00:21:53.810 --> 00:21:57.612]  I wasn't even trying to lose weight, but I got it because I wanted to feel better energy.
[00:21:57.652 --> 00:21:58.592]  I wanted that nutrition.
[00:21:58.632 --> 00:21:59.613]  Didn't even understand
[00:21:59.753 --> 00:22:02.255]  How that could kickstart my own weight loss goals.
[00:22:02.395 --> 00:22:04.137]  But the products did that for me.
[00:22:04.477 --> 00:22:10.221]  I found myself suddenly losing weight, more energetic, wanting to exercise, wanting to eat the right foods.
[00:22:10.301 --> 00:22:12.263]  And they don't even advertise it as weight loss!
[00:22:12.563 --> 00:22:16.126]  I want to challenge our radio listeners to go to infowarsteam.com.
[00:22:16.666 --> 00:22:21.890]  Sign up as a distributor and get wholesale pricing discounts at infowarsteam.com.
[00:22:58.888 --> 00:23:04.016]  These are aerial pictures here in Harris County, Texas, as we have been watching the better part of this last hour.
[00:23:04.636 --> 00:23:06.559]  North Harris campus is on lockdown.
[00:23:06.599 --> 00:23:08.041]  This is an active situation.
[00:23:08.082 --> 00:23:11.867]  We are not showing you live pictures because of what we may possibly see.
[00:23:15.188 --> 00:23:24.551]  The corporate state-run media calls anybody that questions the official propaganda that's pumped out by the government and the dinosaur media as conspiracy theorists.
[00:23:25.271 --> 00:23:34.355]  And that's just a way to demonize your opposition and to try to get weak-minded people to not investigate the information that the alternative media is putting out.
[00:23:34.895 --> 00:23:40.597]  Now that said, it doesn't mean that everything the government or mainstream media puts out is a lie.
[00:23:41.577 --> 00:23:45.801]  I've gotten a lot of criticism for not coming out and saying that Sandy Hook is an inside job.
[00:23:46.601 --> 00:24:01.393]  It has some of the tell-tale signs of being an inside job, but those are the same signs you will see if the government is simply using the crisis, like Rahm Emanuel has famously said, don't let a good crisis go to waste.
[00:24:01.713 --> 00:24:02.474]  Here's a clip of that.
[00:24:02.674 --> 00:24:05.096]  You never want a serious crisis to go to waste.
[00:24:06.237 --> 00:24:10.260]  And what I mean by that, it's an opportunity to do things that you think you could not do before.
[00:24:11.596 --> 00:24:16.819]  Now again, in the last month and a half, I have not come out and said that this was clearly a staged event.
[00:24:17.559 --> 00:24:25.183]  Unfortunately, evidence is beginning to come out that points more and more in that direction, and we're going to show you that information in a moment.
[00:24:25.664 --> 00:24:35.889]  Now, a lot of the tens of millions of video views on YouTube concerning the Sandy Hook hoax surround CNN.
[00:24:37.470 --> 00:24:44.934]  And what appears to be people who've been coached, people who've been given cue cards, people who are behaving like actors.
[00:24:45.494 --> 00:24:55.739]  And we see CNN criticizing all the witnesses from the helicopter and the news crews and witnesses, adults, that saw multiple people being detained who were in camo.
[00:24:56.079 --> 00:24:58.080]  We're told, oh, those are five-year-olds saying that.
[00:24:58.360 --> 00:24:59.300]  It's a conspiracy theory.
[00:24:59.621 --> 00:25:02.062]  When it's not five-year-olds saying that, it's adults.
[00:25:02.922 --> 00:25:09.024]  It's police admitting that, quote, police officers were arrested from other jurisdictions creeping around the woods.
[00:25:09.725 --> 00:25:11.785]  Something serious is going on here.
[00:25:12.326 --> 00:25:18.428]  And CNN, over and over again, is at the heart of the fishy things that are happening.
[00:25:19.048 --> 00:25:40.745]  Now, remember, in 1990-1991, when the Gulf War started, CNN would send out their raw feeds to their news affiliates, and on it there was clear blue screens on top of the roof of CNN Center in Atlanta, with their top reporters claiming they were in Israel under sarin nerve gas attack from Scuds.
[00:25:41.445 --> 00:25:54.490]  And later they had to admit quietly, this is on record, we're going to show you some clips, that indeed they were in Atlanta, Georgia and that they were not being attacked by Scud missiles with sarin gas.
[00:25:55.071 --> 00:26:01.693]  CBS News got caught scripting videos as well and there's a lot of examples of this.
[00:26:02.273 --> 00:26:03.614]  So let's go ahead and look at those clips.
[00:26:10.071 --> 00:26:12.512]  I'm starting to get real bothered by all this.
[00:26:20.714 --> 00:26:22.394]  Boy, did I almost look stupid.
[00:26:23.514 --> 00:26:26.675]  Charles Jaco, CNN, reporting live from Saudi Arabia.
[00:26:26.915 --> 00:26:30.076]  And that there are also firings in another city in Saudi Arabia.
[00:26:30.536 --> 00:26:33.357]  CNN's Carl Rochelle is here with me, just came up.
[00:26:34.057 --> 00:26:38.358]  Carl, I know we can't be very specific given these restrictions, but within those parameters, what did you see?
