[00:00:22.515 --> 00:00:27.700]  Hi, I'm Gigi Ornette on your InfoWars Nightly News this August 7th, 2013.
[00:02:59.209 --> 00:03:10.031]  In this report, it says there's a record number of military suicides seen in recent years that may not be directly due to extended deployments or combat experience, according to a new study.
[00:03:10.351 --> 00:03:22.394]  This data analysis, funded by the Department of Defense, suggests that the real reason behind the growing number of military suicides is underlying mental health issues in this population.
[00:03:23.482 --> 00:03:29.308]  Well, it sounds like once again the Department of Defense and the government is denying responsibilities for anything.
[00:03:30.029 --> 00:03:36.115]  Now post-traumatic stress disorder, known as PTSD, is rampant right now with a lot of our military coming back.
[00:03:36.696 --> 00:03:42.642]  And for them to say that these guys have mental disorders before they go into the military is just a lie.
[00:03:43.527 --> 00:03:53.770]  But I encourage you to go ahead and read that article in your free time and it's a good long article and think about it and maybe let your government know that they need to start taking care of our veterans.
[00:03:54.670 --> 00:03:56.811]  They're waiting way too long to be taken care of.
[00:03:56.871 --> 00:04:01.533]  They're filing claims and they don't hear back soon enough and that's why we have this many suicides.
[00:04:02.053 --> 00:04:04.353]  Kerry says U.S.
[00:04:04.393 --> 00:04:05.774]  will sign U.N.
[00:04:05.874 --> 00:04:06.214]  treaty
[00:04:07.671 --> 00:04:11.293]  On arms regulations, despite lawmakers' opposition.
[00:04:11.473 --> 00:04:13.354]  That piece of s*** traitor!
[00:04:14.455 --> 00:04:15.356]  You know what I have to say?
[00:04:15.876 --> 00:04:22.800]  COME AND TAKE IT MOTHER F***ERS!
[00:04:23.961 --> 00:04:24.661]  COME AND GET IT!
[00:04:26.124 --> 00:04:28.706]  Pennsylvanians are asking feds for backup.
[00:04:28.726 --> 00:04:30.348]  They're having a little problem.
[00:04:30.808 --> 00:04:38.935]  Recently, the police chief of the small town, Chief Mark Kessler, was removed from his post, but his opponents are far from satisfied.
[00:04:39.715 --> 00:04:46.381]  Now residents of a sparsely populated former coal town are asking the feds to intervene in fear of an armed revolt.
[00:04:47.560 --> 00:04:51.523]  In Gilberton, Pennsylvania, Kessler made international headlines.
[00:04:52.144 --> 00:05:00.770]  Last month, he had videos going up, and they exposed the world to a lawman seemingly intent with defending his Second Amendment rights.
[00:05:01.211 --> 00:05:02.712]  You can take a look at it and decide yourself.
[00:05:03.072 --> 00:05:07.175]  But the town is afraid, and they're asking the feds for help.
[00:05:07.956 --> 00:05:09.377]  Be careful what you wish for.
[00:05:10.018 --> 00:05:11.379]  Getting government to help you out?
[00:05:12.119 --> 00:05:14.721]  Well, the CIA looks a little bit like the mob.
[00:05:15.582 --> 00:05:16.663]  David Knight reports.
[00:05:20.343 --> 00:05:23.686]  Two weeks ago, a key witness in the trial of a mafia boss was found dead.
[00:05:24.006 --> 00:05:27.268]  He had said the best revenge is getting on the stand and looking him in the eye.
[00:05:28.049 --> 00:05:29.049]  It's going to be a great day.
[00:05:29.490 --> 00:05:31.751]  A couple of weeks later, Steve Rakes was dead.
[00:05:32.312 --> 00:05:34.553]  The police told the family it was suicide.
[00:05:34.733 --> 00:05:37.155]  But there were facts in the case that weren't consistent with suicide.
[00:05:37.875 --> 00:05:43.820]  His family said he wasn't suicidal or depressed, his body was found without phone or wallet, and his car was missing.
[00:05:44.676 --> 00:05:49.802]  A man with a story to tell about a secretive criminal organization with a history of murder.
[00:05:50.062 --> 00:05:52.925]  A man determined to tell that story, regardless of what happened to him.
[00:05:53.566 --> 00:05:58.591]  The man dies, and the physical evidence isn't consistent with the conclusion the police immediately jumped to.
[00:05:59.092 --> 00:06:00.814]  I'm not talking about the mafia witness now.
[00:06:01.475 --> 00:06:03.196]  I'm talking about Michael Hastings.
[00:06:04.070 --> 00:06:10.416]  The man who had information about the world's largest and most successful criminal organization, the CIA.
[00:06:10.817 --> 00:06:15.401]  The difference in the two stories is that Steve Rake's family and friends pushed back against the official story.
[00:06:15.802 --> 00:06:17.844]  They demanded and got an investigation.
[00:06:18.024 --> 00:06:21.487]  And after two weeks of investigation, they learned that he was murdered.
[00:06:22.349 --> 00:06:26.893]  Although the official story is that the murderer had his own agenda and wasn't working for the mafia boss.
[00:06:27.334 --> 00:06:29.396]  That hasn't happened with the Michael Hastings story.
[00:06:29.896 --> 00:06:37.584]  His wife, after initially saying she was going to take down whoever had killed Hastings, has now presented the perfect picture of a gleeful Stepford wife.
[00:06:37.784 --> 00:06:40.787]  He always had at least five hot stories going.
[00:06:40.867 --> 00:06:41.788]  That was Michael's.
[00:06:42.148 --> 00:06:45.490]  You know, my gut here is that it was just a really tragic accident.
[00:06:45.551 --> 00:06:48.813]  What a strange comment, and what a strange reversal.
[00:06:49.473 --> 00:06:53.956]  But then again, she did work as Director of Communications for the National Security Council.
[00:06:54.517 --> 00:07:03.783]  Hastings' apparent murder, under suspicious circumstances, while he was covering a story that was going to embarrass the government, affects all of us, not just Hastings' wife.
[00:07:04.824 --> 00:07:16.050]  This goes to the heart of corruption and crime at the highest level of our government that's manifesting itself in multiple scandals that have roots with both parties over multiple administrations.
[00:07:16.670 --> 00:07:21.573]  Hastings' murder is an attempt to intimidate those who would report on the crimes of our government.
[00:07:22.153 --> 00:07:28.616]  And while the government may be spinning the story now and stonewalling on information, the truth will eventually come out.
[00:07:29.317 --> 00:07:31.338]  For InfoWars Nightly News, I'm David Knight.
[00:07:33.868 --> 00:07:38.415]  The Egypt crisis enters tense new phase as mediation collapses.
[00:07:39.568 --> 00:07:50.932]  Egypt's army-installed government said on Wednesday diplomatic efforts to resolve the political crisis had failed, and signaled it was gearing to take action against supporters of deposed President Mohamed Morsi.
[00:07:51.732 --> 00:07:55.933]  Gathered at two protest camps in Cairo, the senior U.S.
[00:07:55.973 --> 00:07:58.414]  diplomat involved in the mediation effort, U.S.
[00:07:58.454 --> 00:08:06.337]  Deputy Secretary of State William Burns, left Egypt on Wednesday, shortly after the government declared the diplomatic efforts had failed.
[00:08:07.225 --> 00:08:09.531]  Maybe we could quit sending money to Egypt.
[00:08:11.161 --> 00:08:20.867]  In Fort Hood, the suspect that was accused of, quote, workplace violence, has decided to represent himself, but the lawyers want out.
[00:08:21.047 --> 00:08:22.127]  The trial has been delayed.
[00:08:22.788 --> 00:08:36.495]  Major Nidal Hassan, accused of killing 13 people and wounding 31 others in a 2009 shooting spree, began with a rift between Hassan and his standby counsel that resulted in court being adjourned for the day early on Wednesday.
[00:08:36.515 --> 00:08:38.937]  A motion filed late Tuesday
[00:08:40.117 --> 00:08:48.121]  The team said that they felt that Hussan is trying to purposely get the death penalty and asked the judge not to force them to be a part of that effort.
[00:08:48.901 --> 00:08:51.782]  So Osborne said the court will reconvene Thursday morning.
[00:08:52.242 --> 00:08:55.044]  This next report might warrant you taking the kids into the other room.
[00:08:55.064 --> 00:08:59.906]  We're going to be talking about sex trafficking and our government's involvement in it.
[00:09:03.902 --> 00:09:14.086]  The FBI raid that rescued 105 sexually exploited children from a sex trafficking ring last weekend only helped to highlight the vulnerability of foster children.
[00:09:14.927 --> 00:09:20.289]  60% of runaways who are victims of sex trafficking have been in the custody of Child Protective Services.
[00:09:20.629 --> 00:09:26.134]  Many times when these children are rescued from sex traffickers, they are put right back into the foster care system.
[00:09:26.555 --> 00:09:38.126]  And now with these so-called child protectors snatching up even more kids into the system so they can collect more money from the feds, there has become a surplus of children and not enough foster homes to take care of them.
[00:09:38.426 --> 00:09:42.871]  Which means the bar has been set really low for those who can qualify to foster.
[00:09:43.852 --> 00:09:53.845]  A 2011 audit of Sacramento foster care facilities found the addresses of more than 1,000 registered sex offenders matched the address of licensed foster care facilities and homes.
[00:09:54.065 --> 00:09:57.470]  Almost 600 of those offenders were considered high risk.
[00:09:58.251 --> 00:10:08.015]  Child traffickers typically prey on helpless children who feel abandoned by their families and who are lost in this system of providers that fail to follow up on any reports of neglect.
[00:10:08.495 --> 00:10:14.058]  These are the type of children that are really susceptible to grooming for child sex slavery and prostitution.
[00:10:14.818 --> 00:10:17.040]  The consumers are not who you would expect either.
[00:10:17.380 --> 00:10:22.623]  They are doctors, lawyers, business executives, teachers, coaches, and everyone in between.
[00:10:23.063 --> 00:10:24.985]  In other words, they don't look evil.
[00:10:25.625 --> 00:10:35.812]  Press TV reports rogue elements of police and intelligence services employ child prostitution rings to obtain blackmail material on politicians and other key power brokers.
[00:10:36.212 --> 00:10:45.175]  Former CIA Director William Colby told Nebraska State Legislator John DeCamp that a rogue element of the CIA was heavily involved in ritual child abuse.
[00:10:45.535 --> 00:10:54.699]  He informed DeCamp that not only were the abused children being used in blackmail projects, but the CIA was also using them to conduct mind control experiments.
[00:10:55.379 --> 00:11:05.749]  What became known as the Franklin Scandal was a nationwide pedophile ring that implicated businessmen, senators, major media corporations, the CIA, and the Boys Town organization.
[00:11:06.309 --> 00:11:10.173]  The Finders was another notorious CIA-linked child pimping ring.
[00:11:10.633 --> 00:11:16.639]  Two men were arrested in 1987 for brutally abusing six children between the ages of three and six.
[00:11:17.259 --> 00:11:19.880]  An investigation led police to Washington, D.C.
[00:11:19.920 --> 00:11:29.045]  warehouses where evidence of a global child trafficking network was found, including proof that the children were used in blood rituals and sexual orgies.
[00:11:29.625 --> 00:11:35.168]  The investigation was promptly called off when the CIA deemed the Finders case an internal matter.
[00:11:35.888 --> 00:11:41.633]  The world is no doubt a better place after the takedown of these 150 low-level sex traffickers.
[00:11:42.093 --> 00:11:52.321]  But now the FBI must take their investigation all the way to the top and bring down these elite pedophile organizations that continue to be too powerful for prosecution.
[00:11:52.942 --> 00:12:01.729]  To read more about how the government covers up child sex trafficking by the elite, visit the InfoWars store and buy a copy of The Franklin Scandal by Nick Bryant.
[00:12:02.209 --> 00:12:05.312]  I'm Leigh Ann McAdoo and this has been an InfoWars Nightly News Alert.
[00:12:07.868 --> 00:12:10.950]  One way the government gets a hold of your children is through CPS.
[00:12:11.470 --> 00:12:15.553]  And we're going to be talking with Aram Hampson who did a film on just that after the break.
[00:12:16.013 --> 00:12:17.875]  But for now, we've got the Daily Quote.
[00:12:18.415 --> 00:12:25.159]  The secret of freedom lies in educating people, whereas the secret of tyranny is in keeping them ignorant.
[00:12:25.760 --> 00:12:27.701]  That's Maximilian Robespierre.
[00:12:28.137 --> 00:12:31.160]  It's time to get active, especially if you're in Austin, Texas.
[00:12:31.560 --> 00:12:37.605]  Tomorrow morning, Thursday, August 8th at 10am, you can go speak your mind at the Austin City Hall.
[00:12:37.645 --> 00:12:40.027]  They're going to be trying to increase
[00:12:41.095 --> 00:12:53.238]  The smart meter system in Austin, a $60 million contract that they'd like to have to make more smart meters happen around the Austin area, which, as you know, is terrible for your health if you've been listening to our shows.
[00:12:53.979 --> 00:13:02.381]  And it's, well, it's just not good for anything because it gives the government more abilities to spy on you, connects with all your smart equipment in your home.
[00:13:03.041 --> 00:13:09.503]  And if you've heard Alex talk to Laura or Sheila Hemphill, it's incredible what they can do with this.
[00:13:10.171 --> 00:13:12.493]  It's always better to be there in person if you can.
[00:13:12.613 --> 00:13:15.775]  Speak up at City Hall Thursday, August 8th at 10 a.m.
[00:13:16.556 --> 00:13:30.647]  and if you have any questions you can call Laura 512-762-3825 and get active, get proactive and stop the smart meter system from being even more implemented in Austin and in other areas of the United States.
[00:13:31.307 --> 00:13:33.189]  That's it for this portion of the nightly news.
[00:13:33.289 --> 00:13:35.571]  Stick around for the interview with Aram Hampson.
[00:14:00.145 --> 00:14:03.426]  ProPure is introducing ProOne.
[00:14:04.047 --> 00:14:08.188]  All of your filtration in one system, portable, on the go.
[00:14:08.768 --> 00:14:13.890]  This is a revolutionary system and I am so pleased to be able to introduce it to you.
[00:14:14.271 --> 00:14:18.052]  This is the ProOne by ProPure.
[00:14:18.272 --> 00:14:19.493]  You wanted it, you got it.
[00:14:19.893 --> 00:14:24.795]  No more do you have two or three filters to just reduce sodium fluoride.
[00:14:25.315 --> 00:14:28.216]  You have a system that cuts out the sodium fluoride and
[00:14:28.496 --> 00:14:31.859]  Up to 95% of hydrofluorosilicic acid.
[00:14:32.680 --> 00:14:44.769]  Advanced manufacturing technology combines silver-impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals, all in one filter element.
[00:14:46.431 --> 00:14:54.818]  In the last 20 years, companies have developed technologies that will cut out classical fluoride, sodium fluoride, with a secondary filter.
[00:14:55.788 --> 00:15:10.220]  Because sodium fluoride and its derivatives are so incredibly tiny, some of it still gets through, so you've got to add a secondary fluoride filter onto it, which still doesn't cut out some types of fluoride.
[00:15:11.738 --> 00:15:18.726]  Ladies and gentlemen, ProPure for two years has been quietly developing this with scientists and engineers.
[00:15:18.866 --> 00:15:20.368]  It was designed in the U.S.
[00:15:20.968 --> 00:15:23.912]  They only have factories that can make this in England.
[00:15:24.232 --> 00:15:29.077]  So it's made in England, and this is the only filter that not only
[00:15:29.718 --> 00:15:33.979]  It cuts out the other bad contaminants and also the fluoride in one step.
[00:15:34.519 --> 00:15:37.780]  It cuts out the acid derivative of fluoride.
[00:15:38.100 --> 00:15:39.801]  It is the only one that does it.
[00:15:40.261 --> 00:15:45.602]  And out of the gates, we have it discounted at 10% off with promo code water.
[00:15:46.042 --> 00:15:52.504]  This is the system you need to add to all of the ProPure systems that you've gotten from InfoWarsStore.com.
[00:15:55.066 --> 00:15:57.546]  The new Pro-1 filter element does it all.
[00:15:57.786 --> 00:15:59.687]  Water, fluoride, and other heavy metals.
[00:16:00.687 --> 00:16:03.147]  This is two-stage filtration in one filter element.
[00:16:04.348 --> 00:16:14.789]  To be clear, Pro-1 water filters, designed and created by ProPure, are the only gravity-fed filters out there, period.
[00:16:15.369 --> 00:16:22.011]  That don't just cut out so-called sodium fluoride, but cut out what is added to most water supply systems.
[00:16:22.391 --> 00:16:24.631]  And that is hydrofluorosilicic acid.
[00:16:25.171 --> 00:16:32.798]  Which is a hopped up, energized form of fluoride that is literally dozens of times more deadly to your body.
[00:16:33.158 --> 00:16:36.962]  That's what's being added to almost every municipal water supply.
[00:16:37.282 --> 00:16:42.607]  Not just here in the United States, but in Canada, England, the UK in general, and much of Europe.
[00:16:43.849 --> 00:16:50.395]  New Pro-1 filter elements are good for more than 2,400 gallons, blowing away the competition.
[00:16:51.176 --> 00:16:56.361]  The Pro-Pure Pro-1 is a revolution in gravity-fed filters.
[00:16:56.941 --> 00:16:58.323]  Take advantage of this today.
[00:16:58.403 --> 00:16:59.083]  It's a win-win.
[00:16:59.363 --> 00:17:03.187]  Support the Infowar by purchasing it from InfowarStore.com.
[00:17:03.647 --> 00:17:08.172]  Support the broadcast and get the lowest price out of the gates anywhere.
[00:17:08.732 --> 00:17:15.757]  So no matter where you live in the world, it is time to get the latest development in gravity-fed water filtration.
[00:17:16.357 --> 00:17:19.739]  Up to 95% of hydrofluorosilicic acid.
[00:17:20.460 --> 00:17:23.722]  No other filter can cut any of that out.
[00:17:24.362 --> 00:17:28.445]  Only ProPure and their new System ProOne.
[00:17:29.185 --> 00:17:34.910]  All available at infowarestore.com or by calling 888-253-3139.
[00:17:35.491 --> 00:17:55.209]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:17:55.769 --> 00:17:58.811]  This is a revolution against the tyrants.
[00:17:59.131 --> 00:18:04.695]  They love putting the toxic acid base of fluoride into your water.
[00:18:04.735 --> 00:18:12.120]  They love the fact that it's an adjuvant supercharging the trace prozac in the water and the hormones and the other chemicals.
[00:18:12.440 --> 00:18:16.323]  They love the fact that it supercharges the GMOs that you're eating.
[00:18:16.843 --> 00:18:25.209]  By cutting out fluoride, you cut out the turbocharger in all the poison being artificially introduced into your body.
[00:18:25.909 --> 00:18:27.030]  This is what I use.
[00:18:27.511 --> 00:18:28.351]  It's a win-win.
[00:18:28.672 --> 00:18:30.813]  You get a high-quality product at the lowest price.
[00:18:31.094 --> 00:18:32.355]  You support the Infowar.
[00:18:32.715 --> 00:18:38.500]  Get your Pro Pure with the new Pro One filters today at InfowarStore.com or by calling 888-253-3139.
[00:18:48.902 --> 00:18:54.685]  There's nothing more frightening than our government coming in, knocking on your door, and taking your child from you.
[00:18:54.705 --> 00:18:59.928]  We have a first-hand account coming from Aram, who is the producer of Uncle Sam's Kid.
[00:19:00.328 --> 00:19:07.993]  His first-hand experience with CPS showing up at his door, and his 11-year-old daughter was tasered by the police.
[00:19:09.178 --> 00:19:15.902]  She recently had to get a tooth repaired because when she went down on the concrete, it weakened her gum line.
[00:19:16.582 --> 00:19:19.904]  So, joining me now, we have Aram from Uncle Sam's Kids.
[00:19:20.365 --> 00:19:21.765]  Thank you so much for being here today.
[00:19:21.785 --> 00:19:23.166]  Thank you very much.
[00:19:23.406 --> 00:19:24.007]  Thanks for having me.
[00:19:24.547 --> 00:19:29.570]  Although it was a very informational piece, I found it to be a bit heart-wrenching.
[00:19:30.691 --> 00:19:32.492]  Tell us about how this came together.
[00:19:33.322 --> 00:19:34.823]  Well, it's a heart-wrenching topic.
[00:19:35.944 --> 00:19:43.311]  It was kind of hard to do a documentary on it because there's so many things that you want to cover in something like this, especially if it's a personal experience.
[00:19:44.031 --> 00:19:49.236]  And then you're, you know, limited technically by time and by the information you can get.
[00:19:50.057 --> 00:19:54.561]  But there's just so many facets of this that I think really do need to be covered.
[00:19:55.762 --> 00:20:00.106]  And I was hoping to at least kind of break the ice on this topic.
[00:20:01.252 --> 00:20:10.235]  So maybe people could become more aware, do some research, that there is this institution in our government that is doing some very wicked things.
[00:20:10.635 --> 00:20:21.738]  And it's a typical government agency where their actions promote themselves in a way to where they destroy families.
[00:20:23.918 --> 00:20:29.003]  Why don't we start at the beginning for our viewers that don't know CPS at all, because maybe there's some without children.
[00:20:29.463 --> 00:20:38.311]  Explain how this all came to you, your involvement, and how you had to deal with them so that we can see the motivation of the creation of the film.
[00:20:39.352 --> 00:20:41.494]  Well, when my first child was born,
[00:20:44.315 --> 00:20:56.227]  He was born about a month premature, so he was in the hospital first day in the NICU, and the doctors approached about the regular vaccinations and wanted me to sign off on them.
[00:20:56.667 --> 00:20:58.128]  And I said, no way.
[00:20:58.809 --> 00:21:05.396]  And I looked through their list of vaccinations, and I especially noticed the hepatitis B vaccination, and I got in this kind of heated discussion.
[00:21:06.076 --> 00:21:21.366]  With the pediatrician about the hepatitis V vaccination and how absurd it was to vaccinate a newborn child for something that they could basically only get by being either a drug addict or engaging in, you know, certain types of activities.
[00:21:21.826 --> 00:21:23.487]  There's no risk of getting none.
[00:21:23.727 --> 00:21:26.569]  So why, why did they, what was their argument?
[00:21:27.489 --> 00:21:28.910]  Well, the way it works,
[00:21:30.822 --> 00:21:31.062]  Thank you!
[00:21:50.840 --> 00:21:56.624]  And basically they're assuming, okay, they're going to come talk to the parents and everything's going to be fine and they'll leave.
[00:21:56.704 --> 00:22:06.830]  But the problem with CPS is once that system is put underway, well, once they start the case, they get you, you have to do a psychological evaluation and then
[00:22:08.482 --> 00:22:21.188]  They determined that I was mentally ill and then they make a case report and then you're required to do whatever the psychiatrist thinks you should do, whether it's take medication and go to classes and courses and all that.
[00:22:22.548 --> 00:22:25.910]  What were they saying you were mentally ill of?
[00:22:26.830 --> 00:22:33.093]  They said I had Asperger's and that I was narcissistic.
[00:22:33.313 --> 00:22:36.955]  We could say that about most of the United States government.
[00:22:37.731 --> 00:22:40.494]  Right, but I was trying to argue with the psychiatrist.
[00:22:40.574 --> 00:22:45.379]  I said, look, you can't take someone's child and then give them a proper mental health evaluation.
[00:22:45.699 --> 00:22:47.060]  You've just traumatized the person.
[00:22:47.100 --> 00:22:55.489]  They're obviously not going to be in the appropriate mindset to give or to obtain an accurate psychological evaluation.
[00:22:55.529 --> 00:22:58.812]  Because by that time, my child was already gone for about a month.
[00:22:59.173 --> 00:22:59.353]  Wow.
[00:23:00.168 --> 00:23:02.309]  So I was, you know, freaking out.
[00:23:02.389 --> 00:23:06.670]  And they have this way of making you seem narcissistic because you want your child back.
[00:23:07.050 --> 00:23:09.891]  You're mentally ill because you want your child back.
[00:23:10.431 --> 00:23:17.333]  And they tell you that if you were really a good parent, you wouldn't want your kid back because you need to get treatment.
[00:23:17.714 --> 00:23:20.034]  And if you don't get treatment, then you're putting your kid at risk.
[00:23:20.754 --> 00:23:23.475]  And what treatment were they encouraging?
[00:23:23.695 --> 00:23:26.776]  They wanted me to take some SSRI.
[00:23:26.796 --> 00:23:27.817]  I don't remember what it was.
[00:23:29.810 --> 00:23:35.536]  It was an antidepressant and then another drug for, what else did they say it was?
[00:23:36.597 --> 00:23:38.179]  So basically they wanted you to get on pharma.
[00:23:38.660 --> 00:23:39.480]  That was their solution.
[00:23:39.981 --> 00:23:40.381]  Yeah.
[00:23:40.461 --> 00:23:43.725]  Instead of tackling this so-called imaginary problem that they created.
[00:23:44.686 --> 00:23:45.186]  Depakote.
[00:23:45.407 --> 00:23:45.907]  Depakote.
[00:23:45.927 --> 00:23:46.408]  Oh, there you go.
[00:23:46.668 --> 00:23:47.809]  They wanted me on Depakote.
[00:23:50.535 --> 00:23:56.525]  I mean it was the whole thing was just so crazy and the whole experience makes you mentally ill.
[00:23:56.885 --> 00:23:57.286]  It does.
[00:23:57.626 --> 00:24:00.751]  I mean because it's so insane you can't understand what's
[00:24:01.738 --> 00:24:02.699]  Really happening here.
[00:24:02.959 --> 00:24:07.802]  I think too what a lot of people don't understand is that's where we're headed with Obamacare.
[00:24:08.602 --> 00:24:10.464]  That's exactly, it's the same thing.
[00:24:10.804 --> 00:24:18.349]  Somebody who doesn't know you is going to make a determination whenever they feel like it in order to tell you what medication to take.
[00:24:18.609 --> 00:24:22.511]  Because they have actually the power when you really jump into Obamacare.
[00:24:23.292 --> 00:24:23.972]  It's interesting.
[00:24:24.012 --> 00:24:29.136]  Now this law that you're talking about, this mandatory reporting law, comes down from DHS?
[00:24:30.259 --> 00:24:31.481]  It comes from DHS.
[00:24:31.541 --> 00:24:50.122]  It's a mandatory child abuse prevention law where certain professionals, everyone from doctors to teachers, college professors, even college janitors are mandatory reporters where they can get in trouble if they don't report suspected neglect.
[00:24:50.936 --> 00:25:09.764]  And the way I looked at it was that it's basically DHS is kind of fishing for kids, but this creates a big net where they can kind of scoop them up and get a broad base of kids to take because they are dependent financially on increasing their caseload so they can get more money.
[00:25:10.284 --> 00:25:16.247]  So it creates a definite conflict of interest if their interest is in protecting kids.
[00:25:16.727 --> 00:25:24.620]  There's a whole study on kangaroo care which is about putting the child next to you and raising it next to you and breastfeeding and the whole thing.
[00:25:24.660 --> 00:25:28.146]  There's a reason that God made us this way.
[00:25:28.266 --> 00:25:30.810]  So to take that child away is just, it's inhuman.
[00:25:31.667 --> 00:25:37.934]  Well, it's inhuman, but CPS and the makers of the policy know this as a fact.
[00:25:38.294 --> 00:25:46.402]  It's in their own literature of studying child development psychology, going back to the 50s, that one of the main predictors of
[00:25:47.580 --> 00:25:52.621]  Antisocial behavior, later in life, is removal from the primary caregiver.
[00:25:53.081 --> 00:25:54.441]  It's called an attachment theory.
[00:25:54.841 --> 00:26:01.583]  That was a theory based on the work of Dr. John Bowlby, who did studies with Native American babies.
[00:26:01.963 --> 00:26:04.303]  And Aram, I want to hear about your third child.
[00:26:04.323 --> 00:26:05.603]  What happened to your third child?
[00:26:07.944 --> 00:26:10.364]  We had an emergency C-section.
[00:26:10.384 --> 00:26:12.024]  Actually, it was a planned C-section.
[00:26:13.105 --> 00:26:14.785]  Had her in the hospital for about three days.
[00:26:16.291 --> 00:26:17.252]  Thanks for watching.
[00:26:33.032 --> 00:26:35.934]  They scheduled us again to come back on Sunday.
[00:26:36.395 --> 00:26:42.119]  Well, I called and canceled the appointment because I thought it was absurd that we had to drive another 30 miles with a little newborn baby.
[00:26:42.139 --> 00:26:45.482]  I'm not fond of driving a little precious little baby in a car.
[00:26:45.923 --> 00:26:48.325]  So I said like, no, let's cancel that appointment.
[00:26:49.185 --> 00:26:52.048]  Well, the doctor, under this mandatory reporting law,
[00:26:53.112 --> 00:26:56.974]  reported us for potential neglect because we canceled one appointment.
[00:26:57.975 --> 00:27:06.119]  On Monday morning, two caseworkers and two armed police officers showed up at our house needing to verify that our baby was okay.
[00:27:06.479 --> 00:27:08.620]  We said, okay, here's the baby.
[00:27:08.660 --> 00:27:09.220]  She's fine.
[00:27:09.420 --> 00:27:11.522]  She was nursing and doing great.
[00:27:12.622 --> 00:27:15.684]  Well, they come in and wanted to talk to us, of course, and I'd already had experience with this.
[00:27:15.704 --> 00:27:17.365]  I'm like, oh man, this is not good.
[00:27:17.665 --> 00:27:17.765]  Um,
[00:27:19.033 --> 00:27:26.225]  And they spoke with us for a little while, and the caseworker, you could just see the look on her face, looking at our baby.
[00:27:26.265 --> 00:27:26.586]  It's like...
[00:27:28.260 --> 00:27:29.640]  That she wanted our child.
[00:27:30.561 --> 00:27:32.641]  So she determined that our child had to be removed.
[00:27:33.262 --> 00:27:35.902]  And my wife had never had any experience with DHS.
[00:27:36.643 --> 00:27:39.483]  And she was like, no way you're not taking my kid.
