[00:00:00.009 --> 00:00:01.718]  Alex Jones Broadcasting Network.
[00:08:19.515 --> 00:08:20.636]  Government cover-ups.
[00:08:21.277 --> 00:08:22.098]  You want answers?
[00:08:22.879 --> 00:08:23.740]  Well, so does he.
[00:08:24.401 --> 00:08:28.025]  He's Alex Jones on the GCN Radio Network.
[00:08:28.605 --> 00:08:32.670]  And now, live from Austin, Texas, Alex Jones.
[00:08:49.719 --> 00:08:53.764]  Ladies and gentlemen, thank you so much for joining us on this Friday edition.
[00:08:54.044 --> 00:08:55.446]  We are now into the second hour.
[00:08:55.506 --> 00:09:09.462]  We have a guest that we're getting hooked up on Skype right now who's an expert on the technotronic technocracy age, the governing system that the globalists actually describe themselves as being adherents of.
[00:09:10.103 --> 00:09:13.907]  And this is the system they're trying to set up, so that's coming up here in a few minutes.
[00:09:14.927 --> 00:09:21.493]  First off, Congressman McDermott is saying he hasn't seen this much panic on the floor since 9-11.
[00:09:22.134 --> 00:09:28.240]  House Democrat compares congressional panic over Obamacare to worst terror attack in nation's history.
[00:09:28.860 --> 00:09:34.124]  Well yeah, that manufactured globalist event killed 3,000 people and was tragic.
[00:09:34.585 --> 00:09:37.227]  And then thousands more from the deadly dust the government lied about.
[00:09:37.747 --> 00:09:46.074]  But this is going to kill the economy and the engine of prosperity and kill millions through death panels and rationed care on record.
[00:09:47.995 --> 00:09:51.536]  I mean, we knew what was in the bill, we knew the plan, and now, get ready.
[00:09:52.196 --> 00:09:54.357]  Get ready to become impoverished.
[00:09:55.137 --> 00:10:07.140]  Because they want you impoverished under Cloward and Piven to give up on the free market, blame capitalism for crony fraud capitalism that they brought in, where they socialize our lives, but then transfer the wealth to themselves.
[00:10:08.775 --> 00:10:11.076]  So that is just some of the news.
[00:10:11.476 --> 00:10:17.978]  Also CBS is reporting that a TSA agent officer bled for 33 minutes in LAX shooting.
[00:10:19.398 --> 00:10:23.479]  Airports are supposed to be the most secure places in the country, except for like military bases.
[00:10:24.219 --> 00:10:28.601]  And then this guy bled for 33 minutes while they got the SWAT team all suited up and ready.
[00:10:29.041 --> 00:10:32.122]  Again, it's the culture of just worrying about their safety all day.
[00:10:32.622 --> 00:10:37.243]  Until the point is nobody's safe because a nanny state can do nothing but make you domesticated.
[00:10:38.911 --> 00:10:47.537]  A nanny state can do nothing except basically turn you into a sheep.
[00:10:50.820 --> 00:10:51.921]  It's so simple.
[00:10:53.102 --> 00:10:56.844]  And then we've got the other news up on InfoWars.com and PrisonPlanet.com.
[00:10:58.566 --> 00:11:02.629]  Reports out Obama is an actor trained by Harry Lennox.
[00:11:02.849 --> 00:11:04.370]  This is a big deal if this goes viral.
[00:11:05.523 --> 00:11:20.972]  That Harry Lennox is saying, and it's on record they were friends for about 17 years, and that they had done work together and they'd go to each other's houses and now he reportedly says Obama's horrible and is a rat.
[00:11:21.432 --> 00:11:22.172]  That's another quote.
[00:11:23.053 --> 00:11:23.593]  A rat.
[00:11:25.034 --> 00:11:30.157]  And that Obama was trained by him to be presidential.
[00:11:30.917 --> 00:11:31.898]  And then of course if you watch
[00:11:33.113 --> 00:11:34.359]  Uh, Harry Lennox to an interview.
[00:11:34.520 --> 00:11:35.143]  It's Obama.
[00:11:35.184 --> 00:11:36.751]  The same cadence, the same voice.
[00:11:38.945 --> 00:11:42.507]  Obama is copying Lennox, or Lennox is copying Obama.
[00:11:43.167 --> 00:11:44.367]  It's like the same guy.
[00:11:44.728 --> 00:11:52.091]  And I believe Lennox over Obama, so that article and the source on that is up on Infowars.com right now.
[00:11:52.791 --> 00:11:56.673]  Also, again, the Federal Reserve is planning to accelerate money printing.
[00:11:57.133 --> 00:12:04.036]  Congressman warns of Obama creating secret security force, armed security force, that's actually in the Obamacare bill.
[00:12:04.696 --> 00:12:07.137]  And then the media is like, oh, he would never do that.
[00:12:07.377 --> 00:12:11.760]  They've already set it up with mercenaries with top security clearances guarding federal buildings now.
[00:12:13.341 --> 00:12:15.922]  And then the billions of bullets and all the training and the rest of it.
[00:12:15.962 --> 00:12:19.084]  I mean, this is just simply, simply amazing.
[00:12:19.983 --> 00:12:22.084]  And then some of the other news.
[00:12:22.164 --> 00:12:26.786]  Countdown US hits debt ceiling in 84 days.
[00:12:27.587 --> 00:12:30.508]  And again, Obama said raising the debt does not raise the debt.
[00:12:30.708 --> 00:12:31.849]  Only not raising it.
[00:12:32.209 --> 00:12:36.391]  That's the only thing that is financially irresponsible.
[00:12:38.292 --> 00:12:41.194]  We have a bigger debt than we have yearly GDP.
[00:12:41.294 --> 00:12:47.037]  We have a higher debt-to-savings ratio than Spain and Greece that are both completely bankrupt.
[00:12:47.891 --> 00:12:49.714]  And their answer is, get us deeper into debt.
[00:12:49.835 --> 00:12:50.315]  Why not?
[00:12:50.355 --> 00:12:51.998]  The globalists want us impoverished.
[00:12:53.020 --> 00:12:56.405]  And if Rand Paul wants to cut the defense budget, he's a traitor.
[00:12:57.501 --> 00:13:05.267]  And if Ted Cruz wants to cut some of the corporate welfare and entitlement welfare, oh, he's a horrible person.
[00:13:05.787 --> 00:13:12.872]  You can't continue to do this and have 101 million people on food assistance and 100 plus million people on government dole.
[00:13:13.653 --> 00:13:16.295]  There's more people on the dole now than in the workforce.
[00:13:16.755 --> 00:13:17.876]  Let me say that again.
[00:13:18.316 --> 00:13:20.718]  What about the people going bankrupt everywhere?
[00:13:21.398 --> 00:13:23.280]  What about the people losing their houses?
[00:13:24.568 --> 00:13:27.630]  Well, the folks that have been not working for five, ten years, they go, I don't care!
[00:13:28.971 --> 00:13:29.812]  Tax the rich!
[00:13:29.932 --> 00:13:35.537]  It's the ultra-rich lobbying for that, against the middle class, their historic enemy, to bankrupt the country.
[00:13:35.917 --> 00:13:38.399]  Once they've done that, you're all going to have your welfare taken away.
[00:13:39.720 --> 00:13:42.442]  Here's an article, China to ease one-child policy.
[00:13:43.603 --> 00:13:53.571]  That's because it's caused such a problem, having upwards of, what is it, 60, 70 more million men than they have women.
[00:13:54.818 --> 00:13:57.160]  And it's causing all sorts of societal problems.
[00:13:58.040 --> 00:14:00.702]  And India is about to outstrip them in population.
[00:14:00.762 --> 00:14:03.064]  And they've ended the labor camps.
[00:14:03.584 --> 00:14:05.025]  That's being reported by Reuters.
[00:14:05.625 --> 00:14:07.787]  China unveils boldest reforms in decades.
[00:14:09.148 --> 00:14:11.089]  Shows that the new president is in command.
[00:14:11.109 --> 00:14:13.090]  Folks, they don't need labor camps anymore.
[00:14:13.370 --> 00:14:15.012]  Because they call them jobs.
[00:14:15.432 --> 00:14:18.814]  And you go in their suicide nets and they forced drug you and forced abortion.
[00:14:19.314 --> 00:14:21.076]  And you're basically locked up at night.
[00:14:21.296 --> 00:14:22.977]  And they just don't call it labor camps.
[00:14:25.903 --> 00:14:32.148]  And don't worry, China is now on the UN Human Rights Board, deciding what's human rights, along with Cuba.
[00:14:32.168 --> 00:14:34.730]  Along with Cuba, I hope it gets better.
[00:14:34.890 --> 00:14:38.713]  Saudi Arabia is probably a bigger tyranny than China, per capita.
[00:14:39.814 --> 00:14:45.959]  The only thing worse is North Korea, and I expect them to be made, you know, the head of the UN operation.
[00:14:45.979 --> 00:14:50.623]  So, that's just some of the news, up on InfoWars.com, up on PrisonPlanet.com.
[00:14:51.483 --> 00:14:54.646]  EPA blocks cities from installing fire hydrants.
[00:14:56.195 --> 00:14:59.857]  Again, the EPA is shutting down over 500 power plants.
[00:14:59.877 --> 00:15:13.205]  Bloomberg reports Philadelphia has 119 fire hydrants that cost about $2,000 each waiting in a warehouse to be installed, yet they sit there in dry dock because federal regulators say their fittings might taint drinking water with lead.
[00:15:14.125 --> 00:15:26.942]  Yeah, the last lead smelting plant in the US, it's a very important metal for a lot of natural uses, it's been shut down, so you can't even get bullets, but they allow lead in the food from China, just no lead in food produced here.
[00:15:28.055 --> 00:15:30.557]  And I'm talking microscopic amounts you can't have here.
[00:15:30.798 --> 00:15:32.780]  You can just ship it in at thousands of times that.
[00:15:33.360 --> 00:15:36.283]  Again, everything is meant to shut us down.
[00:15:37.003 --> 00:15:38.145]  Shut us down.
[00:15:38.565 --> 00:15:39.726]  Shut America down.
[00:15:39.746 --> 00:15:41.608]  Because remember, the globalists, they're all above the law.
[00:15:41.628 --> 00:15:42.369]  They're all exempt.
[00:15:42.789 --> 00:15:44.511]  This is what their neo-feudalism is.
[00:15:45.211 --> 00:15:48.374]  Under a technological tyranny, a technocracy.
[00:15:48.714 --> 00:15:52.697]  And that leads us now to our guest who will be with us for the balance of the hour.
[00:15:53.438 --> 00:16:01.885]  And then the top former Secret Service agent, he was the head of operations when the president would go overseas.
[00:16:01.905 --> 00:16:07.069]  Dan Bongino is going to join us with a lot of key intel at the start of the next hour.
[00:16:07.089 --> 00:16:09.531]  And then we'll take phone calls the last 30 minutes or so, I promise.
[00:16:10.151 --> 00:16:12.874]  But Patrick Wood, I was familiar with his writings and work.
[00:16:14.175 --> 00:16:40.781]  From newsreviews.com and other places, but I heard him for an hour on Dr. Stan Monteith a few nights ago, and I've read the Technotronic Age, I've read the Anglo-American Establishment, I've read Quigley's books, I've read Brzezinski's books, I read Council on Foreign Relations publications, and so I knew everything he was saying was accurate, but he knew stuff I didn't know and I went and looked it up and it was accurate.
[00:16:41.462 --> 00:16:42.662]  So I wanted to get him on because
[00:16:44.592 --> 00:16:49.018]  He is an editor of a weekly financial analysis service, Findings and Forecasts.
[00:16:49.378 --> 00:16:59.832]  He has studied elite globalization policies, which you need to do to understand economics, since the late 70s when he partnered with the late Anthony C. Sutton, who was a listener and been on the show.
[00:17:00.313 --> 00:17:03.635]  To co-author Trilaterals Over Washington Volumes 1 and 2.
[00:17:04.215 --> 00:17:12.099]  He remains a leading expert on the elitist Trilateral Commission, their policies and achievements in creating their self-proclaimed new international economic order.
[00:17:12.519 --> 00:17:19.022]  He is also a leading expert on historic and modern technocracy, which plays a prominent role in current world affairs.
[00:17:19.062 --> 00:17:19.983]  That says it lightly.
[00:17:23.722 --> 00:17:31.312]  An economist by education, a financial analyst and writer by profession, an American constitutionalist by choice, Wood holds a biblical worldview.
[00:17:32.132 --> 00:17:37.679]  He has a deep historical insight into the modern attacks on sovereignty, property rights and personal freedom.
[00:17:38.060 --> 00:17:39.882]  Such attacks are the epitome.
[00:17:41.150 --> 00:17:50.356]  Uh, and, uh, by the implementation of UN policies, such as Gen 21, sustainable development, smart growth, and in education, the widespread adoption of Common Core, 2 plus 2 equals 5.
[00:17:51.036 --> 00:17:56.300]  His current research builds on Trilateral Commission hegemony involving transhumanism, technocracy,
[00:17:57.080 --> 00:18:04.083]  And more, and how these are co-opting economics, politics, and religion, which together represent the major pillars of society.
[00:18:04.103 --> 00:18:09.325]  Yes, they're taking over all sciences, philosophies, and re-engineering them, and I appreciate them coming on.
[00:18:09.745 --> 00:18:11.786]  We're going to skip this network break because I'm behind.
[00:18:11.806 --> 00:18:15.667]  This is such important intelligence, so stations shouldn't be skipping this break.
[00:18:15.687 --> 00:18:16.487]  It's a network break.
[00:18:16.968 --> 00:18:19.969]  We're going to do this because it's time, it's important.
[00:18:21.576 --> 00:18:24.758]  Augustforecast.com is his site, and he will be here frequently.
[00:18:25.018 --> 00:18:30.442]  There's so many amazing minds out there that we just, you know, just tend to forget in our rush.
[00:18:30.522 --> 00:18:44.791]  And Anthony Sutton, of course, advised Congress, discovered all the documents at the Ford Foundation and others, with Patrick Wood, who was a top congressional advisor, on the plan to convert America to a tyranny, how our government funded Stalin, Lenin before him.
[00:18:45.111 --> 00:18:50.835]  Hitler didn't run them or control them, built them, just like Saddam and Al-Qaeda and all of it.
[00:18:51.963 --> 00:19:00.407]  And to understand the scientific tyranny, the application of dehumanization, we give you probably one of the greatest living experts.
[00:19:00.427 --> 00:19:04.108]  Because I went and looked into him, and I'd seen his writings, and I was like, I forgot about Patrick Wood.
[00:19:04.408 --> 00:19:05.449]  Why has he never been on the show?
[00:19:05.649 --> 00:19:07.830]  He might have been on, I might have forgot, but I don't believe he's ever been with us.
[00:19:08.530 --> 00:19:10.691]  And it's just so important, a treasure trove.
[00:19:10.711 --> 00:19:14.012]  The reason I'm building this up is, you need to understand, this is your world.
[00:19:14.292 --> 00:19:15.353]  This is how it really runs.
[00:19:15.993 --> 00:19:25.118]  These are the guys that in Congress got the documents and went to the Canadian archives and got the intel to put out the intel and to post the documents on their websites.
[00:19:26.737 --> 00:19:32.603]  I had Sutton on about 17 years ago, and then I tried to get him on a few years later, and he said, I'm sorry, I'm too ill, but I appreciate your work.
[00:19:32.663 --> 00:19:33.744]  And then he died like a week later.
[00:19:34.085 --> 00:19:34.605]  I couldn't believe it.
[00:19:34.625 --> 00:19:36.627]  He was like on his deathbed and was sending me emails back.
[00:19:37.068 --> 00:19:38.990]  So I just really admire his work as well.
[00:19:39.530 --> 00:19:41.652]  And we need to remember these men that have fought so hard.
[00:19:41.933 --> 00:19:49.120]  Mr. Wood, I know it's probably annoying having me gush over you, but your intel is so vital to the preservation of human dignity.
[00:19:50.205 --> 00:19:51.206]  Well, thank you, Alex.
[00:19:51.286 --> 00:19:54.727]  I appreciate the opportunity to get some of this information out.
[00:19:54.907 --> 00:20:01.871]  I've been trying hard, as you know, and I always enjoy doing radio and TV interviews whenever I can.
[00:20:02.531 --> 00:20:03.152]  Well, let's do this.
[00:20:03.192 --> 00:20:05.173]  Let's say you're talking to a new audience.
[00:20:05.473 --> 00:20:13.657]  If you had five minutes on national TV, which this basically is now, three million people right now conservatively watching and listening, how would you introduce it to laymen?
[00:20:13.697 --> 00:20:19.160]  Because my listeners are very smart, very informed, but they always want to give stuff to their family.
[00:20:19.640 --> 00:20:21.142]  And so they want it crystallized.
[00:20:21.202 --> 00:20:25.809]  Give us the basic overview and then get into the nuts and bolts of technocracy.
[00:20:26.831 --> 00:20:33.340]  Well, it's really a, you know, it's a complex and a deep topic, but basically the first idea is this.
[00:20:34.463 --> 00:20:41.710]  The problems we've been having in the last 35 to 40 years, especially, have been economic in nature rather than political.
[00:20:41.810 --> 00:20:52.400]  And there's a lot of emphasis in the public, like in the Tea Parties, the conservative movement, and even in liberal circles as well, that the world revolves around politics.
[00:20:52.780 --> 00:20:57.684]  That is, arguing in Congress and, you know, fighting with the executive branch and so on.
[00:20:58.687 --> 00:21:10.076]  And my studies on the Trilateral Commission have pretty much pointed out, I think with great detail, that the takeover of America has been economic in nature.
[00:21:10.176 --> 00:21:12.517]  And that was the nature originally of the Trilateral Commission.
[00:21:12.557 --> 00:21:17.541]  It was formed in 1973 by David Rockefeller and Zbigniew Brzezinski.
[00:21:18.782 --> 00:21:23.886]  They said frequently that they were going to create a new international economic order.
[00:21:24.366 --> 00:21:27.389]  They used that in every one of their early publications.
[00:21:28.509 --> 00:21:34.415]  We didn't really know at the time exactly what that would look like, but we had a pretty good idea for meeting the policies.
[00:21:34.655 --> 00:21:43.903]  And they have managed over a period of now since 1973, some 35 plus years, to create this new international economic order.
[00:21:43.943 --> 00:21:46.385]  And if we look around, this is what we see today, Alex.
[00:21:46.405 --> 00:21:47.926]  This is what's important to realize.
[00:21:48.447 --> 00:21:51.650]  Back then, people criticized us for being conspiracy nuts.
[00:21:52.310 --> 00:21:58.174]  Today, we have the force of history behind us, which after a 25-year period, of course, becomes history.
[00:21:58.834 --> 00:22:04.198]  We can now look back at history and see that what we said in the 1970s was exactly right.
[00:22:04.278 --> 00:22:05.579]  This is exactly what they've done.
[00:22:06.339 --> 00:22:10.963]  We know that the world system today is broken, almost beyond repair.
[00:22:12.063 --> 00:22:16.206]  And we have to put the finger where the finger belongs.
[00:22:16.286 --> 00:22:21.570]  And it belongs with this very small, elite group of internationalists
[00:22:22.470 --> 00:22:27.834]  That were represented by the members of the Trilateral Commission back in 1973 and ever since, I might add.
[00:22:28.455 --> 00:22:33.078]  And they have influenced our government, the executive branch of our government especially.
[00:22:33.098 --> 00:22:41.524]  They have influenced our government to an extreme that has literally excluded the American people altogether.
[00:22:41.544 --> 00:22:44.787]  We have no control over Congress anymore, it appears.
[00:22:45.707 --> 00:22:48.550]  And the executive branch is just going to do what it wants to do.
[00:22:48.670 --> 00:22:53.835]  So there's been a fundamental change in the political system in our country for sure.
[00:22:54.595 --> 00:23:03.844]  But the political system was really just useful idiots for this elite group of economy changers, if you will.
[00:23:04.204 --> 00:23:07.748]  They had to use the political system to get what they wanted to do.
[00:23:08.488 --> 00:23:31.568]  Economically over these last years and so we see we see things like the North American Free Trade Agreement, DAFTA, CAFTA, we say that we see the Trans-Pacific Partnership being negotiated right now that is hopefully not going to get put through on fast track but the administration is trying to get fast track authority established again.
[00:23:33.149 --> 00:23:35.991]  So you know this this hegemony has
[00:23:36.892 --> 00:23:41.235]  Has continued from 1973 to today.
[00:23:41.255 --> 00:23:42.956]  Hasn't let up.
[00:23:43.736 --> 00:23:46.438]  Nobody has identified these people behind the scenes.
[00:23:47.119 --> 00:23:52.062]  Nobody has, even politicians will not write about them or speak about them.
[00:23:52.802 --> 00:24:04.690]  In fact, I think the only living politician living or dead that I know that ever talked about the Trilateral Commission was Barry Goldwater when he wrote his memoirs with no apologies back in 1979.
[00:24:06.856 --> 00:24:09.299]  Um, so this group was not talked about.
[00:24:09.399 --> 00:24:10.741]  These people are not talked about.
[00:24:10.821 --> 00:24:17.209]  We've been writing about him since 19 well, 1977, really, and nothing has changed.
[00:24:18.210 --> 00:24:20.553]  You know, they're doing the same thing today they did back then.
[00:24:22.186 --> 00:24:25.169]  I don't know how else I could summarize it in a very short period of time, Alex.
[00:24:25.729 --> 00:24:26.650]  Well, you've done a great job.
[00:24:26.690 --> 00:24:33.476]  In fact, I'm going to pull up the Barry Goldwater quote, with no apologies, where he describes how it's an economic takeover.
[00:24:33.496 --> 00:24:36.999]  We're designed to fight a Stalin, a Hitler, a Mao.
[00:24:37.039 --> 00:24:38.240]  We see a foreign enemy.
[00:24:38.800 --> 00:24:45.966]  But when it's corporate and regulatory and incremental, and it creates a global group of less than 100 corporations, in Rockefeller's own words,
[00:24:46.987 --> 00:24:49.088]  He's written New York Times articles bragging about it.
[00:24:50.149 --> 00:24:53.971]  How they want centralized control and how they divide up the world.
[00:24:54.571 --> 00:24:57.213]  US-based companies get the toll roads in Spain.
[00:24:57.773 --> 00:24:59.714]  Spain gets the toll roads over here.
[00:25:00.914 --> 00:25:03.336]  It's where they divide up the world amongst themselves.
