[00:00:25.461 --> 00:00:28.422]  You've got one!
[00:15:59.915 --> 00:16:06.903]  Yes, these men and their hypnotized followers call this a new order.
[00:16:07.703 --> 00:16:11.808]  It is not new, and it is not order.
[00:16:14.372 --> 00:16:15.872]  This is the reality.
[00:16:16.412 --> 00:16:19.673]  And they just think you're unconscious and stupid and go, oh, that guy's a kook.
[00:16:20.033 --> 00:16:20.973]  Oh, that guy's a liar.
[00:16:20.993 --> 00:16:21.994]  Oh, he's discredited.
[00:16:22.014 --> 00:16:22.754]  Don't listen to him.
[00:16:23.254 --> 00:16:29.595]  The truth is, folks, they're doing everything they can to keep you from getting to InfoWars.com and PrisonPlanet.com.
[00:16:30.035 --> 00:16:31.816]  So email everyone you know about the sites.
[00:16:31.876 --> 00:16:32.876]  Tell your friends and family.
[00:16:33.196 --> 00:16:36.697]  Share your PrisonPlanet.tv membership with 30, 40 people.
[00:16:37.992 --> 00:16:42.976]  You can have 11 people with the same username and passcode simultaneously logged on at one time.
[00:16:43.357 --> 00:16:48.261]  And if you log in one day and can't use it, because too many people are logged on, go get another membership!
[00:16:48.501 --> 00:16:49.222]  Support us!
[00:16:49.262 --> 00:16:50.803]  We're doing something bold here.
[00:16:51.264 --> 00:16:52.965]  Going head-on against the globalists.
[00:16:53.345 --> 00:16:54.426]  Getting past our fear.
[00:16:54.747 --> 00:16:55.647]  Committing to liberty.
[00:16:57.109 --> 00:17:00.772]  And building a platform to launch other people against the globalists.
[00:17:02.125 --> 00:17:03.146]  We're doing big things here.
[00:17:03.486 --> 00:17:06.328]  Big things have small beginnings, and we've grown to something really big.
[00:17:06.568 --> 00:17:07.529]  We intend to get even bigger.
[00:17:07.569 --> 00:17:09.030]  We intend to double down.
[00:17:09.550 --> 00:17:11.511]  I told you a year ago we were going to go to the next level?
[00:17:11.531 --> 00:17:11.932]  We've done it.
[00:17:12.172 --> 00:17:13.973]  Now we're going to the next level, after that, and the next.
[00:17:14.914 --> 00:17:16.715]  If God be with us, who can stand against us?
[00:17:17.335 --> 00:17:18.536]  Alright, let's shift gears.
[00:17:18.716 --> 00:17:19.277]  Eyewitness!
[00:17:19.977 --> 00:17:26.642]  The younger brother of the reported bombers, Jahar, did not shoot Boston Cop.
[00:17:27.827 --> 00:17:31.490]  And that's what eyewitnesses are reporting, dealing with friendly fire.
[00:17:31.510 --> 00:17:35.613]  Remember New York last year where the cops shot seven people, and then they said a mass shooter had done it?
[00:17:36.274 --> 00:17:38.836]  And then it was back of the paper later that they shot the people?
[00:17:39.276 --> 00:17:44.180]  Same thing, shooting up cars with the whole Dorner cop chase thing in Southern California?
[00:17:46.582 --> 00:17:47.162]  Yeah, nine people.
[00:17:47.182 --> 00:17:47.703]  How many did I say?
[00:17:52.958 --> 00:17:57.021]  Oh yeah, there it is, nine people wounded by police fire in New York shooting.
[00:17:57.041 --> 00:17:58.562]  Let's show people that article right there.
[00:17:59.602 --> 00:18:14.052]  So now you've got the brother who climbs out of the boat, you know, not bleeding, then his throat's cut out so he can't talk, and then he then is forced to confess, but we don't even know if he did that.
[00:18:16.113 --> 00:18:20.316]  I mean, that's the essence of a tyranny, where you just disappear,
[00:18:22.126 --> 00:18:23.368]  And then they say you confessed.
[00:18:23.628 --> 00:18:24.249]  Oh, where's Alex?
[00:18:24.329 --> 00:18:25.110]  Oh, he confessed.
[00:18:25.471 --> 00:18:26.332]  He's in a dungeon.
[00:18:26.372 --> 00:18:27.694]  He doesn't get counsel.
[00:18:28.335 --> 00:18:29.736]  Violation of the Seventh Amendment.
[00:18:29.816 --> 00:18:31.899]  I mean, this is unprecedented.
[00:18:31.939 --> 00:18:33.722]  Or is it the Sixth Amendment?
[00:18:33.842 --> 00:18:35.003]  What's the one on counsel?
[00:18:35.083 --> 00:18:35.784]  The Sixth Amendment?
[00:18:35.824 --> 00:18:37.567]  Look up right of counsel.
[00:18:39.501 --> 00:18:40.882]  And right up to due process.
[00:18:41.162 --> 00:18:42.023]  I think it's Sixth Amendment.
[00:18:42.283 --> 00:18:44.024]  This is teleprompter free, folks, by the way.
[00:18:44.044 --> 00:18:46.386]  This is me up here, you know, going over the research.
[00:18:46.446 --> 00:18:49.328]  And last week, the news showed live feeds.
[00:18:51.489 --> 00:18:54.971]  That video has been dug up where they're going, don't shoot, don't shoot.
[00:18:55.312 --> 00:18:56.052]  We didn't do it.
[00:18:56.092 --> 00:18:56.672]  We didn't do it.
[00:18:56.692 --> 00:18:58.914]  But they had orders to take them out.
[00:19:00.195 --> 00:19:01.796]  Yeah, it's the Sixth Amendment right to counsel.
[00:19:05.006 --> 00:19:06.607]  And the Fifth Amendment and so many others.
[00:19:06.667 --> 00:19:10.449]  It's like, oh, he's drugged up, his throat's cut out, never mind.
[00:19:10.469 --> 00:19:11.670]  And they're like, why didn't they just kill him?
[00:19:11.690 --> 00:19:25.877]  Because he was in the boat, they shot it up, a hole every inch, then the news feed got a camera from across the street, the cops on the scanner went, oh no, abort, abort, they've got a camera on it, so then he climbs out, they can't believe he's still alive, so they cut his throat out.
[00:19:26.117 --> 00:19:27.318]  You're not going to be talking, bud.
[00:19:27.698 --> 00:19:31.600]  I mean, that is the incredible nature of this, and it just continues to pile up.
[00:19:33.027 --> 00:19:47.255]  Continuing, a report out of the Washington Times legalizing illegal immigrants will cost 6.3 trillion dollars in all the new welfare and everything else, which again is designed to just further bankrupt this country.
[00:19:48.163 --> 00:19:54.468]  Now let's go to this NRA news report breaking down what's really causing the violence in Mexico.
[00:19:55.069 --> 00:20:02.575]  Fast and Furious and the open border policy of the globalists who want to erase the national sovereignty of our formerly great republic.
[00:20:02.795 --> 00:20:03.556]  Here's that report.
[00:20:03.956 --> 00:20:05.958]  This plague is spreading everywhere.
[00:20:07.059 --> 00:20:16.207]  People are assassinated, placed in trunks, left with banners indicating that this is what happens to individuals who are seeking to stop the cartels.
[00:20:16.687 --> 00:20:20.529]  My wife comes home from the grocery store and a woman's head is in the front yard.
[00:20:20.549 --> 00:20:21.529]  Is this America?
[00:20:21.850 --> 00:20:22.690]  Or is this Iraq?
[00:20:22.890 --> 00:20:28.773]  The worst of their society coming here to America to prey upon our innocent citizens.
[00:20:29.133 --> 00:20:30.274]  And this isn't a problem?
[00:20:30.674 --> 00:20:32.755]  The federal government has abandoned us.
[00:20:32.775 --> 00:20:35.316]  We've been driving down this border road here for about 10 miles.
[00:20:35.376 --> 00:20:36.517]  Have you seen a border patrol agent yet?
[00:20:36.997 --> 00:20:40.138]  I know that border, I think, as well as anyone.
[00:20:40.218 --> 00:20:46.921]  We turn on the TV and Janet Napolitano says... It is as secure now as it has ever been.
[00:20:46.941 --> 00:20:50.782]  These guys ought to be criminally tried for what they're doing to this nation.
[00:20:53.223 --> 00:20:54.744]  It's a deadly turf war.
[00:20:55.104 --> 00:21:00.206]  Rival Mexican drug cartels battling for control of smuggling routes, power, and money.
[00:21:01.894 --> 00:21:08.397]  But still, President Obama goes to Mexico apologizing for our firearm freedoms.
[00:21:08.918 --> 00:21:12.920]  This war is being waged with guns purchased not here, but in the United States.
[00:21:13.220 --> 00:21:16.141]  Many from gun shops that line our shared border.
[00:21:16.382 --> 00:21:17.882]  We don't care about your laws here.
[00:21:18.383 --> 00:21:20.344]  We can get weapons anywhere.
[00:21:20.444 --> 00:21:22.625]  We get weapons from Honduras and El Salvador.
[00:21:22.645 --> 00:21:26.247]  The majority of the weapons are not coming from the U.S.
[00:21:26.427 --> 00:21:30.169]  Three quarters of the weapons that the cartel gets is supplied by the military.
[00:21:31.670 --> 00:21:34.191]  And that's just some excerpts from those NRA reports.
[00:21:34.211 --> 00:21:36.451]  The full reports are up at infowars.com.
[00:21:36.991 --> 00:21:45.614]  Now, we have confirmed via the local newspaper what we first broke about a month ago, and that was confirmed by American Free Press, and then now by the police.
[00:21:46.054 --> 00:21:53.136]  The Watford Observer is reporting it's a suburb, a quasi-rural suburb in northwest London.
[00:21:54.076 --> 00:21:55.137]  Or northwest of London.
[00:21:55.497 --> 00:21:59.140]  Police confirmed Bilderberg 2013 to take place in Watford, UK.
[00:21:59.741 --> 00:22:02.262]  Authorities will facilitate peaceful protest.
[00:22:02.783 --> 00:22:04.664]  Well that's good news, because that's what we're planning.
[00:22:05.245 --> 00:22:09.248]  And I have already booked passage on a 777 over there.
[00:22:10.369 --> 00:22:12.030]  And so we will see what happens.
[00:22:12.070 --> 00:22:18.695]  But regardless, Paul Watson and our other UK reporters will also be on site for 2013 coverage of Bilderberg.
[00:22:18.715 --> 00:22:19.556]  Why is it important?
[00:22:19.896 --> 00:22:22.018]  Because we're covering the real shadow government.
[00:22:22.398 --> 00:22:24.239]  We're covering the Logan Act being violated.
[00:22:24.259 --> 00:22:32.001]  We're covering these globalists that literally feet at the trough of government bailouts and too big to fail and insider deals.
[00:22:32.561 --> 00:22:34.162]  We are exposing what they're up to.
[00:22:34.222 --> 00:22:44.865]  I mean, just two years ago in Switzerland, they had Zuckerberg and the head of Google, Schmidt and others, and we said, watch, this is about them getting political cover from European and U.S.
