[00:00:19.241 --> 00:00:22.563]  For the InfoWars Nightly News, I'm David Knight, and it's Thursday, September 26, 2013.
[00:07:02.553 --> 00:07:04.754]  He said it's too much like the Wild West.
[00:07:04.794 --> 00:07:05.335]  Well, you know what?
[00:07:05.375 --> 00:07:10.559]  In the Wild West, in America's frontier past, we had respect for individual liberty.
[00:07:11.300 --> 00:07:12.281]  Not in China.
[00:07:13.331 --> 00:07:18.734]  If the government in China doesn't like what you're saying, they can grab you and force you to confess your crimes in public.
[00:07:19.315 --> 00:07:23.097]  Well, it's not just Internet dissenters that they're cracking down on in China.
[00:07:23.117 --> 00:07:26.639]  Of course, they crack down on people who are dissenting apart from the Internet.
[00:07:26.679 --> 00:07:30.621]  People who are speaking out about human rights violations against forced abortions.
[00:07:31.242 --> 00:07:39.047]  Now we're seeing the same pattern in the United States and in the UK, where they're going after dissenters and shutting them down or preventing them from speaking.
[00:07:40.027 --> 00:07:40.287]  The U.S.
[00:07:40.307 --> 00:07:44.550]  Government Prevented Drone Strikes Victims From Meeting With Congress Claims A Lawyer.
[00:07:44.570 --> 00:07:54.717]  This is a fellow named Shahzad Akbar, and he's with the Pakistan-based Foundation for Fundamental Rights, and he's a legal fellow with Reprieve, a British human rights group.
[00:07:54.757 --> 00:07:55.618]  He told The Guardian,
[00:07:56.338 --> 00:07:56.438]  Yes.
[00:08:13.775 --> 00:08:21.158]  The UK detained and harassed another person who was speaking out about human rights violations with drones.
[00:08:21.498 --> 00:08:22.539]  He was from Yemen.
[00:08:22.599 --> 00:08:26.100]  So this fellow, the first fellow was from Pakistan, the second one was from Yemen.
[00:08:26.120 --> 00:08:30.983]  And we see this happening with both the UK and with the US, going after dissenters.
[00:08:31.983 --> 00:08:36.067]  Also, in the Guardian article, it pointed out, top secret U.S.
[00:08:36.087 --> 00:08:48.797]  government documents obtained by the Guardian from NSA whistleblower Ed Snowden characterize even the most basic political and legal opposition to drone attacks as part of propaganda campaigns from America's, quote, adversaries.
[00:08:48.837 --> 00:08:50.839]  That's what the NSA thinks of you.
[00:08:51.920 --> 00:08:55.963]  The document is titled, Nationality of Target vs. Due Process.
[00:08:56.423 --> 00:09:07.991]  And it says, attacks against American and European persons who have become violent extremists are often characterized by propagandists arguing that lethal action against these individuals deprives them of due process.
[00:09:08.891 --> 00:09:12.975]  Well, when you kill American citizens without due process, that's simply assassination.
[00:09:13.015 --> 00:09:16.458]  It used to be something that the CIA denied and tried to distance themselves from.
[00:09:17.039 --> 00:09:18.640]  Now they don't have any problem with it.
[00:09:18.940 --> 00:09:20.722]  Obama's got his drone strike list.
[00:09:21.142 --> 00:09:23.244]  And it's not propaganda to point this out.
[00:09:23.965 --> 00:09:28.290]  They don't have, and it is propaganda to say that Al-Awlaki was violent.
[00:09:28.350 --> 00:09:30.972]  He was not engaged in an active shooting war.
[00:09:31.052 --> 00:09:32.754]  He was merely assassinated.
[00:09:32.774 --> 00:09:37.319]  He was someone who was advocating violent things, but he was writing.
[00:09:37.399 --> 00:09:42.024]  He was not a soldier in a hot war, which is like the way that they wanted to portray it.
[00:09:42.644 --> 00:09:43.325]  But think about it.
[00:09:43.625 --> 00:09:50.071]  They also killed his son, his 16-year-old son, who was not doing anything, and many, many innocent people.
[00:09:50.552 --> 00:10:00.641]  That's what these human rights advocates from Yemen and Pakistan, who want to speak out about this, are denied from being able to speak out because they're blocked from even entering the country.
[00:10:01.221 --> 00:10:06.503]  They're detained and harassed in the UK and they're blocked from entering the United States by the State Department.
[00:10:07.283 --> 00:10:09.944]  Our government is literally unaccountable.
[00:10:10.104 --> 00:10:14.105]  As this next story points out, that certainly is true of the IRS.
[00:10:14.265 --> 00:10:21.587]  We have an IRS watchdog says that $67 million is missing from Obamacare slush fund.
[00:10:22.327 --> 00:10:32.251]  The IRS is unable to account for $67 million spent from a slush fund established for Obamacare implementation according to Treasury Inspector General for Tax Administration.
[00:10:32.972 --> 00:10:34.873]  That's a report that was released today.
[00:10:35.573 --> 00:10:41.135]  So, they can't account for $67 million and they won't be held accountable for it.
[00:10:41.496 --> 00:10:43.056]  Nobody is going to go to jail for this.
[00:10:43.496 --> 00:10:48.419]  This is the kind of corruption, this is the kind of out-of-control government that we're talking about.
[00:10:48.819 --> 00:10:50.560]  You see it in every instance.
[00:10:51.420 --> 00:10:52.141]  Well, stay tuned.
[00:10:52.301 --> 00:10:55.384]  Right after the break, we're going to be coming up with a report from Dan Bodondi.
[00:10:55.464 --> 00:11:00.608]  He's gone around and looked at Rhode Island, where the shooter first started hearing voices.
[00:11:01.229 --> 00:11:05.192]  And he's showing us the close proximity of where he stayed in these hotels.
[00:11:05.212 --> 00:11:08.075]  He was moving from one hotel to the other to try to avoid this harassment.
[00:11:08.395 --> 00:11:14.601]  And he shows you how close they are in proximity to defense contractors, as well as to DARPA.
[00:11:15.101 --> 00:11:16.242]  We'll be right back after the break.
[00:11:16.262 --> 00:11:16.763]  Stay tuned.
[00:11:42.728 --> 00:11:46.131]  The Alex Jones Channel is the official page of The Info War.
[00:11:46.492 --> 00:11:48.834]  But don't miss what's happening on our other channels.
[00:11:49.535 --> 00:11:52.458]  The Info Warrior, with the week's best videos.
[00:11:53.038 --> 00:11:57.182]  Prison Planet Live, where Paul Joseph Watson gives his expert analysis.
[00:11:57.923 --> 00:12:01.446]  And keep up with the rest of The Info War's crew on our other pages.
[00:12:02.367 --> 00:12:05.911]  All of our videos are available to repost for educational purposes.
[00:12:07.737 --> 00:12:11.344]  See the sidebar of the Alex Jones channel for the subscription links.
[00:12:11.665 --> 00:12:17.075]  And remember, you can always find our videos in the highest quality by becoming a member of PrisonPlanet.tv.
[00:12:26.590 --> 00:12:27.071]  Welcome back.
[00:12:27.671 --> 00:12:34.520]  As we reported earlier in the news, it was confirmed today that the Navy Yard shooter believed that he was under electronic harassment.
[00:12:34.560 --> 00:12:37.624]  Now, of course, the FBI spokesman just dismissed that as delusional.
[00:12:38.297 --> 00:12:46.840]  Well, we talked about how there's been many, many programs by various government agencies and military-industrial complex to do just that, to electronically harass people.
[00:12:47.261 --> 00:12:57.685]  And it was a week ago today that we had Dr. John Hall come on the radio show and interview with Alex and explain exactly the difference between schizophrenia and electronic harassment.
[00:12:58.365 --> 00:13:10.670]  The late onset in life of hearing voices in your head, the sudden onset of it happening, not hearing the voice of God, but believing that you're being harassed by other people, by multiple people, and of course, insomnia.
[00:13:11.210 --> 00:13:13.110]  Insomnia was what he went to the VA for.
[00:13:13.170 --> 00:13:22.394]  First he went to the police and complained about harassment, then he went to the VA, got trazodone for insomnia, then five days later he went to another VA hospital and got even more trazodone.
[00:13:23.306 --> 00:13:24.106]  Nobody believed him.
[00:13:24.406 --> 00:13:30.748]  They believed that he was schizophrenic, but these are all the classic signs of electronic harassment.
[00:13:31.348 --> 00:13:40.130]  Now to give a physical context to this situation, Dan Bodondi went to Rhode Island and he looked at where Aaron Alexis was staying.
[00:13:40.450 --> 00:13:49.953]  He moved hotels three different times, but he was right in the middle of several military industrial complex contractors as well as DARPA.
[00:14:00.456 --> 00:14:02.798]  Dan Bodondi reporting for InfoWars Nightly News.
[00:14:02.978 --> 00:14:08.543]  And we're in Middletown, Rhode Island at the Residence Inn, where the alleged Navy Yard shooter, Aaron Alexis, stayed.
[00:14:08.803 --> 00:14:11.785]  And then he claimed to hear voices in his room through the walls.
[00:14:12.085 --> 00:14:17.750]  If I put a voice that's foreign to your normal thought pattern in your head, that becomes harassment.
[00:14:18.170 --> 00:14:21.534]  And the harassment over time will make you display signs of schizophrenia.
[00:14:21.955 --> 00:14:31.405]  When you go and tell people that you're hearing voices, we've been patterned to turnkey see that as schizophrenia and not even look to see if there's a legitimate source for it.
[00:14:32.927 --> 00:14:36.069]  This is the hotel where Aaron Alexis stayed at here in Newport Rhode Island at the Marriott.
[00:14:36.329 --> 00:14:44.515]  Now we spoke to the manager who refused to give comments, but this is the very hotel where he said the walls were vibrating and he heard voices in his head and he was being followed.
[00:14:44.855 --> 00:14:50.580]  And this is also the same hotel where he made a report to the Newport police about people following him and strange noises.
[00:14:51.560 --> 00:14:58.626]  Now we're in front of the Newport Rhode Island Police Department, where Aaron Alexis made a report of people following him and strange noises in his room.
[00:14:59.187 --> 00:15:06.973]  There was no public information officer to talk to us today, but however, we did obtain a police report by Aaron Alexis and the Newport Police Department.
[00:15:07.534 --> 00:15:12.918]  Right behind me, in Port Smith, Rhode Island, is Raytheon, a defense contract company for the government.
[00:15:13.199 --> 00:15:19.063]  Now, this is just mere miles away from Middletown and Newport Rhode Island, both hotels where Aaron Alexis stayed.
[00:15:19.864 --> 00:15:26.548]  Now, Aaron Alexis carved ELF into his rifle, in capitals, which we believe to stand for Extremely Low Frequency.
[00:15:27.388 --> 00:15:37.014]  Now, Extremely Low Frequency is used in mind control and tectonic weapons as admitted in HR 2977, the Space and Preservation Act, in 2001 that never passed.
[00:15:37.534 --> 00:15:42.277]  Now, could there be a huge connection between DARPA, Raytheon, and Aaron Alexis?
[00:15:42.757 --> 00:15:43.738]  We will soon find out.
[00:15:44.078 --> 00:15:47.080]  And this is Dan Badondi reporting for the InfoWars Nightly News.
[00:15:51.240 --> 00:16:00.783]  Well, if there's any good that can come out of the Navy Yard shooting, it may be that the public finally wakes up to these weapons of mass control, the so-called non-lethal weapons that the U.S.
[00:16:00.823 --> 00:16:05.005]  military-industrial complex has been researching and developing for many decades.
[00:16:06.087 --> 00:16:08.609]  It's something that many people have talked about.
[00:16:08.629 --> 00:16:10.670]  It's something that we saw in the Church Commission.
[00:16:11.110 --> 00:16:18.115]  They talked about the MKUltra programming, giving people altars, using people as mind control assassins.
[00:16:18.515 --> 00:16:22.397]  It's something that you'll also find more information about in State of Mind.
[00:16:22.457 --> 00:16:29.922]  It's a DVD that we sell here at InfoWarsStore.com, available exclusively on DVD and Blu-ray from InfoWarsStore.com.
[00:16:31.463 --> 00:16:36.684]  And if you want to deprogram yourself and help to deprogram others, get a subscription to Prison Planet TV.
[00:16:37.225 --> 00:16:47.528]  Just one subscription will allow you to watch all of our documentaries, all of our news, as well as pass that on to ten other people who can also watch the news simultaneously with you.
[00:16:47.828 --> 00:16:48.908]  We'll stick around after the break.
[00:16:49.108 --> 00:16:55.270]  Anthony Gucciardi is going to interview Dr. Group, and they're going to talk about hidden GMOs in natural supplements.
[00:16:55.910 --> 00:16:56.350]  Stay tuned.
[00:17:20.686 --> 00:17:22.327]  Introducing Pro-1.
[00:17:22.567 --> 00:17:26.090]  All of your filtration in one system, portable, on-the-go.
[00:17:26.230 --> 00:17:30.613]  No more do you have two or three filters to just reduce sodium fluoride.
[00:17:30.753 --> 00:17:36.737]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:17:36.877 --> 00:17:47.744]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals all in one filter element.
[00:17:47.884 --> 00:17:50.506]  It is the only one that does it and out of the gate.
[00:17:50.706 --> 00:17:54.167]  We have it discounted at 10% off with promo code WATER.
[00:17:54.347 --> 00:18:11.310]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:18:11.650 --> 00:18:16.970]  Get your ProPure with the new Pro1 filter today at InfoWareStore.com or by calling 888-253-3139.
[00:18:25.450 --> 00:18:34.077]  Last March, I told you about the original Monsanto Protection Act, which shielded Monsanto, the biotech juggernaut, from legal action.
[00:18:34.637 --> 00:18:43.445]  So what could go on is Monsanto could literally go and plant a GMO crop admittedly linked to cancer, let's say, and we could do nothing about it.
[00:18:44.065 --> 00:18:49.586]  That was thrown in as a rider, which is a slimy way of throwing legislation into an overall bill.
[00:18:50.147 --> 00:18:55.968]  In that case, back in March, it was the Senate spending bill, which had nothing to do with the Monsanto Protection Act at all.
[00:18:56.328 --> 00:19:09.832]  But they threw it in anyway and were able to get away with it because they were slimy and Monsanto paid over $64,000 to a senator, Roy Blunt, who gave them the pen to write the legislation for themselves and block them from all forms of legal action.
[00:19:10.372 --> 00:19:10.772]  But now,
[00:19:11.232 --> 00:19:15.996]  We have actually achieved a major victory in defeating the renewal of this act.
[00:19:16.496 --> 00:19:27.204]  It was set to expire on September 30th and now we've defeated a renewal of the Monsanto Protection Act 2.0 through activism and just massive outrage.
[00:19:27.464 --> 00:19:39.554]  I've covered this story as you can see on screen it has 21,000 shares on Facebook alone seen by millions worldwide and what we have seen now is so many people in the public are outraged over Monsanto.
[00:19:40.234 --> 00:19:43.597]  Outraged over the destruction of the food supply.
[00:19:43.957 --> 00:19:45.318]  GMOs in the food supply.
[00:19:45.698 --> 00:19:48.060]  The disease machine that is Monsanto.
[00:19:48.360 --> 00:19:50.142]  They are losing the war.
[00:19:50.502 --> 00:19:55.445]  They may be winning battles, pumping millions into GMO labeling campaigns to defeat them.
[00:19:55.866 --> 00:19:58.248]  To defeat GMO labeling campaigns in Washington.
[00:19:58.628 --> 00:20:00.990]  But I'm joined with Dr. Edward Group today.
[00:20:01.550 --> 00:20:02.370]  We're good to go.
[00:20:16.778 --> 00:20:22.180]  Number one, first and foremost, are you consuming GMOs in your natural products each morning?
[00:20:22.420 --> 00:20:26.481]  You know, those dietary supplements that you take, and I've, hey, I was a victim of this as well.
[00:20:26.781 --> 00:20:30.162]  Are you accidentally consuming GMOs in your healthy supplements?
[00:20:30.502 --> 00:20:31.462]  That's first and foremost.
[00:20:31.502 --> 00:20:33.783]  So, Dr. Group, thanks for speaking with us today.
[00:20:34.063 --> 00:20:43.166]  We're going to get into how to avoid GMOs in your supplements, how to identify them, and, you know, some telltale signs that you are actually, unfortunately, trusting a brand that is lying to you.
[00:20:43.606 --> 00:20:44.826]  So, thanks for talking to us.
[00:20:44.927 --> 00:20:46.207]  Let's get into the GMO issue.
[00:20:46.886 --> 00:20:56.996]  The GMO issue as you know and as many people know is a huge issue and it goes further because you have to look at the damage and how GMOs affect the whole healthcare system.
[00:20:57.576 --> 00:21:09.527]  I mean the damage done by GMOs, chronic allergies, eczema, psoriasis, skin conditions, what happens is the BT toxin which is manufactured from the Bacillus thuringiensis bacteria
[00:21:10.288 --> 00:21:11.489]  I think so.
[00:21:33.900 --> 00:21:36.763]  No one would ever expect it would be in nutritional supplements, though.
[00:21:37.284 --> 00:21:50.258]  Until, over a period of time, we've been doing research, you've been doing research, and what we found is the majority of protein powders, the majority of green food, superfood powders that you purchase from
[00:21:51.323 --> 00:21:51.823]  I think so.
[00:22:10.060 --> 00:22:21.775]  GMO ingredients, mostly from maltodextrin, dextrin, soy protein isolate, anything that can be derived from corn or soy that's not certified organic.
[00:22:21.955 --> 00:22:26.702]  And the thing about that is, is that we know the food supply has been overtaken by Monsanto.
[00:22:27.102 --> 00:22:34.528]  We know that corn, on average, 96 plus percent, depending on the stats you look at, has been completely taken over and completely genetically modified.
[00:22:34.829 --> 00:22:37.911]  We know that soy, as you mentioned, is completely genetically modified.
[00:22:38.251 --> 00:22:46.599]  But there are, of course, non-GMO certified alternatives in the natural products industry that you can go and say, okay, this is not GMO.
[00:22:47.199 --> 00:22:51.743]  But the biggest issue we've both seen in developing products, in developing things that are not
[00:22:51.983 --> 00:22:52.323]  I think so.
[00:23:13.226 --> 00:23:16.447]  To get a non-GMO certified crop in their products.
[00:23:16.867 --> 00:23:22.409]  And how many products on average do you think, if you walk into a store, what percentage do you think contain GMO derivatives?
[00:23:22.449 --> 00:23:22.589]  Like 75%, 80, 90?
[00:23:23.089 --> 00:23:33.333]  I mean, if you walk in a normal grocery store, I mean, pretty much everything on the shelves is going to be GMO, except for the outside corners where you're going to find all your fruit and vegetables and stuff like that.
[00:23:34.353 --> 00:23:46.816]  The only high-end nutraceutical companies, people, the sad thing is people have to find them because they're not going to advertise, they're not going to label that the product is GMO.
[00:23:47.416 --> 00:23:56.798]  You know, you have to search and you have to find companies like Global Healing Center, InfoWars Life, which is introducing their clean brand, GMO-free brand, and so I think it's just
[00:23:57.498 --> 00:24:06.287]  Education and letting people know that why we're winning the battle against Monsanto is because the people actually stood up and did something about it.
[00:24:06.867 --> 00:24:16.777]  The next thing is taking it to the next level when you're talking about your own health care and calling the supplement manufacturers, asking them for documentation and taking a step yourself.
[00:24:16.797 --> 00:24:19.800]  Because if you don't try to protect yourself, nobody else will.
[00:24:20.368 --> 00:24:21.589]  I'm actually glad you mentioned that.
[00:24:21.669 --> 00:24:37.418]  For those of you who are not yet aware, myself and Dr. Group, we've worked together, we've teamed up for a long time developing different formulations, and since I've started teaming up with Alex through StoryLeak and my website, Natural Society, now the third largest natural health website in the world, we decided, since Alex was on a journey,
[00:24:37.938 --> 00:24:55.767]  Trying to find the best things for his family, for his children, to keep them safe in the event of disaster, to protect themselves and prepare themselves for what is ultimately coming, or also the effects of Fukushima, Chernobyl, the background radiation, the nuclear testing, the medical testing that are just spiking the background radiation levels over double.
[00:24:56.047 --> 00:24:56.267]  I think?
[00:25:26.047 --> 00:25:37.795]  To defeat the medical establishment tyranny over our bodies, the ownership of our bodies, the financial enslavement through these medical tyranny practitioners that are destroying your health and charging you for it.
[00:25:38.155 --> 00:25:47.321]  But at the same time, everything we sell through this InfoWars Life brand, the survival shield, the nascent iodine survival shield, certified non-GMO.
[00:25:47.721 --> 00:25:50.563]  We don't just say it's non-GMO, it's certified non-GMO.
[00:25:51.243 --> 00:25:53.445]  It is certified free of harmful additives.
[00:25:54.065 --> 00:25:55.988]  Dr. Group, tell us about the glycerin that we use.
[00:25:56.128 --> 00:26:07.567]  On average, these other companies are using glycerin from GMOs, and that's something to hold the actual iodine itself, the nascent iodine, because there are other nascent items out there, but oftentimes contain GMOs, toxic fillers.
[00:26:07.988 --> 00:26:08.449]  Tell us about that.
[00:26:08.971 --> 00:26:12.395]  Well, whenever you put anything into the body, you want it to be as clean as possible.
[00:26:12.635 --> 00:26:16.239]  And a lot of people are using tinctures, alcohol-based tinctures.
[00:26:16.259 --> 00:26:20.042]  And those alcohol-based tinctures usually come from GMO corn.
[00:26:20.383 --> 00:26:22.945]  And who wants to give their kid alcohol tinctures anyway?
[00:26:22.965 --> 00:26:24.707]  I mean, alcohol is a toxin to the body.
[00:26:25.088 --> 00:26:28.992]  So it's real important to look at all the aspects and the steps of manufacturing
[00:26:29.412 --> 00:26:29.672]  Thank you.
[00:26:49.056 --> 00:26:59.026]  I know we get offers to buy our company all the time, so it's important to find a company and find someone who really cares about health, because like you said, it's all about the bottom line.
[00:26:59.066 --> 00:27:04.011]  When you have shareholders you have to impress, the end consumer is the one that ends up suffering.
[00:27:04.271 --> 00:27:06.434]  If you can get a cheaper flow agent,
[00:27:06.894 --> 00:27:07.755]  Thanks for watching!
[00:27:26.147 --> 00:27:33.279]  Then a company that's focused on the shareholders and a company that's focused on profits is going to use the cheapest ingredients.
[00:27:33.319 --> 00:27:37.066]  They don't care how that's going to affect you in the future or how it's going to affect your health.
[00:27:37.631 --> 00:27:44.174]  It's exactly like the dying mainstream media whose trust is continually in decline, whose viewership is continually in decline.
[00:27:44.414 --> 00:27:46.035]  We're rising like a phoenix from the ashes.
[00:27:46.075 --> 00:27:50.657]  The real, authentic media, along with these supplements, from Infowarslife.com.
[00:27:50.717 --> 00:27:51.517]  Survival Shield.
[00:27:51.657 --> 00:27:52.118]  Check it out.
[00:27:52.158 --> 00:27:53.338]  Prepare yourself and your family.
[00:27:53.558 --> 00:27:54.239]  Get the 5-pack.
[00:27:54.259 --> 00:27:54.959]  Get the 10-pack.
[00:27:55.239 --> 00:27:59.421]  And do what you need to do to protect yourself and restore your health from medical tyranny.
[00:27:59.841 --> 00:28:01.042]  Thanks a lot for joining us, Dr. Group.
[00:28:01.062 --> 00:28:01.642]  We can defeat this.
[00:28:02.884 --> 00:28:06.465]  I'm Anthony Gucciardi filling in for the InfoWars Nightly News 7 p.m.
[00:28:06.505 --> 00:28:07.165]  Central Time.
[00:28:07.245 --> 00:28:08.345]  Tune in and be informed.
[00:28:14.326 --> 00:28:19.607]  Now you can watch the Alex Jones Show live as it happens at InfoWars.com slash show.
[00:28:19.927 --> 00:28:25.008]  You'll find links to all of our content there and a free 15-day trial for Prison Planet TV.
[00:28:25.488 --> 00:28:31.269]  More than 60 movies and documentaries all in one place at InfoWars.com slash show.
