[00:00:22.449 --> 00:00:24.070]  It's Tuesday, September 3rd, 2013.
[00:03:17.693 --> 00:03:18.934]  The rest are undecided.
[00:03:19.495 --> 00:03:24.099]  So will we see another convenient attack in the meantime to sway that vote?
[00:03:24.119 --> 00:03:25.040]  It remains to be seen.
[00:03:25.660 --> 00:03:29.663]  Moving on, MSN claims military revolt against Obama a hoax.
[00:03:29.964 --> 00:03:40.973]  The mainstream media has responded against Barack Obama's plan to attack Syria by claiming that the viral I-didn't-join-Twitter trend is a hoax invented by pro-Assad hackers.
[00:03:41.693 --> 00:03:51.721]  So, you know, despite the fact we've seen numerous veterans and active duty soldiers holding up signs on Twitter expressing their vehement opposition to military intervention in Syria,
[00:03:52.822 --> 00:04:10.674]  In addition to the tweets, of course, the plethora of tweets received by Congressman Justin Amash, making the same sentiments, the International Business Times came out with an article today and basically said that the photos, the tweets, were the work of Syrian hackers, quote, impersonating US military personnel.
[00:04:11.314 --> 00:04:22.022]  Of course, on the face of it, that's completely ludicrous, the original image of the naval officer expressing his image to the attack on Syria, which of course we featured on Sunday.
[00:04:23.022 --> 00:04:24.183]  Has been verified.
[00:04:24.603 --> 00:04:25.383]  We know his name.
[00:04:25.423 --> 00:04:28.264]  We know that he's an active-duty petty naval officer.
[00:04:29.284 --> 00:04:35.887]  And then you have, of course, all the other images of veterans and current active-duty military personnel doing the same thing.
[00:04:36.587 --> 00:04:47.991]  But what I'm seeing from this now is actually Obama apologists hijacking this meme in order to claim that those in the military who opposed the attack on Syria are cowards.
[00:04:48.071 --> 00:04:48.532]  That's right.
[00:04:48.572 --> 00:04:51.733]  That's what they're saying at the moment, trying to hijack this meme.
[00:04:52.597 --> 00:05:01.862]  You know, is it cowardly to put your whole career on the line because you feel so strongly about an issue as these active duty and military veterans have done?
[00:05:02.202 --> 00:05:08.545]  Is it cowardly to oppose fighting on the side of terrorists who have killed their friends in Iraq?
[00:05:09.206 --> 00:05:15.129]  And you know, if this became part of the national debate then it would actually derail the attack on Syria.
[00:05:16.169 --> 00:05:20.352]  There's obviously a huge public interest element to this story.
[00:05:20.472 --> 00:05:22.574]  It's gone viral on Twitter and Facebook.
[00:05:23.034 --> 00:05:30.119]  Yet, just as last week's story about the rebels in Ghouta admitting that they were responsible for the chemical weapons incident,
[00:05:30.862 --> 00:05:35.026]  This has received virtually no mainstream media coverage whatsoever.
[00:05:35.686 --> 00:05:43.393]  So again, we see the primary control mechanism of the corporate media at work, which is censorship via omission.
[00:05:43.514 --> 00:05:51.141]  Nobody's covered this apart from InfoWars and of course Russian state media, seemingly the pioneers of
[00:05:51.721 --> 00:06:00.785]  Questioning interesting media, whereas the likes of CNN, ABC, USA Today, the lot of them completely ignore it.
[00:06:01.265 --> 00:06:13.851]  So we're going to keep up the pressure and if you're active duty military we're calling on you to send your I didn't join images to real Alex Jones on Twitter and we'll continue to try and force the media to cover this.
[00:06:13.911 --> 00:06:17.032]  But a lot of Obama apologists now trying to hijack the meme.
[00:06:17.512 --> 00:06:25.380]  Claiming that everybody who opposes the attack on Syria who is in the military are cowards, but they're the ultimate patriots.
[00:06:26.511 --> 00:06:28.112]  Israel claims joint U.S.
[00:06:28.152 --> 00:06:30.914]  missile launch in Mediterranean for target practice.
[00:06:30.934 --> 00:06:32.014]  This is out of Russia today.
[00:06:32.935 --> 00:06:35.016]  Israel says it's carried out a joint U.S.
[00:06:35.076 --> 00:06:38.978]  missile launch in the Mediterranean and earlier claimed ignorance.
[00:06:39.178 --> 00:06:46.763]  Russian radars detected two ballistic rockets fired in the region on Tuesday, sparking widespread speculation over who was behind the launch.
[00:06:47.643 --> 00:07:00.112]  So first of all, the US and Israel are doing missile tests in the most tension-fraught region of the world right now, firing missiles in the direction of Syria, threatening to provoke a war.
[00:07:00.752 --> 00:07:04.975]  It's a dangerous act of provocation and it should be condemned.
[00:07:05.496 --> 00:07:09.659]  You know, imagine if Syria fired missiles in the direction of Israel.
[00:07:10.626 --> 00:07:19.832]  Everyone would be completely frothing out how irresponsible it was, how much of a dangerous escalation it was, and holding it up as another reason to topple Assad.
[00:07:20.612 --> 00:07:22.914]  But when Israel does it, they get a free pass.
[00:07:22.954 --> 00:07:28.638]  You know, look at how everybody freaked out when North Korea last tested their missiles.
[00:07:29.398 --> 00:07:36.142]  So again, it's a double standard, a complete act of provocation, but Israel gets a free pass when they do it.
[00:07:36.583 --> 00:07:39.565]  But secondly, it was interesting to watch the denials because
[00:07:40.345 --> 00:07:48.288]  At first, Israel came out and said they had anything to do with it, shortly followed by the US, who also denied any involvement in this incident.
[00:07:49.088 --> 00:07:57.871]  Of course, later, Israel acknowledged that they were behind the ballistic missile test, with technical support from the US Defense Department.
[00:07:58.432 --> 00:08:01.933]  So again, you know, you can tell they're lying because their lips are moving.
[00:08:02.580 --> 00:08:05.242]  But again, it's another dangerous provocation.
[00:08:05.922 --> 00:08:20.452]  And it seems to me, and this is the speculation, that the delay in admitting that they were behind it was a means of testing what Syria's response would be if that was a real attack, which of course could happen as soon as next week.
[00:08:20.952 --> 00:08:27.437]  So they're playing games out there in the Mediterranean, the most tension-fraught region in the world, on the eve of war.
[00:08:28.438 --> 00:08:31.787]  Testing missiles, potentially provoking war.
[00:08:32.028 --> 00:08:35.538]  Compare that to what would have happened if Syria did the same thing.
[00:08:36.727 --> 00:08:41.568]  First Syria rebels armed and trained by CIA on way to battlefield, reports The Telegraph.
[00:08:42.008 --> 00:08:49.870]  The first cell of Syrian rebels trained and armed by the CIA is making its way to the battlefield, President Barack Obama has reportedly told Senators.
[00:08:50.310 --> 00:08:55.551]  During a meeting at the White House, the President assured Senator John McCain that after months of delay, the U.S.
[00:08:55.591 --> 00:09:00.272]  was meeting its commitment to back moderate of the opposition.
[00:09:01.241 --> 00:09:14.052]  So you mean the moderate elements of the opposition who publicly swore allegiance to Jabhat al-Nusra, who in turn publicly swore allegiance to al-Qaeda terrorists.
[00:09:14.693 --> 00:09:16.054]  Talking about those kind of moderates.
[00:09:16.434 --> 00:09:25.001]  You're talking about the moderate elements who have videos up on YouTube proudly merging with Jabhat al-Nusra terrorists in Aleppo.
[00:09:25.922 --> 00:09:29.405]  Merging with the same group that killed US troops in Iraq?
[00:09:30.026 --> 00:09:36.591]  Or do you mean the moderate elements of the opposition who cut people's internal organs out and eat them on camera?
[00:09:36.671 --> 00:09:37.972]  You're talking about those moderates?
[00:09:38.613 --> 00:09:42.516]  Or the moderates who sing the praises of Osama Bin Laden?
[00:09:42.836 --> 00:09:44.538]  The moderates who behead
[00:09:45.158 --> 00:09:45.779]  Babies!
[00:09:45.939 --> 00:09:48.721]  The moderates who force children to behead other people.
[00:09:49.201 --> 00:09:53.784]  The moderates who slaughter Christians and pillage their church in Syria.
[00:09:54.564 --> 00:09:57.286]  These are the kind of moderates we're talking about.
[00:09:57.306 --> 00:10:10.455]  And now the CIA has sent 50, basically, Al-Qaeda terrorists that they trained in Jordan to join the other terrorists to take the opportune moment to overtake all the military bases when they launch the attack next week.
[00:10:10.975 --> 00:10:13.477]  And it's all paid for with your taxpayer dollars.
[00:10:14.653 --> 00:10:15.093]  Moving on.
[00:10:15.454 --> 00:10:19.757]  Syria's chemical weapons turn out to be sodium fluoride used in the US water supply.
[00:10:19.797 --> 00:10:21.538]  This is Mike Adams, NationalNews.com.
[00:10:22.579 --> 00:10:26.982]  And of course this is an issue we first drew attention to on Sunday when it first came out.
[00:10:27.803 --> 00:10:33.828]  It concerns the shipments of chemical weapons ingredients which were sent by a British company to Syria.
[00:10:34.168 --> 00:10:41.774]  Of course the UK government denies involvement just as they denied giving Saddam Hussein the chemical weapons ingredients.
[00:10:42.765 --> 00:10:45.968]  But what were in these chemical weapons ingredients?
[00:10:46.729 --> 00:10:50.173]  Sodium fluoride and potassium fluoride.
[00:10:50.934 --> 00:10:56.119]  The same ingredients that our health authorities put in our water, food and toothpaste.
[00:10:56.479 --> 00:11:05.108]  So as Mike Adams documents in this article, sodium fluoride is an ingredient for chemical weapons and you're ingesting it on a daily basis.
[00:11:05.908 --> 00:11:09.610]  Next up, New York Times cuts references to AIPAC in Syria debate.
[00:11:09.890 --> 00:11:21.655]  The New York Times had an article in which they discussed the Israeli lobby's influence on the congressional authorization to attack Syria, and they cut out two whole paragraphs that referred to AIPAC as the 800-pound gorilla.
[00:11:22.115 --> 00:11:24.716]  This was the key excerpt that was cut from the article.
[00:11:25.216 --> 00:11:32.980]  Pro-administration officials say the influential pro-Israel lobby group AIPAC was already up for pressing military action against the government of Assad.
[00:11:33.500 --> 00:11:45.847]  And he went on to say that these Obama administration officials, insiders, are talking about AIPAC as the 800-pound gorilla in the room, because obviously they're lobbying Congress to support this attack on Syria.
[00:11:46.608 --> 00:11:56.674]  So this passage was removed from the New York Times article, which most likely, in alliance with AIPAC, does not want the American people to know that their congressmen
[00:11:57.374 --> 00:12:03.038]  ...are being aggressively pressured by the Israeli lobby to green light the attack on Syria next week.
[00:12:03.639 --> 00:12:08.642]  Moving on to other news, Harvard research shows guns don't kill people, people kill people.
[00:12:08.682 --> 00:12:09.843]  This is out of zero hedge.
[00:12:10.483 --> 00:12:21.751]  In an inconvenient truth moment for the anti-gun lobby, Harvard's Don Cates and Gary Mauser have found that there is in fact a quote negative correlation between violence and gun ownership.
[00:12:22.091 --> 00:12:26.114]  Quote, where firearms are most dense, violent crimes are lowest.
[00:12:26.414 --> 00:12:30.136]  And where guns are least dense, violent crime rates are highest.
[00:12:30.616 --> 00:12:39.462]  And they concluded in this study that the burden of proof rests on the more guns equal more death and fewer guns equal less death mantra.
[00:12:39.782 --> 00:12:44.525]  Especially since they argue public policy ought to be based on that mantra.
[00:12:44.885 --> 00:12:50.409]  But those correlations are not observed when a large number of nations are compared across the world.
[00:12:50.789 --> 00:12:57.432]  So yeah, another detailed exhaustive study, academic study, out of Harvard proving Morgan's less crime.
[00:12:57.733 --> 00:13:05.597]  I think it's safe to say that we've won the Second Amendment debate until the likes of Piers Morgan, of course, exploit another mass shooting incident.
[00:13:06.057 --> 00:13:13.661]  But you can go and read the full academic study proving that an armed population reduces crime at PrisonPlanet.com.
[00:13:14.221 --> 00:13:16.182]  Quote of the day comes from Charles Ruff,
[00:13:16.892 --> 00:13:19.294]  Impeachment is not remedy for private wrongs.
[00:13:19.354 --> 00:13:25.478]  It's a method of removing someone whose continued presence in office would cause grave danger to the nation.
[00:13:26.719 --> 00:13:43.710]  Gonna go to break now, but stick around because with even Rush Limbaugh now coming out and saying he suspects Obama conspired with Al-Qaeda to frame Bashar al-Assad, Alex Jones has a special report on the evidence for a false flag in Syria and the build-up to war.
[00:13:43.790 --> 00:13:44.691]  So stay around for that.
[00:13:45.091 --> 00:13:59.377]  And after the show we've got part two of Leanne McAdoo's interview with Quinn Aker about the recent SWAT raid he suffered and educating Americans how they can get informed on their rights and stand up for their liberties in the face of oppression.
[00:13:59.397 --> 00:14:00.357]  So stay tuned for that.
[00:14:04.992 --> 00:14:10.116]  Now you can watch Alex Jones live at InfoWars.com forward slash show.
[00:14:10.276 --> 00:14:15.380]  You'll find links to all of our content there and a free 15-day trial for Prison Planet TV.
[00:14:15.760 --> 00:14:23.646]  You can also browse the network, the InfoWars Nightly News, and over 60 movies and documentaries all together in one place.
[00:14:23.866 --> 00:14:26.948]  You can watch the Alex Jones Radio Show live as it happens.
[00:14:27.228 --> 00:14:30.511]  So check it out, InfoWars.com forward slash show.
[00:14:34.815 --> 00:14:45.937]  Many anthropologists and archaeologists believe that before man even discovered the power to harness and use fire, we were involved in agrarian activities.
[00:14:46.397 --> 00:14:51.178]  That is, taking the seeds of plants and then replanting them to produce more.
[00:14:51.798 --> 00:15:00.800]  The very foundation of our modern civilization and human culture is centered around the planting and cultivation of edible plants.
[00:15:01.340 --> 00:15:06.163]  Here are some of the amazing deals at InfoWarsSeedCenter at InfoWarsShop.com.
[00:15:06.604 --> 00:15:16.170]  The Survival Seed Vault by My Patriot Supply features only the finest survival heirloom seeds for a robust and hardy garden, even in the toughest times.
[00:15:16.431 --> 00:15:23.796]  We also have starter varieties of the deluxe seed packages for fruit, salad, salsa, peppers, medical herbs and more.
[00:15:24.236 --> 00:15:28.079]  Go to the InfoWarsSeedCenter at InfoWarsShop.com.
[00:15:28.779 --> 00:15:29.360]  And remember,
[00:15:30.201 --> 00:15:32.592]  The revolution against tyranny is growing.
[00:15:44.793 --> 00:15:53.503]  And welcome back to this extremely important September 3rd, Tuesday edition of InfoWars Nightly News.
[00:15:54.304 --> 00:16:02.613]  Rush Limbaugh, undoubtedly the largest media presence in the United States with 20 plus million listeners a week.
[00:16:03.803 --> 00:16:23.637]  Love him or hate him, he's about as big as it gets on the media landscape, came out today and said that the evidence is pointing towards a false flag staged terror attack by the Al Qaeda forces so that the Obama administration and NATO have a pretext to come in and militarily back them up with air power.
[00:16:24.057 --> 00:16:28.421]  This is incredible because Rush Limbaugh joins Pat Buchanan
[00:16:29.426 --> 00:16:47.127]  Ron Paul, Rand Paul, and of course myself and many others, Dr. Jerome Corsi of WorldNetDaily, Dr. Paul Craig Roberts of the Treasury Department and the Reagan Administration, and Vladimir Putin of Russia, and many of the members of the British Parliament.
[00:16:48.589 --> 00:16:49.390]  This is amazing.
[00:16:50.874 --> 00:16:57.497]  In saying that the evidence is overwhelming that the Syrian rebels staged the chemical attacks.
[00:16:57.537 --> 00:17:07.421]  There's even videos that we've been covering the last week and a half since this tragedy happened where the rebels are loading the chemical weapons and screaming Allah Akbar as they fire them.
[00:17:07.921 --> 00:17:15.084]  The Syrian rebels were caught earlier this year and last year in Turkey with chemical weapons they were trying to smuggle across the border.
[00:17:16.834 --> 00:17:19.277]  You're like, well if Turkey's backing the rebels, why would they bust them?
[00:17:19.497 --> 00:17:23.361]  Because the general police and military aren't involved in staging a chemical attack.
[00:17:23.741 --> 00:17:28.566]  They just know people are trying to sneak across the border with a weapon, they check them, and then it gets covered up.
[00:17:29.167 --> 00:17:34.453]  So, we know, ladies and gentlemen, that all evidence points towards this, and they have the motive.
[00:17:36.320 --> 00:17:42.686]  Why would Assad, if he's told by Obama, oh by the way, if there's a chemical attack out of the blue, we're going to invade you.
[00:17:43.447 --> 00:17:45.389]  And Assad's like, I didn't do it, the rebels did it.
[00:17:45.729 --> 00:17:47.651]  Why would I target random civilians with this?
[00:17:48.212 --> 00:17:49.693]  It's against common sense.
[00:17:51.275 --> 00:18:00.664]  And what you've got is a two and a half year proxy war, plus, it's almost three years, it'll be three years in December, of the West funding hundreds of millions of dollars per quarter.
[00:18:01.977 --> 00:18:09.052]  It's in the billions of dollars now to fund and train rebels in Jordan, in Iraq, in Turkey.
[00:18:11.123 --> 00:18:23.811]  In other areas, to inject them into Syria, trying to overthrow that country, and CNN calls the Al-Qaeda forces blowing up churches, murdering people, activists and protesters.
[00:18:24.092 --> 00:18:27.394]  Just like when they tried to blow up a ship in the Suez Canal in Egypt today.
[00:18:27.654 --> 00:18:28.614]  They were called demonstrators.
[00:18:29.375 --> 00:18:33.938]  And it was like, oh, how dare the Egyptian army fire rockets at them from helicopters.
[00:18:35.494 --> 00:18:36.395]  And so now you have the U.S.
[00:18:36.435 --> 00:18:37.836]  military revolting against this.
[00:18:38.176 --> 00:18:42.919]  And I've told you, the people are not buying this anymore.
[00:18:42.939 --> 00:18:50.484]  9% in last week's Reuters poll, 9% support this military attack Obama's trying to push.
[00:18:51.064 --> 00:18:52.625]  That's 91% are against it.
[00:18:52.985 --> 00:18:54.786]  So it's a total collapse level event.
[00:18:55.487 --> 00:18:59.690]  And historically, if you're an empire, but you have a somewhat moral population,
[00:19:00.492 --> 00:19:02.093]  Who isn't just completely bloodthirsty?
[00:19:02.493 --> 00:19:06.955]  You tell them, hey, we're going to go invade this neighbor because they attacked us.
[00:19:08.095 --> 00:19:08.896]  They did something.
[00:19:09.016 --> 00:19:12.197]  Oh, the Spanish blew up the main to get us into the war in 1898.
[00:19:12.637 --> 00:19:13.638]  Turned out that was staged.
[00:19:13.698 --> 00:19:17.119]  Or the Vietnamese attacked our ships in the Gulf of Tonkin.
[00:19:17.419 --> 00:19:18.900]  Declassified six years ago.
[00:19:18.940 --> 00:19:19.560]  That was staged.
[00:19:20.481 --> 00:19:23.122]  Or, oh, 1953, the coup in Iran.
[00:19:23.162 --> 00:19:24.162]  Turned out that was staged.
[00:19:24.483 --> 00:19:25.843]  This has all been declassified.
[00:19:26.443 --> 00:19:27.184]  People are now
[00:19:28.473 --> 00:19:43.679]  aware of this template that's run over and over again, not just by us, the Russian government's been caught staging stuff, the Nazis got caught staging stuff, Operation Himmler, blowing up their own military bases at Gleiwitz and other areas, to then say Poland had attacked.
[00:19:44.439 --> 00:19:52.142]  Poland had a World War I or pre-World War I army with horses up against the Luftwaffe and Panzer tanks.
[00:19:52.202 --> 00:19:53.182]  They didn't start a fight.
[00:19:53.382 --> 00:19:57.284]  It'd be like a guy that weighs 50 pounds and can't walk starting a fight with
[00:19:59.412 --> 00:20:00.373]  I think so.
[00:20:14.980 --> 00:20:20.743]  Coming out now and saying he didn't want to look at this, he couldn't believe it, but the evidence is there, is amazing.
[00:20:21.443 --> 00:20:25.665]  So first tonight I wanted to look at what Pat Buchanan and Ron Paul have said.
[00:20:26.645 --> 00:20:29.907]  And then we're going to go to the new clip from today of Rush Limbaugh.
[00:20:30.147 --> 00:20:39.171]  And then I have bombshell, really scary news, from our sources that is going to be breaking right about the time the show ends tonight.
[00:20:40.382 --> 00:20:59.071]  Dealing with nuclear weapons that were supposedly not even at the base under treaties being brought on a mothballs and from the B-1 base in West Texas and transferred to the East Coast to be loaded on other aircraft to be deployed against Russia.
[00:21:01.552 --> 00:21:02.712]  This is just unprecedented.
[00:21:02.732 --> 00:21:05.794]  We've confirmed all the B-2 bombers stationed in Missouri.
[00:21:06.863 --> 00:21:12.687]  Last week took off for Europe and that theater and that US aircraft have been massing in the region.
[00:21:12.887 --> 00:21:18.351]  And Obama said Saturday in a speech, our assets are in place in his military.
[00:21:18.832 --> 00:21:20.193]  How creepy is that?
[00:21:20.653 --> 00:21:32.242]  And we have high-level Russian media sources who literally say the government is in bunkers right now and the Russians are preparing for nuclear war and have never been this freaked out, not even in the Cold War.
[00:21:33.342 --> 00:21:35.904]  The Russians have their fingers on the launch buttons.
[00:21:36.164 --> 00:21:38.305]  They've massed hundreds of thousands of troops on their border.
[00:21:38.925 --> 00:21:40.526]  This is incredible, ladies and gentlemen.
[00:21:40.786 --> 00:21:42.608]  And our government is siding with Al Qaeda.
[00:21:43.028 --> 00:21:44.609]  This is biblical stuff.
[00:21:45.677 --> 00:21:46.698]  That's happening right now.
[00:21:47.198 --> 00:21:54.904]  Let's go ahead and go to Ron Paul, just a few days ago, on Neil Cavuto, talking about false flag.
[00:21:54.945 --> 00:21:55.325]  Here it is.
[00:21:55.665 --> 00:21:56.966]  I think it's a false flag.
[00:21:57.006 --> 00:21:58.307]  I think really, indeed.
[00:21:58.607 --> 00:22:04.692]  And nobody knows if indeed he was slaughtering people by the thousands, you know, with poison gas.
[00:22:04.732 --> 00:22:07.375]  You know, that's a different story, but that isn't the case.
[00:22:09.016 --> 00:22:13.897]  And during the entire interview, he lays out the history of events being staged.
[00:22:14.397 --> 00:22:20.719]  So this idea of the self-inflicted wound, the staged event, the frame-up, is becoming mainstream.
[00:22:21.519 --> 00:22:32.341]  And this really takes the tool of tyrants away to be able to manipulate populations with militant enthusiasm, with mob psychology, to attack whoever they want by staging events.
[00:22:33.081 --> 00:22:34.662]  And of course, Pat Buchanan
[00:22:41.930 --> 00:23:03.947]  I would not understand or comprehend that Bashar al-Assad, no matter how bad a man he may be, would be so stupid as to order a chemical weapons attack on civilians in his own country, when the immediate consequence of which might be that he would be at war with the United States.
[00:23:04.625 --> 00:23:07.770]  So this weeks of a false flag operation.
[00:23:08.795 --> 00:23:20.404]  And again, you can see all these clips in full, unedited, at InfoWars.com and PrisonPlanet.com in the report that we have put out today.
[00:23:20.725 --> 00:23:21.886]  They're all linked at the bottom.
[00:23:22.286 --> 00:23:29.312]  Rush Limbaugh suspects Obama conspired with Al-Qaeda to frame Bashir al-Assad.
[00:23:30.332 --> 00:23:33.775]  Absolutely sensational information.
[00:23:33.795 --> 00:23:36.778]  And before we play this Rush Limbaugh clip, I just want to point out
[00:23:37.802 --> 00:23:41.806]  This is the fall of the false flag.
[00:23:43.207 --> 00:23:51.235]  Because when they staged the underwear bombing, it came out immediately that the CIA had put the drugged Muttalib on the plane.
[00:23:52.332 --> 00:24:10.571]  When they stage other events now, it's coming out very, very quickly, even in the New York Times, that almost every provocateur event is the FBI finding a mentally ill, low IQ person and commanding them, as their Islamic leader, to build a bomb, to blow up the Christmas tree display.
[00:24:12.216 --> 00:24:14.617]  Portland, Oregon, or whatever the case may be.
[00:24:15.317 --> 00:24:39.907]  People are really understanding that the establishment is staging events, provocateuring events, and opening the door for real extremists who are out there to attack us as a pretext to radically re-engineer and change our culture from an open free society, laissez-faire, true libertarianism, in the Dutch New York model,
[00:24:41.621 --> 00:24:43.922]  To this authoritarian Orwellian system.
[00:24:44.422 --> 00:24:50.625]  But in closing, here is the historic Rush Limbaugh piece from today.
[00:24:50.905 --> 00:24:55.407]  And I do again suggest you go to InfoWars.com and watch the entire 15-minute segment.
[00:24:56.047 --> 00:25:01.650]  And listen to it, because he really gives the whole background story of his awakening to this.
[00:25:02.250 --> 00:25:03.670]  And it's important to get that context.
[00:25:03.690 --> 00:25:09.453]  But in the interest of time, here's just a short clip of that compiled by our own Jakari Jackson.
[00:25:10.540 --> 00:25:29.876]  There's a growing volume of new evidence from numerous sources in the Middle East, mostly affiliated with the Syrian opposition and its sponsors and supporters, which makes a very strong case, based on solid circumstantial evidence, that the August 21st, 2013 chemical strike
[00:25:33.621 --> 00:25:37.625]  In the Damascus suburbs was indeed a premeditated provocation.
[00:25:38.226 --> 00:25:39.967]  It looks like there was U.S.
[00:25:40.127 --> 00:25:50.537]  intel involvement dating a week before the alleged chemical weapons attack in meetings that were anticipating a war-changing event.
[00:25:50.858 --> 00:25:55.743]  So we could be looking here at a frame job.
[00:25:56.593 --> 00:26:16.912]  Available data puts the horror in a different and disturbing light, meaning it's not Basher doing the horrible things, it's the rebels nerve-gassing themselves, framing Basher, setting him up so that the Al-Qaeda guys win, and then we end up on the side of Al-Qaeda, and you've heard that being speculated about.
[00:26:17.813 --> 00:26:18.434]  If indeed
[00:26:19.594 --> 00:26:20.814]  This is a framed job.
[00:26:20.854 --> 00:26:22.335]  Look at how well it's being run.
[00:26:22.775 --> 00:26:25.816]  I'm not attaching any weight in this to what they have said.
[00:26:25.996 --> 00:26:27.416]  It's just, to me, it's coincidental.
[00:26:28.977 --> 00:26:34.478]  On Saturday, I got these two notes from friends of mine who've done business in the Middle East, in Syria.
[00:26:34.558 --> 00:26:36.459]  They know Assad.
[00:26:36.499 --> 00:26:39.480]  They cannot believe that he would do this.
[00:26:41.803 --> 00:26:46.386]  Well, that basically concludes this edition of InfoWars Nightly News.
[00:26:46.406 --> 00:26:51.730]  Great job to the crew and all of you out there that are subscribers to PrisonPlanet.tv and the Nightly News.
[00:26:51.830 --> 00:26:53.111]  You make all this possible.
[00:26:53.531 --> 00:26:55.513]  So from the bottom of my heart, thank you for your support.
[00:26:56.293 --> 00:26:59.475]  We couldn't do the historical things we're doing without you.
[00:27:00.196 --> 00:27:11.044]  When the main news show ends, four TV viewers on PrisonPlanet.tv, and we have an expanded interview with Leanne McAdoo and a really interesting fellow on Knowing Your Rights.
[00:27:11.944 --> 00:27:15.546]  Here in America, so that's coming up at the end of the news tonight.
[00:27:16.747 --> 00:27:30.876]  It's evenings like this that I do go home and, you know, tuck my children in twice and basically kiss them on the forehead maybe two or three times because we are on the verge of what could become World War III.
[00:27:31.297 --> 00:27:33.038]  World War III is beginning to start.
[00:27:34.025 --> 00:27:39.667]  That doesn't mean it has to happen, and we've had at least three other cases where World War III almost happened with the Russians.
[00:27:40.328 --> 00:27:45.350]  The problem is, the West is not even negotiating with Russia.
[00:27:45.930 --> 00:27:51.132]  They're not even negotiating with Al-Assad.
[00:27:52.173 --> 00:27:54.914]  They are not even trying to actually fix things.
[00:27:55.274 --> 00:27:56.535]  They want global crisis.
[00:27:57.015 --> 00:28:01.517]  And I look at the bankers that run the New World Order, like the former head of Goldman Sachs, John Corzine,
[00:28:02.739 --> 00:28:03.479]  They're mentally ill.
[00:28:03.799 --> 00:28:04.819]  They're very intelligent.
[00:28:04.859 --> 00:28:05.560]  They're in charge.
[00:28:05.940 --> 00:28:09.361]  They have criminal minds that burn with dominant desire.
[00:28:10.281 --> 00:28:12.821]  But they don't have wisdom.
[00:28:12.881 --> 00:28:13.762]  They have knowledge.
