[00:00:06.235 --> 00:00:08.076]  Aaron Dykes here for InfoWars.com.
[00:02:03.206 --> 00:02:09.888]  And here inside those 23 executive orders are two political campaign propaganda points.
[00:02:10.388 --> 00:02:23.731]  One to launch a national safe and responsible gun ownership campaign, and another to have a national dialogue on mental health with Kathleen Sebelius, the head of Health and Human Services, and Arne Duncan, the Education Secretary.
[00:02:24.071 --> 00:02:34.697]  Now, Obama, of course, has announced he's looking for ways to act without Congress, without having to even ask for permission, to infringe upon the un-infringable Second Amendment of the Bill of Rights to the Constitution.
[00:02:35.617 --> 00:02:41.020]  With that said, look at how he's exploited healthcare in his executive orders.
[00:02:41.240 --> 00:02:45.526]  Here it is in the Weekly Standard, Obama asks doctors to help deal with guns.
[00:02:45.907 --> 00:02:57.684]  And he reminds them in several different executive orders, as many as seven executive orders can be put in this category, where he reminds doctors that they're able to report on suspicious activity.
[00:02:58.024 --> 00:03:01.625]  They're able to ask their patients if they own guns and if they have guns in their homes.
[00:03:01.985 --> 00:03:14.748]  They're able to flag people for threats against, for violent threats, report them to authorities, and what they're doing is building a mental health database flagging people for potentially unstable behavior.
[00:03:15.148 --> 00:03:19.290]  Obviously we don't want crazed people going out in society and shooting up crowds of people.
[00:03:19.710 --> 00:03:24.691]  At the same time, we want to maintain due process and we don't want to create a snitch culture
[00:03:25.051 --> 00:03:34.395]  Where the entire Obamacare apparatus is used to spy upon Americans, which is all dangerous for the sake that we've seen what they do with the terror watch list.
[00:03:34.716 --> 00:03:37.637]  Once you get on it, it doesn't matter if you've ever done anything wrong.
[00:03:37.897 --> 00:03:40.899]  It's very difficult, if not impossible, to get off that list.
[00:03:41.259 --> 00:03:43.020]  And we've been told more lists are coming.
[00:03:43.420 --> 00:03:47.161]  Rahm Emanuel said in this clip, no fly, no bye.
[00:03:47.342 --> 00:03:54.325]  If you're on that no fly list, your access to the right to bear arms is cancelled because you're not part of the American family.
[00:03:54.741 --> 00:04:01.528]  He was at the Brady Center and said his number one priority was to get people on a no-buy gun list, that you lose that right.
[00:04:01.908 --> 00:04:11.719]  That was under the context of terrorism but it's going to apply to mental health as well and we've seen Chuck Schumer in the Senate and others already trying to introduce that legislation.
[00:04:12.299 --> 00:04:14.540]  Long before the Sandy Hook shooting ever happened.
[00:04:14.840 --> 00:04:16.580]  Kurt Nimmo wrote about it in December.
[00:04:16.640 --> 00:04:20.582]  He also wrote about it back in June and July of the last summer.
[00:04:20.982 --> 00:04:28.224]  And he's trying to introduce legislation to disarm veterans who have been identified with PTSD, Post Traumatic Stress Disorder.
[00:04:28.564 --> 00:04:44.986]  But they're also going to unleash the ATF, the FBI, you name it, into these centralized health databases to flag other Americans who show symptoms of mental illness or other flags and they will not be able to buy if they're on that list when the background checks are conducted.
[00:04:45.467 --> 00:05:02.398]  Now, Gun Owners of America warn how under Obamacare, the centralized medical records would quote, allow the FBI to troll a list of Americans for ailments such as Post Traumatic Stress Disorder and deny them their gun rights the same way that the Veterans Administration has already denied more than 150,000 veterans.
[00:05:02.758 --> 00:05:04.259]  You better believe that's dangerous.
[00:05:04.639 --> 00:05:05.620]  It's a snitch list.
[00:05:05.800 --> 00:05:10.343]  It's a chilling effect on the Second Amendment and we have to not go along with that.
[00:05:10.603 --> 00:05:14.344]  Now again, this is about taking away your Second Amendment without due process.
[00:05:14.504 --> 00:05:20.285]  Obviously, we don't want criminals running around killing people, but felons are already barred from purchasing guns.
[00:05:20.605 --> 00:05:23.326]  There's already extensive criminal background checks.
[00:05:23.346 --> 00:05:27.587]  You have to fill out a two-page survey just to buy a gun, even at gun shows.
[00:05:27.887 --> 00:05:37.449]  But here, there's at least eight of these new executive orders with new regulations through the ATF or through the FBI on these federal background check systems and more.
[00:05:38.109 --> 00:05:42.471]  Now the Attorney General is going to review categories of people not allowed to buy guns.
[00:05:43.092 --> 00:05:51.416]  This goes along with the raising the mental health specter as a new way of disenfranchising people as they strengthen the federal background check system.
[00:05:51.476 --> 00:05:57.199]  They're telling law enforcement to quote run a full background check before returning seized guns.
[00:05:57.599 --> 00:06:01.021]  Now that is very suggestive because what is a seized gun?
[00:06:01.401 --> 00:06:03.842]  Is a seized gun any gun that's not registered?
[00:06:04.282 --> 00:06:04.422]  I think?
[00:06:23.388 --> 00:06:25.230]  Almost instantaneously, within minutes.
[00:06:25.270 --> 00:06:33.119]  But we've also seen in states that issue permits, like New York, getting that permit, getting the background check, checking the references can take months.
[00:06:33.619 --> 00:06:33.980]  Easily.
[00:06:34.340 --> 00:06:35.561]  That's if they even approve them.
[00:06:35.801 --> 00:06:40.587]  The ATF is going to send new letters to gun dealers on how to run backchecks for private sales.
[00:06:41.007 --> 00:06:41.988]  Now, this is important.
[00:06:42.008 --> 00:06:45.711]  They've already tried to shut down private sales outside of gun shows.
[00:06:46.112 --> 00:06:57.763]  Now, by getting the federally licensed firearms dealers to help with the background checks, it effectively bans private gun sales if they then have to go to gun dealers and perform the background checks.
[00:06:58.263 --> 00:07:10.472]  And again, most of the gun purchases already go through background checks, but this is to restrict grandfathering of firearms, trading with your neighbors, and having guns that aren't strictly registered where they know where you live, and everything.
[00:07:10.512 --> 00:07:16.056]  There's a lot of other rules we're going to continue to analyze all these executive orders, but it's a very dangerous pattern.
[00:07:16.076 --> 00:07:27.165]  They're getting the first responders, the schools, the churches, to all perform crisis drills, and really expect a huge paranoid terrorism shooter spree, when statistically it's very rare
[00:07:27.785 --> 00:07:28.726]  Doesn't happen much.
[00:07:29.046 --> 00:07:37.431]  The real danger is the executive branch taking too much power, Obama or any other president acting as a dictator, acting outside of Congress.
[00:07:37.471 --> 00:07:39.052]  That's what we have to be outraged about.
[00:07:39.292 --> 00:07:45.056]  That's why we need to call for impeachment and we need to say no to this death by a thousand cuts through these regulations.
[00:07:46.057 --> 00:07:46.577]  There's more.
[00:07:46.797 --> 00:07:52.921]  The full reports in my analysis, InfoWars analysis of Obama's war on guns up at InfoWars.com.
[00:07:53.282 --> 00:07:53.842]  Signing off.
[00:07:54.302 --> 00:07:59.427]  Stay tuned and keep watching what they're doing with the legislation because they say they're not done yet with the gun bans.
