[00:00:11.730 --> 00:00:12.150]  I don't know.
[00:05:41.011 --> 00:05:45.755]  They spout xenophobic things, not just about immigration, not just about opposing amnesty,
[00:05:46.115 --> 00:05:46.215]  Yes.
[00:06:06.135 --> 00:06:06.495]  I think so.
[00:06:21.610 --> 00:06:23.891]  And that's the case in many situations.
[00:06:24.191 --> 00:06:33.094]  You've got this ritualized, scripted conflict that represents a divide-and-conquer tactic, represents, at the same time, this bread-and-circuses diversion.
[00:06:33.434 --> 00:06:36.795]  But the audience is supposed to boo, and in fact they do in these clips.
[00:06:37.355 --> 00:06:38.556]  They covered it on the air today.
[00:06:38.616 --> 00:06:42.317]  Paul Joseph Watson covered it in his YouTube channel coverage.
[00:06:42.737 --> 00:06:56.639]  And in his article where they boo on this Tea Party Associated, Alex Jones Associated Xenophobe and really just shout him down and it teaches the audience that anyone with this kind of political view is just wrong.
[00:06:58.755 --> 00:07:00.177]  Meanwhile, the city of L.A.
[00:07:00.317 --> 00:07:12.110]  is targeting InfoWars over quote, illegally posted signs which A, weren't posted by InfoWars and B, Alex Jones and anyone else at InfoWars did not give instructions to post.
[00:07:12.471 --> 00:07:15.534]  They say the quote, victory you are not alone.
[00:07:16.295 --> 00:07:39.859]  United We Stand was posted somewhere in LA downtown, and they sent Alex, they sent Free Speech Systems a bill in the mail, not only for the cost of removing the sign, but an administrative fee, they say, is basically just punishment, and expect us to pay, when of course we didn't tell anyone to post those things, we tell people to spread the word, you know, post things where it's legal and lawful.
[00:07:40.419 --> 00:07:53.867]  Uh, but this is a matter of due process, because this is happening with traffic tickets, it's happening with other matters, where you're cited for something you may or may not have done, guilty until proven innocent, and yet, you're slapped with an administrative fee.
[00:07:53.907 --> 00:08:01.951]  Doesn't matter what the judge decides, doesn't really matter if you ever see a judge, or have a court date, you're expected to pay this administrative fee, which is completely
[00:08:02.031 --> 00:08:02.451]  We're good.
[00:08:21.650 --> 00:08:32.614]  I wonder if something greater is in the works where they're trying to do a guilt by association and really shut down the kind of grassroots-based alternative media that's circulating very rapidly on the internet.
[00:08:33.014 --> 00:08:35.435]  InfoWars, of course, chief among them.
[00:08:37.496 --> 00:08:42.940]  LA's Mayor Antonio Villagroso, very closely aligned with Obama, may even see a cabinet position.
[00:08:43.361 --> 00:08:47.204]  Now this next story actually brought me to tears earlier when I first saw it.
[00:08:47.784 --> 00:08:54.469]  Not many things do, even though I see so many dark things happening in politics and the history behind the politics.
[00:08:54.830 --> 00:08:57.792]  I read up on a lot of this eugenics, it really turns my gut.
[00:08:58.212 --> 00:09:12.461]  But I particularly can't stand a lot of this police abuse, and this is a story about a man with Down syndrome who was killed in police custody because he was seeing the movie Zero Dark Thirty, liked it so much he wanted to remain in his movie theater seat.
[00:09:12.501 --> 00:09:24.128]  They told him to leave, he didn't want to comply, and they sent in the off-duty police who were there at the movie theater as, quote, security guards, and somehow it resulted in his death.
[00:09:25.309 --> 00:09:27.711]  Don Salazar wrote the article late this evening.
[00:09:27.771 --> 00:09:29.512]  It'll be up later on InfoWars.
[00:09:29.912 --> 00:09:32.793]  Man with Down Syndrome asphyxiated by police.
[00:09:33.354 --> 00:09:35.555]  It was, of course, ruled homicide.
[00:09:35.835 --> 00:09:46.021]  A Maryland mother is distraught after her 26-year-old son died last month, January 14th, following his encounter with three off-duty sheriff's deputies in a movie theater.
[00:09:46.521 --> 00:09:50.023]  This took place in Frederick County, there in Maryland.
[00:09:51.804 --> 00:09:57.925]  Not only did he have Down Syndrome, but they say he resisted arrest and started shouting obscenities at them.
[00:09:58.245 --> 00:09:58.885]  Well, guess what?
[00:09:59.026 --> 00:10:01.466]  I guess you've never encountered a Down Syndrome people.
[00:10:01.526 --> 00:10:08.327]  Sometimes they act out, they don't always behave, but you've got to tolerate them, you've got to deal with them, you've got to give them a chance to calm down.
[00:10:08.868 --> 00:10:13.188]  Rob Dew earlier called people with Down Syndrome God's children, and they really are.
[00:10:13.228 --> 00:10:15.609]  If anyone's innocent in our society, it's children,
[00:10:16.269 --> 00:10:26.916]  It's the elderly, it's mothers, but it's especially people with mental disabilities, people who can't live necessarily a full life, but are still innocent and sweet and good in so many ways.
[00:10:27.576 --> 00:10:31.599]  And really in the case of Robert Saylor, you could see the life in his eyes.
[00:10:31.639 --> 00:10:33.520]  I know we have some of the pictures, if we could roll that.
[00:10:33.960 --> 00:10:38.561]  I just want to let police know, if this was an accident, so be it, but it's been ruled homicide.
[00:10:38.601 --> 00:10:40.402]  It really looks like they went too far.
[00:10:40.422 --> 00:10:44.403]  I just want to let you know that Robert Saylor is not your target.
[00:10:44.723 --> 00:10:46.363]  The American people are not your target.
[00:10:46.483 --> 00:10:48.544]  Pregnant women with guns are not your target.
[00:10:48.984 --> 00:10:51.985]  Elderly people defending their homes with shotguns are not your target.
[00:10:52.925 --> 00:10:53.445]  We're good to go.
[00:11:14.614 --> 00:11:19.559]  And it's all sending the message that not only are guns illegal, but that the American people are scum.
[00:11:19.839 --> 00:11:21.140]  Well, I'm here to say no to that.
[00:11:21.541 --> 00:11:28.667]  Robert Saylor was clearly a wonderful human being who had dignity, who was alive, and we should respect him.
[00:11:28.707 --> 00:11:31.330]  We should support a full investigation of this matter.
[00:11:31.730 --> 00:11:34.951]  And we need to get past this above-the-law attitude with police.
[00:11:35.432 --> 00:11:46.376]  If these sheriff's deputies, if these off-duty cops are found to be guilty of his homicide, of his murder, they need to go to jail because we've seen far too many cases where justice is not served.
[00:11:46.676 --> 00:11:49.097]  And of course, I've got the article here in the Washington Post.
[00:11:49.417 --> 00:11:55.360]  They did do an autopsy which in fact found that he died by asphyxia while in police custody.
[00:11:55.940 --> 00:12:11.231]  Because again they said he resisted arrest sitting in his chair in the movie theater because he was just excited by this movie and wanted to see it again and they yanked him out and pushed him on the ground and somehow they say they put him in the position on the ground that it caused him to suffocate.
[00:12:11.251 --> 00:12:12.632]  Well they should have been mindful of that.
[00:12:13.032 --> 00:12:14.113]  You little scumbags.
[00:12:14.433 --> 00:12:19.915]  You're probably just jealous because you have limited capacities, especially for recognizing humanity.
[00:12:20.295 --> 00:12:23.416]  And clearly you didn't recognize the humanity of the least among us.
[00:12:23.997 --> 00:12:28.178]  And Jesus, among others, said that what you do to the least of us, you do to me.
[00:12:28.518 --> 00:12:29.579]  And that remains true.
[00:12:29.719 --> 00:12:31.580]  You need to recognize that factor.
[00:12:32.180 --> 00:12:36.722]  But remember the Bart Cop who murdered Oscar Grant at point-blank range because
[00:12:37.162 --> 00:12:41.264]  He didn't pay for an $8 train ticket even though he was already in custody.
[00:12:41.304 --> 00:12:47.247]  The officer said he thought he was reaching for his taser but accidentally whipped out his gun and killed this man.
[00:12:47.267 --> 00:12:50.488]  And I recognize the police didn't recognize his humanity either.
[00:12:50.828 --> 00:13:05.195]  That cop went to trial, was sentenced with two years in jail, served 11 months, got out with unqualified parole where he could not be put back in jail, would not be monitored or required to check in with parole officers.
[00:13:05.695 --> 00:13:16.404]  Basically, he was given total immunity after doing just a in name only sentence for less than one year for pretty much a hardcore murder while he was on duty there.
[00:13:16.965 --> 00:13:19.527]  And police, you need to disassociate from these bad apples.
[00:13:19.547 --> 00:13:21.069]  You need to call out their bad behavior.
[00:13:21.489 --> 00:13:22.430]  Distance yourself.
[00:13:22.490 --> 00:13:23.411]  Can you imagine?
[00:13:23.891 --> 00:13:29.873]  Can you imagine police 40 years ago, 30 years ago, 20 years ago, treating people this way?
[00:13:30.293 --> 00:13:32.594]  Even if they are criminals, you don't execute them.
[00:13:32.614 --> 00:13:34.174]  There's due process for a reason.
[00:13:34.515 --> 00:13:41.097]  People have fought for those liberties for hundreds and hundreds of years in history, and you especially don't do it to people with Down syndrome.
[00:13:41.417 --> 00:13:46.459]  You especially don't do it to people who are already under your custody, who are already under control.
[00:13:46.739 --> 00:13:48.859]  But there's the bar cop killing, caused riots.
[00:13:49.100 --> 00:13:50.380]  The guy got off with no time.
[00:13:50.700 --> 00:13:55.824]  There's the case you probably didn't even hear about in Seattle a couple years ago of John T. Williams.
[00:13:56.124 --> 00:14:04.330]  He was accused of being basically a drunk, indigent Indian who the police later testified and tried to make a big stink about was a nuisance to Seattle.
[00:14:04.710 --> 00:14:07.052]  And I've analyzed the dash cam footage.
[00:14:07.332 --> 00:14:08.313]  They found this guy.
[00:14:08.653 --> 00:14:10.755]  He was being rehabilitated for alcoholism.
[00:14:11.115 --> 00:14:17.440]  They had taught him to be a whittler with a little carving knife and a piece of wood as therapy to try to deal with his alcoholism.
[00:14:17.761 --> 00:14:32.913]  So he would walk around the city just whittling away with this little knife and a cop pulled up on him, it's shown on DASH video, got out of the car and killed him within a matter of seconds with multiple shots, fatally wounding him, saying that he was an imminent threat.
[00:14:33.053 --> 00:14:37.177]  Even though the cop was in his car, no other individuals were around this man
[00:14:37.737 --> 00:14:43.138]  And they wouldn't even call a grand jury against this cop, even though the dash cam footage is very damning.
[00:14:43.419 --> 00:14:46.119]  They settled with the family for about a million and a half.
[00:14:46.139 --> 00:14:48.100]  They're gonna put up a statue in his name.
[00:14:48.400 --> 00:14:50.940]  Well, they put up a statue for Robert Saylor.
[00:14:51.181 --> 00:14:52.541]  Well, it won't bring him back, people.
[00:14:52.581 --> 00:14:53.521]  There's other cases.
[00:14:53.921 --> 00:14:56.762]  Last week, a couple weeks ago, we covered the NYPD case.
[00:14:57.102 --> 00:15:03.385]  Where Joe Lozito was attacked by a serial killer on the subway, fended him off unarmed.
[00:15:04.245 --> 00:15:19.652]  The assailant had been wielding a knife and there were police standing two or three feet away behind a closed door who were too cowardly to intervene even though they were carrying a gun and a baton but they wouldn't intervene against this killer and then later took credit for it in the media.
[00:15:20.032 --> 00:15:20.912]  And there's other cases.
[00:15:20.952 --> 00:15:22.093]  It happens all the time.
[00:15:22.133 --> 00:15:23.553]  That's just a few that you hear about.
[00:15:23.913 --> 00:15:24.894]  I'm just disgusted.
[00:15:24.954 --> 00:15:29.635]  I really was upset all day long about this case with the poor man with Down syndrome.
[00:15:29.955 --> 00:15:31.396]  And I really hope we see justice.
[00:15:31.836 --> 00:15:34.597]  I got to move on because we've got a lot of things to cover tonight.
[00:15:37.352 --> 00:15:41.834]  Bilderberg is in the news again in Italy as they face new elections there.
[00:15:41.874 --> 00:15:43.915]  It's coming up at the end of February.
[00:15:43.935 --> 00:15:46.476]  I believe February 24th and 25th.
[00:15:46.856 --> 00:15:57.380]  And now an Italian lawyer is demanding a public prosecutor investigate the Bilderbergs group and possibly nominating outside of law, outside of the proper roles.
[00:15:57.800 --> 00:16:12.137]  Mario Monti, who, as you know, was appointed in 2011 to be the unelected Prime Minister of Italy, a technocrat who's also a senator for life, and he is a regular Bilderberg attendee, a real favorite there.
[00:16:12.777 --> 00:16:16.702]  And so you've got the investigator calling for justice there.
[00:16:16.742 --> 00:16:20.967]  We'll see if it happens, but a lot of things happening with that Italian general election.
[00:16:21.287 --> 00:16:26.173]  Berlusconi left in a scandal, but he still is the end name backer of his party.
[00:16:26.493 --> 00:16:27.675]  There's a lot of back and forth.
[00:16:28.135 --> 00:16:31.037]  Mario Monti has his own pool in the Italian elections.
[00:16:31.337 --> 00:16:32.598]  It's something to keep an eye on.
[00:16:32.858 --> 00:16:57.014]  But I covered this back in mid-November, how Bilderberg called an emergency meeting in Rome to deal with the Mario Monti situation, how he lost public support to deal with the upcoming elections, all the infighting amongst those political parties, and of course, how to deal with the PIGS countries, Portugal, Ireland, Italy, Greece, and Spain, all of which have this lagging and detrimental,
[00:16:58.295 --> 00:16:58.736]  Thank you.
[00:17:13.317 --> 00:17:14.218]  Something to keep an eye on.
[00:17:14.639 --> 00:17:21.749]  Anyway, all these serious stories, so many important things happening in the news, and it just seems like they don't get enough traction.
[00:17:21.869 --> 00:17:28.719]  Even the really big stories don't go nearly as big as these silly music videos, these music videos laced with
[00:17:29.279 --> 00:17:35.426]  Illuminati messages and really bad sexual behavior and stuff, teaching our children the wrong things.
[00:17:35.847 --> 00:17:38.930]  And so how do you cut through the mainstream media?
[00:17:38.950 --> 00:17:43.555]  How do you cut through the pop culture and try to get people to pay attention to what's really happening?
[00:17:43.896 --> 00:17:45.818]  It's an important part of the InfoWars mission.
[00:17:46.218 --> 00:17:56.583]  And so we've done a video in the spirit of lightheartedness to try to use an internet meme, to try to use one of these songs as a vector to inject real issues.
[00:17:56.603 --> 00:17:59.224]  I'm talking, of course, about the Harlem Shake.
[00:17:59.625 --> 00:18:01.125]  I guess it's a buzz on the internet.
[00:18:01.245 --> 00:18:09.970]  I really couldn't explain it to you, but Alex has produced a special video analyzing that and really trying to use it to draw attention to what's really important.
[00:18:10.230 --> 00:18:12.251]  Without further ado, can we go to that now, please?
[00:18:15.222 --> 00:18:16.023]  And they're pulling that up.
[00:18:16.043 --> 00:18:17.024]  We're live, ladies and gentlemen.
[00:19:00.563 --> 00:19:07.932]  The Harlem Shake has gone viral since it first appeared on YouTube back on February 2nd, being seen more than 60 million times.
[00:19:08.452 --> 00:19:20.166]  But what's important to note here is that the Harlem Shake's only words are, with the terrorist, or we are with the terrorist, in Spanish, rhythmically, over and over and over again.
[00:19:20.646 --> 00:19:21.307]  And that's fine.
[00:19:21.467 --> 00:19:22.087]  It's a joke.
[00:19:22.187 --> 00:19:29.933]  We've many times made the point that they use Homeland Security against marijuana smokers, Amish people selling raw milk.
[00:19:30.233 --> 00:19:33.435]  And so the joke is, oh my gosh, look at those evil Amish.
[00:19:33.515 --> 00:19:34.636]  They're with Al-Qaeda.
[00:19:35.036 --> 00:19:35.777]  I get the joke.
[00:19:36.557 --> 00:19:46.947]  My point is, is that when school children go to school and sing this in English, as people are now doing, I'm with the terrorist over and over again, like Gangnam Style.
[00:19:47.167 --> 00:19:50.710]  Hey, sexy lady, will they be thrown in jail?
[00:19:51.170 --> 00:19:52.932]  We're seeing 10 year olds.
[00:19:53.012 --> 00:19:53.352]  I think?
[00:20:10.333 --> 00:20:12.393]  Why is the hypocrisy getting so over the top?
[00:20:13.014 --> 00:20:19.435]  It's because the establishment is setting the precedent to selectively enforce their thought police edicts.
[00:20:20.075 --> 00:20:30.357]  If the globalist mouthpieces of Hollywood and the music industry want to push anti-family violent garbage and promote mass murder and killing, that's okay.
[00:20:31.497 --> 00:20:34.938]  If a song wants to say, we're with the terrorists, it's just a joke.
[00:20:35.973 --> 00:20:39.494]  But when your child's in the front yard playing with a Nerf gun, it's not.
[00:20:39.814 --> 00:20:47.676]  When your child talks to friends at school and says, let's go play with water guns after school, here's mine, they're going to get arrested and charged.
[00:20:48.416 --> 00:20:55.017]  This is part of the thought police system, where they're above the law and they selectively set the rules.
[00:20:55.437 --> 00:20:57.238]  So you have been warned.
[00:20:58.211 --> 00:20:59.453]  And here's an example of that.
[00:21:00.214 --> 00:21:12.753]  I was reading a Billboard article with the creators of this particularly catching jingle, and they said, we put it out there, we want people to use it, we've told people to use it, but if we choose, we'll block it and claim copyright.
[00:21:13.334 --> 00:21:15.455]  That wouldn't hold up in court, but they don't care.
[00:21:15.795 --> 00:21:18.377]  Most people don't know their rights, so who knows?
[00:21:18.417 --> 00:21:22.739]  They may even block this video because we were mildly critical.
[00:21:23.059 --> 00:21:34.386]  In closing, the Harlem Shake and things like Gangnam Style are part of an arrested development promotion system where the social engineers want to basically freeze development.
[00:21:35.186 --> 00:21:40.471]  ...of men and women at the age of about 12-year-olds so that we never become serious, focused adults.
[00:21:40.912 --> 00:21:45.096]  And having a good time has a place, but you're not supposed to do it 24-7.
[00:21:45.156 --> 00:21:49.040]  Free people have a serious and focused mind.
[00:21:49.620 --> 00:21:51.622]  I'm Alex Jones reporting for InfoWars.com.
[00:22:20.074 --> 00:22:21.916]  There, Alex interjecting some points.
[00:22:21.956 --> 00:22:23.597]  And of course it is a double standard.
[00:22:23.617 --> 00:22:28.321]  They want everyone through the media to cheer on, quote, we're with the terrorists.
[00:22:28.601 --> 00:22:33.145]  The media always interjects the drug culture, the criminal culture, glamorizes them.
[00:22:33.425 --> 00:22:37.008]  But anyone caught up in the drug culture, drug users, well they go to prison.
[00:22:37.308 --> 00:22:43.353]  But when police accidentally or even purposefully kill citizens in incidents, they're immune from the law.
[00:22:43.453 --> 00:22:44.354]  They're above the law.
[00:22:44.674 --> 00:23:03.999]  And when children play with toy guns as they're taught through the media and through really hundreds of years of American culture, Cowboys and Indians and other games, not that our culture is perfect but it's part of who we are, well they become criminals in the system and they're dealt with so they learn their lesson and learn not to speak out and really not to do anything.
[00:23:04.019 --> 00:23:12.121]  All while Homeland Security and the Justice Department have labeled Americans as potential domestic extremists for their political views.
[00:23:12.681 --> 00:23:26.485]  And just a minor correction on that point, last night David Ortiz was hosting the news and accidentally said that the federal government had purchased 10 billion rounds of ammo, when in fact they've been found to have purchased 2 billion rounds of ammo.
[00:23:26.765 --> 00:23:31.887]  Of course he didn't intend that mistake, he wanted us to make that correction, but they are ramping up regardless.
[00:23:31.907 --> 00:23:41.190]  They have enough bullets for a 30-year war plus with Americans with more than 5 rounds per head of the more than 300 million Americans.
[00:23:41.650 --> 00:23:53.635]  And I do have it on good authority that Janet Napolitano did have a dream though this week about them buying 10 billion rounds just so they could just totally dominate people and walk around and spit out tyrannical eggs.
[00:23:53.655 --> 00:23:54.535]  Do we have that footage?
[00:23:55.396 --> 00:24:00.618]  I know we've got a, we're live right now here, but here's Janet Napolitano's dream about 10 billion bullets.
[00:24:00.978 --> 00:24:03.799]  They hatch out of here, you see a demon creature flying away, but
[00:24:04.419 --> 00:24:05.841]  That's actually 10 billion bullets.
[00:24:06.141 --> 00:24:11.406]  They're up to 2 billion right now, but look out, they're not going to stop until they really just break this country.
[00:24:11.746 --> 00:24:13.828]  We'll turn now to the quote of the day.
[00:24:14.228 --> 00:24:24.377]  It comes from, of course, one of our founding fathers, really the true founder of the Tea Party, of the Sons of Liberty there in Boston, Massachusetts, Sam Adams.
[00:24:24.558 --> 00:24:27.400]  Among the natural rights of the colonists are these.
[00:24:27.901 --> 00:24:29.162]  First, a right to life.
[00:24:29.602 --> 00:24:30.803]  Secondly, to liberty.
[00:24:31.243 --> 00:24:36.326]  And thirdly, to property, together with the right to defend them in the best manner they can.
[00:24:36.346 --> 00:24:44.571]  And if we're not going to defend liberty and our lives and our right to self-defense that even animals possess in our society, then what are we really fighting for?
[00:24:44.911 --> 00:24:52.155]  Why are we recognizing any authority if it's just going to be arbitrary law and the citizens are scum and the enforcers are above the law?
[00:24:52.415 --> 00:24:53.816]  We've got to rethink this whole thing
[00:24:54.136 --> 00:24:56.137]  Get back to the Bill of Rights and Constitution.
[00:24:56.458 --> 00:24:57.618]  Reclaim our Republic.
[00:24:57.678 --> 00:24:58.379]  Thanks for watching.
[00:24:58.439 --> 00:25:00.040]  Stay tuned on the other side of this break.
[00:25:00.320 --> 00:25:09.306]  Jakari Jackson will speak with investigative reporter Wayne Mattson and they will analyze that case of the suspicious murder of Mr. Marshall.
[00:25:09.346 --> 00:25:09.867]  Stay tuned.
[00:25:09.967 --> 00:25:11.848]  Thanks for watching the InfoWars Nightly News.
[00:25:18.486 --> 00:25:20.348]  Infowars Skateboards by Alien Workshop.
[00:25:20.908 --> 00:25:22.909]  Skaters have always been against the grain socially.
[00:25:23.210 --> 00:25:24.551]  Now wake up your friends politically.
[00:25:24.891 --> 00:25:26.512]  Just go to InfowarsStore.com.
[00:25:26.792 --> 00:25:28.554]  We have Divide and Conquer or Brainwashing.
[00:25:28.994 --> 00:25:34.458]  Then take your deck to your local skate shop, pick out your own trucks, your own wheels, and then hit the streets and wake some people up.
[00:25:34.818 --> 00:25:36.620]  Here is legendary skateboarder Jake Nunn.
[00:25:37.040 --> 00:25:39.342]  This one has a lot more concave than I have on my board.
[00:25:39.582 --> 00:25:40.402]  And I like concave.
[00:25:40.763 --> 00:25:42.624]  It makes it easier to turn and feel the board.
[00:25:42.664 --> 00:25:43.885]  It's pretty cool.
[00:25:43.925 --> 00:25:45.306]  I mean, it's almost the same shape as mine.
[00:25:46.229 --> 00:25:47.950]  It's not really a sport, and it's not really art.
[00:25:48.390 --> 00:25:50.291]  It's just kind of freedom, you know?
[00:25:50.371 --> 00:25:52.212]  I've listened to Alex Jones for a long time.
[00:25:52.272 --> 00:25:53.772]  I love what InfoWars does.
[00:25:53.792 --> 00:25:55.513]  I've always loved Alien Workshop, too.
[00:25:55.533 --> 00:25:57.234]  I think it's kind of cool you guys got together.
[00:25:58.234 --> 00:25:58.995]  This one's pretty nice.
[00:25:59.115 --> 00:26:02.316]  Definitely one for the wall, one for the collection.
[00:26:03.096 --> 00:26:03.857]  Also good to skate.
[00:26:04.557 --> 00:26:08.279]  Get these limited edition decks at InfoWarsStore.com.
[00:26:08.839 --> 00:26:09.599]  This is Jake Nunn.
[00:26:09.919 --> 00:26:13.001]  Get these beautiful new skateboards at InfoWars.com.
[00:26:13.461 --> 00:26:14.782]  Alien Workshop collaboration.
[00:26:15.082 --> 00:26:15.482]  Good stuff.
[00:26:17.481 --> 00:26:22.025]  Alex Jones here with a message that could revolutionize health in this country.
[00:26:22.305 --> 00:26:28.149]  Going back about a year and a half ago, I began to learn about the incredible health effects of longevity products.
[00:26:28.530 --> 00:26:30.871]  Erin Dykes lost 92 pounds.
[00:26:31.252 --> 00:26:34.154]  We're going to show you some before and afters.
[00:26:34.574 --> 00:26:36.356]  Aaron, break down what happened.
[00:26:36.376 --> 00:26:36.937]  Your story.
[00:26:37.217 --> 00:26:42.283]  I've worked really hard with diet and exercise to try to lose weight, but I just didn't get the results.
[00:26:42.323 --> 00:26:43.204]  It just didn't happen.
[00:26:43.504 --> 00:26:46.087]  Then I saw what you were doing with Infowarsteam.com.
[00:26:46.568 --> 00:26:50.372]  I wasn't even trying to lose weight, but I got it because I wanted to feel better energy.
[00:26:50.412 --> 00:26:51.353]  I wanted that nutrition.
[00:26:51.393 --> 00:26:54.997]  Didn't even understand how that could kickstart my own weight loss goals.
[00:26:55.137 --> 00:26:56.899]  But the products did that for me.
[00:26:57.219 --> 00:27:02.964]  I found myself suddenly losing weight, more energetic, wanting to exercise, wanting to eat the right foods.
[00:27:03.064 --> 00:27:05.026]  And they don't even advertise it as weight loss!
[00:27:05.327 --> 00:27:08.890]  I want to challenge our radio listeners to go to Infowarsteam.com.
[00:27:09.410 --> 00:27:14.916]  Sign up as a distributor and get wholesale pricing discounts at Infowarsteam.com.
[00:27:23.536 --> 00:27:24.196]  And welcome back.
[00:27:24.616 --> 00:27:27.497]  Thanks to Aaron Dykes for hosting our news portion of our segment.
[00:27:27.918 --> 00:27:29.858]  Now, we're going to move now to our interview segment.
[00:27:30.399 --> 00:27:34.500]  Now, people know that we've been working for a 30-minute format, and that is indeed our goal.
[00:27:34.780 --> 00:27:41.142]  But Alex gave us a few more extra minutes for this interview with Mr. Wayne Madsen of WayneMadsenReport.com.
[00:27:41.903 --> 00:27:43.583]  And we have something very important.
[00:27:43.623 --> 00:27:52.387]  It's about people who are being targeted, at least so we believe, as one gentleman, as we'll see right here, Mr. Philip Marshall, an airline pilot who wrote books about 9-11 truth.
[00:27:53.827 --> 00:28:00.830]  And was allegedly killed or should I say allegedly murdered his family as well as himself in a murder-suicide plot.
[00:28:00.850 --> 00:28:03.051]  So we'll talk to him about that and many more things.
[00:28:03.071 --> 00:28:04.752]  He joins us now via video Skype.
[00:28:05.052 --> 00:28:05.952]  Thanks for joining us, Wayne.
[00:28:06.373 --> 00:28:07.193]  Good to be with you.
[00:28:07.793 --> 00:28:18.878]  Okay, now before we get into all the gory details of this particular case with Mr. Marshall, can you just explain to our audience briefly just what happened in this particular instance?
