[00:00:19.657 --> 00:00:21.979]  September 24th, I'm Paul Joseph Watson.
[00:05:59.600 --> 00:06:02.141]  The kids should be given an apology, put back in school.
[00:06:02.181 --> 00:06:11.186]  The principal should be fired for manifestly proving that he's incapable of exercising logic, which is a pretty big deal for somebody working in the education system.
[00:06:11.847 --> 00:06:19.731]  And the stupid woman who called the cops over a kid playing with a toy gun should be fined for wasting police time.
[00:06:20.472 --> 00:06:23.773]  But again, how many more ridiculous stories do we have to hear like this?
[00:06:23.834 --> 00:06:27.776]  We hear them almost every week before common sense makes an appearance.
[00:06:28.874 --> 00:06:35.200]  Stick around after the break, more news coming up and a special report from David Knight about the overreach of government.
[00:06:35.260 --> 00:06:37.382]  Stay tuned, this is InfoWars Nightly News.
[00:06:41.766 --> 00:06:47.051]  Now you can watch the Alex Jones Show live as it happens at InfoWars.com.
[00:06:47.391 --> 00:06:52.316]  You'll find links to all of our content there and a free 15-day trial for Prison Planet TV.
[00:06:52.918 --> 00:06:58.860]  More than 60 movies and documentaries all in one place at InfoWars.com slash show.
[00:07:02.521 --> 00:07:05.482]  Jakari Jackson here, and I want to talk to you for a second about water.
[00:07:06.122 --> 00:07:13.524]  You know about ProPure, our flagship water purification system, but check out some of our portable water filter products at InfoWarsStore.com.
[00:07:14.104 --> 00:07:15.784]  The Clearly Filtered Water Pitcher.
[00:07:16.525 --> 00:07:20.586]  Also, for those of you on the go, we have the Athlete Edition Filtered Water Bottle.
[00:07:21.446 --> 00:07:22.627]  And the R.A.D.
[00:07:22.707 --> 00:07:25.948]  Eliminator Pro-Filtered Sports Bottle that removes radiation.
[00:07:26.408 --> 00:07:29.369]  And keep in mind we have replacement filters for all of these products.
[00:07:29.970 --> 00:07:32.991]  The ever-popular grab-and-go bag favorite, the LifeStraw.
[00:07:33.611 --> 00:07:35.672]  The Crystal Quest Shower Filter System.
[00:07:36.813 --> 00:07:39.694]  And the Aquapod Kit, great for mass storage of water.
[00:07:41.243 --> 00:07:46.125]  And while you're at the InfoWars shop, pick up a copy of our latest book, 31 Days to Survival.
[00:07:46.745 --> 00:07:52.428]  You can find all this and more at the InfoWarsStore.com, and don't forget it's your support that funds our operation.
[00:07:52.848 --> 00:07:56.950]  Sign up for our free newsletter at InfoWars.com forward slash newsletter.
[00:08:01.880 --> 00:08:07.064]  Gallup.com reports Americans believe that government is too powerful at record level.
[00:08:07.524 --> 00:08:10.967]  Six in ten Americans believe the federal government has too much power.
[00:08:11.227 --> 00:08:14.970]  One percentage point above the previous high recorded in September 2010.
[00:08:15.350 --> 00:08:19.714]  At least half of Americans since 2005 have said the government has too much power.
[00:08:20.414 --> 00:08:22.936]  32% now say the government has the right amount of power.
[00:08:23.276 --> 00:08:25.158]  Few say it has too little power.
[00:08:25.658 --> 00:08:36.962]  So recall that as far back as two years ago we had these polls saying that Americans were, quote, pre-revolutionary and that just 17% of Americans believed that the US government had the consent of the government.
[00:08:37.482 --> 00:08:44.144]  So if you're looking for an answer as to why the Feds are treating American citizens as domestic extremists, then it's right here.
[00:08:44.585 --> 00:08:50.867]  Because the threat to the power monopoly of the federal government hasn't been this apparent, this brazen, for generations.
[00:08:51.647 --> 00:08:56.812]  Look at it from their perspective and you'll understand why, for example, the Second Amendment rights are under attack.
[00:08:57.332 --> 00:09:05.080]  Because, you know, why the Department of Homeland Security, why the NSA is continually monitoring activity on the Internet.
[00:09:05.500 --> 00:09:07.942]  They're not doing it to protect against terrorism.
[00:09:07.982 --> 00:09:10.645]  They run the terrorists across North Africa and the Middle East.
[00:09:11.065 --> 00:09:11.966]  We saw it in Libya.
[00:09:11.986 --> 00:09:13.427]  We're seeing it again in Syria.
[00:09:14.148 --> 00:09:19.294]  Eric Caroon just got freed from jail despite fighting alongside Al-Qaeda.
[00:09:20.336 --> 00:09:24.300]  He got freed on a $100 fine because he was doing it on behalf of the CIA.
[00:09:24.581 --> 00:09:33.832]  So Americans who fight for Al-Qaeda are getting released from jail with $100 fines, while Americans who fight for their constitutional rights are being treated as terrorists.
[00:09:34.232 --> 00:09:42.141]  So we've highlighted the MIAC report, the DHS reports, you know, those reverent of individual liberty are listed as the main domestic terror threat by the Feds.
[00:09:42.661 --> 00:09:54.234]  And these polls, like this latest Gallup poll, is a way for the establishment to measure just how substantial a threat to their corrupt system the American people really are, by the amount of them that are dissatisfied with the government.
[00:09:55.091 --> 00:10:08.918]  So while a huge number of Americans are still transfixed by American Idol, an equally impressive number are beginning to stir and those are the ones that the likes of the NSA and the DHS are keeping under close scrutiny.
[00:10:09.558 --> 00:10:18.142]  Now on the subject of the federal government, Obamacare is becoming very attractive to thieves and not just the insurance company hustlers.
[00:10:22.048 --> 00:10:28.531]  The deadline for Obamacare is upon us, and it's not just insurance companies that are hoping to line their pockets with higher premiums.
[00:10:28.971 --> 00:10:33.033]  Con artists are looking to cash in on the confusion surrounding the law.
[00:10:33.414 --> 00:10:40.957]  The health insurance marketplace was set up by the Affordable Care Act as a new way to find health care coverage by comparing rates and plans online.
[00:10:41.297 --> 00:10:48.301]  But 17 states opted to manage their own unique exchange with a different URL, and this could cause confusion for consumers.
[00:10:48.601 --> 00:10:53.946]  While shopping for coverage, you may run into one of the many fake exchanges that are already up and running on the internet.
[00:10:54.326 --> 00:10:57.328]  Scam artists got an early jump on national health care reform.
[00:10:57.529 --> 00:11:06.216]  Since last year, they've been calling, faxing, and emailing people across the country claiming to be with Medicare, Obamacare, or some agency of the federal government.
[00:11:06.416 --> 00:11:11.921]  Oftentimes, the caller will say they need to verify personal information, like a social security number or bank account.
[00:11:12.241 --> 00:11:16.805]  Sometimes, callers will convince victims that they need to buy an insurance card for eligibility.
[00:11:17.125 --> 00:11:20.368]  A sucker is born every minute as they say, so don't be one of them.
[00:11:20.668 --> 00:11:21.909]  Here's how you can protect yourself.
[00:11:22.289 --> 00:11:25.832]  The health insurance marketplace doesn't open until October 1st.
[00:11:26.092 --> 00:11:27.833]  You can't buy coverage until then.
[00:11:28.114 --> 00:11:33.858]  Don't trust anyone promising a special price or a limited time offer or to hurry because spots are limited.
[00:11:34.078 --> 00:11:40.663]  The rates in the exchange have been pre-approved and they won't change during the initial enrollment period of October 1st to March 31st, 2014.
[00:11:42.765 --> 00:11:45.626]  There is no card associated with health care reform.
[00:11:45.846 --> 00:11:50.428]  There is no new Medicare card, and you do not have to update any personal information.
[00:11:50.668 --> 00:11:56.331]  Don't respond to a cold call of any kind, especially one that asks for personal information or money.
[00:11:56.791 --> 00:12:06.395]  Now, seniors can be the most susceptible to these fraudsters and their intimidating tactics, but even the most savvy among us can fall a victim to a con artist posing as a navigator.
[00:12:06.895 --> 00:12:14.362]  Under Obamacare, navigators are trained to guide through the process of finding coverage through the exchanges, and they will ask for personal information.
[00:12:14.602 --> 00:12:19.927]  There may be the opportunity for con artists posing as navigators to access this information.
[00:12:19.947 --> 00:12:25.432]  Or, actual navigators might ask you for more personal information than they need to recommend a plan.
[00:12:25.892 --> 00:12:30.797]  After all, we are dealing with a government-run program that's going to be sharing your information with the IRS.
[00:12:31.377 --> 00:12:36.518]  As part of this Navigator program, some non-profit groups plan to make door-to-door outreach.
[00:12:36.978 --> 00:12:44.740]  Because of the time constraints placed on the program, the Department of Health and Human Services will not be doing background checks on Navigator applicants.
[00:12:45.000 --> 00:12:49.141]  This is a shocking revelation that could attract many identity thieves to the position.
[00:12:49.642 --> 00:12:58.984]  The odds are already against you when you hand over your personal information to a solicitor that shows up at your doorstep, especially when they're from the government and they're here to help.
[00:12:59.784 --> 00:13:03.867]  So it's up to you to be a savvy shopper and protect your personal information.
[00:13:04.507 --> 00:13:07.389]  Reporting for the InfoWars Nightly News, I'm Leanne McAdoo.
[00:13:07.409 --> 00:13:17.155]  And now continuing on the theme of government overreach, Obama has opened up a new offensive against the coal industry.
[00:13:21.107 --> 00:13:29.729]  In spite of 16 years of data that now contradict the global warming narrative, Obama and the UN are going to pretend that their predictive model hasn't failed.
[00:13:29.749 --> 00:13:33.330]  It's simply a pause in the global warming trend.
[00:13:33.870 --> 00:13:43.293]  They need to pretend that there is some kind of a correlation between CO2 and global warming so that they can force humans to pay a global regime for the use of any energy.
[00:13:44.033 --> 00:13:47.135]  And it isn't just carbon taxes and global regulation that they're pushing.
[00:13:47.495 --> 00:13:52.398]  They're also trying to shut down most power plants and prevent new ones from being built.
[00:13:52.818 --> 00:13:56.640]  Obama loves the nuclear industry as much as he hates the coal industry.
[00:13:56.880 --> 00:14:02.323]  In the first part of this report, we're going to look at the issues of nuclear safety and nuclear waste disposal.
[00:14:03.104 --> 00:14:08.287]  In the wake of Typhoon Man-Yi, the Fukushima nuclear power plant dumped 1130 tons of contaminated water into the ocean.
[00:14:11.201 --> 00:14:15.883]  Now the reported levels were below what the Japanese government considers to be safe.
[00:14:16.303 --> 00:14:22.926]  But we learned just in the last couple of weeks that previously reported radiation levels were actually 18 times higher than reported.
[00:14:23.467 --> 00:14:27.869]  And that 300 tons of radioactive water leak into the ocean every day.
[00:14:28.389 --> 00:14:32.351]  And dangerously high levels of radiation have been discovered in groundwater.
[00:14:33.427 --> 00:14:41.592]  The highly radioactive groundwater contamination is due to leaking storage vessels that are holding the water that was used in the original disaster.
[00:14:41.652 --> 00:14:46.595]  Maintaining the ice wall will use enough energy to power thousands of homes, even if it works.
[00:14:47.215 --> 00:14:53.799]  And Fukushima doesn't just pose a disaster threat to Japan, it also poses a threat to the United States.
[00:14:54.219 --> 00:14:55.400]  Spent reactor fuel.
[00:14:55.700 --> 00:15:04.224]  containing roughly 85 times more long-lived radioactivity than was released at Chernobyl still sits in pools that are vulnerable to earthquakes.
[00:15:04.685 --> 00:15:07.346]  Several of these pools are a hundred feet above ground.
[00:15:07.766 --> 00:15:22.934]  These pools could possibly topple or collapse from structural damage coupled with another powerful earthquake and the loss of water exposing the spent fuel could cause fire that could deposit large amounts of radioactive material over hundreds if not thousands of miles.
[00:15:23.334 --> 00:15:26.195]  But what about nuclear plants within the United States?
[00:15:26.956 --> 00:15:40.642]  Dr. Yackso, a Nuclear Regulatory Commission member for seven years and former NRC chairman, said in April of 2013 that all 104 nuclear reactors have safety problems that can't be fixed and should be shut down.
[00:15:41.610 --> 00:15:49.096]  Noting the potential to have more failures like Fukushima, he said, continuing to put Band-Aid on Band-Aid is not going to fix the problem.
[00:15:49.557 --> 00:15:55.942]  Of course, there are many ways that nuclear plants can fail, but in this particular mode, there are 23 reactors in the U.S.
[00:15:55.982 --> 00:16:01.747]  that use the same technology as Fukushima, 12 in seismically active areas.
[00:16:02.387 --> 00:16:19.302]  Manufacturers like GE Hitachi will tell you there's nothing to worry about, but evidently they're worried enough about it that they got releases from governments like Japan and Canada, releasing them for liability that will be borne by the taxpayers like this half billion dollar ice wall.
[00:16:19.782 --> 00:16:29.331]  Public concern has focused on catastrophic reactor events like Three Mile Island and Chernobyl, but as we saw in Fukushima, pools of spent fuel represent a great danger as well.
[00:16:29.751 --> 00:16:34.977]  Spent nuclear fuel is extraordinarily radioactive and must be handled with great care.
[00:16:35.517 --> 00:16:43.366]  An unprotected person just a foot away from a recently removed fuel assembly could receive a lethal dosage in just a matter of seconds.
[00:16:44.389 --> 00:16:53.293]  As one of the most dangerous materials on the planet, spent reactor fuel requires permanent geological isolation to protect humans for thousands of years.
[00:16:54.073 --> 00:16:57.874]  And, of course, politics and money are driving decisions more than safety.
[00:16:58.435 --> 00:17:05.998]  Plans to move spent fuel to remote, sparsely populated areas like Yucca Mountain have been overruled by powerful politicians like Harry Reid.
[00:17:06.798 --> 00:17:20.748]  As a result, the largest storage pools in the country are located in a heavily populated area at a reactor complex, Sharon Harris, just outside Raleigh, North Carolina, transported from other reactors by rail through high population centers on the East Coast.
[00:17:21.509 --> 00:17:29.915]  Scientists at MIT and Princeton warned that spent fuel recently discharged from a reactor could heat up relatively rapidly and catch fire.
[00:17:30.475 --> 00:17:38.020]  The fire could spread to older fuel, and the long-term contamination consequences of such an event could be significantly worse than Chernobyl.
[00:17:38.400 --> 00:17:44.364]  In Part 2 of this report, we'll look at the health and economic costs involved in decommissioning old nuclear power plants.
[00:17:44.844 --> 00:17:48.787]  And we'll look at the love affair that many environmentalists have with nuclear power.
[00:17:49.387 --> 00:17:51.509]  For InfoWars Nightly News, I'm David Knight.
[00:17:53.663 --> 00:17:59.728]  And if you're watching this on YouTube, please consider supporting us by subscribing at Prison Planet TV.
[00:17:59.788 --> 00:18:01.289]  We really appreciate all your support.
[00:18:01.689 --> 00:18:08.874]  Coming up, David and I interviewed Dr. John Hall on ELF weapons and harassment techniques in relation to the Navy Yard Shooter.
[00:18:08.894 --> 00:18:09.535]  Stay tuned.
[00:18:35.356 --> 00:18:38.759]  The Alex Jones Channel is the official page of The Info War.
[00:18:39.120 --> 00:18:41.462]  But don't miss what's happening on our other channels.
[00:18:42.163 --> 00:18:45.086]  The Info Warrior, with the week's best videos.
[00:18:45.666 --> 00:18:49.810]  Prison Planet Live, where Paul Joseph Watson gives his expert analysis.
[00:18:50.551 --> 00:18:54.074]  And keep up with the rest of The Info War's crew on our other pages.
[00:18:54.995 --> 00:18:58.559]  All of our videos are available to repost for educational purposes.
[00:19:00.365 --> 00:19:03.966]  See the sidebar of the Alex Jones channel for the subscription links.
[00:19:04.306 --> 00:19:10.468]  And remember, you can always find our videos in the highest quality by becoming a member of PrisonPlanet.tv.
[00:19:19.270 --> 00:19:24.091]  Well, to paraphrase Winston Churchill, the government is either at your feet or at your throat.
[00:19:24.691 --> 00:19:26.512]  And in some cases, they're in your head.
[00:19:27.321 --> 00:19:35.667]  We're talking about weapons of mass control, and we all know that the government is all about controlling us, even though it appears we have less and less control of the government.
[00:19:36.128 --> 00:19:39.971]  Joining us today to tell us about weapons of mass control is Dr. John Hall.
[00:19:40.531 --> 00:19:45.255]  He's an M.D., an anesthesiologist from San Antonio, and he has an amazing story to tell.
[00:19:46.055 --> 00:19:46.756]  Welcome, Dr. Hall.
[00:19:47.935 --> 00:19:54.538]  Tell us how you got into this, because you're an anesthesiologist, so tell us how you got into people coming to you about voices in their head.
[00:19:55.158 --> 00:19:56.999]  Well, a little unusual story.
[00:19:57.059 --> 00:19:59.139]  I'm an anesthesiologist in San Antonio, Texas.
[00:19:59.280 --> 00:20:05.842]  I had a girl come to me complaining of being stalked and getting voices in her head.
[00:20:05.862 --> 00:20:08.003]  I did a little checking.
[00:20:08.263 --> 00:20:10.484]  I'd known the family, I'd known the girl for some time.
[00:20:11.144 --> 00:20:13.805]  No history of mental illness, no drug history in the past.
[00:20:14.345 --> 00:20:15.586]  So I gave her the benefit of the doubt.
[00:20:16.406 --> 00:20:16.566]  Yes.
[00:20:33.087 --> 00:20:38.890]  Being stalked by a former FBI agent that runs a private investigative agency in San Antonio.
[00:20:39.931 --> 00:20:46.274]  They were breaking into her house, putting Rohypnol in bottled water and other food substances in her place.
[00:20:47.155 --> 00:20:48.536]  And what does that do, Rohypnol?
[00:20:48.576 --> 00:20:50.156]  Rohypnol is a date rape drug.
[00:20:50.216 --> 00:20:51.177]  It blocks your memory.
[00:20:52.198 --> 00:20:56.260]  And we're essentially sexually assaulting her, using her as a sex slave.
[00:20:56.940 --> 00:21:10.525]  But the interesting thing about the way they were doing it, which gets into the electromagnetic technology, is they were breaking in, putting Rohypnol in the bottled water, and subliminally controlling her to drink where the drug was placed.
[00:21:11.166 --> 00:21:11.466]  Wow!
[00:21:11.966 --> 00:21:12.807]  Wow, that's interesting.
[00:21:13.027 --> 00:21:13.948]  So when did this happen?
[00:21:14.529 --> 00:21:15.690]  This all happened prior to 2006.
[00:21:16.010 --> 00:21:20.414]  Because this has been an open secret for some time.
[00:21:20.614 --> 00:21:25.259]  It's something that's not talked about very much, although we do have articles here from the Washington Post.
[00:21:25.299 --> 00:21:26.961]  We've got articles from Wired Magazine.
[00:21:26.981 --> 00:21:31.785]  They've been talking about this here and then, and articles since the early 2000s.
[00:21:31.905 --> 00:21:34.348]  You can find some articles going back earlier than that even.
[00:21:34.728 --> 00:21:40.252]  And we've got pretty much every branch of the military has got their own little projects as well as commercial applications.
[00:21:40.272 --> 00:21:47.357]  Oh yeah, mind control technology is one of the most common crimes at least vocalized or complained about on the internet today.
[00:21:47.917 --> 00:21:51.019]  It seems to be getting the least amount of coverage in the major media.
[00:21:51.399 --> 00:21:52.040]  Wow.
[00:21:52.200 --> 00:22:04.288]  So that's why when we went to the police and had the identities of the stalkers, there's no way to prove the electromagnetic technology, but we could prove the stalking and we could prove the sexual assault.
[00:22:04.968 --> 00:22:12.954]  Uh, and we're told by the police that, uh, well the guy doing this to you is former FBI, he's a private investigator, he stalks people for a living, that's what he does.
[00:22:13.614 --> 00:22:14.715]  And she had no memory.
[00:22:14.775 --> 00:22:16.956]  Sexually assaults people for a living, that's what he does.
[00:22:17.116 --> 00:22:23.540]  And she has no memory of the sexual assaults due to the Rohypnol, at least not good enough memory to, um, to bring a case.
[00:22:23.601 --> 00:22:27.143]  And it's like the police told us, it's not what you know, it's what you can prove.
[00:22:27.523 --> 00:22:27.723]  Yeah.
[00:22:28.023 --> 00:22:28.884]  That's also who you know.
[00:22:29.104 --> 00:22:29.744]  And who you know.
[00:22:29.904 --> 00:22:33.565]  So the next best thing I thought, you know what, I need to write all this down in a book.
[00:22:33.585 --> 00:22:38.527]  Of course the names have slightly been changed since we couldn't bring any of them to prison.
[00:22:39.767 --> 00:22:51.892]  Once the book came out, then I saw that I was immediately inundated with thousands of other people voicing the same complaints of organized stalking, of directed energy weapons attacks, burning,
[00:22:52.952 --> 00:23:02.619]  Twitching, severe headaches, blurred vision, as well as hearing the voices of their perpetrators in their head or in their surroundings while they're being attacked.
[00:23:03.059 --> 00:23:03.300]  Wow.
[00:23:03.920 --> 00:23:06.242]  Let me go down the list of some of these that I came up with.
[00:23:06.302 --> 00:23:12.386]  We've got DARPA has a sonic projector that was reported on in 2007, but of course it had been around for quite some time before then.
[00:23:12.746 --> 00:23:14.647]  Army has something they call Voice to Skull.
[00:23:15.028 --> 00:23:18.570]  We've got the Air Force using microwaves to create sounds at Brooks Air Force Base.
[00:23:18.950 --> 00:23:20.992]  We've got the Marine Corps with their Medusa Project.
[00:23:21.312 --> 00:23:27.115]  We've got the State Department, as reported by the Washington Post in 2005, working on voices implanted in people's heads.
[00:23:27.475 --> 00:23:28.655]  We've got a couple companies.
[00:23:28.755 --> 00:23:31.237]  One that has patented something called Hypersound.
[00:23:31.257 --> 00:23:32.337]  That's American Technologies.
[00:23:32.357 --> 00:23:34.878]  It's also got Holosonic Research Labs.
[00:23:35.098 --> 00:23:36.579]  Also has a patented version.
[00:23:36.919 --> 00:23:40.000]  So the military-industrial complex has been all over this.
[00:23:40.361 --> 00:23:45.143]  When you see something this wide, this is not just one little research project from one organization.
[00:23:45.403 --> 00:23:47.124]  And this is something that five, ten,
[00:23:47.964 --> 00:23:54.407]  Years ago, it was being reported on in even mainstream press, like the Washington Post, and yet nobody knows about this.
[00:23:55.367 --> 00:24:00.609]  Well, the people who follow the Internet pretty closely, and certainly the victims of this technology, know about it, but you're right.
[00:24:00.629 --> 00:24:04.171]  There's been a lot of research done into how to put voices into one's head.
[00:24:04.891 --> 00:24:10.173]  It was found long ago that if you can put a voice into someone's head, you can do several things.
[00:24:10.634 --> 00:24:16.356]  If I put a voice that's foreign to your normal thought pattern in your head, that becomes harassment.
[00:24:16.796 --> 00:24:20.179]  And the harassment over time will make you display signs of schizophrenia.
[00:24:20.599 --> 00:24:30.166]  When you go and tell people that you're hearing voices, we've been patterned to turn key, see that as schizophrenia, and not even look to see if there's a legitimate source for it.
[00:24:31.167 --> 00:24:41.435]  If I put a voice in your head that's in your voice, and if you pattern a thought, like I tell some of these victims, when you read a book you're actually hearing your own voice in your head as you read.
[00:24:42.095 --> 00:24:50.318]  If I put that voice in your head, then that becomes a thought, and you'll act on those thoughts, and that's how they think that some of this is being used for subliminal control.
[00:24:50.478 --> 00:24:50.759]  Wow.
[00:24:51.339 --> 00:24:53.360]  I know that in some of these articles I was reading on the mid-2000s,
[00:24:54.713 --> 00:25:01.838]  They were talking about how they were using it as a voice of God, as the voice of Allah, because they figured that it was something that they could use.
[00:25:01.858 --> 00:25:07.142]  They thought that people that they were going against, that were Muslims, were very religious, superstitious.
[00:25:07.342 --> 00:25:09.104]  Well, and that was used in the field of battle.
[00:25:09.164 --> 00:25:16.329]  The voice of God weapon, which is actually called Esquad, or Silent Sound Spread Spectrum, was used in the first Operation Desert Storm.
[00:25:17.210 --> 00:25:23.875]  That was one of those scenarios where 1,500 Iraqi soldiers disassembled their weapons, got to their knees and surrendered,
[00:25:24.255 --> 00:25:35.660]  to 150 Marines who didn't have enough slip ties to tie them all together because, and this was admitted, that they used Esquad to put the voice of Allah in their heads to tell them to surrender.
[00:25:36.101 --> 00:25:36.541]  Wow.
[00:25:36.641 --> 00:25:51.168]  Before that, in the mid to late 80s, five separate inmates from the Utah State Prison had written affidavits saying that they were put in solitary confinement and were experimented on with some type of electronic device
[00:25:51.588 --> 00:25:51.728]  Wow.
[00:26:08.186 --> 00:26:08.967]  Until recently.
[00:26:28.709 --> 00:26:34.056]  The IRS really wasn't so much about getting your money, it wasn't about revenue, it was really about controlling you.
[00:26:34.076 --> 00:26:39.903]  It was a way of offering you carrots and sticks, and of course they're only collecting enough to pay the interest to the Federal Reserve.
[00:26:39.923 --> 00:26:42.947]  They were created at the same time, but this is something.
[00:26:42.987 --> 00:26:44.949]  So we all know that the government
[00:26:45.530 --> 00:26:45.610]  Yes.
[00:27:02.276 --> 00:27:07.698]  Every branch of government working on this type of thing, because that gives them very precise control over what we're doing.
[00:27:07.718 --> 00:27:22.763]  Well, and with the new revelations coming out about the NSA, ten years ago when I first started writing about some of this and getting into this type of science, it did seem sci-fi and it did seem far-fetched to a lot of people, especially a lot of people thought the brain was too complex to manipulate.
[00:27:23.423 --> 00:27:23.824]  That way.
[00:27:25.225 --> 00:27:32.650]  Since some of Snowden's leaked records about the NSA, most of us already knew that the NSA was listening to our phone calls.
[00:27:32.690 --> 00:27:34.152]  And we were accused of being paranoid.
[00:27:34.172 --> 00:27:35.072]  Yeah, exactly.
[00:27:35.292 --> 00:27:39.055]  So now we're accused of being schizophrenic if we hear voices, but we know that there's some reality of that.
[00:27:39.115 --> 00:27:40.837]  But, you know, it's not too far of a stretch.
[00:27:40.877 --> 00:27:47.342]  If they have computers big enough to collect all the data on our text, on our cell, and on our emails,
