[00:00:00.009 --> 00:00:00.909]  Not safe here.
[00:03:18.071 --> 00:03:22.214]  Uh, but uh, sleeping out under the stars has never been so good.
[00:03:22.995 --> 00:03:24.637]  Problem is, we haven't had much of a winter here.
[00:03:24.657 --> 00:03:26.819]  I didn't bet if my Al Gore, he would fix that.
[00:03:27.139 --> 00:03:28.460]  No, I mean, we've had some freezing temperatures.
[00:03:28.520 --> 00:03:32.183]  It was like 60 degrees at night, about 80 degrees yesterday in the afternoon.
[00:03:32.684 --> 00:03:35.847]  I'm now giving you a weather report, so I'm going to stop that right now.
[00:03:36.487 --> 00:03:41.332]  Okay, when we come back, I'm going to reset, get focused, and get into the main transmission here.
[00:03:43.029 --> 00:03:44.150]  We're going to get into the asteroid.
[00:03:44.170 --> 00:03:49.575]  We're going to get into, oh, this little headline up at InfoWars.com.
[00:03:50.215 --> 00:03:51.376]  PrisonPlanet.com.
[00:03:51.857 --> 00:03:53.118]  That's kind of important.
[00:03:53.158 --> 00:03:59.724]  You might want to go check it out and get it out to everybody you know, because I haven't noticed the big gun sites haven't even picked up on this.
[00:04:00.565 --> 00:04:03.988]  California announces semi-auto confiscation plan.
[00:04:04.969 --> 00:04:12.418]  And they just quietly say in the legislation they're announcing that, oh yeah, it'll be what Cuomo in New York called for and Feinstein has called for.
[00:04:12.838 --> 00:04:14.200]  She's out in San Francisco before.
[00:04:15.501 --> 00:04:19.265]  A plan to even, you know, take guns from people that already have them.
[00:04:20.006 --> 00:04:33.913]  We're like, oh yeah, and by the way, Antonio Villaraigosa, the mayor of L.A., the don of that crime sector, he says, don't worry, I'm going to be coming after those, so get ready to hand them in.
[00:04:34.273 --> 00:04:40.916]  Boy, if you think California's already seen an exodus, look out, you're going to see wagon trains going east, so that's coming up.
[00:04:40.956 --> 00:04:46.059]  California announced a semi-auto confiscation plan, and it's kind of like the way you let a fart out in church.
[00:04:46.079 --> 00:04:47.700]  I'm sorry to use that analogy, it's the only way to do it.
[00:04:49.648 --> 00:04:51.392]  William Tell shot the apple off.
[00:04:51.412 --> 00:04:52.735]  I don't know why I said Ivanhoe.
[00:04:54.299 --> 00:04:59.269]  It's another Robin Hoodian era character.
[00:04:59.310 --> 00:04:59.991]  We'll be right back.
[00:05:01.798 --> 00:05:03.439]  Introducing Pro-1.
[00:05:03.679 --> 00:05:07.202]  All of your filtration in one system, portable, on-the-go.
[00:05:07.342 --> 00:05:11.745]  No more do you have two or three filters to just reduce sodium fluoride.
[00:05:11.885 --> 00:05:17.869]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:05:17.989 --> 00:05:28.796]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals all in one filter element.
[00:05:28.996 --> 00:05:31.618]  It is the only one that does it and out of the gate.
[00:05:31.838 --> 00:05:35.259]  We have it discounted at 10% off with promo code water.
[00:05:35.459 --> 00:05:52.443]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia, and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:05:52.763 --> 00:05:58.084]  Get your ProPure with a new Pro1 filter today at InfoWarsTore.com or by calling 888-253-3139.
[00:06:01.625 --> 00:06:05.649]  Millions of people are going to get sick this winter from colds, flu, and other illnesses.
[00:06:05.729 --> 00:06:06.850]  Don't be one of them!
[00:06:06.950 --> 00:06:12.495]  Protect yourself with Supernatural Silver, a revolutionary new broad-spectrum antibacterial solution.
[00:06:12.655 --> 00:06:22.263]  Recent advances in silver technology have resulted in a silver solution that can be used daily to prevent bacteria, viruses, mold, and food poisoning, and help improve wound healing.
[00:06:22.463 --> 00:06:29.109]  Supernatural Silver is safe enough to consume every day, while powerful enough to destroy the causes of many serious diseases.
[00:06:29.249 --> 00:06:33.351]  Such as strep, staph, pneumonia, colds, flus, and other harmful pathogens.
[00:06:33.591 --> 00:06:42.536]  This new technology has the ability to terminate entire colonies of harmful bacteria at several hundred times the effectiveness of colloidal or ionic silver solutions.
[00:06:42.676 --> 00:06:46.138]  The Science Digest Journal says, silver is our mightiest germ fighter.
[00:06:46.358 --> 00:06:49.980]  It is virtually non-toxic and is emerging as a wonder of modern medicine.
[00:06:50.180 --> 00:06:56.450]  Go to SupernaturalSilver.com today and use the promo code SILVER2012 for 20% off.
[00:06:56.570 --> 00:07:00.036]  That's SupernaturalSilver.com and like us on Facebook.
[00:07:03.405 --> 00:07:11.092]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:07:11.532 --> 00:07:15.156]  Alex and his staff have used these pure soap products for years.
[00:07:15.616 --> 00:07:22.422]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:07:22.902 --> 00:07:25.725]  See them on the web at 5starsoap.com.
[00:07:25.925 --> 00:07:30.426]  Or call 800-340-7091 for a free catalog.
[00:07:30.766 --> 00:07:36.427]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:07:36.707 --> 00:07:41.809]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:07:42.109 --> 00:07:43.729]  This is an amazing deal.
[00:07:44.089 --> 00:07:48.710]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:07:49.330 --> 00:07:51.491]  See them on the web at 5starsoap.com.
[00:07:52.071 --> 00:07:56.996]  Or call 800-340-7091 for a free catalog.
[00:08:06.905 --> 00:08:12.470]  We now take you live to the Central Texas Command Center, in the heart of the Resistance.
[00:08:12.950 --> 00:08:15.533]  You're listening to the Alex Jones Show!
[00:08:24.511 --> 00:08:28.513]  Ladies and gentlemen, it is Friday, the 8th day of February 2013.
[00:08:29.734 --> 00:08:38.418]  I am your host, Alex Jones, and we are going to be here, Lord willing, for the next few hours and taking your phone calls.
[00:08:39.119 --> 00:08:49.224]  And it gets like this more and more every day, but today is a particularly, absolutely jam-packed, absolutely crammed, loaded, stacked broadcast.
[00:08:50.530 --> 00:08:53.513]  On so many fronts, we're going to report it all.
[00:08:54.233 --> 00:09:10.527]  The reported cop killer of these three police officers out in Southern California, former Navy veteran and police officer, they ran out of the force a few years ago, who they claim has put out this manifesto saying he's going to go after their families.
[00:09:11.068 --> 00:09:13.750]  I've read both of his manifestos, if they're real.
[00:09:14.391 --> 00:09:16.793]  And let me tell you, if they're not real, the person deserves a
[00:09:19.898 --> 00:09:46.209]  Nobel Prize for literature, because it sounds exactly like the MO of these mental patients that the system is now tracking and looking for and sifting through, who think it's celebrity to be a cop, who are into the power trip, how much he loves Biden, Obama, how he fantasizes about Hollywood, how he wants us to turn our guns in, but he's going around saying he's going to kill innocent patrol cops.
[00:09:46.909 --> 00:09:49.130]  I mean, he's going to kill people, which I'm not saying he should do.
[00:09:49.190 --> 00:09:50.730]  Go after the guys he says did something to him.
[00:09:51.030 --> 00:09:55.031]  No, he's just randomly shooting patrol cops, reportedly, allegedly.
[00:09:55.831 --> 00:09:58.472]  And I've been studying it since yesterday afternoon.
[00:09:59.432 --> 00:10:03.153]  Just at a snapshot view, it looks like it's a real shooter.
[00:10:03.653 --> 00:10:04.753]  People say, well, how do you know that?
[00:10:04.773 --> 00:10:11.635]  It's staged by Obama to have a guy go out and start killing people who's an Obama supporter and loves Joe Biden and says, take the citizens' guns.
[00:10:12.435 --> 00:10:14.697]  No, this is not the type of stuff the system wants, okay?
[00:10:14.717 --> 00:10:16.939]  Just at a glance, people say, well, how do you know?
[00:10:16.959 --> 00:10:34.413]  Well, there's hundreds of points at a glance that just come up, and then I read both of his diatribes, and it's just the exact type of mental illness that I was talking about last week, where all these celebrity wannabes and celebrities are like in this narcissistic delusion.
[00:10:35.694 --> 00:10:36.754]  I liken it to
[00:10:39.537 --> 00:10:57.361]  What I've seen with five-year-olds or three-year-olds dressed up like superheroes or princesses, if it's little girls, they're just feeling so good and they're having a, you know, little girls like to have fake beauty pageants or like to play like they're princesses and they got all the fake jewels on imagining they're princesses or little boys imagine that they're G.I.
[00:10:57.401 --> 00:11:02.923]  Joe commandos storming Cobra compound and they get excited because they are modeling that in their mind.
[00:11:03.223 --> 00:11:04.823]  And that's what the system does.
[00:11:04.883 --> 00:11:07.844]  It goes out and gets, now this is who they target, they admit this is who they look for,
[00:11:08.464 --> 00:11:16.648]  Kind of weak-minded people, they can put a template down in their mind, where even if they're torturing, secret arrest, setting people up, this is how the good guys win.
[00:11:17.268 --> 00:11:19.009]  And it's like this fantasy.
[00:11:19.889 --> 00:11:21.430]  You can see these type of people.
[00:11:21.450 --> 00:11:33.356]  I mean, I can tell whether somebody's a real police officer, with a real history, or a real veteran, or somebody who's actually been through some real things and got into things because of family or background, to who wanted to really serve.
[00:11:34.369 --> 00:11:37.691]  And then you can see types who are just strutting around.
[00:11:37.711 --> 00:11:42.253]  I mean, you can tell they're feeling satisfied, and it's like living in the Matrix.
[00:11:42.774 --> 00:11:47.736]  They must really be enjoying themselves, but they're not living in reality.
[00:11:48.056 --> 00:11:54.360]  And you see this with the McDonald's manager on a power trip being mean to their employees and relishing giving the orders.
[00:11:55.619 --> 00:12:09.430]  And I mean it's not just police, but they look for these types and I've gone and really looked into this guy and just, I see all his photos where the eyes are just gleaming and he's smiling.
[00:12:09.450 --> 00:12:10.731]  I've seen that look.
[00:12:11.758 --> 00:12:12.859]  I've seen that look.
[00:12:13.519 --> 00:12:21.604]  It's, I've arrived, I'm a superhero, I'm God, I'm a king, I'm a lord, I'm royalty, I'm a movie star, I'm Marie Antoinette.
[00:12:21.845 --> 00:12:30.270]  But there's an article here about politicians becoming like Marie Antoinette in France, where they're on just such power trips, no matter who gets into power.
[00:12:30.590 --> 00:12:40.597]  Now the socialists are in there just, you know, spending millions of euros a week on their lavish lifestyle, on total power trips, just breaking down, hanging out with French movie stars.
[00:12:41.817 --> 00:12:47.000]  This is what happens when hollow scum gets power.
[00:12:47.700 --> 00:12:51.302]  And it is the most disgusting phenomenon.
[00:12:51.322 --> 00:12:52.122]  It makes me sick.
[00:12:53.262 --> 00:12:54.583]  It absolutely makes me sick.
[00:12:54.623 --> 00:12:57.204]  Somebody with real power is humbled by it.
[00:12:57.904 --> 00:13:03.187]  Somebody who has a real background is humbled by it, and then also realizes how small they are.
[00:13:05.003 --> 00:13:22.502]  And understands how much potential they have, but then understands how you're not living up to it, and then there's so many opportunities, and so many incredible things, and then you see the ugliness and the dumbness of the general public, and it doesn't make you feel good that they're dumbed down and ugly, spiritually, but that it makes you feel bad.
[00:13:23.823 --> 00:13:25.065]  And you want to lift people up.
[00:13:27.884 --> 00:13:30.946]  But it is just absolutely disgusting.
[00:13:30.966 --> 00:13:32.787]  So I'm going to be talking about that.
[00:13:33.387 --> 00:13:42.893]  Sam, I can't tell you what's coming up, because I should start writing a what's coming up list after I look at all the news and stuff, because I just tend to like, whenever I first mention, I just spend 30 minutes on that.
[00:13:45.154 --> 00:13:55.641]  This is a big deal with asteroid, true diverse Earth's satellite zones, NASA says, and it's just an incredible near miss.
[00:13:56.906 --> 00:13:57.968]  If you believe what they're saying.
[00:13:57.988 --> 00:14:00.732]  And I don't believe this asteroid is going to kill us.
[00:14:01.874 --> 00:14:03.075]  They're probably telling the truth.
[00:14:04.389 --> 00:14:11.810]  But they lie so much, and NASA's been caught lying so much, that I just automatically have a little twinge of concern.
[00:14:12.591 --> 00:14:14.731]  But an asteroid half the size of the U.S.
[00:14:14.751 --> 00:14:22.453]  football field will pass between Earth and orbiting satellites next week, sparing the human race from a fate suffered by dinosaurs, NASA says.
[00:14:22.633 --> 00:14:27.614]  So we've got a NASA video from the Jet Propulsion Laboratory and some other news we're going to get to.
[00:14:28.374 --> 00:14:29.094]  We'll cover that.
[00:14:30.760 --> 00:14:33.001]  One way or another, guys, at 45 after.
[00:14:33.041 --> 00:14:34.662]  I've got to stay on schedule to get to all this.
[00:14:34.682 --> 00:14:37.844]  So, coming up, I'm going to get into that in T-minus 30 minutes exactly.
[00:14:38.505 --> 00:14:41.286]  It's 15 after, 14 minutes, 37 seconds right now into the hour.
[00:14:42.247 --> 00:14:49.731]  And then we're going to get into another article dealing with real threats.
[00:14:49.831 --> 00:14:53.814]  British schools and hospitals could be at risk in new horse meat fears.
[00:14:54.795 --> 00:14:56.836]  Now look, horsemeat is completely editable.
[00:14:57.556 --> 00:15:00.057]  Speaking of the French, it's actually a delicacy over there.
[00:15:00.077 --> 00:15:02.038]  I'm not saying I like horsemeat, I've had it before.
[00:15:03.478 --> 00:15:09.101]  But sitting here looking at this, they're all freaking out.
[00:15:09.121 --> 00:15:12.482]  This is one of the biggest stories in the country right now, worldwide, that's all they're talking about.
[00:15:14.222 --> 00:15:18.644]  Beef lasagna meets 100% horsemeat, Sky News, oh my gosh, we're eating horsemeat.
[00:15:19.084 --> 00:15:20.565]  It just shows how they're scamming people.
[00:15:21.673 --> 00:15:23.976]  It shows how the system doesn't trust you.
[00:15:23.996 --> 00:15:25.798]  The pink, slime, all of it.
[00:15:26.138 --> 00:15:28.421]  Folks, that's nothing compared to bromine and the Gatorade.
[00:15:29.382 --> 00:15:34.367]  You know, and little girls having babies at age 7 and 8 now, and going into puberty at age 3.
[00:15:34.948 --> 00:15:35.969]  Guys, now it's age 3.
[00:15:36.830 --> 00:15:42.917]  And then it's all in the documents that they picked plastics out of hundreds and hundreds of formulae that would do that to you.
[00:15:43.806 --> 00:15:46.329]  See, oh, you're not worried about that, horse meat.
[00:15:46.710 --> 00:15:50.214]  Oh my gosh, I bet people go to jail over this, because the system loves that.
[00:15:50.475 --> 00:15:54.059]  Send you to jail over selling people horse meat, which they, it is fraud.
[00:15:54.079 --> 00:15:56.523]  They should have their butts sued in the ground, not go to jail.
[00:15:57.714 --> 00:16:02.358]  But, you put bromine, I mean, you know what bromine does to you?
[00:16:02.899 --> 00:16:09.925]  Stunts your growth, accelerates your aging, cancer, behavior problems, neurological disorders, IQ reduction, you know what I mean?
[00:16:11.226 --> 00:16:13.788]  I drank some Gatorade yesterday just to see, because it's not out yet.
[00:16:13.808 --> 00:16:15.169]  They said it's going to be out in the next few months.
[00:16:15.510 --> 00:16:17.832]  And I was like, that's why it always has that chemical taste.
[00:16:17.952 --> 00:16:20.174]  Because, you know, if you drink alcohol, you know what alcohol tastes like.
[00:16:20.214 --> 00:16:20.935]  Bromine's similar.
[00:16:21.555 --> 00:16:23.677]  That's why it's always had that antifreeze taste.
[00:16:26.309 --> 00:16:29.130]  Burger King, UK reputation damaged by horse meat scandal.
[00:16:29.450 --> 00:16:31.651]  You know who used to be the biggest owner of Burger King?
[00:16:31.671 --> 00:16:33.131]  They sold it like seven years ago.
[00:16:33.771 --> 00:16:39.093]  The Queen of England, one of her company divisions, owned it from the time it was founded.
[00:16:40.393 --> 00:16:42.474]  Now it literally is Burger King.
[00:16:43.254 --> 00:16:45.735]  Maybe they groom her stool and then put that in the meat, too.
[00:16:45.795 --> 00:16:47.096]  I mean, that's a joke, folks.
[00:16:47.716 --> 00:16:49.596]  It's Johnny Carchi, you know.
[00:16:50.257 --> 00:16:51.357]  Or I guess that's Letterman.
[00:16:52.657 --> 00:16:54.078]  Or maybe he ripped it off from Carson.
[00:16:55.123 --> 00:16:55.924]  Johnny Carson.
[00:16:56.644 --> 00:16:58.946]  Did you see Kevin Spacey do the Johnny Carson imitation?
[00:16:59.066 --> 00:17:00.227]  That was powerful.
[00:17:01.769 --> 00:17:02.389]  That was powerful.
[00:17:02.990 --> 00:17:08.154]  And then Kevin Spacey made some comment about... Well, I'm not going to get into it.
[00:17:09.755 --> 00:17:10.256]  There you go.
[00:17:10.816 --> 00:17:13.638]  So, it's like, oh, the giant asteroid may kill us all.
[00:17:13.658 --> 00:17:15.240]  Let's talk about Johnny Carson now.
[00:17:17.571 --> 00:17:26.134]  That's what happens when I take off 24 hours and go swimming, fishing, camping, grilling steaks over an open fire, and shooting a .50 cal BMG.
[00:17:27.835 --> 00:17:29.556]  I mean, I put the scope on that sucker.
[00:17:30.036 --> 00:17:33.237]  We fired about 10 rounds at 300 yards.
[00:17:33.537 --> 00:17:35.938]  In 10 rounds, we were dead on the target.
[00:17:37.379 --> 00:17:40.040]  And we said, hey, let's get out the Reaper now.
[00:17:42.360 --> 00:17:42.861]  I'm sorry.
[00:17:44.001 --> 00:17:44.401]  I'm sorry.
[00:17:44.421 --> 00:17:45.962]  Oh, boy.
[00:17:47.634 --> 00:17:53.795]  So, that said, everybody's freaking out over the horse meat.
[00:17:55.276 --> 00:17:57.236]  You know what you should really be freaking out about?
[00:17:57.876 --> 00:18:02.377]  It's this article up at PrisonPlanet.com and Infowars.com from NaturalNews.com.
[00:18:02.737 --> 00:18:13.200]  And I saw this a few weeks ago just in a medical financial slash journal about they were doing some press release for stocks for the company about the first GMO vaccine.
[00:18:14.591 --> 00:18:16.252]  And I meant to cover it, but here it is.
[00:18:16.733 --> 00:18:17.594]  I'm glad they wrote about it.
[00:18:17.674 --> 00:18:18.574]  Jonathan Benson did.
[00:18:18.975 --> 00:18:24.499]  FDA approves first GMO flu vaccine containing reprogrammed insect virus.
[00:18:24.599 --> 00:18:26.381]  Oh, that's a great idea.
[00:18:26.781 --> 00:18:33.707]  Because, you see, normally you can't get diseases that most insects have because they're biomechanical system.
[00:18:34.487 --> 00:18:35.528]  I see them as biomechanical.
[00:18:35.568 --> 00:18:37.590]  I know technically they're not biomechanical, but they really are.
[00:18:38.931 --> 00:18:41.193]  And with their little exoskeletons.
[00:18:43.001 --> 00:18:53.224]  They are reprogramming humans with insects, humans with cows, humans with marsupials, humans with just every plant, animal variety you can imagine.
[00:18:57.722 --> 00:19:12.195]  And it then allows the diseases and the susceptibility, this has been proven, that a pig had to something that humans didn't or vice versa, now jumps into that species and allows it to jump into you.
[00:19:12.235 --> 00:19:13.576]  I mean this is the type of thing
[00:19:15.748 --> 00:19:18.649]  And they're doing thousands of these things that I know of every year.
[00:19:18.809 --> 00:19:27.651]  Well, that's, that's, that's, that's... They have thousands of laboratories doing tens of thousands of things like this per laboratory per year.
[00:19:27.852 --> 00:19:43.056]  So see, it's not thousands of things a year, it's hundreds of thousands a year of just giant factories with robot systems firing with gene guns, splicing everything you can imagine, and then putting it under electron microscopes and putting it in fetal tissue cultures and
[00:19:43.556 --> 00:19:45.997]  You know, hey, let's put it in Pepsi and see what that does.
[00:19:47.598 --> 00:19:49.359]  You want to talk about what's probably going to destroy us?
[00:19:49.419 --> 00:19:51.600]  It's something like this, not an asteroid.
[00:19:52.401 --> 00:19:52.841]  Okay?
[00:19:52.901 --> 00:19:54.242]  But an asteroid rates, too.
[00:19:54.642 --> 00:19:55.803]  But no, we're not worried about that.
[00:19:55.863 --> 00:19:57.984]  It's carbon dioxide that plants breathe.
[00:19:58.864 --> 00:20:00.825]  Yeah, we need to pay a global tax because of that.
[00:20:00.946 --> 00:20:01.546]  That's real bad.
[00:20:01.934 --> 00:20:03.636]  Attention gardeners and patriots!
[00:20:03.756 --> 00:20:12.963]  Drought conditions in our nation's heartland and massive Federal Reserve debt monetizing are creating the perfect conditions for dramatically higher food prices in the months ahead.
[00:20:13.023 --> 00:20:19.709]  That means there has never been a better time to secure an ongoing source of nutritionally dense food for you and your family.
[00:20:19.729 --> 00:20:24.573]  The Survival Seed Bank contains the perfect mix of germination tested non-hybrid seeds.
[00:20:24.733 --> 00:20:30.775]  You get enough seeds to plant a full acre crisis garden that can produce an endless supply of garden fresh food.
[00:20:30.935 --> 00:20:33.896]  These seeds have not been genetically modified in any way.
[00:20:33.976 --> 00:20:39.919]  And the best part, right now, every Survival Seed Bank comes with an additional $300 in free seeds.
[00:20:40.079 --> 00:20:42.800]  It's the biggest seed giveaway in seed bank history.
[00:20:42.860 --> 00:20:47.201]  This is the original best-selling Survival Seed Bank seen on TV nationwide.
[00:20:47.321 --> 00:20:51.823]  Don't miss this amazing Survival Seed Giveaway at SurvivalSeedBank.com.
[00:20:52.463 --> 00:20:57.252]  Remember, in a real economic crisis, non-hybrid seeds are the ultimate barter item.
[00:20:57.352 --> 00:20:59.596]  Go to survivalseedbank.com today.
[00:20:59.616 --> 00:21:01.599]  That's survivalseedbank.com.
[00:21:04.750 --> 00:21:09.573]  Fall in love with food storage savings this February at BePrepared.com.
[00:21:09.753 --> 00:21:18.898]  Going on now, BePrepared.com saves you over $300 with a premium 1,600 one-year supply, including 126 cans of freeze-dried and dehydrated food.
[00:21:19.218 --> 00:21:24.161]  Or get the new gourmet 14-day food supply with a full 2,000 calories per day with pre-planned menu.
[00:21:24.401 --> 00:21:27.383]  Stroganoff and noodles are 20% off with purchase of six or more.
[00:21:27.643 --> 00:21:29.644]  Mountain House pork chops are back in stock at 34% off.
[00:21:31.045 --> 00:21:36.387]  Pack your own low moisture foods with our new do-it-yourself super pill combo on sale at 22% off.
[00:21:36.767 --> 00:21:39.928]  Add to your preparedness with minor surgery kits at 15% off.
[00:21:40.268 --> 00:21:41.689]  And wool blended blankets are only $11.89.
[00:21:41.729 --> 00:21:47.791]  The February Fall in Love with Savings Sale ends February 28th at BePrepared.com.
[00:21:48.091 --> 00:21:51.112]  For contents and details, visit BePrepared.com or call 800-999-1863.
[00:21:51.132 --> 00:21:51.633]  The choice is clear.
[00:21:51.673 --> 00:21:52.753]  Be unprepared or BePrepared.com.
[00:22:01.687 --> 00:22:02.247]  Oh, great!
[00:22:02.287 --> 00:22:03.428]  Now I've got to go to court!
[00:22:03.588 --> 00:22:06.249]  Meet Tina, now facing a future court date.
[00:22:06.429 --> 00:22:07.989]  I can't afford an attorney!
[00:22:08.009 --> 00:22:11.971]  Then learn how to represent yourself in court, step-by-step, without a lawyer.
[00:22:12.031 --> 00:22:12.431]  How?
[00:22:12.711 --> 00:22:16.953]  Online at HowToWinInCourt.com HowToWinInCourt.com?
[00:22:17.013 --> 00:22:23.455]  HowToWinInCourt.com was created by a 27-year veteran attorney, so you can know how to win without a lawyer.
[00:22:23.475 --> 00:22:25.376]  Now I can go to court with confidence!
[00:22:25.436 --> 00:22:29.858]  Learn how at HowToWinInCourt.com, the leader in lawsuit self-help since 1997.
[00:22:31.411 --> 00:22:32.471]  Hi, this is Ted Anderson.
[00:22:32.651 --> 00:22:37.013]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:22:37.173 --> 00:22:42.835]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:22:42.955 --> 00:22:46.336]  Gold has outperformed paper investments, yet no word about IRAs.
[00:22:46.556 --> 00:22:49.137]  If you would like to have gold for your retirement, call 800-686-2237.
[00:22:49.257 --> 00:22:54.119]  Don't get left behind by rising inflation and low returns.
[00:22:54.259 --> 00:22:54.539]  Call 800-686-2237.
[00:22:54.559 --> 00:22:55.899]  Secure your future and call 1-800-686-2237.
[00:23:03.698 --> 00:23:05.119]  We're good to go.
[00:23:21.864 --> 00:23:30.369]  Neutropic Mind Power is a lasting proven natural supplement with 12 powerful ingredients in nutraceutical compounds and are non-GMO.
[00:23:30.869 --> 00:23:37.833]  Plus it's gluten free, wheat free and formulated by Americans for Americans by an NSF certified laboratory.
[00:23:38.293 --> 00:23:48.499]  Neutropic Mind Power is available at mindregard.com spelled M-I-N-D-R-E-G-A-R-D dot com and comes with a 100% money back guarantee.
[00:23:50.140 --> 00:23:55.112]  Free your mind with Nootropic Mind Power Cognitive Supplement from MindRegard.com.
[00:23:55.713 --> 00:23:56.415]  MindRegard.
[00:23:56.856 --> 00:23:59.081]  Clearly see tomorrow and yesterday, today.
[00:24:28.914 --> 00:24:31.274]  Ladies and gentlemen, we are back live.
[00:24:31.494 --> 00:24:32.995]  I am your host, Alex Jones.
[00:24:33.035 --> 00:24:35.475]  We're here Monday through Friday, 11 a.m.
[00:24:35.495 --> 00:24:36.135]  to 2 p.m.
[00:24:36.195 --> 00:24:41.916]  Central, blasting out on XM 166 over 150 AM and FM affiliates.
[00:24:42.356 --> 00:24:46.057]  And of course, the audio streams at InfoWars.com and PrisonPlanet.com.
[00:24:46.337 --> 00:24:49.698]  The video streams at InfoWarsNews.com.
