[00:00:00.149 --> 00:00:02.172]  You're listening to GCN.
[00:05:23.160 --> 00:05:34.147]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals all in one filter element.
[00:05:34.167 --> 00:05:36.789]  It is the only one that does it and out of the gate.
[00:05:37.009 --> 00:05:40.430]  We have it discounted at 10% off with promo code WATER.
[00:05:40.630 --> 00:05:57.615]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:05:57.935 --> 00:06:03.256]  Get your ProPure with the new Pro1 filter today at infoworkstore.com or by calling 888-253-3139.
[00:06:07.335 --> 00:06:18.641]  With health threats on the rise such as West Nile virus, MRSA, CRE, and now the new bird flu recently discovered in China, there has never been a more crucial time to support your immune system.
[00:06:18.941 --> 00:06:31.829]  Supernatural Silver is a revolutionary new silver solution that is clinically shown to be several hundred times more effective than colloidal or ionic silver, and is powerful enough to help protect you and your family.
[00:06:32.169 --> 00:06:36.171]  Supernatural Silver is scientifically supported, highly effective,
[00:06:36.331 --> 00:06:37.032]  We're good to go.
[00:07:06.811 --> 00:07:08.732]  In the last two years alone, the U.S.
[00:07:08.752 --> 00:07:10.713]  has seen huge losses to our food supply.
[00:07:10.933 --> 00:07:16.855]  In 2011, storms and floods raged across the U.S., costing us $20 billion in lost crops alone.
[00:07:17.215 --> 00:07:20.416]  In 2012, we saw the largest drought in the country in more than 50 years.
[00:07:20.677 --> 00:07:24.458]  You may think out of sight, out of mind, and so you don't think you will be affected.
[00:07:24.618 --> 00:07:25.819]  The fact is, you are.
[00:07:25.999 --> 00:07:26.779]  We all are.
[00:07:27.019 --> 00:07:29.360]  Food shortages drive prices up for everyone.
[00:07:29.660 --> 00:07:38.028]  You might not be able to control Mother Nature, but you can control your food prices by freezing the cost and availability of your food supply with eFoodsDirect.
[00:07:38.228 --> 00:07:39.429]  Be prepared before you need it.
[00:07:39.609 --> 00:07:42.812]  With nutrient-dense food you can store for up to 25 years.
[00:07:43.092 --> 00:07:45.334]  You can hope for the best, but hope won't feed you.
[00:07:45.474 --> 00:07:49.898]  Do what I've done and get your own supply of the best storable foods out there from eFoodsDirect.
[00:07:50.039 --> 00:07:55.944]  Call 800-409-5633 or visit them on the web at eFoodsDirect.com forward slash Alex.
[00:07:56.184 --> 00:07:57.605]  And check out their spring specials.
[00:07:57.825 --> 00:08:04.109]  Again, that number is 800-409-5633 or on the web at efoodsdirect.com forward slash Alex.
[00:08:04.350 --> 00:08:06.291]  You can bet your life on E foods direct.
[00:08:09.093 --> 00:08:14.636]  We now take you live to the central Texas command center and the heart of the resistance.
[00:08:15.097 --> 00:08:17.638]  You're listening to the Alex Jones Show.
[00:08:32.165 --> 00:08:35.206]  Ladies and gentlemen, thank you so much for joining us.
[00:08:37.367 --> 00:08:39.707]  It is the 13th day of May 2013.
[00:08:39.807 --> 00:08:43.968]  We are going to be here for the next three hours.
[00:08:44.749 --> 00:08:51.551]  We have big breaking Bilderberg slash Google global governance news.
[00:08:53.331 --> 00:09:11.504]  We have Bill Gates, who frequently attends Bilderberg, but also the head of Google, Eric Schmidt, also has been videotaped attending, as well as Zuckerberg, the head of Facebook, planning that pump and dump two years ago in Switzerland with the stock.
[00:09:12.024 --> 00:09:15.307]  But from our sources and on-the-ground confirmation,
[00:09:16.089 --> 00:09:32.107]  We have confirmed that Google is basically running Bilderberg 2013 and meeting several weeks in advance at the same hotel where Project X of the OSS was run during World War II.
[00:09:33.564 --> 00:09:37.246]  Now, why do globalists not meet at government compounds?
[00:09:37.286 --> 00:09:43.348]  Because that could be under surveillance, government people could blow the whistle.
[00:09:44.169 --> 00:09:53.493]  When you have these criminal networks meeting, they do it outside of government, but use local police as their security force.
[00:09:54.659 --> 00:10:05.183]  And the mayor of the local town of Watford, northwest of London, it's an elitist area, has come out and said, oh horrible protesters, I'm sure they'll be violent, horrible people.
[00:10:05.223 --> 00:10:06.524]  I've got our quotes here in the paper.
[00:10:07.164 --> 00:10:12.706]  But I still feel honored that we're prestigious enough to host this Bilderberg Group conference.
[00:10:14.130 --> 00:10:18.551]  So she's saying it's prestigious, horrible rabble coming to protest it.
[00:10:18.891 --> 00:10:20.252]  She hopes they can be stopped.
[00:10:20.752 --> 00:10:25.273]  Wadford mayor, Bilderberg protesters, can and do cause violence and disturbance.
[00:10:25.713 --> 00:10:27.074]  And that's the actual quote.
[00:10:27.634 --> 00:10:32.575]  And then she goes on to say, oh thank goodness we're prestigious enough venue.
[00:10:32.695 --> 00:10:38.277]  It's quote, very good the Grove has been deemed a prestigious enough venue.
[00:10:39.960 --> 00:10:43.482]  For us to be able to host it.
[00:10:43.762 --> 00:10:57.511]  But it's horrible that vicious people from all over the world are going to be traveling here as royalty and world leaders meet in secret with robber barons carving up the world.
[00:10:57.651 --> 00:11:02.854]  Oh, it's so terrible that anyone, that an alternative press dare cover it.
[00:11:04.976 --> 00:11:06.397]  So see, she's in the local paper.
[00:11:07.659 --> 00:11:11.622]  Going, oh yeah, you know, global government's coming here to meet in town.
[00:11:11.942 --> 00:11:12.682]  Horrible rabble.
[00:11:13.163 --> 00:11:14.283]  I guess you didn't get the memo.
[00:11:14.343 --> 00:11:17.465]  Bilderberg Group doesn't exist, the New York Times says.
[00:11:18.426 --> 00:11:21.868]  When I covered it five years ago when no one could find Obama in D.C.
[00:11:21.888 --> 00:11:23.169]  with Hillary, we knew they were there.
[00:11:23.229 --> 00:11:24.110]  Secret Service came in.
[00:11:24.410 --> 00:11:25.190]  We confirmed we were there.
[00:11:25.230 --> 00:11:28.452]  I called the press, the mainstream press, and they said, we're not coming to that.
[00:11:29.433 --> 00:11:32.235]  The Epoch Times covered it, and that was it.
[00:11:35.345 --> 00:11:40.830]  And so the New York Times a year later came out and said, oh there's a film about it called New World Order.
[00:11:41.210 --> 00:11:48.357]  Alex Jones was in a hotel parking lot imagining Global Elite were meeting.
[00:11:48.417 --> 00:11:51.380]  Imagine, he imagined there were two billion bullets.
[00:11:51.820 --> 00:11:55.924]  He imagined the IRS was persecuting Tea Party groups and Patriot groups.
[00:11:56.184 --> 00:12:01.409]  He imagined government documents four years ago given to him by state police and federal marshals
[00:12:02.605 --> 00:12:09.670]  More than eight different documents where they said returning veterans, gun owners, libertarians, conservatives would be the new terror threat, not Al-Qaeda.
[00:12:10.571 --> 00:12:13.513]  Of course it all turned out to be real documents and it's now mainstream news.
[00:12:15.635 --> 00:12:17.236]  I imagined it all.
[00:12:17.336 --> 00:12:20.358]  I imagined the sun came up this morning.
[00:12:20.679 --> 00:12:24.762]  So Paul Watson is going to be joining us and we're going to be
[00:12:26.667 --> 00:12:31.789]  Breaking down the biggest developments in Bilderberg's official history since 1954.
[00:12:32.289 --> 00:12:44.734]  Oh, and I'm afraid that even if corporate dinosaur media doesn't cover it here in the United States, I'm afraid it will end up getting covered.
[00:12:45.814 --> 00:12:46.815]  Oh, I'm afraid so.
[00:12:48.168 --> 00:12:50.810]  And that will only hurt your credibility that much worse.
[00:12:50.850 --> 00:13:05.283]  So please, do what you always do, and be conceited, be arrogant, and treat your readers and your viewers like they're morons, Piers Morgan and Rachel Maddow, and watch your audiences dwindle by the week!
[00:13:06.900 --> 00:13:09.282]  Rachel, your audience was 800,000 a year ago.
[00:13:09.782 --> 00:13:11.443]  It's 400,000 now.
[00:13:12.184 --> 00:13:16.447]  Oh, just a year ago, Piers Morgan, your audience was a million.
[00:13:16.487 --> 00:13:21.971]  Now it's 400,000, trending to be 300,000 in a month at the current plunge rate.
[00:13:24.113 --> 00:13:25.594]  Oh, you're hemorrhaging out.
[00:13:26.735 --> 00:13:31.818]  But it kind of feels good, though, there in the last minutes, politically, of your waning star.
[00:13:33.137 --> 00:13:42.790]  Because of the endorphins flow, and you kind of enter a type of rapture, politically, as you die, politically.
[00:13:42.810 --> 00:13:50.280]  It's like roaches, if you spray them with poison, they run around euphorically for a few seconds before flopping on their backs.
[00:13:52.836 --> 00:14:00.199]  Oh, Piers Morgan hopes for CNN talk show to rebound like a dead cat bounce after getting beaten up in the ratings.
[00:14:00.219 --> 00:14:03.820]  It was like an explosion when I went on his show January 7th.
[00:14:04.321 --> 00:14:05.741]  Suddenly, 2 million viewers.
[00:14:06.381 --> 00:14:07.362]  He only had about 600,000 then.
[00:14:07.722 --> 00:14:09.783]  Again, a few months before that, a million.
[00:14:10.283 --> 00:14:13.704]  And it exploded, and for about a week or so, he had a million, and then 800,000, 700,000, 600,000, 500,000, 400,000.
[00:14:13.824 --> 00:14:14.885]  It was like an explosion.
[00:14:20.427 --> 00:14:30.073]  Like he was an attack frigate orbiting above our city and we blasted it with heavy guns and it exploded and everyone looked, look at the, oh he's big!
[00:14:30.093 --> 00:14:32.214]  Piers Morgan is big!
[00:14:32.794 --> 00:14:34.275]  He's big again!
[00:14:36.216 --> 00:14:37.637]  As he exploded.
[00:14:37.657 --> 00:14:43.821]  Oh and then they declared their victory over us in the dying dinosaur media.
[00:14:45.011 --> 00:14:53.959]  They declared their victory and danced in an imaginary victory dance, spiking the football in the end zone as they burned.
[00:14:56.981 --> 00:15:03.707]  Ah, there'll be more fireworks for these people, but listen, the globalists aren't capable of staging a big terror attack and bringing in martial law.
[00:15:04.735 --> 00:15:06.255]  They're capable of launching a big war.
[00:15:06.556 --> 00:15:12.937]  They didn't get into power because they weren't willing to do desperate things and weren't bold.
[00:15:13.798 --> 00:15:18.459]  So they could release a bioweapon and pose as saviors and use the martial law clampdown.
[00:15:18.819 --> 00:15:25.361]  All the stuff they've put in place is so they can clampdown if we ever start defeating them.
[00:15:25.741 --> 00:15:31.963]  As Zbigniew Brzezinski has said, as Hillary Clinton has said, they're losing the info war.
[00:15:34.560 --> 00:15:42.290]  And what are they going to do as we kamikaze into them politically like an X-Wing going into the main deck of the Executor Star Destroyer?
[00:15:43.111 --> 00:15:44.793]  Total nerd analogy.
[00:15:45.655 --> 00:15:47.197]  Total nerd allegory.
[00:15:49.929 --> 00:15:51.371]  And that's the secret.
[00:15:51.511 --> 00:15:53.054]  Fortune favors the bold.
[00:15:53.715 --> 00:15:55.477]  Our fortune is not eating GMO.
[00:15:56.018 --> 00:15:57.761]  Our fortune is having national sovereignty.
[00:15:58.161 --> 00:16:04.050]  Our fortune is energizing families and men and women and children to have success.
[00:16:05.570 --> 00:16:12.114]  That's the fortune we seek, not dumb the whole world down and cut off resources so you eugenicists can play God.
[00:16:12.374 --> 00:16:18.138]  By the way, it's in mainstream news, and I'm going to get into all the other big news on the IRS targeting tea parties.
[00:16:18.998 --> 00:16:20.579]  This could be bigger than Benghazi.
[00:16:20.860 --> 00:16:22.761]  Benghazi continuing to melt down.
[00:16:22.781 --> 00:16:30.966]  I mean, this is a real, this is what a coup d'etat or a counter-coup in the establishment looks like against Obama.
[00:16:33.366 --> 00:17:02.071]  And again, it's not because the establishment wants to give us a victory this is happening, it's because they know that they've committed and accelerated their program too fast, and even sectors of the establishment are scared of Obama and the hardcore technocrats, because the hardcore technocrats hate humanity so much, and are such psychopathic control freaks, that large sectors of the establishment realize, oh my god, this isn't business as usual,
[00:17:03.049 --> 00:17:05.810]  Keeping the masses down and centralizing control.
[00:17:06.170 --> 00:17:12.853]  This really is a crazy eugenics plan to bring in world government and exterminate 80 plus percent of the population.
[00:17:12.873 --> 00:17:14.354]  And they also see how...
[00:17:15.655 --> 00:17:27.781]  France and other European countries are about 10 years ahead of the United States and England in the globalist takeover, and they see how even billionaires are being arrested and having their stolen wealth stolen by other globalists.
[00:17:27.821 --> 00:17:39.587]  And so they're figuring out, oh my gosh, when we get rid of checks and balances, oh my gosh, when we get rid of any type of due process, we're going to be the first people up on the chomping block.
[00:17:40.933 --> 00:17:50.696]  You could have two globalists left on Earth in a palace, a technotronic, technocratic palace, and they would try to kill each other.
[00:17:51.816 --> 00:17:53.516]  It is the nature of these people.
[00:17:55.717 --> 00:17:59.878]  And so there is a worldwide battle for the heart and soul of humanity going on.
[00:17:59.938 --> 00:18:02.379]  It's happening all over the planet.
[00:18:04.744 --> 00:18:06.124]  It's happening in Communist China.
[00:18:06.184 --> 00:18:07.965]  It's happening in authoritarian Israel.
[00:18:08.345 --> 00:18:10.306]  It's happening in authoritarian Saudi Arabia.
[00:18:10.666 --> 00:18:12.206]  It's happening in authoritarian England.
[00:18:12.466 --> 00:18:15.427]  It's happening in authoritarian United States of America.
[00:18:16.448 --> 00:18:17.748]  And you are the resistance.
[00:18:18.168 --> 00:18:26.311]  Oh, by the way, I'm going to do a report on this on the Nightly News tonight, or perhaps the third hour if I have time, because Richard Belzer is coming up, Catherine Albrecht into Google, Paul Watson.
[00:18:26.771 --> 00:18:27.291]  But look at this.
[00:18:29.910 --> 00:18:32.811]  Rich cabals meet about overpopulation.
[00:18:32.851 --> 00:18:34.892]  Document Cam, please, for TV viewers.
[00:18:36.152 --> 00:18:49.577]  And you see the original ABC News article from 2009, and it says, by Russell Goldman, meeting of America's riches about need, attendees say.
[00:18:50.745 --> 00:19:00.848]  But the original headline and they changed it was, that's out of the Times of London, I want you guys to print me this, Billionaire Club in bid to curb overpopulation.
[00:19:01.928 --> 00:19:10.471]  And they actually let the Times of London, ABC News, by the way both these groups were sponsored at the time by the Bill and Melinda Gates Foundation, they let them into the meeting
[00:19:11.860 --> 00:19:17.985]  And they actually came out and said, oh, the plan is not to be the world government, that's already established.
[00:19:18.285 --> 00:19:20.987]  It says that at the end of this Times of London article.
[00:19:21.327 --> 00:19:25.971]  The plan is to be advisors to the global government on how to reduce population.
[00:19:27.212 --> 00:19:34.137]  Bill and Melinda Gates, Warren Buffet, Schmidt, Oprah Winfrey, you name it.
[00:19:34.978 --> 00:19:36.499]  And now they're meeting again.
[00:19:36.639 --> 00:19:40.802]  Here's the new article out of News 13.
[00:19:43.631 --> 00:19:49.497]  WCBD, Bill Gates, Jeb Bush, Oprah, and Warren Buffett meet in South Carolina Island.
[00:19:50.919 --> 00:19:53.701]  And they say it's guest to discuss overpopulation.
[00:19:54.182 --> 00:19:56.464]  Secret Billionaire Club seeks population control.
[00:19:56.484 --> 00:19:57.345]  That's World Net Daily.
[00:19:57.725 --> 00:19:58.767]  So that's coming up.
[00:19:58.807 --> 00:20:05.994]  But first, Obama's Watergate, the twin-headed beast of BenghaziGate and IRSGate.
[00:20:08.723 --> 00:20:11.564]  Ceramic Body Armor is rated to stop six hits.
[00:20:11.844 --> 00:20:13.004]  But what about the seventh?
[00:20:13.224 --> 00:20:17.266]  Unlike ceramic or Kevlar, Infidel Body Armor is proven to take hit after hit.
[00:20:17.486 --> 00:20:18.806]  And it just won't quit.
[00:20:19.046 --> 00:20:25.528]  Reasonably priced and designed for the smart civilian prepper, Infidel stops hundreds of hits from small arms to high-powered rifles.
[00:20:25.748 --> 00:20:27.709]  That means safety and peace of mind.
[00:20:27.889 --> 00:20:30.270]  Buy yours at InfidelBodyArmor.com.
[00:20:30.330 --> 00:20:34.191]  Spelled I-N-F-I-D-E-L BodyArmor.com.
[00:20:34.331 --> 00:20:35.612]  Infidel Body Armor.
[00:20:35.792 --> 00:20:36.612]  Just won't quit.
[00:20:36.772 --> 00:20:46.058]  We the people grow cotton, weave fabric, engrave ink, embed strips and fibers to protect from counterfeit, then carting to a private bank, having it led back at interest, forcing taxes to service debt.
[00:20:46.118 --> 00:20:46.839]  This capitalism?
[00:20:46.899 --> 00:20:53.043]  Or was Jefferson correct when stating a central bank issuing the public currency is a greater menace to the liberties of the people than a standing army?
[00:20:53.183 --> 00:20:53.943]  Hi, Ted Anderson.
[00:20:53.984 --> 00:20:57.066]  I'm placing a free silver dollar in a book that explains our monetary system.
[00:20:57.146 --> 00:20:58.066]  Call for your copy 800-686-2237.
[00:20:58.086 --> 00:20:59.107]  It's time to understand the system.
[00:20:59.147 --> 00:20:59.747]  Call 800-686-2237.
[00:20:59.787 --> 00:21:00.068]  That's 800-686-2237.
[00:21:07.052 --> 00:21:08.974]  In the last two years alone, the U.S.
[00:21:08.994 --> 00:21:11.237]  has seen huge losses to our food supply.
[00:21:11.397 --> 00:21:17.383]  In 2011, storms and floods raged across the U.S., costing us $20 billion in lost crops alone.
[00:21:17.403 --> 00:21:20.587]  In 2012, we saw the largest drought in the country in more than 50 years.
[00:21:20.847 --> 00:21:24.591]  You may think out of sight, out of mind, and so you don't think you will be affected.
[00:21:24.751 --> 00:21:25.932]  The fact is, you are.
[00:21:26.132 --> 00:21:26.913]  We all are.
[00:21:27.153 --> 00:21:29.476]  Food shortages drive prices up for everyone.
[00:21:29.776 --> 00:21:38.063]  You might not be able to control Mother Nature, but you can control your food prices by freezing the cost and availability of your food supply with eFoods Direct.
[00:21:38.263 --> 00:21:39.464]  Be prepared before you need it.
[00:21:39.644 --> 00:21:42.807]  With nutrient-dense food you can store for up to 25 years.
[00:21:43.107 --> 00:21:45.329]  You can hope for the best, but hope won't feed you.
[00:21:45.469 --> 00:21:49.853]  Do what I've done and get your own supply of the best storable foods out there from eFoods Direct.
[00:21:49.993 --> 00:21:55.858]  Call 800-409-5633 or visit them on the web at efoodsdirect.com forward slash Alex.
[00:21:56.078 --> 00:21:59.199]  Hello, this is Ty Bollinger, author of the best-selling book, Cancer Step Outside the Box.
[00:21:59.219 --> 00:22:01.200]  I want you to know some very important information.
[00:22:01.240 --> 00:22:07.882]  In 1985, President Ronald Reagan requested that carnivora be sent directly to the White House at a time when only the President could obtain this world-class healer.
[00:22:23.374 --> 00:22:28.316]  Now, 27 years later, carnivore capsules are used around the world to keep people healthy.
[00:22:28.937 --> 00:22:39.901]  Now you can protect yourself and your loved ones in this age of superbugs with 17 naturally occurring compounds that instinctively respond to abnormal cells only without harming a single normal cell.
[00:22:40.302 --> 00:22:47.305]  If you want to stay healthy, now's your chance to literally wake up your critical immune cells to attack harmful invaders that don't belong in your body.
[00:22:47.985 --> 00:22:52.249]  Call 1-866-VENUSFLY or order from carnivora.com.
[00:22:52.289 --> 00:22:55.452]  That's C-A-R-N-I-V-O-R-A dot com.
[00:22:55.893 --> 00:23:02.839]  That's 1-866-836-8735, 1-866-VENUSFLY or visit carnivora.com.
[00:23:03.160 --> 00:23:04.140]  Protect your immune system.
[00:23:04.421 --> 00:23:05.462]  It's the only one you've got.
[00:23:07.318 --> 00:23:13.783]  Big business has discovered the preparedness market, and that makes it difficult to know where to go and who to trust.
[00:23:14.124 --> 00:23:18.607]  MyPatriotSupply.com is owned and operated by patriots just like you.
[00:23:18.887 --> 00:23:28.095]  Has the best prices on storable food, non-GMO seeds, water filtration devices, home canning equipment, survival and self-reliance books, and more.
[00:23:28.395 --> 00:23:34.320]  MyPatriotSupply.com has old-fashioned values and the absolute best customer service in the industry.
[00:23:34.560 --> 00:23:35.841]  Look for the deal of the day.
[00:23:36.141 --> 00:23:39.362]  Unique, affordable survival supplies that fit anyone's budget.
[00:23:39.542 --> 00:23:42.824]  Get same-day shipping on all orders and free shipping on orders over $49.
[00:23:42.884 --> 00:23:43.244]  Call 866-229-0927.
[00:23:43.264 --> 00:23:43.344]  866-229-0927.
[00:23:43.484 --> 00:23:47.626]  Or visit MyPatriotSupply.com for emergency preparedness, self-reliance, and food independence.
[00:23:47.686 --> 00:23:50.127]  Shop with a name you know and a name you can trust.
[00:24:00.131 --> 00:24:02.854]  Before it's time to survive, it's time to prepare.
[00:24:03.154 --> 00:24:04.996]  MyPatriotsupply.com.
[00:24:14.106 --> 00:24:16.348]  Look at your young men fighting.
[00:24:16.388 --> 00:24:17.830]  Look at your women crying.
[00:24:20.814 --> 00:24:26.758]  Again, ladies and gentlemen, this is undoubtedly the biggest news since Bilderberg's founding back in 1954.
[00:24:27.278 --> 00:24:30.880]  Of course, it was secret in the mainstream press for the last decade.
[00:24:30.900 --> 00:24:32.221]  It's still quasi-secret.
[00:24:33.021 --> 00:24:48.651]  The media alternately says it doesn't exist, or you're insane if you protest it, that it does exist, but that world elites should be able to meet in secret with your elected politicians, who will then sign over your assets to them.
[00:24:50.080 --> 00:24:55.882]  But here's the headline, Googleberg Global Elite Transforms Itself for Technocratic Revolution.
[00:24:56.862 --> 00:25:03.604]  Incredibly important article by Paul Joseph Watson at Infowars.com and PrisonPlanet.com.
[00:25:03.624 --> 00:25:05.085]  He's joining us in the next segment.
[00:25:05.625 --> 00:25:18.509]  And then in the next hour with Catherine Albrecht, I'm going to talk about what the technocrats like Google and Apple, but Google's the key, are doing with all the data they have on you.
[00:25:19.667 --> 00:25:25.869]  Now you notice suddenly they're on CNN going, it's for your best interest, everything you do for a decade has been recorded.
[00:25:27.169 --> 00:25:28.869]  We can go back and listen to any of it.
[00:25:29.490 --> 00:25:36.531]  You are guilty until proven innocent, and even when you're proven innocent, we continue to spy on you without warrants.
[00:25:37.131 --> 00:25:38.472]  But we're secret.
[00:25:38.892 --> 00:25:46.354]  If we want to meet and violate federal law, the Logan Act, with your elected politicians that we bought and paid for, and literally carve up the world,
[00:25:47.455 --> 00:25:53.981]  I mean, they had meetings in Turkey, we got some of the minutes of, about how they were going to shut down power plants all over the United States five years ago.
[00:25:54.642 --> 00:25:55.162]  And they did it.
[00:25:56.103 --> 00:26:03.449]  And they had the big global power company heads there, literally deciding what companies weren't part of the inside group to be shut down.
[00:26:03.890 --> 00:26:11.437]  All the insiders were given waivers, people outside the insiders had their plants shut down, and you got higher power prices.
[00:26:13.297 --> 00:26:14.539]  Oh, see how money's made?
[00:26:15.140 --> 00:26:17.683]  It's made by shutting down your competition!
[00:26:18.103 --> 00:26:19.325]  That's what Bilderberg's about.
[00:26:19.645 --> 00:26:21.147]  Oh, but they're all secret.
[00:26:21.949 --> 00:26:24.932]  And undoubtedly the British cops will be bugging their eyes out at us.
[00:26:25.253 --> 00:26:30.199]  How dare you try to come here and cover this criminal meeting?
