[00:00:18.336 --> 00:00:18.741]  Yeah, I think.
[00:04:57.153 --> 00:04:58.955]  And then he was cut out of the communication loop.
[00:05:00.154 --> 00:05:00.995]  Number five.
[00:05:01.015 --> 00:05:01.976]  The U.S.
[00:05:02.016 --> 00:05:06.179]  government did not seek permission from Libyan government to fly into the airspace.
[00:05:06.959 --> 00:05:13.825]  As Greg Hicks said in his whistleblower testimony, the Libyan military agreed to fly their C-130 and carry personnel.
[00:05:14.385 --> 00:05:16.987]  But SOCOM Africa said, stand down.
[00:05:17.728 --> 00:05:18.329]  Number four.
[00:05:18.969 --> 00:05:20.931]  Greg Hicks was gagged by Clinton.
[00:05:21.960 --> 00:05:29.546]  He was instructed not to speak with congressional investigators by Secretary Hillary Clinton's Chief of Staff, Cheryl Mills.
[00:05:30.147 --> 00:05:47.361]  Hicks said he had never faced a similar demand at any point during his distinguished 22-year diplomatic career, and when he refused to comply with this request, the State Department dispatched an attorney to act as a, quote, minder, who insisted on sitting in on all of his discussions with Congress.
[00:05:48.161 --> 00:05:51.324]  Number three, Hicks was demoted after pushing back.
[00:05:52.276 --> 00:06:05.446]  After being lavishly praised by the President and the Secretary of State for his performance under fire, Assistant Secretary of State Beth Jones instantly reversed course and launched into a, quote, blistering critique, unquote, of Hicks' leadership.
[00:06:06.306 --> 00:06:08.928]  Number two, Sam Basile.
[00:06:09.529 --> 00:06:13.492]  Yeah, this is the producer of the film that Clinton and Rice insisted was the problem.
[00:06:14.022 --> 00:06:22.604]  I was dealing with protests against our facilities that were clearly connected to that video.
[00:06:22.864 --> 00:06:29.446]  This began as a spontaneous, not a premeditated, response to what had transpired in Cairo.
[00:06:29.946 --> 00:06:31.326]  I know, I have heard about it!
[00:06:31.366 --> 00:06:35.267]  In reaction to this very offensive video that was disseminated.
[00:06:35.627 --> 00:06:39.588]  They could save thousands of lives and billions of dollars of taxpayers' money.
[00:06:39.868 --> 00:06:43.309]  The only people that I know who are in jail right now is the filmmaker.
[00:06:43.829 --> 00:06:44.250]  That's right.
[00:06:44.750 --> 00:06:45.431]  Sam Basile.
[00:06:46.052 --> 00:06:47.535]  Sounds like imbecile, doesn't it?
[00:06:47.855 --> 00:06:49.678]  Maybe he was their intended stooge.
[00:06:50.038 --> 00:06:57.449]  He actually produced this film called The Innocence of Muslims, which Hillary Clinton and Susan Rice continued to insist for several days.
[00:06:57.529 --> 00:06:59.993]  Even the mainstream media called them on the absurdity of this.
[00:07:00.473 --> 00:07:04.854]  They continued to state that this was just a Muslim street reaction to this film.
[00:07:05.234 --> 00:07:09.055]  Now possibly this film was intended to inflame the street.
[00:07:09.916 --> 00:07:13.657]  But it was an offense not just to Muslims but anybody that watched it.
[00:07:13.937 --> 00:07:15.357]  Some of the worst filmmaking ever.
[00:07:16.017 --> 00:07:19.038]  Number one of the top ten Benghazi false flag facts.
[00:07:19.618 --> 00:07:20.998]  What difference does it make?
[00:07:24.079 --> 00:07:26.580]  What difference at this point does it make?
[00:07:27.310 --> 00:07:31.311]  And for the latest developments on Benghazi, here's a special report from John Bound.
[00:07:33.911 --> 00:07:36.672]  This is John Bound with an InfoWars Nightly News alert.
[00:07:36.972 --> 00:07:37.772]  Damage control.
[00:07:38.352 --> 00:07:41.052]  That's what the Obama administration is dealing with right now.
[00:07:42.073 --> 00:07:46.973]  And before the whitewashed media can just brush it all aside, let's do it for instance.
[00:07:47.494 --> 00:07:55.475]  For instance, you are a incumbent chief of police, and you've been running drugs with a local drug cartel.
[00:07:56.553 --> 00:07:57.013]  I don't know.
[00:08:27.133 --> 00:08:32.316]  Now, the video shows that the drug cartel was responsible for all the crime in the area.
[00:08:32.996 --> 00:08:39.640]  And of course, when the mainstream media comes and knocks on your door, you refer them to the video that caused the drug cartel to kill your deputy.
[00:08:39.660 --> 00:08:43.522]  Now, nine times out of ten, this isn't going to work in the real world.
[00:08:44.022 --> 00:08:49.125]  But in the world of New World Order politics, it's just business as usual.
[00:08:50.086 --> 00:09:12.644]  Two days after Susan Rice was awarded the 2013 Louis E. Martin Great American Award, and one day after Hillary Clinton accepted the Public Service Award, the fallout from the Benghazi whistleblower hearings has already begun to motivate House Speaker John Boehner to apply weight on the Obama administration to release classified emails and talking points.
[00:09:12.964 --> 00:09:21.712]  Talking points that were revised 12 times, rewritten to the surprise of then CIA Director David Petraeus to exclude references to Al Qaeda and jihadists.
[00:09:22.373 --> 00:09:30.120]  One of the emails read during the hearing revealed that a top state department head was well aware of Islamic terrorists being responsible for the attack.
[00:09:30.421 --> 00:09:36.026]  Days before our ambassador went on national television as telling the ambassador to Libya.
[00:09:37.503 --> 00:09:45.889]  The group that conducted the attacks, Ansar al-Sharia, is affiliated with Islamic terrorists.
[00:09:46.345 --> 00:10:12.418]  More emails allegedly force lower-level State Department officials to remove terrorism from the narrative, instead focusing on the intent of the attacks to be carried out based on the film Innocence of the Muslims, a film now exposed as a Middle East tension time bomb funded by anti-Muslim neocons from the Washington Institute for Near East Policy and the MEF, the Middle East Forum, with connections to the ADL.
[00:10:13.038 --> 00:10:18.081]  A massive think tank effort was put into the production of this unwatchable excuse for a film.
[00:10:18.521 --> 00:10:20.542]  Do not take any action until everything is over.
[00:10:21.523 --> 00:10:39.413]  Its usefulness, or so they thought, would serve the Obama administration in allegedly brokering a full cover of the elimination of State Department assets in order to allow the CIA Al Qaeda storehouses of missiles and weapons recovered from Qaddafi to pass under the radar.
[00:10:39.933 --> 00:10:42.375]  First of all, let's be clear about what transpired here.
[00:10:43.416 --> 00:10:55.527]  What happened this week in Cairo, in Benghazi, was a result, a direct result of a heinous and offensive video that was widely disseminated that the U.S.
[00:10:55.547 --> 00:10:57.008]  government had nothing to do with.
[00:10:57.168 --> 00:11:09.558]  From the Business Insider, what's odd is that a Libyan ship, which reportedly weighed 400 tons and included SA-7s, docked in southern Turkey on September 6th, and its cargo ended up in the hands of Syrian rebels.
[00:11:09.819 --> 00:11:18.105]  The man who organized that shipment, Tripoli military council head Abdel Hakim Belhage, worked directly with Stevens during the Libyan revolution.
[00:11:18.326 --> 00:11:20.527]  Stevens' last meeting on September 11th
[00:11:21.428 --> 00:11:37.018]  ...was with Turkish Consul General Ali Saeed Akin, and a source told Fox News that Stevens was in Benghazi to negotiate a weapons transfer in an effort to get SA-7 missiles out of the hands of Libya-based extremists.
[00:11:37.519 --> 00:11:46.705]  As far as those responsible for the stand-down order, all roads are now leading right to the top, as was described by former Ambassador Anne Wagner.
[00:11:47.265 --> 00:11:53.491]  Stay with us as we offer more exclusive coverage on Benghazi that the whitewashed media is too afraid to cover.
[00:11:54.132 --> 00:11:56.093]  John Bowne, InfoWars Nightly News.
[00:11:58.296 --> 00:11:58.756]  That's right.
[00:11:59.096 --> 00:12:07.084]  Who would believe that Clinton and Obama would hold back rescue efforts in an attack that they perhaps set up?
[00:12:07.881 --> 00:12:11.844]  Who would believe that Clinton and Obama conspired to lie and cover up these attacks?
[00:12:12.445 --> 00:12:18.049]  And who would believe that we have this kind of internecine warfare going on within the CIA?
[00:12:19.090 --> 00:12:23.093]  And who in the public would even care about Libya, right?
[00:12:23.373 --> 00:12:24.714]  Why would they even care that we're there?
[00:12:25.254 --> 00:12:28.077]  And who cares that they even put Al Qaeda in power in Libya?
[00:12:29.197 --> 00:12:30.598]  Maybe Hillary Clinton is right.
[00:12:30.799 --> 00:12:31.339]  Who cares?
[00:12:31.739 --> 00:12:32.060]  I don't know.
[00:12:32.340 --> 00:12:35.002]  I think our listeners do, and maybe you can wake some people up.
[00:12:36.638 --> 00:12:43.563]  Now we all know that government is here to help us, and one of the ways that we've been told they're here to help us is to make our streets safe.
[00:12:43.663 --> 00:12:48.847]  But we see that America's roads have been turned into a revenue-generating surveillance grid.
[00:12:49.548 --> 00:12:50.008]  That's right.
[00:12:50.188 --> 00:12:57.314]  If you drive a car, you may have noticed this, you don't necessarily feel safer when you see the police in your rearview mirror, do you?
[00:12:58.444 --> 00:13:06.167]  According to the National Motorist Association, issuing speeding tickets raises somewhere between $4.5 billion and $6 billion in the U.S.
[00:13:06.308 --> 00:13:06.768]  each year.
[00:13:07.268 --> 00:13:09.349]  And the average price of a speeding ticket keeps going up.
[00:13:09.409 --> 00:13:13.811]  Today, the national average is $150, but in many jurisdictions it's far higher.
[00:13:13.851 --> 00:13:21.534]  And the article goes on to say that in California alone, they had 16 million traffic tickets with the average fine of approximately $250.
[00:13:21.574 --> 00:13:22.275]  Officials in Washington
[00:13:25.276 --> 00:13:25.616]  D.C.
[00:13:25.656 --> 00:13:30.440]  are now using automated license plate readers to track the movements of every single vehicle that enters a city.
[00:13:30.981 --> 00:13:32.382]  They know when you enter Washington.
[00:13:32.582 --> 00:13:33.843]  They know when you leave.
[00:13:34.724 --> 00:13:44.732]  And as we've seen this change, even the police unions are saying that they know that this is all about revenue and not about safety.
[00:13:44.752 --> 00:13:51.498]  The head of the police union said, when I first started this job 30 years ago, police work was never about revenue enhancement.
[00:13:52.290 --> 00:13:56.892]  But if you're a chief now, you have to look at whether the department produces revenue or not.
[00:13:57.933 --> 00:13:59.434]  So the government is spying on us.
[00:13:59.494 --> 00:14:04.296]  The government is basically going around at random, getting revenue from people.
[00:14:04.917 --> 00:14:16.663]  But if you think about the fact, when you look in your rearview mirror, if you look back there and you don't feel safer, but you feel like you're being sized up by the police for some kind of ticket that's going to cost you a couple hundred dollars, you're probably right.
[00:14:17.558 --> 00:14:25.789]  And in the future, if you look out in your backyard and you see a drone over your house, you know that they're looking for something that they can find you for, most likely.
[00:14:26.190 --> 00:14:28.153]  Or maybe it's a little bit more specific.
[00:14:28.707 --> 00:14:34.491]  In many cases, you don't know that you're being looked at when you're on the internet or being electronically surveilled.
[00:14:34.831 --> 00:14:36.152]  They do it surreptitiously.
[00:14:36.492 --> 00:14:47.760]  And unlike the random and capricious and arbitrary way that revenue is collected by the police on the streets for traffic tickets, they're going to be very specifically looking for things from you.
[00:14:47.820 --> 00:14:54.084]  They might have flagged you because of a political belief that you've stated on Facebook.
[00:14:54.124 --> 00:14:56.686]  They might be after you because of your association.
[00:14:57.256 --> 00:14:58.617]  But they're going to be watching you.
[00:14:58.978 --> 00:15:01.641]  That's why we need to be very concerned about the surveillance state.
[00:15:02.101 --> 00:15:10.189]  We see how it is evolving on the roads, how they have turned basic rights of being able to move from place to place into privileges that are granted by the government.
[00:15:10.530 --> 00:15:15.275]  And then they use it as a way to enslave people and to rob them, essentially.
[00:15:16.656 --> 00:15:20.538]  Now we also have the IRS admitting that they are harassing Patriot groups.
[00:15:21.258 --> 00:15:31.402]  Just as we said people are going to be profiled, the IRS has now even admitted and apologizing to profiling particular groups like Tea Party groups.
[00:15:31.442 --> 00:15:37.705]  The IRS has apologized for harassing Patriot and Tea Party groups as reported by the Associated Press today.
[00:15:38.365 --> 00:15:42.589]  They searched for the words Patriot and Tea Party in applications.
[00:15:42.949 --> 00:15:58.303]  And Lois Lerner, who oversees the IRS unit on tax-exempt groups, said the federal government tax agency has singled out Patriot groups for special treatment after complaints that the agency asked the groups an inordinate number of questions to justify their tax-exempt status.
[00:15:58.883 --> 00:16:00.805]  This is something that people complained about.
[00:16:00.845 --> 00:16:03.047]  They felt they were being singled out a couple of years ago.
[00:16:03.847 --> 00:16:07.688]  And it was poo-pooed in the media as being essentially a conspiracy theory.
[00:16:07.728 --> 00:16:10.149]  That's their favorite way to react to anything.
[00:16:11.089 --> 00:16:25.374]  Now, the question is, when we look at things like the highway patrol and the tickets that they give out in the name of security and safety, you have to ask yourself, even when the government wants to protect you, are they able to do so?
[00:16:26.087 --> 00:16:38.236]  And looking at this, this story that is developing in Ohio, it's now come out that the Cleveland captive Michelle Knight was removed from a missing persons database just 15 months after she was snatched off of the streets.
[00:16:39.289 --> 00:16:46.155]  Ohio kidnapping victim Michelle Knight was removed from the Missing Persons Database just 15 months after reporting being missing in 2002.
[00:16:46.596 --> 00:16:56.905]  Her mother, Barbara Knight, said that the police did not do enough to try and find her daughter and did not give it the same attention as they did other higher profile cases.
[00:16:57.645 --> 00:17:02.089]  She is also now suffering hearing loss and facial bone damage after years.
[00:17:04.432 --> 00:17:08.156]  Well, that was in 2011, two years ago.
[00:17:08.816 --> 00:17:10.438]  And the CPS incident was in 2004.
[00:17:10.999 --> 00:17:20.369]  And as we heard, she suffered severe damage to her hearing and facial bones being broken after years of vicious beatings to the head.
[00:17:20.869 --> 00:17:27.632]  Perhaps that could have been averted if there had been a better effort, a more serious effort, to take things seriously that were reported.
[00:17:27.652 --> 00:17:36.755]  Look at the difference between the Boston bombing and the overwhelming, even ridiculous, martial law that was imposed there to find one guy.
[00:17:37.175 --> 00:17:40.076]  And look at how hard they tried to find these three missing women.
[00:17:40.697 --> 00:17:49.280]  This is more people than were killed, the same number of people that were killed in the Boston bombing, but not nearly the effort to try to find the perpetrator.
[00:17:50.089 --> 00:17:53.790]  Now, it's not just lone wolf sexual predators that we should be concerned about.
[00:17:54.311 --> 00:18:00.253]  Robert Steele, ex-CIA person, also talks about the business of child abduction.
[00:18:02.413 --> 00:18:08.636]  Among all the threats from poverty, infectious disease, environmental degradation, right below genocide you have other atrocities.
[00:18:09.896 --> 00:18:13.277]  Other atrocities largely covers two major crime areas.
[00:18:13.537 --> 00:18:15.338]  One is trade in body parts.
[00:18:16.016 --> 00:18:21.344]  This is where prisoners are required to give up body parts or where people are kidnapped and murdered for body parts.
[00:18:22.185 --> 00:18:23.467]  And this is happening everywhere.
[00:18:23.987 --> 00:18:28.614]  And the other major crime is the kidnapping of people for the sex trade.
[00:18:29.256 --> 00:18:31.279]  And this includes basically three levels.
[00:18:31.639 --> 00:18:39.569]  It includes at the lowest level kidnapping children for child molestation and exploitation purposes.
[00:18:40.290 --> 00:18:47.499]  It includes raiding Russian orphanages for girls at a young age who are then raised like cattle for sex slavery.
[00:18:48.079 --> 00:18:57.625]  It includes persuading foolish young girls from Connecticut to come to an audition in New York, and the ones that are stupid enough to show up by themselves get kidnapped and are never seen again.
[00:18:57.645 --> 00:19:00.367]  All I can say is this stuff happens all around us.
[00:19:00.447 --> 00:19:04.630]  I mean, people don't realize how many people disappear, including from cruise lines.
[00:19:06.257 --> 00:19:11.001]  You know, it's just there is this enormous lack of accountability and lack of attention.
[00:19:11.841 --> 00:19:26.213]  And I would just say to you, if you are ever invited to anything like this, make sure you not only take someone with you and have your cell phone with you, but also make sure they know that there are at least six different people that know that you're right there.
[00:19:28.221 --> 00:19:37.605]  I just, I think crime, in fact it's a documented fact, Moises Naim's book, Illicit, crime is now a $2 trillion a year industry.
[00:19:38.065 --> 00:19:44.788]  And just to put this in the context of the legal economy of the world, the legal economy of the world is no more than $7 trillion.
[00:19:45.409 --> 00:19:48.310]  Crime is now $2 trillion.
[00:19:48.840 --> 00:19:59.664]  Legal economy is $7 trillion and it's gradually moving where crime is going to become $3 trillion and then half.
[00:20:05.506 --> 00:20:10.748]  Well, there was a Sherlock Holmes story with a central part of it was about a dog that didn't bark.
[00:20:11.448 --> 00:20:14.849]  Sherlock said the strange thing is that the guard dog did not bark.
[00:20:15.552 --> 00:20:19.330]  And from that he inferred that the criminal actually knew the dog.
[00:20:20.228 --> 00:20:24.070]  Well, what we have here is a case of the dog not barking.
[00:20:24.530 --> 00:20:29.633]  We have the biggest price-fixing scandal ever, according to Rolling Stones, and it really is true.
[00:20:29.673 --> 00:20:32.394]  It's much bigger than the TARP bailouts.
[00:20:32.494 --> 00:20:35.395]  It's much bigger than even LIBOR of a couple of years ago.
[00:20:35.856 --> 00:20:47.121]  And the interesting thing is, is that with the exception of a Rolling Stones story on April 25th, and a couple of stories at the very beginning of April, there basically has been no coverage of this in the mainstream media.
[00:20:47.581 --> 00:20:51.243]  And what we're talking about here is an ICAP interest rate swap scandal.
[00:20:51.823 --> 00:20:55.004]  And the magnitude of this is gigantic.
[00:20:55.304 --> 00:20:59.126]  It's a $379 trillion market.
[00:20:59.646 --> 00:21:05.729]  This is something that is 100 times the size of the entire federal government's annual budget.
[00:21:06.109 --> 00:21:06.449]  That's right.
[00:21:06.489 --> 00:21:11.651]  They make a little over three, they spend, I should say, a little over $3 trillion a year.
[00:21:12.031 --> 00:21:14.012]  And we're talking about something that is $379 trillion.
[00:21:16.733 --> 00:21:23.155]  Now what's happening with this is that this interest rate spread is being fixed and it's being gamed by one company, ICAP.
[00:21:23.735 --> 00:21:26.316]  Small group of people there, about 20 of them.
[00:21:26.336 --> 00:21:31.278]  It's an area that they refer to as Treasure Island because they're making so much money out of it.
[00:21:31.578 --> 00:21:39.180]  And essentially the way this scam works is very much like the scam that was at the heart of the movie The Sting with Robert Redford and Paul Newman.
[00:21:39.740 --> 00:21:51.610]  If you remember that movie, they basically stung a guy by setting up a horse race where they delayed the results and they knew who the winner was going to be and they placed their bets accordingly and suckered the other guy.
[00:21:51.650 --> 00:21:55.353]  Well that's essentially what they're doing here with this rate swap scandal.
[00:21:55.893 --> 00:21:59.336]  Just like we saw with LIBOR, we see giant banks
[00:21:59.896 --> 00:22:14.601]  Making hundreds of trillions of dollars at the expense of individuals, at the expense of civil governments, private institutions, public institutions, governments across the world, and yet there is little to no coverage.
[00:22:15.022 --> 00:22:19.563]  Well, very much like the Sherlock Holmes story, this is a case where the dog is not barking.
[00:22:20.083 --> 00:22:24.085]  That dog is the media, and you have to ask who its master is.
[00:22:24.385 --> 00:22:27.066]  Perhaps it's the same bankers that are running this scandal.
[00:22:27.785 --> 00:22:28.926]  We have an interview coming up.
[00:22:29.046 --> 00:22:38.173]  Leanne McAdoo interviewed Jeffrey Smith, who did a documentary called Genetic Roulette on the dangers of genetically modified food.
[00:22:43.208 --> 00:22:54.354]  Many anthropologists and archaeologists believe that before man even discovered the power to harness and use fire, we were involved in agrarian activities.
[00:22:54.814 --> 00:22:59.557]  That is, taking the seeds of plants and then replanting them to produce more.
[00:23:00.197 --> 00:23:09.223]  The very foundation of our modern civilization and human culture is centered around the planting and cultivation of edible plants.
[00:23:09.864 --> 00:23:12.586]  Fruits, vegetables, nuts, you name it.
[00:23:13.126 --> 00:23:15.508]  And the globalists have been going after gardening.
[00:23:15.528 --> 00:23:19.110]  They've been harassing people that have gardens in their front yards or their backyards.
[00:23:19.150 --> 00:23:27.356]  They've called for licenses for people to have gardens because you can't trust prisoners in the police state America to be able to grow their own food.
[00:23:27.896 --> 00:23:31.440]  That's why I've come to the realization that we need to become self-sufficient.
[00:23:32.140 --> 00:23:33.141]  You need to be informed.
[00:23:33.161 --> 00:23:35.203]  You need to have the Second Amendment to protect yourself.
[00:23:35.223 --> 00:23:37.125]  You need to be politically active to wake up others.
[00:23:37.145 --> 00:23:38.707]  You need to filter your water.
[00:23:39.187 --> 00:23:41.790]  But you also need to plant a garden.
[00:23:41.890 --> 00:23:43.532]  Even if you live in an apartment, you can do this.
[00:23:44.012 --> 00:23:47.055]  If you live in the countryside, obviously you can do it on a grand scale.
[00:23:47.856 --> 00:23:52.262]  There are so many green belts in areas that humans don't even visit.
[00:23:52.703 --> 00:24:02.616]  Nearby cities and in suburbs where people are now more and more planting their own little private gardens and meadows and off the side of the road.
[00:24:03.337 --> 00:24:19.359]  Ladies and gentlemen, it is a revolutionary act to unplug from the television, to unplug from the computer, and all the globalist propaganda, and to go out in your backyard, or your front yard, or planters at your apartment, or on the roof of the building where you live, and to plant a garden.
[00:24:20.305 --> 00:24:25.170]  Here are some of the amazing deals at InfoWarsSeedCenter at InfoWarsShop.com.
[00:24:25.691 --> 00:24:34.099]  The Survival Seed Vault by MyPatriotSupply features only the finest survival heirloom seeds for a robust and hardy garden, even in the toughest of times.
[00:24:34.580 --> 00:24:40.286]  The ARC All-in-One Seed Kit contains 70 varieties of 50,000 seeds of fruits, vegetables,
[00:24:40.546 --> 00:24:41.026]  We're good to go.
[00:24:41.046 --> 00:24:41.706]  We're good to go.
[00:24:41.726 --> 00:24:42.627]  We're good to go.
[00:24:42.647 --> 00:24:43.587]  We're good to go.
[00:24:43.607 --> 00:24:44.147]  We're good to go.
[00:24:44.587 --> 00:24:45.308]  We're good to go.
[00:24:45.348 --> 00:24:45.868]  We're good to go.
[00:24:45.888 --> 00:24:46.528]  We're good to go.
[00:24:46.548 --> 00:24:47.248]  We're good to go.
[00:24:47.268 --> 00:24:47.648]  We're good to go.
[00:24:47.668 --> 00:24:48.449]  We're good to go.
[00:24:48.469 --> 00:24:48.869]  We're good to go.
[00:24:49.109 --> 00:24:49.549]  We're good to go.
[00:24:49.569 --> 00:24:50.069]  We're good to go.
[00:24:50.109 --> 00:24:50.990]  We're good to go.
[00:24:51.010 --> 00:24:51.750]  We're good to go.
[00:24:51.770 --> 00:24:52.250]  We're good to go.
[00:24:52.290 --> 00:24:53.110]  We're good to go.
[00:24:53.150 --> 00:24:54.451]  We're good to go.
[00:24:54.551 --> 00:24:55.211]  We're good to go.
[00:24:55.231 --> 00:24:55.711]  We're good to go.
[00:24:55.731 --> 00:24:56.231]  We're good to go.
[00:24:56.832 --> 00:24:57.412]  We're good to go.
[00:24:57.452 --> 00:24:58.012]  We're good to go.
[00:24:58.052 --> 00:24:59.192]  We're good to go.
[00:24:59.212 --> 00:24:59.793]  We're good to go.
[00:24:59.813 --> 00:25:00.773]  We're good to go.
[00:25:01.453 --> 00:25:02.193]  We're good to go.
[00:25:02.233 --> 00:25:02.794]  We're good to go.
[00:25:02.854 --> 00:25:03.274]  We're good to go.
[00:25:03.314 --> 00:25:04.054]  We're good to go.
[00:25:04.074 --> 00:25:04.714]  We're good to go.
[00:25:05.014 --> 00:25:05.915]  We're good to go.
[00:25:05.935 --> 00:25:06.715]  We're good to go.
[00:25:06.735 --> 00:25:07.635]  We're good to go.
[00:25:07.655 --> 00:25:08.135]  We're good to go.
[00:25:08.155 --> 00:25:08.716]  We're good to go.
[00:25:08.756 --> 00:25:08.876]  We're
[00:25:10.006 --> 00:25:13.848]  Go to the InfoWars Seed Center at InfoWarshop.com.
[00:25:14.388 --> 00:25:19.330]  A little seed can grow a huge tree that produces fruit for up to 50 years.
[00:25:19.650 --> 00:25:21.471]  We have the best life bombs.
[00:25:21.531 --> 00:25:22.332]  That's what these are.
[00:25:22.952 --> 00:25:33.157]  We have the best weapons against death out there at the lowest prices waiting for you to lovingly plant them and lovingly grow them and lovingly eat them and share them with others.
[00:25:33.917 --> 00:25:39.707]  We will strike back against the New World Order and this is only one more initiative in our fight against them.
[00:25:39.908 --> 00:25:47.040]  So please join us at InfoWarsHop.com or you can link through at InfoWars.com at the InfoWars Seed Center.
[00:25:51.488 --> 00:25:54.029]  I'm Leanne McAdoo with the InfoWars Nightly News.
[00:25:54.549 --> 00:26:02.491]  The FDA and their loyal lobbying minions have no problem misleading the public when it comes to the health dangers of genetically modified foods.
[00:26:03.191 --> 00:26:12.874]  Now with the recent passing of the so-called Monsanto Protection Act, is there anything that we can do to stop the demise of our food supply at the hands of biotech companies?
[00:26:13.729 --> 00:26:22.032]  Today I'm going to be speaking with author and documentarian Jeffrey Smith, who is the Executive Director for the Institute for Responsible Technology.
[00:26:22.652 --> 00:26:28.294]  His latest documentary, Genetic Roulette, warns of the health dangers of genetically modified organisms.
[00:26:29.694 --> 00:26:31.975]  So thank you for being with us today, Jeffrey Smith.
[00:26:32.015 --> 00:26:32.515]  How are you?
