[00:00:19.485 --> 00:00:20.806]  It's Tuesday, November 5th.
[00:06:28.051 --> 00:06:34.039]  So again, getting people used to the idea of taking the disenfranchised away to the camps.
[00:06:34.079 --> 00:06:35.141]  It's already happening.
[00:06:36.502 --> 00:06:42.686]  Next up, Steve Watson reports, police force man to undergo numerous enemas, anal exams and x-rays.
[00:06:43.347 --> 00:06:49.631]  And this is one of those stories that's so horrific, that's so bizarre and ludicrous, you have to really thoroughly check that it's not fake.
[00:06:50.031 --> 00:06:52.273]  And unfortunately, it's not fake.
[00:06:52.813 --> 00:07:06.022]  Following an innocuous traffic stop, police in southern New Mexico put David Eckert through an ordeal consisting of cavity searches, enemas and even x-rays after he appeared to be clenching his buttocks while stepping out of his vehicle.
[00:07:07.022 --> 00:07:11.023]  And again, I can't communicate the true ludicrousness of this story.
[00:07:11.043 --> 00:07:13.344]  You have to go and read it in full for yourselves.
[00:07:13.944 --> 00:07:19.386]  But they basically subjected this guy, police ordered doctors to do so, and they did so with glee.
[00:07:20.326 --> 00:07:26.448]  Anal cavity searches, enemas, colonoscopies, because they suspected he was hiding drugs.
[00:07:27.028 --> 00:07:28.569]  No drugs were found, of course.
[00:07:29.089 --> 00:07:31.530]  The guy never gave his consent for any of this.
[00:07:32.170 --> 00:07:45.515]  He was complaining furiously as the doctors forcibly on the orders of police gave him eight, yes, eight anal probes and then the hospital had the victim for those same procedures.
[00:07:46.533 --> 00:07:48.814]  This is a quote from Eckert's lawyer.
[00:07:49.574 --> 00:07:52.315]  Quote, this is like something out of a science fiction film.
[00:07:52.895 --> 00:07:54.736]  And it's even worse than that, as I say.
[00:07:55.856 --> 00:08:00.577]  Anal probing by government officials and public employees, that's what his attorney said.
[00:08:01.158 --> 00:08:07.900]  Noting that the ordeal lasted over 14 hours with some of the procedures being carried out after the dubious warrant expired.
[00:08:08.240 --> 00:08:11.801]  They didn't have any kind of legal setup to get this justified.
[00:08:12.341 --> 00:08:16.596]  How can you authorise a warrant to search inside somebody's body?
[00:08:16.857 --> 00:08:18.081]  It's completely ridiculous.
[00:08:19.048 --> 00:08:23.850]  Yesterday, of course, we had the story of police tasering a man for trying to save his three-year-old son from a house fire.
[00:08:24.310 --> 00:08:28.352]  And again, we asked the question, what is wrong with police officers in America?
[00:08:29.072 --> 00:08:32.193]  Eight anal probes for the suspicion of hiding drugs.
[00:08:32.893 --> 00:08:36.935]  It's completely beyond even what would be written in a science fiction novel.
[00:08:37.235 --> 00:08:40.776]  You know, even Winston Smith wasn't subjected to anal probes.
[00:08:40.816 --> 00:08:41.757]  This is ridiculous.
[00:08:42.357 --> 00:08:43.798]  But again, read the whole article.
[00:08:44.058 --> 00:08:44.198]  It's...
[00:08:44.938 --> 00:08:50.665]  It's probably the most insane story of police brutality that I've ever seen, and I've seen a lot of them.
[00:08:51.586 --> 00:08:53.969]  That's it for the news, but stick around after the break.
[00:08:53.989 --> 00:08:57.774]  We've got more special reports coming up on InfoWars Nightly News.
[00:09:22.446 --> 00:09:29.209]  Alex Jones here to warn you about some of the most important health information you may ever hear.
[00:09:29.849 --> 00:09:37.492]  I'm talking about radiation, radioactive fallout, radioactive particles contaminating the Northern Hemisphere.
[00:09:38.452 --> 00:09:47.936]  Conservatively, since the 1940s, the Northern Hemisphere of our planet has more than doubled its background radiation.
[00:09:48.456 --> 00:09:51.017]  In fact, that was before Fukushima exploded.
[00:09:52.037 --> 00:09:53.918]  Now the levels are going up and up and up.
[00:09:54.038 --> 00:10:00.141]  Fish are contaminated in the Pacific, and the FDA, the EPA, and others, they're not worried about it.
[00:10:00.581 --> 00:10:04.523]  They've been raising the levels of what they claim is safe radioactive particles.
[00:10:05.224 --> 00:10:15.029]  So after more than two years of research into how to protect my family, looking at all the literature, talking to the experts, across the board they agreed iodine is key.
[00:10:16.223 --> 00:10:16.863]  Thanks for watching.
[00:10:33.530 --> 00:10:34.411]  It's not my opinion.
[00:10:34.911 --> 00:10:42.457]  It is admitted that iodine is essential for the health of our bodies overall and nascent iodine is the best form.
[00:10:42.917 --> 00:10:50.804]  Now, we're announcing the launch of Infowarslife.com and we're going to bring you scores of products over the next few years that we're researching and developing.
[00:10:51.204 --> 00:10:56.108]  But nascent iodine is the first product we're coming out with because it's so important
[00:10:56.528 --> 00:11:00.049]  And it's also listed as a fluoride detoxer.
[00:11:00.069 --> 00:11:01.850]  It does so many other things.
[00:11:02.250 --> 00:11:03.410]  Your body needs it.
[00:11:03.670 --> 00:11:10.112]  And when you don't have enough iodine, forget the radiation, your thyroid absorbs the sodium fluoride and other things.
[00:11:10.372 --> 00:11:17.694]  Nascent Iodine and InfoWars Life Survival Shield in double strength at half the cost of the leading competitors.
[00:11:18.114 --> 00:11:21.395]  Please visit InfoWarsLife.com today.
[00:11:26.295 --> 00:11:33.989]  Now, dissenting opinion is the biggest challenge facing the current administration, which has gone out of their way to suppress it.
[00:11:34.349 --> 00:11:36.714]  Here's Leanne McAdoo with a special report.
[00:11:40.575 --> 00:11:43.416]  Freedom of speech is a cardinal rule in a free society.
[00:11:43.616 --> 00:11:49.359]  So why has there been so much suppression of dissent from the administration who's promised to be the most transparent?
[00:11:49.819 --> 00:11:56.042]  MyCancellation.com is a new Tumblr giving a face to the millions whose insurance has been cancelled due to Obamacare.
[00:11:56.502 --> 00:12:04.345]  Twitter has repeatedly suspended the at my cancellation account since its inception November 1st saying it has been flagged for spam.
[00:12:04.826 --> 00:12:09.988]  A graphic artist was ordered by the NSA to cease and desist printing his parody t-shirts
[00:12:10.168 --> 00:12:13.229]  ...that were critical of the NSA's unconstitutional spying.
[00:12:13.509 --> 00:12:22.191]  Now Dan McCall is suing the spy agency for violating his First Amendment rights, saying he doesn't want his kids to grow up in a country where you can't humor your own government.
[00:12:22.912 --> 00:12:25.833]  One place humor is not appreciated is at the airport.
[00:12:26.553 --> 00:12:33.555]  You are also reminded that any inappropriate remarks or jokes concerning security may result in your arrest.
[00:12:34.095 --> 00:12:37.436]  We appreciate your cooperation while these measures are in effect.
[00:12:38.035 --> 00:12:41.336]  And it's not just civilians that are being threatened for criticizing Obama.
[00:12:41.696 --> 00:12:46.638]  Insurers are being pressured from the White House to keep quiet about the Affordable Care Act fiasco.
[00:12:46.658 --> 00:12:49.878]  The source is telling us they feared White House retribution.
[00:12:50.199 --> 00:12:58.161]  Across the spectrum, those who are critical of the current administration are being labeled as racist or anti-government domestic terrorists.
[00:12:58.621 --> 00:13:05.344]  Apparently the cops found anti-government material on the alleged LAX shooter that appeared to reference the New World Order.
[00:13:05.624 --> 00:13:19.731]  For people perhaps not familiar, New World Order is generally accepted to be a conspiracy theory where people believe that there are elites out there forming some sort of special authoritarian government.
[00:13:20.331 --> 00:13:23.193]  So, the New World Order is a conspiracy theory.
[00:13:23.593 --> 00:13:27.015]  Conspiracy theorists are evil and anti-government.
[00:13:27.035 --> 00:13:31.158]  Hmm, maybe that means we should start by purging these thought criminals.
[00:13:32.559 --> 00:13:38.422]  When we are successful, and we will be, we have a real chance at this New World Order.
[00:13:39.143 --> 00:13:47.888]  An order in which a credible United Nations can use its peacekeeping role to fulfill the promise and vision of the UN's founders.
[00:13:48.598 --> 00:13:52.100]  There's a phrase that I often use myself that we needed a new world order.
[00:13:52.201 --> 00:13:55.223]  It's about the future of Europe and a new world order.
[00:13:56.443 --> 00:13:58.245]  There's a need for a new world order.
[00:13:59.726 --> 00:14:01.467]  The affirmative task we have now...
[00:14:03.171 --> 00:14:08.475]  ...is to actually create a new world order.
[00:14:08.955 --> 00:14:10.536]  Global economic crisis.
[00:14:11.217 --> 00:14:15.520]  And the president outlined his vision of a new world order in which the U.S.
[00:14:15.560 --> 00:14:16.961]  would participate fully.
[00:14:17.582 --> 00:14:23.446]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:14:23.466 --> 00:14:25.368]  Is this global governance at last?
[00:14:25.468 --> 00:14:27.850]  Is it one world, the central bankers in charge?
[00:14:28.030 --> 00:14:30.592]  We are absolutely slaves to central banks.
[00:14:31.246 --> 00:14:32.287]  So there you go, folks.
[00:14:32.427 --> 00:14:34.529]  The power structure is shooting blanks.
[00:14:34.909 --> 00:14:40.193]  In order for their tyrannical government to succeed, good men must stand by in silence.
[00:14:40.693 --> 00:14:47.398]  That's why it's essential now more than ever for us to exercise our First Amendment right or lose it forever to tyrants.
[00:14:47.919 --> 00:14:50.561]  Reporting for the InfoWars Nightly News, I'm Leigh Ann McAdoo.
[00:14:53.004 --> 00:14:58.468]  Jackie Mason made headlines this past weekend with his vehement criticism of Obama.
[00:14:58.828 --> 00:15:01.070]  And he appeared on the Alex Jones Show today.
[00:15:01.130 --> 00:15:01.930]  Let's take a look.
[00:15:04.312 --> 00:15:05.333]  Jackie Mason joins us.
[00:15:05.373 --> 00:15:09.336]  He made headlines when he called Obama a lying maniac.
[00:15:09.476 --> 00:15:12.938]  And you know what, Mr. Mason, how dare you say that?
[00:15:13.639 --> 00:15:20.084]  How dare you say that Obama lied to us and said that nobody be kicked off of the, kicked off of their insurance.
[00:15:20.404 --> 00:15:21.805]  Obama says he never said that, sir.
[00:15:22.722 --> 00:15:28.910]  Well, what's happening is that this man claims to be the greatest liar of all time, but he's been doing it since he became president.
[00:15:29.370 --> 00:15:36.760]  Everybody chose not to notice it because everybody felt a moral obligation to prove to themselves that they're accepting him.
[00:15:38.021 --> 00:15:38.841]  We're good to go.
[00:15:53.568 --> 00:16:01.793]  Recognize him for what he is, a plain old mouth liar who has no conscience about saying whatever he pleases, no matter who he writes, no matter what kind of fraud is involved.
[00:16:02.093 --> 00:16:04.395]  Now everybody is watching him very carefully.
[00:16:04.435 --> 00:16:06.136]  Now everybody is really frightened.
[00:16:06.176 --> 00:16:11.739]  Now they saw it right to their face, how they could be wiped out, literally destroyed by him.
[00:16:12.139 --> 00:16:13.440]  So now they're ready for him.
[00:16:13.480 --> 00:16:20.024]  And now as soon as he makes a crooked move, the whole country, even some of the zealots on his side, are beginning to crack.
[00:16:20.484 --> 00:16:22.125]  And for the first time beginning to notice
[00:16:25.723 --> 00:16:32.273]  Stick around after the break when Jakari Jackson talks to Bonnie Hunter about women and firearms.
[00:16:32.353 --> 00:16:32.994]  Stay tuned!
[00:16:58.459 --> 00:16:59.339]  We're on the march.
[00:16:59.819 --> 00:17:01.440]  The Empire's on the run.
[00:17:01.900 --> 00:17:04.941]  And the InfoWars Army is standing strong.
[00:17:05.281 --> 00:17:11.363]  Wake up your family, friends, and neighbors and break the matrix at InfoWarsStore.com.
[00:17:11.763 --> 00:17:19.725]  Learn the truth and spread the message of liberty with the world's most comprehensive collection of books and documentary films.
[00:17:20.485 --> 00:17:25.707]  Maintain a healthy metabolism and energize your body to perform at peak health.
[00:17:26.047 --> 00:17:28.649]  With Survival Shield Nascent Iodine.
[00:17:29.090 --> 00:17:34.774]  Protect your family and be prepared with survival foods and emergency preparedness kits.
[00:17:35.435 --> 00:17:46.704]  And now you can drink safe water with your own ProPure water filtration system, which removes fluoride and other harmful chemicals from your family's water supply.
[00:17:47.164 --> 00:17:49.966]  Save 10% with the promo code WATER.
[00:17:50.327 --> 00:17:51.888]  So join the revolution.
[00:17:52.348 --> 00:17:53.569]  Infowarsstore.com
[00:17:57.495 --> 00:17:59.156]  Introducing Pro-1.
[00:17:59.396 --> 00:18:02.919]  All of your filtration in one system, portable, on-the-go.
[00:18:03.039 --> 00:18:07.442]  No more do you have two or three filters to just reduce sodium fluoride.
[00:18:07.582 --> 00:18:13.566]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:18:13.686 --> 00:18:24.553]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals, all in one filter element.
[00:18:24.693 --> 00:18:27.315]  It is the only one that does it and out of the gate.
[00:18:27.535 --> 00:18:30.978]  Yes, we have it discounted at 10% off with promo code WATER.
[00:18:31.178 --> 00:18:48.151]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:18:48.491 --> 00:18:53.815]  Get your Pro-Pure with the new Pro-1 filter today at Infowarsstore.com or by calling 888-253-3139.
[00:19:00.888 --> 00:19:01.568]  And welcome back.
[00:19:01.989 --> 00:19:03.369]  Our guest tonight is Bunny Hunter.
[00:19:03.449 --> 00:19:06.691]  She's a Second Amendment advocate and also a YouTube personality.
[00:19:06.911 --> 00:19:09.573]  She joins us tonight to talk about women using firearms.
[00:19:09.913 --> 00:19:10.853]  Thanks for joining us, Bunny.
[00:19:11.774 --> 00:19:12.654]  Thanks for having me.
[00:19:13.255 --> 00:19:18.658]  Okay, so tell us what made you want to start your own YouTube channel and also what got you interested in guns in the first place.
[00:19:19.798 --> 00:19:26.382]  Well, I grew up in a military family, so guns were always around and a big part of our lives.
[00:19:27.393 --> 00:19:39.651]  Um, but in regards to the YouTube channel, I guess just noticing everybody's priorities are a little out of whack these days, and was interested in making guns cool again.
[00:19:41.158 --> 00:19:42.660]  Yeah, there's a lot of talk about that.
[00:19:42.700 --> 00:19:45.763]  You know, not just making guns cool, but also socially acceptable.
[00:19:46.143 --> 00:19:56.915]  Because we see a lot of groups here, even in the state of Texas, we have anti-gunners, various people who don't want you to have Second Amendment rights and say they don't want to take your guns, but they don't want you to have things such as assault rifles.
[00:19:57.255 --> 00:19:57.976]  Let me ask you that.
[00:19:58.096 --> 00:20:03.122]  As a woman, what's your perspective on things such as the so-called military-style rifles?
[00:20:04.400 --> 00:20:10.042]  Well, I think the problem is definitely with the type of people that are in this world.
[00:20:10.222 --> 00:20:11.963]  It's not anything to do with guns.
[00:20:12.683 --> 00:20:19.766]  No normal person would go out and do the heinous things that are happening that we see on the news with the so-called assault rifles.
[00:20:20.406 --> 00:20:22.467]  That takes a mentally ill person.
[00:20:22.627 --> 00:20:26.349]  So, that has nothing to do with owning or ownership of guns.
[00:20:27.873 --> 00:20:28.393]  Right, right.
[00:20:28.413 --> 00:20:31.115]  So what would you say to any of the naysayers, especially the women?
[00:20:31.835 --> 00:20:35.777]  As far as self-defense reasons, do you rely on a firearm for your self-defense?
[00:20:36.437 --> 00:20:37.037]  Absolutely.
[00:20:37.057 --> 00:20:39.078]  So what would you say to those?
[00:20:39.599 --> 00:20:41.199]  Those who may say that you don't need a gun.
[00:20:42.080 --> 00:20:46.462]  Let's say, if I can ask you, what type of gun do you carry for self-defense if you are a carrier?
[00:20:47.062 --> 00:20:47.863]  Yes, I am.
[00:20:48.243 --> 00:20:51.144]  I have a .45 subcompact Colt Knight Defender.
[00:20:51.484 --> 00:20:52.445]  How many rounds does that hold?
[00:20:53.877 --> 00:20:54.617]  Eight plus one.
[00:20:54.937 --> 00:20:55.637]  Eight plus one.
[00:20:55.697 --> 00:20:58.858]  So, let's say in the state of New York they don't want you to have that.
[00:20:59.278 --> 00:21:02.539]  So what would you say to people who say you don't need eight rounds in your pistol plus one?
[00:21:03.499 --> 00:21:05.579]  Well, it's just not the case.
[00:21:05.599 --> 00:21:13.521]  I mean, the law-abiding citizens are the ones that need to be armed because always criminals are going to have guns regardless of what the laws are.
[00:21:14.101 --> 00:21:18.622]  So, I guess my motto is better to have it and not need it than need it and not have it.
[00:21:19.358 --> 00:21:24.781]  Exactly, and that type of age-old wisdom seems to be lost these days, but I won't spend all the time on that.
[00:21:24.821 --> 00:21:30.365]  You also have other things on your YouTube channel that you want to raise awareness of, things such as sports shooting.
[00:21:31.526 --> 00:21:34.407]  Yeah, just in general, anything outdoors.
[00:21:34.587 --> 00:21:39.290]  It just seems to be a lost pastime, and that's really sad.
[00:21:40.731 --> 00:21:43.173]  Yeah, so what type of activities do you like to participate in?
[00:21:44.284 --> 00:21:45.865]  Oh, everything outdoors.
[00:21:46.165 --> 00:21:54.630]  Hunting, camping, fishing, bushcraft, just campfire cooking is a big deal for me because I have a huge family.
[00:21:55.110 --> 00:21:59.572]  So I was always the one cooking for the various brothers and everybody.
[00:21:59.592 --> 00:22:05.215]  Yeah, so I've seen some of your YouTube videos and I think in one of the episodes I saw you were actually hog hunting.
[00:22:06.216 --> 00:22:06.376]  Yep.
[00:22:08.188 --> 00:22:17.152]  So people see you and they'll say, you know, here's a lady who doesn't look traditional, because you think about the girls in the camo and all this other stuff.
[00:22:17.172 --> 00:22:21.854]  But you seem like a very well-dressed, a well-put-together young lady, if you don't mind me saying.
[00:22:22.374 --> 00:22:23.895]  And this isn't the typical view.
[00:22:23.935 --> 00:22:30.738]  So what would you want to say to people who think that it's a very stereotypical, it's kind of the backwoods, country girls who are only into this?
[00:22:31.673 --> 00:22:37.856]  Right, well that is definitely the stereotype and of course that was another reason for me wanting to get out there.
[00:22:37.936 --> 00:22:46.761]  People are always surprised when they see me, you know, they go with the Barbie doll thing and they have no idea the type of interest that I have.
[00:22:46.881 --> 00:22:53.765]  So, it's okay to still look pretty and, you know, shower and all that good stuff and get out there and roll around in the mud.
[00:22:54.127 --> 00:22:57.509]  Yeah, yeah, just make sure you shower off after you get out the mud.
[00:22:57.549 --> 00:22:58.169]  Right, right.
[00:22:58.330 --> 00:22:59.190]  That's great.
[00:22:59.510 --> 00:23:02.352]  Okay, Bunny, so why don't you tell us your favorite type of firearm?
[00:23:03.673 --> 00:23:05.954]  Well, it would definitely be my AR-15.
[00:23:06.074 --> 00:23:08.736]  It's just, there's so many purposes.
[00:23:08.756 --> 00:23:10.197]  You can use it hunting.
[00:23:11.778 --> 00:23:14.519]  It's kind of an extension of my body.
[00:23:14.579 --> 00:23:18.662]  I feel definitely more comfortable with rifles than I do with handguns.
[00:23:19.608 --> 00:23:27.491]  And we hear a lot of talk about the AR-15, you know, it's the gun that's often demonized along with the AK-47, and we have these mass shootings and so forth.
[00:23:27.851 --> 00:23:30.853]  So you, tell us Bunny, why you love this gun so much.
[00:23:32.273 --> 00:23:41.917]  Well, it's so versatile and it has, you know, there's no recoil, barely at all, and it's just, it's a fine weapon system.
[00:23:43.198 --> 00:23:46.539]  So we hear Joe Biden saying, you know, if you want a gun, go buy a shotgun.
[00:23:47.039 --> 00:23:49.020]  How well do you carry a shotgun?
[00:23:49.991 --> 00:23:55.216]  Well, shotguns, the thing is, with women especially, I mean, they have a very powerful recoil.
[00:23:55.276 --> 00:23:56.077]  It's painful.
[00:23:56.477 --> 00:23:58.279]  You're going to leave a bruise on your shoulder.
[00:23:58.319 --> 00:24:05.746]  Can I ask you, Bonnie, have you seen that montage, somebody made a montage on YouTube of women shooting shotguns and they didn't seem to fare too well with the recoil.
[00:24:06.927 --> 00:24:10.611]  I haven't seen that, but I've seen things in regards to that.
[00:24:11.152 --> 00:24:14.335]  Women shooting guns and they just kind of, it blows them backwards.
[00:24:15.894 --> 00:24:16.314]  Exactly.
[00:24:16.775 --> 00:24:29.462]  Bunny, recently here in the state of Texas down at the Alamo a few weeks ago, I, myself, Alex and several others went down there and we had the first ever rally at the Alamo and lo and behold we're out there promoting firearms use.
[00:24:29.482 --> 00:24:32.524]  Do you think that's something good and something we need to see more of in other states?
[00:24:33.399 --> 00:24:34.120]  Oh, of course.
[00:24:34.240 --> 00:24:50.138]  I mean, there's way too many of the liberal-type attitude where guns are bad and they're scary, so it definitely needs to be pushed on people that, with knowledge in firearm safety, they're not something to be afraid of or feared.
[00:24:50.799 --> 00:24:51.059]  Right.
[00:24:51.580 --> 00:24:51.780]  Right.
[00:24:51.820 --> 00:24:53.182]  And how should we go about that, Bunny?
[00:24:54.656 --> 00:25:08.764]  Well, I saw actually on YouTube a young girl, I think she was 18, she was in a competition shooting club, and she went on and addressed the court and told them what guns mean to her.
[00:25:09.385 --> 00:25:16.208]  And, you know, it's just a nice perspective, especially from a woman, and it doesn't hurt to be a good-looking woman and to be saying these things.
[00:25:16.248 --> 00:25:23.753]  So I feel that we need to get more girls on this act, you know, just to get that whole thing going with women speaking out about it.
[00:25:24.394 --> 00:25:24.634]  Great.
[00:25:25.155 --> 00:25:27.458]  So what's coming up next for you and your YouTube channel?
[00:25:28.659 --> 00:25:33.284]  Well, I'm doing a lot of hunting stuff coming up because it is hunting season.
[00:25:33.304 --> 00:25:33.685]  Yay!
[00:25:33.745 --> 00:25:34.566]  I'm so excited!
[00:25:34.586 --> 00:25:37.449]  That's my favorite part of the year.
[00:25:37.469 --> 00:25:38.210]  Great.
[00:25:38.590 --> 00:25:40.573]  And what do you guys hunt down there?
[00:25:41.963 --> 00:25:49.811]  Oh man, there's Osceola turkey, deer, we have whitetail deer, we have rabbit, there's tons of hogs.
[00:25:49.831 --> 00:25:51.172]  The hogs are actually a nuisance.
[00:25:51.212 --> 00:25:53.114]  I'm sure you're familiar with that over in Texas.
[00:25:53.154 --> 00:25:54.976]  Yes, actually they have the bounty.
[00:25:54.996 --> 00:25:56.778]  I think they just raised the bounty on a hog.
[00:25:56.958 --> 00:26:01.402]  I think it was about $50 a hog now because we have such a problem with them.
[00:26:01.642 --> 00:26:05.186]  People actually hunt hogs from helicopters because they'll run you over down there.
[00:26:06.198 --> 00:26:12.943]  Yeah, I actually got an invite to go out and do that helicopter hog hunting, so that could be something we could look for in the future there with Bunny Hunter.
[00:26:13.403 --> 00:26:14.984]  Yes, if you do that, send us a link.
[00:26:15.004 --> 00:26:16.345]  We'd definitely like to check that out.
[00:26:16.425 --> 00:26:20.508]  And Bunny, you also have another site that's under construction currently?
[00:26:21.448 --> 00:26:28.233]  Yes, I'm setting up bunnyhunterusa.com and I plan on teaming up with a few
[00:26:29.412 --> 00:26:29.692]  Yes, sir!
[00:26:45.458 --> 00:26:57.862]  So, you know, you hear these crazy prepper types, you know, they try to demonize you if you have a survival bag or a life straw, you know, other various elements just for your own personal protection if the grid goes down.
[00:26:57.903 --> 00:27:04.845]  Not if, but when, because you can have, just recently here in the city of Austin, we had floods come through and many people were unprepared.
