[00:00:06.659 --> 00:00:07.920]  They fled from tyranny.
[00:02:53.146 --> 00:02:54.367]  Top story headline.
[00:02:54.887 --> 00:02:58.109]  Feinstein's doomed gun bill squeaks by Senate committee.
[00:02:58.689 --> 00:03:05.034]  The draconian bill designating an entire classification of firearms illegal squeaked by on a 10-8 vote.
[00:03:05.694 --> 00:03:14.280]  If enacted, the law proposes to ban so-called high-capacity magazines and also semi-automatic weapons that the government deems to be illegal.
[00:03:14.620 --> 00:03:17.362]  And for more on that, we do have a special report from David Knight.
[00:03:25.658 --> 00:03:27.258]  One, I'm not a sixth grader.
[00:03:27.998 --> 00:03:30.419]  Senator, I've been on this committee for 20 years.
[00:03:30.659 --> 00:03:34.600]  There was a rare discussion on the Constitution and individual rights today in the Senate.
[00:03:34.960 --> 00:03:38.620]  Senator Cruz brought it up with Senator Feinstein, and she was not amused.
[00:03:38.920 --> 00:03:47.582]  There's some 100 pages of the bill that specify particular firearms that if this bill were passed, Congress would have deemed prohibited.
[00:03:47.602 --> 00:03:52.903]  The Second Amendment in the Bill of Rights provides that the right of the people to keep and bear arms shall not be infringed.
[00:03:53.832 --> 00:04:00.156]  The term, the right of the people, when the framers included it in the Bill of Rights, they used it as a term of art.
[00:04:00.196 --> 00:04:07.401]  That same phrase, the right of the people, is found in the First Amendment, the right of the people to peaceably assemble and to petition their government for redress of grievances.
[00:04:07.481 --> 00:04:12.664]  It's also found in the Fourth Amendment, the right of the people to be free from unreasonable searches and seizures.
[00:04:13.725 --> 00:04:20.209]  And the question that I would pose to the Senior Senator from California is, would she deem it consistent with the Bill of Rights?
[00:04:21.522 --> 00:04:43.951]  For Congress to engage in the same endeavor that we are contemplating doing with the Second Amendment in the context of the First or Fourth Amendment, namely, would she consider it constitutional for Congress to specify that the First Amendment shall apply only to the following books and shall not apply to the books that Congress has deemed outside the protection of the Bill of Rights?
[00:04:44.031 --> 00:04:48.853]  Likewise, would she think that the Fourth Amendment's protection against searches and seizures
[00:04:49.804 --> 00:04:50.746]  One, I'm not a sixth grader.
[00:05:01.926 --> 00:05:04.327]  Senator, I've been on this committee for 20 years.
[00:05:04.847 --> 00:05:06.427]  I was a mayor for nine years.
[00:05:06.927 --> 00:05:08.808]  I walked in, I saw people shot.
[00:05:09.088 --> 00:05:12.108]  I've looked at bodies that have been shot with these weapons.
[00:05:12.548 --> 00:05:14.609]  I've seen the bullets that implode.
[00:05:15.209 --> 00:05:17.970]  In Sandy Hook, youngsters were dismembered.
[00:05:18.190 --> 00:05:20.590]  Feinstein waves the bloody shirt of Sandy Hook.
[00:05:20.870 --> 00:05:23.651]  She lectures the new senator on how long she's been around.
[00:05:24.231 --> 00:05:26.752]  It's fine you want to lecture me on the Constitution.
[00:05:27.052 --> 00:05:27.872]  I appreciate it.
[00:05:28.072 --> 00:05:30.293]  Just know I've been here for a long time.
[00:05:30.773 --> 00:05:32.574]  I've passed on a number of bills.
[00:05:32.934 --> 00:05:35.015]  I studied the Constitution myself.
[00:05:35.335 --> 00:05:37.276]  I am reasonably well educated.
[00:05:37.296 --> 00:05:39.156]  And I thank you for the lecture.
[00:05:39.476 --> 00:05:46.239]  Incidentally, this does not prohibit, you use the word prohibit, it exempts 2,271 weapons.
[00:05:50.217 --> 00:05:53.260]  Isn't that enough for the people in the United States?
[00:05:53.280 --> 00:05:57.064]  Do you see how she changed a fundamental right to a government-granted privilege?
[00:05:58.143 --> 00:06:01.064]  You have a God-given right to own any weapon.
[00:06:01.484 --> 00:06:04.585]  That right is recognized by the supreme law of the land.
[00:06:04.765 --> 00:06:08.986]  But Feinstein graciously allows you to have only weapons she lists.
[00:06:09.327 --> 00:06:15.809]  The analogy that Cruz had but didn't press would be that all books would be prohibited unless expressly permitted.
[00:06:16.169 --> 00:06:22.171]  Feinstein would provide a list of government-approved books, and you should be grateful to her for her generosity.
[00:06:22.511 --> 00:06:26.512]  I would note that she chose not to answer the question that I asked, which is,
[00:06:27.973 --> 00:06:36.159]  In her judgment, would it be consistent with the Constitution for Congress to specify which books are permitted and which books are not, and to use the specific number?
[00:06:36.179 --> 00:06:37.160]  The answer is obvious.
[00:06:38.451 --> 00:06:38.671]  No.
[00:06:38.971 --> 00:06:40.993]  So, Feinstein says she wouldn't censor books.
[00:06:41.513 --> 00:06:42.134]  Only guns.
[00:06:42.614 --> 00:06:45.156]  There are congresses in the business of making law.
[00:06:45.576 --> 00:06:47.757]  The Supreme Court interprets the law.
[00:06:48.098 --> 00:06:56.883]  A senator knows, having attended law school and professes to have some experience in the Constitution, none of these rights are absolute.
[00:06:57.003 --> 00:06:57.484]  There you go.
[00:06:58.365 --> 00:07:07.996]  The God-given rights of we the people, we who created the government and delegated carefully prescribed powers to it, we no longer have absolute rights.
[00:07:08.756 --> 00:07:13.602]  Congress and politically appointed judges will tell us what we're allowed to own.
[00:07:21.744 --> 00:07:22.544]  Great report, Dave.
[00:07:22.564 --> 00:07:25.525]  And I would like to comment on what Mrs. Feinstein said, just one thing.
[00:07:25.946 --> 00:07:34.449]  She stated that she is not a sixth grader, and I would agree with that because I would say that any sixth grader can read, shall not be infringed and be able to adequately interpret it.
[00:07:34.809 --> 00:07:38.410]  So I would guesstimate that she may, in fact, be a fifth grader.
[00:07:39.131 --> 00:07:44.252]  Man faces five years in prison for releasing balloons on a beach as a romantic gesture.
[00:07:44.893 --> 00:07:50.075]  The 40-year-old Brasfield was with his girlfriend, Shaquena Baxter, in the parking lot of Motel 6.
[00:07:51.255 --> 00:07:54.516]  When he released 12 shiny red and silver Mylar balloons.
[00:07:55.137 --> 00:08:04.100]  The trooper arrested Brasfield and charged him with polluting to harm humans, animals, plants, and everything else living under the Florida Air and Water Pollution Control Act.
[00:08:04.680 --> 00:08:07.541]  What is amazing, however, is the severity of the crime.
[00:08:07.902 --> 00:08:12.103]  It is a third-degree felony that is punishable by up to five years in prison.
[00:08:12.583 --> 00:08:18.946]  So no slap on the wrist, no fine, not even something as extreme as community service for this particular circumstance.
[00:08:19.506 --> 00:08:20.987]  Up to five years in prison.
[00:08:21.027 --> 00:08:31.974]  This is why you need to think about not allowing convicted felons to bear arms because there are some definitely some violent felons, but if you get charged a felony for releasing balloons, that is completely ridiculous.
[00:08:32.334 --> 00:08:39.919]  I would encourage our viewers to contact Dana or Dania Beach, Florida and let them know that you do not support this kind of legislation.
[00:08:40.639 --> 00:08:45.744]  Biden Press Office apologizes for demanding student journalists delete photographs.
[00:08:46.284 --> 00:08:59.577]  College Park Patch reports that a credentialed student from the Philip Merrill College of Journalism at the University of Maryland, Jeremy Barr, was snapping photos at the Rockville event when a Biden staffer interrogated the student.
[00:09:00.277 --> 00:09:02.219]  Did you take any photos during the event?
[00:09:02.739 --> 00:09:08.225]  Barr said he was asked by a Biden staffer, Dana Roswig, I need to see your camera right now.
[00:09:08.285 --> 00:09:09.866]  That's probably an accurate interpretation.
[00:09:10.246 --> 00:09:18.694]  She reportedly said after Barr confirmed that he had taken photographs of the event that also featured Attorney General Eric Holder and Maryland Senator Ben Cardin.
[00:09:19.015 --> 00:09:24.700]  Now I'm not so sure about Mr. Cardin, but Mr. Eric Holder and also Joe Biden have promoted various
[00:09:26.141 --> 00:09:30.165]  Just downright illegal activity with firearms as well as many other things.
[00:09:31.146 --> 00:09:40.095]  And somebody's First Amendment right, his right to the free press, and also his right to reasonable search and seizure were violated on that day.
[00:09:40.175 --> 00:09:44.680]  Mr. Jeremy Barr, they were searching this guy's camera because he took pictures.
[00:09:44.740 --> 00:09:47.422]  I don't see how that's probable cause for anything.
[00:09:48.323 --> 00:09:51.465]  Over 20 tons of heroin seized in Afghanistan.
[00:09:51.505 --> 00:09:53.686]  Wow, that's a whole lot of heroin.
[00:09:54.146 --> 00:10:04.072]  An operation was carried out yesterday in the province of Nanagar, during which several drug production labs were destroyed and almost 21 tons of heroin seized.
[00:10:04.485 --> 00:10:06.287]  The government ships in almost all the heroin.
[00:10:06.407 --> 00:10:11.331]  It's more than up 12 times what it was eight and a half years ago when we invaded Afghanistan.
[00:10:11.732 --> 00:10:16.236]  Record numbers, over 90% of global opium is coming out of Afghanistan.
[00:10:16.476 --> 00:10:20.520]  And they have Geraldo Rivera there with the Marine Corps commander going, I don't like it.
[00:10:20.920 --> 00:10:23.301]  The Taliban lend the farmers the money.
[00:10:23.682 --> 00:10:25.503]  They are indebted to the Taliban.
[00:10:25.743 --> 00:10:27.084]  They have to grow the opium.
[00:10:27.324 --> 00:10:31.466]  Now the Marines, in their success, are, in a sense, a victim of their success.
[00:10:31.706 --> 00:10:34.167]  You're watching as this opium is being grown.
[00:10:34.207 --> 00:10:36.048]  I know it grinds at your gut.
[00:10:36.709 --> 00:10:37.649]  How do you deal with it?
[00:10:37.789 --> 00:10:38.710]  What are you doing about it?
[00:10:38.930 --> 00:10:40.871]  Well, frankly, this is part of their culture.
[00:10:41.211 --> 00:10:44.193]  So, while it might grind in my gut, it's what they do.
[00:10:45.367 --> 00:10:55.243]  So the Marines protect the opium, the same opium you will be arrested for if you're caught with, whether here or Russia or any place else, but yet we grow the opium and...
[00:10:55.993 --> 00:11:04.756]  You know, nobody seems to want to get to the root of the problem that we're protecting the opium in Afghanistan, but that's the new America.
[00:11:05.316 --> 00:11:08.878]  Illinois governor wants to appeal concealed carry ruling.
[00:11:09.618 --> 00:11:11.799]  A three-judge panel of the 7th U.S.
[00:11:11.839 --> 00:11:20.842]  Circuit Court of Appeals struck down the Illinois ban last year and gave lawmakers until early June to legalize the concealed carry of firearms.
[00:11:21.542 --> 00:11:29.365]  Governor Quinn, a Chicago Democrat who favors strict gun control, including an assault weapon ban, said violence has been an epidemic.
[00:11:30.045 --> 00:11:41.870]  Illinois Attorney General Lisa Madigan said Wednesday that she disagreed with Quinn even though she thinks that the Illinois law, which prohibits the concealed carry of weapons in public, is constitutional.
[00:11:42.210 --> 00:11:43.911]  So I'm not sure how you can say that.
[00:11:44.771 --> 00:11:48.836]  You're doing something constitutional when you're violating the Constitution blatantly.
[00:11:49.196 --> 00:11:53.762]  Right to bear arms shall not be infringed when you're saying you cannot carry your firearm in public.
[00:11:53.842 --> 00:11:55.544]  That makes no sense at all to me.
[00:11:55.864 --> 00:11:57.747]  That brings us to our last story of the night.
[00:11:58.387 --> 00:12:02.172]  Florida residents report mysterious black military aircraft.
[00:12:03.141 --> 00:12:14.193]  Ocala.com reported on Tuesday a number of people in and around Gainesville, Florida, seeing not only black military aircraft, but mysterious military-style aircraft.
[00:12:14.714 --> 00:12:22.522]  We ran out and looked up in the sky, and right over our heads, very low, the sky was filled with black aircraft, which were flying without lights.
[00:12:23.343 --> 00:12:31.605]  Linda Aguilar, Gainesville Airport spokeswoman, said the aircraft are part of an operation being conducted by the Department of Defense.
[00:12:31.985 --> 00:12:34.006]  So this is a very common thing that we see.
[00:12:34.506 --> 00:12:39.727]  First they'll admit like, yeah, it was real, it happened, and then just watch a couple weeks from now like, no, that never happened.
[00:12:40.007 --> 00:12:41.287]  That spokeswoman never said that.
[00:12:41.307 --> 00:12:45.708]  You're crazy because she admits that there are black helicopters even though she didn't want to say what they were.
[00:12:45.748 --> 00:12:48.369]  Maybe she didn't know what they were or what they were training for, but
[00:12:49.089 --> 00:12:52.770]  You see it right here, so a couple weeks when they try to black it out, you heard it here first.
[00:12:53.190 --> 00:12:57.371]  And that brings us to the end of our news segment, and we go now to our quote of the day.
[00:12:57.431 --> 00:12:59.471]  This from one Mr. David Rockefeller.
[00:13:00.032 --> 00:13:06.253]  Everything is in place, after 500 years, to build a true new world in the Western Hemisphere.
[00:13:06.853 --> 00:13:09.394]  And what happens if we don't pass NAFTA?
[00:13:09.834 --> 00:13:14.415]  I truly don't think criminal would be too strong a word for rejecting NAFTA.
[00:13:15.055 --> 00:13:16.416]  All right, stay tuned after this break.
[00:13:16.456 --> 00:13:18.597]  We have a double Alex Jones interview.
[00:13:18.637 --> 00:13:22.919]  The first one up will be Mr. Ted Anderson as he discusses our crashing economy.
[00:13:23.219 --> 00:13:28.822]  And after that, stay tuned for an interview with Mr. Tex Morris as he promotes his new book, Robot Alchemy.
[00:13:28.922 --> 00:13:29.422]  Stay tuned.
[00:13:33.444 --> 00:13:38.586]  Hi, this is Mike Adams, the Health Ranger, with some news about some new additions to the InfoWars store.
[00:13:39.126 --> 00:13:40.907]  You know good health is freedom.
[00:13:41.167 --> 00:13:43.608]  When you're healthy, you're not a slave to the medical system.
[00:13:44.088 --> 00:13:47.589]  Everything works well, your brain, your body, even your spirit.
[00:13:47.889 --> 00:13:48.790]  You're a healthier person.
[00:13:49.010 --> 00:13:58.293]  And to help support that great health, Alex has asked me to source the cleanest, most potent superfoods and other similar products in the world and bring them to the InfoWars store.
[00:13:58.613 --> 00:14:03.458]  Infowarsstore.com and we're starting out right now with these three products.
[00:14:03.738 --> 00:14:12.586]  We've got Himalayan salt from Pakistan formed hundreds of thousands of years ago in an ancient seabed long before modern pollution destroyed much of the oceans.
[00:14:12.907 --> 00:14:18.392]  This is loaded with trace minerals and it's pristine, true, full-spectrum sea salt.
[00:14:18.852 --> 00:14:21.153]  We've also got Natural Attitude Turmeric.
[00:14:21.493 --> 00:14:25.555]  It's an extract of turmeric, very potent, tastes great, alcohol-free.
[00:14:26.076 --> 00:14:28.917]  This is from organic turmeric out of India.
[00:14:29.317 --> 00:14:31.118]  And we've also got Clean Chlorella.
[00:14:31.598 --> 00:14:41.043]  We sourced and did research on all the chlorella sources around the world and we found the two cleanest sources that have the lowest levels of any kind of contaminants.
[00:14:41.343 --> 00:14:45.085]  In fact, this one is virtually free of all metals and all contaminants.
[00:14:45.405 --> 00:14:46.466]  It's called Clean Chlorella
[00:14:47.046 --> 00:14:52.249]  And it's about two-thirds protein and it's got chlorophyll and chlorella growth factor in it.
[00:14:52.729 --> 00:14:53.649]  Check it out online.
[00:14:53.889 --> 00:14:59.292]  It's an amazing superfood that athletes are using and people are using to help support healthy lifestyles.
[00:14:59.352 --> 00:15:00.032]  It's fantastic.
[00:15:00.072 --> 00:15:02.734]  So check them all out at InfoWarsStore.com.
[00:15:02.974 --> 00:15:06.996]  Look for the Health Ranger Select brand and look for more products to be added soon.
[00:15:08.055 --> 00:15:12.718]  This is all packaged in our certified organic facility here in Central Texas.
[00:15:13.158 --> 00:15:21.804]  There we follow USDA certified standards and we're audited every year by the USDA certifier to make sure that we comply with all organic standards.
[00:15:22.345 --> 00:15:35.634]  That combined with the fact that we only source super clean superfoods and raw materials from around the world means that our products represent the cleanest and most potent products that you'll find across the natural products industry.
[00:15:36.434 --> 00:15:43.506]  Check all of these out under the Health Ranger Select brand name at the Info Wars Store, InfoWarsStore.com.
[00:15:43.926 --> 00:15:45.709]  And we'll be bringing you more of these in the near future.
[00:15:45.889 --> 00:15:46.610]  Thanks and take care.
[00:15:50.956 --> 00:15:53.899]  Jakari Jackson here, and I want to talk to you for a second about water.
[00:15:54.540 --> 00:16:01.948]  You know about ProPure, our flagship water purification system, but check out some of our portable water filter products at InfowarsStore.com.
[00:16:02.528 --> 00:16:04.210]  The Clearly Filtered Water Pitcher.
[00:16:04.971 --> 00:16:09.055]  Also, for those of you on the go, we have the Athlete Edition Filtered Water Bottle.
[00:16:09.876 --> 00:16:11.037]  And, the R.A.D.
[00:16:11.137 --> 00:16:14.380]  Eliminator Pro-Filtered Sports Bottle that removes radiation.
[00:16:14.861 --> 00:16:17.803]  And keep in mind, we have replacement filters for all of these products.
[00:16:18.424 --> 00:16:21.447]  The ever-popular grab-and-go bag favorite, the LifeStraw.
[00:16:22.047 --> 00:16:24.109]  The Crystal Quest Shower Filter System.
[00:16:25.290 --> 00:16:28.153]  And the Aquapod Kit, great for mass storage of water.
[00:16:29.693 --> 00:16:34.580]  And while you're at the InfoWars shop, pick up a copy of our latest book, 31 Days to Survival.
[00:16:35.181 --> 00:16:40.830]  You can find all this and more at the InfoWarsStore.com, and don't forget, it's your support that funds our operation.
[00:16:40.850 --> 00:16:45.397]  Sign up for our free newsletter at InfoWars.com forward slash newsletter.
[00:16:53.857 --> 00:16:59.543]  And welcome back to this Thursday, March 14, 2013 edition of InfoWars Notly News.
[00:16:59.623 --> 00:17:01.204]  I'm now sitting here in the broadcast chair.
[00:17:01.224 --> 00:17:03.606]  I want to tell Ja'Kari Jackson I did the news portion.
[00:17:03.627 --> 00:17:05.729]  They did an excellent job, as well as the rest of the crew.
[00:17:06.249 --> 00:17:08.771]  And this transmission would not be possible without...
[00:17:09.412 --> 00:17:23.802]  YouTube viewers and PrisonPlanet.TV viewers that support InfoWars.com, that are PrisonPlanet.TV subscribers, and who shop at InfoWarsStore.com and who support our sponsors on InfoWars.com and PrisonPlanet.com.
[00:17:24.083 --> 00:17:34.990]  The revolution against tyranny and against dehumanization will be televised, at least until they hit the internet kill switch, and then they still can't stop the signal because of you, so we salute you.
[00:17:35.050 --> 00:17:35.171]  Now,
[00:17:35.951 --> 00:17:39.513]  Occasionally, maybe every month or so, we end up having a sponsor in studio.
[00:17:40.093 --> 00:17:43.355]  So those are some of the most popular interviews, like Steve Shank of eFoodsDirect.com.
[00:17:43.995 --> 00:17:46.996]  But Ted Anderson is down here in Austin, Texas, visiting with me.
[00:17:47.437 --> 00:17:49.098]  He's been there since I first got on radio in 1996.
[00:17:49.138 --> 00:17:49.598]  He's been a sponsor.
[00:17:52.359 --> 00:17:56.242]  Since about 1996, that's like 15, 16, 17 years.
[00:17:56.943 --> 00:18:11.215]  And he's down here, but I wanted to get him in here, not to infomercialforminusresources.com, that really is one of the best names, A-plus rated at the Better Business Bureau, that I can't find any other gold dealers that have that, because people are never happy one way or the other in anything financial.
[00:18:11.695 --> 00:18:14.938]  But I mean, Ted is, I shopped around for a trusted name to be a sponsor.
[00:18:16.619 --> 00:18:17.760]  It's Ted Anderson.
[00:18:17.780 --> 00:18:18.841]  But that's not why he's here.
[00:18:19.321 --> 00:18:39.259]  I wanted from his 30 years of experience in precious metals and in business, starting Genesis Network with over 1,000 affiliates, Midas Resources, all of it, to give us his take on where the world is in the conflicting news that there is no recession, we left the recession five years ago, we're in a global depression, there is no inflation, there's high inflation.
[00:18:39.899 --> 00:18:42.360]  All the fake economic numbers, where things are really going.
[00:18:42.640 --> 00:18:44.521]  Why is George Soros buying tons of gold?
[00:18:44.561 --> 00:18:50.363]  The Russian government and others, University of Texas, rich people, while saying don't buy it for yourself.
[00:18:50.423 --> 00:18:57.065]  What is the paradoxical talking out of both sides of the mouth really all about?
[00:18:57.965 --> 00:19:04.930]  And, you know, I just love Ted to death and for whatever neurotic reason, every time he's on the show, I interrupt him about every five seconds, like on the radio show today.
[00:19:04.950 --> 00:19:05.690]  It was actually pretty funny.
[00:19:06.371 --> 00:19:09.073]  But he's here with us on the nightly news.
[00:19:09.513 --> 00:19:12.695]  Ted Anderson, what is the state of the real world economy?
[00:19:13.075 --> 00:19:14.456]  What is the state of gold and silver?
[00:19:14.516 --> 00:19:16.478]  What do you see coming down the road?
[00:19:16.498 --> 00:19:18.259]  We'll talk to you about Bitcoin, everything else.
[00:19:18.899 --> 00:19:22.962]  And then TextMars is coming up in studio as well, queuing up out there.
[00:19:23.002 --> 00:19:26.164]  It's like air traffic control in Chicago with the crew.
[00:19:26.184 --> 00:19:27.705]  Ted, great to have you here with us.
[00:19:28.245 --> 00:19:29.385]  Nice to be back here, Alex.
[00:19:29.445 --> 00:19:32.386]  It's really been a great time here in Austin, Texas.
[00:19:32.806 --> 00:19:34.486]  And you're bringing up some very good points.
[00:19:34.546 --> 00:19:42.868]  I can tell you right now, what's going on in the marketplace and what's going on behind the scenes has everything flipped upside down.
[00:19:43.148 --> 00:19:48.769]  Presently, right now, we have the Federal Reserve System pushing the interest rates to the lowest optimal level you could ever ask for.
[00:19:49.069 --> 00:19:50.869]  We are looking at zero interest rates.
[00:19:51.509 --> 00:19:54.210]  If you deposit money in the bank, you're going to get about a half a point.
[00:19:55.030 --> 00:20:09.183]  The manipulation to push the market down by buying long-term bonds, treasuries, even corporate bonds and so on and so forth, dishing the money out, getting it into the economy, has been boosting the marketplace.
[00:20:09.223 --> 00:20:20.534]  Of course, today we're at a near-record high on the Nasdaq, $15.90, $15.70, and the reason why that's happening is because the Federal Reserve System is in there manipulating the marketplace.
[00:20:21.034 --> 00:20:25.637]  To me, I have to ask myself the question, why in the world do we have this going on?
[00:20:25.997 --> 00:20:34.643]  Why do we rely on a central banking system to manipulate the market so we can have a great return on our investments or even have employment for that matter?
[00:20:35.903 --> 00:20:37.725]  It's really been a question that's puzzled me.
[00:20:38.185 --> 00:20:43.068]  I've been drawn to this many years ago, sold a lot of copies of The Creature from Jekyll Island to help
[00:20:43.508 --> 00:20:44.329]  Educate the people.
[00:20:44.669 --> 00:20:49.671]  Jumped on the wrong Paul Bandwagon when I seen him pressing for an audit of the Federal Reserve System.
[00:20:50.192 --> 00:20:54.694]  Really, people need to take a look at the monetary system and why they manipulate the markets.
[00:20:54.854 --> 00:20:56.715]  I mean, this is a private agency.
[00:20:57.516 --> 00:21:02.698]  Many of the owners and the directors of the agency don't even reside in the United States.
[00:21:02.718 --> 00:21:06.440]  Do they really have our best interest at heart when you see the interest rates?
[00:21:06.500 --> 00:21:07.921]  In fact, I've got to interrupt with this.
[00:21:07.961 --> 00:21:10.603]  Let's play a short clip of a few years ago.
[00:21:11.363 --> 00:21:17.168]  Fed Chairman, former Fed Chairman Greenspan, saying, what is the relationship with Congress and government and the Federal Reserve?
[00:21:17.188 --> 00:21:18.429]  He said, no relationship.
[00:21:18.809 --> 00:21:21.911]  We are government and we're above the law, basically.
[00:21:22.171 --> 00:21:25.474]  When Congress issues the coins, the money controls the purse.
[00:21:25.834 --> 00:21:28.456]  Now Obama says NATO runs our military, not Congress.
[00:21:28.756 --> 00:21:30.218]  I mean, these guys think they're God.
[00:21:30.438 --> 00:21:31.178]  Here's that clip.
[00:21:33.120 --> 00:21:40.946]  What is the proper relationship, what should be the proper relationship between a chairman of the Fed and a president of the United States?
[00:21:42.569 --> 00:21:56.332]  Well, first of all, the Federal Reserve is an independent agency and that means basically that there is no other agency of government which can overrule actions that we take.
[00:21:57.712 --> 00:22:06.214]  So long as that is in place and there is no evidence that the administration or the Congress or anybody else
[00:22:08.065 --> 00:22:22.692]  So what do you say to that type of arrogance we just saw?
[00:22:22.732 --> 00:22:24.833]  And he's told Congress that as well.
[00:22:25.113 --> 00:22:28.795]  Foreign shareholders, the private Federal Reserve, $85 billion a month.
[00:22:28.855 --> 00:22:29.475]  Talk about that.
[00:22:29.815 --> 00:22:32.376]  Our taxpayer money going to them to bail them out.
[00:22:32.636 --> 00:22:35.618]  Then we pay interest on the money that we gave them.
[00:22:36.098 --> 00:22:37.580]  Well, I mean, this is the whole thing, Alex.
[00:22:37.620 --> 00:22:47.451]  I mean, if you go down to Washington, D.C., and you watch the Bureau of Engraving making the money, and you take that tour, they're going to tell you when you get to the end of the tour, they're going to say, this money is not good yet.
[00:22:47.691 --> 00:22:54.359]  We have to load it up on a truck, and we have to ship it over to the Federal Reserve System, or Federal Reserve Bank, so they can put their stamp on it.
[00:22:54.619 --> 00:22:56.742]  Now it can be issued to us back as money.
[00:22:57.222 --> 00:23:01.225]  We end up paying taxes because they don't give it to us, they lend it to us.
[00:23:01.285 --> 00:23:06.729]  Now we owe interest on the debt, on the debt that they just... We pay foreign bankers for the right to use our money.
[00:23:07.090 --> 00:23:09.932]  Briefly explain to folks what Lincoln and then JFK did.
[00:23:09.972 --> 00:23:11.753]  They actually, that's the last time in 63...
[00:23:13.214 --> 00:23:15.095]  You can find the Lincoln $5 bill.
[00:23:16.255 --> 00:23:17.775]  People can pull up research by Kennedy.
[00:23:18.576 --> 00:23:21.637]  Kennedy $5, Lincoln $5, U.S.
[00:23:21.697 --> 00:23:21.917]  notes.
[00:23:21.957 --> 00:23:23.017]  We can show that on Google.
[00:23:23.817 --> 00:23:25.038]  I think I've got a bunch of copies of it.
[00:23:25.318 --> 00:23:26.398]  You ought to buy those en masse.
[00:23:26.418 --> 00:23:27.898]  They're hard to get, but sell them as collectibles.
[00:23:28.619 --> 00:23:29.499]  Listeners would love to get those.
[00:23:29.519 --> 00:23:30.959]  They're always asking where to get them, so that's an idea.
[00:23:31.239 --> 00:23:32.040]  Brainstorming here on air.
[00:23:33.993 --> 00:23:35.334]  I mean, it says Federal Reserve.
[00:23:35.874 --> 00:23:39.216]  I paid with a $50 bill to get my kids in a museum, because it was like $49.
[00:23:39.536 --> 00:23:43.378]  And I had a $50 in my wallet down in Galveston, so I paid the lady the $50.
[00:23:44.058 --> 00:23:47.720]  She got a liner out, checked it, wrote on it, held it up.
[00:23:47.780 --> 00:23:49.921]  It was obviously, you know, a real Federal Reserve note.
[00:23:49.941 --> 00:23:52.863]  It had the strip in it, all the color, you know, red paint on the front.
[00:23:54.281 --> 00:23:55.922]  And I go, you know, all that money's counterfeit.
[00:23:55.962 --> 00:23:57.083]  That's his Federal Reserve note.
[00:23:57.583 --> 00:23:58.184]  She goes, what do you mean?
[00:23:58.204 --> 00:23:59.565]  I said, well, you know, it doesn't say U.S.
[00:23:59.605 --> 00:23:59.805]  note.
[00:24:00.446 --> 00:24:01.486]  She goes, but it says Federal Reserve.
[00:24:01.506 --> 00:24:03.568]  I said, that's a private, private consortium.
[00:24:03.968 --> 00:24:07.051]  I said, you know, before that, before 1913, it said U.S.
