[00:00:06.197 --> 00:00:07.687]  I'm not sure.
[00:19:34.303 --> 00:19:34.784]  Because I can.
[00:19:35.724 --> 00:19:35.844]  Oh.
[00:19:36.585 --> 00:19:37.626]  Can I see your badge number?
[00:19:37.746 --> 00:19:39.287]  Why?
[00:19:40.108 --> 00:19:41.149]  Uh, because I have the right to.
[00:19:43.771 --> 00:19:44.351]  You do, huh?
[00:19:44.771 --> 00:19:44.971]  Yeah.
[00:19:45.392 --> 00:19:46.112]  Are you a junior lawyer?
[00:19:46.733 --> 00:19:48.014]  No, I just want to see your badge number.
[00:19:58.746 --> 00:20:00.107]  Uh, can I please see your badge number?
[00:20:01.648 --> 00:20:01.888]  Really?
[00:20:05.470 --> 00:20:05.671]  Huh?
[00:20:07.332 --> 00:20:09.593]  No, I'm... I'm, uh, minor.
[00:20:14.396 --> 00:20:16.258]  I'm Jeremy Drew.
[00:20:16.278 --> 00:20:16.698]  I'm Jeremy.
[00:20:16.718 --> 00:20:21.261]  I don't know.
[00:20:21.301 --> 00:20:25.744]  I don't know, but is it an emergency why you can park a motorized vehicle on the sidewalk?
[00:20:28.777 --> 00:20:29.017]  Yeah.
[00:20:29.538 --> 00:20:35.543]  Um, because I don't think it's necessary to park your motorized vehicle on the sidewalk.
[00:20:35.563 --> 00:20:36.563]  No, I'm actually mailing this.
[00:20:36.624 --> 00:20:36.984]  Huh?
[00:20:37.084 --> 00:20:37.404]  I'm filming.
[00:20:37.464 --> 00:20:37.945]  Yeah.
[00:20:38.045 --> 00:20:39.846]  Alright, well can I see your badge number?
[00:20:39.946 --> 00:20:40.026]  No?
[00:20:40.066 --> 00:20:40.387]  Alright.
[00:21:01.047 --> 00:21:02.908]  So we salute you, Jeremy Drew.
[00:21:03.208 --> 00:21:18.015]  May you, a 12-year-old man, you are a man, encourage other men who have abdicated over their responsibility to stand up for the liberties and rights that our forebearers fought so hard to secure.
[00:21:18.942 --> 00:21:33.292]  And in closing, as a news man, as a talk show host who travels the country and talks to a lot of people and focuses on the news, I'm here to tell you America and the world itself is waking up to government arrogance and red carpet hypocrisy.
[00:21:34.213 --> 00:21:36.895]  And the people aren't going to put up with the tyranny much longer.
[00:21:37.095 --> 00:21:37.976]  Look at Benghazi.
[00:21:38.276 --> 00:21:39.417]  Look at Fast and Furious.
[00:21:39.677 --> 00:21:41.218]  Look at so many other examples.
[00:21:41.258 --> 00:21:47.402]  The billions of bullets they've been caught buying on the armored vehicles and the training to take on the American people in a civil war.
[00:21:48.263 --> 00:21:50.885]  We don't just buy your denials and lies anymore.
[00:21:51.285 --> 00:21:53.787]  The sleeping giant has awoken.
[00:21:54.508 --> 00:21:57.550]  Now back to InfoWars, Nightly News, and Rob Doon.
[00:22:00.672 --> 00:22:03.815]  Hey, Jeremy, if you're out there and watching this right now, we are trying to contact you.
[00:22:03.835 --> 00:22:07.638]  We'd like to get you on the show, possibly even offer you a job.
[00:22:07.738 --> 00:22:11.561]  So talk with your parents, and we'd definitely love to have you on the team.
[00:22:12.201 --> 00:22:12.822]  You have
[00:22:13.897 --> 00:22:16.399]  As they say, uh, panache.
[00:22:16.979 --> 00:22:17.499]  As they say.
[00:22:17.519 --> 00:22:18.620]  That's a nice way of saying it.
[00:22:18.880 --> 00:22:19.561]  Let's move on.
[00:22:19.901 --> 00:22:23.984]  Judge orders the conspiracy re-education for Lauryn Hill.
[00:22:24.224 --> 00:22:24.984]  You remember Lauryn Hill?
[00:22:25.004 --> 00:22:29.808]  She actually had a, uh, album a long time ago called The Miseducation of Lauryn Hill.
[00:22:30.448 --> 00:22:35.972]  Grammy award-winning singer Lauryn Hill has been ordered by a judge to undergo counseling because of her conspiracy theories.
[00:22:36.452 --> 00:22:38.053]  Well, what was her conspiracy theory?
[00:22:38.353 --> 00:22:43.457]  That the music industry oppresses people with actual talent in favor of pumping out mindless nonsense.
[00:22:44.459 --> 00:22:44.861]  Hmm.
[00:22:45.142 --> 00:22:46.687]  Well, I really have to think on that one.
[00:22:46.727 --> 00:22:47.068]  Wow.
[00:22:48.212 --> 00:22:49.918]  You think they really conspire to do that?
[00:22:51.488 --> 00:23:00.056]  Do you ever wonder why the music out there doesn't say anything political and when they do, like the Dixie Chicks case, they get pummeled into the ground and told to shut up?
[00:23:00.416 --> 00:23:01.537]  You ever wonder why that is?
[00:23:02.258 --> 00:23:15.729]  Maybe it's because they are slaves and they take these talented people, prop them up, get them under these heavy loans where they're basically indentured servants for life unless by a miracle they become a prince or Madonna and are able to break out of that system.
[00:23:16.070 --> 00:23:18.091]  But for most of them out there, it's not like that.
[00:23:19.253 --> 00:23:33.313]  Continuing with the article, Hill has attempted to warn young people about how pop culture cannibalism, as she calls it, and the deliberate reductionism of art and music is damaging a whole generation and turning them into passive, unthinking consumers.
[00:23:33.693 --> 00:23:33.993]  Wow!
[00:23:35.501 --> 00:23:36.342]  I couldn't have said it better.
[00:23:36.822 --> 00:23:56.578]  The judge's order that he'll undergo what amounts to brainwashing and re-education simply for publicly proclaiming the fact that the music industry is designed to strangle true talent while promoting amoral, vacuous, mindless, turgid drivel, way to go Paul, is part of an increasing trend towards labeling common sense as a mental illness if it goes against the establishment grain in any way.
[00:23:56.638 --> 00:23:57.599]  I couldn't have said it better.
[00:23:57.939 --> 00:23:58.920]  Paul and Lauren.
[00:23:59.620 --> 00:24:06.262]  And we're also reaching out to Lauren Hill trying to get her on the show because we have a platform here where you can say whatever you want as long as you don't cuss.
[00:24:07.343 --> 00:24:08.063]  We will bleep you.
[00:24:09.423 --> 00:24:11.124]  Moving on, our last article of the day.
[00:24:11.484 --> 00:24:17.606]  Texas House Blocks Federal Gun Control 102-31 and that's House Bill 928.
[00:24:18.046 --> 00:24:27.969]  An agency of this state or political subdivision of this state and a law enforcement officer or other person employed by an agency by this state or political subdivision of this state
[00:24:28.109 --> 00:24:28.209]  Yes.
[00:24:49.435 --> 00:24:50.937]  We're not going to send state
[00:25:00.953 --> 00:25:06.056]  Public servants to go after law-abiding gun owners here in Texas.
[00:25:06.096 --> 00:25:07.057]  That's basically what they're saying.
[00:25:07.077 --> 00:25:10.919]  They're saying, federal government, get out of Texas if you want to try to control our guns.
[00:25:10.959 --> 00:25:16.003]  And that's what we should be saying, and that's what states all around should be passing bills like this.
[00:25:16.043 --> 00:25:22.727]  It hasn't passed fully, and the governor has not signed it, but Texas House blocks that federal gun control.
[00:25:22.967 --> 00:25:25.248]  That's the bill that's up there right now.
[00:25:25.529 --> 00:25:26.549]  We're going to our quote of the day.
[00:25:26.569 --> 00:25:27.590]  It's from Bill Moyers.
[00:25:29.065 --> 00:25:33.909]  Secrecy is the freedom tyrants dream of, and that's what you saw in Benghazi.
[00:25:33.929 --> 00:25:34.950]  They tried to cover that up.
[00:25:35.010 --> 00:25:36.592]  They tried to hide the survivors.
