[00:00:03.123 --> 00:00:05.145]  You're listening to GCN.
[00:02:26.983 --> 00:02:35.627]  Oh, oh, you're not, we're not going to look at you, that you have connections to people that are on the inside, which it turned out you were running the Elohim City that McVeigh was in.
[00:02:36.008 --> 00:02:37.368]  That came out in federal documents.
[00:02:38.109 --> 00:02:43.111]  Oh, and the Deputy Attorney General was over that, who's now Attorney General, who ran Fast and Furious.
[00:02:43.411 --> 00:02:48.834]  Oh, no, it's that you're so smart, and you care about us so much.
[00:02:49.554 --> 00:02:53.476]  They're targeting an audience of emotional nincompoops.
[00:02:55.145 --> 00:03:01.330]  And those of us that know the game, I mean, it's like watching football in 1-100 speed.
[00:03:03.151 --> 00:03:04.892]  And having the playbook, okay?
[00:03:04.932 --> 00:03:06.794]  They just gave this call, that's a code for this.
[00:03:07.674 --> 00:03:09.596]  He's gonna run the wishbone, okay?
[00:03:09.616 --> 00:03:10.596]  He's gonna throw to that.
[00:03:11.237 --> 00:03:11.717]  I mean, this is 100%.
[00:03:14.122 --> 00:03:19.124]  And I'm here, and I'm working around the clock, not because I'm a hero, but because we have no future if we don't beat this.
[00:03:19.144 --> 00:03:21.104]  I did three hours of Coast to Coast AM.
[00:03:21.885 --> 00:03:23.205]  Then I slept for two hours.
[00:03:23.365 --> 00:03:26.146]  I did an hour plus with Opie and Anthony this morning.
[00:03:28.387 --> 00:03:33.148]  And the crew's been doing, I don't know, nine, ten, twelve hours a day live coverage.
[00:03:33.809 --> 00:03:36.970]  So, quite frankly, I feel good.
[00:03:37.490 --> 00:03:38.050]  But I feel like
[00:03:39.520 --> 00:03:42.561]  I feel good like after you've been in a big fight and got out of it alive.
[00:03:42.581 --> 00:03:45.483]  I mean, I feel like I've been beat to hell, but I still feel good.
[00:03:46.423 --> 00:03:51.005]  And I gotta go work on the next issue of the magazine and stuff after I get off today.
[00:03:51.666 --> 00:03:54.627]  I'm not complaining, but folks, there's a reason I got black circles around my eyes.
[00:03:55.187 --> 00:03:58.369]  Because I burned the candle at both ends, and I'm proud to be doing it.
[00:03:58.649 --> 00:04:02.191]  Because, you know, any time now they could set me up, arrest me, kill me, whatever.
[00:04:02.231 --> 00:04:06.753]  I want to make sure I put in the maximum effort now before the hammer really drops.
[00:04:08.288 --> 00:04:11.849]  And, uh, you know, to the trolls and people out there, this happens every time there's a false flag.
[00:04:12.149 --> 00:04:14.289]  How dare Alex Jones say it could be a false flag?
[00:04:14.349 --> 00:04:18.570]  Governments never did anything like this when there's all this evidence and all these other events.
[00:04:20.231 --> 00:04:23.551]  As if what trolls go out and do affects me.
[00:04:24.212 --> 00:04:28.373]  Now, it's meant to affect other weak-minded people, but weak-minded people are going to be weak-minded.
[00:04:28.433 --> 00:04:29.333]  I mean, that's just the way it is.
[00:04:31.733 --> 00:04:32.573]  That's just the way it is.
[00:04:33.714 --> 00:04:34.414]  And, um,
[00:04:35.486 --> 00:04:38.610]  Of course, I said what prediction did I make five times yesterday?
[00:04:38.630 --> 00:04:41.454]  I don't even know how I know all this stuff.
[00:04:42.315 --> 00:04:43.296]  I just know it because I'm...
[00:04:44.377 --> 00:04:49.260]  Because on the day of 9-11, I said, they're going to launch a bio-attack now to keep the fear going.
[00:04:49.520 --> 00:04:52.802]  And you know why I knew that?
[00:04:53.522 --> 00:04:57.084]  Because of the anthrax vaccine they were pushing and a bunch of other stuff.
[00:04:57.124 --> 00:05:01.247]  But this time, I said, there'll be another bio-attack if this is an inside job.
[00:05:01.307 --> 00:05:06.470]  And Obama and a senator have reportedly been mailed Ryerson now.
[00:05:07.150 --> 00:05:08.231]  So there you go.
[00:05:09.835 --> 00:05:11.476]  Introducing Pro-1.
[00:05:11.736 --> 00:05:15.237]  All of your filtration in one system, portable, on-the-go.
[00:05:15.377 --> 00:05:19.779]  No more do you have two or three filters to just reduce sodium fluoride.
[00:05:19.959 --> 00:05:25.902]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:05:26.022 --> 00:05:36.806]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals, all in one filter element.
[00:05:37.006 --> 00:05:39.707]  It is the only one that does it and out of the gates!
[00:05:39.867 --> 00:05:43.308]  We have it discounted at 10% off with promo code WATER.
[00:05:43.508 --> 00:05:58.233]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands,
[00:05:58.433 --> 00:06:00.475]  And sodium hexafluorosilicate.
[00:06:00.795 --> 00:06:06.121]  Get your Pro-Pure with the new Pro-1 filters today at InfoWarsTore.com or by calling 888-253-3139.
[00:06:10.299 --> 00:06:18.543]  Devastating events like earthquakes, tornadoes, floods, hurricanes, or the threat of martial law have highlighted the need for Americans to prepare for emergencies.
[00:06:18.843 --> 00:06:22.285]  As a result, millions are stockpiling food, gold, and weapons.
[00:06:22.525 --> 00:06:26.667]  But how will these items help if you or one of your loved ones becomes ill?
[00:06:26.967 --> 00:06:31.669]  Supernatural silver is the ultimate tool to prepare you for a medical emergency.
[00:06:32.009 --> 00:06:41.900]  Supernatural Silver is a natural antibiotic that is uniquely effective against bacteria, viruses, moles and fungus, and is remarkable for wound care.
[00:06:42.140 --> 00:06:47.326]  Taken internally or used topically, it can help keep you safe from deadly pathogens.
[00:06:47.566 --> 00:06:56.115]  Supernatural Silver has over 500 different uses and a long-term shelf life, making it the number one choice of preppers across the country.
[00:06:56.355 --> 00:07:03.323]  To find out how this amazing new technology can help you be prepared, go to SupernaturalSilver.com.
[00:07:03.583 --> 00:07:07.507]  Use the promo code PREPARED for 20% off your entire order.
[00:07:07.707 --> 00:07:08.889]  And like us on Facebook.
[00:07:11.889 --> 00:07:19.555]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:07:19.995 --> 00:07:23.618]  Alex and his staff have used these pure soap products for years.
[00:07:24.078 --> 00:07:30.883]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:07:31.384 --> 00:07:34.186]  See them on the web at 5starsoap.com.
[00:07:34.386 --> 00:07:38.889]  Or call 800-340-7091 for a free catalog.
[00:07:39.229 --> 00:07:44.893]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:07:45.173 --> 00:07:50.276]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:07:50.577 --> 00:07:52.218]  This is an amazing deal.
[00:07:52.558 --> 00:07:57.161]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:07:57.801 --> 00:08:00.263]  See them on the web at 5starsoap.com
[00:08:00.843 --> 00:08:05.444]  Or call 800-340-7091 for a free catalog.
[00:08:21.008 --> 00:08:27.270]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:08:37.017 --> 00:08:43.425]  Ladies and gentlemen, we are broadcasting worldwide, and I am the machine of talk radio.
[00:08:43.545 --> 00:08:45.868]  Did coast-to-coast last night, opening ante this morning.
[00:08:46.248 --> 00:08:54.117]  I'm running on two luscious hours of sleep, and I'm gonna be live here for at least the next three hours, and Ja'kari Jackson, Robb Dew,
[00:08:56.560 --> 00:08:57.761]  David and I are going to be in here.
[00:08:57.841 --> 00:09:03.845]  Rob Jacobson and John Bowne are out in California doing interviews on a film we're working on.
[00:09:04.525 --> 00:09:10.649]  And some of the other crew is working on a background in research like Leanne McAdoo and others.
[00:09:11.650 --> 00:09:12.811]  Wow, where to begin here?
[00:09:15.149 --> 00:09:35.596]  I said yesterday, at least five times on air, that if there is a bio-attack like the anthrax attack, and then I went through how that was Fort Detrick, Maryland, the most weaponized anthrax ever known to man, one machine to miniaturize the anthrax reportedly cost in the hundreds of millions of dollars.
[00:09:37.981 --> 00:09:40.423]  And it is a patented Department of Defense system.
[00:09:42.024 --> 00:09:46.587]  And they tried to frame three different Patsy's for it and finally killed the third Patsy.
[00:09:47.247 --> 00:09:54.932]  Killed the doctor they set up and it was in the back of the paper that they force-fed him prescription Tylenol while in a straitjacket.
[00:09:56.033 --> 00:09:59.395]  So, boy, they were really desperate to get a Patsy that time.
[00:10:00.136 --> 00:10:02.678]  Because the wheels were coming off.
[00:10:06.613 --> 00:10:15.840]  I mean, I specifically said, if there's another anthrax type attack, and I even saw the comments coming on the site going, where does Jones come up with this stuff?
[00:10:15.880 --> 00:10:16.801]  He's so crazy.
[00:10:17.881 --> 00:10:19.141]  This is not 9-11.
[00:10:19.862 --> 00:10:27.664]  Well, if I've learned one thing about criminals and psychopaths and the groups that are involved at a criminal network level, does it mean there isn't radical Islam?
[00:10:27.704 --> 00:10:29.685]  Does it mean all that's not, some of that's not real?
[00:10:30.065 --> 00:10:36.167]  There's criminal networks above it, playing all sides off against each other to bring in globalism, order out of chaos.
[00:10:36.787 --> 00:10:43.691]  Look at how our government is using Al-Qaeda in Libya and Syria to ethnically cleanse blacks, Christians, and Muslim minorities.
[00:10:44.232 --> 00:10:49.135]  I mean, you cannot deny the CFR said, quote, we need Al-Qaeda, six months ago.
[00:10:50.375 --> 00:10:51.216]  And praise them.
[00:10:52.056 --> 00:10:59.501]  And the New York Times has said, well, Al-Qaeda is the main force, and we are giving them weapons, because they're the ones that can kick Assad out, who did nothing to anybody.
[00:11:02.697 --> 00:11:05.318]  I'm certainly not nominating him for the Peace Prize or anything.
[00:11:05.358 --> 00:11:09.559]  I mean, Obama doesn't deserve it either, but compared to Obama, he's an angel.
[00:11:11.559 --> 00:11:17.400]  As dictators go, you know, he's one of the better ones.
[00:11:18.141 --> 00:11:22.162]  I could care less if he got overthrown and a real new government came in there.
[00:11:22.402 --> 00:11:24.222]  I wish they were free people completely.
[00:11:25.862 --> 00:11:31.744]  We've had Syrian opposition groups on to people that live in Australia, whose families were basically run out of the country.
[00:11:32.686 --> 00:11:37.347]  Decades ago, because of not liking Assad, and they say that what's happening is wrong.
[00:11:38.527 --> 00:11:42.168]  And, you know, my point is the globalists don't care about you.
[00:11:42.748 --> 00:11:46.249]  They would kill you in a New York minute if it meant they got power and control.
[00:11:46.589 --> 00:11:47.529]  In fact, they enjoy it.
[00:11:48.209 --> 00:11:54.431]  And if you study criminology, as I've done, I've studied history, and I've also studied a lot of criminology.
[00:11:54.671 --> 00:11:58.092]  And I don't mean whodunit murder mystery books.
[00:11:58.292 --> 00:11:59.112]  I mean, I've read
[00:12:00.052 --> 00:12:00.672]  Ph.D.
[00:12:00.732 --> 00:12:09.896]  level textbooks because it's so fascinating that just cuts down to the hardcore info on how criminals act or how predators act.
[00:12:10.456 --> 00:12:12.457]  And let me tell you, they leave calling cards.
[00:12:13.317 --> 00:12:14.518]  Everybody knows they brag.
[00:12:15.578 --> 00:12:16.918]  And they are pathological.
[00:12:17.579 --> 00:12:22.040]  They do the same thing over and over and over and over again.
[00:12:22.360 --> 00:12:31.823]  That's how cops, you know, good detectives back when that still existed, they've pretty much gotten rid of it, you know, knew who different bad guys were and people that had gotten out of prison and they knew the M.O.
[00:12:32.623 --> 00:12:37.767]  The little signs that were put, you know, down in the notebooks of what the person had been done on other cases.
[00:12:38.568 --> 00:12:47.734]  Maybe 20 times they'd robbed a bank, or hundreds of times been a cat burglar and not got caught, but finally got caught, the police had notes on how they did it over and over again.
[00:12:48.015 --> 00:12:57.122]  So I'm sitting here going, okay, this is a false flag, expect the letters to start getting mailed out right about now.
[00:12:57.952 --> 00:13:19.569]  Or expect the letters to start arriving, something like the anthrax attack, to create a ton of fear in Washington and a state of panic to get the open borders passed, the gun registration arbitrarily, where without a judge or jury, a psychologist or psychiatrist can just say, take your guns, because they say so.
[00:13:19.829 --> 00:13:21.150]  All that's happening right now.
[00:13:22.725 --> 00:13:29.609]  All of this is unfolding, and so it's a replay, where they want to get the Patriot Act through, they want to get all this unconstitutional stuff through.
[00:13:29.629 --> 00:13:40.775]  9-11 wasn't enough, even though it was all pre-written, that came out, show you have an anthrax attack, to the media to scare them to get in line, and to key people in the House and Senate.
[00:13:43.096 --> 00:13:49.540]  And now a pro-gun, key senator, who's been saying he will not vote, and he may be the vote,
[00:13:50.913 --> 00:14:04.828]  Uh, on whether this is going to pass the Senate or not, has received and confirmed an envelope, uh, the office of a Senator, uh, Roger, uh, Wicker, Republican Mississippi, included a substance that is tested positive for the toxic substance, Ryacin.
[00:14:05.208 --> 00:14:06.790]  By the way, I had McAfee on.
[00:14:07.677 --> 00:14:10.960]  Well, the only interviews he did before he disappeared a few months ago.
[00:14:11.541 --> 00:14:20.471]  We aired it live on the Nightly News, and I said, that is such an insinuary interview, and I've only done this in two years doing the Nightly News, maybe three times.
[00:14:20.911 --> 00:14:25.876]  I said, do not post that to the archive, and do not put that on the YouTube channel.
[00:14:26.477 --> 00:14:28.999]  That is so insinuary.
[00:14:29.997 --> 00:14:38.840]  What he is saying, that they're going to attack the government with Ryerson, and that Muslims are behind it, tied into Iran, I said, because he couldn't give me proof.
[00:14:39.400 --> 00:14:47.083]  But he said, but he suddenly went for me and the goofy guy, like, something like an intelligence operative or something, on and off air, and about how he was being hunted and stuff.
[00:14:47.463 --> 00:14:49.204]  By the way, call McAvee, let's try to get him on.
[00:14:50.124 --> 00:14:54.326]  And it was so shocking, I said, I even told him, I said, I'm letting this go out live,
[00:14:55.199 --> 00:14:58.045]  They're in a break, but I said I'm not going to promote this interview.
[00:14:58.626 --> 00:15:03.656]  We will dig the interview up and air it tonight on the Nightly News at the end of the news.
[00:15:04.417 --> 00:15:05.159]  It is newsmaking.
[00:15:08.918 --> 00:15:11.939]  See, as an investigator, these are the things we look at.
[00:15:12.400 --> 00:15:15.821]  And now Obama has gotten a suspicious letter.
[00:15:16.662 --> 00:15:27.167]  And if this continues, which it probably will, the media will get it, and then we'll never find out who did it, or they'll have some guy they drug up who dies in custody, and then, oh, just move along, nothing happening here.
[00:15:27.927 --> 00:15:28.848]  It's like Groundhog Day.
[00:15:28.868 --> 00:15:31.809]  I mean, I feel like Bill Murray right now.
[00:15:33.330 --> 00:15:42.832]  And just the childishness of the minority of people that I see on YouTube and comments going, how dare you not care these people died, as if I don't care.
[00:15:42.852 --> 00:15:45.433]  Hey, I have massive empathy.
[00:15:46.953 --> 00:15:56.955]  But I try to not sit here and show it on my sleeve, because I know they're going to selectively unfreeze our emotions and say now it's okay to care about these people.
[00:15:57.861 --> 00:16:06.377]  Well, what about the 500-plus people, most of them innocents, raped and killed in Chicago last year, the crime capital of the world, where they weren't allowed to defend themselves?
[00:16:07.018 --> 00:16:07.619]  Oh, no, no, no.
[00:16:07.659 --> 00:16:10.384]  Those deaths, those rapes, those killing of men, women, and children...
[00:16:11.658 --> 00:16:13.019]  I'm not supposed to care about that.
[00:16:13.340 --> 00:16:16.102]  Or when Time Magazine says, let's kill old people.
[00:16:16.643 --> 00:16:20.526]  Or Bill Gates says, hey, we need the case for killing Granny, we need to get rid of old people.
[00:16:20.846 --> 00:16:23.268]  And by the way, let's kill children up to age three or even healthy.
[00:16:23.288 --> 00:16:25.270]  You know, Journal of Bioethics and all this.
[00:16:25.751 --> 00:16:28.053]  And it's like, oh Alex, big deal, there are too many people.
[00:16:30.370 --> 00:16:36.358]  I mean, we see all this callousness by the collectivists because they'll get more because they're young right now.
[00:16:36.698 --> 00:16:37.659]  You know, we kill people.
[00:16:37.679 --> 00:16:38.681]  What an immoral group.
[00:16:38.721 --> 00:16:41.004]  As if the globalists are going to give you anything.
[00:16:42.025 --> 00:16:44.268]  As if they won't kill you next, you morons.
[00:16:45.455 --> 00:16:47.997]  You see, those of us that have empathy, it's already pre-built in.
[00:16:48.617 --> 00:16:53.741]  We don't do it because, oh, we know if we let somebody else get hurt, it'll end up coming back on us.
[00:16:54.202 --> 00:16:55.363]  That's how the universe works.
[00:16:55.603 --> 00:17:03.028]  But our genetics, our spirit, our instincts go, oh, no, I don't, you know, oh, you see somebody hit by a truck.
[00:17:03.889 --> 00:17:04.910]  And you empathize.
[00:17:04.930 --> 00:17:05.790]  You get sick.
[00:17:06.551 --> 00:17:07.691]  You get nauseous.
[00:17:08.151 --> 00:17:09.092]  And again, I've told the story.
[00:17:09.152 --> 00:17:11.813]  I've saw a lot of fatality wrecks six, seven times.
[00:17:12.494 --> 00:17:14.095]  And I was in a couple bad wrecks myself.
[00:17:14.155 --> 00:17:21.919]  I was with some friends one time, drag racing over the I-30 bridge between Rockwall and Rowlett outside Dallas.
[00:17:22.199 --> 00:17:25.261]  And the guy's Corvette tire blew out in front of us.
[00:17:26.457 --> 00:17:30.620]  I mean, this was in heavy traffic, you know, going 150 miles an hour, cutting between cars.
[00:17:31.101 --> 00:17:36.605]  And it flies in and explodes, and I watch people flying around, and there's blood spraying out of necks and arms.
[00:17:36.625 --> 00:17:37.466]  You pull over to help them.
[00:17:38.106 --> 00:17:39.167]  And I was sitting in the passenger seat.
[00:17:39.207 --> 00:17:39.928]  I wasn't drag racing.
[00:17:40.008 --> 00:17:41.669]  I was like 12 with a 16-year-old.
[00:17:42.389 --> 00:17:47.033]  And after the ambulances got there, there was fire ants all over people.
[00:17:47.573 --> 00:17:48.414]  Other cars wrecked.
[00:17:49.535 --> 00:17:52.317]  And this wreck, this pileup, was in the news at the time.
[00:17:55.618 --> 00:17:59.339]  After it was all done, the smell of the blood and the empathy, I started vomiting.
[00:17:59.359 --> 00:18:05.381]  Let's see, a psychopath or a sociopath, it would just be entertaining to them.
[00:18:06.001 --> 00:18:16.545]  And see, people are becoming artificial psychopaths or artificial sociopaths, bare minimum, by all the simulated shoot-em-up games and movies and all this, where people don't have empathy now.
[00:18:17.438 --> 00:18:18.318]  People don't have empathy.
[00:18:18.338 --> 00:18:19.399]  I've told the story many times.
[00:18:20.739 --> 00:18:39.048]  My grandfather, you know, who was in World War II and saw quite a bit of stuff, not even so much in the air after he flew his 22 missions out of North Africa and Italy, after they took Italy, he was in the Army Air Corps and they put him over a mess hall as an officer and he spent most of his time trying to feed the starving Italians.
[00:18:39.428 --> 00:18:40.348]  People were starving to death.
[00:18:41.589 --> 00:18:44.050]  A lot of the death was just there was no food and everything had been bombed out.
[00:18:45.018 --> 00:18:48.582]  And, uh, that's why he always would go to a restaurant and not order any food.
[00:18:50.244 --> 00:18:51.926]  He would wait till everybody ordered their food.
[00:18:51.946 --> 00:18:53.047]  It wasn't even a neurotic thing.
[00:18:53.287 --> 00:19:05.840]  He would then eat everybody's leftovers because he saw starving kids and would end up, you know, trying to, you know, even give the food he had to them because they were under regulations not to give people food.
[00:19:07.406 --> 00:19:14.428]  And then there's all these fake people about, oh, when they're told to have an emotion, they get all emotional, and, oh, we've got to give our rights up.
[00:19:14.708 --> 00:19:16.048]  We've got to get rid of our Second Amendment.
[00:19:16.068 --> 00:19:20.189]  There's, like, Hollywood actors blaming the Second Amendment for this, and I bet it's gunpowder.
[00:19:20.449 --> 00:19:21.709]  I said that yesterday, and now they're doing it.
[00:19:22.050 --> 00:19:23.850]  I bet it's gunpowder they got that did this.
[00:19:23.910 --> 00:19:25.210]  Any way to blame the Second Amendment.
[00:19:26.151 --> 00:19:32.012]  But my grandfather, I mean, could be in a movie where there was any type of violence or anything, and he shouldn't want to see it.
[00:19:33.394 --> 00:19:37.162]  And it wasn't because he was a wimp, oh you can't handle the violence.
[00:19:37.843 --> 00:19:39.467]  It was because he'd seen so much of it.
[00:19:41.411 --> 00:19:44.753]  And so it physically gets to me.
[00:19:44.853 --> 00:19:46.394]  I empathize at a very deep level.
[00:19:46.874 --> 00:19:48.935]  That's where the rage comes from, ladies and gentlemen.
[00:19:49.496 --> 00:19:54.198]  That's how I'm able to not sleep and fight the New World Order on just a couple cups of coffee.
[00:19:54.218 --> 00:19:56.220]  I had like two cups of coffee yesterday.
[00:19:57.200 --> 00:19:59.061]  And I'm able to do it because it's the mission.
[00:19:59.601 --> 00:20:02.063]  This mission has got to be completed to defend people.
[00:20:03.083 --> 00:20:06.365]  And the reason I tell the story is that we're desensitized to all this killing.
[00:20:06.626 --> 00:20:07.146]  We'll come back.
[00:20:11.297 --> 00:20:11.617]  Whew!
[00:20:11.857 --> 00:20:12.577]  Nice shootin'!
[00:20:12.778 --> 00:20:15.438]  Hey, that's a sweet AK-47 chest rig.
[00:20:15.478 --> 00:20:16.519]  Is that multi-cam?
[00:20:16.539 --> 00:20:16.759]  Yep!
[00:20:16.939 --> 00:20:19.060]  Got it from StrikeHardGear.com.
[00:20:19.240 --> 00:20:19.940]  Strike what?
[00:20:20.600 --> 00:20:23.741]  StrikeHardGear.com.
[00:20:23.881 --> 00:20:26.482]  Set your sights on StrikeHardGear.com.
[00:20:26.682 --> 00:20:30.643]  Tough, tactical gear for your Soviet-style weapon that's made in the USA.
[00:20:30.863 --> 00:20:36.045]  Affordable, plus a no-questions-asked 30-day money-back guarantee and lifetime replacement warranty.
[00:20:36.225 --> 00:20:37.706]  StrikeHardGear.com.
[00:20:37.866 --> 00:20:38.306]  Go ahead.
[00:20:38.826 --> 00:20:39.587]  Pull the trigger.
[00:20:39.787 --> 00:20:49.055]  We the people grow cotton, weave fabric, engrave ink, embed strips and fibers to protect from counterfeit and carting to a private bank, having it led back at interest, forcing taxes to service debt.
[00:20:49.115 --> 00:20:56.001]  This capitalism or was Jefferson correct when stating a central bank issuing the public currency is a greater menace to the liberties of the people than a standing army?
[00:20:56.161 --> 00:20:56.942]  Hi, Ted Anderson.
[00:20:56.982 --> 00:21:00.084]  I'm placing a free silver dollar in a book that explains our monetary system.
[00:21:00.124 --> 00:21:01.605]  Call for your copy at 800-686-2237.
[00:21:01.766 --> 00:21:04.848]  It's time to understand the system.
[00:21:04.908 --> 00:21:05.509]  Call 800-686-2237.
[00:21:06.629 --> 00:21:07.951]  That's 800-686-2237.
[00:21:08.571 --> 00:21:12.074]  In the last two years alone, the U.S.
[00:21:12.114 --> 00:21:14.015]  has seen huge losses to our food supply.
[00:21:14.256 --> 00:21:20.140]  In 2011, storms and floods raged across the U.S., costing us $20 billion in lost crops alone.
[00:21:20.240 --> 00:21:23.683]  In 2012, we saw the largest drought in the country in more than 50 years.
[00:21:23.963 --> 00:21:25.765]  You may think out of sight, out of mind.
[00:21:26.025 --> 00:21:27.647]  And so you don't think you will be affected.
[00:21:27.828 --> 00:21:29.009]  The fact is you are.
[00:21:29.209 --> 00:21:29.990]  We all are.
[00:21:30.231 --> 00:21:32.574]  Food shortages drive prices up for everyone.
[00:21:32.854 --> 00:21:41.125]  You might not be able to control Mother Nature, but you can control your food prices by freezing the cost and availability of your food supply with eFoods Direct.
[00:21:41.345 --> 00:21:42.565]  Be prepared before you need it.
[00:21:42.725 --> 00:21:45.926]  With nutrient-dense food you can store for up to 25 years.
[00:21:46.186 --> 00:21:48.427]  You can hope for the best, but hope won't feed you.
[00:21:48.547 --> 00:21:52.947]  Do what I've done and get your own supply of the best storable foods out there from eFoodsDirect.
[00:21:53.068 --> 00:22:00.629]  Call 800-409-5633 or visit them on the web at efoodsdirect.com forward slash alex and check out their spring specials.
[00:22:00.849 --> 00:22:07.071]  Again, that number is 800-409-5633 or on the web at efoodsdirect.com forward slash alex.
[00:22:07.311 --> 00:22:09.171]  You can bet your life on eFoodsDirect.
[00:22:09.975 --> 00:22:12.838]  Is this the year you finally get serious about your family's drinking water?
[00:22:13.158 --> 00:22:16.461]  If so, keep listening for a special offer from Big Berkey Water Filters.
[00:22:16.541 --> 00:22:19.363]  Did you know that over 60% of municipal water is fluoridated?
[00:22:19.524 --> 00:22:30.353]  Berkey Water Filters distinguish themselves from many other filtration systems with the capability to significantly reduce dangerous chlorine, fluoride, arsenic, and disinfection byproducts from municipal water via the Black Berkey and PF line of filters.
[00:22:30.453 --> 00:22:31.494]  Then there's affordability.
[00:22:31.574 --> 00:22:33.376]  At only 1.7 cents per gallon,
[00:22:33.516 --> 00:22:37.599]  Berkey water filters purify treated and untreated water, even stagnant pond water.
[00:22:37.739 --> 00:22:43.583]  Stop and think how much money you could save by simply reducing buying bottled water and using water filtered by your Berkey water filter.
[00:22:43.743 --> 00:22:46.545]  No need to be constantly replacing expensive filters with a Berkey.
[00:22:46.645 --> 00:22:49.007]  A single set of filters can last for 5 to 10 years.
[00:22:49.087 --> 00:22:52.510]  Choose the best size Berkey for your needs at BigBerkeyWaterFilters.com.
[00:22:52.630 --> 00:22:56.432]  And right now, all GCM listeners get 5% off all ceramic filter systems.
[00:22:56.512 --> 00:22:57.293]  Just call 1-877-99-BERKEY.
[00:22:58.874 --> 00:23:04.019]  That's 877-99BERKEY or visit bigberkeywaterfilters.com.
[00:23:04.119 --> 00:23:06.061]  Free shipping on every order over $50.
[00:23:06.161 --> 00:23:08.743]  Big Berkey Water Filters, for the love of clean water.
[00:23:09.404 --> 00:23:14.669]  American gardeners and fellow patriots, make the right choice with your money, time, and your family food supply.
[00:23:14.889 --> 00:23:19.894]  Choose 100% pure heirloom seeds in the Survival Seed Vault from mypatriotsupply.com.
[00:23:20.054 --> 00:23:20.875]  Why spend more?
[00:23:21.035 --> 00:23:28.802]  The Survival Seed Vault from mypatriotsupply.com is only $37.95 and includes 20 varieties of pure, hearty, easy-to-grow heirloom seeds.
[00:23:29.082 --> 00:23:29.563]  Yes, only $37.95.
[00:23:29.623 --> 00:23:30.604]  That's 70% less than our competitors.
[00:23:33.226 --> 00:23:36.408]  You could buy three Survival Seed Vaults for less than one of theirs.
