[00:00:42.233 --> 00:00:43.836]  It's July 9th, 2013.
[00:08:03.199 --> 00:08:04.700]  You can see it now as I'm talking.
[00:08:05.360 --> 00:08:06.940]  And it appears to be filmed outside.
[00:08:07.000 --> 00:08:10.442]  It doesn't appear to be distorted through any kind of glass screen.
[00:08:11.022 --> 00:08:19.265]  There seems to be a light source behind the cloud making it pulsate and instantly morph into these new weird shapes within the blink of an eye.
[00:08:20.265 --> 00:08:21.326]  What's the explanation?
[00:08:21.366 --> 00:08:29.334]  Well, theories have certainly ranged, if you read on the forums, from geoengineering to HAARP, to hoax video editing.
[00:08:29.775 --> 00:08:38.144]  But according to meteorologist Walter Lyons, the clip shows the behaviour of a static electric charge inside the cloud.
[00:08:38.344 --> 00:08:41.167]  This is what he said to Discover Magazine.
[00:08:41.647 --> 00:08:53.435]  What you are seeing is sunlight reflecting off ice crystal faces that are constantly being oriented by the developing electric field just above the cumulonimbus top.
[00:08:54.075 --> 00:09:01.160]  Then there is a discharge in the cloud and the field collapses momentarily and the crystals begin to realign again.
[00:09:01.480 --> 00:09:03.701]  Then this just keeps happening over and over.
[00:09:03.962 --> 00:09:05.603]  That's what the expert said.
[00:09:06.283 --> 00:09:18.950]  Whether that will satisfy some of the people in the forum, some of our viewers who are having their own interpretation of this footage remains to be seen, but it's something I've never seen before and it's a fascinating clip.
[00:09:19.530 --> 00:09:22.031]  Moving back now to geopolitical news.
[00:09:22.932 --> 00:09:26.814]  Heart-eating cannibal demands Obama send weapons.
[00:09:26.854 --> 00:09:28.555]  This again out of InfoWars.com.
[00:09:29.415 --> 00:09:47.129]  The Syrian rebel fighter who infamously cut out and bit into the heart of a dead soldier has threatened to commit even worse atrocities if the Obama administration doesn't send the FSA heavy weaponry and impose a no-fly zone over Syria, as we know they've promised to do.
[00:09:48.070 --> 00:10:05.485]  In an interview with the BBC, FSA fighter Abu Sakar, who prompted international condemnation back in May when video emerged of him cutting off and eating the internal organ of a Syrian army soldier as his comrades chanted Allah Akbar, is unrepentant for his actions.
[00:10:06.530 --> 00:10:16.575]  pillorying the West for doing nothing to help the rebels, Sarkar complains, quote, if we don't get help, a no-fly zone, heavy weapons, we will do worse than I did.
[00:10:17.035 --> 00:10:18.876]  You've seen nothing yet.
[00:10:19.356 --> 00:10:33.564]  So, in this interview with the BBC, the guy who cuts out the heart and eats it is actually threatening to escalate his atrocities if Obama doesn't send weapons to him and his jihadist friends, which they've promised to do.
[00:10:34.670 --> 00:10:36.211]  The weapons are on their way.
[00:10:37.291 --> 00:10:49.858]  But first, we know from a report by Reuters which came out last night, there are congressional committees attempting to delay the delivery of weapons to these individuals who like to
[00:10:50.950 --> 00:11:03.675]  You know, barbecue people's heads, ransack Christian churches, rape and murder 15-year-old girls, throw people off buildings amongst other glorious acts, all in the name of democracy.
[00:11:04.116 --> 00:11:11.659]  These are the people that your taxpayer funds are going to support in Syria in the name of freedom and democracy.
[00:11:12.688 --> 00:11:24.121]  But as far as pretending there's any kind of distinction between the quote, the quote, good rebels and the bad rebels, which of course they tried that tactic for months, the jig is now certainly up.
[00:11:24.741 --> 00:11:29.527]  We've spoken about, you know, on the show many times, these people are on tape.
[00:11:29.807 --> 00:11:31.930]  We've got them on tape glorifying the 9-11 attacks.
[00:11:33.331 --> 00:11:39.416]  Burning American flags, even calling their fighting unit the Osama Bin Laden Brigade.
[00:11:39.996 --> 00:11:45.521]  Vowing to suicide bomb Europe and America once they're finished in Syria.
[00:11:45.921 --> 00:11:51.466]  And yet there's still a debate about whether or not these people are terrorists and whether we should arm them.
[00:11:52.674 --> 00:12:04.506]  These are the people that your government wants to give anti-aircraft missiles to, even though they're also on tape trying to bring down commercial airliners with anti-aircraft missiles.
[00:12:05.407 --> 00:12:13.034]  So, will the White House be able to arm the terrorists in Syria before the Syrian army manages to wipe them all out?
[00:12:13.535 --> 00:12:16.098]  Well, time will only tell, but...
[00:12:16.598 --> 00:12:26.807]  According to the heart-eating cannibal, the glorious freedom fighter under the FSA, if those weapons don't come soon, then the atrocities are only going to escalate.
[00:12:27.968 --> 00:12:34.654]  So as Obama prepares to arm the Syrian rebels, support stateside for him continues to wane.
[00:12:35.134 --> 00:12:42.080]  And here's recent Rock and Roll Hall of Fame inductee Chuck D from Public Enemy with an interview.
[00:12:42.140 --> 00:12:43.722]  So let's go to this clip right now.
[00:12:48.069 --> 00:12:48.429]  What's up?
[00:12:48.449 --> 00:12:49.010]  Nice to meet you.
[00:12:49.030 --> 00:12:49.991]  Nice to meet you.
[00:12:50.152 --> 00:12:51.353]  How you doing?
[00:12:51.393 --> 00:12:51.934]  What's going on?
[00:12:59.062 --> 00:13:03.705]  You've been educating people for years on the power, fighting the power.
[00:13:04.365 --> 00:13:07.107]  What do you think is the biggest source of power in the world today?
[00:13:07.407 --> 00:13:14.091]  The biggest source of power, and I think Griff could probably attest to this, is knowledge of self and knowledge of your surroundings.
[00:13:14.392 --> 00:13:19.134]  But if you have knowledge of self but you don't know your surroundings, you're kind of like getting in the same old boat again.
[00:13:20.836 --> 00:13:22.356]  The enemy is always three steps ahead.
[00:13:23.397 --> 00:13:27.460]  We're trying to gravitate our people to at least be a step behind.
[00:13:28.040 --> 00:13:29.881]  Because the enemy is treacherous.
[00:13:30.762 --> 00:13:33.964]  And they come in all shapes, forms, alien spirits.
[00:13:34.304 --> 00:13:37.046]  Right, and I think we just brought our part through the medium of music.
[00:13:37.466 --> 00:13:40.668]  And we just chose hip-hop as the medium in which to fight that particular battle.
[00:13:40.708 --> 00:13:41.048]  That's all.
[00:13:41.129 --> 00:13:41.789]  And we knew that.
[00:13:42.049 --> 00:13:48.974]  We knew that once we were able to do that in hip-hop, they would see it as fertile ground to go back into it.
[00:13:49.014 --> 00:13:50.775]  To use it to flip the people.
[00:13:51.095 --> 00:13:52.196]  But you know, that wears off.
[00:13:52.856 --> 00:13:55.582]  That wears off when you have to have the perseverance to keep going on.
[00:13:55.622 --> 00:13:58.689]  Not to say that you'll win the game, but you gotta make sure the people don't lose.
[00:14:02.517 --> 00:14:10.483]  Do you have a comment on some of the current big acts out there that kind of look like they've sold their soul and they've even admitted it in certain interviews?
[00:14:10.503 --> 00:14:13.925]  The big acts have never been attached to the people in the first place.
[00:14:14.306 --> 00:14:15.847]  That's why you don't see tours.
[00:14:16.287 --> 00:14:19.730]  If you did see a tour, you would never see them interact with the public anyway.
[00:14:20.070 --> 00:14:20.830]  It's almost like a ghost.
[00:14:23.112 --> 00:14:27.016]  So one thing I think I learned from Griff is that you always got to be aware of ghosting.
[00:14:27.036 --> 00:14:32.440]  There's a lot of ghost images where people were believing ghosts in the sky, the ground, some book.
[00:14:33.261 --> 00:14:39.967]  You gotta try to get to the physicality of something, even an enemy, and break them down to where they're at as a being.
[00:14:39.987 --> 00:14:45.551]  They might not be a human being, but they are being, and their whole goal is to be inside you.
[00:14:46.452 --> 00:14:54.657]  Tell them about that recent going overseas, playing right across the way from the Rolling Stones.
[00:14:55.198 --> 00:14:57.779]  And then looking at the press the next day and you know.
[00:14:58.900 --> 00:15:01.622]  Well we played right in the shadow of the Rolling Stones and many people.
[00:15:01.642 --> 00:15:03.983]  This was at Glastonbury, biggest festival in the world.
[00:15:04.603 --> 00:15:08.406]  And you know, I mean this country got all kinds of games.
[00:15:08.806 --> 00:15:13.369]  My crew had to go half, half the crew could go because we couldn't get out of the states.
[00:15:13.989 --> 00:15:14.610]  We played it.
[00:15:15.470 --> 00:15:17.952]  We made an impact everywhere else.
[00:15:18.033 --> 00:15:20.335]  Of course, they acknowledged it back in the United States.
[00:15:21.376 --> 00:15:26.260]  Not that they didn't acknowledge, but they acknowledged everything else except for what we try to put down.
[00:15:26.420 --> 00:15:30.003]  I mean, simple things like, don't be a dumb mother****** with a smart-ass phone.
[00:15:30.144 --> 00:15:31.365]  It's a simple thing.
[00:15:31.425 --> 00:15:32.966]  Don't have your phone smarter than you.
[00:15:32.986 --> 00:15:33.627]  It's a simple thing.
[00:15:33.667 --> 00:15:35.569]  So if they're looking at that as being
[00:15:36.525 --> 00:15:39.308]  Uh, what would you call it?
[00:15:39.348 --> 00:15:45.153]  Cultural contraband that lets you know where we're at in our society.
[00:15:45.773 --> 00:15:53.500]  You know, I mean the whole thing was, the New World Order was to blanket the world in a philosophy that makes everybody sheep.
[00:15:53.520 --> 00:15:55.963]  How do you think Obama's going to fare in this?
[00:15:56.683 --> 00:15:56.903]  Who?
[00:15:57.024 --> 00:15:58.145]  Obama, on his way out.
[00:15:58.745 --> 00:16:01.788]  Obama was on the way out on the way in.
[00:16:03.593 --> 00:16:14.276]  But it was something for those that had some kind of level of consciousness to use that time, if he's in there, to buy some time before a real enemy really comes down.
[00:16:14.576 --> 00:16:19.817]  Or I should say a thorough enemy that don't give a f**k. Like basically sending people to gas chambers legally.
[00:16:20.357 --> 00:16:31.240]  You know, Obama was enough of a facade to be able to say, I got my senses, let me get my cipher together, my surroundings together, not fall into the hype.
[00:16:32.389 --> 00:16:38.416]  When he's out of there, the next one that comes in, the question is, are we ready for the next person to come in?
[00:16:38.436 --> 00:16:43.381]  Whether he pretends to be an ally, or whether he's a straight out adversary.
[00:16:43.402 --> 00:16:48.447]  Like the Bush one, when Bush was in, he was a straight out adversary and told you.
[00:16:48.908 --> 00:16:50.249]  Yeah, that was a Bush ****.
[00:16:51.571 --> 00:16:53.973]  So, we have to look around at our people.
[00:16:54.013 --> 00:16:55.775]  That's one thing we try to do in the music.
[00:16:55.835 --> 00:16:57.057]  I mean, look, it's real simple.
[00:16:57.117 --> 00:17:00.560]  We want to use our music and culture to unite the human spirit.
[00:17:00.741 --> 00:17:07.588]  We believe that culture brings us together as human beings and defies all governments.
[00:17:07.608 --> 00:17:09.770]  We feel all governments are wicked.
[00:17:10.191 --> 00:17:11.813]  So governments like to split people up.
[00:17:13.148 --> 00:17:13.868]  We're good to go.
[00:17:41.224 --> 00:17:47.851]  So somebody has to clearly define themselves as the bearer of the bad seed and the bad fruit that go against Public Enemy.
[00:17:48.171 --> 00:17:58.102]  And there hasn't been anybody out there, musically or even in a country that has a clear definition of why we're the bad seed and they're the good seed.
[00:17:58.442 --> 00:18:01.085]  No, we're a bunch of musicians playing harmonica.
[00:18:03.606 --> 00:18:08.689]  People that have less acknowledgement are getting some credit, like my man Professor Griff.
[00:18:09.270 --> 00:18:15.354]  He instituted a lot of things in rap music and hip-hop that were unprecedented and still not duplicated to this day.
[00:18:15.554 --> 00:18:29.122]  You know, it's good to see people that have worked all these years, whether it's production like Hank Shockley, Gary G. Wiz, the S1Ws, everybody to be acknowledged in it and to keep it going on.
[00:18:29.162 --> 00:18:30.183]  You know, people want to be
[00:18:31.656 --> 00:18:33.317]  Appreciated for their effort.
[00:18:33.677 --> 00:18:35.177]  Not that everybody was looking for it.
[00:18:35.217 --> 00:18:36.357]  We wasn't looking for it.
[00:18:36.398 --> 00:18:38.998]  They came, we felt appreciative, we move on.
[00:18:39.018 --> 00:18:48.301]  Like I said, if we could take that one, if it was a one trophy, and we could break it in 10,000 pieces, you best believe we'd be still handing them out.
[00:18:52.162 --> 00:18:57.144]  Next story, US government secret move to hide files on the Osama Bin Laden raid.
[00:18:57.224 --> 00:18:59.625]  This is an article by Mike Krieger.
[00:19:00.563 --> 00:19:08.752]  And he basically points out that the story behind the Osama bin Laden raid has been one contradiction after another, as we've documented on this show.
[00:19:10.185 --> 00:19:29.321]  Of course, we've had strong indications and testimony for years that Bin Laden, in fact, died shortly after 9-11, and this was followed by a series of dodgy video and audio tapes, many of which were questioned in terms of their authenticity by respected academic bodies and other figures.
[00:19:29.341 --> 00:19:37.228]  You remember even Walter Cronkite, the famous news broadcaster, accused the Bush administration of staging the
[00:19:37.808 --> 00:19:49.500]  2004 Osama Bin Laden videotape which came out right before the elections and was in fact credited by some as securing that election for George W Bush over John Kerry.
[00:19:49.980 --> 00:19:59.790]  So we've had the speculation about the Marfan Syndrome, Osama Bin Laden being on kidney dialysis, numerous reports that he had died shortly after 9-11.
[00:20:01.843 --> 00:20:19.942]  Then we have the so-called raid itself, the May 2011 raid on his compound in Pakistan, and his supposed burial at sea, you know, getting rid of the body quicker than Tony Soprano would, the refusal by the White House to release the images of the corpse,
[00:20:20.583 --> 00:20:30.290]  And of course the hoax story about Bin Laden using his wife as a human shield, which came out immediately after the raid, later was proven to be complete nonsense.
[00:20:30.730 --> 00:20:32.331]  So now we have this.
[00:20:32.651 --> 00:20:34.152]  The Associated Press reports,
[00:20:50.983 --> 00:21:05.078]  Secretly moving the records allowed the Pentagon to tell the Associated Press that it couldn't find any documents inside the Defense Department that AP had requested more than two years ago and could represent a new strategy for the U.S.
[00:21:05.098 --> 00:21:09.503]  government to shield even its most sensitive activities from public scrutiny.
[00:21:10.416 --> 00:21:16.601]  So, you know, taking the NSA's line of logic, if you've got nothing to hide, then why not release the records?
[00:21:17.181 --> 00:21:25.808]  Why have we heard fanciful tales about Bin Laden, the latest being this bizarre story about him being stopped for speeding in Pakistan?
[00:21:26.778 --> 00:21:34.941]  Yet no hard evidence that any kind of raid which took out Bin Laden actually took place in that area of Pakistan.
[00:21:35.401 --> 00:21:44.704]  And now an attempt to hide what really happened from public scrutiny by having files removed from the Defense Department computers and shifted over to the CIA.
[00:21:45.724 --> 00:21:54.947]  You know, you don't have to be a conspiracy theorist to accept there's something about the supposed Bin Laden raid which the White House doesn't want you to know about.
[00:21:56.107 --> 00:21:58.049]  Moving on to technology news now.
[00:21:58.189 --> 00:21:59.390]  This is out of Natural News.
[00:22:00.370 --> 00:22:05.154]  3D printing machines are printing bananas and mushrooms for consumption in space.
[00:22:05.935 --> 00:22:16.203]  Astronauts headed for outer space might be bringing mechanical chefs along in the form of 3D printers capable of printing food from efforts by scientists at Cornell University.
[00:22:16.903 --> 00:22:26.272]  Gel-like substances called hydrocolloids, altered with varying flavoured agents, are producing food with different tastes and textures when printed.
[00:22:26.713 --> 00:22:30.857]  This could eliminate waste and space occupied by pre-packaged food containers.
[00:22:32.079 --> 00:22:45.671]  And did you know that this team at Cornell University has already been successful in printing fake bananas, mushrooms, and mozzarella cheese that closely resembles and tastes like the real thing?
[00:22:45.891 --> 00:22:50.255]  That's how far they've got along with this amazing 3D printing technology.
[00:22:51.482 --> 00:22:58.006]  And you know, given Moore's Law, before we know it, everyone's going to have a home kitchen, 3D printer.
[00:22:58.806 --> 00:23:09.992]  Within 5 to 10 years, Cornell's talking about the fact that the technology will be perfected to the point where you won't even be able to tell the difference between the real and the printed food.
[00:23:10.012 --> 00:23:17.517]  And eventually, of course, according to futurists, we're going to be printing entire houses and vehicles.
[00:23:18.473 --> 00:23:30.918]  As we saw, though, with Homeland Security targeting defence distributed with a 3D firearm, when people use this technology as a tool of self-empowerment, the state doesn't like it.
[00:23:31.498 --> 00:23:32.518]  Same with the Internet.
[00:23:33.058 --> 00:23:35.259]  Same with any emerging technology.
[00:23:35.599 --> 00:23:37.360]  The technology itself is neutral.
[00:23:37.720 --> 00:23:39.461]  It can be used for good or bad.
[00:23:40.061 --> 00:23:45.823]  But the establishment wants to seize and maintain the power to decide who can use it at all.
[00:23:47.881 --> 00:23:58.306]  That wraps it up for the news, but we're going to cross to Alex Jones now for a special interview with Adam Kokesh, who of course staged a bold open carry protest in Washington D.C.
[00:23:58.346 --> 00:23:59.727]  this past July 4th.
[00:24:00.187 --> 00:24:02.488]  So here's Alex with Adam Kokesh.
[00:24:07.250 --> 00:24:11.772]  Now you can watch the InfoWars Nightly News streaming live as it happens for free.
[00:24:12.272 --> 00:24:15.474]  Check it out at InfoWars.com forward slash show.
[00:24:28.752 --> 00:24:31.053]  Because there's a war on for your mind.
[00:24:31.573 --> 00:24:37.056]  That has been our motto here at InfoWars for my 18 years of battle against the globalists.
[00:24:37.616 --> 00:24:44.359]  And now we see the open announcements of global private corporate tyranny over our governments.
[00:24:44.739 --> 00:24:46.160]  That's what the New World Order is.
[00:24:46.240 --> 00:24:54.284]  It's an unaccountable private combine of organized crime engaged in corporate takeovers of nation states and the
[00:24:55.564 --> 00:25:00.906]  Conscious attempt to abolish basic rights and fundamental liberties.
[00:25:01.466 --> 00:25:05.568]  InfoWars.com is not just leading the charge against this here in the U.S.
[00:25:05.628 --> 00:25:06.368]  or North America.
[00:25:06.809 --> 00:25:09.210]  We are leading the charge worldwide.
[00:25:09.690 --> 00:25:19.434]  And that's because our listeners, our viewers, our supporters, fellow freedom lovers like you across the planet resonate with our message of liberty and telling it like it is.
[00:25:20.054 --> 00:25:32.798]  And that's why for the last two years especially, I have thrown everything I've got, my time, my energy, our backup capital, everything into really trying to awaken the sleeping giant that is humanity.
[00:25:33.219 --> 00:25:36.920]  And that's why the July issue that just came in a few days ago is so important.
[00:25:36.940 --> 00:25:42.102]  We've already sold about half the stock we have of it at cost in groups of 10 up to 100 in bulk.
[00:25:43.644 --> 00:25:55.270]  It covers the entire NSA spy grid, how it ties in worldwide, how it's not about stopping terrorists, but about suppressing and dominating and controlling the free press and political opposition.
[00:25:55.711 --> 00:26:01.014]  And in this magazine, we don't just have three free bumper stickers like I did a few months ago.
[00:26:01.354 --> 00:26:04.876]  We have ten bumper stickers, four full-size ones.
[00:26:05.396 --> 00:26:12.097]  With amazing messages guaranteed to get people thinking like America has been occupied by globalist forces.
[00:26:12.397 --> 00:26:13.437]  InfoWars.com.
[00:26:13.717 --> 00:26:16.278]  Listen to Alex Jones at InfoWars.com.
[00:26:16.678 --> 00:26:17.778]  InfoWars.com.
[00:26:18.058 --> 00:26:19.138]  Forbidden information.
[00:26:19.478 --> 00:26:20.499]  Listen to Alex Jones.
[00:26:20.839 --> 00:26:21.919]  InfoWars.com.
[00:26:22.299 --> 00:26:27.440]  And then on top of it, six medium-sized bumper stickers with the message as well.
[00:26:27.740 --> 00:26:34.341]  These are key to post in legal and lawful areas on your book bag, your computer, your car, or to give friends and family.
[00:26:35.365 --> 00:26:38.947]  I have printed 500,000 of these bumper stickers.
[00:26:39.408 --> 00:26:42.630]  Only half of this month's run of magazines has them.
[00:26:43.090 --> 00:26:48.914]  So when you purchase them in bulk, or you're a 12-month subscriber, you will get the special issue.
[00:26:49.034 --> 00:26:53.317]  And I can't afford to do this every month, so it's going to be quite a while until we do this again.
[00:26:53.697 --> 00:26:55.198]  Please take advantage of this.
[00:26:55.559 --> 00:27:00.762]  Buy them in bulk, and give them to your friends and family, and encourage them to get these bumper stickers out.
[00:27:02.464 --> 00:27:07.549]  100,000 stickers, we can reach tens of millions of people with the message of truth.
[00:27:07.689 --> 00:27:08.870]  They want to collectivize us.
[00:27:09.110 --> 00:27:10.091]  They want to bankrupt us.
[00:27:10.111 --> 00:27:13.415]  They want to drive us into their arms to control us.
[00:27:13.695 --> 00:27:14.856]  They want to dumb us down.
[00:27:15.216 --> 00:27:18.300]  But the sleeping giant that is for humanity is awakening.
[00:27:18.900 --> 00:27:20.360]  So I want to thank you all for your support.
[00:27:20.400 --> 00:27:26.922]  I want to encourage everybody to go to InfoWarsStore.com and to get a 12-month subscription or to give a gift subscription.
[00:27:26.963 --> 00:27:30.163]  Imagine 12 of these coming to your friends or family's door to wake them up.
[00:27:30.524 --> 00:27:34.645]  Or to give a gift subscription to the local police department or your local congressman or woman.
[00:27:35.285 --> 00:27:37.326]  This is how we're going to affect change.
[00:27:37.446 --> 00:27:40.087]  Voting with our dollars and voting with our time.
[00:27:40.387 --> 00:27:49.611]  Again, visit InfoWarsTore.com today to subscribe, to get the magazine in bulk, or to give a gift subscription, or to give yourself a subscription to wake up friends and family.
[00:27:50.132 --> 00:27:50.872]  I am all in.
[00:27:51.412 --> 00:27:57.955]  I am committed 110% to not mince words and to not back off and to boldly confront the globalists.
[00:27:58.115 --> 00:28:06.918]  So I want to thank all of you that have supported us in the past and I want to encourage all of you out there who may be on the fence that know this information is true but have been scared to take action.
[00:28:07.338 --> 00:28:12.460]  You had better be scared of not taking action and letting this monstrous system come to fruition.
[00:28:12.880 --> 00:28:14.861]  Now is the time to commit.
[00:28:15.361 --> 00:28:18.342]  Now is the time to say which side of history you're on.
[00:28:18.682 --> 00:28:19.943]  Now is the time.
[00:28:20.339 --> 00:28:23.783]  to stand against the Globalist and the New World Order.
[00:28:24.283 --> 00:28:34.494]  And regardless of whether you get this July issue, this July 4th resistance to tyrants issue, spread the word about liberty, resist corruption in your area.
[00:28:35.034 --> 00:28:37.857]  Millions of us doing little things can move mountains together.
[00:28:38.398 --> 00:28:42.562]  I'm Alex Jones signing off for InfoWars.com and the InfoWars team.
