[00:00:19.420 --> 00:00:20.726]  It's Tuesday, October 29th.
[00:04:14.387 --> 00:04:18.332]  So it makes perfect sense that they would, again in the name of tolerance, which is
[00:04:19.426 --> 00:04:25.829]  Any kind of free speech critical of Islam, feminism, which are political religious doctrines, have nothing to do with hate speech.
[00:04:26.429 --> 00:04:27.850]  They're really trying to ram this through.
[00:04:28.390 --> 00:04:32.692]  Section 4 of the document actually states, there is no need to be tolerant to the intolerant.
[00:04:33.113 --> 00:04:36.714]  This is especially important as far as freedom of expression is concerned.
[00:04:37.135 --> 00:04:43.518]  So in other words, stamping out intolerance, which again is criticism of political or religious doctrines,
[00:04:44.378 --> 00:04:48.544]  Trump's the free speech rights of millions of European citizens.
[00:04:49.105 --> 00:04:52.169]  This is a threat to free speech across the entire continent.
[00:04:52.609 --> 00:04:57.917]  And again, it looks like it's going to be implemented by the crazy, ludicrous EU.
[00:04:59.392 --> 00:05:00.132]  Rate shock!
[00:05:00.412 --> 00:05:06.474]  Obamacare causing 539% increase in health insurance costs for Texans, reports Mike Adams.
[00:05:07.014 --> 00:05:12.476]  It's been widely reported that Obamacare would, on average, increase costs 99% for men and 62% for women.
[00:05:15.017 --> 00:05:19.238]  Well, how about a 539% increase?
[00:05:19.839 --> 00:05:32.323]  A couple in Texas received a letter from Humana informing them that their $212 premium would be going up to $1,356 a month as a result of Obamacare!
[00:05:32.963 --> 00:05:37.925]  And they still have the temerity to call it the Affordable Healthcare Act.
[00:05:39.127 --> 00:05:45.292]  Google reportedly building more floating structures outside Bay Area, reports CBS.
[00:05:45.872 --> 00:05:54.900]  After first being spotted building something on a barge off Treasure Island, Google has now apparently started work on a second identical barge outside the Bay Area in San Francisco.
[00:05:55.600 --> 00:05:58.781]  So what secret tech projects are they working on now?
[00:05:59.341 --> 00:06:12.026]  Well, best estimates suggest that it's some kind of promotional gimmick to market Google Glass, the wearable smartphone that represents a bridge to the next level of trendy transhumanist high-tech serfdom.
[00:06:12.566 --> 00:06:16.530]  However, it appears as though the product launch has been delayed.
[00:06:17.051 --> 00:06:22.656]  Is that because Google Glass is being banned everywhere from movie theatres to cars to banks?
[00:06:22.797 --> 00:06:25.619]  Are they desperately searching for a compromise to counter this?
[00:06:26.080 --> 00:06:33.688]  We'll certainly find out soon, but the tech giant Google again involved in more mysterious, expensive, secretive projects.
[00:06:34.946 --> 00:06:41.952]  Finally, school teachers' kids, commands of government officials must be obeyed by all.
[00:06:41.972 --> 00:06:49.117]  A question on a school exam teaches children that the commands of government officials must be obeyed by all.
[00:06:49.178 --> 00:06:54.001]  That's a direct quote from the test paper, and you can see it up on screen now.
[00:06:54.902 --> 00:06:56.584]  Notice the question below as well.
[00:06:56.984 --> 00:07:01.447]  The wants of an individual are less important than the well-being of a nation.
[00:07:02.523 --> 00:07:04.564]  This is completely insidious.
[00:07:04.944 --> 00:07:11.988]  Collectivist Common Core programs brainwashing your children that government is God.
[00:07:12.949 --> 00:07:21.934]  The test was actually produced by a company called Pearson, which is a major contractor for the federal No Child Left Behind program.
[00:07:22.884 --> 00:07:25.425]  And of course, remember the MSNBC piece?
[00:07:25.505 --> 00:07:29.387]  Your children belong to the community, not their parents.
[00:07:29.927 --> 00:07:32.388]  Well, here you see what the community wants.
[00:07:32.909 --> 00:07:39.972]  They want your children to grow up believing that they're bricks in the wall of a collectivist, totalitarian tyranny.
[00:07:41.047 --> 00:07:45.391]  And Ron Paul wants 25% of American kids to be homeschooled.
[00:07:46.072 --> 00:07:54.879]  And this is yet another shining example of why you need to get your children out of the public re-education system.
[00:07:56.140 --> 00:08:02.166]  That's it for the news, but stay tuned for more special reports on this Tuesday edition of InfoWars Nightly News.
[00:08:27.486 --> 00:08:28.366]  We're on the march.
[00:08:28.847 --> 00:08:30.467]  The Empire's on the run.
[00:08:30.927 --> 00:08:33.949]  And the InfoWars Army is standing strong.
[00:08:34.309 --> 00:08:40.391]  Wake up your family, friends, and neighbors and break the matrix at InfoWarsStore.com.
[00:08:40.791 --> 00:08:48.735]  Learn the truth and spread the message of liberty with the world's most comprehensive collection of books and documentary films.
[00:08:49.495 --> 00:08:54.737]  Maintain a healthy metabolism and energize your body to perform at peak health.
[00:08:55.077 --> 00:08:57.679]  With survival shield, nascent iodine.
[00:08:58.120 --> 00:09:03.784]  Protect your family and be prepared with survival foods and emergency preparedness kits.
[00:09:04.465 --> 00:09:15.754]  And now you can drink safe water with your own ProPure water filtration system, which removes fluoride and other harmful chemicals from your family's water supply.
[00:09:16.174 --> 00:09:18.996]  Save 10% with the promo code WATER.
[00:09:19.357 --> 00:09:20.918]  So join the revolution.
[00:09:21.358 --> 00:09:22.579]  Infowarsstore.com
[00:09:26.536 --> 00:09:37.658]  Many anthropologists and archaeologists believe that before man even discovered the power to harness and use fire, we were involved in agrarian activities.
[00:09:38.138 --> 00:09:42.899]  That is, taking the seeds of plants and then replanting them to produce more.
[00:09:43.519 --> 00:09:52.521]  The very foundation of our modern civilization and human culture is centered around the planting and cultivation of edible plants.
[00:09:53.061 --> 00:09:57.885]  Here are some of the amazing deals at InfoWarsSeedCenter at InfoWarsShop.com.
[00:09:58.325 --> 00:10:07.912]  The Survival Seed Vault by My Patriot Supply features only the finest survival heirloom seeds for a robust and hardy garden, even in the toughest times.
[00:10:08.153 --> 00:10:15.518]  We also have starter varieties of the Deluxe Seed Packages for fruit, salad, salsa, peppers, medical herbs, and more.
[00:10:15.959 --> 00:10:19.801]  Go to the InfoWarsSeedCenter at InfoWarsShop.com.
[00:10:20.502 --> 00:10:21.082]  And remember,
[00:10:21.923 --> 00:10:24.324]  The revolution against tyranny is growing.
[00:10:29.006 --> 00:10:33.028]  Now we're going to go to Gigi and Etta with another installment of Tyranny Watch.
[00:10:33.349 --> 00:10:46.495]  And with the White House still denying that they knew the healthcare.gov website would be a train wreck, it's now emerged that Michelle Obama's Princeton classmate is a top executive at the firm which built the Obamacare website.
[00:10:50.029 --> 00:10:51.029]  I'm Gigi Ornette.
[00:10:51.209 --> 00:10:52.430]  Welcome to Tyranny Watch.
[00:10:53.110 --> 00:10:57.231]  Well, if you follow the money trail, you can always find the corruption.
[00:10:58.171 --> 00:11:02.212]  So the healthcare.gov money trail leads to the White House.
[00:11:02.932 --> 00:11:04.012]  Michelle Obama.
[00:11:04.773 --> 00:11:10.014]  So I guess this time the administration cannot say that they know nothing.
[00:11:10.734 --> 00:11:18.916]  Michelle Obama's Princeton classmate, Tony Towns Whitley, is a top executive at the company that earned the contract to build the failed Obamacare website.
[00:11:19.216 --> 00:11:26.037]  CGI Federal earned the no-bid contract to build the $678 million Obamacare enrollment website.
[00:11:26.317 --> 00:11:36.519]  Now there are records of Tony's visits to the White House which show she visited several times, but three of the afternoon meetings held in the old executive office building were scheduled in advance.
[00:11:37.159 --> 00:11:40.161]  And one, Friday April 26th, was not.
[00:11:40.322 --> 00:11:43.504]  Three of the meetings were held on Friday and one on Saturday.
[00:11:43.684 --> 00:11:50.589]  So before the White House denial begins yet again, Michelle Obama does actually know Tony Towns-Whitley.
[00:11:51.030 --> 00:11:51.930]  They cannot deny it.
[00:11:52.951 --> 00:11:55.894]  And another notch in the Obamacare scandal.
[00:11:56.494 --> 00:12:00.057]  During the House hearing on Obamacare implementation today, Ms.
[00:12:00.077 --> 00:12:17.131]  Tavener, the representative for CMS, admitted that yes, she does believe that the people who lost their insurance, the ones who received the letters from their insurance company saying that they would be dropped, were mostly small business owners and individuals who purchased their own insurance, such as freelancers.
[00:12:18.348 --> 00:12:18.648]  And Ms.
[00:12:18.668 --> 00:12:25.392]  Tavner also said that the new deadline for the health care glitches to be worked out of the healthcare.gov site was November 30th.
[00:12:25.752 --> 00:12:29.053]  But why does the government always wait to the last minute on everything?
[00:12:29.414 --> 00:12:31.615]  The Farm Bill H.R.
[00:12:31.635 --> 00:12:37.758]  2642 was supposed to be addressed, but here we go again, waiting till the last minute to find out if the deadline will actually get met.
[00:12:38.058 --> 00:12:39.859]  So, will we have riots on Friday?
[00:12:40.279 --> 00:12:41.041]  Fight the tyranny.
[00:12:41.081 --> 00:12:46.031]  Sign up at PrisonPlanet.tv today and give your username and password to up to 10 people.
[00:12:46.291 --> 00:12:49.557]  I'm Gigi Arnetta for Tyranny Watch on the Info Wars Nightly News.
[00:12:51.940 --> 00:13:14.663]  Now here's Leanne McAdoo with a special review of Almost Human, a new show which promotes transhumanism as well as robot cops, and how human labour is already well on the way to being completely supplanted as we move towards the technological singularity, fulfilling the predictions of people like Ray Kurzweil and Ted Kaczynski.
[00:13:17.830 --> 00:13:21.474]  Have you been wondering how frightening the future is going to be post-singularity?
[00:13:21.874 --> 00:13:27.960]  Well, a new pro-transhumanism TV show hopes to sell you on the idea of a world filled with robots.
[00:13:28.320 --> 00:13:35.267]  Almost Human takes place in 2048 LA, where detectives are forced to partner with synthetic, combat-ready androids.
[00:13:35.687 --> 00:13:40.572]  The droids have a strictly rule-based sense of reason, which is of course a trait that's perfect for
[00:13:40.572 --> 00:13:40.892]  I don't know.
[00:13:59.179 --> 00:14:05.604]  And since Dorian is such a likable robot, it forces the audience to consider what does it really mean to be human?
[00:14:05.764 --> 00:14:07.745]  I can't say that I was born, but I was made to feel.
[00:14:08.906 --> 00:14:09.286]  And I do.
[00:14:09.707 --> 00:14:10.407]  As much as you.
[00:14:11.088 --> 00:14:13.950]  Don't think a robot with human-like qualities is possible?
[00:14:14.290 --> 00:14:19.373]  Well, Google futurist Ray Kurzweil says this is probably going to happen before the end of the century.
[00:14:19.734 --> 00:14:28.560]  We're going to become increasingly non-biological to the point where the non-biological part predominates and the biological part is not that important anymore.
[00:14:29.309 --> 00:14:29.569]  Thank you.
[00:14:41.547 --> 00:14:44.309]  The non-biological part already understood it completely.
[00:14:44.529 --> 00:14:48.551]  Kurzweil also predicts that humans will be uploading their brains to computers by 2045.
[00:14:50.232 --> 00:14:55.916]  However, when Kurzweil talks about we, he's not talking about you or I, he's talking about the 1%.
[00:14:56.957 --> 00:15:07.283]  He admits in his book such technology will not be available to the general public and instead will be controlled by a technocratic elite who will attempt to become super beings by merging with machines.
[00:15:07.543 --> 00:15:18.167]  This dystopic future will see the mass of humanity trapped in their limited organic bodies, while the elite will become vastly more intelligent due to cybernetic brain interface upgrades.
[00:15:18.467 --> 00:15:34.614]  People involved in unskilled labor will become unnecessary when their jobs are replaced by machines, inevitably leading to the mass of humanity being seen as worthless parasites by the elite, who will either prevent them from reproducing via mass sterilization programs, or simply slaughter them outright.
[00:15:35.054 --> 00:15:36.477]  You think your job is safe?
[00:15:36.697 --> 00:15:41.565]  Well, they're even replacing your everyday sign spinner with robotic mannequins.
[00:15:44.670 --> 00:15:48.614]  But you still don't think the elite are planning to cull the useless herd?
[00:15:48.974 --> 00:15:59.284]  Well, in addition to forced vaccinations and GMOs destroying 2nd and 3rd generations, schools are now teaching population reduction as a way to save the planet!
[00:15:59.584 --> 00:16:06.111]  We reported in March on the Chinese eugenics factory that collects genius DNA to breed enhanced people.
[00:16:06.471 --> 00:16:15.558]  While Americans show some reservations with playing God, according to one of the geniuses selected for the program, the Chinese are all about breeding superior humans.
[00:16:16.178 --> 00:16:22.583]  And Google just announced Calico, a new company whose ultimate purpose is to radically extend the human lifespan.
[00:16:23.464 --> 00:16:25.405]  For those who can afford it, of course.
[00:16:26.126 --> 00:16:28.788]  Reporting for the InfoWars Nightly News, I'm Leigh Ann McAdoo.
[00:16:33.777 --> 00:16:43.941]  And if you're watching this on YouTube, which a lot of people do, you can actually get access to this as it's broadcast on the day it goes out if you subscribe at PrisonPlanet.tv.
[00:16:44.402 --> 00:16:48.944]  Still for the low price of £5.95 a month, you can share your passcode with up to 10 people.
[00:16:49.784 --> 00:17:06.950]  And not only do you get exclusive high-quality access to the nightly news, you get live video streaming of the Alex Jones Radio Show every single day, as well as access to a multitude of different special reports, speeches, behind-the-scenes footage, special events.
[00:17:07.511 --> 00:17:09.611]  And of course, it all goes to support this network.
[00:17:09.651 --> 00:17:11.992]  Without you, we would be out of existence.
[00:17:12.973 --> 00:17:18.915]  You fund the network, you support us, you allow us to continue to expand here at InfoWars.
[00:17:19.455 --> 00:17:26.857]  So it's all down to you and again you can you can share the Pasco with 10 people so you can wake people up with this tool of information.
[00:17:27.157 --> 00:17:30.917]  So please subscribe at PrisonPlanet.tv.
[00:17:31.658 --> 00:17:42.900]  I'm going to go to break now but coming up Jacari Jackson talks to the author of White Girl Bleed A Lot Colin Flaherty about the rise in black on white violence and why it goes underreported in the media.
[00:18:07.463 --> 00:18:14.228]  Alex Jones here to warn you about some of the most important health information you may ever hear.
[00:18:14.869 --> 00:18:22.515]  I'm talking about radiation, radioactive fallout, radioactive particles contaminating the Northern Hemisphere.
[00:18:23.476 --> 00:18:32.963]  Conservatively, since the 1940s, the Northern Hemisphere of our planet has more than doubled its background radiation.
[00:18:33.483 --> 00:18:36.065]  In fact, that was before Fukushima exploded.
[00:18:37.077 --> 00:18:38.938]  Now the levels are going up and up and up.
[00:18:39.058 --> 00:18:45.161]  Fish are contaminated in the Pacific, and the FDA, the EPA, and others, they're not worried about it.
[00:18:45.601 --> 00:18:49.543]  They've been raising the levels of what they claim is safe radioactive particles.
[00:18:50.244 --> 00:19:00.049]  So after more than two years of research into how to protect my family, looking at all the literature, talking to the experts, across the board they agreed iodine is key.
[00:19:01.260 --> 00:19:01.900]  Thanks for watching.
[00:19:18.550 --> 00:19:19.430]  It's not my opinion.
[00:19:19.950 --> 00:19:27.472]  It is admitted that iodine is essential for the health of our bodies overall and nascent iodine is the best form.
[00:19:27.932 --> 00:19:30.893]  Now, we're announcing the launch of Infowarslife.com.
[00:19:30.913 --> 00:19:35.835]  We're going to bring you scores of products over the next few years that we're researching and developing.
[00:19:36.215 --> 00:19:41.116]  But nascent iodine is the first product we're coming out with because it's so important
[00:19:41.556 --> 00:19:45.078]  And it's also listed as a fluoride detoxer.
[00:19:45.098 --> 00:19:46.879]  It does so many other things.
[00:19:47.279 --> 00:19:48.420]  Your body needs it.
[00:19:48.700 --> 00:19:55.143]  And when you don't have enough iodine, forget the radiation, your thyroid absorbs the sodium fluoride and other things.
[00:19:55.403 --> 00:20:02.727]  Nascent Iodine and InfoWars Life Survival Shield in double strength at half the cost of the leading competitors.
[00:20:03.147 --> 00:20:06.429]  Please visit InfoWarsLife.com today.
[00:20:11.161 --> 00:20:11.821]  And welcome back.
[00:20:12.282 --> 00:20:13.842]  Our guest tonight is Colin Flaherty.
[00:20:13.922 --> 00:20:18.045]  He's a journalist for WorldNetDaily and also the author of White Girl Bleed A Lot.
[00:20:18.285 --> 00:20:19.425]  He joins us now via Skype.
[00:20:19.886 --> 00:20:20.846]  Thanks for joining us, Colin.
[00:20:22.127 --> 00:20:22.767]  Honor to be here.
[00:20:23.287 --> 00:20:25.909]  So tell us a little bit about your book and what prompted you to write it.
[00:20:27.366 --> 00:20:28.407]  White girls bleed a lot.
[00:20:28.827 --> 00:20:37.173]  The return of racial violence to America and how the media ignore it is about an epidemic of black mob violence all over the country.
[00:20:37.674 --> 00:20:47.841]  I wrote it because I kept seeing, kept reading these accounts in newspapers of teenagers blowing off steam or having a little fun, and it kept happening over and over again.
[00:20:48.261 --> 00:20:55.607]  Then I saw what they were really doing on YouTube, and what I saw on YouTube, for example, in Philadelphia, I saw a thousand black people
[00:20:56.027 --> 00:21:02.049]  Running down the street, pulling people out of cars, going into restaurants, stealing stuff, destroying property.
[00:21:02.589 --> 00:21:07.290]  There's an enormous gap between what the newspaper said was happening, what was really happening.
[00:21:07.570 --> 00:21:10.011]  I kept asking reporters what was going on.
[00:21:10.071 --> 00:21:11.471]  They kept saying nothing, nothing.
[00:21:11.811 --> 00:21:13.552]  That's when I knew I had to write a book about it.
[00:21:14.612 --> 00:21:16.753]  So anything in particular?
[00:21:17.093 --> 00:21:18.033]  Give us the highlights of the book.
[00:21:19.574 --> 00:21:38.578]  Well, let me see, the one story that surprises everybody is, well, the book documents over 500 cases of black mob violence in over 100 cities, not just the big cities, Detroit, Baltimore, Chicago, New York, Philadelphia, but how about places like Peoria, Springfield, Illinois?
[00:21:38.598 --> 00:21:40.178]  How about Des Moines, Iowa?
[00:21:40.558 --> 00:21:41.839]  The Iowa State Fair, 2011.
[00:21:43.699 --> 00:21:48.383]  Three nights in a row, black mobs beat up white people in and out of the fair.
[00:21:48.723 --> 00:21:50.865]  They were calling it Beat Whitey Night.
[00:21:51.385 --> 00:21:57.850]  So finally, a couple reporters went to the police spokeswoman and said, Lori Loverato said, Lori, what's up with all this?
[00:21:57.910 --> 00:22:00.452]  Is this, are black people beating up white people?
[00:22:00.812 --> 00:22:03.474]  She said, I don't know why it's happening, but yes, it's happening.
[00:22:03.914 --> 00:22:08.718]  She got fired the next day for telling the truth about racial violence.
[00:22:09.338 --> 00:22:14.201]  And so multiply the Iowa State Fair times 500, 600, 700, 1,000.
[00:22:14.782 --> 00:22:17.083]  And that's what the book is about.
[00:22:17.103 --> 00:22:27.109]  So what do you think this disparity is when we have a particular race or group that's not being portrayed adequately or shown adequately as far as the violence that they inflict?
[00:22:28.530 --> 00:22:33.994]  You know, when I turn on cable TV networks, I see a million explanations for what we're talking about.
[00:22:35.017 --> 00:22:35.897]  So it's interesting.
[00:22:35.958 --> 00:22:41.060]  The liberals on one hand deny it's happening, but on the other hand, in the same breath, they always explain why it's happening.
[00:22:41.300 --> 00:22:43.281]  So in the book, I don't do causes.
[00:22:43.561 --> 00:22:44.462]  I don't do solutions.
[00:22:45.002 --> 00:22:46.743]  I also don't do apologies.
[00:22:47.043 --> 00:22:48.584]  So I know the how it's happening.
[00:22:48.864 --> 00:22:52.466]  I keep documenting how, but I don't do the why.
[00:22:52.566 --> 00:22:53.206]  Because you know what?
[00:22:53.406 --> 00:22:54.627]  I don't know why it's happening.
[00:22:56.101 --> 00:22:59.562]  Well let me ask you this, we're talking about maybe things being underreported.
[00:23:00.142 --> 00:23:07.444]  Have you ever encountered a situation in your investigations of maybe something being trumped up to be a racial attack when maybe it's not?
[00:23:07.504 --> 00:23:12.165]  For example, let's say two guys are involved in a car accident, one may be white, one may be black.
[00:23:13.005 --> 00:23:20.828]  You know, a road raid situation occurs and these guys get in a fist fight and maybe that's reported as a racial attack instead of a road rage incident.
[00:23:20.848 --> 00:23:22.328]  Have you ever encountered anything like that?
[00:23:23.203 --> 00:23:35.210]  Well, when I do encounter over-reporting of racial violence, probably 99 times out of 100, it's misreporting of white violence against a black person.
[00:23:35.610 --> 00:23:37.351]  Most of the crimes I talk about,
[00:23:42.034 --> 00:23:47.578]  Do not feature somebody carrying a sign or uttering racial expletives in front of witnesses.
[00:23:48.579 --> 00:23:50.420]  That's what happened a couple days ago in Brooklyn.
[00:23:50.440 --> 00:23:56.305]  Ten black people beat up a couple of white people in broad daylight muttering expletives.
[00:23:56.845 --> 00:23:58.927]  Most of my stuff is not that convenient.
[00:23:59.347 --> 00:24:09.395]  So what I do is I just show this pattern over a long period of time how black mob violence exists exponentially out of proportion and so
[00:24:10.055 --> 00:24:21.429]  Every incident by itself is really insignificant, but once you string them together, that's when there's only one conclusion, which is there's something strange going on, and I'm not 100% sure what it is.
[00:24:22.410 --> 00:24:23.872]  Can you elaborate a little bit more on that?
[00:24:24.912 --> 00:24:27.873]  Well, yeah.
[00:24:28.533 --> 00:24:29.253]  Look at Friday.
[00:24:29.933 --> 00:24:35.035]  Friday at Howard University, the oldest and most venerated black college in America.
[00:24:36.335 --> 00:24:38.936]  They had a race ride at Howard University on Friday.
[00:24:39.296 --> 00:24:41.897]  When I say a race ride, that means everybody involved was black.
[00:24:42.597 --> 00:24:43.577]  There was a concert.
[00:24:44.358 --> 00:24:46.178]  The star of the concert was 2 Chainz.
[00:24:46.659 --> 00:24:53.961]  For people who aren't fuddy-duddies like me, I'll remind people 2 Chainz's biggest hit is Start a Riot.
[00:24:54.421 --> 00:24:57.282]  Last time I looked, it had 12 million hits on YouTube.
[00:24:57.343 --> 00:24:58.463]  Probably has 13 now.
[00:24:59.163 --> 00:25:03.865]  So 2 Chainz is on stage at Howard University at Homecoming.
[00:25:04.665 --> 00:25:05.506]  A bunch of people.
[00:25:05.546 --> 00:25:06.586]  The concert was sold out.
[00:25:06.906 --> 00:25:10.268]  Hundreds and hundreds and hundreds of people are outside trying to get in.
[00:25:10.688 --> 00:25:11.209]  Couldn't get in.
[00:25:11.229 --> 00:25:12.489]  They started hopping the fence.
[00:25:12.890 --> 00:25:15.511]  They started breaking the fence down, fighting with police.
[00:25:16.091 --> 00:25:20.774]  Eight or nine people went to the hospital, including two cops, one broken leg.
[00:25:22.075 --> 00:25:23.736]  Question, did you hear about that?
[00:25:25.157 --> 00:25:26.718]  Not until this morning.
[00:25:26.738 --> 00:25:31.060]  I was actually researching our interview for today, but that's my first time hearing about it.
[00:25:31.120 --> 00:25:35.763]  I will agree with you there that it was very underreported in the news.
[00:25:36.374 --> 00:25:40.135]  A couple days before that, same thing happened at Virginia State University.
[00:25:40.435 --> 00:25:40.975]  Homecoming.
[00:25:41.295 --> 00:25:45.716]  Two to three hundred black people rampaging through the university, beating people up.
[00:25:45.796 --> 00:25:46.756]  Somebody got stabbed.
[00:25:47.136 --> 00:25:48.357]  One person got arrested.
[00:25:49.137 --> 00:25:50.557]  This is a very, very long list.
[00:25:51.537 --> 00:26:02.860]  But when you say a race riot, was either one of those situations where the people targeted any specific racial group or was it just happened to be a large amount of black people or whites or whatever?
[00:26:03.957 --> 00:26:05.879]  I don't say it just happened to be.
[00:26:06.520 --> 00:26:20.773]  I used to say it just happened to be until I started researching and finding out that when this happens it's exponentially out of proportion and that's the only reason I could write the book because there's an enormous amount of videotape now.
[00:26:21.093 --> 00:26:23.135]  And so, were they targeting white people?
[00:26:23.355 --> 00:26:24.597]  Sometimes that's the way it works.
[00:26:25.297 --> 00:26:34.184]  Sometimes they target Asians, sometimes gay people, sometimes old people, sometimes young people, sometimes other black people.
[00:26:35.986 --> 00:26:38.628]  Sometimes the mobs are small, sometimes they're big.
[00:26:38.968 --> 00:26:45.634]  But there's always one thing, the central organizing feature of much of this violence is that the people involved are black.
[00:26:46.434 --> 00:26:56.583]  Exponentially out of proportion, many on video, and that's why I wrote the book because too many people and newspaper business were way too invested in not talking about it.
[00:26:58.025 --> 00:27:03.850]  Okay, well our time is short so just tell us where we can find your book and your other works and what else do you have coming up next?
[00:27:04.916 --> 00:27:06.037]  My book's easy to find.
[00:27:06.117 --> 00:27:07.698]  It's at Amazon, Barnes & Noble.
[00:27:07.958 --> 00:27:12.220]  It's at the Infowars.com store.
[00:27:12.661 --> 00:27:15.823]  My stories primarily appear at WND.com.
[00:27:16.123 --> 00:27:20.585]  They also appear at Infowars front page, American Thinker.
[00:27:21.066 --> 00:27:24.868]  Thomas Sowell just wrote a big column about it, my book, last week.
[00:27:25.268 --> 00:27:26.589]  Alan West posted it on his
[00:27:27.149 --> 00:27:31.533]  A Facebook page saying, finally a reporter who's tough enough to look at these stories.
[00:27:32.173 --> 00:27:34.976]  There's a lot of stories out there and nobody's talking about it.
[00:27:35.376 --> 00:27:38.819]  And the psychiatrists tell us we're only as sick as our secrets.
[00:27:39.399 --> 00:27:42.642]  There's a lot of sick things in this country masquerading as normal.
[00:27:42.942 --> 00:27:44.463]  That's what this book is about.
[00:27:44.483 --> 00:27:47.406]  Alright, Colin Flaherty, White Girl Bleed A Lot.
[00:27:47.426 --> 00:27:48.387]  Thank you for your time, sir.
[00:27:49.167 --> 00:27:49.948]  An honor to be here.
[00:27:51.357 --> 00:27:55.578]  And you can pick up a copy of Collin's book, White Girl Bleed A Lot, at the Info Wars shop.
[00:27:55.939 --> 00:27:58.820]  So make sure you stop by there and check out our other great products as well.
[00:27:59.220 --> 00:28:03.081]  And also, stop by PrisonPlanet.tv and get yourself a 15-day free trial.
[00:28:03.421 --> 00:28:11.204]  You can get the Alex Jones Show, the Nightly News, the Ransom Special Reports, and don't forget, when Obama Deception 2 comes out, it will be right there on PrisonPlanet.tv as well.
[00:28:11.544 --> 00:28:15.005]  Well, I'm Jakari Jackson for the Info Wars Nightly News, and we'll see you tomorrow night.
