[00:00:00.089 --> 00:00:01.309]  Network.
[00:09:28.398 --> 00:09:30.819]  We told you about it 22 months ago when the whole thing started.
[00:09:31.775 --> 00:09:38.877]  It's a plan to turn the entire Middle East over to Wahhabist al-Qaeda run by Saudi Arabia itself run by the megabanks.
[00:09:39.597 --> 00:09:44.019]  So at the bottom of the hour I'll do a special report on that and give you the latest.
[00:09:44.039 --> 00:09:45.819]  In fact we have a skeleton crew today.
[00:09:45.899 --> 00:09:47.780]  One of our guys is out taking care of a sick child.
[00:09:48.860 --> 00:09:50.201]  It's in yesterday's stack.
[00:09:51.421 --> 00:10:02.486]  Can you guys re-pull the London Independent and a couple others, where the Prime Minister of Algeria is saying, you know, the West is behind these staged terror attacks as a pretext to invade our countries.
[00:10:02.506 --> 00:10:05.748]  There's guys with blonde hair and blue eyes attacking our facilities.
[00:10:06.368 --> 00:10:09.350]  And then they pull out, and then the West gets to come in.
[00:10:09.710 --> 00:10:11.151]  See, I've seen this over and over again.
[00:10:11.851 --> 00:10:18.114]  Operation Gladio, Ajax, Tonkin, staging events, or even having real attacks.
[00:10:18.214 --> 00:10:19.895]  Northwoods talks about shooting up
[00:10:20.775 --> 00:10:24.276]  Americans in shopping malls and movie theaters and on the streets.
[00:10:25.017 --> 00:10:27.838]  Declassified in 2000, September 2000.
[00:10:28.298 --> 00:10:34.160]  And the plan was killed by President Kennedy, but later given a new name and engaged in that.
[00:10:34.260 --> 00:10:37.301]  That's why we have to say, could these events be staged?
[00:10:37.321 --> 00:10:41.443]  And then when they have the telltale signs, then it moves into, it's a probability they are.
[00:10:42.626 --> 00:10:43.867]  Especially Colorado.
[00:10:44.248 --> 00:10:48.912]  I mean, that is cartoon level, where he's getting DARPA funding and mind control.
[00:10:49.252 --> 00:10:55.238]  He's got a top Air Force psychiatrist who's been the head of whole operations at entire bases in San Antonio.
[00:10:56.159 --> 00:10:58.221]  Over him, meeting with him multiple times a week.
[00:10:58.681 --> 00:11:01.484]  They're talking about national security and the police don't want.
[00:11:02.244 --> 00:11:07.049]  It released his workbook with her, where he reportedly was planning to do all this.
[00:11:08.558 --> 00:11:09.338]  You want me to keep going?
[00:11:09.599 --> 00:11:16.683]  Witnesses of multiple shooters, all the rest of it, him in the jail saying, I don't remember who I am, obviously drugged out of his mind.
[00:11:17.183 --> 00:11:30.652]  I mean, we already knew this, but it came out in the LA Times that Theodore Kaczynski, the Unabomber, was under CIA mind control and it was declassified
[00:11:31.701 --> 00:11:38.849]  That he had been a volunteer to MKUltra and had disappeared into the program for close to 30 years.
[00:11:38.889 --> 00:11:46.757]  He entered it in the mid-60s as a PhD student, disappears for decades, and starts bombing prominent scientists and people.
[00:11:50.700 --> 00:12:00.737]  And his letters are how we've got to exterminate the majority of humanity or they're going to destroy the earth, but the elite are planning to kill us anyways, so we've got to stop that.
[00:12:00.797 --> 00:12:01.698]  I mean, what is this?
[00:12:04.161 --> 00:12:08.105]  And the media's like, Alex Jones thinks it's mind control!
[00:12:08.425 --> 00:12:09.266]  No such thing!
[00:12:09.286 --> 00:12:14.410]  I mean, they probably had more than 30 mainstream articles, Daily Beast, you name it.
[00:12:15.131 --> 00:12:20.456]  Time Magazine saying, for some reason, Jones went and watched Batman and found Sandy Hook in it.
[00:12:20.996 --> 00:12:22.197]  And now says it's behind it.
[00:12:22.217 --> 00:12:22.437]  No, no.
[00:12:22.737 --> 00:12:31.562]  We said before Batman came out that from analyzing it and the previous franchise, it is a film full of psychological triggers.
[00:12:32.222 --> 00:12:34.824]  And then the movie comes out and Sandy Hook's in it.
[00:12:35.084 --> 00:12:43.929]  And then we find out hundreds of media people were mailed Bane command charts showing the mass terror attack points like Sandy Hook and others.
[00:12:46.616 --> 00:12:47.797]  You're like, well this is bizarre.
[00:12:48.137 --> 00:12:49.137]  I know it's bizarre.
[00:12:49.297 --> 00:12:53.399]  This is the gang signs the globalists also use to communicate with each other.
[00:12:53.880 --> 00:12:55.120]  I don't believe in all this.
[00:12:55.320 --> 00:12:55.760]  They do.
[00:12:56.241 --> 00:12:58.382]  I don't go to Bohemian Grove and worship a big owl.
[00:12:58.402 --> 00:13:04.885]  You know, I'm not Jimmy Savelle, the top royal confidant.
[00:13:06.343 --> 00:13:22.068]  Who, it turns out, is a satanist and a mass child molester, running big children's charities and hanging out and having keys and the highest national security clearances into the royal family and bragging, I supply them things, and they've declared national security on that?
[00:13:23.086 --> 00:13:40.872]  They just declared national security on him, quote, supplying things, he publicly bragged, at elite parties with the Prime Ministers, and the Queen, and Prince Charles, and all of them, and the guy is a devil worshiping pedophile.
[00:13:46.809 --> 00:13:47.970]  And by the way, I've analyzed it.
[00:13:47.990 --> 00:13:50.671]  The main banking structure is moving to Frankfurt, Germany.
[00:13:51.152 --> 00:13:56.275]  This is high-level blackmail by the European Illuminati against the British Empire.
[00:13:56.635 --> 00:13:57.996]  High-level wars going on.
[00:13:58.176 --> 00:14:00.097]  That's why this is being released now that he's dead.
[00:14:00.357 --> 00:14:03.019]  This has been known for decades at the BBC where he worked.
[00:14:04.560 --> 00:14:12.225]  And they're now going, you're going to do what we say, we're going to run the New World Order, because the Skeksis are all battling over the throne.
[00:14:12.918 --> 00:14:13.278]  Right now.
[00:14:13.678 --> 00:14:15.159]  The New World Order is almost complete.
[00:14:15.659 --> 00:14:16.800]  It's entering the endgame.
[00:14:17.020 --> 00:14:20.182]  And now they're going to start battling over who gets the throne.
[00:14:20.542 --> 00:14:22.123]  Who gets the ring of Mordor.
[00:14:23.343 --> 00:14:24.144]  Of Morgoth.
[00:14:28.105 --> 00:14:33.548]  And you wonder why everything they do is so diabolical and so twisted and so evil and so sick and so filthy.
[00:14:33.568 --> 00:14:39.271]  I mean, if you're a new listener and you're like, well, who's Jimmy Savelle?
[00:14:42.028 --> 00:14:43.529]  Well, who's Jerry Sandusky?
[00:14:44.370 --> 00:14:52.836]  Raping children in front of people at high noon in a field house, which is like the main entrance of an airport.
[00:14:54.257 --> 00:14:55.358]  You've never been inside a field house.
[00:14:55.418 --> 00:15:00.201]  I mean, it's people coming and going constantly, even at night, especially to college.
[00:15:03.283 --> 00:15:04.764]  And then, of course, it came out higher.
[00:15:04.965 --> 00:15:07.046]  The whole top of the university was covering it up.
[00:15:07.346 --> 00:15:10.889]  Of course, he was just the procurer of the children.
[00:15:12.267 --> 00:15:13.768]  You're like, man, Alex, why are you telling us this?
[00:15:14.049 --> 00:15:15.850]  Because they're monsters, that's why.
[00:15:16.831 --> 00:15:24.398]  You don't get into the club with these people unless you are very, very, very, very sick.
[00:15:27.661 --> 00:15:29.702]  Again, I've talked a lot about this because he wrote about it.
[00:15:30.023 --> 00:15:39.111]  Hitler loved to go to the front in Poland and France and then with Russia until they started getting beaten and he pulled back to the Wolf's Lair, the Wolf's Den,
[00:15:43.382 --> 00:15:43.502]  He's
[00:16:02.301 --> 00:16:13.192]  Sometimes for days, taking amphetamines and eating pastry after pastry, he could not draw himself away from watching his bombers bomb and burn major cities.
[00:16:15.154 --> 00:16:17.477]  And he just described it as absolutely beautiful.
[00:16:23.430 --> 00:16:34.755]  And so you need to figure out, folks, if you don't tie government down with the chains of the Bill of Rights and Constitution, if you don't put government on a very short leash, it will put you on one.
[00:16:39.437 --> 00:16:46.640]  And I just went off into... And I'll cover it at the bottom of the hour after I get to Nightline.
[00:16:47.641 --> 00:16:48.581]  At the bottom of the hour.
[00:16:49.762 --> 00:16:50.442]  I heard that
[00:16:52.199 --> 00:16:57.621]  Last week, but then I was leaving town Thursday night to go out to the desert to do some hiking with my son and others.
[00:16:59.181 --> 00:17:02.242]  And would've brought my daughter if they're too little to hike four miles up a mountain.
[00:17:02.262 --> 00:17:03.223]  I'm surprised he did it.
[00:17:03.363 --> 00:17:04.443]  He did a pretty good job.
[00:17:08.645 --> 00:17:11.205]  We were ready to turn back anytime he wanted to, but he said he wanted to go to the top.
[00:17:13.026 --> 00:17:15.987]  Rob Deuce, who's even younger, climbed it too.
[00:17:19.908 --> 00:17:21.329]  So I heard you got Nightline.
[00:17:22.403 --> 00:17:27.888]  Did a piece on you, and I just figured it would be the piece they did two and a half years ago.
[00:17:30.610 --> 00:17:33.392]  And it is the old piece, but they added some new stuff to it.
[00:17:38.156 --> 00:17:50.767]  And it's another window into the mindset of these guys, because in the piece coming up, and I'm going to recap this, you'll notice that I, he says, you know, I say, well, you know, first you guys said there wasn't a world government.
[00:17:52.245 --> 00:17:55.588]  And now you're just saying, well, it's not a bad world government.
[00:17:55.628 --> 00:17:57.590]  And he goes, I'm not even saying there is a world government.
[00:17:58.271 --> 00:18:00.854]  Like what he says is what makes reality.
[00:18:01.454 --> 00:18:06.940]  Like when your child tells you, you know, I didn't drink milk out of the jug and you got a mustache.
[00:18:06.980 --> 00:18:07.840]  I just saw you do it.
[00:18:08.601 --> 00:18:09.242]  Don't lie to me.
[00:18:13.368 --> 00:18:15.389]  And it's the same thing, and I say, that's why you're discredited.
[00:18:15.810 --> 00:18:21.333]  See, what you don't know is, 30 minutes before, they wanted to go shoot outside at a local park.
[00:18:21.994 --> 00:18:42.428]  30 minutes before, we're in my office, right in, out there, with a bunch of clips lined up of world leaders describing world government, congressional record on world government, CFR quotes, where they said it, what bimonthly foreign affairs journal they said it, and I had it all for him, and he watched a few clips, and he goes, well that's a different world government.
[00:18:43.508 --> 00:18:46.332]  That's a good world government, not the world government you're talking about.
[00:18:46.612 --> 00:18:56.604]  So 30 minutes later, I'm out there in a park, where they want to do a different part of the interview, and I go, first you say there's no world government, now you're saying it's not a bad world government, it's a different world government.
[00:18:56.644 --> 00:18:59.727]  He goes, no, I'm not even agreeing there is one.
[00:19:01.369 --> 00:19:03.272]  And that's why I say, that's why you're discredited.
[00:19:04.687 --> 00:19:08.809]  But people watching that, see, I'm talking to him like he's a real person.
[00:19:09.530 --> 00:19:15.713]  And then he said I went to dinner with him and I was nice, so that discredits me because I'm not this wild man in person.
[00:19:16.073 --> 00:19:21.316]  I was trying as a human to communicate with them because the guy's the host of ABC Nightly News.
[00:19:23.698 --> 00:19:26.439]  And that's still got four or five million viewers a night.
[00:19:27.159 --> 00:19:31.122]  That's still got some of the big old numbers of Dinosaur Media, one of the only bastions of it.
[00:19:31.402 --> 00:19:33.323]  Nightline, you know, has got two or three million.
[00:19:34.304 --> 00:19:42.445]  And I'm sitting there, and then they use that in the piece like, behind the scenes he was nice.
[00:19:43.346 --> 00:19:46.466]  And look, here he is throwing a football and he doesn't know anybody's watching.
[00:19:47.206 --> 00:19:49.147]  And in my memory serves, they go, what's this football?
[00:19:49.207 --> 00:19:50.607]  Oh, you play football, like that was bad.
[00:19:50.627 --> 00:19:51.827]  I go, yeah, with my son.
[00:19:52.247 --> 00:19:53.447]  We're like, oh, here, let's toss it.
[00:19:53.728 --> 00:19:57.268]  I mean, they knew that that was being videotaped.
[00:19:57.588 --> 00:20:00.089]  They imply that I was secretly throwing a football.
[00:20:00.349 --> 00:20:01.549]  I mean, it's bizarre.
[00:20:02.009 --> 00:20:05.871]  Looking back on 2012, we ask ourselves, how did we ever survive?
[00:20:05.991 --> 00:20:13.215]  From natural disasters like Hurricane Sandy and the devastating summer drought, to the family hardships brought on by a disastrous economy.
[00:20:13.495 --> 00:20:15.897]  Our hearts go out to those that have lost everything.
[00:20:16.197 --> 00:20:22.560]  At eFoods Direct, we hear from customers every day that are fortunate enough to weather life's storm by having a supply of food on hand.
[00:20:22.800 --> 00:20:23.941]  After Hurricane Sandy,
[00:20:24.221 --> 00:20:32.851]  Danny from New York City wrote, almost all of the grocery stores are closed, but I managed to get my e-foods just in time to be able to help my sister and niece.
[00:20:33.231 --> 00:20:36.996]  It is better to be prepared ten years too early than one day too late.
[00:20:37.216 --> 00:20:39.078]  I can warn you, but I can't feed you.
[00:20:39.258 --> 00:20:41.439]  Heed the warnings and do what Alex has done.
[00:20:41.559 --> 00:20:48.962]  Call 800-409-5633 today or go to efoodsdirect.com slash Alex and build your food supply.
[00:20:49.183 --> 00:20:52.964]  It's the best tasting non-GMO long-term storable food on the planet.
[00:20:53.104 --> 00:20:54.845]  Call 800-409-5633 or efoodsdirect.com slash Alex.
[00:20:54.905 --> 00:20:57.046]  You can bet your life on eFoodsDirect.
[00:21:03.168 --> 00:21:05.430]  Feeling like there are too many pressures and demands on you?
[00:21:05.890 --> 00:21:08.191]  Losing sleep worrying about tests and schoolwork?
[00:21:08.412 --> 00:21:10.753]  Eating on the run because your schedule is just too busy?
[00:21:11.774 --> 00:21:15.436]  You may be under too much stress, and it may be affecting your mind.
[00:21:15.776 --> 00:21:20.880]  Get your mental edge back with Nootropic Mind Power from MindRegard.com.
[00:21:21.260 --> 00:21:25.063]  Nootropic Mind Power is not a drug, but a natural supplement.
[00:21:25.503 --> 00:21:31.387]  Its 12 powerful ingredients are natural and non-GMO, plus it's gluten-free, wheat-free,
[00:21:31.727 --> 00:21:32.328]  We're good to go!
[00:22:01.348 --> 00:22:04.049]  Making the right decisions is a challenge to investors.
[00:22:04.289 --> 00:22:08.251]  Are we going to see economic growth slide into a recession or at worst depression?
[00:22:08.451 --> 00:22:10.512]  Hi, Ted Anderson from Midas Resources.
[00:22:10.713 --> 00:22:15.735]  We all know when a company acts irresponsibly, divesting ourselves in a move towards safety is prudent.
[00:22:15.875 --> 00:22:17.636]  When the market becomes volatile, U.S.
[00:22:17.696 --> 00:22:19.037]  Treasuries are a safe haven.
[00:22:19.237 --> 00:22:20.677]  But what do you do when the U.S.
[00:22:20.717 --> 00:22:23.779]  government overextends itself and spends beyond its means?
[00:22:24.099 --> 00:22:29.121]  Many investors are turning toward gold as a common-sense alternative to traditional paper investments.
[00:22:29.461 --> 00:22:38.584]  Midas Resources has put together a powerful book titled 10 Reasons to Own Gold, discussing costs, benefits, risks, featuring full-color illustrations, weights, and measures.
[00:22:38.804 --> 00:22:41.105]  The book is free and can be yours by calling 800-686-2237.
[00:22:41.145 --> 00:22:42.865]  Paper investments are dwarfed by gold's 6,000-year history.
[00:22:47.447 --> 00:22:53.870]  Discover how gold may be right for you and your IRA by calling 800-686-2237.
[00:22:54.010 --> 00:22:57.151]  Whether buying or it's time for you to sell, the book is free.
[00:22:57.311 --> 00:22:57.991]  Call 800-686-2237.
[00:22:59.132 --> 00:23:05.134]  Weakened by GMOs, stressed out about money, and blasted by the electric environment.
[00:23:05.454 --> 00:23:09.396]  Hi, I'm Pastor Jenny, and that was the state I was in back in 2010.
[00:23:09.756 --> 00:23:11.657]  Then I learned about RNA drops.
[00:23:11.917 --> 00:23:11.937]  I
[00:23:30.228 --> 00:23:36.030]  A 100% natural formula designed to turn on those switches and provide me with amazing health and joy.
[00:23:36.270 --> 00:23:39.451]  Learn more about RNA Drops and order a free sample today.
[00:23:39.711 --> 00:23:41.972]  Visit rnafreesample.com.
[00:23:42.312 --> 00:23:49.194]  That's rnafreesample.com or call toll free 888-577-3703.
[00:23:49.354 --> 00:23:53.155]  Pay only shipping and handling for a free 30-day supply of RNA Drops.
[00:23:53.295 --> 00:23:58.257]  Get the information you need and the health you want at rnafreesample.com.
[00:24:09.289 --> 00:24:12.414]  The globalists see us as animals.
[00:24:12.454 --> 00:24:14.397]  Programmable animals.
[00:24:19.864 --> 00:24:39.448]  And it's a self-fulfilling prophecy when the whole society gets designed, the lowest common denominator, and when the system honors people that are subservient and go along to get along, it creates a perfect environment for the pathogen of very despotic, megalomaniacal tyranny and tyrants to take control.
[00:24:40.388 --> 00:24:41.408]  And that's history.
[00:24:42.128 --> 00:24:49.450]  And that's what's so frustrating is that I sat there this morning for about an hour playing with my four-year-old daughter.
[00:24:53.410 --> 00:24:58.694]  And playing with the stuffed animals and playing with my little pony and playing hide-and-go-seek.
[00:24:59.595 --> 00:25:05.259]  And I sat there while she was in her room, after about an hour of playing with her, and I was going to have to tell her I had to go.
[00:25:05.299 --> 00:25:06.760]  I knew she was going to beg me not to leave.
[00:25:07.661 --> 00:25:20.310]  And I just thought, how do I take this stillness, this understanding that I have right now of how the world works and this deep sorrow and pain that is such a strength
[00:25:21.184 --> 00:25:30.889]  How do I transmit that and decipher that and encode that in words so that the general public can understand what I'm saying?
[00:25:31.410 --> 00:25:44.017]  But I know that by saying that fathers and mothers and grandmothers and grandfathers and brothers and sisters and sons and daughters, once the man twice the child taking care of their parents, you know what I'm talking about.
[00:25:44.797 --> 00:25:46.638]  That all I want to do is protect her.
[00:25:48.579 --> 00:25:49.480]  All I want to do.
[00:25:50.706 --> 00:25:51.807]  Is have a good world for her.
[00:25:53.027 --> 00:26:02.593]  All I want to do is lift up others, so that she can commune with them, and her grandchildren with their grandchildren, and their grandchildren with their great-great-grandchildren.
[00:26:04.577 --> 00:26:09.401]  And it hurts me to my core that humanity may not make it.
[00:26:10.081 --> 00:26:16.006]  We may not get to the point of a type one civilization, meaning we could survive if this planet was destroyed.
[00:26:16.506 --> 00:26:23.872]  And the incredible destiny that God has for us, if we don't stand up and do the right thing.
[00:26:23.952 --> 00:26:31.978]  God gave us a brain, God gave us a soul, a heart, and the power of His image as creators.
[00:26:33.544 --> 00:26:34.845]  To build amazing things.
[00:26:34.905 --> 00:26:36.606]  And I know how great humanity is.
[00:26:38.948 --> 00:26:46.854]  And I can't imagine the world we would be in if the leaders of this planet were actually trying to empower humanity.
[00:26:47.115 --> 00:26:50.697]  Oh, they claim all day that their mission is to empower people.
