[00:00:00.109 --> 00:00:00.469]  Brother.
[00:20:34.746 --> 00:20:35.166]  Call 866-229-0927.
[00:20:38.789 --> 00:20:42.894]  We are hurting down here and we need help immediately.
[00:20:42.935 --> 00:20:47.320]  Before it's time to survive, it's time to prepare.
[00:20:47.721 --> 00:20:52.107]  MyPatriotSupply.com MyPatriotSupply.com
[00:20:56.300 --> 00:20:59.161]  Ceramic Body Armor is rated to stop six hits.
[00:20:59.441 --> 00:21:00.601]  But what about the seventh?
[00:21:00.821 --> 00:21:04.862]  Unlike Ceramic or Kevlar, Infidel Body Armor is proven to take hit after hit.
[00:21:05.082 --> 00:21:06.402]  And it just won't quit.
[00:21:06.622 --> 00:21:13.124]  Reasonably priced and designed for the smart civilian prepper, Infidel stops hundreds of hits from small arms to high-powered rifles.
[00:21:13.324 --> 00:21:15.304]  That means safety and peace of mind.
[00:21:15.464 --> 00:21:17.825]  Buy yours at InfidelBodyArmor.com.
[00:21:17.905 --> 00:21:21.785]  Spelled I-N-F-I-D-E-L BodyArmor.com.
[00:21:21.905 --> 00:21:24.206]  Infidel Body Armor just won't quit.
[00:21:24.366 --> 00:21:33.632]  We the people grow cotton, weave fabric, engrave ink, embed strips and fibers to protect from counterfeit, then carting to a private bank, having it led back at interest, forcing taxes to service debt.
[00:21:33.692 --> 00:21:34.433]  This capitalism?
[00:21:34.493 --> 00:21:40.637]  Or was Jefferson correct when stating a central bank issuing the public currency is a greater menace to the liberties of the people than a standing army?
[00:21:40.777 --> 00:21:41.537]  Hi, Ted Anderson.
[00:21:41.578 --> 00:21:44.660]  I'm placing a free silver dollar in a book that explains our monetary system.
[00:21:44.720 --> 00:21:45.620]  Call for your copy 800-686-2237.
[00:21:45.640 --> 00:21:47.001]  It's time to understand the system.
[00:21:47.061 --> 00:21:47.341]  Call 800-686-2237.
[00:21:47.381 --> 00:21:47.662]  That's 800-686-2237.
[00:21:55.066 --> 00:22:03.332]  Devastating events like earthquakes, tornadoes, floods, hurricanes, or the threat of martial law have highlighted the need for Americans to prepare for emergencies.
[00:22:03.632 --> 00:22:07.055]  As a result, millions are stockpiling food, gold, and weapons.
[00:22:07.315 --> 00:22:11.457]  But how will these items help if you or one of your loved ones becomes ill?
[00:22:11.758 --> 00:22:16.461]  Supernatural silver is the ultimate tool to prepare you for a medical emergency.
[00:22:16.801 --> 00:22:26.696]  Supernatural Silver is a natural antibiotic that is uniquely effective against bacteria, viruses, moles and fungus, and is remarkable for wound care.
[00:22:26.936 --> 00:22:32.104]  Taken internally or used topically, it can help keep you safe from deadly pathogens.
[00:22:32.344 --> 00:22:40.908]  Supernatural Silver has over 500 different uses and a long-term shelf life, making it the number one choice of preppers across the country.
[00:22:41.128 --> 00:22:48.091]  To find out how this amazing new technology can help you be prepared, go to SupernaturalSilver.com.
[00:22:48.371 --> 00:22:52.292]  Use the promo code PREPARED for 20% off your entire order.
[00:22:52.492 --> 00:22:53.653]  And like us on Facebook.
[00:22:54.488 --> 00:22:56.390]  In the last two years alone, the U.S.
[00:22:56.430 --> 00:22:58.331]  has seen huge losses to our food supply.
[00:22:58.572 --> 00:23:04.797]  In 2011, storms and floods raged across the U.S., costing us $20 billion in lost crops alone.
[00:23:04.817 --> 00:23:08.020]  In 2012, we saw the largest drought in the country in more than 50 years.
[00:23:08.280 --> 00:23:12.004]  You may think out of sight, out of mind, and so you don't think you will be affected.
[00:23:12.164 --> 00:23:13.345]  The fact is, you are.
[00:23:13.565 --> 00:23:14.326]  We all are.
[00:23:14.586 --> 00:23:16.908]  Food shortages drive prices up for everyone.
[00:23:17.188 --> 00:23:25.472]  You might not be able to control Mother Nature, but you can control your food prices by freezing the cost and availability of your food supply with eFoods Direct.
[00:23:25.692 --> 00:23:26.892]  Be prepared before you need it.
[00:23:27.072 --> 00:23:30.234]  With nutrient-dense food you can store for up to 25 years.
[00:23:30.514 --> 00:23:32.755]  You can hope for the best, but hope won't feed you.
[00:23:32.895 --> 00:23:37.276]  Do what I've done and get your own supply of the best storable foods out there from eFoods Direct.
[00:23:37.416 --> 00:23:43.279]  Call 800-409-5633 or visit them on the web at efoodsdirect.com forward slash Alex.
[00:23:43.519 --> 00:23:44.940]  And check out their spring specials.
[00:23:45.180 --> 00:23:46.380]  Again, that number is 800-409-5633.
[00:23:46.441 --> 00:23:51.403]  Or on the web at efoodsdirect.com forward slash Alex.
[00:23:51.643 --> 00:23:53.564]  You can bet your life on eFoods Direct.
[00:24:04.510 --> 00:24:07.571]  Well, I think I see another side.
[00:24:07.731 --> 00:24:12.474]  Maybe he just took another life that shines.
[00:24:18.701 --> 00:24:24.836]  So here we are, as usual, held hostage by another crazy government that it turns out has been meeting in secret with the U.S.
[00:24:24.856 --> 00:24:25.217]  government.
[00:24:27.995 --> 00:24:35.821]  You know, the globalists are so criminal, they may have even been paying Kim Jong-un to do all of this, so they can sell more weapons systems to South Korea and others.
[00:24:36.241 --> 00:24:39.204]  That's pretty much what Dr. Steve Pucinich is saying is going on.
[00:24:39.224 --> 00:24:41.085]  And you're like, well, what's the proof of that?
[00:24:41.145 --> 00:24:57.518]  Well, ABB, headed up by Rumsfeld, the same guy that got Aspartame approved and so many other horrible things, he transferred the reactors and they said, why is the UN authorizing and why is Clinton authorizing the Swiss company headed up by Rumsfeld at the time
[00:24:59.042 --> 00:25:04.263]  I tell you, you know, they put him on the board and make him the president for a year, or CEO, then they get the approval.
[00:25:06.023 --> 00:25:18.466]  And then he transfers the reactors to them that allow you to make the fissile material to purify the, to enrich is the proper term, the fissile material to then make atomic bombs.
[00:25:19.906 --> 00:25:21.746]  You know, 1945 technology.
[00:25:22.166 --> 00:25:23.587]  It'll still vaporize your city.
[00:25:27.586 --> 00:25:32.748]  Now, we're sitting there where they have A-bombs that the globalists essentially gave them.
[00:25:34.008 --> 00:25:36.469]  And no one remembers, because no one even knew at the time.
[00:25:36.729 --> 00:25:38.350]  No one pays attention to stuff like that.
[00:25:39.450 --> 00:25:40.210]  I was following it.
[00:25:40.330 --> 00:25:44.932]  I was first on radio and TV, 95, 96, and covered it on the air.
[00:25:46.092 --> 00:25:54.675]  I was like, why is this Swiss company, and it happened 96, 97, 98, 99, this one for like five, six years, transferring reactors to them.
[00:25:55.396 --> 00:25:56.296]  And the fissile material.
[00:25:57.284 --> 00:25:58.226]  That they could then enrich.
[00:25:59.469 --> 00:26:04.821]  Just like our so-called government is putting Al-Qaeda in Libya and Syria and it's all over the news today.
[00:26:06.477 --> 00:26:06.757]  U.S.
[00:26:06.837 --> 00:26:10.579]  expected to increase aid to Syrian rebels, A.P., including Al-Qaeda.
[00:26:11.039 --> 00:26:17.281]  Washington Post, Al-Qaeda in Iraq formally unites with powerful Syrian militant group funded by the U.S.
[00:26:17.301 --> 00:26:18.181]  government and NATO.
[00:26:18.642 --> 00:26:21.963]  America's hired death squads and torture teams are still operating in Iraq.
[00:26:22.603 --> 00:26:22.843]  Over 150,000.
[00:26:23.303 --> 00:26:27.985]  And they're just disappearing whole families, killing people, torturing, murdering.
[00:26:28.445 --> 00:26:29.666]  They're just contractors now.
[00:26:31.286 --> 00:26:33.007]  And again, this is an army.
[00:26:33.387 --> 00:26:36.008]  Build me an army worthy of Mordor.
[00:26:39.762 --> 00:26:41.344]  Fighting Uruk-hai!
[00:26:42.205 --> 00:26:44.907]  Tonight, he will feast on man flesh!
[00:26:46.529 --> 00:26:51.214]  I mean, they are over there doing unspeakable hellish stuff.
[00:26:52.375 --> 00:26:56.559]  I mean, it's intensifying 20, 30, 40 times what Saddam did.
[00:26:56.579 --> 00:26:59.021]  200 camps alone in Iraq.
[00:26:59.522 --> 00:27:02.165]  Giant CIA command fortresses.
[00:27:03.680 --> 00:27:04.981]  Filled with thousands.
[00:27:05.761 --> 00:27:09.303]  Sending forth the black armored vehicles to grab the families.
[00:27:11.104 --> 00:27:12.304]  Flying them out.
[00:27:13.285 --> 00:27:14.846]  Black sites all over the world.
[00:27:15.306 --> 00:27:17.947]  200 estimated in Iraq, in these WikiLeaks documents.
[00:27:19.208 --> 00:27:32.695]  Hundreds in Poland, and Romania, and Ukraine, and Georgia, and Jordan, and Israel, and now they found black sites in the US.
[00:27:36.564 --> 00:27:47.554]  And of course, while they're at it with the CIA aircraft flying drugs in, and you guessed it, little kids, little kids, little pigs, little pigs, let me in!
[00:27:48.035 --> 00:27:50.697]  Not by the hair of our chinny-chin-chin!
[00:27:50.717 --> 00:28:00.106]  Then I'll huff, and I'll puff, and I'll blow your house down!
[00:28:02.893 --> 00:28:05.314]  Just total savage murder.
[00:28:05.774 --> 00:28:09.056]  Where you are seen like a steak at the supermarket by these people.
[00:28:09.656 --> 00:28:11.777]  I mean, you don't even enter their club.
[00:28:13.238 --> 00:28:15.639]  Unless you can slowly torture a child to death.
