[00:00:07.383 --> 00:00:07.724]  Oh, no.
[00:02:35.800 --> 00:02:38.922]  In this article, I definitely encourage you to go ahead and read it for yourself.
[00:02:39.322 --> 00:02:43.225]  But it's a telling thing, you know, we've seen bank holidays and things such as that.
[00:02:43.585 --> 00:02:46.267]  People just having their money taken out of their bank accounts.
[00:02:46.887 --> 00:02:50.709]  With really no explanation, just fraud is basically what the explanation is.
[00:02:51.089 --> 00:02:52.949]  And tying into that, we also have another article.
[00:02:53.470 --> 00:02:57.911]  The banking chief calls for a 15% looting of Italian savings.
[00:02:57.931 --> 00:02:59.212]  That's a great graphic right there.
[00:02:59.232 --> 00:03:00.112]  That's pretty much what it is.
[00:03:00.712 --> 00:03:09.716]  The news of the International Monetary Fund initially demanded to loot a shocking 40% of savings from the private bank accounts of Cyprus.
[00:03:10.316 --> 00:03:10.596]  I think?
[00:03:32.305 --> 00:03:36.449]  Below the critical level of 100% of gross domestic product.
[00:03:36.769 --> 00:03:41.213]  And for more on that, Gerald Cilente was on the Alex Jones Radio Show and he has some thoughts to share.
[00:03:43.540 --> 00:03:47.783]  First, very important, the trend tracking tip, I write about it all the time.
[00:03:48.003 --> 00:03:52.445]  They always do it after the markets close, after it's too late.
[00:03:52.685 --> 00:04:02.951]  Whether it's a downgrade of a country's credit worthiness, releasing information about a big lie that they were covering up and are obligated to tell it about.
[00:04:02.971 --> 00:04:09.615]  It gives them time to rig it during the weekend so it doesn't go down as much as it should.
[00:04:09.875 --> 00:04:10.476]  Number two,
[00:04:11.036 --> 00:04:14.257]  What you said, the white shoe boy lingo.
[00:04:14.737 --> 00:04:18.518]  How about calling it a tax on deposits?
[00:04:18.958 --> 00:04:20.179]  Isn't that a nice word?
[00:04:20.439 --> 00:04:22.319]  How about stealing your damn money?
[00:04:22.699 --> 00:04:27.701]  The other important point, we're only talking about a 10 billion dollar bailout here.
[00:04:28.321 --> 00:04:29.381]  This isn't a big one.
[00:04:29.821 --> 00:04:33.562]  It shows you the fragility of the entire system.
[00:04:33.762 --> 00:04:35.603]  The next important point,
[00:04:36.516 --> 00:04:40.717]  You're hearing now from the American Banking Association from D.C.
[00:04:41.157 --> 00:04:43.357]  Don't worry about it, Americans.
[00:04:43.777 --> 00:04:45.478]  Your money's insured!
[00:04:45.778 --> 00:04:48.358]  Yeah, just like it's insured over there in Cyprus.
[00:04:48.698 --> 00:04:55.419]  As a member of the Eurozone, the money's supposed to be insured for 100,000 euros, about 125,000 dollars.
[00:04:55.519 --> 00:04:57.800]  But it's not insured from them stealing it.
[00:04:58.660 --> 00:04:59.240]  Exactly.
[00:04:59.320 --> 00:05:01.700]  But here's what I believe they're going to do.
[00:05:02.261 --> 00:05:04.301]  When the crisis starts spreading,
[00:05:05.168 --> 00:05:09.390]  What they're going to do, they're going to devalue the currencies.
[00:05:09.890 --> 00:05:13.171]  So they're going to say, yeah, yeah, don't worry, your money's insured.
[00:05:13.652 --> 00:05:14.472]  But guess what?
[00:05:14.812 --> 00:05:17.013]  It's only worth a fraction of what it is.
[00:05:17.533 --> 00:05:18.634]  And we're talking about what?
[00:05:19.034 --> 00:05:21.535]  About $600 trillion worth of rigging?
[00:05:22.155 --> 00:05:25.076]  And then you want to see a rig that's right in front of everybody's eyes?
[00:05:25.376 --> 00:05:26.437]  How about the bond market?
[00:05:26.977 --> 00:05:29.219]  You don't have to make it up.
[00:05:29.599 --> 00:05:34.303]  You see the money that they're dumping into the system every month.
[00:05:34.323 --> 00:05:39.267]  $85 billion plus that we don't know about, beyond the $85 billion that we know.
[00:05:39.287 --> 00:05:44.131]  So what I'm saying is for people to use their own common sense.
[00:05:44.751 --> 00:05:46.092]  Look what's going on.
[00:05:46.433 --> 00:05:52.378]  Do you think the Europeans right now aren't pulling their money out of their bank accounts?
[00:05:53.078 --> 00:05:57.702]  Don't you think that they're freaking out because they see what's going on?
[00:05:58.183 --> 00:06:10.394]  This deal, when you, when I've been reading everything coming out on it, when the people from Cyprus, the President and the Finance Minister, went to Brussels, the deal was already done.
[00:06:11.235 --> 00:06:14.298]  The Germans told them what they were going to do.
[00:06:14.819 --> 00:06:18.703]  And they were going to take the money from the depositors.
[00:06:19.143 --> 00:06:20.605]  And where's the money going?
[00:06:20.985 --> 00:06:29.073]  The money is going... It's not... They talk about the banks in Cyprus, and they talk about the banks in Italy and in Spain.
[00:06:29.133 --> 00:06:29.473]  No, no.
[00:06:30.094 --> 00:06:42.365]  These are the big German banks, the Finnish banks, the Dutch banks, the Belgian banks that loaned all these banks in the smaller countries the money to loan out.
[00:06:42.926 --> 00:06:44.848]  They didn't get that money on their own.
[00:06:45.268 --> 00:06:52.655]  So what they're doing is they're really taking this money from the bottom so they could pay off the big guys at the top.
[00:06:52.955 --> 00:07:00.903]  So all I'm saying is if anybody thinks that they're not going to screw you, well good for you!
[00:07:03.280 --> 00:07:05.401]  And great points as always from Gerald Cilente.
[00:07:05.721 --> 00:07:06.221]  Next story.
[00:07:06.701 --> 00:07:09.882]  Rabbit organ transplant kills Maryland man.
[00:07:10.563 --> 00:07:15.924]  A man in Maryland has died of rabies, which he contracted from an infected kidney transplant.
[00:07:16.325 --> 00:07:23.147]  The Centers for Disease Control say the doctors did not suspect rabies as the cause of death in the donor and did not test for it.
[00:07:23.587 --> 00:07:27.108]  The donor died of raccoon rabies in Florida in 2011.
[00:07:27.168 --> 00:07:38.050]  I think it's also important to point out that the donor also donated to two other people who are being treated for rabies, but this particular gentleman died from rabies.
[00:07:38.530 --> 00:07:43.111]  And I think it's a good practice to find out where these organs came from.
[00:07:43.551 --> 00:07:49.512]  They say that the doctors didn't know how the guy died, but you know if you're putting something into somebody else's body, I mean did the guy die in a
[00:07:50.052 --> 00:07:51.133]  A motorcycle accident?
[00:07:51.173 --> 00:07:52.474]  Was he attacked by a shark?
[00:07:52.534 --> 00:07:53.914]  I mean, how did the guy die?
[00:07:54.355 --> 00:08:05.562]  And more for the medical malpractice, we have this article by Mike Adams, and it points out the death of firearms versus doctors and or drugs, and we'll show you that here on the screen.
[00:08:05.982 --> 00:08:17.069]  And it just points out that how all the things in the medical category, if you add up everything, the death by firearms, if you added up every single thing in that category, you can see on that graph right there,
[00:08:17.709 --> 00:08:21.331]  They would not even total one of the things in the medical category.
[00:08:21.371 --> 00:08:30.476]  So again, if you total, tally up everything in the death by firearms, they don't get close to touching anything on the death by the medical system.
[00:08:30.836 --> 00:08:32.097]  Not saying all doctors are bad.
[00:08:32.117 --> 00:08:39.160]  Be sure to check in with your doctor regularly, but you know, things do happen and definitely be aware that it's not all foolproof.
[00:08:39.380 --> 00:08:39.781]  Next story.
[00:08:40.441 --> 00:08:43.504]  Feds form MetraTrain after detecting nuclear risk.
[00:08:43.824 --> 00:08:48.548]  Now there's a fatal flaw right in the headline itself, detecting nuclear risk.
[00:08:48.588 --> 00:08:50.950]  Let's find out if there was a risk at all.
[00:08:51.511 --> 00:08:58.877]  Sources say that the agents were members of the elite, the elite TSA Viper team on the 5.04 p.m.
[00:08:59.037 --> 00:09:00.479]  Union Pacific West line.
[00:09:00.899 --> 00:09:05.263]  They were carrying handheld nuclear detection devices that picked up a reading.
[00:09:05.723 --> 00:09:07.484]  And what was the reading that they found?
[00:09:07.864 --> 00:09:11.586]  It was a gentleman who had recently come back from a radiation treatment.
[00:09:11.986 --> 00:09:15.408]  Something that most, if not all, hospitals in the United States provide.
[00:09:15.788 --> 00:09:24.333]  So if these Viper teams are going to be on your trains and your buses and whatever else, I think it's going to be a pretty regular thing that the Viper teams storm on.
[00:09:24.373 --> 00:09:25.633]  If we can put that graphic back up.
[00:09:26.034 --> 00:09:28.275]  And you can see the teams coming through.
[00:09:28.515 --> 00:09:29.555]  Hey, whose bag is this?
[00:09:29.615 --> 00:09:30.496]  Whose coat is that?
[00:09:31.096 --> 00:09:32.117]  And, you know, what's going on?
[00:09:32.137 --> 00:09:34.218]  And the guy says, hey man, I just stopped by the doctor.
[00:09:34.698 --> 00:09:40.401]  And no, okay, then, you know, so they basically held the people hostage there for about 10-15 minutes and then let them on their way.
[00:09:40.421 --> 00:09:49.566]  But the thing that surprised me was the gentleman himself, you know, the reporter asked him in that video, I encourage you to go watch it for yourself, the reporter says, sir, how do you feel knowing that they'd stopped a whole train?
[00:09:50.186 --> 00:09:57.290]  Knowing that you just had some radioactive treatment, he said, oh, it made me feel safe that the TSA are here to make me safe.
[00:09:57.690 --> 00:09:59.150]  That may be his particular view.
[00:09:59.231 --> 00:10:06.054]  I saw an agency holding a bunch of people hostage while they checked for somebody who just had something as simple as a medical procedure done.
[00:10:06.534 --> 00:10:10.118]  And in other news, InfoWars has been at the South by Southwest event.
[00:10:10.698 --> 00:10:21.609]  You know, when we're not out there protesting against not being able to hand out our magazines, we do things like bump into actors and activists such as Daniel Sanjata, and this is what he had to say about DHS arming to the teeth.
[00:10:25.086 --> 00:10:34.330]  We're asking people what they think about conspiracy theories and why they think the mainstream media attacks people who believe in so-called conspiracy theories.
[00:10:34.750 --> 00:10:41.993]  I hate the term conspiracy theories, although it's actually an accurate moniker, because people do conspire in order to do various things.
[00:10:42.453 --> 00:10:43.773]  Some of them good, some of them bad.
[00:10:44.033 --> 00:10:46.574]  The two of you and I could conspire to feed a homeless person.
[00:10:47.075 --> 00:10:49.976]  Sometimes people conspire to pull off false flag terror events.
[00:10:50.116 --> 00:10:51.336]  I mean, you know, it goes both ways.
[00:10:51.897 --> 00:10:52.497]  Unfortunately,
[00:10:53.377 --> 00:10:59.761]  The term has been, you know, co-opted and turned into a, I don't know, a term of dismissal.
[00:10:59.962 --> 00:11:08.187]  A label that serves to dismiss what someone is saying without actually giving the facts that they may be presenting a fair chance.
[00:11:09.008 --> 00:11:13.431]  And I'm sorry, but I'm just tripping out over this drone flying around taking pictures of people.
[00:11:13.471 --> 00:11:14.451]  This is unbelievable.
[00:11:14.471 --> 00:11:16.493]  I'm sure you guys were already taking footage of this.
[00:11:16.533 --> 00:11:17.073]  Wow, man.
[00:11:17.673 --> 00:11:20.315]  And I'm sure that there's only non-lethal weaponry aboard.
[00:11:20.375 --> 00:11:22.677]  It's probably just, you know, tasers and
[00:11:23.798 --> 00:11:32.506]  Well, the FAA just announced that by the year 2020 that they expect that there will be over 30,000 drones patrolling U.S.
[00:11:32.926 --> 00:11:33.366]  airways.
[00:11:34.207 --> 00:11:36.229]  That's sad and unfortunate.
[00:11:36.629 --> 00:11:42.735]  The Department of Homeland Security, they just recently purchased 2 billion rounds of ammunition.
[00:11:43.095 --> 00:11:46.759]  A lot of that's hollow point tips, that sort of thing.
[00:11:47.319 --> 00:11:48.479]  I mean... It tanks as well, right?
[00:11:48.499 --> 00:11:49.320]  It tanks as well.
[00:11:49.740 --> 00:11:50.560]  I mean, it's crazy.
[00:11:50.680 --> 00:11:58.943]  Do you think that they are preparing for like a Red Dawn type of situation or could this be civil unrest or even worse, you know, war with the American people?
[00:11:59.263 --> 00:12:04.085]  I don't know about just an all-out, you know, unprovoked strike against the American people.
[00:12:04.105 --> 00:12:13.609]  I think that might be a little bit extreme, but clearly people are starting to get upset about the moves that they see their government making and they're probably preparing
[00:12:14.289 --> 00:12:21.997]  Preemptively to, you know, they're probably preparing to lock us down in case we were, you know, to do something that they didn't want us to do.
[00:12:22.157 --> 00:12:24.179]  To rise up against them or what have you, so.
[00:12:24.800 --> 00:12:25.400]  Absolutely.
[00:12:25.781 --> 00:12:29.604]  False flag terrorism, what's the first thing that comes to mind when I say false flag terrorism?
[00:12:29.885 --> 00:12:30.285]  Obviously 9-11.
[00:12:31.606 --> 00:12:39.573]  Um, but, uh, you know, it's something that governments have been doing, you know, in various countries for a very long time in order to push forward agendas.
[00:12:39.873 --> 00:12:48.380]  Sometimes it's difficult to tell whether certain things actually just happen because of a confluence of circumstances and events, uh, and then
[00:12:49.281 --> 00:13:04.376]  You know, whether it's a shock doctrine-esque kind of approach, they have an agenda, something happens literally to randomly happen, and then they use that, they exploit that in order to push forward whatever that agenda may be, or whether they sometimes orchestrate events in order to push forward agendas.
[00:13:04.616 --> 00:13:09.381]  There's definitely a vast difference between the two, but that's what I think about when I think about the term false flag.
[00:13:09.861 --> 00:13:10.021]  Right.
[00:13:10.101 --> 00:13:11.443]  You gonna be in town for a couple days?
[00:13:11.463 --> 00:13:12.684]  You should come be on the show, man.
[00:13:12.724 --> 00:13:13.525]  You know what?
[00:13:13.745 --> 00:13:24.336]  I am gonna be in town for a couple days, but I'm here with the cast of a television show that I'm doing, and we actually, a lot of our time is spoken for, so I don't know that I'll be able to come by the studio, but I do send my shout-outs to Alex.
[00:13:24.977 --> 00:13:29.462]  I remember fondly my appearances on his show, and keep fighting the info war.
[00:13:29.482 --> 00:13:30.323]  People need to be informed.
[00:13:39.952 --> 00:13:45.919]  Now, the Virginia government prosecutes homeowner with criminal charges for backyard chickens.
[00:13:46.819 --> 00:13:47.160]  Chickens.
[00:13:47.500 --> 00:13:58.032]  Now, I want to point out first and foremost, according to the article, the lady is in an area where none of her friends and family, surrounding areas, have complained about her chickens.
[00:13:58.072 --> 00:14:00.114]  Nobody has complained, at least according to this article.
[00:14:00.434 --> 00:14:01.896]  And that gives us the headway to go in.
[00:14:02.476 --> 00:14:16.065]  Attorneys at the Rutherford Institute have filed a petition for appeal on behalf of a Virginia Beach resident, Tracy Ockroy, who faces criminal charges relating to zoning ordinances and violations for keeping chickens in her backyard.
[00:14:16.405 --> 00:14:25.831]  Moving on, in an October 2012 ruling, the court upheld the zoning board's decision, finding that Ockroy had in fact violated the zoning ordinance.
[00:14:26.611 --> 00:14:39.044]  Okroyd challenges the lower court's interpretation of the ordinance, arguing that the restrictions pertaining to keeping fowl or poultry within the city do not apply to animals raised as companions or pets.
[00:14:39.524 --> 00:14:46.851]  So you can decide for yourself if these are for companionship or other things, but if the lady says they're her pets, then they're her pets.
[00:14:46.931 --> 00:14:50.335]  And if she wants to eat the eggs or sell the eggs or whatever else, that's secondary.
[00:14:50.675 --> 00:14:53.997]  But it reminds me of the Chicken Man story that happened in Georgia.
[00:14:54.037 --> 00:14:55.558]  I believe Darren McBreen covered that.
[00:14:55.898 --> 00:14:56.838]  And there, you can see it right there.
[00:14:57.158 --> 00:14:59.079]  The mysterious death of Chicken Man.
[00:14:59.139 --> 00:15:02.141]  Darren McBreen on an Agenda 21 cover-up.
[00:15:02.501 --> 00:15:09.685]  Basically, a man who had been raising chickens at his home for, I believe, some time, came in conflict with the city council.
[00:15:10.505 --> 00:15:14.587]  And he decided, hey, if I can't have my land and my chickens, nobody can.
[00:15:14.647 --> 00:15:16.108]  And he decided to burn the house down.
[00:15:16.508 --> 00:15:19.510]  I'm not, you know, advocating that type of treatment.
[00:15:19.930 --> 00:15:21.031]  I hope nothing happens to this lady of
[00:15:39.985 --> 00:15:40.526]  We're good.
[00:15:55.680 --> 00:16:11.191]  And also you see the other two colors, which were the predictions, one that was supposed to be 95% certain, and right there you can see in retrospect the actual numbers, and then the prediction that it's supposed to be a whopping, I mean some infernal sunspot kind of deal.
[00:16:11.211 --> 00:16:13.072]  We'll move on to the quotes you just saw there on the screen.
[00:16:13.552 --> 00:16:19.457]  And here's what the experts now say, this from Miss Pierce Foster, or possibly Mr. Pierce Foster.
[00:16:20.137 --> 00:16:23.519]  Global surface temperatures have not risen in 15 years.
[00:16:24.040 --> 00:16:26.521]  They make the high estimates unlikely.
[00:16:26.862 --> 00:16:27.782]  And we'll move on now.
[00:16:28.103 --> 00:16:29.323]  This changes everything.
[00:16:29.644 --> 00:16:35.388]  Global warming should no longer be the main detriment of economic or energy policy.
[00:16:35.908 --> 00:16:36.508]  And from Ms.
[00:16:37.369 --> 00:16:41.892]  Judith Curry, Professor Judith Curry, climate models are running too hot.
[00:16:42.232 --> 00:16:45.915]  The current flat trend may continue for two more decades.
[00:16:46.781 --> 00:16:48.603]  So there you go, the many alarmists.
[00:16:48.923 --> 00:16:52.827]  And right after this break, we'll be back with Mr. Mark Moreno to talk more about this.
[00:16:53.207 --> 00:17:03.097]  But right now, before we go to our quote of the day, we do have a special report from Aaron Dykes talking about how your government and other officials are telling you you cannot film in public.
[00:17:06.716 --> 00:17:08.798]  Aaron Dykes here for InfoWars.com.
[00:17:08.818 --> 00:17:18.949]  Now it's all over the media how a Sky News reporter in China was detained by police because they were filming at the Tiananmen Square and they were talking about the 1989 Tiananmen Square protests.
[00:17:24.992 --> 00:17:29.038]  That's when police approached them and put them on a bus.
[00:17:29.338 --> 00:17:31.722]  They've stopped us because of one word, I think it was.
[00:17:31.782 --> 00:17:34.226]  We were talking about the 1989 protest.
[00:17:34.246 --> 00:17:35.507]  They didn't like that they've stopped us.
[00:17:35.908 --> 00:17:38.051]  And so now we're, um, we've been brought to the police station.
[00:17:38.251 --> 00:17:41.336]  And then later told them they weren't authorized to do their media work.
[00:17:42.177 --> 00:18:03.733]  As an Infowars reporter for more than seven years, I've been all over the country filming B-roll, filming protests, doing interviews for Alex, and I've encountered this over and over again, especially in cities like Washington, D.C., where we're told that you can't film in public, even though there's a clear First Amendment.
[00:18:03.933 --> 00:18:04.493]  How you doing guys?
[00:18:04.513 --> 00:18:05.374]  How you doing?
[00:18:05.594 --> 00:18:07.195]  Can I take a look at your film permit real quick?
[00:18:07.515 --> 00:18:07.795]  Sorry?
[00:18:07.856 --> 00:18:08.616]  Your film permit.
[00:18:09.236 --> 00:18:11.358]  Yeah, it's called the First Amendment.
[00:18:15.560 --> 00:18:16.081]  Hey, how are you?
[00:18:16.161 --> 00:18:18.242]  Can you turn the camera off please?
[00:18:18.262 --> 00:18:19.303]  Federal agent.
[00:18:19.323 --> 00:18:20.083]  Okay, is there a problem?
[00:18:20.263 --> 00:18:20.464]  Yes.
[00:18:21.324 --> 00:18:21.504]  Thanks.
[00:18:21.524 --> 00:18:23.686]  Do you have your driver's license on you?
[00:18:24.046 --> 00:18:29.649]  Well sir, like I said, there's a sign right here that states no electrical equipment, no video camera, no filming.
[00:18:31.631 --> 00:18:33.152]  They got three cop cars on us.
[00:18:34.195 --> 00:18:36.496]  They're not letting us leave.
[00:18:36.576 --> 00:18:37.817]  We're taking some shots, man.
[00:18:38.338 --> 00:18:43.461]  Well, is there a law?
[00:18:43.701 --> 00:18:53.987]  I mean... You need to go through public affairs for you to videotape or take pictures.
[00:18:54.067 --> 00:18:55.568]  Of any federal building.
[00:18:58.883 --> 00:19:02.345]  We do not.
[00:19:02.365 --> 00:19:05.867]  We're done, but we're just about done.
[00:19:11.826 --> 00:19:22.913]  In Kansas City, we were approached by security guards who said they had been contacted by the Federal Reserve Bank, which was more than 200 yards across the street while we were filming from inside a World War I memorial.
[00:19:23.253 --> 00:19:28.716]  And they tried to force us to identify ourself and then to leave under duress of being threatened with arrest.
[00:19:28.736 --> 00:19:37.362]  The Federal Bank was concerned about you guys taking video of their building, so we just wanted to make sure that you were completely aware of what was happening.
[00:19:37.382 --> 00:19:37.562]  I'm sorry?
[00:19:38.282 --> 00:19:40.364]  We were just seeing who you were and what you were doing.
[00:19:40.404 --> 00:19:40.844]  What's your name?
[00:19:41.893 --> 00:19:44.634]  My name's Aaron.
[00:19:45.174 --> 00:19:47.094]  We're just checking out this memorial.
[00:19:47.215 --> 00:19:52.216]  I'm not going to give you my last name.
[00:19:53.036 --> 00:19:57.697]  Come on guys, let's go.
[00:19:57.737 --> 00:19:58.538]  Why do I have to leave?
[00:19:59.218 --> 00:19:59.998]  Because you're with them.
[00:20:04.445 --> 00:20:06.388]  Well, if he gave his name, then he doesn't have to leave.
[00:20:06.408 --> 00:20:09.532]  He did give his name, but it's kind of guilt by association.
[00:20:09.572 --> 00:20:10.553]  You guys need to go ahead and go.
[00:20:10.573 --> 00:20:11.855]  What is guilt by association?
[00:20:11.895 --> 00:20:13.157]  Sir, we're not going to answer any more questions.
[00:20:13.177 --> 00:20:14.318]  You can go to jail or you can leave.
[00:20:14.639 --> 00:20:15.700]  Are you a police officer, sir?
[00:20:16.281 --> 00:20:17.303]  We do have arrest powers.
[00:20:17.323 --> 00:20:18.044]  Do you want to go to jail?
[00:20:18.959 --> 00:20:19.740]  Am I under arrest?
[00:20:20.280 --> 00:20:21.140]  No, you're not under arrest.
[00:20:21.200 --> 00:20:21.561]  Not yet.
[00:20:21.641 --> 00:20:22.181]  You need to leave.
[00:20:22.281 --> 00:20:23.922]  You're encroaching on our First Amendment right.
[00:20:24.062 --> 00:20:24.682]  No, we are not.
[00:20:24.983 --> 00:20:25.363]  Why not?
[00:20:25.703 --> 00:20:27.024]  This is public property.
[00:20:27.884 --> 00:20:28.505]  We have a right.
[00:20:28.525 --> 00:20:29.045]  Go ahead and go.
[00:20:29.866 --> 00:20:30.046]  Now.
[00:20:30.946 --> 00:20:40.912]  Then at the Texas Capitol, I was approached by an aggressive officer who didn't like the fact that I was filming and tried to force me to identify myself and detain me until he talked with his superiors.
[00:20:44.835 --> 00:20:46.436]  Who are you?
[00:20:46.476 --> 00:20:47.096]  Can you talk to me?
[00:20:47.376 --> 00:20:47.576]  Yeah.
[00:20:48.137 --> 00:20:48.437]  Who are you?
[00:20:50.188 --> 00:20:50.388]  Huh?
[00:20:51.089 --> 00:20:51.789]  Let me see your ID.
[00:20:53.230 --> 00:20:53.890]  You don't have an ID?
[00:20:54.050 --> 00:20:55.651]  Let me see your driver's license.
[00:20:56.312 --> 00:20:57.212]  Peace officer, sir.
[00:20:57.372 --> 00:20:58.033]  I'm state police.
[00:20:58.313 --> 00:21:00.814]  And put the camera some other direction.
[00:21:00.994 --> 00:21:01.775]  Don't touch my camera.
[00:21:02.795 --> 00:21:03.276]  ID, sir.
[00:21:03.796 --> 00:21:04.556]  Show me your ID, please.
[00:21:05.217 --> 00:21:05.377]  Why?
[00:21:08.246 --> 00:21:09.427]  Suspicious person, how's that?
[00:21:09.627 --> 00:21:10.768]  Let me see your ID, please, sir.
[00:21:11.128 --> 00:21:27.760]  It happens at airports, even though TSA's own policy admits that people have the right to film their encounters, we're told over and over again that we can't film TSA and that we don't have a right to report on what's happening inside airports, in clear violation of the First Amendment and common law.
[00:21:28.241 --> 00:21:32.884]  It says on your website that we can't.
[00:21:34.946 --> 00:21:36.247]  Your website says we can't.
[00:21:37.933 --> 00:21:40.014]  Uh, sir, the First Amendment says we don't need permission.
[00:21:40.274 --> 00:21:40.674]  Yes, you do.
[00:21:41.835 --> 00:21:43.676]  It's the First... Sir, do you write the Constitution?
[00:21:43.996 --> 00:21:58.882]  Alex Jones encountered this in 2004, as you've seen in his film, Martial Law, where thousands and thousands of protesters are arrested for no reason, and journalists are intimidated again and again by police, and told they don't have permission to film on the city streets of New York.
[00:21:59.182 --> 00:22:05.685]  The police have been arresting reporters across the city, and a judge had ordered them to stop, but that just seemed to encourage them.
[00:22:10.011 --> 00:22:12.114]  We go to whoever gave those to you and get them revoked.
[00:22:12.214 --> 00:22:14.657]  I just ask you to do me a favor and not tape over here.
[00:22:14.677 --> 00:22:15.158]  It's my fault, sir.
[00:22:15.178 --> 00:22:15.679]  I'm his boss.
[00:22:15.779 --> 00:22:16.299]  I just- No, no, no.
[00:22:16.339 --> 00:22:16.700]  Listen.
[00:22:16.900 --> 00:22:17.982]  First of all, I'm talking.
[00:22:18.262 --> 00:22:19.824]  I don't need you to interrupt me while I'm talking.
[00:22:19.844 --> 00:22:20.004]  Yes, sir.
[00:22:20.265 --> 00:22:20.545]  All right?
[00:22:20.645 --> 00:22:20.845]  Okay.
[00:22:21.566 --> 00:22:24.550]  Now, I just got finished telling him that I don't want him taping over here.
[00:22:25.251 --> 00:22:38.864]  Meanwhile, trading videos created by Homeland Security and sent to law enforcement agencies throughout the nation advise officers to view photographers as potential terrorist threats and to run them through the terrorist screening database.
[00:22:39.085 --> 00:22:39.885]  See way down there.
[00:22:40.626 --> 00:22:42.367]  There's a woman taking photos of the dam.
[00:22:43.087 --> 00:22:46.448]  Someone called 911 and reported a suspicious person.
[00:22:46.949 --> 00:22:49.370]  As you guessed, she's gonna be a Category 3 hit.
[00:22:49.910 --> 00:22:58.133]  And since it's very important that we don't let her know, that we know, both the dispatcher and the officer need to make sure she doesn't hear the radio traffic.
[00:22:58.673 --> 00:22:59.034]  Stand by.
[00:22:59.054 --> 00:23:01.014]  If I could ask you to wait right here, please.
[00:23:02.495 --> 00:23:09.558]  All over the country, there have been cases of reporters being arrested for simply filming federal buildings or police officers.
[00:23:11.735 --> 00:23:17.617]  Police arrest folks all over the country for filming them in public no matter how many times state and federal courts say it's constitutional.
[00:23:18.337 --> 00:23:20.818]  And federal buildings, they'll say, don't videotape.
[00:23:21.098 --> 00:23:23.639]  Even if it's the middle of downtown Austin, like, we're terrorists.
[00:23:24.039 --> 00:23:39.025]  Our own InfoWars magazine reporter was threatened with arrest for filming a judicial building in downtown Austin until Alex Jones protested the building and got them to admit that indeed the reporter had the right to take photographs of the building.
[00:23:39.881 --> 00:23:46.082]  But listen, all I'm saying is, she... Okay, so it's not illegal for her as a journalist to take photos of this building?
[00:23:46.202 --> 00:23:47.122]  Okay, okay.
[00:23:48.043 --> 00:23:48.963]  Okay, okay.
[00:23:49.003 --> 00:23:52.363]  Because I had to sit there and explain to her that she's not going to go to jail.
[00:23:52.463 --> 00:23:58.785]  In states like Illinois, they've abused wiretapping laws set up in the 70s meant to protect people from covert recordings.
[00:23:59.205 --> 00:24:05.386]  It tried to apply them to out in the open cameras and audio recorders trying to say that it's a crime.
[00:24:05.586 --> 00:24:12.094]  Authorities are being ordered to stop arresting and charging citizens who record audio of police in public.
[00:24:12.354 --> 00:24:19.663]  But the ruling is only a temporary order, which says the Illinois eavesdropping law likely violates the First Amendment.
