[00:00:02.782 --> 00:00:04.806]  You're listening to GCN.
[00:05:32.687 --> 00:05:38.892]  Order the sampler, a 1-2 month supply or get a 1-2 year supply of soaps for all your cleaning needs.
[00:05:39.332 --> 00:05:42.334]  You're getting soap products twice as good as what you're using now.
[00:05:42.874 --> 00:05:47.297]  This is an amazing deal and you will love the way real soap makes your skin feel.
[00:05:47.538 --> 00:05:54.602]  Call 1-800-340-7091 or visit www.5starsoap.com.
[00:05:54.923 --> 00:05:59.005]  Alex and his staff have used these earth friendly pure soaps for years.
[00:05:59.546 --> 00:06:04.409]  See them on the web www.5starsoap.com or call 1-800-340-7091 for a catalog.
[00:06:09.672 --> 00:06:12.453]  Protecting your home with a security system is a must.
[00:06:12.673 --> 00:06:18.716]  But when it comes to protecting your family, your home, and belongings, there's no need to sign a long-term contract.
[00:06:19.056 --> 00:06:25.478]  Listen, there is some real scum in the alarm business cashing in by locking you into long, punishing contracts.
[00:06:25.858 --> 00:06:27.799]  Not with SimpliSafe Home Security.
[00:06:28.139 --> 00:06:29.200]  They're the good guys.
[00:06:29.500 --> 00:06:32.141]  You can trust SimpliSafe to protect your family.
[00:06:32.541 --> 00:06:36.862]  SimpliSafe was created by a Harvard Business School engineer and it's revolutionary.
[00:06:37.062 --> 00:06:40.343]  You'll get 24-hour protection for just $14.99 a month.
[00:06:40.603 --> 00:06:43.324]  There are no hidden fees and no contracts.
[00:06:43.524 --> 00:06:47.805]  You'll save thousands, plus you're protected by their 100% money-back guarantee.
[00:06:48.145 --> 00:06:51.206]  Protect yourself against home invasions and break-ins.
[00:06:51.586 --> 00:06:55.827]  Order your SimpliSafe system now and receive a wireless keychain remote, a $25 gift,
[00:06:57.367 --> 00:06:57.688]  Free.
[00:06:58.128 --> 00:07:00.752]  So don't waste your time dealing with scum.
[00:07:01.133 --> 00:07:03.336]  Visit GetSimplySafe.com.
[00:07:03.656 --> 00:07:05.700]  GetSimplySafe.com.
[00:07:05.940 --> 00:07:07.803]  GetSimplySafe.com.
[00:07:09.608 --> 00:07:14.709]  Alex Jones here, and I want to tell you about a longtime friend of the show, My Patriot Supply.
[00:07:15.069 --> 00:07:23.551]  As you might remember, this is the company that stood up to the DHS and exposed FEMA's secret plan to begin hoarding emergency survival food.
[00:07:23.971 --> 00:07:31.272]  It has always been my belief that it's key to stand behind companies who share the same values as their fellow Patriots.
[00:07:31.792 --> 00:07:39.174]  My Patriot Supply brings us their exclusive Patriot Pantry brand, along with many other fine preparedness products.
[00:07:39.694 --> 00:07:43.095]  I personally store and use their high-quality products.
[00:07:43.655 --> 00:07:47.276]  It tastes great, and it's easy to store for up to 25 years.
[00:07:47.836 --> 00:07:54.438]  For a limited time, you can save $50 instantly on a four-week supply of food, along with other special offers.
[00:07:54.978 --> 00:08:01.720]  Visit mypatriotsupply.com forward slash alex today, with the New World Order making rapid advances on every front.
[00:08:02.200 --> 00:08:06.241]  It is essential to prepare with My Patriot Supply today.
[00:08:24.466 --> 00:08:28.350]  If you are receiving this transmission, you are the resistance.
[00:08:29.432 --> 00:08:34.137]  Live from the InfoWars.com studios, it's Alex Jones.
[00:08:40.908 --> 00:08:44.469]  Ladies and gentlemen, it is Monday, the 21st day of October, 2013.
[00:08:45.450 --> 00:08:49.451]  I am Alex Jones, your host.
[00:08:49.491 --> 00:08:52.832]  We're going to be live here for the next three hours, Lord willing.
[00:08:53.233 --> 00:08:55.313]  Greg Powless, investigative journalist with ABC News.
[00:08:56.914 --> 00:09:13.734]  BBC, you name it, will be joining us to give you intel on the government shutdown, on the banker bailouts, on what's happening in Europe, what's happening with QAE Unlimited, and the dollar news too hot for even the BBC and Newsnight.
[00:09:13.834 --> 00:09:15.836]  So he'll be joining us at the bottom of the next hour.
[00:09:17.375 --> 00:09:23.421]  Then we are going to be joined in studio by the one, the only, John McAfee.
[00:09:24.101 --> 00:09:26.523]  Whoismcafee.com, gregpalus.com.
[00:09:26.563 --> 00:09:28.905]  Both those gentlemen are going to be joining us today.
[00:09:28.985 --> 00:09:34.090]  Palus via Skype, McAfee in studio, coming to Austin to visit with me.
[00:09:34.550 --> 00:09:43.398]  So I look forward to that, getting his take on the whole world, the NSA, his adventures, getting back into the United States, and so much more.
[00:09:44.139 --> 00:09:46.240]  And his take on HealthCare.gov's failure.
[00:09:46.400 --> 00:09:46.780]  All of it.
[00:09:47.300 --> 00:10:06.366]  By the way, the best coverage out there, bar none, on what's happening with HealthCare.gov and the death spiral, as it's being called, of credibility for Obozo and his miscreant followers is at DrugsReport.com.
[00:10:06.866 --> 00:10:08.367]  Emergency surgery.
[00:10:08.427 --> 00:10:11.868]  Obama just completed a Rose Garden speech and some woman collapsed.
[00:10:13.251 --> 00:10:19.858]  Obama calls in techies for the fix, calling it a new Manhattan Project to get it repaired.
[00:10:19.878 --> 00:10:23.422]  Well, you can't fix what was designed to be broken.
[00:10:24.143 --> 00:10:28.548]  Best and brightest drafted, emergency SOS issued, hospitals
[00:10:29.895 --> 00:10:33.296]  Face whole new world under Obamacare.
[00:10:33.356 --> 00:10:37.218]  Sebelius will not testify before Congress, even though she's been ordered to appear.
[00:10:37.638 --> 00:10:40.899]  Five million lines of software code needs to be rewritten.
[00:10:40.959 --> 00:10:48.342]  We've had software engineers on two and a half weeks ago who showed copies of the code on TV for our radio listeners.
[00:10:48.742 --> 00:10:52.724]  And they can always go to InfoWars.com forward slash show and see the free video feed.
[00:10:53.504 --> 00:11:04.277]  But we actually showed the code in articles on InfoWars.com that Mike Adams first broke from NaturalNews.com dealing with this, where it was designed to not work.
[00:11:04.397 --> 00:11:06.600]  It wasn't just bad code, it was gibberish.
[00:11:07.839 --> 00:11:23.654]  It was just having 14 monkeys chained up to word processors, feeding them a mixture of PCP, Mountain Dew, and Hot Pockets, and methamphetamine, just wildly typing.
[00:11:23.674 --> 00:11:27.358]  I mean, they didn't say, all work and no play, Max Jackadawboy.
[00:11:28.038 --> 00:11:31.643]  Over and over again, all work and no play, makes Jack a dull boy.
[00:11:31.663 --> 00:11:36.729]  I mean, that would have at least said something, even though it was said hundreds and hundreds of times in The Shining.
[00:11:37.170 --> 00:11:39.773]  No, no, no, I mean, that at least made some sense, at least it did to me.
[00:11:41.014 --> 00:11:45.099]  But the point is, is that we're dealing with
[00:11:46.181 --> 00:11:51.064]  Monkeys on PCP and Mountain Dew, chained up, typing this as a complete joke on everyone.
[00:11:51.525 --> 00:11:55.027]  And now they can take six months, a year, whatever, to quote, make it work.
[00:11:55.327 --> 00:12:15.801]  And by then, you'll just be accustomed to the fact that you now just have to pay giant fines if you don't have the original health care system, and that the insurance companies are allowed to double the premiums on you, bare minimum, while lowering the type of care you get, and then getting rid of original charity care.
[00:12:16.561 --> 00:12:32.231]  That's why 15 years ago they phased out Do No Harm, the Hippocratic Oath of Medicine, because now it's exterminate people as fast as possible for the New World Order, kill one granny, hire 10 teachers, a la Bill Gates, a la The Case for Killing Granny, Newsweek cover.
[00:12:33.314 --> 00:12:51.353]  So, I told you, this is the plan, and this is how pirates operate, and believe me, they are laughing intensely over this right now, because the lottery ticket mentality of the Obozo followers clearly states that
[00:12:52.338 --> 00:12:55.921]  The law of the lottery ticket purchaser.
[00:12:56.581 --> 00:13:00.744]  And again, I'm not saying you're bad if you buy an occasional lottery ticket just for fun or as a diversion.
[00:13:00.944 --> 00:13:06.788]  But people that really think that's their business plan in life is they're going to win a big multi-million dollar lottery.
[00:13:06.908 --> 00:13:11.432]  Again, they've got a better chance of finding a leprechaun with a pot of gold at the end of it.
[00:13:12.613 --> 00:13:14.154]  Or maybe a unicorn in their backyard.
[00:13:14.194 --> 00:13:15.495]  I mean, this is ridiculous.
[00:13:16.650 --> 00:13:24.615]  They are going to now defend the program even more and say that anyone that criticizes it, you're the ones keeping them from their goody.
[00:13:24.935 --> 00:13:34.401]  Because vicious offshore banks that run giant death camp operations in China with suicide nets, they're liberal and trendy, and these big megabanks that wrote
[00:13:34.901 --> 00:13:41.243]  The Obozo Care, they really love poor Americans, even though they set up total slave grids worldwide.
[00:13:41.563 --> 00:13:51.105]  In this exception, they really want to give you something free because they care about you and want to take long walks down forest paths with you and kiss you all day.
[00:13:51.285 --> 00:13:52.085]  They're not predators.
[00:13:52.105 --> 00:13:52.845]  They're not vicious.
[00:13:53.085 --> 00:13:54.046]  You didn't get scammed.
[00:13:54.266 --> 00:13:55.146]  You didn't get had.
[00:13:55.786 --> 00:13:59.867]  Those of us that don't like Obamacare, and we're right about it, we're the bad men.
[00:14:00.649 --> 00:14:01.850]  And indeed, that's now being said.
[00:14:01.950 --> 00:14:14.536]  Obozo said during his press conference that the glitches are due to the government shutdown and that it's quote, a really good deal and wait, it gets better.
[00:14:15.276 --> 00:14:16.517]  He just finished his speech a few minutes ago.
[00:14:16.537 --> 00:14:17.397]  We're going to get this clip.
[00:14:18.097 --> 00:14:18.878]  This is the best part.
[00:14:21.357 --> 00:14:23.939]  Exceeding expectations, oh yes.
[00:14:24.380 --> 00:14:25.321]  And actually it is.
[00:14:26.221 --> 00:14:38.332]  It actually is exceeding expectations in a big way because they've been able to already more than double the average premium and more than triple the average deductible from around $2,000 to around $6,400.
[00:14:42.216 --> 00:14:52.363]  So it is exceeding the expectation of the raping the American people with a giant red-hot poker while pouring acid over your head.
[00:14:52.883 --> 00:14:55.505]  I mean, yes, it is a great deal.
[00:14:55.945 --> 00:15:02.970]  Kind of like when Al Gore on Larry King Live back in 1993 said, Larry, this is a good deal.
[00:15:03.391 --> 00:15:05.132]  Don't listen to Ross Perot.
[00:15:05.652 --> 00:15:09.295]  NAFTA and GAD will raise our wages.
[00:15:09.895 --> 00:15:21.534]  Which actually have gone down, not just via inflation, but literal wages, according to 1993 numbers, are down compared to that date, just in cold hard cash.
[00:15:23.186 --> 00:15:31.956]  But see, Al Gore, Al Gore, Al Gore, he said it was a good deal.
[00:15:34.198 --> 00:15:38.023]  And the unions all signed on to it because they like Democrats.
[00:15:38.763 --> 00:15:41.847]  How did that go for you, Naftan Gad?
[00:15:42.387 --> 00:15:43.228]  I couldn't laugh.
[00:15:43.389 --> 00:15:44.049]  I'm just sorry.
[00:15:44.790 --> 00:15:51.354]  I was actually out there right before the show started in the coffee room and he was up on television and I heard him say that.
[00:15:51.814 --> 00:16:04.322]  I heard him say that it's exceeded expectations and as he looked back and forth at the teleprompter and I just cannot handle it anymore with this group of morons surrounding him all getting off on being near the president.
[00:16:04.462 --> 00:16:06.683]  I mean I just cannot imagine it.
[00:16:07.704 --> 00:16:08.544]  Excuse me, I'm kind of...
[00:16:09.505 --> 00:16:10.806]  I'm having a meltdown here of my own.
[00:16:10.866 --> 00:16:12.327]  Obama healthcare website.
[00:16:12.748 --> 00:16:19.753]  Problems inexcusable though, but the healthcare deal itself is exceeding expectations and is a good deal.
[00:16:20.113 --> 00:16:25.357]  And he's hiring an emergency team to get in there and fix it as soon as they can.
[00:16:26.158 --> 00:16:36.244]  And if we don't stand up to these folks, they'll be having health care summits ten years from now, like the Middle Eastern-Israeli-Palestinian peace process.
[00:16:36.604 --> 00:16:37.444]  Total diversion.
[00:16:37.484 --> 00:16:38.705]  There is no peace process.
[00:16:39.025 --> 00:16:43.208]  It's just a way to keep it going off into the future as part of a fake process forever.
[00:16:43.468 --> 00:16:44.428]  And this is the same thing.
[00:16:44.708 --> 00:16:52.253]  The bill is a success, just like the drug war is a success for the big six banks that launder 500 billion North American dollars a year.
[00:16:52.913 --> 00:17:00.399]  Over a trillion worldwide, controlling the narcotics trade, owning the aircraft, funding the mercenaries, loaning them the money for the arms.
[00:17:01.300 --> 00:17:10.928]  It's an incredible success having the biggest prison population in the world, filled with non-violent offenders, working for the big narcotics cartels and the banks that own the private prisons.
[00:17:11.288 --> 00:17:20.356]  The drug war is a smashing, total, absolute, devastator success for the crime syndicates, who also run the child kidnapping rings and other things on the side, publicly.
[00:17:21.300 --> 00:17:22.401]  So, big success there.
[00:17:24.342 --> 00:17:26.743]  Obamacare is a devastating success.
[00:17:27.263 --> 00:17:41.811]  Obama is a devastating success for the New World Order, crushing the Lemmings, crushing the American people, shutting down the power plants, federalizing the schools, trying to open the borders up, legalizing the illegals to drive down wages by fiat.
[00:17:42.232 --> 00:17:44.513]  He's just devastating the Republic right now.
[00:17:44.973 --> 00:17:47.375]  But he'll be called a failure and fade off into the distance.
[00:17:47.996 --> 00:17:48.657]  But it won't matter.
[00:17:48.697 --> 00:17:50.398]  He would have gotten his job done.
[00:17:50.758 --> 00:17:56.904]  So, hats off to Obama if you love the New World Order and are rooting for the 6,000 globalist superclass.
[00:17:57.384 --> 00:17:58.706]  So, emergency surgery.
[00:17:59.146 --> 00:18:00.127]  Oh my gosh.
[00:18:00.447 --> 00:18:03.409]  Like in Hellraiser when one of the guys is going to do surgery on somebody.
[00:18:03.709 --> 00:18:04.629]  He wants to help you.
[00:18:05.450 --> 00:18:10.413]  Emergency, or kind of like the Manson clan, did surgery on Sharon Tate.
[00:18:10.913 --> 00:18:13.655]  Yes, they're going to do special surgery.
[00:18:14.915 --> 00:18:17.117]  Obama calls in techies for the fix.
[00:18:17.497 --> 00:18:18.978]  Best and brightest drafted.
[00:18:19.518 --> 00:18:20.038]  SOS.
[00:18:20.419 --> 00:18:24.361]  Hospitals face whole new world as the whole healthcare system is wrecked.
[00:18:24.721 --> 00:18:25.862]  Sebelius on the run.
[00:18:26.142 --> 00:18:29.344]  Five million lines of software code needed to be rewritten.
[00:18:30.652 --> 00:18:34.174]  So, chimpanzees rewriting it didn't work, so now they're gonna bring in orangutans.
[00:18:34.674 --> 00:18:36.335]  Credibility death spiral?
[00:18:36.495 --> 00:18:37.876]  No, no.
[00:18:39.257 --> 00:18:42.018]  Consumer Reports, stay away from healthcare.gov.
[00:18:42.399 --> 00:18:44.540]  It's an identity theft operation.
[00:18:44.620 --> 00:18:45.200]  Oh, really?
[00:18:45.801 --> 00:18:46.201]  Really?
[00:18:46.261 --> 00:18:46.981]  I didn't know that.
[00:18:47.001 --> 00:18:49.743]  Oh, trendy though.
[00:18:50.851 --> 00:18:53.794]  Continuing, enrollees pose with President in Rose Garden.
[00:18:54.234 --> 00:18:56.756]  Obama late to his own presser on Obama glitches.
[00:18:57.597 --> 00:18:59.418]  He blames the glitches on shutdown.
[00:18:59.799 --> 00:19:00.539]  It's a good deal.
[00:19:00.619 --> 00:19:04.583]  I mean, you just cannot make up how thoroughly disgusting it is.
[00:19:04.643 --> 00:19:08.766]  And then right below it is an InfoWars.com article.
[00:19:10.548 --> 00:19:14.891]  Americans sign petition to support Nazi-style Orwellian police state.
[00:19:16.313 --> 00:19:18.855]  And Mark dies very clearly to people that speak good English.
[00:19:20.851 --> 00:19:25.073]  You know, people with American accents says we're going to take the rights and set up Nazi Germany in America.
[00:19:25.433 --> 00:19:26.014]  For Obama.
[00:19:27.555 --> 00:19:29.856]  And if it's for Obama, well then absolutely Heil Hitler.
[00:19:30.756 --> 00:19:31.997]  That's what I've always explained here.
[00:19:32.017 --> 00:19:40.822]  I mean, it's like Schwarzenegger can say he loves Kurt Voltheimann, loves Hitler, and loves the SS in Rolling Stone interviews and on video, and it's fine.
[00:19:41.602 --> 00:19:48.566]  I say I want smaller government, the Second Amendment, the Southern Primary Law Center says I'm basically a Nazi with absolutely no proof, and so does the MSNBC.
[00:19:49.761 --> 00:19:49.961]  And Ms.
[00:19:50.041 --> 00:19:55.145]  NBC publicly says that I'm deeply racist and behind the Boston bombing with no proof.
[00:19:56.666 --> 00:19:59.128]  But Arnold Schwarzenegger is a Nazi and that's good.
[00:19:59.528 --> 00:20:01.350]  He's liberal and loving because he wants your guns.
[00:20:02.450 --> 00:20:08.195]  And he wants carbon taxes so it's okay to be an actual Nazi and actually wear death's heads in public and SS uniforms.
[00:20:09.881 --> 00:20:12.042]  So, you've decided to get prepared.
[00:20:12.222 --> 00:20:18.265]  You're not sure that a case of ramen and a couple of granola bars under your bed will cut it as long-term food storage anymore.
[00:20:18.445 --> 00:20:19.085]  You're in luck!
[00:20:19.245 --> 00:20:22.687]  At Emergency Essentials, we have all the resources to get you started.
[00:20:22.847 --> 00:20:28.009]  From three-day emergency bug-out bags to a year's supplies of food and everything in between.
[00:20:28.209 --> 00:20:31.531]  Call Emergency Essentials at 800-999-1863 or visit BePrepared.com.
[00:20:31.551 --> 00:20:32.591]  The choice is clear.
[00:20:32.651 --> 00:20:34.372]  Be unprepared or BePrepared.com.
[00:20:39.674 --> 00:20:40.695]  Hi, this is Ted Anderson.
[00:20:40.795 --> 00:20:45.118]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:20:45.278 --> 00:20:50.902]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:20:51.002 --> 00:20:53.084]  Gold has outperformed paper investments yet.
[00:20:53.164 --> 00:20:54.345]  No word about IRAs.
[00:20:54.585 --> 00:20:57.146]  If you would like to have gold for your retirement, call 800-686-2237.
[00:20:57.247 --> 00:21:02.070]  Don't get left behind by rising inflation and low returns.
[00:21:02.210 --> 00:21:02.450]  Call 800-686-2237.
[00:21:02.510 --> 00:21:03.831]  Secure your future and call 1-800-686-2237.
[00:21:09.491 --> 00:21:22.614]  With over 3,000 years of historic use, Pure Silver continues to be one of nature's most reliable and effective agents against fighting viruses, mold, fungus, bacteria, pathogens and parasites.
[00:21:23.254 --> 00:21:33.556]  At Silver Lungs, we have developed a reliable and easy-to-use full production system for creating endless Pure Nano Silver solutions right from the convenience and comfort of your home.
[00:21:34.196 --> 00:21:38.420]  Your self-produced nano-silver solutions can be applied topically to the skin.
[00:21:38.861 --> 00:21:54.896]  For many who are new to silver that wish to try silver for the first time, we offer a full line of consumables and cosmetics, such as our 2-ounce nano-silver nasal sprays, our nano-silver soap, and our most popular product, the all-natural nano-silver gel.
[00:21:55.737 --> 00:22:03.171]  Visit www.silverlungs.com to learn more about the industry-leading technology of the Silver Lungs System.
[00:22:03.592 --> 00:22:06.818]  That's www.silverlungs.com.
[00:22:10.552 --> 00:22:15.015]  And now, an important sponsored message for men only from GetEDSolutions.com.
[00:22:15.255 --> 00:22:23.240]  Men who were formerly taking ED medication are now reporting that a secret underground video has restored their male performance better than pills.
[00:22:23.560 --> 00:22:31.726]  These men say this secret underground video is bringing back the male performance and sensation they've been missing for years, and it's working better than pills.
[00:22:32.026 --> 00:22:33.247]  Things are so much better now.
[00:22:33.627 --> 00:22:35.888]  Everything kinda came back overnight.
[00:22:36.048 --> 00:22:38.470]  My girlfriend is very happy.
[00:22:38.610 --> 00:22:41.993]  I purchased your product yesterday, and it was fantastic.
[00:22:42.093 --> 00:22:45.736]  I have used your system for about three weeks, and I'm already seeing great results.
[00:22:45.996 --> 00:22:52.161]  The owner of this video has reported the overwhelming bandwidth costs may necessitate his taking this video down.
[00:22:52.361 --> 00:22:58.606]  Don't miss watching this urgent video on fixing mail performance while it's still up at GetEDSolutions.com.
[00:22:58.806 --> 00:23:03.330]  There may only be hours left, so watch now at GetEDSolutions.com.
[00:23:03.590 --> 00:23:05.472]  GetEDSolutions.com.
[00:23:05.672 --> 00:23:07.053]  GetEDSolutions.com.
[00:23:09.758 --> 00:23:11.359]  Time and time again.
[00:23:11.379 --> 00:23:14.200]  You need to come here and help us.
[00:23:14.300 --> 00:23:15.380]  We need assistance.
[00:23:15.740 --> 00:23:16.280]  Please!
[00:23:16.560 --> 00:23:19.861]  Those we should be able to depend on let us down.
[00:23:20.122 --> 00:23:26.264]  Federal and state and local officials saying help is on the way, while the folks here in Bell Harbor say show me.
[00:23:26.524 --> 00:23:28.865]  Don't depend on the government to save you.
[00:23:29.065 --> 00:23:30.045]  Take action now.
[00:23:30.345 --> 00:23:35.430]  So that you're prepared for the next disaster with MyPatriotsupply.com.
[00:23:35.690 --> 00:23:48.001]  Get the best prices on storable food, non-GMO seeds, water filtration devices, home canning equipment, survival and self-reliance books, and more at MyPatriotsupply.com.
[00:23:48.021 --> 00:23:48.442]  Call 866-229-0927.
[00:23:52.065 --> 00:23:56.151]  We are hurting down here and we need help immediately.
[00:23:56.211 --> 00:24:00.557]  Before it's time to survive, it's time to prepare.
[00:24:00.998 --> 00:24:05.384]  MyPatriotSupply.com MyPatriotSupply.com
[00:24:12.853 --> 00:24:15.295]  Don't worry, this show is documented.
[00:24:15.855 --> 00:24:18.617]  Alex Jones on the GCN Radio Network.
[00:24:19.038 --> 00:24:22.520]  I fell into a burning ring of fire.
[00:24:22.921 --> 00:24:27.144]  I went down, down, down, and the flames went higher.
[00:24:27.624 --> 00:24:34.229]  And it burns, burns, burns, the ring of fire, the ring of fire.
[00:24:35.450 --> 00:24:38.092]  And it burns, burns, burns, the ring of fire.
[00:24:38.112 --> 00:24:40.834]  You know, the taste of love is sweet when hearts like ours meet.
[00:24:40.874 --> 00:24:42.135]  The ring of fire.
[00:24:44.264 --> 00:24:46.225]  Ladies and gentlemen, we are live.
[00:24:46.625 --> 00:24:48.965]  Up on InfoWars.com, a lot of wild news.
[00:24:49.005 --> 00:24:58.608]  Remember last week when one of the stenographers got up and she started giving a speech about how they were men of the devil and Freemasons and all this stuff?
[00:24:59.488 --> 00:25:12.552]  Well, it turns out there's this video that Watson posted up on InfoWars.com of her being totally normal and some guy talking to her and then she goes into what looks like a trance, like a robot, and then marches in to give the speech and take over.
[00:25:14.168 --> 00:25:15.870]  Very, very bizarre.
[00:25:15.970 --> 00:25:18.812]  Top Democrat opens door for Social Security cuts.
[00:25:19.452 --> 00:25:20.473]  Told you that was coming.
[00:25:20.493 --> 00:25:23.376]  They're not going to let the baby boomers get the Social Security, folks.
[00:25:24.116 --> 00:25:25.197]  I mean, come on.
[00:25:25.818 --> 00:25:26.798]  They're going to phase it out.
[00:25:26.858 --> 00:25:27.899]  They've done it in every country.
