[00:00:00.280 --> 00:00:09.607]  Ladies and gentlemen, you saw, you heard the broadcast title today of the Alex Jones Show.
[00:18:28.537 --> 00:18:42.022]  And they're in the Financial Times of London, they're at the CFR, they put out reports saying that a new order is forming, run by the UN and NATO, with shared power by what's left of the US, the European Union, and the Communist Chinese.
[00:18:43.442 --> 00:18:45.263]  Russia is basically cut out of that agreement.
[00:18:47.133 --> 00:19:01.581]  And so they are bringing in the end of the dollar as the world reserve currency and with it a new digital world currency tied to your COVID passport and tied to your carbon passport.
[00:19:01.601 --> 00:19:03.062]  This is the official plan now being announced.
[00:19:03.422 --> 00:19:05.163]  I told you about it decades ago, but now it's here.
[00:19:05.424 --> 00:19:06.364]  It's not theoretical.
[00:19:06.424 --> 00:19:07.265]  It's not in beta.
[00:19:07.825 --> 00:19:08.926]  It's in launch mode.
[00:19:10.967 --> 00:19:32.024]   And once they've done that, they can fully collapse the old monetary system Destroying your wealth, destroying what you have, and for you to be able to opt into the new global currency, you're going to have to pledge a large part of your wealth into this collective system for even the right to be in the new digital currency that has blockchain and has value.
[00:19:32.704 --> 00:19:40.632]   And so that is what they are walking us into, and that's why they're doing the things That they're currently doing.
[00:19:40.812 --> 00:19:47.077]  Abolishing the police, undermining the borders, collapsing the country, demonizing the nation's very existence.
[00:19:48.198 --> 00:19:51.981]  Putting in a president that can hardly talk, that people know stole the election.
[00:19:53.682 --> 00:20:04.791]  To carry all this out so you get angry and upset and lose faith and finally start rioting and hitting targets that are only going to hurt you, burning down your own neighborhoods.
[00:20:06.909 --> 00:20:12.655]  And then after the collapse, the globalists come in with their new currency and buy everything up with their digital fiat system.
[00:20:12.875 --> 00:20:23.225]  But on the way to collapsing everything, they're flooding the world with yins and yawns and euros and rubles and dollars.
[00:20:24.448 --> 00:20:44.301]  That they have control of at first use to buy up industry, and to buy up leaders, and to buy up medicine, and science, and universities, and other banks, and warehouses, and trucking companies, and concrete companies, and farms, and ranches, with all the fiat, because they've been slowly devaluing it since 1913.
[00:20:46.882 --> 00:20:49.444]  A hundred and plus years ago.
[00:20:51.508 --> 00:20:52.208]  The Federal Reserve.
[00:20:52.728 --> 00:21:02.330]  Now the dollar is only worth 1% of what it was, but still that 1% now, they're going to devalue out very quickly and leave you with the devaluation and the inflation.
[00:21:03.931 --> 00:21:05.071]  And that's what's being sold.
[00:21:05.091 --> 00:21:07.892]  That's what's being pushed.
[00:21:07.972 --> 00:21:10.272]  That's the savior all over the news.
[00:21:10.912 --> 00:21:13.713]  The new form of currency could transform the way we see money.
[00:21:15.265 --> 00:21:25.569]  And they're going to tell us it's going to be on how you act and where you spend it and what you do, making money, not just the tax code, but money itself, pure social engineering.
[00:21:28.530 --> 00:21:29.291]  And that's where we are.
[00:21:30.171 --> 00:21:32.452]  You have lived to see the big banks take over.
[00:21:32.992 --> 00:21:34.313]  And they got the whole world through fraud.
[00:21:35.538 --> 00:21:39.841]  They got the whole world going back over 500 years ago in Europe with the Rothschilds and others.
[00:21:40.662 --> 00:21:44.924]  Would be goldsmiths, and you'd keep your gold there so it wouldn't get robbed of your rubies or diamonds or silver.
[00:21:46.566 --> 00:21:47.726]  Make it seem like a big pawn shop.
[00:21:49.227 --> 00:22:04.506]   And then you would come, and you would give them one gold coin worth X, and they learned they would give you scripts saying you had one gold coin, but they learned they could loan out 10, 15, 20 times more paper script Checks than what they really had.
[00:22:04.586 --> 00:22:06.707]  And with that, they leveraged it.
[00:22:06.727 --> 00:22:08.027]  And there was lots of families doing it.
[00:22:08.347 --> 00:22:10.007]  The Rothschilds, the most famous, the most powerful.
[00:22:10.287 --> 00:22:12.808]  They got so powerful, they married into British royalty 300 years ago.
[00:22:13.568 --> 00:22:29.511]  And then in 1815, at the Battle of Waterloo, Lord Wellington defeated, in his British-Prussian pincer attack, Napoleon Bonaparte, and they sent carrier pigeons to the coast.
[00:22:30.754 --> 00:22:38.737]  On fast Corvette ships across to announce that morning that Lord Wellington had lost the war and the British stock market plunged by 99%.
[00:22:39.557 --> 00:22:42.938]  Rothschild, of course, began selling right up front.
[00:22:42.958 --> 00:22:44.479]  Everybody panicked and began selling.
[00:22:44.959 --> 00:22:46.019]  Then they came in with the news.
[00:22:46.139 --> 00:22:47.960]  Oh, my God, Wellington has lost.
[00:22:48.000 --> 00:22:49.260]  British Army destroyed.
[00:22:50.641 --> 00:22:51.881]  British Empire has collapsed.
[00:22:51.921 --> 00:22:53.342]  Napoleon rules the earth.
[00:22:54.582 --> 00:22:57.103]  And then as soon as everybody started selling, he bought it all up.
[00:22:59.164 --> 00:23:28.096]   And now, 200 plus years later, that system rules the entire planet, except for Russia and a few other countries, controls China, and now is about to put you on a digital system through an iPhone and your computer that tracks and traces where you go, what you do, decides where you can go, what you can do, and decides what your child's gonna be, and if your child will be allowed to have children, and you will be lesser than farm animals.
[00:23:30.111 --> 00:23:30.911]  And that's the system.
[00:23:30.972 --> 00:23:37.656]  So I've told you the background and why they're waging a new form of war to blow up the existing system.
[00:23:37.676 --> 00:23:39.257]  We're going to play that clip in a moment.
[00:23:39.797 --> 00:23:42.279]  And make you submit to this globalist takeover.
[00:23:44.380 --> 00:23:45.100]  And that's what they've done.
[00:23:46.561 --> 00:23:47.102]  And they admit it.
[00:23:47.122 --> 00:23:48.062]  They say it in the Great Reset.
[00:23:48.082 --> 00:23:49.643]  I'm going to play you clips when we come back.
[00:23:51.104 --> 00:23:52.285]  All run by face scanning.
[00:23:53.444 --> 00:23:56.165]  Oh, they're going to make you do it through the phone at first, but if you don't submit it, it doesn't matter.
[00:23:56.225 --> 00:23:57.206]  The face scan will do it.
[00:23:57.686 --> 00:24:00.407]  And then they're going to say, well, people cover their face, so you've all got to have microchips.
[00:24:00.787 --> 00:24:07.230]  That's all in Debo's group documents from 20 years ago and from five years ago, where Klaus Schwab says it on French TV.
[00:24:07.830 --> 00:24:09.431]  And now you see 60 Minutes telling you to do it.
[00:24:10.211 --> 00:24:16.474]  And all these fools think, I'll just go along, I'll be part of the system, I'll make money administering this.
[00:24:16.554 --> 00:24:21.557]  But you're coming down to the end of the road where you're going to lose everything you've got doing this.
[00:24:21.917 --> 00:24:23.838]  The only future is to say no to this.
[00:24:23.858 --> 00:24:28.360]  Plus, more importantly, it's about your soul and the decision you make against this right now.
[00:24:28.740 --> 00:24:37.685]  So that's the backdrop of why they've launched this bio-war, make us all sick and collapsing, so things fall apart, so we accept the new digital world government currency and the Great Reset.
[00:24:38.385 --> 00:24:39.125]  That's what they call it.
[00:24:39.225 --> 00:24:40.106]  The Great Reset.
[00:24:40.466 --> 00:24:41.326]  Build back better.
[00:24:41.586 --> 00:24:42.706]  Gotta blow us up first.
[00:24:43.907 --> 00:24:46.388]  When I grow up, I want to defeat the globalists.
[00:24:49.269 --> 00:24:50.989]  We now take you live.
[00:24:53.090 --> 00:24:53.150]  Woo!
[00:24:53.170 --> 00:24:54.891]  Here we go.
[00:24:54.911 --> 00:24:58.912]  Let's get into it right now, ladies and gentlemen.
[00:25:00.435 --> 00:25:01.556]  There's a global reset.
[00:25:02.036 --> 00:25:03.757]  Banks control the world through fraud.
[00:25:04.518 --> 00:25:06.839]  They want total social control of everything you do.
[00:25:06.859 --> 00:25:13.303]  When I talk about the bank, I don't mean the little farm bank, or I don't mean the local credit union, or I don't even mean the regional bank.
[00:25:13.843 --> 00:25:14.684]  Those are your friends.
[00:25:14.724 --> 00:25:16.045]  Those are good people on average.
[00:25:17.478 --> 00:25:24.161]  I'm talking about the private shareholders of the European Central Bank, the British Central Bank, the U.S.
[00:25:24.181 --> 00:25:28.923]  Central Bank, the Canadian Central Bank, the Australian and New Zealand Central Banks.
[00:25:29.383 --> 00:25:31.344]  Those are all owned by less than 10 families.
[00:25:33.085 --> 00:25:38.428]  We know the shareholders of the Federal Reserve in 1913, 100 plus years ago.
[00:25:40.949 --> 00:25:45.311]  And they want social control over everybody they believe they own and run the planet.
[00:25:45.981 --> 00:25:50.063]  And they believe that you're like cockroaches that got into the cupboard that are in their food.
[00:25:51.504 --> 00:25:59.988]  And so they want to bring in a cashless society to be able to, again, behaviorally manipulate and control and have control over your body.
[00:26:00.388 --> 00:26:02.889]  And I told you this 20 years ago because it was in their own documents.
[00:26:03.610 --> 00:26:06.031]  I said, they're going to come out with a world government, with a world ID.
[00:26:06.371 --> 00:26:08.972]  It'll be on smartphones, I said, 15 years ago, on record.
[00:26:08.992 --> 00:26:09.613]  It's in my film, Endgame.
[00:26:10.583 --> 00:26:14.025]  And it will track and trace where you go and say where you can go and what you can do.
[00:26:14.045 --> 00:26:25.974]  And they will make you take GMO injections, because they said this, genetically altering injections, so that you will, quote, be better for the earth.
[00:26:25.994 --> 00:26:39.400]   And I remember doing research for Endgame, and we covered it 15 years ago, where they talked about, we'll give you an injection That makes you allergic to meat, so you won't be able to eat meat, and that'll lower the carbon footprint.
[00:26:40.041 --> 00:26:49.653]  Well, now one of Bill Gates' top people, that's worked for the federal government, major universities, came out last year and said, we want to give you an injection that makes you allergic to meat.
[00:26:51.695 --> 00:26:53.818]  An mRNA vaccine that makes you allergic to meat.
