[00:00:00.069 --> 00:00:03.832]  You're watching the American Journal with Harrison Smith.
[00:21:33.797 --> 00:21:41.044]  A little bit of potash, or a little bit of barium salts, a little bit of dioxide, sprayed out of a jet engine, forms a false cloud, an artificial cloud.
[00:21:41.424 --> 00:21:48.250]  Well, this forms little protein clouds in your brain, and then you have the same symptoms old Joe Biden has.
[00:21:48.471 --> 00:21:52.975]  The perfect mascot for a nation and a world under prion attack.
[00:21:53.335 --> 00:21:54.816]  And here he is, telling you about the prions.
[00:21:56.278 --> 00:21:58.120]  Do something about Alzheimer's in America.
[00:21:59.267 --> 00:22:09.454]  Every single solitary hospital bed that exists in America, the nurses can tell you, every single one, will be occupied in the next 15 years with an Alzheimer's patient.
[00:22:09.854 --> 00:22:10.515]  Every one.
[00:22:11.175 --> 00:22:11.656]  You hear that?
[00:22:12.756 --> 00:22:14.757]  And that's a little inside thing he's been brought in on.
[00:22:15.478 --> 00:22:18.279]  He's been told, sir, we have nanobots that can cure you.
[00:22:18.560 --> 00:22:20.861]  So he's signing off on all of it.
[00:22:21.461 --> 00:22:25.444]  And now they're announcing, oh, we're going to just, without approval, start giving you nanobots.
[00:22:25.464 --> 00:22:27.265]  We may just spray them on you for your own good.
[00:22:27.285 --> 00:22:31.147]  And you hear about San Francisco, and you hear about Toronto, and you hear about London.
[00:22:31.388 --> 00:22:33.909]  Oh, they're giving little kids shots at school without asking the parents.
[00:22:34.129 --> 00:22:36.331]  It's totally illegal, but you know it's for the greater good.
[00:22:37.071 --> 00:22:40.675]  And they announced, oh, we're just going to give the kids nano patches.
[00:22:40.855 --> 00:22:41.856]  Oh, that's in the news today.
[00:22:42.196 --> 00:22:44.318]  You just put it on you and it puts chips into your blood.
[00:22:44.358 --> 00:22:45.839]  And oh my God, it's so trendy.
[00:22:46.960 --> 00:22:47.841]  So fun.
[00:22:47.941 --> 00:22:48.282]  So good.
[00:22:48.542 --> 00:22:49.983]  So anti-establishment.
[00:22:50.043 --> 00:22:50.944]  So antifa.
[00:22:51.725 --> 00:22:54.668]  To, you know, take what Prince Charles and Bill Gates wanted to our bodies.
[00:22:54.908 --> 00:22:57.390]  You know, Bill Gates is our doctor and pediatrician now.
[00:22:57.891 --> 00:22:59.773]  For whom the bell tolls, my friends.
[00:22:59.833 --> 00:23:01.795]  Well, it tolls for us all.
[00:23:03.010 --> 00:23:05.671]  And Roger Stone joins us here today.
[00:23:06.312 --> 00:23:07.892]  They are coming for President Trump.
[00:23:07.932 --> 00:23:09.233]  They know the election was stolen.
[00:23:09.573 --> 00:23:10.754]  They know the evidence is coming out.
[00:23:10.814 --> 00:23:17.437]  President Trump was just on a syndicated radio show and said, what happens when the people find out all these states are going to flip?
[00:23:17.897 --> 00:23:22.379]  Does that mean you go 3.5 years with someone destroying our country?
[00:23:22.399 --> 00:23:23.799]  We've got some of that interview coming up.
[00:23:24.280 --> 00:23:25.880]  Well, Roger Stone has his sources.
[00:23:25.940 --> 00:23:26.501]  I have mine.
[00:23:27.361 --> 00:23:36.306]  But you can also listen directly to the New York Attorney General, put in by Soros, running on, I will indict Trump, give me the man, I'll find you the crime.
[00:23:37.006 --> 00:23:44.170]  And so, I've got sources in the New York Southern District, because that's federal, but this is state.
[00:23:44.350 --> 00:23:48.273]  But the word I've got is, after the state hits, to get more legitimacy.
[00:23:48.333 --> 00:23:55.857]  It's ridiculous, you've got Louis Freeh giving $100,000 to Hunter Biden for access to his father when he was Vice President.
[00:23:56.980 --> 00:23:57.701]  To add credibility
[00:24:12.934 --> 00:24:14.894]  Because they don't want people to know how staged this all is.
[00:24:14.914 --> 00:24:22.196]  So Roger was going to be joining us on this subject, but he got some very serious news that needs prayer and support yesterday.
[00:24:22.636 --> 00:24:23.636]  They'd already had some tests.
[00:24:23.656 --> 00:24:25.837]  They went back to the doctors and got the news yesterday.
[00:24:26.577 --> 00:24:30.178]  And Roger's a real soldier, a real trooper, still coming on the air today.
[00:24:30.638 --> 00:24:32.938]  So he said, well, I might as well then just break the news here.
[00:24:33.718 --> 00:24:39.040]  We've also posted the statement by his pastor, Reverend Randy Coogans, at InfoWars.com.
[00:24:39.080 --> 00:24:41.080]  So, Roger, thank you for joining us, my friend.
[00:24:42.652 --> 00:24:48.854]  Alex, I'm delighted to be here and let's cover the sad news first and then move on to politics.
[00:24:50.034 --> 00:25:02.799]  It is with a heavy heart that I confirm that my wife of 30 years, Nydia Vitran Espinoza-Stone, Nydia Stone, has been diagnosed with stage 3 cancer.
[00:25:04.443 --> 00:25:07.745]  Which appears to have spread to her lungs.
[00:25:08.866 --> 00:25:15.230]  She has, I think, both the best medical and holistic advice and care you could have.
[00:25:15.831 --> 00:25:28.699]  Charlene and Ty Bollinger, good friends of ours, really pioneers in the area of truth about cancer, have been an invaluable resource, as have the people at the University of Miami.
[00:25:28.719 --> 00:25:29.660]  She's a warrior.
[00:25:32.057 --> 00:25:33.018]  She is a fighter.
[00:25:33.098 --> 00:25:34.499]  She's in excellent spirits.
[00:25:35.080 --> 00:25:40.986]  She is facing this with stoicism, with bravery, with her faith.
[00:25:42.167 --> 00:25:49.734]  It is a very difficult time, but I know that millions and millions of people are praying for her as they prayed for me.
[00:25:50.689 --> 00:25:53.230]  I have seen a miracle in my own lifetime.
[00:25:53.650 --> 00:26:06.676]  God answered my prayers when I was the target of a politically motivated witch hunt and an effort to ensure that I died of COVID-19 in a rural Georgia prison.
[00:26:07.196 --> 00:26:09.777]  God answered my prayers and gave President Trump
[00:26:10.416 --> 00:26:13.298]  The strength to free me to make me a free man.
[00:26:14.239 --> 00:26:20.824]  And now I pray to God that he will that he will save the life of my beloved wife.
[00:26:21.924 --> 00:26:23.225]  This is a difficult time.
[00:26:23.326 --> 00:26:30.671]  Now, the good news is, although we lost most of our insurance, most of her medical care will be covered.
[00:26:31.283 --> 00:26:42.607]  But the cost of holistic care and the many natural supplements and regimens that can help fight cancer are things that we cannot afford today.
[00:26:42.687 --> 00:26:47.168]  Plus, thanks to the Mueller Witch Hunt, we're still struggling to recover our balance.
[00:26:48.589 --> 00:26:56.551]  My podcast begins June 1st at excluded.com, also at stonecoldtruth.com.
[00:26:57.091 --> 00:26:58.932]  We are working very hard
[00:26:59.432 --> 00:27:00.633]  To get back on our feet.
[00:27:00.793 --> 00:27:01.773]  And this is a blow.
[00:27:01.933 --> 00:27:03.554]  I must tell you, this is a blow.
[00:27:04.334 --> 00:27:07.936]  But God can do anything and we are fervently praying.
[00:27:08.596 --> 00:27:16.040]  A statement put out today by my spiritual advisor, Reverend Randy Coggins, I think sums this up very nicely.
[00:27:17.691 --> 00:27:32.916]  Well, I mean, I tell you, you, it was well known back in the 80s, early 90s, had the biggest mansion in D.C., but you got out of lobbying, or the top lobbyist probably in the world, that's admitted even in the New York Times at the time, but you got out of it, you were sick of it, you left when Manafort and others
[00:27:33.476 --> 00:27:33.996]  Stay tuned.
[00:27:52.968 --> 00:27:56.651]  That's what the system has done, so we're all praying for your amazing wife.
[00:27:56.751 --> 00:28:11.664]  I know you've got great children and grandchildren, and this is a serious situation, reading the full statement, dealing with the diagnosed with stage 3 cancer, which has spread to her lungs, and so we definitely will be praying for her and supporting you guys.
[00:28:12.244 --> 00:28:14.746]  Let's now get into why you were originally coming on, Roger.
[00:28:15.643 --> 00:28:18.564]  Again, I called you this weekend and we talked more.
[00:28:19.164 --> 00:28:22.205]  They are intending, aren't they, to indict President Trump.
[00:28:22.325 --> 00:28:24.306]  And you've read the tea leaves.
[00:28:24.486 --> 00:28:28.727]  No one's exactly sure, but we know they've got a target date of right around July 4th.
[00:28:29.027 --> 00:28:33.328]  Because I know they know that Trump's planning to bring out the total evidence of election fraud around that same date.
[00:28:33.368 --> 00:28:35.829]  And the globalists love symbolism, don't they?
[00:28:36.769 --> 00:28:49.410]  Well, I would be shocked if they did not come forward with a fabricated indictment for bank fraud or tax fraud against the former president by Manhattan District Attorney Cyrus Vance.
[00:28:50.259 --> 00:28:54.683]  By the way, Cy Vance is not exactly a non-corrupt politician himself.
[00:28:54.723 --> 00:28:59.727]  I will be breaking a number of stories at my new podcast, Get Stoned, also at Banned TV, regarding Cyrus Vance.
[00:28:59.747 --> 00:29:01.609]  He has a very interesting political history.
