[00:00:00.000 --> 00:00:17.120]  [Music]
[00:05:51.281 --> 00:06:03.992]   And the more we give in, and the more we accept the injections, and the more we accept the vaccine passports, the more power it gives these organizations and groups Who have a history of producing and releasing viruses like this before.
[00:06:04.572 --> 00:06:09.256]  And who have a history of doing illegal experimentation on the population before.
[00:06:09.576 --> 00:06:16.862]  And who have a long history of bringing dangerous drugs on the market that they knew didn't work and paying a small fine compared to their profits later.
[00:06:17.142 --> 00:06:26.674]  I want to thank South Africa's medical system and government for being open, for being transparent, sharing all the information with us.
[00:06:27.615 --> 00:06:35.505]  This new B.1.1.529 variant is concerning and has the potential to be very dangerous.
[00:06:36.457 --> 00:06:38.159]  We are raising a red flag.
[00:06:38.219 --> 00:06:41.983]  We understand that we're on the verge of a state of emergency.
[00:06:42.723 --> 00:06:50.251]  Just two weeks ago, Israel carried out a national drill to prepare for this very outcome.
[00:06:50.671 --> 00:07:11.769]   We called it the Omega War Game, the variant called Omega, of a variant that is even more contagious that may bypass to a certain degree the vaccines and now we see a variant that spreads faster and requires us to respond faster.
[00:07:12.669 --> 00:07:20.235]  We've been working together with other world leaders and now's the time to act fast, early, hard and strong.
[00:07:20.715 --> 00:07:29.200]  Yes, isn't it interesting that Israel just had a drill a few weeks ago of expanding its martial law and control for a new variant.
[00:07:29.380 --> 00:07:31.661]  Isn't that just perfect timing?
[00:07:31.881 --> 00:07:34.403]  If we pull back and look at the situation, we know what happened.
[00:07:34.543 --> 00:07:48.771]  A combine of multinational corporations that created the United Nations, the Rockefeller Foundation, working through Fauci, Bill Gates, Peter Daszak and others, developed weaponized man-made viruses at the Wuhan lab that were new life forms.
[00:07:49.336 --> 00:07:55.175]   that were different species of virus combined together, so that now as those viruses begin
[00:07:55.175 --> 00:08:02.137]   to spread, these new organisms, these alien lab-made creatures, the companies that actually
[00:08:02.137 --> 00:08:08.616]   produced them and made them will now hold the patents into the future of producing vaccines for them.
[00:08:08.859 --> 00:08:23.186]  And those very, quote, vaccines that aren't vaccines are gene therapies that make the body itself create new variants and trigger serious syndromes like ADE and Merrick-like diseases in humans.
[00:08:23.806 --> 00:08:31.509]   And if you don't know what Merrick's disease is, and if you don't know what ADE is, It is so important that you understand.
[00:08:32.449 --> 00:08:51.393]  It was Fauci and Daszak and Gates working with Chapel Hill, North Carolina, that transferred these viruses that have been gathered around the world to Wuhan in a neutral spot where it couldn't be blamed on the UN, couldn't be blamed on America, couldn't be blamed on the EU, couldn't be blamed on the Chinese.
[00:08:52.133 --> 00:08:59.739]  Without being able to blame the other groups, so that this big global government project could leak it and release it as the pretext for their takeover.
[00:09:00.040 --> 00:09:11.529]  They get their world ID, they get their carbon tax, they get their social credit score, they get their surveillance grid, they get their fear, they get their depopulation, they get all of the control they want.
[00:09:12.310 --> 00:09:13.791]  This is 21st century warfare.
[00:09:14.431 --> 00:09:15.832]  It's how the globalists have taken over.
[00:09:16.413 --> 00:09:41.850]  And that's why I was able to predict 20 years ago and 11 years ago and five years ago and two and a half years ago that this was coming because in their white papers at John Hopkins, at the UN, at the Davos Group, at the Bill and Melinda Gates Foundation, at the Rockefeller Brothers Foundation, at the Carnegie Foundation, they obsess over developing viruses and using those viruses to take over the world.
[00:09:42.650 --> 00:09:45.653]  And in 1990s, they bragged about it.
[00:09:47.035 --> 00:10:01.528]  And in 2019 on C-SPAN, Fauci and others bragged that a new virus out of China could be used to demolish the old medical system where you got to have checks and balances and got to have testing and just bring in the whole mRNA revolution.
[00:10:02.449 --> 00:10:17.607]  And basically have it where major corporations are in control of the regulations of every nation state and are able to establish a medical dictatorship worldwide that is just the tip of the spear or the leading edge of a corporate fascist system.
[00:10:18.462 --> 00:10:24.124]  Ladies and gentlemen, this was hatched in a multinational corporate level four bioweapons lab.
[00:10:24.704 --> 00:10:32.766]  It was gestated and brought to term in the most horrible communist authoritarian state the world's ever seen, Communist China.
[00:10:33.346 --> 00:11:06.977]   And then it was released upon the world by the authoritarian EU and our corrupt bureaucracies and media, creating absolute fear and mind control, and even having the Pentagon, the UK military, The Canadian military, the Australian military and others using illegal psychological warfare tactics on the public to scare us into submission and accepting this new form of worldwide martial law, corporate medical martial law, which they said they would establish using a virus and then have routine carbon lockdowns to, quote,
[00:11:07.777 --> 00:11:23.061]  Cut emissions and save the earth, but really all it is is the introduction of a technocracy through AI deploying real-time martial law, where if your smartphone doesn't give you authorization to travel outside your house or even have a job, you are locked down.
[00:11:23.401 --> 00:11:24.301]  You are not essential.
[00:11:24.381 --> 00:11:31.383]  You are a prisoner in your own home, and the entire world is turned into a giant open-air concentration camp.
[00:11:31.983 --> 00:11:32.824]  Here's the bottom line.
[00:11:33.365 --> 00:11:42.475]  This is a corporate worldwide takeover where they use the hysteria and fear of COVID to give themselves tens of trillions of dollars every single quarter.
[00:11:42.855 --> 00:11:47.280]  And then they use that money to buy up infrastructure and pass on the inflation to us.
[00:11:48.061 --> 00:12:05.726]  They are using this as the pretext to artificially bring the world into a depression, which they then blame on COVID-19, and they themselves, the author of the crises, pose as the saviors, and then bring us into a level of tyranny that is even more intense and oppressive.
[00:12:06.046 --> 00:12:09.307]  And then they simply repeat the process over and over again.
[00:12:09.787 --> 00:12:11.389]  I told you 10 years ago they would do this.
[00:12:11.930 --> 00:12:16.595]  I told you 20 months ago when this all started that it wouldn't be 15 days to flatten the curve.
[00:12:17.176 --> 00:12:22.823]  I told you that the worst part about 15 days to flatten the curve would be the first two years.
[00:12:23.443 --> 00:12:25.025]  Well, soon it'll be the first 10 years.
[00:12:25.686 --> 00:12:27.387]  This is the New World Order's big move.
[00:12:27.848 --> 00:12:29.509]  This is their depopulation agenda.
[00:12:29.869 --> 00:12:35.834]  They are now attempting to impose the second global lockdown that will be more intense than the last.
[00:12:36.134 --> 00:12:43.100]  And once we've gone through a few more years of these tightening down and then loosening, tightening down and then loosening, each time getting tighter.
[00:12:43.740 --> 00:12:53.247]  The globalists do intend to then release really powerful bioweapons that do kill the vast majority of people that come in contact with them as part of the depopulation plan.
[00:12:53.587 --> 00:12:58.491]  And only by awakening to it and saying no to it do we have any future and any hope.
[00:12:58.931 --> 00:13:02.394]  So submitting to this doesn't get you out on the other side of it.
[00:13:02.814 --> 00:13:03.775]  Doesn't protect you.
[00:13:04.015 --> 00:13:05.476]  Doesn't spare you and your family.
[00:13:05.756 --> 00:13:11.100]  It ensures that you and your family will be slowly starved to death and then finally killed.
[00:13:11.801 --> 00:13:12.501]  I'm Alex Jones.
[00:13:13.402 --> 00:13:14.542]  The ball is now in your court.
[00:13:14.801 --> 00:13:33.680]  God bless and good luck.
[00:13:33.668 --> 00:13:36.868]  Even though personally, it means I pay a great price.
[00:13:37.689 --> 00:13:42.430]  At the end of the day, God hates cowards, and so I refuse to bow to the face of the new world order.
[00:13:43.427 --> 00:13:49.170]  That said, I am like a man in a raging, dangerous storm at sea.
[00:13:49.190 --> 00:13:58.114]  And you, the supporters, the listeners, the people that pray for us, that spread the word, and that financially keep us on air, are like the boat or the raft I'm on.
[00:13:59.054 --> 00:14:02.576]  That's why when you call in thanking me, I always say, whoa, whoa, whoa.
[00:14:02.836 --> 00:14:04.257]  We're all in this together.
[00:14:04.637 --> 00:14:06.898]  Sure, thank me, but I'm thanking you.
[00:14:08.398 --> 00:14:21.279]   Now more than ever, As we are in late November, 2021, going into the final month of 2021, it is so important to understand that the credibility of American patriots.
[00:14:22.301 --> 00:14:29.208]  The credibility of American nationalists and America firsters has never been higher.
[00:14:29.889 --> 00:14:31.871]  People know we're right about the New World Order.
[00:14:31.931 --> 00:14:36.395]  They know we're right about the Great Reset and Build Back Better and the whole globalist program.
[00:14:36.896 --> 00:14:39.238]  And so now is the time.
[00:14:39.378 --> 00:14:40.499]  Yes, it's upsetting.
[00:14:41.624 --> 00:14:46.807]  It's frightening unless you reach out and call for God to give you comfort, but it's supposed to be upsetting.
[00:14:46.827 --> 00:14:49.869]  It's supposed to be frightening to get us moving.
[00:14:50.609 --> 00:15:01.135]  And so I'm fighting, I'm sure you've noticed, harder than ever, producing more films and having more interviews and doing more live shows and doing more live events, because I understand this is the most critical time ever.
[00:15:01.175 --> 00:15:03.036]  So please, please listen to me.
[00:15:04.989 --> 00:15:08.892]  Understand how amazing you are and how you've changed the world and how important you are.
[00:15:09.172 --> 00:15:10.553]  You may feel small, but you're not.
[00:15:11.134 --> 00:15:14.576]  The fact that you just support InfoWars, that's huge.
[00:15:14.976 --> 00:15:20.000]  And obviously you're doing a lot more in your life every day, reaching out and waking people up.
[00:15:20.060 --> 00:15:31.347]   So in the minute I have left here to talk to you, I just want to ask you for myself and my children and for your own future and your family's own future to realize The InfoWars is true blue.
[00:15:31.807 --> 00:15:33.368]  We're the real deal and I know you are as well.
[00:15:33.408 --> 00:15:40.551]  So I humbly thank you for your past support and I ask you for more support now than ever.
[00:15:41.232 --> 00:15:45.214]  You can go to SaveInfoWars.com and make a donation.
[00:15:45.874 --> 00:15:49.536]  And instead of when we sell a product, we make 20, 30, 40% on it, that's still great.
[00:15:50.156 --> 00:15:55.138]  We make 95% of your donation so we can fund our operations.
[00:15:55.198 --> 00:16:04.282]  And I can allot the money coming in towards being on air, towards making films, towards fighting the new world order and breaking critical stuff that's bringing tyrants to their knees.
[00:16:04.842 --> 00:16:07.043]  Instead of spending all our money on legal fees.
[00:16:07.583 --> 00:16:11.504]  So I cannot continue at the level we're at right now with these attacks.
[00:16:11.524 --> 00:16:15.046]  We're gonna have to cut back, which the enemy wants, if we don't get some major support.
[00:16:15.406 --> 00:16:17.066]  We have six trials coming up.
[00:16:17.146 --> 00:16:22.868]  The Democrats are funding and running against us, and we've got to put on strong defenses.
[00:16:23.229 --> 00:16:36.754]   So I cannot stress to you how important it is to go to SaveInfoWars.com and make a $10, a $50, a $100, a $1,000 donation so that We can allocate the other funds towards staying on the air.
[00:16:37.375 --> 00:16:40.597]  America is under attack and the voices of freedom are under attack.
[00:16:40.937 --> 00:16:47.561]  Out of all the different voices that are under attack, InfoWars is under more attack than any other voice because we're over the target.
[00:16:48.042 --> 00:16:49.983]  So thank you for keeping us on the air over the years.
[00:16:50.343 --> 00:16:54.206]  Thank you for your investment in time and energy and prayer for operations.
[00:16:54.566 --> 00:17:01.951]  And I'm just asking you now to redouble your efforts to share our articles and videos and information like never before.
[00:17:02.831 --> 00:17:15.757]  And to also support us at InfoWarsStore.com, getting great products that really help you and your family at the same time, and to support the InfoWar, and or to make a straight donation at SaveInfoWars.com.
[00:17:16.077 --> 00:17:17.098]  Thank you and God bless.
