[00:00:00.149 --> 00:00:02.290]  We're live, October 31st.
[00:03:02.949 --> 00:03:04.690]  The martyrs of history were not fools.
[00:03:05.731 --> 00:03:11.093]  And our beloved dead, who gave their lives to stop the advance of the Nazis, did not die in vain.
[00:03:11.133 --> 00:03:13.034]  Where then lies the road to peace, you say?
[00:03:13.694 --> 00:03:15.315]  Well, it's a simple answer after all.
[00:03:16.596 --> 00:03:20.279]  You and I have the courage to tell our enemies there is a price we will not pay.
[00:03:20.319 --> 00:03:22.740]  There is a point beyond which evil must not advance.
[00:03:23.281 --> 00:03:29.005]  So you sit there with pedophiles and Satanists and devil worshippers and Klaus Schwab and Bill Gates, and you wonder why they're attacking you.
[00:03:29.245 --> 00:03:30.506]  Well, that's what they do.
[00:03:30.986 --> 00:03:32.107]  They are coming for the children.
[00:03:32.127 --> 00:03:38.071]  They've announced the injection of 5 and up, and then it'll be newborns with the deadly shot that embraces their immune system.
[00:03:38.431 --> 00:03:41.393]  And they're announcing they're going to do it at schools, and they're going to force it.
[00:03:42.426 --> 00:03:47.227]  And that's going to cause violence and they're going to say then the people that resist are terrorists.
[00:03:47.647 --> 00:04:05.432]  And that's why they put it on the books as the main direct, not a law, but the regulations that the main mission of the FBI and the military and the CIA is crushing people that don't accept lockdowns and those that don't accept open borders, just Americans, and that they are going to come and they're going to arrest everybody and start killing people.
[00:04:06.269 --> 00:04:08.712]  Now, that's going to trigger a giant civil war.
[00:04:09.272 --> 00:04:11.755]  The globalists intend to chew up the U.S.
[00:04:11.795 --> 00:04:19.022]  system and collapse everything, and on its ashes bring in the really official global cashless society system.
[00:04:19.062 --> 00:04:21.165]  This is just the process of bringing us to that.
[00:04:21.705 --> 00:04:24.208]  They enjoy doing it to children.
[00:04:24.841 --> 00:04:30.544]  And so you're going to wake up to that fact, and you're going to understand that, or you are going to die.
[00:04:30.844 --> 00:04:33.465]  And your children are going to die with you.
[00:04:33.745 --> 00:04:51.480]   Because what you saw in Nazi Germany, and what you saw in Soviet Russia, and North Korea, and Maoist China, and Xi Jinping's China Today, and with the Muslims, and with what happens in Africa, and Latin America, and all that hell, And all that horror is going to look like a choir meeting.
[00:04:51.741 --> 00:04:53.364]  It's gonna look like Sunday school.
[00:04:53.444 --> 00:04:56.802]  It's gonna look like grandma knitting you a pair of mittens.
[00:04:56.802 --> 00:05:18.044]   If you are receiving this transmission, you are the resistance.
[00:05:18.044 --> 00:05:19.302]  (upbeat music)
[00:05:19.415 --> 00:05:24.158]  Live from the InfoWars.com studios, it's Alex Jones.
[00:05:25.899 --> 00:05:28.061]  Sunday live, ladies and gentlemen.
[00:05:29.041 --> 00:05:32.563]  It's Sunday, October 31st, 2021.
[00:05:33.404 --> 00:05:36.886]  And this is the show that should not be.
[00:05:37.807 --> 00:05:43.070]  The broadcast that should be off the air, but thanks to you, we are still fighting hard.
[00:05:44.201 --> 00:05:49.944]  Again, thank you for joining us on this Sunday, October 31st broadcast.
[00:05:50.144 --> 00:05:52.866]  Wow, the incredible amounts of news here.
[00:05:54.286 --> 00:06:11.616]  First off, Democratic Party operatives got caught again, like they did in Charlottesville four years ago, leading the attempt to stir up racial conflict so that they can try to derail an election and make sure that a Democrat gets into power.
[00:06:12.731 --> 00:06:16.312]  And replaces the other Democrat, the monster, Governor Northam, that's leaving.
[00:06:17.593 --> 00:06:47.820]   Caught red-handed right during the national firestorm of basically every newspaper and every so-called news TV program attacking Tucker Carlson, and by extension, yours truly, for daring to say that January 6th had feds and NGOs, by the way, provocateuring A small minority of the million people that were there for a peaceful demonstration to break into the Capitol.
[00:06:50.021 --> 00:06:52.783]  It's the new war on terror 2.0, the war on the American people.
[00:06:53.123 --> 00:06:54.364]  It's the plot against the people.
[00:06:56.465 --> 00:06:58.566]  And there's Tucker's show.
[00:07:00.107 --> 00:07:02.008]  He's gonna be covering it all week on Fox.
[00:07:04.190 --> 00:07:10.414]  While they're all freaking out about the three-part series that starts airing tomorrow night, the plot against the people.
[00:07:13.208 --> 00:07:18.312]  And the left is celebrating that it's only available on Fox Nation to a few million people.
[00:07:19.393 --> 00:07:25.439]  Tucker's ratings are going to go up to all-time high and he's going to be covering it all week with the biggest highlights and proof.
[00:07:26.379 --> 00:07:33.566]  So just watching Tucker play the left like a fiddle and really torch all their fraud is a beautiful thing.
[00:07:34.687 --> 00:07:37.209]  It's an even more satisfying one.
[00:07:40.373 --> 00:07:51.178]  I get the credit, and it is a little bit due, but let's just say I helped wake up Tucker and Joe Rogan, and a lot of other people too.
[00:07:52.538 --> 00:07:54.519]  And it's not about me bragging.
[00:07:55.079 --> 00:08:05.664]  I'm usually somebody that doesn't sit back and savor things, but I've gone through a lot of hell to do this, which I asked for, but I did it all because the victory was going to be so sweet.
[00:08:06.667 --> 00:08:09.209]  And we got a long way to go, like Martin Luther King Jr.
[00:08:09.249 --> 00:08:09.449]  said.
[00:08:09.489 --> 00:08:14.612]  I won't be there with you in the promised land, but I can definitely see the promised land from here.
[00:08:15.613 --> 00:08:16.734]  And it's going to be beautiful.
[00:08:16.894 --> 00:08:28.762]  All of our children, black, white, old, young, brown, yellow, you name it, together in freedom, going to the next level, to the stars and beyond, and watching these nasty globalists that have tried to divide and conquer us fail.
[00:08:32.048 --> 00:08:41.873]  That's why they got all the major corporations, from AT&T to Goldman Sachs and JP Morgan to you name it, saying white people are inherently bad because of the color of their skin.
[00:08:41.974 --> 00:08:49.778]  I have, right here, and I got copies of it, the critical race theory training put out by the CEO, signed by him.
[00:08:52.179 --> 00:08:55.081]  And I've got a link to this article, a copy of it.
[00:08:56.062 --> 00:09:00.102]  of the critical race theory training for all AT&T employees.
[00:09:00.102 --> 00:09:06.533]   It actually says, "White people are the problem." It goes on and says, "Being white is
[00:09:06.533 --> 00:09:14.442]   inherently a genetic trait of being a bad person." I mean, folks, that's 100% Hitler. It's just
[00:09:14.442 --> 00:09:20.523]   being reversed to say, and of course, Hitler said most whites were bad too. You had the ubermensch
[00:09:20.523 --> 00:09:25.383]   and the supermen, and then you had just the regular slaves with the rest of the white people, and
[00:09:25.383 --> 00:09:32.235]   then everybody else that wasn't white, Death was actually what Hitler spoke about.
[00:09:33.095 --> 00:09:41.859]  That's why it was so refreshing when I had Dr. Zelenko on, who actually had a bunch of his family killed, grandparents and people in World War II.
[00:09:42.599 --> 00:09:45.601]  That's unfortunate, but he's refreshing because he knows all that stuff.
[00:09:46.539 --> 00:09:48.760]  I can actually talk to him and he's got his history straight.
[00:09:49.180 --> 00:09:50.021]  Few do.
[00:09:51.321 --> 00:09:54.303]  You know, you hear about Hitler all day, but do you know what Hitler really was pushing for?
[00:09:57.004 --> 00:10:02.386]  Hitler said, when we take over third world populations, we're going to slowly poison their food so they never know what hit them.
[00:10:03.207 --> 00:10:13.711]  And what do you think Henry Kissinger adopted with State Department Memorandum 200 in 1973, but was to carry out that plan of depopulation through the food supply and the water supply?
[00:10:14.332 --> 00:10:24.378]   So, There's a Jim Acosta piece, and I don't normally air Jim Acosta's attacks on myself or anybody else, because he's just such a discredited joke.
[00:10:25.219 --> 00:10:31.883]  But Jim Acosta came out, and he tried to gaslight everybody in a seven and a half minute clip.
[00:10:31.943 --> 00:10:33.424]  I'm going to take two segments out today.
[00:10:33.444 --> 00:10:35.526]  It'll take a good 20 minutes to cover this.
[00:10:36.106 --> 00:10:43.671]  I'm going to just play it and stop it, play it and stop it, because everything he's saying about myself and Tucker Carlson is what he's doing.
[00:10:46.266 --> 00:10:49.309]  And what his bosses are doing, AT&T that owns them.
[00:10:49.630 --> 00:10:56.197]  And he says it's just preposterous that anybody saying the American people are terrorists, but that the official U.S.
[00:10:56.217 --> 00:11:07.669]  government National Security Council policy of the Biden administration from June 3rd of this year, and it says in here, you question elections, you're a terrorist.
[00:11:08.871 --> 00:11:10.632]  You question open borders, you're a terrorist.
[00:11:10.872 --> 00:11:12.593]  You question lockdowns, you're a terrorist.
[00:11:12.933 --> 00:11:15.395]  You question forced inoculation, you're a terrorist.
[00:11:15.415 --> 00:11:17.055]  It says it in this damn report.
[00:11:17.276 --> 00:11:18.676]  I've shown you this probably 200 times.
[00:11:19.737 --> 00:11:22.178]  I've actually shown you the actual subsections where it says it.
[00:11:22.198 --> 00:11:22.739]  You can go read it.
[00:11:25.020 --> 00:11:32.240]   But to have Acosta, and not just him, It's every channel going, Tucker Carlson is insane.
[00:11:32.300 --> 00:11:34.902]  The federal government is not declaring war on the people.
[00:11:35.262 --> 00:11:39.765]  The federal government is not saying protesting parents at PTA meetings are not terrorists.
[00:11:39.805 --> 00:11:40.626]  Well, the hell they didn't.
[00:11:42.067 --> 00:11:53.216]  The National Teachers Association got on board after the National Association of School Boards got involved saying, quote, are terrorists and we want the FBI to come stop them.
[00:11:53.776 --> 00:11:55.778]  They're just like January 6th, on and on and on.
[00:11:57.304 --> 00:12:06.814]  So on the back of that, they are building this whole giant rollout of the War on Terror 2.0, and thank God I'm not the only one up here talking about it.
[00:12:07.294 --> 00:12:09.616]  And Tucker's been talking about it since before June.
[00:12:09.636 --> 00:12:11.538]  I mean, Tucker's smart.
[00:12:11.678 --> 00:12:12.780]  He sees the same thing I see.
[00:12:12.800 --> 00:12:14.962]  He doesn't need to tune into my show to know what's going on.
[00:12:16.380 --> 00:12:19.181]  In fact, he's taken what I do to another level in many cases.
[00:12:19.261 --> 00:12:20.442]  I didn't hear from him.
[00:12:21.583 --> 00:12:22.763]  It's not a competition.
[00:12:23.323 --> 00:12:25.004]  You know, the left tried to drive a wedge out there.
[00:12:25.044 --> 00:12:26.405]  I mean, hundreds of articles.
[00:12:26.545 --> 00:12:28.066]  Oh my gosh, Jones is upset.
[00:12:28.486 --> 00:12:30.367]  Tucker's stealing his BS game.
[00:12:30.667 --> 00:12:38.691]  My BS game that you announced that protesting parents against pedophilia and whites being taught they're inherently evil, you're going to say we're terrorists?
[00:12:38.791 --> 00:12:39.492]  You did that!
[00:12:40.012 --> 00:12:41.873]  You made what I warned of come true.
[00:12:42.713 --> 00:12:44.034]  Because I was already aware of your plans.
[00:12:45.515 --> 00:12:54.139]  So this is a big moment because the entire Republican Party is waking up to the new world order of the globalists and the Great Reset and the rest of it.
[00:12:55.139 --> 00:13:07.605]  And the whole neocon arm of Karl Rove and George W. Bush and the rest of them are becoming completely obsolete and aren't even really contending anymore for power in the party.
[00:13:07.865 --> 00:13:16.171]   Whoever Trump certifies, whoever Trump supports, Out of like 150 plus races, two that he endorsed lost.
[00:13:16.511 --> 00:13:17.971]  The 150 plus won.
[00:13:18.271 --> 00:13:19.392]  That doesn't mean Trump's perfect.
[00:13:19.772 --> 00:13:22.233]  But compared to the globalists, I mean, he's the polar opposite.
[00:13:22.973 --> 00:13:24.253]  He's not out to get the country.
[00:13:24.273 --> 00:13:25.134]  He's not a eugenicist.
[00:13:25.594 --> 00:13:26.574]  He certainly made mistakes.
[00:13:27.534 --> 00:13:29.535]  And so it's our country.
[00:13:29.575 --> 00:13:30.355]  We're taking it back.
[00:13:30.996 --> 00:13:37.578]  And that's why they're trying to push us into a confrontation, push us into violence, because we're winning this politically.
[00:13:38.462 --> 00:13:41.323]  So they're trying to push us into violence.
[00:13:41.363 --> 00:13:42.883]  That's one side of the Pinscher attack.
[00:13:43.303 --> 00:13:50.584]  And the other big side of the Pinscher attack, where they catch you in their jaws, is they have election fraud.
[00:13:50.644 --> 00:13:52.225]  And that's the big problem.
[00:13:52.845 --> 00:13:54.845]  So let me first get into the problem.
[00:13:55.285 --> 00:13:57.826]  And it's a big problem when we come back.
[00:13:57.986 --> 00:13:58.886]  Because what did I say?
[00:13:58.926 --> 00:14:00.126]  It's not hard to predict this.
[00:14:00.766 --> 00:14:09.400]   They're going to continue to do record-level mail-in ballots right through the Presidential election in three years, but especially the midterms next year.
[00:14:09.420 --> 00:14:13.904]  They're going to pull major COVID and other virus shenanigans next year.
[00:14:14.104 --> 00:14:15.045]  They admit that's their plan.
[00:14:15.446 --> 00:14:22.692]  And they're calling in a red mirage again for the Republican running for governor because he's up, even in their own skewed polls, 5-10 points.
[00:14:22.973 --> 00:14:23.953]  They're in total panic mode.
[00:14:24.799 --> 00:14:27.299]  Even in their completely fake polls, he's 3-4 points ahead.
[00:14:28.160 --> 00:14:35.081]  And so, they're thinking, oh, but don't worry, it's going to take a couple weeks to see who the winner is, because there's going to be some extra ballots that get found.
[00:14:35.381 --> 00:14:40.382]  Whatever amount they need, they've already got them in warehouses ready to bring in, and we've got the information on that.
[00:14:40.482 --> 00:14:47.623]  So, they're acing the holes called fraud, and called stuffing the old ballot boxes, and then running them into the electronic machines.
[00:14:48.183 --> 00:14:50.804]  So that's how they try to steal the will from the American people.
[00:14:50.863 --> 00:14:53.863]  But that'll just make our final victory that much sweeter.
[00:14:53.863 --> 00:15:15.863]  [MUSIC]
[00:15:15.863 --> 00:15:23.863]   All right, folks, I've got articles here from CNN and other globalist mouthpieces calling for new lockdowns.
[00:15:23.887 --> 00:15:27.388]  They're only keeping that in the back of your mind because they want to launch those coming up.
[00:15:28.909 --> 00:15:38.360]  Next year at this time, right before the key midterm elections that promise, with all the actual real polls show, a giant Republican populist landslide.
[00:15:38.380 --> 00:15:48.978]   Now the full video of different Democrat and Republican operatives that are really globalist operatives saying the same thing is up on Infowars.com, it's a headline.
[00:15:49.458 --> 00:16:00.944]  Trump-hating Virginia elections director says Tuesday's results may have to, quote, wait until Friday or maybe longer because of mail-in votes.
[00:16:01.045 --> 00:16:02.986]  And again, this isn't like absentee voters.
[00:16:03.919 --> 00:16:06.201]  Where you sign it, it's certified, you've already voted.
[00:16:06.681 --> 00:16:12.326]  This is a large portion of the state saying, oh no, we don't want to go vote because of COVID.
[00:16:12.507 --> 00:16:14.729]  The same replay we've seen across the nation.
[00:16:15.208 --> 00:16:19.528]   And so they've got stockpiles of all these extra ballots out there that then wait and
[00:16:19.528 --> 00:16:23.768]   reserve in warehouses until the middle of the night or until the next middle of the
[00:16:23.768 --> 00:16:28.807]   night a few days later and then in pull the vans and then they stick the ballots that
[00:16:28.807 --> 00:16:33.008]  are all for the Democrat candidate into the machine.
[00:16:33.008 --> 00:16:35.008]  Remember we saw the footage of that in Georgia.
[00:16:35.008 --> 00:16:36.688]  We saw the footage of that in Michigan.
[00:16:36.688 --> 00:16:38.528]  We saw the footage of that in Pennsylvania.
[00:16:38.528 --> 00:16:41.567]  We saw the record of that happening in Arizona.
[00:16:41.567 --> 00:16:51.607]   All the places that Trump won by 2, 3, 4, 5 or even up to 10 times the numbers he won
[00:16:51.607 --> 00:16:52.607]  in 2016.
[00:16:52.607 --> 00:16:57.128]   In all the ballot round states that night when they said we're not counting anymore
[00:16:57.128 --> 00:17:01.647]   at 1 or 2 or 3 in the morning depending on the state, Trump had won by 1 point, 2 point,
[00:17:02.415 --> 00:17:06.017]  Most of those states he barely won by a fraction of a point.
[00:17:08.018 --> 00:17:09.379]  And suddenly he was winning by 2, 3, 4 points.
[00:17:12.007 --> 00:17:22.437]  Ah, but you see the red mirage that Michael Moore and PBS and Bloomberg and CNN all said in the month before, oh, no matter what happens, Trump won't be in.
[00:17:22.857 --> 00:17:26.200]  It'll look like he wins that night, but oh, the mail-ins.
[00:17:28.703 --> 00:17:32.066]  Oh, they just knew what they were going to be, didn't they?
[00:17:33.227 --> 00:17:36.270]  And I saw the vans pulling in and I saw the USPS workers.
[00:17:37.984 --> 00:17:41.005]  In Pennsylvania, there's areas that said, yeah, I was driving in from another state.
[00:17:41.986 --> 00:17:44.427]  I noticed it was all marked elections, so I got suspicious.
[00:17:44.487 --> 00:17:45.107]  You're supposed to do that.
[00:17:45.127 --> 00:17:45.747]  That's their job.
[00:17:46.127 --> 00:17:51.209]  So they opened up the big boxes, and there it was perfectly printed by Scantron computers.
[00:17:52.670 --> 00:17:55.391]  Hand-bubbled ballots, supposed to be hand-done.
[00:17:56.718 --> 00:17:59.639]  And it was all filled up for one person, Joe Biden.
[00:17:59.879 --> 00:18:02.379]  They didn't even care about the other races because that would become too obvious.
[00:18:02.719 --> 00:18:04.539]  It was all just for Joe Biden.
[00:18:05.380 --> 00:18:07.160]  30 plus thousand of them.
[00:18:07.520 --> 00:18:10.480]  And that's just the cash that he caught going into Pennsylvania.
[00:18:10.841 --> 00:18:13.341]  And the FBI threatened to put him in jail.
[00:18:13.721 --> 00:18:15.781]  What are you doing opening up those boxes, boy?
[00:18:15.801 --> 00:18:20.082]  What are you doing looking in there because you got a bad feeling about it?
[00:18:20.542 --> 00:18:24.083]  Why would they cover up the windows to the election facilities in all those states?
[00:18:24.183 --> 00:18:24.623]  Six of them.
[00:18:25.999 --> 00:18:31.406]  Why'd they all follow the exact same procedures and claim, oh, we got a power outage, we gotta stop counting.
[00:18:31.866 --> 00:18:34.269]  Oh, we got a water main broke, we gotta stop counting.
[00:18:34.830 --> 00:18:35.711]  None of it was true.
[00:18:36.892 --> 00:18:39.015]  They didn't even care there were surveillance cameras in the rooms.
[00:18:39.035 --> 00:18:40.656]  They just didn't want the public looking in.
[00:18:42.679 --> 00:18:43.500]  Then they did it to you.
[00:18:44.901 --> 00:18:49.621]   So, I like My pillow fellow, he's a great guy.
[00:18:50.102 --> 00:18:51.483]  He focuses on the machines all day.
[00:18:52.383 --> 00:18:54.925]  And Lord knows that goes on from the outside, but you can catch that.
[00:18:55.626 --> 00:19:04.632]  It's very hard to catch Democrats all over the country in different states sneaking in ballots that have already been filled out for the candidate they want and running them through the machine.
[00:19:04.833 --> 00:19:09.676]  In the case of Georgia, on video, one stack out of a suitcase, four times on video.
[00:19:10.096 --> 00:19:11.458]  Same damn stack back in.
[00:19:11.718 --> 00:19:13.139]  That's red-handed right there!
[00:19:15.148 --> 00:19:17.070]  That is red-handed!
[00:19:17.090 --> 00:19:23.955]  You know, you see the child molesters that are crazy enough to videotape or photograph them raping kids, and boy, is it a quick trial!
[00:19:24.355 --> 00:19:27.678]  Is it a quick, you know, life in prison for them, because they videotape it!
[00:19:29.059 --> 00:19:30.400]  Not videotaping it right here!
[00:19:31.381 --> 00:19:33.402]  Not a damn thing happened to them!
[00:19:34.403 --> 00:19:45.702]   In one case, the same suitcase that they pull out from under the table and look both ways, the most guilty The most guilty behavior I've ever seen.
[00:19:47.684 --> 00:19:55.852]  You know, my four-year-old daughter got some candy from her grandmother for Halloween, and we put it away, and I told her, stop eating.
[00:19:55.872 --> 00:19:56.433]  You've had too much.
[00:19:56.473 --> 00:19:57.614]  You'll make yourself sick last night.
[00:19:57.934 --> 00:20:04.180]  And I saw her kind of walk over behind the couch, and she was kind of acting suspicious when she ducked down, and I went over there, and she had a Tootsie Roll.
[00:20:04.200 --> 00:20:06.943]  And it was bedtime.
[00:20:06.963 --> 00:20:07.583]  She couldn't have it.
[00:20:08.024 --> 00:20:14.050]   I mean, Something in her hand, she's okay, looking, goes over, hides behind the couch.
[00:20:14.511 --> 00:20:16.314]  I mean, this is more obvious.
[00:20:16.935 --> 00:20:25.548]  In Georgia, they look both ways, look around, they say a water main's broke, they kick everybody out, they put stuff up over the windows, and then they go and flip up the...
[00:20:27.699 --> 00:20:31.240]  Tablecloth and pull out the briefcases and look around the church.
[00:20:32.660 --> 00:20:33.341]  Shooting it through there.
[00:20:33.621 --> 00:20:41.363]  And we have to sit here and watch this and put up with this type of crap while these people steal the election in front of us.
[00:20:44.524 --> 00:20:46.984]  And all of them Democratic Party operatives on record.
[00:20:47.725 --> 00:20:49.205]  But see, that's what's important here, isn't it?
[00:20:50.219 --> 00:20:51.981]  They all thought they were fighting Hitler.
[00:20:52.461 --> 00:20:58.187]  They believe that they are literally fighting Adolf Hitler and Donald Trump.
[00:20:58.507 --> 00:20:59.689]  So it was worth it, right?
[00:21:01.210 --> 00:21:04.714]  Oh, but now they gotta do it again in Virginia, don't they?
[00:21:05.635 --> 00:21:06.876]  They gotta do it again in Virginia.
[00:21:07.714 --> 00:21:22.424]  And we got an article quoting all these different, quote, elections officials in Virginia saying, mm-mm-mm-mm-mm, don't think just because it looks like the Republican wins that he's going to win, because we got lots of ballots we got to count.
[00:21:24.125 --> 00:21:27.007]  That we just aren't going to have time that night to count.
[00:21:27.267 --> 00:21:27.967]  You know that.
[00:21:29.908 --> 00:21:38.015]   Trump hating Virginia elections director says Tuesday's results May have to wait until Friday because of mail-in votes.
[00:21:40.316 --> 00:21:41.517]  And it goes through it all.
[00:21:42.638 --> 00:21:46.740]  Right here by the Democratic gubernatorial candidate in Virginia and how he's behind.
[00:21:46.860 --> 00:22:01.068]  Scott O. Cano-Pasek, the radical partisan director of the elections for the most populated county in Virginia, recently told mainstream news, CNN outlets, that the Virginia governor's race may not be decided on Election Day.
[00:22:03.201 --> 00:22:18.349]  As was the general norm during the COVID-19 pandemic, which ushered in drastic changes to various state election laws nationwide ahead of the 2020 president's election, most Virginia Election Day ballots and early votes are set to be counted on the day of the election itself, Tuesday, November 2, 2021.
[00:22:21.172 --> 00:22:27.119]  Further, a new state law requires election officials to begin counting mail-in votes at least one week prior to election day.
[00:22:27.139 --> 00:22:29.843]  And then it goes into more of the quote election officials saying the same thing.
[00:22:29.883 --> 00:22:33.227]  And look, I'm not knocking this National File article.
[00:22:33.547 --> 00:22:34.489]  Andrew White's a good writer.
[00:22:36.051 --> 00:22:38.554]  But there's a problem in this article.
[00:22:39.904 --> 00:22:44.907]  It says, the drastic changes to various state election laws nationwide.
[00:22:45.427 --> 00:22:50.590]  In almost all those states, it was done by consent decree by the governors outside the legislatures.
[00:22:50.650 --> 00:22:51.831]  It was not the law.
[00:22:52.831 --> 00:22:54.953]  And that's why the whole election was a fraud right there.
[00:22:57.014 --> 00:22:59.375]  The 2020 election is a fraud.
[00:22:59.415 --> 00:23:03.998]  It has to be redone, don't hold your breath, just under the law, because of that fraud right there.
[00:23:04.278 --> 00:23:05.599]  It's already been certified by Congress.
[00:23:06.735 --> 00:23:10.357]  And that's why Mike Lindell's right about it all being a fraud, and the Supreme Court should overturn it.
[00:23:10.577 --> 00:23:12.378]  But they don't have the political will.
[00:23:12.498 --> 00:23:14.620]  We need to stop worrying about reinstating Trump.
[00:23:15.880 --> 00:23:16.541]  Don't hold your breath.
[00:23:16.561 --> 00:23:25.006]  We need to start working on stopping the current fraud in the special elections and the midterms in 12 months, and the general election coming up in three years.
[00:23:25.106 --> 00:23:25.886]  That's the war.
[00:23:26.266 --> 00:23:26.907]  That's the fight.
[00:23:27.867 --> 00:23:28.207]  Okay?
[00:23:28.968 --> 00:23:32.250]  Nothing against Trump, but that's what the real world says.
[00:23:33.100 --> 00:23:34.660]  This isn't a bunch of cue card stuff.
[00:23:35.281 --> 00:23:41.883]  We're talking about how to actually win here.
[00:23:42.843 --> 00:23:49.125]  Stay with us.
[00:23:50.105 --> 00:23:52.246]  Waging war on corruption.
[00:23:52.505 --> 00:23:54.505]  It's Alex Jones.
[00:23:54.505 --> 00:23:57.505]  [MUSIC PLAYING]
[00:23:57.505 --> 00:24:05.505]   So the top story in the last five days has not been the G20.
[00:24:04.681 --> 00:24:07.123]  It's not been Biden, not knowing who he is.
[00:24:07.143 --> 00:24:09.184]  It's not been the supply chain breakdowns.
[00:24:10.805 --> 00:24:13.027]  It's not been China threatening to nuke the United States.
[00:24:13.087 --> 00:24:14.768]  It's not been Taiwan begging for help.
[00:24:16.789 --> 00:24:26.496]  It's not been scores of airlines grounding thousands of flights because their employees are quitting or staying home over dangerous vaccine mandates.
[00:24:27.576 --> 00:24:45.297]   No, it's been the establishment, the corporate media, The Democratic Party and much of the neocon system as well, the controlled Republicans, freaking out over Tucker Carlson and calling him the new Alex Jones in thousands of articles.
[00:24:46.478 --> 00:24:47.339]  Every news channel.
[00:24:47.379 --> 00:24:48.620]  I've just been flooded with it.
[00:24:48.960 --> 00:24:51.082]  Just the videos I'm in where they're attacking me.
[00:24:53.043 --> 00:24:54.905]  There's three times more attacking Carlson.
[00:24:55.045 --> 00:24:55.565]  Thousands.
[00:24:56.468 --> 00:24:58.869]  That he would dare point out that we're federal informants.
[00:24:59.089 --> 00:25:06.531]  That he would dare point out that CNN paid some of the Antifa people to pose as Trump supporters and try to get people to burn down the building.
[00:25:06.632 --> 00:25:07.652]  I mean, that's all confirmed.
[00:25:11.493 --> 00:25:25.018]  That's going against their narrative and they're using the branding of everybody who protested election fraud on January 6th being terrorists as the way to launch the new war on terror 2.0 against the American people.
[00:25:26.360 --> 00:25:33.262]  And the deep state's terror attacks run the gamut from actually blowing up a federal building and then blaming it on their Patsy McVeigh in 1995.
