[00:00:00.089 --> 00:00:00.889]  Come on!
[00:06:19.075 --> 00:06:23.279]  Sitting by the window and watching tanks go by was something we laughed at.
[00:06:23.419 --> 00:06:25.821]  The look on my mother's face was not the same.
[00:06:31.673 --> 00:06:39.226]  College football is really back when a jam-packed Lane Stadium is singing along to Enter Sandman.
[00:07:30.407 --> 00:07:33.749]  Take a look at this time-lapse video.
[00:07:33.789 --> 00:07:37.972]  This shows thousands of people crossing the Canby Street Bridge earlier this afternoon.
[00:07:38.292 --> 00:07:40.253]  A number of roads around there were shut down.
[00:07:40.313 --> 00:07:43.915]  Some drivers say it took them an hour to get out of the Canby Street area.
[00:07:43.935 --> 00:07:49.078]  So this whole event is part of what the organizers are calling a worldwide walkout.
[00:07:49.138 --> 00:07:52.460]  The point is to reject what they say is the tyranny of
[00:07:52.780 --> 00:07:53.461]  I don't know.
[00:07:53.521 --> 00:07:53.941]  I don't know.
[00:08:25.444 --> 00:08:31.413]  A crowd so loud, you could barely hear the loudspeakers.
[00:08:31.973 --> 00:08:40.065]  Close to 5,000 people rallied in front of Vancouver City Hall this afternoon, causing complete gridlock in the area around the Vancouver General Hospital.
[00:08:42.256 --> 00:08:45.800]  At one point, the crowd parted so an ambulance could slowly pass through.
[00:08:46.220 --> 00:08:49.383]  And while they stood together, they weren't all there for the same reasons.
[00:08:49.944 --> 00:08:51.886]  Some don't want vaccines for themselves.
[00:08:52.407 --> 00:08:53.368]  I don't trust what's in them.
[00:08:53.528 --> 00:08:54.809]  I don't believe that we know enough.
[00:08:54.969 --> 00:08:57.512]  I think that it was prematurely ruled out.
[00:08:59.274 --> 00:09:00.795]  And I'm just not comfortable with that.
[00:09:01.115 --> 00:09:03.218]  Others are frustrated by government messaging.
[00:09:03.698 --> 00:09:13.164]  Dr. Bonnie Henry in a Kamloops article in May said that the inequities in our society are such that there's no way we would implement a vaccine passport.
[00:09:13.184 --> 00:09:14.945]  She said that in May, quote unquote.
[00:09:15.525 --> 00:09:17.346]  And now we have the vaccine passport.
[00:09:17.566 --> 00:09:21.189]  But mostly, they don't want vaccines to be mandatory for anyone.
[00:09:21.869 --> 00:09:24.431]  It's not totally against being vaccinated.
[00:09:24.531 --> 00:09:25.311]  I'm vaccinated.
[00:09:26.492 --> 00:09:31.415]  I'm here because I find that the freedoms of all of these people in Canada is being squashed.
[00:09:34.454 --> 00:09:42.499]  Across the province, similar rallies took place outside major hospitals in Victoria, Nelson, and Prince George, and also in Kelowna.
[00:09:42.579 --> 00:09:51.925]  When I became a nurse, I made an oath to advocate for my patients, and patients have the right to refuse.
[00:09:51.985 --> 00:09:54.407]  It's in BC law, it's what we were taught in school.
[00:09:54.807 --> 00:09:58.749]  Everybody should have the right to choose whatever goes into their bodies.
[00:09:59.170 --> 00:10:00.270]  It shouldn't be mandatory.
[00:10:00.290 --> 00:10:02.592]  For those people who want to, well and good.
[00:10:03.487 --> 00:10:04.027]  In B.C.
[00:10:04.087 --> 00:10:08.089]  so far, vaccines are only mandatory for those who work in long-term care homes.
[00:10:08.429 --> 00:10:10.710]  I'm not going to get the COVID vaccine.
[00:10:11.210 --> 00:10:15.252]  My wife is a nurse and she works in assisted living and she's not going to get it either.
[00:10:15.292 --> 00:10:17.993]  So there's some hard decisions that got to be made on September 13th.
[00:10:19.234 --> 00:10:25.177]  A new vaccine card will be required starting September 13th for non-essential services like gyms and restaurants.
[00:10:26.317 --> 00:10:30.139]  And protesters say that's a slippery slope towards eroding their freedom.
[00:10:30.739 --> 00:10:32.860]  Eva Yu-Gwen Senge, CBC News, Vancouver.
[00:10:50.910 --> 00:10:53.230]  What are you seeing for vaccine injuries?
[00:10:57.163 --> 00:10:58.784]  Just this past week, how about this?
[00:10:59.385 --> 00:11:07.211]  Three fully vaccinated individuals, deceased, in clots left and right, DVTs, pulmonary emboli.
[00:11:07.231 --> 00:11:12.194]  I mean, on blood thinners, and this was ever since they got vaccinated.
[00:11:13.215 --> 00:11:14.876]  I had a 30-year-old woman who
[00:11:16.755 --> 00:11:25.778]  Started bleeding, basically, hemorrhaging ever since she got injected, literally within the 48 hours and she... Wow.
[00:11:25.818 --> 00:11:29.319]  Wow.
[00:11:29.359 --> 00:11:31.160]  This poor woman is a mother of two.
[00:11:32.780 --> 00:11:37.862]  Like I said, 30 years old and she was fully vaccinated and regrets it deeply.
[00:11:37.922 --> 00:11:41.783]  This was a month ago and she is now intubated in critical condition, fighting for her life.
[00:11:42.304 --> 00:11:49.774]  Potentially about to leave her children motherless and of course she regrets 1000% being injected and she acknowledges it.
[00:11:49.834 --> 00:11:51.216]  So did her physician, so.
[00:11:52.009 --> 00:11:53.391]  I don't know why the lies continue.
[00:11:53.431 --> 00:11:54.492]  I see it every single day.
[00:11:54.512 --> 00:11:58.716]  This whole story about 90% unvaccinated cases.
[00:11:59.156 --> 00:11:59.356]  No.
[00:11:59.817 --> 00:12:04.922]  I can tell you I've been in the front of the lines for the last year and eight months or however long it's been.
[00:12:04.942 --> 00:12:05.443]  Too long.
[00:12:05.883 --> 00:12:07.324]  And that is a complete lie.
[00:12:07.425 --> 00:12:09.667]  I have seen nothing but vaccinated individuals.
[00:12:10.728 --> 00:12:11.889]  Unvaccinated as well.
[00:12:12.189 --> 00:12:13.250]  But don't believe the lies.
[00:12:13.270 --> 00:12:14.031]  Don't believe the media.
[00:12:14.131 --> 00:12:14.772]  It's awful.
[00:12:16.293 --> 00:12:17.815]  And you work in the ICU, right?
[00:12:18.075 --> 00:12:19.456]  I have worked ICU.
[00:12:19.676 --> 00:12:22.679]  I am on a unit that is strictly COVID patients at this point.
[00:12:22.699 --> 00:12:24.361]  So the news media is lying.
[00:12:24.421 --> 00:12:25.341]  How about that?
[00:12:25.381 --> 00:12:26.162]  The whole time.
[00:12:26.202 --> 00:12:27.043]  The entire time.
[00:12:47.619 --> 00:12:48.560]  That was not a Freudian slip.
[00:12:48.580 --> 00:12:50.061]  You could tell that she did that on purpose.
[00:13:15.333 --> 00:13:16.734]  As a desperate warning to the public.
[00:13:17.294 --> 00:13:28.177]  The Aussies have been a prison colony for over 140 years and they understand what's going on and so all over the place they are basically putting out emergency messages to the public.
[00:13:28.577 --> 00:13:35.280]  Many of their top presenters and reporters have actually gone public against what's happening but this isn't going to go to 2070 because
[00:13:36.755 --> 00:13:40.037]  They plan to totally depopulate the earth of humans by then.
[00:13:40.438 --> 00:13:44.120]  And again, I'm going to show you those documents coming up.
[00:13:44.801 --> 00:13:57.209]  But the first thing I want to get to is cold hard facts from the Israeli government, the UN, and John Hopkins that works for the Rockefeller Foundation that are putting together the statistics and the numbers.
[00:13:57.449 --> 00:13:59.871]  And I guess they hope you don't go look these up.
[00:14:01.138 --> 00:14:01.218]  Yes.
[00:14:22.179 --> 00:14:24.240]  With the so-called vaccine, COVID-19 vaccine.
[00:14:24.780 --> 00:14:27.762]  Here are the side-by-sides of India and Israel, new COVID cases.
[00:14:28.762 --> 00:14:31.063]  India has a 10% vaccination rate.
[00:14:31.123 --> 00:14:31.623]  Israel has a 65.
[00:14:31.743 --> 00:14:34.164]  It's actually more like 90 vaccination rate.
[00:14:34.605 --> 00:14:36.866]  India uses ivermectin, vitamin D and zinc.
[00:14:36.966 --> 00:14:40.467]  Israel uses COVID vaccinations and booster shots of the same poison.
[00:14:40.827 --> 00:14:41.768]  Any questions?
[00:14:42.748 --> 00:14:46.910]  So you see when they first did some of their 10% vaccinations, they haven't done it in a long time.
[00:14:47.911 --> 00:14:48.751]  You see the spike.
[00:14:49.929 --> 00:14:53.453]  And then as it goes on, almost no activity, almost no death.
[00:14:54.094 --> 00:15:01.784]  CNN, though, will show people being burned outside and say, look, they're burning people outside because they have no place to bury them.
[00:15:01.824 --> 00:15:03.426]  They're Buddhist and Hindus.
[00:15:04.560 --> 00:15:05.841]  They burn their bodies.
[00:15:06.241 --> 00:15:07.222]  They don't bury them.
[00:15:08.003 --> 00:15:11.225]  That's an Egyptian thing that the Romans and the Greeks picked up.
[00:15:11.285 --> 00:15:12.146]  The Greeks and the Romans.
[00:15:13.367 --> 00:15:15.008]  That's something ancient Druids and others did.
[00:15:15.749 --> 00:15:17.090]  The Hindus burn bodies.
[00:15:17.850 --> 00:15:23.014]  Native Americans put a platform up and put the body out in the air to rot.
[00:15:25.410 --> 00:15:26.091]  That's what they're doing.
[00:15:26.271 --> 00:15:36.542]  It's again total deception and wait till I get to some of the biggest fake news ever that Oklahoma hospitals are full of people sick from ivermectin horsepace.
[00:15:36.742 --> 00:15:37.323]  We checked it out.
[00:15:37.363 --> 00:15:39.365]  It's a fake story by Rolling Stone and others.
[00:15:39.826 --> 00:15:42.428]  This is the fall of the mainstream media we're witnessing.
[00:15:43.936 --> 00:15:46.357]  There's the statistics there for you on screen.
[00:15:47.077 --> 00:15:48.558]  Here is another one.
[00:15:48.738 --> 00:15:54.020]  Reassurgence of SARS-CoV-2 infection in a highly vaccinated health workforce.
[00:15:54.600 --> 00:16:02.243]  Another big study showing that as soon as they got vaccinated, the rate of them getting sick with COVID went from nothing to off the charts.
[00:16:02.303 --> 00:16:06.105]  I mean, you just, it's like, oh, you pour gasoline on something and you light it, it burns.
[00:16:06.345 --> 00:16:08.426]  You take the shots, you get really sick.
[00:16:09.706 --> 00:16:11.887]  Just ask Oscar de la Hoya, who can't,
[00:16:12.739 --> 00:16:13.479]  Get out of bed right now.
[00:16:13.499 --> 00:16:15.960]  He took both shots and is fighting for his life with COVID.
[00:16:17.621 --> 00:16:29.005]  Just in, Sweden bans travelers from Israel, one of the most vaccinated countries in the world, into the country from September 6th due to record-breaking rise in COVID-19 cases and deaths.
[00:16:29.705 --> 00:16:35.627]  And it's mainly, again, it's tracking mainly people that are vaccinated that are sick and dying.
[00:16:36.167 --> 00:16:37.308]  And let me just show you
[00:16:38.615 --> 00:17:01.966]  Some of those numbers here it is Israel launched the third dose and as predicted it triggered that auto immune system where it ends up attacking the body their body warned what happened I guess ADE and it's now the deaths are just off the frickin charts they have the most vaccinated people in the world of a big country and it's just just off the charts here's another one
[00:17:03.873 --> 00:17:29.613]  In Israel is still finalizing the report but as you can see it says number of COVID deaths in the last month and it's 606 and as you can see it is fully vaccinated 272 not fully vaccinated only one shot 133 that's the vast majority are vaccinated dying and 173 yet to be classified and they're just barely any deaths that weren't vaccinated.
[00:17:31.206 --> 00:17:33.888]  Barely any deaths that had not had the vaccine.
[00:17:35.029 --> 00:17:36.651]  And I can just go on with these numbers.
[00:17:37.191 --> 00:17:38.052]  It's absolutely amazing.
[00:17:38.072 --> 00:17:39.994]  44 peer-reviewed ivermectin studies.
[00:17:41.896 --> 00:17:42.716]  39 of them positive.
[00:17:43.197 --> 00:17:45.919]  Incredible antiviral powers known for decades.
[00:17:45.939 --> 00:17:48.181]  But I'm going to get to that here in just a few minutes.
[00:17:48.762 --> 00:17:49.543]  Here's another big one.
[00:17:50.760 --> 00:17:52.261]  CNN finally reports the truth.
[00:17:52.541 --> 00:17:59.703]  States that had some of the worst COVID-19 cases rates in past week also reported the highest rates of new vaccinations.
[00:17:59.783 --> 00:18:00.324]  Isn't that funny?
[00:18:00.724 --> 00:18:01.424]  Just like Israel.
[00:18:01.864 --> 00:18:03.805]  Because it's a live virus vaccine.
[00:18:04.185 --> 00:18:06.826]  Whether it's J&J, whether it's Moderna, whether it's Pfizer.
[00:18:07.626 --> 00:18:10.988]  With Moderna and Pfizer, though, it's a synthetic virus, but it is a virus.
[00:18:11.948 --> 00:18:17.010]  And it's live, and it makes your body create more of the spike protein, which infects people.
[00:18:17.030 --> 00:18:19.131]  Pfizer's own study says that.
[00:18:20.162 --> 00:18:20.702]  Here's another one.
[00:18:20.742 --> 00:18:26.606]  More than 100 Ontario youth sent to hospital for vaccine-related heart problems report, including deaths.
[00:18:27.146 --> 00:18:28.006]  Oh, here's an old U.S.
[00:18:28.026 --> 00:18:28.667]  government report.
[00:18:29.047 --> 00:18:30.868]  Special Virus Cancer Program.
[00:18:32.949 --> 00:18:34.350]  National Cancer Institute.
[00:18:35.951 --> 00:18:36.451]  This is U.S.
[00:18:36.471 --> 00:18:38.332]  Department of Health, Education, and Warfare.
[00:18:39.673 --> 00:18:44.876]  They call it Welfare, and it goes back to how they knew that most cancer was caused by viruses.
[00:18:45.556 --> 00:18:48.197]  And now they're giving you a cancer virus injection.
[00:18:49.540 --> 00:18:51.161]  They know the general public can't help it.
[00:18:51.722 --> 00:18:57.246]  They just can't believe they're being attacked, so they'll Stockholm Syndrome and rationalize and say, oh, it's the non-vaccinated causing it.
[00:18:57.426 --> 00:18:58.167]  You know, that's not true.
[00:18:58.727 --> 00:19:02.370]  Here's that Oscar de la Hoya story I was telling you about from NBC News.
[00:19:02.850 --> 00:19:08.895]  Oscar de la Hoya hospitalized with COVID withdraws from Victor Belafonte fight.
[00:19:10.617 --> 00:19:13.339]  And he's there fighting for his life after the second shot.
[00:19:13.799 --> 00:19:14.900]  And it just goes on.
[00:19:15.572 --> 00:19:17.273]  and on from there.
[00:19:17.574 --> 00:19:28.902]  Now let's talk about our children and let's hear from some very respected and esteemed medical doctors on what's really happening because something so huge happened this week.
[00:19:30.424 --> 00:19:39.811]  In the UK their main regulatory body of the government said do not give under-16s any of these experimental shots and they said don't give people
[00:19:40.802 --> 00:19:45.003]  The EU also came out and said don't give people a third jab.
[00:19:45.023 --> 00:19:49.164]  Now the EU government is saying they're going to override their CDC and their FDA and
[00:19:59.406 --> 00:20:09.430]  Also, Boris Johnson, I've got a clip of him right here, also said he's going to override their own bureaucrats that have worked at the big companies and believe in vaccines.
[00:20:09.750 --> 00:20:15.873]  But see, they know this stuff is really bad and worse than any problems vaccines ever had, because this isn't a problem.
[00:20:15.893 --> 00:20:16.753]  This is by design.
[00:20:17.053 --> 00:20:18.013]  Again, let that sink in.
[00:20:19.774 --> 00:20:23.195]  In late August, now we're already into September, in the year 2021,
[00:20:24.813 --> 00:20:36.880]  The regulators in Europe, the regulators in the UK, and the regulators in the United States came out and said, don't do this.
[00:20:38.461 --> 00:20:38.981]  Oh, that's right.
[00:20:39.681 --> 00:20:41.362]  They didn't just do it in the EU or the UK.
[00:20:42.263 --> 00:20:46.665]  This week, last Monday, what happened?
[00:20:47.206 --> 00:20:54.390]  We saw the number one and number two regulators over the FDA come out and say, don't give it to children.
[00:20:55.740 --> 00:21:06.065]  Under 16 don't give people the booster shots and that politicians and Big Pharma were making the decisions for the FDA that that shouldn't happen.
[00:21:06.465 --> 00:21:09.367]  Now the head of the FDA says she's going to go ahead and ram this through anyways.
[00:21:11.088 --> 00:21:17.771]  She's the lady that approved Oxycontin and of course Fentanyl and allowed it to be used on children.
[00:21:18.689 --> 00:21:25.075]  Oh, and by the way, the big opium company that brought out OxyContin in their own documents 20 years ago that said, we're going to addict people with this.
[00:21:25.315 --> 00:21:28.158]  It's as strong as heroin, but we're going to claim it's not addictive.
[00:21:28.839 --> 00:21:32.662]  They have been given immunity by the federal court.
[00:21:34.003 --> 00:21:35.365]  No jail time, no nothing.
[00:21:35.745 --> 00:21:36.386]  I'm going to say it again.
[00:21:36.846 --> 00:21:41.791]  The people that dumped OxyContin on America that's killed millions of people.
[00:21:42.935 --> 00:21:43.936]  They're saying it's okay.
[00:21:43.976 --> 00:21:50.260]  So that's the federal courts green lighting what they've just done to us with these poison shots as well.
[00:21:50.820 --> 00:21:53.122]  Truly disgusting.
[00:21:53.142 --> 00:21:54.843]  But I just want to say it again because it's so big.
[00:21:55.423 --> 00:22:10.093]  In the EU, in the UK, in the US, all the regulatory heads, the heads, have said do not give these under-16s, do not do the third quote booster shot, and that we have big pharma and politicians telling us what to do and this is dangerous.
[00:22:11.374 --> 00:22:14.739]  So they got stampeded into going along with this and emergency authorization.
[00:22:14.979 --> 00:22:16.882]  The FDA two weeks ago did not authorize.
[00:22:17.691 --> 00:22:23.434]  They did a new emergency authorization and said in 2025 we might give it real authorization.
[00:22:23.754 --> 00:22:26.935]  But they're using that fake authorization to now go after our military.
[00:22:27.456 --> 00:22:30.277]  I mean this is criminal activity out in the open.
[00:22:30.337 --> 00:22:33.038]  So let's hear from Dr. McCullough.
[00:22:33.939 --> 00:22:38.301]  Let's hear from other expert medical doctors around the world as well.
[00:22:38.961 --> 00:22:42.943]  And then we're going to have a little clip from Fauci flip-flopping and I'll be back.
[00:22:43.390 --> 00:22:50.052]  Just to be clear, that's the Pfizer Registrational Trials published in New England Journal of Medicine, May 27th.
[00:22:50.452 --> 00:22:57.854]  Keep in mind that the USFDA approved the Pfizer vaccine for that group before the release of that paper.
[00:22:58.334 --> 00:23:03.496]  They approved the vaccine on May 10th with only the information on the antibodies.
[00:23:03.996 --> 00:23:08.637]  So our USFDA, in their approval letter, did not consider any safety information.
[00:23:10.874 --> 00:23:12.956]  That's unprecedented that our U.S.
[00:23:13.136 --> 00:23:17.200]  FDA would not safeguard children and carefully view safety.
[00:23:17.361 --> 00:23:18.021]  Unprecedented.
[00:23:18.462 --> 00:23:24.308]  And it's a form of agency malfeasance that is wrongdoing by those in position of authority.
[00:23:25.249 --> 00:23:30.474]  As a whistleblower attempt, but we have a very broad malfeasance.
[00:23:31.075 --> 00:23:38.680]  We have a unification of doctors groups, the media, the FDA, the CDC, the NIH.
[00:23:39.181 --> 00:23:44.344]  None of them are presenting or reviewing safety whatsoever.
[00:23:44.705 --> 00:23:45.325]  None of them.
[00:23:45.965 --> 00:23:48.667]  And there's no presentation of safety to the public.
[00:23:49.128 --> 00:23:49.288]  None.
[00:23:50.165 --> 00:24:02.937]  Committee members also questioned what would happen to individuals if they refused to participate in the World Debt Reset Program or the Health Pass or the vaccination schedule.
[00:24:03.820 --> 00:24:06.301]  The answer we got was very troubling.
[00:24:07.141 --> 00:24:18.104]  Essentially, we were told it was our duty to make sure we come up with a plan, meaning the Liberal Party was told that it was their duty to come up with a plan to ensure that would never happen.
[00:24:18.564 --> 00:24:23.205]  We were told it was in the individual's best interest to participate.
[00:24:23.685 --> 00:24:32.508]  When several committee members pushed relentlessly to get an answer, we were told that those who refused would first live under the lockdown restrictions indefinitely.
[00:24:33.228 --> 00:24:46.852]  And that over a short period of time, as more Canadians transitioned into the Debt Forgiveness Program, the ones who refused to participate would be deemed a public safety risk and would be relocated into isolation facilities.
[00:24:47.732 --> 00:24:50.173]  Once in those facilities, they would be given two options.
[00:24:50.673 --> 00:25:02.296]  Participate in the Debt Forgiveness Program and be released, or stay indefinitely in the isolation facility under the classification of a serious public health risk and have all your assets seized.
[00:25:03.314 --> 00:25:09.838]  As you can imagine, after hearing all of this, it turned into quite the heated discussion and escalated beyond anything I've ever witnessed before.
[00:25:10.578 --> 00:25:17.702]  In the end, it was implied by the PMO that the whole agenda will move forward no matter who agrees with it or not.
[00:25:21.084 --> 00:25:21.724]  We're good to go.
[00:25:37.711 --> 00:25:41.595]  30,000 euro and two years in prison.
[00:25:41.875 --> 00:25:45.478]  Please pause, read this, share this.
[00:25:45.498 --> 00:25:50.182]  This is not something that the citizens of the United States right now should be worried about.
[00:25:50.462 --> 00:25:54.386]  There's no doubt that we knew that we would get cases here.
[00:25:54.746 --> 00:25:58.810]  There is no need to change anything that you're doing on a day by day basis.
[00:25:59.070 --> 00:26:08.093]  If you do those things, masks, no crowds, physical distance, personal hygiene, no doubt you're going to be able to turn these things around.
[00:26:08.474 --> 00:26:17.817]  When you're in the middle of an outbreak, wearing a mask might make people feel a little bit better and it might even block a droplet.
[00:26:18.337 --> 00:26:22.479]  But it's not providing the perfect protection that people think that it is.
[00:26:22.799 --> 00:26:24.560]  Make sure you wear a mask.
[00:26:24.640 --> 00:26:25.621]  So you wear a mask.
[00:26:26.041 --> 00:26:30.284]  Then you put a cloth mask over, which actually is much better.
[00:26:30.524 --> 00:26:35.308]  Another coronavirus that obviously jumped from an animal species.
[00:26:35.348 --> 00:26:37.749]  We don't know exactly how that happened.
[00:26:38.170 --> 00:26:43.794]  We have not ruled out the possibility that there could have been a leak from the lab.
[00:26:44.274 --> 00:26:48.537]  Should we have any worries about walking by someone on the street who may be unvaccinated?
[00:26:49.173 --> 00:26:49.733]  Not at all.
[00:26:49.874 --> 00:27:00.421]  I would have no concern walking down the street past a person who's not been vaccinated and even a person who's been infected because the protection is really quite substantial.
[00:27:00.761 --> 00:27:10.829]  We do know that the science shows now that even people who are vaccinated and get a breakthrough infection can transmit.
[00:27:12.094 --> 00:27:19.296]  All of the things that I have spoken about consistently from the very beginning have been fundamentally based on science.
[00:27:19.876 --> 00:27:30.960]  So if you are trying to, you know, get at me as a public health official and a scientist, you're really attacking not only Dr. Anthony Fauci, you're attacking science.
[00:27:31.260 --> 00:27:34.101]  You have to be asleep not to see that.
[00:27:34.641 --> 00:27:35.101]  Remember,
[00:27:36.601 --> 00:27:45.791]  This is about getting rid of open, free societies where you go to college, where you can go on vacations, where you have a swimming pool, where you can go to the national parks.
[00:27:46.332 --> 00:27:47.974]  The globalists think there's too many people.
[00:27:49.015 --> 00:27:53.801]  They've made the decision decades ago in major symposiums that have even been on TED TV.
[00:27:55.168 --> 00:27:56.409]  To depopulate the planet.
[00:27:56.449 --> 00:28:00.192]  That's why Bill Joy in 1999 wrote the article, Why the Future Doesn't Need Us.
[00:28:00.773 --> 00:28:07.438]  And he said he went to a tech conference with all the top billionaires and they made the unofficial decision to carry out forced depopulation.
[00:28:09.881 --> 00:28:12.323]  And Bill Gates has publicly made those statements.
[00:28:12.363 --> 00:28:19.749]  So, I'm going to get to that coming up in a little while, even though we've harped on it and I've made films on it, like Endgame, it's free online.
[00:28:20.794 --> 00:28:24.036]  You gotta understand now, they've gone from beta testing to the operational.
[00:28:24.657 --> 00:28:26.498]  So let me show you what the depopulation looks like.
[00:28:27.639 --> 00:28:32.883]  They already rationed healthcare in the UK, where the average cancer surgery lasts a year and a half.
[00:28:33.303 --> 00:28:38.287]  With cancers that are not operated on, within just a few months, you have almost 100% death rate.
[00:28:40.353 --> 00:28:41.693]  But don't hear it from me.
[00:28:42.354 --> 00:29:02.600]  Hear under the rationing of the last year and a half around the world, where the hospitals were closed and wouldn't see people, and now tens of millions have died of cancer, tens of millions have died of suicide, tens of millions that UN estimates 20 million extra starved to death in the third world, mainly Africa, because there was no jobs.
[00:29:02.640 --> 00:29:03.540]  Everything got shut down.
[00:29:04.580 --> 00:29:06.641]  Killed dozens of times what COVID ever did.
[00:29:07.486 --> 00:29:09.868]  Because it's designed to depopulate.
