[00:00:00.449 --> 00:00:01.751]  Texas is under attack.
[00:05:42.526 --> 00:05:53.855]  The point is, it's a way to have a power grab and control things through scientific voodoo, saying pay us carbon taxes, you're not essential, so they can control things in their own words.
[00:05:54.255 --> 00:05:57.418]  And now they admit, Bill Gates goes, oh, the great recent, ladies and gentlemen,
[00:05:58.098 --> 00:06:01.019]  The Great Reset is to make you poor to save the Earth.
[00:06:01.079 --> 00:06:05.300]  No, it's to make you poor to control you for these people that don't live by the rules they give us.
[00:06:05.700 --> 00:06:15.803]  So I am now living in a place locked down for a year, the majority of small business is out of business, people wearing masks, it's never going to end, and now my power is off.
[00:06:16.263 --> 00:06:17.843]  Almost my entire crew has no power.
[00:06:18.104 --> 00:06:19.204]  My office has no power.
[00:06:19.464 --> 00:06:20.524]  I have family with no power.
[00:06:21.024 --> 00:06:23.005]  The downtown government buildings have no power.
[00:06:25.069 --> 00:06:25.589]  And guess what?
[00:06:25.629 --> 00:06:29.231]  We have a hybrid natural gas generator we bought a few years ago.
[00:06:29.491 --> 00:06:30.292]  It doesn't work.
[00:06:30.352 --> 00:06:30.792]  It failed.
[00:06:31.032 --> 00:06:36.835]  So we went and talked to people we know and got some gas generators that are working great, and we're getting ready to fire the power back up here.
[00:06:38.115 --> 00:06:39.216]  But they're cutting it off.
[00:06:39.236 --> 00:06:42.658]  They're saying by 2030, no gas engines for sale.
[00:06:43.778 --> 00:06:45.039]  God Almighty!
[00:06:46.698 --> 00:06:55.227]  I'll take you outside and show you Bill Gates wanting to, quote, block out the sun and look where we're at in a frickin' frozen tundra with the power off!
[00:06:55.588 --> 00:06:57.770]  Freezing our asses off like serfs!
[00:06:58.851 --> 00:07:04.498]  That's 21st century war, that's the Great Reset, and the Great Reset has cut the power off in Texas.
[00:07:10.939 --> 00:07:14.202]  Modern society is great in many ways, but it's domesticated.
[00:07:14.262 --> 00:07:16.544]  The citizenry is very dependent on the system.
[00:07:17.024 --> 00:07:22.348]  And the average American, the average person in the industrialized world, flips on a light switch and just expects power.
[00:07:22.989 --> 00:07:25.431]  Or they pull into the gas station and they expect gasoline.
[00:07:26.031 --> 00:07:31.796]  Or they go to the grocery store and they expect that fresh food is going to be flown in or trucked in to where they're at, even in the winter.
[00:07:33.151 --> 00:07:38.256]  People have been taken away from the land and have been made very, very soft, myself included.
[00:07:39.017 --> 00:07:40.799]  But at least I know that that's going on.
[00:07:41.019 --> 00:07:47.806]  And the Davos Group, the United Nations, the Club of Rome, the Bilderberg Group, they've all said that they're going to take advantage of that.
[00:07:48.807 --> 00:07:52.891]  And the fact that the average person doesn't have any skills other than their specialized job,
[00:07:54.164 --> 00:07:54.744]  We're good to go.
[00:08:17.262 --> 00:08:18.804]  Hey, Klaus Schwab says the same thing.
[00:08:19.585 --> 00:08:26.372]  And Klaus Schwab says we're going to continue what Obama did in Europe and the United States and Australia and New Zealand and Canada.
[00:08:26.532 --> 00:08:27.072]  But that's it.
[00:08:27.633 --> 00:08:34.120]  Cutting off all the coal power plants and phasing out by 2030 gasoline engines.
[00:08:34.220 --> 00:08:37.363]  And they say, oh, it's to save
[00:08:38.781 --> 00:08:41.503]  No, it's about a political power grab.
[00:08:42.144 --> 00:08:58.297]  It is about centralizing absolute control with themselves in charge and using what they call a computerized technocracy to monitor and control everything you do, from your fireplace, to your farm, to the meat you eat, to where you go, to what you do, being tracked and taxed and controlled.
[00:08:59.578 --> 00:09:01.080]  They call it a post-industrial world.
[00:09:01.880 --> 00:09:06.124]  Even Toyota came out last week and admitted all of this.
[00:09:06.224 --> 00:09:06.904]  They said, listen,
[00:09:08.148 --> 00:09:12.569]  The truth is we've done the mathematical analysis according to the United Nations own carbon scheme.
[00:09:13.709 --> 00:09:29.313]  And the carbon claim that a electric car uses less carbon dioxide in its process of making the car, servicing the car, and powering the car is not true.
[00:09:30.193 --> 00:09:33.334]  And they actually found that a gasoline engine
[00:09:34.488 --> 00:09:40.430]  When it's also hybridized, it sometimes is better than gasoline and better than electric.
[00:09:40.930 --> 00:09:41.510]  The two together.
[00:09:41.650 --> 00:09:42.970]  And I'm not even defending that model.
[00:09:43.451 --> 00:09:44.871]  But that's the mathematical equations.
[00:09:45.431 --> 00:09:46.852]  I've already seen those equations.
[00:09:46.952 --> 00:09:47.472]  It's well known.
[00:09:47.992 --> 00:10:01.536]  When you look at power lines, depending on the type of power line, depending on the type of power they're sending down it, on average you lose half of the power generated from a coal power plant and say sent 30-40 miles into a city.
[00:10:02.216 --> 00:10:15.044]  When you've got windmills on the coast of England, or the coast of Spain, or in far west Texas, and the power travels 200 to 300 to 400 miles.
[00:10:15.064 --> 00:10:28.093]  Oh, I'm sorry, in some cases, 600 miles from far, far west Texas where these are, way out, close to Mexico, all the way up to the corner to Dallas.
[00:10:29.329 --> 00:10:34.932]  That's 600 miles, ladies and gentlemen.
[00:10:37.973 --> 00:10:40.854]  They're losing almost all the power when they do that.
[00:10:41.735 --> 00:10:48.578]  And so, just like Spain 10 years ago put in the windmills, shut down their fuel, bankrupted them, permanent depression.
[00:10:50.459 --> 00:10:51.299]  England's now doing it.
[00:10:51.459 --> 00:10:52.220]  Same thing's happening.
[00:10:53.100 --> 00:10:55.081]  This has nothing to do with it actually working.
[00:10:56.087 --> 00:11:20.002]  They give select globalist companies hundreds of millions of dollars to build these horrible windmills that take incredible fossil fuels, if you think they're bad, to smelt the steel and the aluminum, to ship it to the sites, to build these giant gargantuan eyesores that kill so much wildlife, the birds, and then again transfer the power to the city or town.
[00:11:20.970 --> 00:11:29.555]  They are literally putting a tax and regulations on fossil fuels to control society, to build a quote, post-industrial world for political control.
[00:11:29.595 --> 00:11:30.415]  And they admit all this.
[00:11:31.136 --> 00:11:33.157]  How did I know a year ago that the lockdown would never end?
[00:11:33.497 --> 00:11:34.998]  How did I know that the mask would never end?
[00:11:35.278 --> 00:11:41.301]  How did I know that even once you took the inoculation, they would say it didn't work, but you've got to still have the inoculation and still can't have a job?
[00:11:41.682 --> 00:11:44.183]  Because it's called Agenda 21 and Agenda 2030.
[00:11:46.479 --> 00:11:49.200]  These guys have written about every damn bit of it.
[00:11:49.840 --> 00:11:58.764]  How do you think I could make a film 13, 14 years ago called Endgame, Blueprint for Global Enslavement, and you watch the damn film and almost all of it's come true?
[00:12:00.204 --> 00:12:02.165]  Because I show their quotes and their statements!
[00:12:03.326 --> 00:12:07.507]  And they think you deserve to have this done to you, what's now unfolding.
[00:12:08.668 --> 00:12:09.128]  Because...
[00:12:10.265 --> 00:12:11.026]  You're not fighting back.
[00:12:12.007 --> 00:12:13.168]  They all have private jets.
[00:12:13.188 --> 00:12:14.329]  They all got a bunch of kids.
[00:12:14.729 --> 00:12:16.051]  They all have palatial mansions.
[00:12:16.091 --> 00:12:18.053]  They all live however they want, have huge yachts.
[00:12:18.988 --> 00:12:24.450]  They're telling you when Obama goes to Africa that you can't have a car, you can't have an air conditioning.
[00:12:24.910 --> 00:12:25.890]  Totally Malthusian.
[00:12:26.750 --> 00:12:28.031]  Look up Malthusianism.
[00:12:28.511 --> 00:12:29.391]  Look up eugenics.
[00:12:29.771 --> 00:12:30.792]  Look up the Great Reset.
[00:12:31.212 --> 00:12:48.297]  Look up Operation Lockstep where the Rockefellers 11 years ago with Bill Gates said we'll use a virus as the crisis to bring in world government and to bring in our regime of total regulation and total control over society where we're in charge and where we dictate and where they are
[00:12:52.658 --> 00:12:54.479]  They've taken our speech.
[00:12:54.519 --> 00:12:55.740]  They're taking everybody else's speech.
[00:12:55.760 --> 00:12:56.801]  They're taking our energy.
[00:12:57.121 --> 00:12:58.582]  They're brainwashing our children.
[00:13:00.103 --> 00:13:11.411]  They are cutting off our economy, and they are admitting at the Great Reset, Klaus Schwab said, you will own nothing, you will have nothing, you will like it, and he said just two weeks ago, anybody that is in a job,
[00:13:12.619 --> 00:13:15.182]  Where you're interacting with another person is over.
[00:13:15.603 --> 00:13:17.665]  No one is going to go into their businesses anymore.
[00:13:17.946 --> 00:13:20.269]  We're all going to talk to you to stop carbon use.
[00:13:20.850 --> 00:13:22.792]  He said that five damn years ago.
[00:13:24.014 --> 00:13:29.801]  And they use all of this as a pretext under the cover of COVID to bring in this depopulation.
[00:13:31.198 --> 00:13:46.484]  And all these liberals that don't even have jobs, who haven't got two or three degrees, they go and pretend like they're part of the establishment, and they pretend like they're part of the system, and they pretend, well, there aren't too many people, wink, wink, let's go along with this, when you're being targeted just as bad, and you're acting like damn schmucks!
[00:13:47.365 --> 00:13:48.025]  Come together!
[00:13:48.805 --> 00:13:49.826]  Stand up for yourselves!
[00:13:50.546 --> 00:13:51.206]  Be strong!
[00:13:52.226 --> 00:13:53.007]  Have some dignity!
[00:13:54.147 --> 00:14:01.488]  Realize that if you aren't territorial, and if you don't stand up for yourself, and if you behave and act like a total slave, you will be destroyed.
[00:14:01.508 --> 00:14:06.950]  The nation of sheep, as Thomas Jefferson said, will be ruled by wolves.
[00:14:07.870 --> 00:14:09.910]  Act like a damn sheepdog, not like a sheep.
[00:14:09.930 --> 00:14:13.871]  I know a lot of people over the years, I thought I was waking up and said, Jones, don't worry.
[00:14:14.151 --> 00:14:14.791]  I won't be a sheep.
[00:14:14.811 --> 00:14:16.051]  I'm going to join the wolves.
[00:14:16.171 --> 00:14:17.672]  And again, I go back full circle.
[00:14:18.652 --> 00:14:19.192]  Those of you
[00:14:20.396 --> 00:14:22.977]  Like, you're part of the establishment going along with this.
[00:14:23.557 --> 00:14:26.498]  That's why they always thought, oh, we're going to get rid of half the world population in the 70s.
[00:14:26.558 --> 00:14:29.819]  And then later, well, once we set up world government, it'll be about 80%.
[00:14:30.179 --> 00:14:32.460]  But the good people will still be around to guard the Earth.
[00:14:32.860 --> 00:14:38.542]  Now they publicly say 90% will be exterminated, and the new numbers are down to 1% of world population.
[00:14:41.203 --> 00:14:43.986]  You've been taught to hate yourselves.
[00:14:44.326 --> 00:14:45.267]  You've been isolated.
[00:14:45.567 --> 00:14:49.251]  Big tech media is designed, they admit, to make you depressed, to make you alone.
[00:14:50.151 --> 00:14:54.275]  You are under a reclamation program to remove you and build a new world.
[00:14:54.756 --> 00:14:56.537]  You are under a culling program.
[00:14:57.557 --> 00:14:59.499]  They've decided to dynamite us.
[00:15:00.039 --> 00:15:01.620]  They've decided to remove us.
[00:15:02.241 --> 00:15:05.964]  They've decided to blot us out like you destroy a building with a wrecking ball.
[00:15:06.204 --> 00:15:11.188]  So at least admit what's happening to you and recognize what's happening to you as it happens.
[00:15:11.868 --> 00:15:16.432]  And realize that the inhuman, degenerate, scumbag, filth, and garbage.
[00:15:17.597 --> 00:15:18.618]  As for me, there is hope.
[00:15:18.898 --> 00:15:19.298]  As I said,
[00:15:44.249 --> 00:15:48.092]  Merck had to pull their vaccine three weeks ago because it was making people sick and killing them.
[00:15:48.492 --> 00:15:50.554]  And they admitted that even if you take it, it doesn't protect you.
[00:15:50.834 --> 00:15:52.795]  They recommended you just get COVID and get over it.
[00:15:52.915 --> 00:15:53.596]  And it was a scam.
[00:15:53.796 --> 00:15:54.356]  Huge move.
[00:15:54.376 --> 00:15:56.638]  They got scared and said, this is too evil.
[00:15:56.658 --> 00:15:57.178]  We're not doing it.
[00:15:57.839 --> 00:16:00.801]  South Africa banned the vaccine, making people sick and killing them.
[00:16:00.901 --> 00:16:02.802]  Australia had to ban their vaccine that they put out.
[00:16:02.882 --> 00:16:04.784]  It was giving people HIV positive stuff.
[00:16:05.444 --> 00:16:08.286]  India just banned the mRNA Pfizer shot.
[00:16:09.427 --> 00:16:11.769]  The US military just came out and said, we don't trust this.
[00:16:11.829 --> 00:16:13.130]  And the troops are saying no en masse.
[00:16:14.656 --> 00:16:17.778]  Minority groups have been secretly tested on, know the history and are saying no.
[00:16:18.259 --> 00:16:19.480]  It's not the white man doing it.
[00:16:19.680 --> 00:16:22.262]  It's not the average American government person doing it.
[00:16:22.362 --> 00:16:30.668]  It's these old scientific elites that go back to England 200 years ago, that set up the Kaiser Wilhelm Institute later in Germany, that set up Cold Springs Harbor.
[00:16:31.108 --> 00:16:37.012]  That recruited the robber barons of the 19th century to set up eugenics operations.
[00:16:37.312 --> 00:16:41.475]  Watch my film Endgame and understand what's happening while you still can.
[00:16:41.775 --> 00:16:52.201]  They admit that they have shut our power systems down so much that we can't even provide power in the summer and the winter in the great state of Texas that up until 10 years ago was supplying power to 15 states!
[00:16:53.703 --> 00:16:56.745]  And was doing an incredible job, but we've been shut down.
[00:16:57.346 --> 00:16:58.927]  But China has no cuts.
[00:16:59.548 --> 00:17:00.468]  India has no cuts.
[00:17:00.829 --> 00:17:01.950]  Mexico has no cuts.
[00:17:02.150 --> 00:17:12.078]  They have dirty coal-powered plants without scrubbers, putting whatever they want into the atmosphere, putting mercury in the atmosphere, carbon monoxide in the atmosphere, all sorts of particulate.
[00:17:12.278 --> 00:17:17.302]  That's okay because the globalists are invested there and are using that to shut down the West.
[00:17:18.268 --> 00:17:19.069]  But it's not okay.
[00:17:19.469 --> 00:17:25.454]  We need clean plants, whether they're natural gas, whether they're hydroelectric, or whether they're wind power.
[00:17:26.915 --> 00:17:42.908]  And I'll say it again, a lot of you were probably asking from earlier, what do you mean, Jones, there's less carbon, I get this all the time, in a smaller gas engine car, or a hybrid engine car, than in a pure electric car.
[00:17:44.090 --> 00:17:46.131]  And you're asking, Jones, how is that?
[00:17:46.631 --> 00:17:49.192]  Because there's no emissions on an electric car.
[00:17:49.472 --> 00:17:50.172]  Are you a fool?
[00:17:52.513 --> 00:17:59.596]  They have to have emissions to produce the electricity to send it down the wires and most of it's lost.
[00:18:00.516 --> 00:18:09.040]  So there's a giant combustion engine system, a turbine turning water and boiling water and there's other systems that is sending that to you.
[00:18:10.520 --> 00:18:12.581]  But the left doesn't even want the hydroelectric!
[00:18:14.838 --> 00:18:15.778]  They don't want anything.
[00:18:15.818 --> 00:18:17.039]  They want us shut down.
[00:18:17.279 --> 00:18:18.259]  They want feudalism.
[00:18:18.379 --> 00:18:19.260]  It's their new model.
[00:18:19.900 --> 00:18:21.080]  So stand up for yourselves.
[00:18:21.760 --> 00:18:26.042]  I know our general audience understands this and is fighting hard, but we're going into the New World Order now.
[00:18:26.062 --> 00:18:31.244]  We need the people out there on the fence to research this for themselves and stop sitting there like sitting ducks.
[00:18:31.784 --> 00:18:40.407]  All right, again, if you're just tuning in, you're just joining us here on the broadcast, we're having to shoot this on the side of the road to illustrate all the snow and the rest of it.
[00:18:41.192 --> 00:18:53.740]  Then upload it from a laptop powered by a generator to cloud editing to then load that in to send it out over the radio and TV network because our main satellite uplinks on our main studio is still out of power.
[00:18:53.781 --> 00:18:57.663]  We're working to get it all restored but it takes a lot of power and all of our backup batteries failed.
[00:18:57.683 --> 00:18:58.564]  Again, I'm Alex Jones.
[00:18:58.584 --> 00:18:59.264]  Thank you for joining us.
[00:19:00.445 --> 00:19:01.125]  But this is all
[00:19:02.073 --> 00:19:04.754]  It's illustrative of the economic attack we're under.
[00:19:04.854 --> 00:19:10.617]  The globalists use the fact that we're domesticated, we live in a complex, just-on-time delivery system, to control us.
[00:19:11.317 --> 00:19:12.358]  And they admit they're doing that.
[00:19:12.798 --> 00:19:14.078]  And there's so many ways they do it.
[00:19:14.558 --> 00:19:15.759]  It's a predatory system.
[00:19:16.639 --> 00:19:18.240]  It's a modern form of warfare.
[00:19:18.940 --> 00:19:23.042]  And the entire future is being laid out before us and it's very dystopic.
[00:19:23.622 --> 00:19:27.084]  And I will tell the politicians who have not joined the globalists this.
[00:19:27.944 --> 00:19:29.005]  You're not just doing the right thing.
[00:19:30.205 --> 00:19:40.512]  But also you can become very successful opposing the New World Order in the future because there's going to be massive opposition to this as the public wakes up to how draconian and how out of control it is.
[00:19:41.213 --> 00:19:54.042]  The globalists are psychotics, control freaks, very OCD, very sadistic, sociopathic, and they can't help but do these aggressive things.
[00:19:54.082 --> 00:19:57.364]  They can't help but try to dominate and take advantage.
[00:19:58.104 --> 00:19:58.425]  And when
[00:19:59.707 --> 00:20:06.030]  We act like this, and when we're subservient and pathetic, as I said earlier, a nation of sheep will be ruled by wolves.
[00:20:07.551 --> 00:20:11.353]  When we do that, it only encourages them like blood to water with sharks.
[00:20:11.713 --> 00:20:21.038]  So, again, I learned very young when I was a kid growing up in Dallas, if a dog starts running at you, don't be scared, yell at it, throw rocks at it, it'll run off most of the time, if you're not on its property.
[00:20:22.398 --> 00:20:23.579]  If you run, it's going to attack you.
[00:20:24.429 --> 00:20:25.870]  And it's that simple.
[00:20:25.950 --> 00:20:28.573]  If you act like that, if you behave like that, you're going to be a slave.
[00:20:29.013 --> 00:20:30.835]  People that subserve become slaves.
[00:20:31.796 --> 00:20:34.859]  And America was about standing up to that, and that's why the globals want to get rid of it.
[00:20:35.629 --> 00:20:37.951]  First, it was a group of white men standing up against the king.
[00:20:38.351 --> 00:20:40.973]  And then they said, hey, it's right for everybody to actually be able to stand up.
[00:20:41.573 --> 00:20:45.897]  And they almost banned slavery in the first constitution, but it doesn't matter.
[00:20:46.277 --> 00:20:50.300]  It was Europe and the United States that first did all of those things.
[00:20:51.101 --> 00:20:55.264]  So now the system is afraid of us exposing modern corporate globalist slavery.
[00:20:55.884 --> 00:21:04.811]  So they turn around and tell us that the Western Christian ethos of the Renaissance is the most racist, evil thing ever, because it's actually kryptonite to their system.
[00:21:05.808 --> 00:21:10.412]  It's like holy water and garlic to a vampire or the sun to Count Dracula.
[00:21:11.633 --> 00:21:13.615]  So let's lay out what the Great Reset does at levels.
[00:21:14.715 --> 00:21:28.607]  First off, the big mega banks have created thousands of trillions, quadrillions of fake digital money that they use to control markets and buy up and consolidate power and to make it short different stocks that they want to control or take control over commodities.
[00:21:29.528 --> 00:21:30.949]  And so they want to get us in debt.
[00:21:32.608 --> 00:21:35.150]  They want to repossess the farm.
[00:21:36.010 --> 00:21:37.511]  They want to basically take your house.
[00:21:38.032 --> 00:21:39.313]  They want you under their control.
[00:21:39.773 --> 00:21:49.600]  And if you've got big boom economies that are doing well, then they don't get to buy up all the farms and houses and businesses that a diverse American
[00:21:50.862 --> 00:21:51.362]  We're good.
[00:22:09.289 --> 00:22:15.554]  The Communist Chinese admit, Barack Obama admitted, that Communist China, working with, quote, capitalist systems, was the model of the world.
[00:22:15.954 --> 00:22:21.178]  The public are slaves, got elite managers, that then use offshore banks, and live like kings.
[00:22:22.619 --> 00:22:24.080]  So, first it's about getting us into debt.
[00:22:25.029 --> 00:22:35.100]  Then it's about having a global governance system that dictates what the tests are, what the regulations are, what the controls are, what the treatments are for any virus or system.
[00:22:35.581 --> 00:22:44.630]  Checkpoints, martial law, secret arrest, forced quarantine centers, forced inoculations, digital passport
[00:22:45.615 --> 00:22:55.758]  QR code tracking systems on all your phones and all your computers to be able to leave your house, be able to go to a business, be able to have a job, get on a train, start your car, get on a plane.
[00:22:55.978 --> 00:22:57.278]  This is all official now.
[00:22:57.738 --> 00:22:59.519]  I told you a year ago it was all going to happen when it started.
[00:22:59.979 --> 00:23:00.479]  Now it's here.
[00:23:00.899 --> 00:23:13.283]  Because Klaus Schwab and Bill Gates said in their white papers, we're going to use this for control, we're going to bring in world government, we're going to bring in the Great Reset, we're going to end the family, end the small business, end people gathering in groups.
[00:23:14.551 --> 00:23:17.113]  Because the globalists fear what you saw at the Capitol.
[00:23:17.913 --> 00:23:19.914]  It was a few hundred that got the big mass to do it.
[00:23:20.375 --> 00:23:27.099]  The globalists provocateur-ed it, had security stand down, so that what they feared in the future could be discredited now.
[00:23:28.200 --> 00:23:34.504]  A million people in DC with a serious mission to take over and overthrow an illegitimate government is powerful.
[00:23:35.973 --> 00:23:38.216]  And so they don't want you going to a basketball game.
[00:23:38.856 --> 00:23:40.198]  They don't want you going to a football game.
[00:23:40.218 --> 00:23:43.261]  They don't want you going anywhere to a choir rehearsal with a thousand people.
[00:23:43.842 --> 00:23:53.332]  Because in the future, what they plan to do to us is going to be so horrible, they know that masses of people will click into that mob psychology and overthrow the Ceausescu in Romania.
[00:23:53.813 --> 00:23:55.595]  Or overthrow the
[00:23:56.756 --> 00:23:59.857]  Russian leader in 1991, Mikhail Gorbachev.
[00:24:00.257 --> 00:24:07.498]  Or how CNN promoted the Arab Spring, which was radical evil Muslims overthrowing secular governments and causing civil war.
[00:24:07.558 --> 00:24:12.399]  That was all great, blowing up churches and burning down cities and killing Gaddafi and overthrowing Egypt.
[00:24:13.279 --> 00:24:15.359]  And so they fear masses of people.
[00:24:15.839 --> 00:24:20.660]  And so it's about outlawing those, making you dirty, make you wear a mask, make you know that you're bad.
[00:24:20.900 --> 00:24:24.021]  They teach the kids they're evil, humans are bad, the environment's dying.
[00:24:25.655 --> 00:24:31.897]  All of this is done specifically, again, to make you hate yourself, to bring in this control grid and totally surveil you.
[00:24:32.238 --> 00:24:34.318]  Then you've got to get rid of cash because it's dirty and bad.
