[00:00:00.309 --> 00:00:00.991]  Wednesday live.
[00:13:37.271 --> 00:13:39.812]  Here's some of the headlines I was just actually talking about right here.
[00:13:40.532 --> 00:13:46.616]  Written House trial witnesses, prosecutors ask him to change his statement to police.
[00:13:47.656 --> 00:13:49.217]  Those are the video clips we have.
[00:13:49.237 --> 00:13:49.697]  But you know what?
[00:13:50.038 --> 00:13:51.138]  Not covering Written House today.
[00:13:51.999 --> 00:13:52.539]  Not going to do it.
[00:13:52.619 --> 00:13:53.940]  Not going to go to any more of it.
[00:13:53.980 --> 00:13:54.780]  I'm done talking about it.
[00:13:55.641 --> 00:13:56.241]  And you know why?
[00:13:57.549 --> 00:14:01.672]  Because as important as this is, we know the system's corrupt, we know it's out of control.
[00:14:01.912 --> 00:14:03.253]  This is a great illustration of that.
[00:14:03.653 --> 00:14:05.674]  But you have to understand the reason they don't care.
[00:14:06.655 --> 00:14:10.537]  Because they are waging war on us.
[00:14:10.597 --> 00:14:18.622]  The globalists have greenlit the shutting off of our energy, the collapsing of our borders, the demoralization of our children.
[00:14:20.723 --> 00:14:35.617]  Microsoft and Apple fund Drag Queen Storytime nationwide and worldwide in Western Europe with convicted pedophiles going into schools to literally start preparing your children in their own words, grooming them in their own words.
[00:14:35.637 --> 00:14:37.079]  I mean, this is at city council meetings.
[00:14:37.239 --> 00:14:38.500]  We're here to groom your children!
[00:14:38.800 --> 00:14:39.661]  We're coming for them!
[00:14:39.681 --> 00:14:40.362]  You won't stop us!
[00:14:40.382 --> 00:14:48.768]   Remember the San Francisco Choir was like, we will groom your children, they belong to us, ha ha ha, we're coming for them.
[00:14:49.388 --> 00:15:01.552]  I mean, it's a satanic, world government, corporate-backed takeover, overthrowing the Christian ethos and replacing it with paganism, which is human sacrifice and death and barbarism.
[00:15:02.212 --> 00:15:03.953]  It is the Jacobin-French Revolution 2.0.
[00:15:04.333 --> 00:15:05.513]  We'll be right back.
[00:15:06.733 --> 00:15:18.743]   All right, welcome back to the Alex Jones Show, and I am not bringing out All of this crazy information to demoralize you or to depress you.
[00:15:19.003 --> 00:15:21.726]  I'm doing it because I think you're like me.
[00:15:21.766 --> 00:15:23.967]  I think you want to know about the problems so you can do something about it.
[00:15:26.169 --> 00:15:27.030]  I will say this, though.
[00:15:27.070 --> 00:15:39.859]  We now have a lot of government documents, a lot of corporate documents admitting that all the big tech, Hollywood, Facebook is designed to make you afraid, depressed, and alone.
[00:15:41.020 --> 00:15:49.944]   And these people really are committed To just absolutely cold-bloodedly destroying civilization and killing the vast majority of the population.
[00:15:53.467 --> 00:15:57.049]  And they are re-establishing paganism.
[00:15:57.410 --> 00:15:58.831]  They're bringing in neo-paganism.
[00:16:02.113 --> 00:16:10.546]   Where the ritualistic bloodsport murder of fellow humans is The national or global pastime.
[00:16:11.186 --> 00:16:17.530]  And that's done to destroy your conscience so that when your neighbors are being drug away, you're going to think it's funny.
[00:16:17.650 --> 00:16:21.332]  And when you're getting drug away, they're going to think it's funny.
[00:16:23.734 --> 00:16:26.255]  The veneer of civilization is basically gone.
[00:16:30.078 --> 00:16:37.462]  And I'm just here to let everybody know that this is all strategically being directed.
[00:16:38.792 --> 00:16:41.894]  Here's the headline for the show today, and I think it's very, very important.
[00:16:44.076 --> 00:16:44.777]  Wednesday Live.
[00:16:45.357 --> 00:16:48.359]  Globalism is the disease, everything else is a symptom.
[00:16:52.182 --> 00:16:53.163]  And that's totally true.
[00:16:55.865 --> 00:16:59.728]  So, Kyle Rittenhouse is a great young man, and I've had his mother on, and I've supported him.
[00:17:00.508 --> 00:17:03.731]  And Kyle Rittenhouse has done an incredible job, and he's on the stand right now.
[00:17:06.078 --> 00:17:13.323]  And now you've had four of the witnesses come out yesterday and today and say that they were told to lie and that they did lie because of threats.
[00:17:13.584 --> 00:17:15.605]  I've got the clips right here on my clipboard.
[00:17:18.847 --> 00:17:26.013]  But if we just focus in on that like a soap opera, we lose the answer to why it's happening.
[00:17:26.092 --> 00:17:30.612]   See, what's happening to Rittenhouse is a symptom of the disease.
[00:17:30.612 --> 00:17:44.492]   And the disease is the new world order, is globalism, and it's taking over the world.
[00:17:44.539 --> 00:17:45.460]  They already did this in Europe.
[00:17:46.441 --> 00:17:48.342]  Soros and others got their prosecutors in.
[00:17:49.984 --> 00:18:11.100]   And if you defend yourself in England, I remember reading this 30 years ago when I was first starting to get into politics and things, covering it on there 28 years ago, where you'd hear about farmer robbed three times, pushed Gypsy assailant through the window after the gypsy tried to stab him.
[00:18:11.900 --> 00:18:18.262]  And the man is going to serve 20 years in prison for defending himself.
[00:18:18.282 --> 00:18:18.822]  Stuff like that.
[00:18:18.842 --> 00:18:21.682]  And you think, man, that'll never come to America.
[00:18:22.683 --> 00:18:23.403]  And then it does.
[00:18:23.423 --> 00:18:29.084]  I mean, hell, they try to charge cops that shoot back at people that are shooting at them.
[00:18:31.129 --> 00:18:46.534]  And so you look at that, and you look at Rittenhouse out there trying to help people, and he's being shot at by a convicted child rapist, and a bunch of other criminals are chasing him, and then they're all over the news lying about Rittenhouse despite the fact all the video came out, and finally when they're on the stand...
[00:18:47.429 --> 00:18:53.811]  And swear their oath before God, they say, oh, the prosecutor right there, he told me to lie.
[00:18:54.091 --> 00:18:56.992]  I did chase Rittenhouse with a gun.
[00:18:57.012 --> 00:18:59.733]  I mean, that is dramatic information.
[00:19:00.053 --> 00:19:01.033]  It's all on InfoWars.com.
[00:19:01.053 --> 00:19:02.354]  You want to go see that.
[00:19:03.754 --> 00:19:06.055]  But do you know what is in my stack today?
[00:19:07.416 --> 00:19:20.676]   From the West Coast to the East Coast, from the South to the North, from Michigan to Louisiana, From Florida to California, I have articles of schools being closed.
[00:19:21.617 --> 00:19:23.498]  Elementary schools, middle schools, and high schools.
[00:19:23.818 --> 00:19:25.299]  And do you know why they're closed?
[00:19:27.661 --> 00:19:28.921]  They tell you in the local news.
[00:19:29.542 --> 00:19:33.684]  We were already understaffed because a lot of people have been fired because they wouldn't have a shot.
[00:19:34.045 --> 00:19:43.738]   But now we're shut down because so many people that took Their vaccines, Pfizer is the main one, are sicker in the hospital.
[00:19:43.798 --> 00:19:46.539]  That's on ABC News in local towns.
[00:19:46.819 --> 00:19:48.179]  That's on NBC News.
[00:19:48.759 --> 00:19:50.500]  But you'll never see it on the national news.
[00:19:51.320 --> 00:20:00.223]  Oh, you'll see fake stories about, you know, ivermectin, tens of thousands poisoned, thousands dying, hospitals around the block, total lies, all fake, not one person in the hospital.
[00:20:03.825 --> 00:20:06.005]  But I have a stack of articles around the country.
[00:20:06.025 --> 00:20:07.946]  There's one of them, ABC News 12 out of Michigan.
[00:20:12.015 --> 00:20:13.256]  Saginaw, is that right?
[00:20:13.316 --> 00:20:18.459]  Township school closes Monday because of staffing shortages will reopen Tuesday.
[00:20:18.759 --> 00:20:24.502]  And when you read down, it says they're closed because so many people are sick from the shot.
[00:20:24.702 --> 00:20:27.124]  It's not even in the frickin' headline!
[00:20:28.945 --> 00:20:34.168]  Some districts have had to close entirely because of outbreaks of the virus, while others only partially.
[00:20:36.004 --> 00:20:41.586]  And then you read, a large number of staff members had negative reactions to the COVID booster they received over the weekend.
[00:20:41.606 --> 00:20:55.832]  There's actually a press release by the school district about multiple schools having to close because a large percentage, quote, in fact, guys, it's in a Don Salazar's article from yesterday, but I forgot to tell you, will you print me the actual letter that's on Facebook from the school?
[00:20:56.272 --> 00:20:57.813]  If it's even still up there, they'll probably take it down.
[00:20:58.353 --> 00:21:00.354]  So, so, so that's just one town.
[00:21:00.834 --> 00:21:04.656]  I could spend the whole next hour on the hundreds of teachers sick.
[00:21:05.016 --> 00:21:05.576]  Yeah, there's the letter.
[00:21:07.375 --> 00:21:08.176]  From the injection.
[00:21:09.958 --> 00:21:11.880]  Let's read that to radio listeners.
[00:21:12.101 --> 00:21:27.018]  A large number, a large number, a large L-A-R-G-E, as in large number, of our staff had negative reactions to the COVID booster shot given at a clinic over the weekend, resulting in absences today.
[00:21:28.499 --> 00:21:38.548]  As you may be aware, there's already a substantial teacher staff shortage throughout the state of Michigan because of the four shots, further complicating the availability to cover these absences.
[00:21:38.888 --> 00:21:42.491]  Please note, we notified parents as quickly as we could yesterday.
[00:21:42.851 --> 00:21:44.713]  Thank you for understanding.
[00:21:45.894 --> 00:21:48.236]  And now they want your five-year-olds to take it.
[00:21:49.938 --> 00:21:54.101]  The Pfizer and Moderna shot have been banned collectively in over 150 countries.
[00:21:55.802 --> 00:21:57.322]  We've written articles about it with links.
[00:21:57.742 --> 00:22:01.623]  This got banned in a third European country than Moderna did today.
[00:22:04.084 --> 00:22:04.764]  In under 30s.
[00:22:06.084 --> 00:22:10.685]  Because of a substantive increase in cardiovascular problems, heart attacks, you name it.
[00:22:13.226 --> 00:22:18.647]  And what does the CEO of Pfizer, our medical dictator, he's the model of the future.
[00:22:19.187 --> 00:22:22.508]  Nabos Group said years ago, we will have corporate CEOs directing the planet.
[00:22:24.508 --> 00:22:29.169]  He's on an Atlantic Council program with some globalist stooge.
[00:22:29.189 --> 00:22:35.451]  The Atlantic Council is like the brain of the country, of Obama and the whole Stay Behind Network.
[00:22:35.511 --> 00:22:37.192]  I mean, our enemies, that's them.
[00:22:37.612 --> 00:22:41.833]  They're directing the forced inoculations, drag queen story time, open borders, everything.
[00:22:42.013 --> 00:22:44.094]  He's got some weird Thurston Howell mummy.
[00:22:44.674 --> 00:22:48.996]  I noticed you have a problem with the fake news.
[00:22:49.316 --> 00:22:51.556]  I've been talking to the CIA and FBI.
[00:22:51.737 --> 00:22:53.957]  We'll be dealing with these dark forces.
[00:22:54.317 --> 00:22:56.758]  Everyone will take their shots and their boosters.
[00:22:58.899 --> 00:23:04.921]  I understand why they don't want to take it, but they will.
[00:23:05.041 --> 00:23:08.702]  I mean, it's all a world government, world ID takeover.
[00:23:09.022 --> 00:23:10.183]  Out of the gates, they're killing us.
[00:23:12.125 --> 00:23:16.389]  And they just sit there saying, we're criminals and that we will be dealt with.
[00:23:16.729 --> 00:23:19.032]  Oh, we know you're dealing with the children.
[00:23:19.052 --> 00:23:20.473]  You're dealing with all the people dying.
[00:23:20.553 --> 00:23:21.774]  Oh, we know you're evil.
[00:23:22.054 --> 00:23:24.156]  We know you got your act together and run the governments.
[00:23:24.677 --> 00:23:25.097]  Believe us.
[00:23:26.118 --> 00:23:29.982]  Oh, I've got a bunch of other public figures having massive heart attacks.
[00:23:30.002 --> 00:23:31.483]  I have a shot in my little stack today.
[00:23:32.024 --> 00:23:34.006]  Remember, this is all just today's stack.
[00:23:35.367 --> 00:23:42.133]   So the head of Pfizer has declared war on you and your family, and he says he's coming after you.
[00:23:42.153 --> 00:23:43.654]  Well, we already know he's coming after us.
[00:23:44.275 --> 00:23:47.118]  Hell, he's Hitler 2.0.
[00:23:47.178 --> 00:23:47.659]  Stay with us.
[00:23:48.580 --> 00:23:50.602]  And we are back live, my friends.
[00:23:51.163 --> 00:23:54.927]  So, let me just do this this way, and then I'm going to go to the clips.
[00:23:57.526 --> 00:23:59.347]  And I said I wasn't going to cover the Rittenhouse thing.
[00:23:59.927 --> 00:24:00.788]  I can't help myself.
[00:24:01.528 --> 00:24:05.291]  I just saw a clip during the break of the judge screaming at the prosecutor, basically.
[00:24:05.851 --> 00:24:08.453]  I mean, this is just blowing up in these criminals' faces.
[00:24:09.273 --> 00:24:10.354]  But they can't help it.
[00:24:11.515 --> 00:24:13.156]  And yes, I think the prosecutor's a criminal.
[00:24:13.176 --> 00:24:17.498]  We have all these witnesses saying he told them to lie on police reports and on the stand.
[00:24:18.199 --> 00:24:19.499]  But he won't get any trouble.
[00:24:19.539 --> 00:24:21.761]  He'll probably get a job at the DNC.
[00:24:21.821 --> 00:24:23.702]  Hell, they'll probably make him the next Attorney General.
[00:24:25.737 --> 00:24:25.997]  You know what?
[00:24:26.037 --> 00:24:26.958]  We got a bunch of these clips.
[00:24:27.018 --> 00:24:27.979]  It's ongoing right now.
[00:24:28.059 --> 00:24:28.899]  It's still on the stand.
[00:24:30.100 --> 00:24:32.062]  Next hour, we'll play a bunch of these clips.
[00:24:32.102 --> 00:24:33.203]  I can't help myself.
[00:24:33.903 --> 00:24:34.524]  We're going to do that.
[00:24:34.624 --> 00:24:38.747]  So we've got the highlights for you as it is ongoing.
[00:24:40.168 --> 00:24:41.609]  It's just such a spectacle.
[00:24:41.909 --> 00:24:43.270]  And look, I knew they were corrupt.
[00:24:44.011 --> 00:24:45.452]  I knew the system was out of control.
[00:24:46.112 --> 00:24:48.714]  But they have gotten so much worse now.
[00:24:48.814 --> 00:24:50.936]  I mean, it is crazy.
[00:24:51.912 --> 00:25:02.679]  In the last five years, I'm not exaggerating when I say I've seen thousands of articles about me personally, that in many cases, nothing in them is true.
[00:25:03.659 --> 00:25:10.644]  You see, we see a story and we think, okay, maybe they're twisting, maybe they're spinning, maybe they're lying a little here, a little there.
[00:25:11.064 --> 00:25:13.525]  No, they put out articles that none of it's true.
[00:25:16.207 --> 00:25:19.009]  They just assault you with a wall of fraud.
[00:25:20.296 --> 00:25:27.202]  And then they want to trick you to re-engage with them and debate and discuss it.
[00:25:27.623 --> 00:25:28.603]  It's mental illness.
[00:25:29.164 --> 00:25:36.470]  That's how they force you into their negative worldview, by always putting out false charges, by always lying, by always obfuscating.
[00:25:36.610 --> 00:25:37.311]  I mean, think about this.
[00:25:37.691 --> 00:26:00.643]   We've had Fauci, and we've had the head of the CDC, the head of the NIH, the head of the FDA, the head of Pfizer, Bill Gates, The puppet president, the vice president, we've seen them all say, we don't just need to censor people that put out vaccine disinformation, we want them arrested.
[00:26:02.325 --> 00:26:07.821]   And now they're one inch in England, in the UK and Australia, Actually, Australia already did it.
[00:26:08.202 --> 00:26:12.723]  To pass laws to arrest you if you just criticize lockdowns.
[00:26:13.044 --> 00:26:18.626]  And they've declared it's the number one terror threat in America is people that don't want new lockdowns or forced inoculations.
[00:26:18.846 --> 00:26:24.008]  They're literally saying you're a terrorist if we can't put an experimental shot in you that's been hurting and killing a bunch of people.
[00:26:24.308 --> 00:26:28.030]  I mean, we're not moving towards a nightmare science fiction dystopia.
[00:26:28.350 --> 00:26:29.570]  Baby, we're in it.
[00:26:30.411 --> 00:26:30.691]  Okay?
[00:26:30.991 --> 00:26:31.551]  We're in it.
[00:26:31.571 --> 00:26:35.593]  I mean, these are really evil people taking a shot at us.
[00:26:38.129 --> 00:26:39.990]  And then, what is disinformation?
[00:26:40.090 --> 00:26:42.452]  Oh, that the shot doesn't protect you or can make you sick.
[00:26:42.592 --> 00:26:43.032]  All real.
[00:26:43.292 --> 00:26:44.453]  That it destroys your immunity.
[00:26:44.613 --> 00:26:45.273]  All confirmed.
[00:26:47.255 --> 00:26:48.255]  That it's not a vaccine.
