[00:00:00.134 --> 00:00:00.955]  This is our chance
[00:12:07.577 --> 00:12:13.239]  I'll show you from the CDC website coming up in the last segment of this hour.
[00:12:18.217 --> 00:12:27.843]  But we'll go directly to the CDC website and we will show you directly from where I am with all the information on screen for you.
[00:12:27.883 --> 00:12:29.063]  And Rob, come back here, my friend.
[00:12:29.924 --> 00:12:30.964]  You're doing a great job.
[00:12:31.825 --> 00:12:36.327]  In the last segment of this hour, help them get all that lined up, help them get all the statistics lined up for them.
[00:12:37.168 --> 00:12:39.369]  I know your brother's a great statistician as well, he's been really helping us out.
[00:12:39.389 --> 00:12:40.410]  I don't want to get him in too much trouble.
[00:12:41.589 --> 00:12:42.429]  Line it all up for him.
[00:12:42.449 --> 00:12:45.971]  We've got a statistician report coming out at the end of the week with a degree in statistician.
[00:12:45.991 --> 00:12:48.771]  We're going to show you these numbers and breaking them down right now.
[00:12:49.132 --> 00:12:52.653]  It looks like you're actually going to have less deaths this year or 2020 than 2019.
[00:12:52.753 --> 00:12:56.414]  If you factor out the suicide.
[00:12:57.625 --> 00:13:01.268]  Suicide did go up, so we actually had more deaths last year than the year before, but that's mainly suicides.
[00:13:01.528 --> 00:13:06.032]  We're crunching all those numbers, we're getting them all codified, but just help them line it all up.
[00:13:06.052 --> 00:13:11.197]  I'm going to show them last year, then I'm going to show them 2019, and then we're going to go through on the CDC website and lay it out for them.
[00:13:11.357 --> 00:13:11.817]  Thank you, my friend.
[00:13:12.838 --> 00:13:14.019]  This is a big deal.
[00:13:15.241 --> 00:13:18.764]  This 100% incontrovertibly proves it's a giant fraud.
[00:13:19.343 --> 00:13:30.237]  And then I have all the mainstream articles going, why are there suddenly no flu deaths in Europe, or in Japan, or in Africa, or in the United States, or in any of the continents?
[00:13:30.297 --> 00:13:32.139]  I mean, suddenly the flu's just gone!
[00:13:33.120 --> 00:13:34.142]  It must be the mask!
[00:13:36.314 --> 00:13:38.095]  Even though that virus is roughly the same size?
[00:13:38.275 --> 00:13:38.895]  No, it's pure bull.
[00:13:39.335 --> 00:13:43.697]  They're counting all the flu deaths and all the pneumonia deaths as COVID, which they admit they're doing.
[00:13:43.817 --> 00:13:48.198]  I mean, it's not even debatable, but all that aside, throw that out, because people get lost in statistics.
[00:13:48.738 --> 00:13:53.120]  How about the same amount of people died, and if you take out the doubling of suicides,
[00:13:54.022 --> 00:13:54.943]  Doubled last year.
[00:13:55.643 --> 00:14:02.569]  If you take out the doubling of suicides, take out half the suicides, less people died in 2020 than died in 2019.
[00:14:03.049 --> 00:14:04.110]  I mean, that's a big deal.
[00:14:04.150 --> 00:14:05.311]  And I've got all the numbers right here.
[00:14:05.891 --> 00:14:07.292]  The suicide numbers, all of it.
[00:14:08.273 --> 00:14:09.074]  So I'm going to say it again.
[00:14:09.594 --> 00:14:13.017]  Ding dong, the witch is dead, the witch-o-witch, the wick-o-witch.
[00:14:13.277 --> 00:14:15.699]  Ding dong, the wicked witch is dead, if you want it to be.
[00:14:15.719 --> 00:14:19.302]  Or is it just one more thing we dribble out and it's lost in translation?
[00:14:20.469 --> 00:14:25.150]  So I remember back in September, late September, September 24th, that big two studies came out.
[00:14:25.210 --> 00:14:26.231]  John Hoppins reported on it.
[00:14:26.591 --> 00:14:27.911]  They didn't retract it for error.
[00:14:27.931 --> 00:14:29.392]  They just said, oh, we're retracting it now.
[00:14:29.732 --> 00:14:31.652]  We'll come back in the new year with the new numbers.
[00:14:33.553 --> 00:14:45.276]  Why you can't year to date, say, from January 1st to September 15th, that's what they counted it, of 2019 to the same date in 2020 and use that number.
[00:14:45.316 --> 00:14:46.916]  But okay, fine, the year's over now.
[00:14:47.377 --> 00:14:48.117]  We've got the numbers.
[00:14:49.830 --> 00:14:51.251]  It's damning, ladies and gentlemen.
[00:14:51.532 --> 00:14:52.773]  I mean, it's over!
[00:14:53.153 --> 00:14:53.874]  It's over!
[00:14:54.214 --> 00:14:57.177]  I personally have to get on an airplane today to go to D.C.
[00:14:57.538 --> 00:15:00.381]  or I would demand a meeting with the governor.
[00:15:00.761 --> 00:15:02.883]  And I've talked to him before.
[00:15:02.923 --> 00:15:03.464]  I'll leave it at that.
[00:15:04.885 --> 00:15:07.888]  And as soon as Joe Rogan gets back in town, he's getting stuff.
[00:15:07.908 --> 00:15:08.669]  He's a patriot.
[00:15:08.869 --> 00:15:10.170]  Notice he came out the last two weeks.
[00:15:11.218 --> 00:15:11.518]  I think so.
[00:15:34.347 --> 00:15:37.849]  He would be the hero, he would get elected president, you name it, but don't hold your breath.
[00:15:37.889 --> 00:15:39.810]  But I mean, this is unbelievable.
[00:15:40.250 --> 00:15:43.851]  But I'm going to shift gears into this, quote, leaked phone call with the president coming up.
[00:15:44.412 --> 00:15:45.232]  I love this phone call.
[00:15:45.272 --> 00:15:46.353]  Makes me like Trump even more.
[00:15:46.653 --> 00:15:47.133]  Stay with us.
[00:15:47.953 --> 00:16:00.019]  Okay, coming up in the last segment of this hour, I'm going to show you directly from the CDC's website that there were roughly the exact same number of deaths in the United States
[00:16:03.260 --> 00:16:05.182]  In the year 2020 there was, in 2019.
[00:16:05.702 --> 00:16:10.386]  Now technically there were 61,000 more deaths last year than there were the year before.
[00:16:11.286 --> 00:16:17.091]  But then again, suicide doubled from about 48,000 almost to 100,000.
[00:16:17.131 --> 00:16:18.592]  We're going to show you those numbers.
[00:16:19.493 --> 00:16:22.796]  And I haven't even counted drug overdoses, went up massively.
[00:16:23.156 --> 00:16:26.639]  So if you add those two factors in, I have a professional statistician doing this right now.
[00:16:28.370 --> 00:16:31.952]  They're just not ready to publish it all yet down to the actual, you know, fine print.
[00:16:32.152 --> 00:16:33.412]  But I'm gonna give you a prelude to this.
[00:16:34.693 --> 00:16:38.515]  Less deaths 2020 from viruses.
[00:16:39.215 --> 00:16:39.815]  I'm gonna say that again.
[00:16:40.235 --> 00:16:49.339]  Less deaths, less deaths if you take out suicide and drug overdose in the United States last year than the year before.
[00:16:50.020 --> 00:16:51.360]  Whoa!
[00:16:51.640 --> 00:16:54.762]  I mean, that is just like incredible!
[00:16:55.831 --> 00:16:57.273]  We need Bill Gates to be arrested.
[00:16:57.313 --> 00:16:58.414]  We need Fauci to be arrested.
[00:16:59.956 --> 00:17:06.623]  These globalists are just the biggest frauds on earth, but the public's already bought into the fraud, and people don't like to admit when they've been scammed.
[00:17:09.066 --> 00:17:10.968]  The chains are going on.
[00:17:11.408 --> 00:17:11.849]  Wow.
[00:17:12.710 --> 00:17:13.070]  Wow.
[00:17:13.931 --> 00:17:14.192]  Wow.
[00:17:15.052 --> 00:17:15.553]  Less deaths.
[00:17:16.314 --> 00:17:16.774]  Less deaths.
[00:17:17.585 --> 00:17:20.626]  When you take out the excess drug overdoses that exploded.
[00:17:21.407 --> 00:17:23.688]  Some estimates are over 30% increase in drug overdoses.
[00:17:24.648 --> 00:17:26.769]  That's over 70,000 people we looked it up.
[00:17:27.189 --> 00:17:29.430]  And then you take out the doubling in suicide.
[00:17:29.910 --> 00:17:31.211]  You take out 50-something thousand.
[00:17:32.892 --> 00:17:35.273]  And you're looking at less people dying.
[00:17:36.733 --> 00:17:37.914]  Just do it in the back of an envelope here.
[00:17:37.934 --> 00:17:40.675]  It looks about like 50,000 less people died.
[00:17:42.130 --> 00:17:44.011]  in 2020 than died in 2019.
[00:17:44.051 --> 00:17:50.995]  If you take out the increase, the increase in suicide, not all suicide, the increase in suicide, the increase in drug overdose.
[00:17:52.636 --> 00:17:53.216]  Now there it is.
[00:17:54.477 --> 00:17:57.179]  COVID-19 causes suicide rates to double.
[00:17:57.479 --> 00:17:59.340]  No, your damn lockdown did.
[00:18:01.521 --> 00:18:02.402]  Print me that article, please.
[00:18:05.063 --> 00:18:06.164]  See how it works, folks?
[00:18:07.751 --> 00:18:08.551]  See how it works?
[00:18:09.352 --> 00:18:11.192]  Through a technocracy, they can do anything they want.
[00:18:11.252 --> 00:18:13.813]  Now, let me just get back to the other big news here.
[00:18:16.454 --> 00:18:21.656]  They have closed one hotel that the Proud Boys like to use in D.C.
[00:18:23.257 --> 00:18:24.797]  that also has Harry's Bar under it.
[00:18:25.277 --> 00:18:26.978]  None of the other hotels are closed.
[00:18:27.538 --> 00:18:28.579]  Port-A-Potties are out.
[00:18:29.079 --> 00:18:31.040]  The stage is being built for the event on the 5th.
[00:18:31.420 --> 00:18:33.841]  The stage is being built for the event on the 6th.
[00:18:36.738 --> 00:18:37.258]  Elliptical.
[00:18:37.798 --> 00:18:39.059]  On the ellipse, like I told you.
[00:18:40.059 --> 00:18:43.560]  And Trump's speaking exactly when I told you last Friday he would.
[00:18:43.600 --> 00:18:45.680]  You notice Sunday, he announced the ellipse.
[00:18:46.141 --> 00:18:47.001]  He announced the time.
[00:18:47.241 --> 00:18:48.381]  Exactly as I told you.
[00:18:48.921 --> 00:18:50.122]  It's not about me tooting my horn.
[00:18:50.562 --> 00:18:52.002]  The enemy already has my phones tapped.
[00:18:52.462 --> 00:18:53.603]  No one else would do this.
[00:18:54.223 --> 00:18:56.303]  I stepped up and I initiated the whole deal.
[00:18:57.744 --> 00:19:00.725]  And you had the Tea Party folks that already had the permits.
[00:19:00.745 --> 00:19:01.445]  They didn't have the money.
[00:19:03.205 --> 00:19:03.986]  We put forward the money.
[00:19:04.566 --> 00:19:05.186]  We got it done.
[00:19:06.752 --> 00:19:07.553]  Trump learned of that.
[00:19:08.353 --> 00:19:13.858]  We needed an additional $400,000 on top of the hundreds of thousands, and that came through.
[00:19:14.758 --> 00:19:16.760]  When Trump does these big events, they have to be paid for.
[00:19:17.500 --> 00:19:21.744]  The porta-potties, the security, the stages, the jumbotrons, okay?
[00:19:23.305 --> 00:19:23.846]  I stepped up.
[00:19:25.827 --> 00:19:30.191]  And the reason I explain that to everybody is you need to understand Trump's surrounded
[00:19:31.038 --> 00:19:35.181]  And so you can't just sit at home and think, trust the plan, Trump's gonna be fine.
[00:19:35.641 --> 00:19:50.472]  And then I know some very prominent people that are great folks that heard, oh, it's gonna be a cluster, you know what, and oh, there's not security, oh, there's no porta-potties, and oh, the hotels are closed, and I can't tell you, I had family say, I hear the hotels are closed.
[00:19:51.413 --> 00:19:52.633]  I heard we can't go to D.C.
[00:19:53.234 --> 00:19:58.678]  No, it's official, presidential events, it's happening, it's the enemy telling you don't come,
[00:20:00.216 --> 00:20:03.437]  And that's why they call it Sunshine Patriots versus Winter Soldiers.
[00:20:05.958 --> 00:20:06.918]  I'm a Winter Soldier.
[00:20:08.258 --> 00:20:09.619]  And let me tell you, going to D.C.
[00:20:09.679 --> 00:20:10.739]  is not being a Winter Soldier.
[00:20:10.759 --> 00:20:11.539]  That's a piece of cake.
[00:20:12.940 --> 00:20:14.040]  I'm willing to be persecuted.
[00:20:14.060 --> 00:20:14.780]  I'm willing to be attacked.
[00:20:14.800 --> 00:20:18.761]  I'm willing to do whatever because I understand things are a lot worse on the other side of submission.
[00:20:20.602 --> 00:20:22.742]  What did Zapata, the famous Mexican rebel, say?
[00:20:24.103 --> 00:20:25.083]  He said it's better to
[00:20:26.752 --> 00:20:29.194]  Die on your feet than to live on your knees as a slave.
[00:20:29.614 --> 00:20:32.916]  But the truth is, those that live on their feet end up not being slaves.
[00:20:33.676 --> 00:20:35.678]  Living on your feet is the way to go.
[00:20:36.738 --> 00:20:38.539]  And I've never backed down to any garbage.
[00:20:38.880 --> 00:20:40.020]  And I'm not backing down now.
[00:20:40.100 --> 00:20:40.821]  This is easy.
[00:20:40.961 --> 00:20:42.482]  I've never felt more alive.
[00:20:42.742 --> 00:20:44.023]  I've never felt more empowered.
[00:20:44.283 --> 00:20:45.584]  I've never felt closer to God.
[00:20:45.824 --> 00:20:46.544]  I love it.
[00:20:48.626 --> 00:20:50.547]  And then they go, oh, there might be Antifa there.
[00:20:51.468 --> 00:20:53.349]  There's like 200 Antifa.
[00:20:53.369 --> 00:20:54.990]  We'll have three million people probably.
[00:20:55.916 --> 00:20:59.579]  Stop using stuff like that as an excuse.
[00:21:00.580 --> 00:21:02.202]  My head of security, great guy.
[00:21:02.222 --> 00:21:07.967]  He's been, you know, federal marshal, cop, SWAT team, Marines, Army, Blackwater, whole nine yards, State Department.
[00:21:08.367 --> 00:21:10.609]  He's got his buddies hitting him up all over Facebook.
[00:21:10.829 --> 00:21:13.272]  Oh, I'm not going because there's no porta-potties and no hotels.
[00:21:14.112 --> 00:21:17.055]  And it's all these former soldiers are scared to go to D.C.
[00:21:18.016 --> 00:21:18.857]  It's disgusting.
[00:21:19.537 --> 00:21:20.959]  Get your ass to D.C.
[00:21:22.759 --> 00:21:23.139]  Be there.
[00:21:23.459 --> 00:21:26.301]  This is historic to show them we don't buy their fraud.
[00:21:26.521 --> 00:21:27.442]  It's bigger than Trump.
[00:21:28.062 --> 00:21:29.063]  It's bigger than America.
[00:21:29.143 --> 00:21:32.005]  It's about the globalists taking over countries with their system.
[00:21:33.766 --> 00:21:34.586]  I'll tell you this, though.
[00:21:35.166 --> 00:21:37.348]  Oh, this is how they try to spin things in Gaslight.
[00:21:37.688 --> 00:21:42.031]  Trump in an hour-long conversation, hour and four minutes long, listen to the whole thing this morning.
[00:21:43.251 --> 00:21:45.313]  Was out last night, but had to spend time with the family.
[00:21:45.353 --> 00:21:45.993]  Didn't watch it.
[00:21:46.493 --> 00:21:47.374]  Got to spend time with the family.
[00:21:48.993 --> 00:21:50.014]  And Trump lays it all out.
[00:21:50.034 --> 00:21:52.536]  They take one little clip where he goes, I just want you to find the 12,000 votes.
[00:21:53.696 --> 00:21:55.938]  I just showed you hundreds of thousands of fraudulent votes.
[00:21:55.978 --> 00:21:57.219]  Find me the 12,000 or the 11,000.
[00:21:57.259 --> 00:21:59.781]  They go, oh, he wants them to find these.
[00:21:59.821 --> 00:22:02.382]  He wants to, he wants to steal the election.
[00:22:02.643 --> 00:22:04.584]  Oh, I thought stealing elections didn't exist.
[00:22:07.186 --> 00:22:09.547]  But you got a list of the whole phone call.
[00:22:09.567 --> 00:22:12.730]  Of course, they bleep out the name of the lady.
[00:22:13.601 --> 00:22:26.887]  Ruby Friedman, who kicks everybody out, says a water main bust, pulls up the black curtains, pulls out the suitcases, looks both directions, and they start feverishly, like chickens with their heads cut off, start running the ballots in over and over again.
[00:22:28.568 --> 00:22:32.109]  Because it wasn't enough to have 10 suitcases full of ballots all for Joe Biden.
[00:22:32.129 --> 00:22:37.092]  She had to run them over and over and over again, and she had to do it looking over her frickin' shoulder.
[00:22:37.412 --> 00:22:39.793]  And here's the CHICOM agent,
[00:22:40.819 --> 00:22:46.722]  Raffensperger, who literally is a CHICOM agent, telling Trump, Sir, none of that's true.
[00:22:46.822 --> 00:22:47.763]  Sir, none of that's true.
[00:22:48.143 --> 00:22:49.404]  Sir, there's no video of that.
[00:22:49.464 --> 00:22:50.184]  Sir, there's no.
[00:22:50.564 --> 00:22:51.085]  Sir, there's no.
[00:22:51.205 --> 00:23:05.473]  Oh, you just did a consent decree with Hillary Clinton's head lawyer outside the legislature to accept all these fake ballots and waive the signatures and waive the checking and waive it all, and you did this, you little monster?
[00:23:07.374 --> 00:23:09.175]  And you try to gaslight us, telling us?
[00:23:10.250 --> 00:23:12.112]  Like we've got a 35 IQ?
[00:23:13.913 --> 00:23:17.536]  That... Well, it's only 35 IQ is in a comma, basically.
[00:23:18.397 --> 00:23:21.079]  That none of this is happening, sir.
[00:23:21.139 --> 00:23:22.440]  That's not true, sir.
[00:23:22.501 --> 00:23:23.662]  That's not true, sir.
[00:23:23.702 --> 00:23:32.429]  And by the way, he's in a legal conversation with his party, with lawyers, and is told this is a legal lawsuit negotiation.
[00:23:32.969 --> 00:23:36.793]  And anybody that knows, when you are in a mediation, that is completely sealed.
[00:23:38.544 --> 00:23:44.750]  And that little Chai Com bastard bet on the system again and went and gave this to the press.
[00:23:45.371 --> 00:23:51.077]  We're going to come back and play part of it and then I'm going to drop the mega load bombshell on you with the documents.
[00:23:51.658 --> 00:23:54.360]  Does anybody care that less people died?
[00:23:58.044 --> 00:23:59.566]  Last year than neither year before.
[00:24:02.998 --> 00:24:06.541]  Man, I gotta hand it to Bill Gates and these people.
[00:24:06.561 --> 00:24:08.883]  They sure as hell have got a lot of hutzpah, man.
[00:24:09.123 --> 00:24:10.404]  They got a lot of bravado.
[00:24:10.844 --> 00:24:11.485]  We'll be right back.
[00:24:11.545 --> 00:24:12.325]  I'm Alex Jones.
[00:24:12.625 --> 00:24:15.488]  InfoWars.com, the home of the resistance.
[00:24:16.889 --> 00:24:18.230]  Welcome back, ladies and gentlemen.
[00:24:18.350 --> 00:24:19.751]  I am Alex Jones, your host.
[00:24:19.831 --> 00:24:21.953]  Here's the headline for the live feed of the show today.
[00:24:21.973 --> 00:24:22.653]  I hope you share it.
[00:24:23.073 --> 00:24:24.314]  It's at InfoWars.com.
[00:24:25.716 --> 00:24:26.856]  InfoWars.com.
[00:24:27.697 --> 00:24:30.059]  The calm before the storm.
[00:24:31.120 --> 00:24:31.900]  Washington, D.C.
[00:24:31.940 --> 00:24:32.381]  braces.
