[00:00:00.289 --> 00:00:01.090]  Thursday Live!
[00:05:07.512 --> 00:05:20.179]  He said, I'm sorry, I was always a mainline guy, but I've reverse engineered this, and this is a poisonous gene therapy that is going to start shutting everybody's livers down within six months to one year.
[00:05:20.199 --> 00:05:28.183]  And it's also going to cause brain plaques, and it's also going to attack the babies in utero, and it's the end of humanity.
[00:05:29.591 --> 00:05:34.293]  That's the former chief scientist, former Pfizer VP.
[00:05:34.393 --> 00:05:37.835]  Your government is lying to you in a way that could lead to your death.
[00:05:38.175 --> 00:05:38.855]  That's a quote.
[00:05:40.096 --> 00:05:44.978]  And Woodargen, he wrote a big letter on December 1st begging Europe not to approve any of the vaccines.
[00:05:45.598 --> 00:05:48.119]  Not the virus vectors, not the Pfizer, not any of it.
[00:05:48.139 --> 00:05:49.900]  Because they all do the same thing.
[00:05:51.272 --> 00:05:56.317]  And they got almost no attention and they filed an injunction and the EU just brushed it aside.
[00:05:57.518 --> 00:06:04.785]  But now what he said in that report in December, here we are four months later and everything they talked about is now coming true.
[00:06:20.660 --> 00:06:21.440]  InfoWars.
[00:06:21.780 --> 00:06:22.720]  Tomorrow's News.
[00:06:22.960 --> 00:06:23.381]  Today.
[00:06:27.181 --> 00:06:28.842]  Ladies and gentlemen, we are live.
[00:06:28.902 --> 00:06:34.263]  We are broadcasting worldwide on this April 15th, 2021 transmission.
[00:06:36.963 --> 00:06:38.224]  I'm your host, Alex Jones.
[00:06:39.844 --> 00:06:43.385]  And the arrest of our reporter is big national news.
[00:06:43.405 --> 00:06:44.865]  We're going to look at some of that here in a moment.
[00:06:46.735 --> 00:06:52.241]  And then we're going to look at the situation with Russia and the United States economy.
[00:06:53.523 --> 00:07:02.433]  The riots that are already starting across the nation ahead of the verdict in the next week or so, maybe longer in the show on trial in Minnesota.
[00:07:03.515 --> 00:07:05.196]  It's all coming up today.
[00:07:06.087 --> 00:07:15.629]  Arrests still continuing for the January 6th Capitol riot and a San Marcos man who worked for Infowars was arrested yesterday in connection with that breach at the U.S.
[00:07:15.669 --> 00:07:16.509]  Capitol building.
[00:07:16.549 --> 00:07:26.871]  A lawsuit states the investigation into Samuel Montoya started five days after the riot when a family member tipped off the FBI that he went inside the Capitol building back in January.
[00:07:27.211 --> 00:07:29.971]  Montoya also had a video of himself in the Capitol.
[00:07:30.291 --> 00:07:33.932]  He faces several charges including entering a restricted building.
[00:07:34.512 --> 00:07:46.100]  And now this, the ironically named Civil Rights Division of the Biden Justice Department announced today there will be no charges brought against the man who shot and killed protester Ashley Babbitt in the Capitol back in January.
[00:07:46.740 --> 00:07:48.802]  No one who pays attention was surprised to hear this.
[00:07:48.922 --> 00:07:55.126]  In cases like this, the benefit of the doubt usually does go to law enforcement, and as we've often said, we are fine with that.
[00:07:55.466 --> 00:07:55.866]  It should.
[00:07:56.806 --> 00:08:02.371]  But still, in a free society, the rest of us have a right to know roughly what happened.
[00:08:03.071 --> 00:08:06.274]  In this case, we have a right to know who shot Ashley Babbitt and why.
[00:08:07.215 --> 00:08:07.956]  No one will tell us.
[00:08:08.636 --> 00:08:13.420]  The Biden administration says the man who killed Babbitt is a Capitol Hill police officer and he did the right thing.
[00:08:13.640 --> 00:08:14.421]  That's all they've said.
[00:08:15.382 --> 00:08:19.385]  We know that Ashley Babbitt was short, she was female, and she was unarmed.
[00:08:19.766 --> 00:08:24.169]  There was no evidence the officer who killed her gave her any kind of verbal warning before he pulled the trigger.
[00:08:25.106 --> 00:08:26.466]  Is that now standard procedure?
[00:08:27.306 --> 00:08:39.249]  We'd imagine the rules of engagement for federal agents were limited to the use of deadly force in situations where law enforcement has reason to believe they, or the people they're around, are in imminent danger of being harmed.
[00:08:40.089 --> 00:08:43.650]  You can't just shoot people without warning because they're in the wrong place.
[00:08:43.670 --> 00:08:44.770]  That's not allowed.
[00:08:45.730 --> 00:08:47.491]  Except now, apparently, it is allowed.
[00:08:48.371 --> 00:08:50.011]  So when did these rules change?
[00:08:50.451 --> 00:08:53.172]  And once again, who exactly shot Ashley Babbitt?
[00:08:54.207 --> 00:08:57.790]  Journalists exist to ask these questions, but they're not asking them.
[00:08:58.390 --> 00:09:04.415]  The Washington Post wrote a long story today about the DOJ's announcement and never raised a single one of these questions.
[00:09:05.035 --> 00:09:10.019]  The Post didn't name the shooter or even acknowledge that the government is withholding the name of the shooter.
[00:09:11.124 --> 00:09:17.813]  Quote, Authorities determined that there was insufficient evidence to prove Babbitt's civil rights were violated, the Post declared.
[00:09:17.833 --> 00:09:18.995]  And that was it.
[00:09:19.736 --> 00:09:24.282]  The rest of the piece was a personal attack on Ashley Babbitt and on her political views.
[00:09:24.562 --> 00:09:25.444]  She deserved to die.
[00:09:25.624 --> 00:09:27.206]  That was the point of the Washington Post story.
[00:09:28.348 --> 00:09:32.690]  How amazing to read something like this, especially now.
[00:09:32.990 --> 00:09:41.414]  1,100 miles from Washington in Brooklyn Center, Minnesota, a police officer accidentally reached for her gun instead of a taser and killed a man called Daunte Wright.
[00:09:41.935 --> 00:09:42.755]  It was a tragedy.
[00:09:42.895 --> 00:09:44.056]  All shootings are tragedies.
[00:09:44.596 --> 00:09:50.179]  But we know that officer's name because every news organization in the country printed it immediately.
[00:09:50.859 --> 00:09:51.699]  She is now resigned.
[00:09:51.719 --> 00:09:52.960]  She is now facing charges.
[00:09:53.300 --> 00:09:54.440]  Her mugshot is everywhere.
[00:09:54.480 --> 00:09:55.420]  It's all over the Internet.
[00:09:55.841 --> 00:09:59.882]  And that's why two nights ago, a mob showed up at her house and forced she and her husband to flee.
[00:10:00.682 --> 00:10:01.742]  And she's not the only one.
[00:10:02.423 --> 00:10:06.864]  Last August, a police officer in Kenosha, Wisconsin, shot a man called Jacob Blake.
[00:10:06.884 --> 00:10:07.444]  Do you remember that?
[00:10:08.124 --> 00:10:09.285]  Riots erupted immediately.
[00:10:09.885 --> 00:10:12.446]  Well, yesterday, that officer was cleared of all charges.
[00:10:13.146 --> 00:10:20.649]  When that story broke, NPR, National Public Radio, put that police officer's name and photograph on the front of their website.
[00:10:21.629 --> 00:10:22.490]  So that's the standard.
[00:10:22.530 --> 00:10:27.872]  Except in this case, where they are still hiding the identity of the officer who shot Ashley Babbitt.
[00:10:29.072 --> 00:10:30.313]  Are you sensing a theme here?
[00:10:31.233 --> 00:10:38.236]  The standards that big news organizations use to cover shootings depend entirely on the political views of the people who get shot.
[00:10:39.332 --> 00:10:44.179]  When the Washington Post doesn't like the candidates you vote for, they suppress the details of the case.
[00:10:45.140 --> 00:10:55.193]  In the case of Ashley Babbitt, we know next to nothing about how she died, and we wouldn't know anything if her shooting hadn't been captured on video by people who don't work at the Washington Post.
[00:10:56.241 --> 00:10:59.705]  One of those people is a video editor from Texas called Samuel Montoya.
[00:11:00.205 --> 00:11:01.406]  Montoya was in the U.S.
[00:11:01.426 --> 00:11:02.287]  Capitol that day.
[00:11:02.647 --> 00:11:04.769]  Montoya doesn't look much like a white supremacist.
[00:11:05.150 --> 00:11:06.872]  He has no criminal history that we're aware of.
[00:11:07.712 --> 00:11:12.677]  On January 6th, Samuel Montoya took what may be the clearest video of Ashley Babbitt's death.
[00:11:30.129 --> 00:11:30.349]  No!
[00:11:30.389 --> 00:11:31.230]  Push it down!
[00:11:38.126 --> 00:11:40.467]  So there are a lot of things to notice about that tape.
[00:11:40.527 --> 00:11:42.647]  It's a very sad tape, but here's what jumps out.
[00:11:43.107 --> 00:11:44.447]  Ashley Babbitt had no weapon.
[00:11:44.507 --> 00:11:45.808]  She wasn't attacking anyone.
[00:11:45.848 --> 00:11:50.209]  She couldn't attack anyone because she was climbing through a window at the moment she was shot.
[00:11:51.169 --> 00:12:03.652]  But what is most striking and never discussed is that several Capitol Hill police officers in paramilitary gear, the guys with the helmets with the cameras, were standing directly behind Ashley Babbitt when she was killed.
[00:12:04.372 --> 00:12:08.833]  They were carrying what Joe Biden refers to as weapons of war, loaded AR-15s.
[00:12:09.754 --> 00:12:16.016]  So explain to us slowly how Ashley Babbitt posed an imminent physical threat to anyone when she was killed.
[00:12:16.736 --> 00:12:17.376]  Well, she didn't.
[00:12:18.176 --> 00:12:19.957]  Samuel Montoya's footage proves it.
[00:12:20.457 --> 00:12:21.998]  And we're grateful that we have that tape.
[00:12:22.038 --> 00:12:28.240]  If we didn't have that tape, the New York Times would be telling us that Ashley Babbitt was beating people to death with a fire extinguisher when she was killed.
[00:12:28.880 --> 00:12:31.861]  But thanks to Samuel Montoya, the New York Times cannot claim that.
[00:12:32.611 --> 00:12:38.694]  We'd love to have Sammy Montoya tonight on the show to describe what he saw that day, but we can't do that because he's in jail.
[00:12:39.634 --> 00:12:44.457]  Yesterday, a large group of armed federal agents showed up at Montoya's home in Austin, Texas.
[00:12:44.917 --> 00:12:49.859]  They smashed his front door, they confiscated his electronic devices, and they threw him in jail.
[00:12:50.280 --> 00:12:50.960]  He's still there.
[00:12:51.060 --> 00:12:52.641]  He's behind bars right now.
[00:12:53.701 --> 00:12:54.642]  So what was his crime?
[00:12:55.506 --> 00:12:59.509]  Well, to find out, we read the Biden administration's arrest warrant application.
[00:13:00.069 --> 00:13:07.694]  The FBI says it began investigating Sammy Montoya after one of his family members provided, quote, proof that Montoya was physically inside the U.S.
[00:13:07.734 --> 00:13:11.937]  Capitol near the shooting of a woman on January 6th, 2021, end quote.
[00:13:12.617 --> 00:13:15.899]  Now, to be clear, Montoya did not shoot the woman, Ashley Babbitt.
[00:13:16.199 --> 00:13:17.760]  He just happened to be nearby.
[00:13:18.821 --> 00:13:19.782]  But wait a second.
[00:13:20.848 --> 00:13:24.290]  Weren't there plenty of journalists inside the Capitol on January 6th?
[00:13:24.630 --> 00:13:26.171]  Well, according to CNN, yes, there were.
[00:13:26.751 --> 00:13:32.995]  In fact, CNN ran a piece telling us that, quote, congressional reporters became the country's eyes and ears as rioters stormed the Capitol.
[00:13:34.035 --> 00:13:39.038]  So the question is, why hasn't the FBI arrested the people that CNN identified in its story?
[00:13:39.498 --> 00:13:49.044]  The photographers from Getty, for example, the political reporters from NBC News, the congressional correspondents from CNN itself and from the AP.
[00:13:50.640 --> 00:13:51.641]  Well, that's a good question.
[00:13:51.681 --> 00:13:54.322]  The FBI explains why in the warrant affidavit.
[00:13:54.362 --> 00:14:01.167]  Quote, at times during the video, Montoya describes himself to others inside the Capitol building as a reporter or a journalist.
[00:14:01.227 --> 00:14:04.589]  All right, so we provided that raw HD footage to Tucker Carlson.
[00:14:05.109 --> 00:14:11.934]  Sam was released last night, right about the time that Tucker Carlson went on air.
[00:14:12.434 --> 00:14:14.695]  So that was accurate when he said that he was basically still in jail.
[00:14:14.956 --> 00:14:18.658]  He was let out sometime during the Tucker Carlson hour, I think like 7.15 Central.
[00:14:20.919 --> 00:14:23.840]  And again, he's charged with making noise in the Capitol.
[00:14:24.660 --> 00:14:26.060]  They say that that disrupted things.
[00:14:26.500 --> 00:14:27.120]  It's asinine.
[00:14:27.600 --> 00:14:37.562]  CNN gave $35,000, so did NBC, $70,000 total, to Jaden X, who was there saying, let's burn this place down and encouraging people to attack and destroy things.
[00:14:37.602 --> 00:14:39.042]  He said he went to D.C.
[00:14:39.082 --> 00:14:41.943]  to pose as a Trump supporter to get people to do that.
[00:14:42.663 --> 00:14:49.384]  And out of hundreds of thousands that had already gotten to the Capitol ahead of Trump finishing his speech at the Ellipse, they got a few hundred people to do it.
[00:14:50.953 --> 00:14:52.834]  And then you're this big crowd, because I was there.
[00:14:52.894 --> 00:14:53.735]  I got there in the middle of it.
[00:14:54.135 --> 00:14:55.316]  You don't know what's going on inside.
[00:14:55.356 --> 00:14:56.237]  You don't know what's happening.
[00:14:56.257 --> 00:14:57.537]  You just see people going into the Capitol.
[00:14:57.898 --> 00:14:59.599]  But I figured, I'm not going in there.
[00:14:59.619 --> 00:15:01.280]  And so we went and tried to get people to not go in.
[00:15:01.320 --> 00:15:02.201]  I said, don't go in.
[00:15:02.221 --> 00:15:03.922]  It'll end up being a Kent State.
[00:15:04.022 --> 00:15:06.844]  And 30 minutes later, Ashley Babbitt was shot dead.
[00:15:06.864 --> 00:15:08.905]  And now the left is all over the national news.
[00:15:08.985 --> 00:15:09.786]  Arrest Jones.
[00:15:10.146 --> 00:15:12.107]  He sent his reporter in to provocateur things.
[00:15:12.647 --> 00:15:13.828]  And of course, it's the opposite.
[00:15:14.329 --> 00:15:15.509]  They're the ones provocateuring.
[00:15:15.529 --> 00:15:16.610]  They're the ones staging all this.
[00:15:16.690 --> 00:15:17.471]  It's absolutely incredible.
[00:15:17.731 --> 00:15:19.652]  By the way, we filed a four-year yesterday.
[00:15:19.672 --> 00:15:20.493]  I had a law firm do it.
[00:15:21.493 --> 00:15:26.596]  So that we can assume, if they don't release it, the name of the police officer that executed her.
[00:15:27.116 --> 00:15:29.117]  And so we're going to have more of that coming up today.
[00:15:29.137 --> 00:15:30.617]  There's so much to break down.
[00:15:31.418 --> 00:15:33.139]  Serious issues with Russia and so much more.
[00:15:33.179 --> 00:15:33.599]  Stay with us.
[00:15:34.919 --> 00:15:41.623]  Let me tell you what's coming up on this outlaw, illegal broadcast in the globalist view.
[00:15:43.303 --> 00:15:48.746]  We've got the iconic trailblazer, the visionary, David Icke, joining us.
[00:15:50.029 --> 00:15:51.610]  Boy, I thought he was nuts 25 years ago.
[00:15:51.670 --> 00:15:52.351]  He's dead on.
[00:15:53.071 --> 00:16:02.739]  We've got him joining us in the second hour, and then Owen's going to pop in at the end of the third hour, and then also an amazing trailblazer, Joe Salente hosts the fourth hour ahead of the War Room.
[00:16:02.759 --> 00:16:07.522]  We're going to have Patrick Howley guest hosting with Owen popping in from the border.
[00:16:08.403 --> 00:16:12.907]  They're just trying to digest the hours of undercover footage and whistleblower stuff they've got.
[00:16:13.703 --> 00:16:16.044]  Because, you know, Veritas will put out one or two reports a week.
[00:16:16.064 --> 00:16:16.805]  They've got a huge crew.
[00:16:16.825 --> 00:16:17.385]  They're great people.
[00:16:17.705 --> 00:16:19.386]  They've got a digest to put their reports out.
[00:16:19.706 --> 00:16:24.248]  We're live putting out six, seven, eight, nine, ten hours a day and our reports.
[00:16:24.448 --> 00:16:25.589]  And so it's really breakneck.
[00:16:25.609 --> 00:16:28.310]  But there is a lot in the pipeline.
[00:16:30.271 --> 00:16:33.292]  I can't tell you yet, but let's just say this.
[00:16:33.553 --> 00:16:40.496]  I see comments on InfoWars saying things that just sound outlandish, like I bet they're doing this with the children.
[00:16:41.803 --> 00:16:43.844]  And I'm like, oh, come on, that's a little too much.
[00:16:43.904 --> 00:16:47.547]  And then we catch them doing it.
[00:16:49.248 --> 00:16:50.189]  They want their blood.
[00:16:50.729 --> 00:16:52.090]  I'm just gonna leave it at that.
[00:16:54.172 --> 00:16:59.135]  They can sell a pint of a three-year-old's blood for $10,000 to a globalist.
[00:16:59.375 --> 00:17:01.037]  They're paying $10,000 for it.
[00:17:01.357 --> 00:17:02.077]  They don't drink it.
[00:17:02.918 --> 00:17:04.219]  They put it in their veins.
[00:17:04.239 --> 00:17:06.841]  And I told you that a long time ago, because I know a lot of rich people.
[00:17:07.731 --> 00:17:13.152]  I know billionaires and folks that were like, 10 years ago, Alex, you're a little bit fat and out of shape and tired and you work too much.
[00:17:13.612 --> 00:17:16.593]  Why don't you go to this doctor I know and they can get you some young blood.
[00:17:17.273 --> 00:17:23.435]  You know, the kids are like 12, 13, they sign off on it, goes to their college fund, the doctor tells me, but man, I'm telling you, I feel great.
[00:17:23.455 --> 00:17:26.356]  And like some 80 year old man's got like shiny, you know, yellow looking skin.
[00:17:26.716 --> 00:17:27.696]  And I'm like, eh, no thanks.
[00:17:27.876 --> 00:17:28.956]  A, the Bible says don't do it.
[00:17:28.996 --> 00:17:32.097]  B, there's all sorts of weird viruses and stuff in other people's blood.
[00:17:32.257 --> 00:17:33.297]  It's just, it's not normal.
[00:17:34.498 --> 00:17:34.758]  You know?
[00:17:37.298 --> 00:17:39.019]  I would want my wife's blood in me, you know what I mean?
[00:17:40.020 --> 00:17:50.527]  Even though I'm very close to my wife, and we have that sexual communion, but that sexual interface, that congress, having somebody's blood in you is a big, big deal.
[00:17:50.567 --> 00:17:58.192]  Now, if it's absolutely you're going to die, loss of blood, whatever, a lot of folks die from those blood transfusions later, but I'm digressing.
[00:18:00.114 --> 00:18:05.497]  The point is that we've become a total commodity and we're not valuing human life anymore, and it's extremely dangerous for everybody.
[00:18:05.597 --> 00:18:11.260]  And what we're seeing down at the border is way worse than I even thought.
[00:18:11.360 --> 00:18:17.863]  And I'm about to go to the border tomorrow, and we'll have live feeds throughout the weekend at InfoWars and Bandai Video.
[00:18:18.244 --> 00:18:24.007]  And I'm actually dreading it, because it is very depressing to see
[00:18:25.279 --> 00:18:38.085]  Stuff worse than I've seen in any third world country and I've been around the world and to know it's orchestrated and now there's a new contract for $530 million to Biden's own family.
[00:18:38.425 --> 00:18:41.687]  It's connected to his family to expand the facility just to McAllen.
[00:18:41.707 --> 00:18:44.628]  That's $500 million just where we're at.
[00:18:44.648 --> 00:18:47.510]  This is the epicenter on top of all the other giant centers.
[00:18:48.510 --> 00:18:50.751]  And the news is like to fix the crisis.
[00:18:50.811 --> 00:18:53.533]  No, it's the wedge opening up the door.
[00:18:55.137 --> 00:19:00.840]  So we have Congressional Dems introduce court-packing bill to add four justices to the Supreme Court.
[00:19:02.361 --> 00:19:07.203]  We have Biden backs down after Putin warns him to stay away from Ukraine for his own good.
[00:19:09.164 --> 00:19:19.010]  We have new textbooks and video coming out of the insane indoctrination of communism, anti-Americanism, and anti-white racism being taught in New York schools and LA schools.
[00:19:19.966 --> 00:19:27.835]  We have giant developments on the police state front and Ashley Babbitt and what happened there, our reporter being arrested two days ago.
[00:19:29.296 --> 00:19:33.258]  We have huge COVID martial law world government announcements.
[00:19:33.298 --> 00:19:35.639]  Biden's saying, of course, a new bigger pandemic is coming.
[00:19:35.839 --> 00:19:36.900]  You'll never leave lockdown.
[00:19:37.120 --> 00:19:41.882]  You might have a few months off of lockdown, but now anytime somebody dies of the flu or a cold, you have to stay locked in your house.
[00:19:42.162 --> 00:19:45.744]  I mean, this is just mainlining total tyranny to see how obedient we'll be.
[00:19:45.764 --> 00:19:48.325]  And so many folks have been obedient.
[00:19:48.365 --> 00:19:51.106]  So it just confirms the nightmare we knew was coming.
[00:19:51.146 --> 00:19:52.187]  So I'm not being a negative person.
[00:19:52.207 --> 00:19:54.788]  I'm admitting the problems so we can counter it and do something about it.
[00:19:56.248 --> 00:19:57.129]  That's just some of what
[00:19:58.834 --> 00:19:59.795]  We've got coming up today.
[00:20:00.055 --> 00:20:03.237]  But first, I'm going to tell listeners this.
[00:20:03.878 --> 00:20:04.818]  This is very serious.
[00:20:05.239 --> 00:20:12.304]  We have a gigantic, organic audience at Band.Video and on our radio stations and TV stations and at Infowars.com.
[00:20:12.324 --> 00:20:18.008]  Despite all the deplatforming, all the attacks, they have major articles everywhere about why can't we shut down Jones?
[00:20:18.068 --> 00:20:19.229]  Why hasn't he shut down yet?
[00:20:19.729 --> 00:20:23.332]  Now the Democrats just say everywhere, we want Jones arrested.
[00:20:25.343 --> 00:20:47.417]  And you see the things that are going on and and so normally in the old days we have a giant audience we would have a lot of revenue but we're winning when it comes to huge audience and you spread the word people telling folks to tune in the forbidden transmission everything we've talked about is coming out in the open right now so our credibility is extremely high but I know that the country's in a engineered depression now and I know people don't have as much money and so
[00:20:48.217 --> 00:20:51.138]  I don't want to lay people off, and I don't want to not do what we're doing.
[00:20:51.158 --> 00:20:56.680]  I don't want to not have coverage of the verdict coming up next week in Minnesota.
[00:20:56.960 --> 00:20:59.021]  I don't want to not have coverage on the border that nobody else is doing.
[00:20:59.061 --> 00:21:00.902]  I don't want to have to cut anything.
[00:21:00.942 --> 00:21:02.002]  I want to be able to expand.
[00:21:02.962 --> 00:21:05.303]  But right now, I am pushing into the red.
[00:21:05.323 --> 00:21:10.105]  I am right up against not bringing enough money and not having money to buy a new product.
[00:21:10.125 --> 00:21:15.527]  Because what I can do is go into emergency mode, not buy a new product, sell all we have, keep going another six months.
[00:21:16.327 --> 00:21:21.470]  And then start shutting down and imploding down to a very small show that's not as effective.
[00:21:21.811 --> 00:21:23.171]  And I really don't want to do that.
[00:21:23.271 --> 00:21:25.573]  So, listen, we got great products you need.
[00:21:25.873 --> 00:21:26.934]  We have things that are essential.
[00:21:27.054 --> 00:21:28.495]  Vitamin Mineral Fusion is selling out.
[00:21:28.775 --> 00:21:30.076]  I'm still keeping it at 40% off.
[00:21:30.376 --> 00:21:32.677]  Liquid multivitamin mineral with amino acids.
[00:21:32.937 --> 00:21:34.838]  You get it for 50% off and you get it with Winter Sun.
[00:21:36.680 --> 00:21:38.761]  That sale only has three days left.
[00:21:40.066 --> 00:21:42.247]  So, Winter Sun, back in stock, 40% off.
[00:21:42.287 --> 00:21:43.647]  Vitamineral Fusion, 40% off.
[00:21:44.427 --> 00:21:45.748]  That's going to have to end on Sunday.
[00:21:45.808 --> 00:21:47.829]  Essential Vitamin Combo Pack, 50% off.
[00:21:48.249 --> 00:21:48.849]  Ending soon.
[00:21:48.949 --> 00:21:51.430]  Rocket Rest, amazing natural sleep aid.
[00:21:51.470 --> 00:21:52.950]  So valuable for your life and your health.
[00:21:52.970 --> 00:21:54.191]  40% off.
[00:21:54.651 --> 00:21:55.871]  Lung Cleanse, 50% off.
[00:21:55.951 --> 00:21:56.492]  Ending soon.
[00:21:56.612 --> 00:21:58.312]  All t-shirts, $17.76.
[00:21:59.112 --> 00:22:03.354]  And we have the Be Part of Operation Endgame, War in the World, Stop the Great Reset.
[00:22:03.894 --> 00:22:07.677]  You can get the documentary film in-game and make copies of it and share with everybody.
[00:22:07.697 --> 00:22:09.138]  It doesn't have the copy guard on it.
[00:22:09.499 --> 00:22:11.841]  As low as $3.95 when you buy 10 or more.
[00:22:12.341 --> 00:22:13.041]  $3.95 a piece.
[00:22:13.102 --> 00:22:15.183]  It's $14.95 for individual films.
[00:22:15.203 --> 00:22:16.044]  We can fund ourselves.
[00:22:16.064 --> 00:22:16.825]  $9.95 for 2 each.
[00:22:16.845 --> 00:22:17.485]  $8.95 when you get 3.
[00:22:17.525 --> 00:22:18.406]  5 DVDs are $5.95 each.
[00:22:18.566 --> 00:22:20.047]  And 10 DVDs are $3.95 each at InfoWarsTore.com.
