[00:00:00.169 --> 00:00:06.154]  And so I got up at 2 a.m., and I've been up since 2 a.m., and I read this whole document.
[00:04:14.210 --> 00:04:23.499]  They are now calling it, in the UK, the Happy Pass, when you can't leave your house without a special QR code on your phone.
[00:04:24.159 --> 00:04:28.483]  They call it the Freedom Pass, when you wear bracelets that track where you go in Israel.
[00:04:31.192 --> 00:04:37.154]  And so I got up at 2 a.m., and I've been up since 2 a.m., and I read this whole document.
[00:04:37.214 --> 00:04:41.215]  Now, every facet of it is bone-chilling.
[00:04:42.875 --> 00:04:55.279]  But what's even more insane is it's actually being implemented all over the world right now, and this is a UN program, and it describes taking families away from each other, taking children away, and putting you in forced labor.
[00:04:57.279 --> 00:04:59.200]  Now, this is the Cloward and Piven strategy.
[00:05:00.976 --> 00:05:13.246]  It's how you bankrupt an economy, get enough people not to work until productivity collapses, you flood the country with third world population, and finally the social safety net gives out and the state fails.
[00:05:14.487 --> 00:05:16.588]  The police are laid off or fired.
[00:05:18.010 --> 00:05:21.713]  The universities start closing.
[00:05:22.393 --> 00:05:22.934]  We're here.
[00:05:23.034 --> 00:05:28.158]  This is stalling out the engine of the country to collapse it economically,
[00:05:29.448 --> 00:05:36.930]  Create such panic that people then accept the new currency, the universal guaranteed income, and then it just gets worse from there.
[00:05:37.931 --> 00:05:48.094]  And then the daily way of life is every neighborhood has a captain over it with armed leftists who are not from your neighborhood.
[00:05:48.134 --> 00:05:54.296]  They come and it says in the document, they're going to then put quote, disadvantaged groups in your home.
[00:05:56.050 --> 00:06:02.256]  And then if you, quote, cause any racial or cultural problems, you'll then be taken to a camp.
[00:06:03.317 --> 00:06:07.141]  So the entire United States is going to be a giant open-air re-education camp.
[00:06:07.921 --> 00:06:15.709]  And it says right here that they're going to, quote, take people from diverse backgrounds and put them in your house.
[00:06:16.966 --> 00:06:26.080]  And then it describes how the armed forces are going to be there in the neighborhood, camped out, and then if you don't do what they're told, they're going to come take you away.
[00:06:27.222 --> 00:06:28.683]  So, I want to explain something.
[00:06:29.204 --> 00:06:31.785]  On a scale of a 1 to 10, this is a 10 of evil.
[00:06:32.006 --> 00:06:36.549]  I mean, this is the most hardcore, savage evil takeover ever.
[00:06:36.589 --> 00:06:38.871]  General Austin has about to purge the U.S.
[00:06:38.911 --> 00:06:41.393]  military of anyone that won't take the deadly shots.
[00:06:41.413 --> 00:06:42.053]  That's by design.
[00:06:42.073 --> 00:06:44.355]  They're going to start the false flags, and then they're coming.
[00:06:45.035 --> 00:06:47.257]  Obviously, we won't be on air anymore by the time that happens.
[00:06:47.597 --> 00:06:48.358]  Get ready, folks.
[00:06:48.418 --> 00:06:48.958]  This is it.
[00:06:49.179 --> 00:06:51.260]  They're getting ready to take us down full war.
[00:06:51.600 --> 00:06:52.181]  Emergency!
[00:06:52.441 --> 00:06:53.021]  Emergency!
[00:06:53.262 --> 00:06:53.802]  Emergency!
[00:06:54.362 --> 00:06:54.563]  So,
[00:06:57.310 --> 00:07:11.995]  This document is so horrible, is so evil, is so draconian, is so historically over-the-top, even in the Orwellian terms they use, that it is shaking me.
[00:07:14.255 --> 00:07:22.258]  When you read this document and you see they've already implemented most of it around the world and now it's coming here, you can see the abject hell
[00:07:24.019 --> 00:07:35.487]  That all of us are about to go under with millions of paramilitary leftists in your house, running your life.
[00:07:36.928 --> 00:07:40.271]  No one has studied this at the level I have, other than the enemy that's rolling it out.
[00:07:41.812 --> 00:07:44.073]  And so when I read this, I see all the components.
[00:07:45.454 --> 00:07:50.038]  Facebook came out last year and said, we're going to have a module that's for communal homes.
[00:07:53.024 --> 00:08:06.993]  Even in a small apartment, you'll have to let other families in, and then that's going to be modeled and controlled by Facebook, and you're going to have local community managers that watch you over cameras and systems in your house to make sure you're complying.
[00:08:08.094 --> 00:08:11.837]  And that's now in the infrastructure bill that just passed minutes ago.
[00:08:12.257 --> 00:08:17.681]  They kept the provision in for, by law, all cars to have cameras in it and breathalyzers watching you in live time.
[00:08:18.261 --> 00:08:20.522]  But I'm digressing.
[00:08:22.807 --> 00:08:24.168]  Let me just describe this to you.
[00:08:29.390 --> 00:08:47.877]  This is so thought out, this is so complete, this is so scientific by these behavioral psychologists and these social engineers that only a total rejection of everything they say and everything they do on its face can stop it.
[00:08:50.185 --> 00:08:55.289]  Because they are undermining the economy, they are undermining the culture, they are paying people to stay home.
[00:08:55.309 --> 00:08:56.530]  We're now a year and a half into that.
[00:08:57.011 --> 00:09:03.576]  There are giant labor shortages that are causing a global breakdown and mass starvation in the third world.
[00:09:04.977 --> 00:09:14.765]  The UN then organizes those people and brings them here by the millions to be another group they have that will then again implode the economy.
[00:09:15.802 --> 00:09:21.626]  And they're going to have the solution of a new socialist communist system, and it's all described.
[00:09:21.666 --> 00:09:37.916]  You know, people heard two weeks ago, the CDC said, we order, as its own branch of government, not legislative, not executive, not judicial, they just said, we order everyone to get six months more of free rent.
[00:09:37.936 --> 00:09:40.178]  It's been going on for over a year.
[00:09:42.441 --> 00:09:44.362]  And everybody said, well, you don't have that authority sectorally.
[00:09:44.382 --> 00:09:45.203]  And they said, yeah, we do.
[00:09:45.523 --> 00:09:46.603]  And you notice it's ongoing.
[00:09:47.044 --> 00:09:47.444]  It happened.
[00:09:48.224 --> 00:09:59.731]  That's because a national emergency has been declared by Biden and the CDC is the absorption arm because they know that you'll fight FEMA and you'd even fight the military coming to take your guns.
[00:10:00.091 --> 00:10:08.136]  But if it's all done to stop a virus and it's the CDC, well, Operation Lockstep and the Rockefellers say, chances are you will succumb to it.
[00:10:09.738 --> 00:10:12.680]  So let me just calmly, as best I can, lay this out.
[00:10:14.442 --> 00:10:17.124]  My phone started ringing, and I was getting calls at 2 a.m.
[00:10:17.144 --> 00:10:24.470]  last night, because this document hadn't been on the internet in full, even though it's a year old, until just a week or so ago, and folks were sending it to me.
[00:10:24.490 --> 00:10:35.959]  So I got up, I started reading it, and I read the document five times, and I printed off here hundreds of supporting documents.
[00:10:36.834 --> 00:10:42.678]  So you have to understand, everything I tell you here, I have the document that backs it up, where they've already prepared it.
[00:10:44.940 --> 00:10:46.121]  But let's start at the beginning.
[00:10:46.201 --> 00:10:53.506]  Here is Barack Obama, 13 years ago, U.S.
[00:10:53.546 --> 00:11:01.532]  Senator, running for President, saying, we want a domestic security force, a domestic security force, a DSF,
[00:11:03.479 --> 00:11:07.060]  Just as big and just as strong as our military.
[00:11:07.160 --> 00:11:10.240]  And you hear that and you go, well, that's ridiculous.
[00:11:10.280 --> 00:11:11.140]  That's preposterous.
[00:11:11.160 --> 00:11:11.781]  How would he do that?
[00:11:12.461 --> 00:11:18.862]  And then he set up the groups that created the core organizations that for 13 years have been preparing this.
[00:11:19.502 --> 00:11:22.243]  And now you will know them as the contact tracers.
[00:11:22.703 --> 00:11:25.943]  And then they'll be backed up by the carbon tracers.
[00:11:26.563 --> 00:11:28.664]  And that's really the next leg of this thing.
[00:11:29.591 --> 00:11:53.946]  Once they get you with that phone to track and trace everywhere you go, and to have to present the phone to even leave your house, to have it scanned by the police and by the new civilian corps that are all these millions and millions of college students that can't get a job because the economy's been shut down and offshored, their new job for 20 bucks an hour is going to be minding you, and it describes in the new CDC battle plan
[00:11:55.465 --> 00:12:13.501]  That is the next CDC operation, and you've heard all this from the UN, you've seen it in Australia, you've seen it in Spain, you see it now in the UK, you see it in France, and they announced that, by, isn't it strange, early next year this will be in place, right before the midterms.
[00:12:14.562 --> 00:12:17.464]  As I told you, they're never going to let you have those midterms, to be free and fair.
[00:12:17.864 --> 00:12:20.767]  And so what you see in Australia, what you see in France, I'm going to show you the next segment,
[00:12:23.322 --> 00:12:26.023]  That's all coming here now.
[00:12:26.343 --> 00:12:33.485]  Troops on the streets, paramilitary police, and then citizens ratting you out and getting in your face.
[00:12:34.286 --> 00:12:37.467]  And Paul Watson's written an article about it, and I called Paul right off the show, and I said, good job, Paul.
[00:12:37.907 --> 00:12:39.587]  I called him at 3 a.m.
[00:12:40.007 --> 00:12:40.428]  last night.
[00:12:41.028 --> 00:12:42.948]  He was already up, because he's six, seven hours ahead.
[00:12:43.629 --> 00:12:50.431]  And a CDC COVID document discussed relocating high-risk individuals to camps.
[00:12:51.864 --> 00:12:54.285]  That's an interesting headline, but it's way more hardcore than that.
[00:12:55.485 --> 00:13:19.151]  It's official CDC policy says millions of Americans who don't even have a disease are sick, but because they're poor, or because they are old, they're going to be put in, quote, green zone camps, and they'll have to, quote, work to earn their living in the camp.
[00:13:21.035 --> 00:13:22.436]  And actually call them camps.
[00:13:24.337 --> 00:13:26.479]  So here's Obama 13 years ago.
[00:13:26.499 --> 00:13:35.125]  We continue to rely only on our military in order to achieve the national security objectives that we've set.
[00:13:35.946 --> 00:13:42.991]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:13:47.244 --> 00:13:53.205]  Now I'm begging you to simply go to InfoWars.com and to go read the first paragraph.
[00:13:53.225 --> 00:13:55.185]  It has a link to the document.
[00:13:56.546 --> 00:14:02.287]  The document is only about nine pages long, but it's very fine print.
[00:14:03.267 --> 00:14:05.187]  And I want you to read this for yourself.
[00:14:06.207 --> 00:14:09.268]  And if it doesn't make the hair on the back of your neck stand up, nothing will.
[00:14:11.268 --> 00:14:12.909]  It describes breaking up families.
[00:14:14.009 --> 00:14:14.829]  It describes
[00:14:16.141 --> 00:14:19.482]  How they're going to cordon off every neighborhood, every town.
[00:14:20.042 --> 00:14:26.305]  And then we've got the federal training manuals where they're training to lock down rural areas and how to permanently set up checkpoints.
[00:14:26.345 --> 00:14:31.207]  They're building huge quote, residential centers all over Europe and all over the UK.
[00:14:31.607 --> 00:14:35.848]  And now in the United States, they're also starting to set these up.
[00:14:37.269 --> 00:14:38.569]  And when locals ask, what are they for?
[00:14:38.589 --> 00:14:42.871]  The local paper says, well, it's for the new way of life, battling COVID.
[00:14:45.646 --> 00:14:56.812]  It doesn't matter how many scientists come out and say it's the vaccine killing people, like the viral video out of Indiana of the medical doctor, the COVID doctor, who just devastated him in a six-minute presentation.
[00:14:57.032 --> 00:14:58.413]  We're going to play that at the bottom of the hour.
[00:15:00.714 --> 00:15:02.335]  And of course, they're trying to take his license now.
[00:15:03.935 --> 00:15:06.497]  They're on the news saying, you question us?
[00:15:07.978 --> 00:15:08.999]  You'll lose your license.
[00:15:09.039 --> 00:15:19.985]  I mean, this is a corporate world government takeover, and they need an excuse for martial law, an excuse to lock down every town and every city, and it describes all the sectors.
[00:15:22.966 --> 00:15:32.692]  It says you will have the household HH level, but you will have local block captains that mind you and inspect your home and place other families with you.
[00:15:34.013 --> 00:15:36.054]  And by the way, when you go to the United Nations right now,
[00:15:37.657 --> 00:15:38.497]  I never aired this report.
[00:15:38.537 --> 00:15:38.898]  I should have.
[00:15:38.918 --> 00:15:39.858]  I put it on Mandot Video.
[00:15:40.258 --> 00:15:40.858]  I went to the UN.
[00:15:40.878 --> 00:15:41.739]  I don't know why I didn't air it.
[00:15:42.359 --> 00:15:48.182]  I just don't air all of my reports and I'm sick of looking at me, but... You go there and there's these big giant signs saying, Global Reset.
[00:15:48.582 --> 00:15:50.323]  Nanotech will take over your bodies.
[00:15:51.343 --> 00:15:52.944]  Communes instead of cities.
[00:15:54.324 --> 00:15:57.566]  And then it shows the communes and it looks like a concentration camp.
[00:15:57.846 --> 00:16:01.387]  And it says your family will live in a dirt-floored bunker.
[00:16:02.468 --> 00:16:04.729]  And you will own nothing and have nothing.
[00:16:04.769 --> 00:16:05.949]  And you're like, well that's dystopic.
[00:16:06.250 --> 00:16:06.730]  Exactly.
[00:16:08.412 --> 00:16:11.474]  It's the psychology where they just flip it on you.
[00:16:12.014 --> 00:16:13.495]  And here's the thing.
[00:16:15.156 --> 00:16:26.301]  Again, they're destroying the economy so it collapses so all these people are going to want to go to these places because they won't have any food or water or medicine and then it just normalizes all these giant open-air prisons.
[00:16:26.722 --> 00:16:28.462]  That's why they've normalized all the homelessness.
[00:16:28.903 --> 00:16:30.243]  This is so diabolical.
[00:16:30.984 --> 00:16:32.464]  Yeah, we're not the planet of the apes.
[00:16:33.885 --> 00:16:35.126]  We're the planet of the slaves.
[00:16:36.894 --> 00:16:38.895]  News is moving so fast, my head is spinning.
[00:16:38.915 --> 00:16:46.317]  Can we put back on screen, please, the live show feed name so people can share it?
[00:16:47.338 --> 00:16:47.838]  There it is.
[00:16:47.938 --> 00:16:54.080]  Rent alert, emergency broadcast, CDC announces plan to put millions of Americans in forced labor camps.
[00:16:54.840 --> 00:17:04.324]  I'll be reading the document here in a minute, but just think about, again, two weeks ago, they're like, oh, no one can be kicked out for not paying their rent for another six months.
[00:17:05.998 --> 00:17:08.840]  People say, we don't have that authority, but notice it's still just ongoing.
[00:17:10.282 --> 00:17:11.703]  Because this is martial law.
[00:17:12.063 --> 00:17:13.364]  This is civil emergency.
[00:17:14.005 --> 00:17:20.450]  The CDC is the vehicle for total control, forced inoculations, digital passports.
[00:17:22.072 --> 00:17:25.094]  Everything we told you was coming, and people are like, but this is authoritarian.
[00:17:25.374 --> 00:17:30.519]  Yeah, once they finally make their move, everything collapses very quickly.
[00:17:31.994 --> 00:17:47.406]  And Cloward and Piven did not invent this, just like the Stockholm Syndrome was not invented or didn't exist until researchers in the 60s saw examples of people that had been kidnapped and tortured by bank robbers, who would then start identifying with their captors.
[00:17:48.787 --> 00:17:52.130]  That's been going on since humans have been around, but we call it Stockholm Syndrome.
[00:17:52.150 --> 00:17:52.870]  That's the name.
[00:17:56.153 --> 00:17:58.815]  And it's the same thing for what's going on right now.
[00:17:59.906 --> 00:18:07.310]  We can give all this new names, but it's classic to say we can lock up whoever we want, we can take away whoever we want, there's no due process.
[00:18:09.151 --> 00:18:17.635]  And Cloward and Piven was a husband and wife team of sociologists, economists, who were communists.
[00:18:18.115 --> 00:18:21.037]  This is a public plan, and it was endorsed by the Democratic Party by the 70s.
[00:18:22.974 --> 00:18:36.080]  To bankrupt the social welfare net by bringing in so many foreigners, having so many regulations on businesses, paying people not to work, until society fell apart and the capitalist system was destroyed.
[00:18:37.910 --> 00:18:41.432]  And it's the ultra-rich that are now doing this because they're offshore and tax-exempt.
[00:18:41.893 --> 00:18:53.101]  So this whole thing is the endgame of a very serious, deadly takeover, where the ruling class wages economic war and cultural war on us and divides us and conquers us.
[00:18:55.042 --> 00:18:56.863]  It's very, very simple.
[00:18:57.424 --> 00:18:58.384]  And it's happening now.
[00:18:58.464 --> 00:19:05.689]  But when you look at the largesse of the project and how huge it is and how they camouflage every part of what they do,
[00:19:06.798 --> 00:19:08.219]  As a humanitarian action.
[00:19:10.340 --> 00:19:11.921]  Now, internally, they don't call it that.
[00:19:11.961 --> 00:19:13.962]  Let me show you a couple documents here.
[00:19:17.584 --> 00:19:20.325]  Here's the main article that has it linked in it, so anybody can go get this.
[00:19:21.025 --> 00:19:22.426]  Get stuff like this while you still can.
[00:19:22.926 --> 00:19:27.589]  CDC COVID document discussed relocating high-risk individuals to camps.
[00:19:29.110 --> 00:19:32.451]  And that's a nice headline by Paul, and I love Paul, but it's much worse than that.
[00:19:33.392 --> 00:19:35.213]  CDC document lays out plan
[00:19:36.260 --> 00:19:39.142]  To relocate millions of people in forced labor camps.
[00:20:07.895 --> 00:20:13.099]  You are going to be put in a green zone work camp.
[00:20:16.923 --> 00:20:22.548]  But it's almost worse if you live in a house, you will then take families into your house.
[00:20:27.011 --> 00:20:33.317]  So they've got the home program, household HH level,
[00:20:35.896 --> 00:20:45.086]  Then you've got operational considerations, and the shielding document in each green zone has dedicated latrine, bathrooms, all of it.
[00:20:45.527 --> 00:20:49.612]  It describes breaking up families, taking them away, who don't even have the COVID.
[00:20:51.534 --> 00:20:54.217]  Since they've thrown all logic out the window, why even say they have COVID?
[00:21:00.595 --> 00:21:01.696]  Man, this is so evil.
[00:21:01.716 --> 00:21:05.097]  And it's what you already see in France and Australia and everywhere else.
[00:21:05.397 --> 00:21:10.200]  And the monitoring protocols and men and women, individuals with tuberculosis and blah, blah, blah.
[00:21:10.540 --> 00:21:21.065]  Green zones should be more spacious in terms of shelter area per capita than surrounding camp sector, even at the cost of greater crowding of low risk people.
[00:21:22.372 --> 00:21:28.615]  Oh, so don't worry, the high-risk people that they're having to totally lock up, they get a more spacious area in the camp.
[00:21:29.095 --> 00:21:31.416]  I mean, this reads like Kurt Vonnegut's satire.
[00:21:37.359 --> 00:21:43.922]  Talks about how to take children away from their parents and require additional care and who will take care of your children.
[00:21:43.962 --> 00:21:44.582]  Isn't that great?
[00:21:46.403 --> 00:21:47.604]  And how to break the families up.
[00:21:50.401 --> 00:21:51.162]  Now let's look at it.
[00:21:51.402 --> 00:21:54.326]  Here is FM3-39.40.
[00:21:55.367 --> 00:21:56.508]  We got this document.
[00:21:56.829 --> 00:21:58.991]  The Army leaked it to us one year after we got it.
[00:21:59.011 --> 00:21:59.892]  People didn't believe it was real.
[00:22:00.653 --> 00:22:02.175]  The Army officially admitted it was real.
[00:22:03.136 --> 00:22:05.319]  Internment and Resettlement Operations.
[00:22:05.439 --> 00:22:07.021]  This was launched under Obama.
[00:22:08.703 --> 00:22:10.844]  And it's how to round up Americans and put them in camps.
[00:22:10.884 --> 00:22:12.024]  The whole thing's declassified.
[00:22:12.565 --> 00:22:20.168]  You can see here where it says, destroy by any method that will prevent disclosure of contents or reconstruction of the document.
[00:22:21.048 --> 00:22:22.729]  And I was Senate when it was a secret document.
[00:22:24.010 --> 00:22:24.670]  And we put it out.
[00:22:26.391 --> 00:22:31.593]  And... Then a year later, the military admitted it was real.
[00:22:34.874 --> 00:22:36.235]  And here's the latest Mark Dice video.
[00:22:36.275 --> 00:22:36.835]  Shock video.
[00:22:36.855 --> 00:22:37.996]  Americans sign petition.
[00:22:39.295 --> 00:22:42.356]  To arrest Trump supporters who they say stole the election.
[00:22:42.736 --> 00:22:45.517]  So they say, yes, arrest people for saying with them stole the election.
[00:22:45.918 --> 00:22:47.958]  That's the majority of people he talked to in California.
[00:22:51.600 --> 00:22:53.040]  So that's what this is.
[00:22:55.021 --> 00:22:58.062]  And here's the Cloward-Piven strategy, if you want to understand that.
[00:22:59.203 --> 00:23:07.826]  A political strategy outlined in 66 by American sociologists and political activists Richard Cloward and Francis Fox Piven.
[00:23:09.360 --> 00:23:09.780]  Go read it!
[00:23:09.820 --> 00:23:14.863]  The plan, and the focus on Democrats, how to bankrupt society to take communist control.
[00:23:16.284 --> 00:23:22.567]  So that society breaks down their main mission, get rid of the single-family home, and get rid of male leadership.
[00:23:22.887 --> 00:23:24.128]  There'll be males running the camps.
[00:23:24.528 --> 00:23:33.033]  They just don't want any men that could stand up or organize against them, because, my God, this is what men are built for, is to say no to something like this.
[00:23:37.062 --> 00:23:40.924]  Now let me show you, just going out to break, what's happening.
[00:23:41.324 --> 00:23:42.164]  Let's do it when we come back.
[00:23:42.865 --> 00:23:48.647]  In Australia and in France, because exactly what you see there will now be here by next year.
[00:23:48.667 --> 00:23:51.909]  It's already being beta tested in blue city controlled sectors.
[00:23:52.989 --> 00:24:01.153]  And they're putting pressure on their own politicians and minions to carry all this out or they'll be removed for all the dirt they've got on each one of them.
[00:24:02.625 --> 00:24:03.387]  And that's breaking.
[00:24:03.487 --> 00:24:10.303]  Andrew Cuomo resigns following sexual harassment allegations after New York governor faced mounting pressure to quit.
[00:24:16.932 --> 00:24:22.901]  He's not in trouble for killing 20,000 old people, sending sick patients into nursing homes under the UN's directive.
[00:24:22.921 --> 00:24:23.241]  No, no, no.
[00:24:23.742 --> 00:24:29.931]  It's for hitting on women, which I'm not saying is a good thing for a married governor to do, but on a scale of 1 to 10, it's about a 2.
[00:24:31.053 --> 00:24:32.555]  And killing old people knowingly is about a 12.
[00:24:34.460 --> 00:24:36.981]  So there you go, ladies and gentlemen.
[00:24:38.282 --> 00:24:40.323]  All I can tell you is, here's the big news.
[00:24:41.064 --> 00:24:52.050]  This has all been theoretical and tested out by the UN and other countries, by the CHICOMS and others, but now they're going operational in the West with actually setting up camps everywhere and taking all our guns and killing us.
[00:24:52.390 --> 00:24:53.231]  So just get ready for that.
[00:24:55.532 --> 00:25:02.396]  All right, Erin Babbitt, Ashley Babbitt's very articulate husband, is going to be joining us in the third hour today.
[00:25:03.584 --> 00:25:10.628]  And I've already covered a lot of this number one news story that is the story of the fact that we're being incrementally put into martial law.
[00:25:11.089 --> 00:25:12.490]  We're already under martial law.
[00:25:13.010 --> 00:25:14.811]  Regular laws have been suspended.
[00:25:15.491 --> 00:25:21.555]  The CDC is being given dictatorial power via FEMA and President Biden to do whatever they want.
[00:25:22.656 --> 00:25:24.697]  And the insane document.
[00:25:24.717 --> 00:25:27.379]  But you notice the crew just search engines things I say.
[00:25:28.439 --> 00:25:30.621]  And so I'm talking about Democrats want a civilian
[00:25:32.461 --> 00:25:35.402]  Security force just as big and just as strong as the military.
[00:25:35.462 --> 00:25:36.522]  I said that at the start of the show.
[00:25:37.723 --> 00:25:44.825]  And I said phase two of the civilian military force that Obama was pushing in 2008 is going to be
[00:25:50.777 --> 00:25:59.683]  Environment police that go around and check your phone to make sure you're calibrating it and scanning every purchase and everything you do to pay carbon taxes.
[00:26:00.144 --> 00:26:01.905]  I know that because Klaus Schwab said so.
[00:26:02.305 --> 00:26:04.447]  But oh, let's just say Klaus Schwab doesn't run things.
[00:26:04.487 --> 00:26:08.790]  Well, the crew just found an article from a couple months ago I didn't even know about.
[00:26:10.746 --> 00:26:15.367]  AOC Democrats want to create civilian corps to battle climate change.
[00:26:16.048 --> 00:26:20.769]  A 1.5 million strong group of Americans to join a civil climate corps.
[00:26:20.789 --> 00:26:23.850]  Now what did I say at the start of the show?
[00:26:24.390 --> 00:26:26.851]  You're going to have a multi-million person climate corps.
[00:26:26.871 --> 00:26:32.852]  You're going to have a multi-million person, bigger than the U.S.
[00:26:32.872 --> 00:26:34.893]  military, COVID corps.
[00:26:36.038 --> 00:26:51.630]  And then you're going to have the new National Police, known as the Capitol Police, that go around looking for political threats and targeting people, then the Democratic Party suing everyone, and then collapsing the economy and making you, under emergency edicts, take people in your home.
[00:26:51.970 --> 00:26:53.351]  You go, well, I won't put up with that!
[00:26:56.093 --> 00:27:02.058]  But once you're in a depression, you will, because they'll say, we're going to forgive your mortgage for now, you've just got to house people.
[00:27:03.228 --> 00:27:05.850]  And again, then they can politically control what you do.
[00:27:05.890 --> 00:27:07.150]  And it's all in this plan.
[00:27:07.471 --> 00:27:11.913]  So if you want to destroy America, you've got to destroy the culture, the economy, and people's independence.
[00:27:13.694 --> 00:27:17.597]  And my God, in these documents, it describes how to take over farms and ranches.
[00:27:18.217 --> 00:27:32.126]  And when I've sat there and read what happened in Venezuela and Cuba and North Korea and China and Russia and Eastern Europe, places like Poland, Hungary, Romania, ladies and gentlemen, this is happening here now.
[00:27:34.434 --> 00:27:35.775]  And it tears my guts out.
[00:27:35.915 --> 00:27:43.180]  I mean, this is a communist playbook with big tech sensors and phones as your high-tech papers.
[00:27:45.081 --> 00:27:49.964]  And then, it's not just like the Soviets are going to take over, you can still have a wife and children, or a husband and children.
[00:27:50.365 --> 00:27:58.070]  They're not going to let you have families, and they're going to take your children away for gender reassignment, they say in the CDC documents.
[00:27:59.871 --> 00:28:00.892]  We're going to have to fight.
[00:28:03.319 --> 00:28:08.080]  But every time we fight, they're going to blow up a truck bomb at a school or something and say we did it, and blame it on us.
[00:28:09.021 --> 00:28:12.482]  Every time we resist having our kids taken, they'll just commit a crime and say we did it.
[00:28:12.782 --> 00:28:16.623]  That's how they control the mainstream media, so they can commit atrocities and say we did it.
