[00:00:00.000 --> 00:00:20.000]  [MUSIC]
[00:03:30.524 --> 00:03:33.484]  come out that indeed they did have informants inside.
[00:03:33.484 --> 00:03:38.124]   And they brought the same FBI agent from Michigan who set up the false flag against Governor
[00:03:38.124 --> 00:03:40.923]  Whitmer to run the operations on January 6th.
[00:03:40.966 --> 00:03:44.167]  I want a real investigation, but this isn't a real investigation.
[00:03:44.467 --> 00:03:52.530]  They have a few hand-picked Republicans like Liz Cheney and others that are horrible neocons, and they are basically setting up a show trial here.
[00:03:54.275 --> 00:03:58.741]  I'm on air, weekdays, 11am to 3pm at InfoWars.com.
[00:03:58.761 --> 00:04:03.928]  We're still on the air in many ways bigger than ever, telling the truth, laying out the documents, covering what's really happening.
[00:04:04.608 --> 00:04:06.751]  And I really do want to testify to Congress.
[00:04:07.272 --> 00:04:14.571]   And so if they let me testify live in front of the cameras, Or depose me on C-SPAN, I will probably do it.
[00:04:15.072 --> 00:04:16.975]  That way they can't twist what I said later.
[00:04:17.576 --> 00:04:31.091]   But I've seen what they've done to other people, and there's no way I'm gonna go behind closed doors with Schiff and all these other crazy people and swallows well the Chinese agent and let them sit there and claim that I've done something wrong or claim that I
[00:04:31.091 --> 00:04:31.990]  lied to Congress.
[00:04:31.990 --> 00:04:33.990]  I want an investigation of them.
[00:04:33.990 --> 00:04:36.990]   The evidence is overwhelming that the deep state that controls them
[00:04:36.990 --> 00:04:40.990]   and ran the fake Russiagate operation also provocateured January 6th.
[00:04:40.990 --> 00:04:44.990]   I want to know why the groups I was working with, with Ali Alexander,
[00:04:44.990 --> 00:04:48.990]   on record had the permit on the edge of the Capitol by the Supreme Court
[00:04:48.990 --> 00:04:50.990]  where Trump thought he was going.
[00:04:50.864 --> 00:04:54.086]  Where I told the crowds, don't go in the building, go over here, let's be peaceful.
[00:04:54.746 --> 00:04:55.547]  They know all this.
[00:04:56.267 --> 00:04:57.747]  And they can't stand it, ladies and gentlemen.
[00:04:57.788 --> 00:05:00.549]  So, this country's in an emergency.
[00:05:00.769 --> 00:05:03.270]  They never want us to have a real election in 11 months.
[00:05:03.830 --> 00:05:05.191]  They want to set up this tyranny.
[00:05:05.231 --> 00:05:07.292]  They want to brand their opposition as terrorist.
[00:05:07.492 --> 00:05:09.092]  They want to have a political purge, and it's wrong.
[00:05:09.373 --> 00:05:16.496]  So I want a real January 6th investigation that's bipartisan, and I would be happy to testify before that under oath.
[00:05:17.276 --> 00:05:25.261]  I'm not a fool, I'm not an idiot, and I'm not about to be set up by the political, globalist criminals in Congress, the Democrats, that have sold this nation out to China.
[00:05:25.521 --> 00:05:38.190]  This whole thing is about distracting from Biden, the stolen election, the gas prices that have doubled, the incredible inflation, the borders collapsing, the pedophile rings running around all over the country, and this whole New World Order agenda selling our country out.
[00:05:38.650 --> 00:05:39.631]  You people are traitors.
[00:05:40.111 --> 00:05:41.412]  You signed onto the wrong team.
[00:05:41.732 --> 00:05:46.196]  America's awake to you, so good luck trying to put the Patriot leadership in prison.
[00:05:46.536 --> 00:05:55.202]  We're going to peacefully have a velvet revolution in this country of ideology and of culture, and we're already winning, and your New World Order is destined to fail.
[00:05:55.523 --> 00:06:00.827]  Your Great Reset is nothing but the establishment trying to take over and trying to suppress the people.
[00:06:01.307 --> 00:06:03.749]  Your Great Reset will be defeated by the Great Awakening.
[00:06:04.309 --> 00:06:10.943]  Infowars.com, Band.Video, Freeworldnews.tv is the front lines of the human fight for liberty.
[00:06:11.204 --> 00:06:25.444]  God bless and good luck.
[00:06:25.413 --> 00:06:31.095]  InfoWars was right above the target, and the globalists were a year out from launching their attack.
[00:06:31.675 --> 00:06:36.836]  Three years later, and InfoWars is still thriving, thanks to the support of our audience.
[00:06:37.356 --> 00:06:42.938]  But we are now facing the fiercest battle yet, and we need you to help save InfoWars.
[00:06:43.638 --> 00:06:50.444]  The enemies entrenched within our government are breaking the justice system more than ever in their attack against Alex Jones.
[00:06:51.044 --> 00:06:54.867]  No crime, no evidence, no jury, no trial?
[00:06:55.327 --> 00:06:56.088]  We don't think so.
[00:06:56.568 --> 00:07:00.592]  They want to kill the messenger in a kangaroo trial with their new U.S.S.A.
[00:07:01.152 --> 00:07:02.053]  But we won't let them.
[00:07:02.693 --> 00:07:04.755]  Alex Jones will have his day in court.
[00:07:05.396 --> 00:07:12.661]  With your support, go to SaveInfoWars.com now and give your donation to save the First Amendment.
[00:07:13.602 --> 00:07:17.350]  SaveInfoWars.com and God bless America.
