[00:00:00.000 --> 00:00:10.000]  [BLANK_AUDIO]
[00:08:16.212 --> 00:08:18.654]  They are 40% off in the case of DNA Force Plus.
[00:08:18.754 --> 00:08:26.394]   and 50% off for one week only on Survival Shield X2 and yes, until supplies last, we have down and out,
[00:08:26.394 --> 00:08:28.554]  50% off at mfortwrestore.com.
[00:08:28.554 --> 00:08:30.153]  This is the Trifecta.
[00:08:30.153 --> 00:08:34.394]   I suggest you check it out and experience what this does for your body today.
[00:08:34.394 --> 00:08:40.273]   Often when you get into the real world, the effectiveness of vaccines falls short
[00:08:40.273 --> 00:08:42.394]  of the original efficacy.
[00:08:42.832 --> 00:08:47.214]  That is not at all the case with the vaccines for COVID-19.
[00:08:47.375 --> 00:08:50.916]  So now we have two vaccines that are really quite effective.
[00:08:50.976 --> 00:08:54.298]  The mRNA vaccine, highly effective.
[00:08:54.578 --> 00:09:04.322]   Extraordinarily efficacious, 94 To 95% for mild to moderate disease and virtually 100% efficacious.
[00:09:04.642 --> 00:09:10.100]   because the real world effectiveness is even more impressive than the results of the clinical
[00:09:10.100 --> 00:09:11.100]  trial.
[00:09:11.100 --> 00:09:11.100]  [music]
[00:09:11.100 --> 00:09:18.102]  [music]
[00:09:18.102 --> 00:09:25.102]  [music]
[00:09:25.102 --> 00:09:32.102]  [music]
[00:09:32.102 --> 00:09:39.102]  [music]
[00:09:39.102 --> 00:09:46.102]  [music]
[00:09:46.102 --> 00:09:53.102]  [music]
[00:09:53.102 --> 00:10:00.102]  [music]
[00:10:00.102 --> 00:10:07.102]  [music]
[00:10:07.102 --> 00:10:14.102]  [music]
[00:10:14.102 --> 00:10:21.102]  [music]
[00:10:21.102 --> 00:10:23.842]  (dramatic music)
[00:10:23.842 --> 00:10:25.982]  [MUSIC PLAYING]
[00:10:25.618 --> 00:10:27.319]  You might need another shot.
[00:10:27.379 --> 00:10:30.099]  We gotta make sure we clarify that with people.
[00:10:30.139 --> 00:10:33.220]  It has nothing to do whether or not it's effective.
[00:10:33.820 --> 00:10:42.723]  We know it's highly effective.
[00:10:45.103 --> 00:10:47.103]  Highly annoying.
[00:10:47.103 --> 00:10:49.103]  [Dramatic music]
[00:10:49.103 --> 00:10:51.103]  [Dramatic music]
[00:10:51.103 --> 00:10:53.103]  [Dramatic music]
[00:10:53.103 --> 00:10:55.103]  [Dramatic music]
[00:10:55.103 --> 00:10:57.103]  [Dramatic music]
[00:10:57.103 --> 00:10:58.603]  [Dramatic music]
[00:10:58.603 --> 00:11:00.603]  Come on, man!
[00:11:00.603 --> 00:11:02.603]  [Music]
[00:11:02.603 --> 00:11:04.603]  [Music]
[00:11:05.347 --> 00:11:15.878]  It's Saturday, October 16, 2021.
[00:11:16.419 --> 00:11:17.320]  InfoWars.
[00:11:17.520 --> 00:11:19.042]  Tomorrow's news, today.
[00:11:23.203 --> 00:11:25.924]  Thank you for joining us on another emergency broadcast.
[00:11:25.984 --> 00:11:50.354]  Basically, every broadcast we engage in now is an emergency, because the globalists are making their move ahead of the great culling, the great cataclysm, the great disaster that they are engineering, and which during this societal human collapse they will pose as the saviors and our guardians, while they quietly try to smother humanity in its crib.
[00:11:51.929 --> 00:11:53.490]  What a thrilling ten minutes.
[00:11:53.530 --> 00:11:54.350]  It had everything.
[00:11:54.670 --> 00:11:56.091]  We're so happy that you're here.
[00:11:56.411 --> 00:11:57.832]  It had everything.
[00:11:58.733 --> 00:12:09.138]  And the realization once again, the fragility of this planet, the coming catastrophic event, and we all have to clean this act up now.
[00:12:09.358 --> 00:12:10.039]  Well said.
[00:12:11.600 --> 00:12:23.817]   The coming catastrophic event that everybody's been let in on, Who is at the William Shatner level, the great culling, the bunkers they've built all over the world.
[00:12:24.898 --> 00:12:34.509]  That's why AOC, that's why Beto two years ago said by 2030 we'll all be dead and it's the end of the world.
[00:12:34.529 --> 00:12:35.049]  Remember that?
[00:12:35.810 --> 00:12:40.523]   Now they've been brought in and have been briefed on Asteroids, they tell them, are coming.
[00:12:41.163 --> 00:12:42.724]  A pole shift, they tell them, is coming.
[00:12:43.044 --> 00:12:50.547]  And that global warming, scientists have told them, is going to produce super viruses like airborne Ebola that will kill 90% of the Earth.
[00:12:50.807 --> 00:12:52.968]  But it's humans' fault that it's coming.
[00:12:54.008 --> 00:12:57.530]  That's the cover story up at the William Shatner AOC level.
[00:12:58.746 --> 00:13:07.131]  They're not read into all the plans or how they've cooked up the viruses and how they've already prepared them and how COVID is just a beta test for the real lockdown when they're exterminating all of us.
[00:13:07.512 --> 00:13:11.454]  They've not been brought into the Peter Daszak, Anthony Fauci level of it.
[00:13:12.835 --> 00:13:17.438]  They've not been brought into the David Rockefeller, Bill Gates, Zbigniew Brzezinski level.
[00:13:18.679 --> 00:13:21.261]  And the great culling is now beginning.
[00:13:21.481 --> 00:13:24.423]  But first they have to train us with a virus that's not that deadly.
[00:13:25.336 --> 00:13:44.422]  Go under their control, to let them block treatments that are 100%, to let them lock up old people where you can't see them while they quietly kill them, while they test the medical tyranny of the medical system and the police and the military and call out the folks that won't follow the orders and get the army of authoritarians they need.
[00:13:44.762 --> 00:13:50.664]  They're building their human armies of oppression and dehumanization and depopulation right now.
[00:13:51.084 --> 00:13:53.865]  And of course, going to augment that with the robots and the drones.
[00:13:54.696 --> 00:14:01.163]  on the ground, air and sea that will follow whatever orders the establishment gives them.
[00:14:01.723 --> 00:14:06.789]  So we're going to be laying all of this out in this Emergency Saturday Transmission.
[00:14:07.389 --> 00:14:16.599]   I want to talk about some of the positive things happening in the Great Awakening because evil's making its move and it's planned it for a long time but it doesn't mean It's going to succeed.
[00:14:17.259 --> 00:14:32.107]  In fact, if we simply admit the horror we're facing and research how the globalists roll this out through successive approximation and incrementalism and get the 35,000 foot view outside the box, we will defeat them.
[00:14:32.668 --> 00:14:37.030]  But if we don't, I'm going to lay out what you're going to be living under very, very soon.
[00:14:37.190 --> 00:14:41.172]  And remember, I told you 20 plus years ago what you'd be living under by 2021.
[00:14:43.524 --> 00:14:45.345]  They told us what they would do by 2021.
[00:14:45.405 --> 00:14:46.825]  They would roll out Agenda 21.
[00:14:46.925 --> 00:14:47.985]  And then Agenda 2030?
[00:14:48.606 --> 00:14:51.847]  Well, that means a global depopulation of 90%.
[00:14:53.047 --> 00:14:55.308]  So the training wheels are coming off.
[00:14:55.808 --> 00:14:58.148]  We're going out of beta into operational.
[00:14:58.809 --> 00:15:06.311]  And so you can just wait and see if I'm right again this time, or you can go read what they're doing and what they're saying.
[00:15:06.331 --> 00:15:10.772]  So I'm going to hit some really serious news here this evening.
[00:15:10.852 --> 00:15:16.787]   But first I want to talk about Some positive things and some great solutions.
[00:15:17.167 --> 00:15:20.971]  And the fact that there is, there is hope in the Animated Contest of Liberty.
[00:15:21.452 --> 00:15:22.473]  And then I'm going to hit this.
[00:15:22.973 --> 00:15:24.475]  Look at this headline from Zero Hedge.
[00:15:25.899 --> 00:15:33.504]  And it directly links to a Pentagon paper that is official US government policy and also official NATO policy.
[00:15:33.544 --> 00:15:37.667]  This has been adopted as a sixth sphere of warfare.
[00:15:38.667 --> 00:15:40.789]  Hacking your brain is what they call it.
[00:15:41.489 --> 00:15:43.150]  And they call it full spectrum dominance.
[00:15:43.170 --> 00:15:49.114]  They also call it propaganda and mind control on a mass scale.
[00:15:50.055 --> 00:15:51.156]  Cognitive warfare.
[00:15:53.120 --> 00:15:54.281]  A battle for the brain.
[00:15:54.321 --> 00:15:56.382]  This is an actual government document.
[00:15:58.023 --> 00:16:01.245]  In fact, I didn't print the document, but go ahead and just print it for me, guys.
[00:16:01.305 --> 00:16:03.026]  A 2020 NATO-sponsored study.
[00:16:03.627 --> 00:16:07.569]  Let's just read this, a part of this on air, because here's the thing.
[00:16:08.350 --> 00:16:12.973]  This is all being externalized now because this is 25, 30 years old.
[00:16:13.013 --> 00:16:19.317]  This has been implemented a long time ago under George Herbert Walker Bush and then the Clintons.
[00:16:21.519 --> 00:16:24.363]  And now it's fully operational right now.
[00:16:24.403 --> 00:16:25.204]  They're out of beta.
[00:16:25.784 --> 00:16:27.947]  The brain will be the battlefield of the 21st century.
[00:16:28.808 --> 00:16:30.029]  Talk about war on for your mind.
[00:16:30.049 --> 00:16:37.759]  So I'm going to be getting to that coming up and I'm going to show you just one level of the brainwashing.
[00:16:39.221 --> 00:16:40.002]  One level of this.
[00:16:41.203 --> 00:16:48.805]  Now the only way to defeat it is to have a connection to God and a connection to common sense and common law and reject everything they say and everything they do.
[00:16:48.825 --> 00:16:52.325]  Understand they lay layer upon layer of lies and deception on it.
[00:16:52.345 --> 00:16:57.266]  You have to realize the people carrying this out, no wonder they commit suicide, no wonder they're so unhappy.
[00:16:57.586 --> 00:17:05.168]  Because they're hurting humanity and they're following evil orders via peer pressure or for money or whatever the case is because they're blackmailed.
[00:17:05.608 --> 00:17:10.769]  And when they realize the horrible things they've done and that bad energy comes back on them, they kill themselves.
[00:17:11.718 --> 00:17:16.961]  This is not the average green beret who runs everything, you know, information.
[00:17:17.001 --> 00:17:27.347]  This is the behavioral psychologist and psychiatrist that actually run the military and run the Pentagon and hate masculine men and hate feminine women and hate all Americans.
[00:17:28.147 --> 00:17:29.448]  They are the globalist beachhead.
[00:17:29.488 --> 00:17:30.668]  They are the corporate board.
[00:17:30.688 --> 00:17:37.470]  They are the leadership of the Pentagon led by horrible demons like Austin, Millie and others.
[00:17:37.490 --> 00:17:41.791]  So we're gonna be looking at that and then just show you a few facets of that.
[00:17:42.532 --> 00:17:44.232]  Let me show you one of the facets right now.
[00:17:44.732 --> 00:17:45.973]  You see this big article.
[00:17:46.053 --> 00:17:46.813]  It's very accurate.
[00:17:46.833 --> 00:17:47.673]  It's all in the document.
[00:17:47.693 --> 00:17:53.495]  I read the document when I was flying back today from Florida from a family vacation.
[00:17:54.130 --> 00:17:56.151]  And I'd already seen the similar documents over and over again.
[00:17:56.171 --> 00:17:58.633]  I mean, it's the same battle plan over and over again.
[00:17:58.733 --> 00:18:13.902]  And now they're just legitimizing it because now they want you to just see the PSYOP officers as superstars and that the military engaging you psychologically, but also physically and medically is a good thing.
[00:18:14.122 --> 00:18:15.143]  But I want to show you it's global.
[00:18:15.763 --> 00:18:20.386]  So here, you read this article out of NATO, read the article out of the Pentagon.
[00:18:20.406 --> 00:18:21.406]  They're both linked in here.
[00:18:21.627 --> 00:18:23.588]  And it's all the exact same plan, all unified.
[00:18:25.031 --> 00:18:26.972]  And then you get to see the action of it.
[00:18:27.052 --> 00:18:36.118]  Walmart goes woke, pushing CRT training on white cashiers and self-stalkers that they are the privileged members of white supremacy, making $12 an hour.
[00:18:36.758 --> 00:18:37.819]  So whites are inherently bad.
[00:18:37.839 --> 00:18:38.779]  That's part of the divide and conquer.
[00:18:39.059 --> 00:18:40.140]  And here's some background on it.
[00:18:40.500 --> 00:18:43.802]  The NDAA legalizes the use of propaganda on the public.
[00:18:45.003 --> 00:18:48.105]  And then as soon as it was law, they then wrote an article saying it wasn't true.
[00:18:48.485 --> 00:18:49.246]  That's the PSYOP.
[00:18:49.366 --> 00:18:52.928]  Admit it, throw it in your face, and then deny it's happening as they do it to you.
[00:18:53.885 --> 00:18:55.727]  Mother Jones, is Congress really authorizing U.S.
[00:18:55.747 --> 00:18:56.468]  propaganda at home?
[00:18:56.869 --> 00:18:58.010]  The left said it's brainwashing.
[00:18:58.090 --> 00:18:58.350]  It is.
[00:18:58.390 --> 00:19:00.293]  They call it brainwashing, but now the left's in control.
[00:19:00.513 --> 00:19:00.913]  They love it.
[00:19:02.495 --> 00:19:03.837]  That was the H.R.
[00:19:03.857 --> 00:19:08.483]  5736 Smith-Mundt Act, Modernization Act, that goes back 10 years, roughly.
[00:19:08.503 --> 00:19:09.504]  And I'll get to all that for you.
[00:19:10.629 --> 00:19:14.552]  Oh, but here's stuff out of the UK and articles out of Canada.
[00:19:14.572 --> 00:19:15.633]  It's all the same headline.
[00:19:15.973 --> 00:19:19.075]  British military secretly engaged in brainwashing.
[00:19:19.135 --> 00:19:20.837]  Canadian military engages in brainwashing.
[00:19:21.137 --> 00:19:28.142]  Here's the head of the military saying that it shouldn't be done, but it was overridden by Trudeau, who says he wants to be a dictator.
[00:19:28.502 --> 00:19:33.346]  Military campaign to influence public opinion continued after defense chief shut it down.
[00:19:34.721 --> 00:19:36.382]  It's like the tens of thousands of Chinese troops.
[00:19:37.063 --> 00:19:39.485]  The defense chief shut it down, but he was overridden.
[00:19:39.525 --> 00:19:43.588]  Just like when the two CDC top scientists quit and said, don't give kids this shot.
[00:19:43.888 --> 00:19:44.609]  It's not a vaccine.
[00:19:44.629 --> 00:19:45.230]  It's dangerous.
[00:19:45.530 --> 00:19:49.593]  They just had to step down and they found someone that would say it was good.
[00:19:50.614 --> 00:19:51.515]  Oh, but don't worry.
[00:19:53.216 --> 00:19:54.817]  Here they are now a few years later.
[00:19:55.178 --> 00:20:01.503]  Military leaders saw pandemic as unique opportunity to test propaganda techniques on Canadians.
[00:20:02.349 --> 00:20:07.119]  Forrest's report says, and they gave a press conference, how they scared you for your own good.
[00:20:07.139 --> 00:20:10.265]  And again, just type into a search engine...
[00:20:11.599 --> 00:20:16.643]  UK military targeted public with fear and propaganda and brainwashing.
[00:20:17.324 --> 00:20:23.369]  Oh, but then after they announce it, they then have the Canadian and US media say, oh, you're a kook if you don't like it.
[00:20:23.670 --> 00:20:25.851]  It exists, but don't criticize it.
[00:20:26.912 --> 00:20:28.113]  You're a conspiracy theorist.
[00:20:28.634 --> 00:20:29.795]  Here's one from Vice.
[00:20:30.415 --> 00:20:36.481]  Conspiracy theorists are salivating over a Canadian ministry PSYOP report.
[00:20:37.842 --> 00:20:39.203]  Oh, they're salivating over it.
[00:20:40.896 --> 00:20:48.699]  We're going to be looking at all of the types of authoritarian communists they're putting in all major positions of power after we hit some of the good news.
[00:20:48.759 --> 00:20:51.960]  But you don't have to listen to Vice or listen to me.
[00:20:52.060 --> 00:20:58.847]   You could go read The NATO and Pentagon and Canadian and all the reports, it's all the exact same stuff.
[00:20:59.548 --> 00:21:01.409]  Dividing you, making you feel alone.
[00:21:03.031 --> 00:21:06.735]  Dividing people according to sexual lines and skin pigment.
[00:21:07.115 --> 00:21:09.057]  All really nasty, evil stuff.
[00:21:09.517 --> 00:21:11.660]  And it's all in the WikiLeaks from six years ago.
[00:21:11.680 --> 00:21:14.002]  A couple of years before the last election in 2014.
[00:21:16.650 --> 00:21:24.575]  And it's the major psychology department heads talking to Hillary in emails saying, we've said culture war is needed, we need to turn it up at every level.
[00:21:25.156 --> 00:21:26.617]  It's our only hope to maintain control.
[00:21:26.857 --> 00:21:27.677]  And that's what this is.
[00:21:27.717 --> 00:21:35.622]  Have us all fight with each other and just hit us with the most poisonous propaganda about how we're all bad, except Apple that owns the slave factories with suicide nets around them.
[00:21:35.823 --> 00:21:38.985]  They're good because they love Black Lives Matter and have black spokespersons.
[00:21:39.741 --> 00:21:41.482]  Doesn't matter if they're running slave colonies around the world.
[00:21:41.802 --> 00:21:43.683]  As long as they've got a black spokesperson, it's okay.
[00:21:44.043 --> 00:21:45.584]  You know, Xi Jinping can have death camps too.
[00:21:45.644 --> 00:21:50.846]  I mean, he's Asian, so he can do no wrong because the bad people are the white people.
[00:21:50.866 --> 00:21:56.048]  This is pure nightmare authoritarianism, and it's not just run by the PSYOP people at the Pentagon.
[00:21:57.129 --> 00:21:59.190]  They're just legitimizing it through that.
[00:21:59.290 --> 00:22:00.390]  I mean, this is just insane.
[00:22:00.450 --> 00:22:06.993]  So we've got all of that information for you, and we're going to be looking at it here on air.
[00:22:08.459 --> 00:22:08.779]  Here it is.
[00:22:08.859 --> 00:22:09.600]  State of fear.
[00:22:09.660 --> 00:22:13.543]  How ministers use covert tactics to keep scared public at home.
[00:22:13.983 --> 00:22:14.684]  London Telegraph.
[00:22:14.724 --> 00:22:22.350]  But it was for their own good in Australia, in the UK, and in other nations.
[00:22:22.390 --> 00:22:23.471]  See, it's all did it.
[00:22:23.991 --> 00:22:25.252]  All the militaries worked.
[00:22:25.673 --> 00:22:27.074]  Oh, but this is positive.
[00:22:27.114 --> 00:22:28.114]  So they admit it to you there.
[00:22:28.174 --> 00:22:32.758]  Oh, it's good for you to have the Pentagon spy on you and watch you and control you and lie to you and use fear.
[00:22:34.329 --> 00:22:36.250]  Oh, but other people like Alex Jones are bad.
[00:22:36.530 --> 00:22:38.691]  When he says it exists, it doesn't exist.
[00:22:38.711 --> 00:22:44.373]  Kind of like when you go to Klaus Schwab's own website, the Davos Forum, and he says, I want world government.
[00:22:44.393 --> 00:22:45.754]  I don't want the public to have any power.
[00:22:46.094 --> 00:22:47.335]  I want to depopulate the earth.
[00:22:47.375 --> 00:22:48.535]  I want to capture governments.
[00:22:48.755 --> 00:22:50.056]  We have captured your governments.
[00:22:50.116 --> 00:22:51.136]  We are now in control.
[00:22:51.777 --> 00:22:52.557]  Like the Borg.
[00:22:53.657 --> 00:22:56.319]  You can go to his Wikipedia and it says that with a link to him saying it.
[00:22:56.659 --> 00:22:57.899]  I've captured your country.
[00:22:58.940 --> 00:22:59.920]  A corporate takeover.
[00:23:00.020 --> 00:23:00.601]  I run you.
[00:23:00.681 --> 00:23:01.541]  I've captured you.
[00:23:01.581 --> 00:23:03.742]  Like, hey, I run your country.
[00:23:04.824 --> 00:23:10.567]  Hey, what you want doesn't count anymore, and you're going to own nothing, you're going to have nothing, and you're going to like it.
[00:23:10.867 --> 00:23:12.608]  These are all real statements.
[00:23:14.309 --> 00:23:20.693]  Oh, but you see, they have all the corporate media gaslighting like it's normal, and it's fun, and it's no big deal.
[00:23:20.913 --> 00:23:22.174]  So let's all just accept it.
[00:23:24.195 --> 00:23:25.776]  And here's the short version of the report.
[00:23:25.816 --> 00:23:29.958]  You can read several different larger, expanded versions linked in the article right here.
[00:23:29.978 --> 00:23:30.879]  Here, let's show people.
[00:23:31.479 --> 00:23:32.760]  Cognitive warfare.
[00:23:33.814 --> 00:23:35.836]  They call it information warfare.
[00:23:38.077 --> 00:23:44.822]  It's been going on a long time, but they had to legalize, because the military wouldn't do it, lying to you.
[00:23:44.883 --> 00:23:48.946]  And that's what was legalized in the Smith-Mund Act.
[00:23:51.087 --> 00:23:52.649]  The story's up on InfoWars.com.
[00:23:52.689 --> 00:23:54.870]  You have to scroll down a bit, because it was posted Friday.
[00:23:54.890 --> 00:23:57.272]  Or you can just simply search it out and find it for yourself.
[00:23:57.292 --> 00:24:00.775]  And that brings me to another point of frustration, and I'm going to hit some of the positive news.
[00:24:02.398 --> 00:24:16.786]  There was an Adan Salazar article several days ago where he linked to the British government's own VAERS reporting and the government confirming that you're twice as likely to get COVID if you've had the vaccine and more likely to be hospitalized or die.
[00:24:17.987 --> 00:24:20.669]  And then after I was live on air talking about it, I saw it posted to...
[00:24:22.073 --> 00:24:30.938]  Freeworldnews.tv and I saw obvious operatives, they weren't real listeners, that's clear, saying, this is bull, I don't see the document, this isn't real.
[00:24:31.338 --> 00:24:34.040]  When anybody can go to the article and click the link and find it for themselves.
[00:24:34.480 --> 00:24:41.404]  They just do that hoping people watching it go and read people saying it's not real so that you just stop watching.
[00:24:42.125 --> 00:24:43.125]  That's just another tactic.
[00:24:43.225 --> 00:24:48.989]  Oh, there's no world government, there's no Bilderberg Group, Klaus Schwab doesn't want to shut off the economy making you non-essential.
[00:24:50.589 --> 00:24:58.693]  Even though it's in my film, Endgame, from 14 years ago that the group he ran, the Bilderberg Group, was planning this exact same damn thing because they write white papers.
[00:24:59.934 --> 00:25:06.217]  Zbigniew Brzezinski, before he died a few years ago at the CFR in Canada, said, it's cheaper now just to kill the general public than to convince them.
[00:25:06.437 --> 00:25:07.737]  We're never going to convince the public.
[00:25:08.318 --> 00:25:09.698]  They're going against our New World Order.
[00:25:09.718 --> 00:25:11.039]  We need to go ahead and just kill everybody.
[00:25:11.059 --> 00:25:16.342]  I mean, these people mean business.
[00:25:17.282 --> 00:25:21.005]  And they're now implementing a worldwide engineered planetary collapse.
[00:25:21.045 --> 00:25:24.008]  Let's just go back to what William Shatner just said.
