[00:00:00.329 --> 00:00:01.449]  So there's today's headline.
[00:06:31.322 --> 00:06:33.083]  It was in all their white papers and battle plans.
[00:06:33.984 --> 00:06:36.606]  And now we are almost two years into their big assault.
[00:06:36.766 --> 00:06:41.646]   The beginning of the worldwide Technocracy takeover and the forced depopulation.
[00:06:41.726 --> 00:06:47.469]  So submitting to this means your very slow painful death and humiliation before you're killed.
[00:06:47.969 --> 00:06:50.951]  Resisting means a human future worth livable.
[00:06:51.871 --> 00:06:55.653]  We are facing absolute pure evil turned loose writ large.
[00:06:56.713 --> 00:06:59.955]  Conscious evil, not the road to hell's paved with good intentions.
[00:07:00.515 --> 00:07:03.997]  That's the general public going along with the tyranny because they believe the cover stories.
[00:07:05.595 --> 00:07:10.296]  Now, I had a big headline yesterday for the full show saying this is the biggest news of the 21st century.
[00:07:11.376 --> 00:07:16.597]  And I explained there, and I was very clear about it, why I said that, and I really meant that.
[00:07:16.637 --> 00:07:17.437]  That was not hype.
[00:07:17.457 --> 00:07:34.580]  I had a lot of people in the halls ask me, I had family call and ask me, I had lawyers call me, I had politicians call me, and they said, do you really think this is the biggest story in world history that Fauci lied to Congress and cooked up gain-of-function chimera in the documents that matches COVID-19?
[00:07:36.130 --> 00:07:39.431]  And then sought the Pentagon's permission to release it on China.
[00:07:41.071 --> 00:08:11.008]   Well, that's the epicenter, but the nuclear war or biological war that would have started, which it has started a biological war, the ramifications of the lockdown of civilization, the ramifications of forced inoculations, and the end of a free society, and the ramifications of the corporate media and the general public and our Congress and our governors, Not saying a damn word about it when the smoking gun of smoking guns comes out.
[00:08:13.850 --> 00:08:25.357]  The ramifications of what that means about civilization and what the globalists have gotten away with, are getting away with, and are planning to get away with, is just devastating.
[00:08:26.137 --> 00:08:26.938]  I'm ready to die.
[00:08:26.958 --> 00:08:29.720]  I don't want to die.
[00:08:29.740 --> 00:08:31.641]  I don't want to watch my family die.
[00:08:32.041 --> 00:08:33.082]  But I know that's coming.
[00:08:34.158 --> 00:08:34.738]  That's their plan.
[00:08:34.778 --> 00:08:35.559]  They've said that's their plan.
[00:08:35.799 --> 00:08:38.841]  And I'm sitting here, white-knuckled, going, listen to me, public.
[00:08:39.101 --> 00:08:40.082]  This is a real plan.
[00:08:40.122 --> 00:08:40.762]  Here's the evidence.
[00:08:40.782 --> 00:08:41.883]  You need to be aware of this.
[00:08:42.243 --> 00:08:43.824]  I told you this was coming to this point.
[00:08:44.224 --> 00:08:45.445]  It happened just like I told you.
[00:08:45.565 --> 00:08:46.526]  The rest is coming.
[00:08:47.637 --> 00:08:53.038]  You can take your shots, you can kiss their ass, you can take your five-year-old to have his balls chopped off to worship the left.
[00:08:53.739 --> 00:08:57.119]  The left's just one facsimile of the New World Order's depopulation program.
[00:08:57.499 --> 00:09:04.501]  At the top, it has an agenda of total exterminism, and it gets you to go along with exterminating this group, or exploiting that group.
[00:09:04.801 --> 00:09:07.362]  Hoping they won't get around to you, they will.
[00:09:11.223 --> 00:09:16.346]  So there's today's headline, Thursday Emergency Broadcast, and it's an emergency broadcast, every day is now.
[00:09:16.866 --> 00:09:21.289]  Fauci created thousands of other deadly viruses, Pentagon confirms.
[00:09:21.689 --> 00:09:22.249]  That's in there.
[00:09:22.270 --> 00:09:25.571]  So let me walk through this for you, then I'm gonna hit all the other news today.
[00:09:26.492 --> 00:09:36.218]  We got a bunch of big guests coming on on other subjects, like a big Breitbart Texas head editor, Brandon Darby, who was certainly right about Antifa on the left.
[00:09:37.284 --> 00:09:38.605]  Fifteen years ago, and I wasn't.
[00:09:38.985 --> 00:09:39.766]  He's taught us a lot.
[00:09:39.806 --> 00:09:43.708]  He's going to be joining us for what he's seeing on the border, and what's happening there coming up in the next hour.
[00:09:44.588 --> 00:09:48.891]  But let's just look at how my brain works, so that people can get how I know all this stuff.
[00:09:48.931 --> 00:09:51.272]  Everybody asks me, well, how do you know what's coming next?
[00:09:51.893 --> 00:09:53.834]  Because I study all the players, okay?
[00:09:55.155 --> 00:09:58.537]  And you know up front, I said I thought the Chi-Coms were involved with the globalists.
[00:10:00.029 --> 00:10:11.577]  Because they were involved at Wuhan, they stood to gain, and the globalists said they were with China, and said China did a great job, and that they should open up, but we should remain closed, because that helps globalist interest shut down their main enemy, the West.
[00:10:12.017 --> 00:10:15.459]  But they also want to control China, and China's now broken their deals with them.
[00:10:16.468 --> 00:10:28.594]  But now as we look closer at the propaganda that came out yesterday to respond to what I was saying on air, you begin to see that it was the globalists trying to play China and the United States off against each other, in my view.
[00:10:28.954 --> 00:10:31.175]  It's a fact Fauci created the weapon with Bill Gates.
[00:10:31.475 --> 00:10:32.776]  It's a fact they released it.
[00:10:33.396 --> 00:10:36.557]  It's a fact it's the exact same virus they described that is COVID-19.
[00:10:36.937 --> 00:10:38.598]  It's a fact they're releasing new variants.
[00:10:38.658 --> 00:10:39.819]  We know all that, I'll go over it.
[00:10:40.619 --> 00:10:44.161]  It's a fact they've released protein crystal simulants that do the same thing.
[00:10:44.977 --> 00:10:50.703]  But don't, don't, don't, don't continue to infect others after three or four levels.
[00:10:51.503 --> 00:10:52.184]  It's very important.
[00:10:52.204 --> 00:10:55.447]  It's a neutron bomb of biological weapons.
[00:10:57.789 --> 00:11:06.860]   But this, this information coming out, is incontrovertible. Now I'm going to move you to
[00:11:06.860 --> 00:11:11.671]   speculation areas with all the pieces what this points to and we'll open the phones up tomorrow and stuff
[00:11:11.671 --> 00:11:15.681]   we can have a discussion about this because I want to get your take on it because everything
[00:11:15.681 --> 00:11:20.191]   else I've said is documented in this hiding in plain view. The question is obviously it was
[00:11:20.191 --> 00:11:25.530]   released on purpose we now know that but who stood to gain and who was really behind it? We
[00:11:25.530 --> 00:11:30.640]   understand the same globalists that put Mao Zedong in power, the same globalists that made one-sided
[00:11:30.640 --> 00:11:35.540]   trade deals to empower their state and then to transfer all the less money not to the shy comms
[00:11:35.540 --> 00:11:39.721]   part of it was transferred but more than a third of it to themselves the middleman
[00:11:39.721 --> 00:11:43.019]  Trump talked about.
[00:11:43.234 --> 00:11:54.089]   And so, looking at this, as soon as we come out here today, and as soon as the news breaks, And it was in major British papers and some U.S.
[00:11:54.129 --> 00:12:13.984]  papers, but didn't get one one millionth the attention it should have, that Fauci cooked up these thousands of viruses, including COVID-19, and sought the Pentagon's approval to release it in China open air, and that they had nanotech simulant systems that burrow through the skin as microscopic glass crystals, and then deliver the virus into the body.
[00:12:14.605 --> 00:12:17.667]  All of that now confirmed, which we speculated on.
[00:12:19.889 --> 00:12:21.230]  Well, now look at this headline.
[00:12:21.330 --> 00:12:24.891]  Chinese whistleblower claims COVID outbreak intentional.
[00:12:26.172 --> 00:12:29.013]  Happened in October 2019 at Military World Games.
[00:12:29.994 --> 00:12:34.796]  Well, we've been hearing that since last February.
[00:12:35.676 --> 00:12:38.598]  And we've been hearing that from Senator Cotton and others.
[00:12:41.039 --> 00:12:43.860]  And I don't doubt that Communist Chinese wouldn't release a weapon.
[00:12:43.940 --> 00:12:49.952]   And I know the fact they were heavily invested in a joint operation With DARPA, with the U.S.
[00:12:50.012 --> 00:12:53.774]  military, with Fort Detrick, Maryland, with Chapel Hill, North Carolina.
[00:12:55.835 --> 00:13:00.398]  But we have the Pentagon and DARPA saying to Daszak and to Fauci, don't do these programs.
[00:13:01.898 --> 00:13:05.861]  We do have documents with the CHICOMS going ahead with these programs and Daszak and others.
[00:13:06.981 --> 00:13:17.467]  They were seeking permission from both of the superpowers while they did this because they represent the Bill Gates globalist faction that is now in control or partial control of the two factions.
[00:13:19.411 --> 00:13:22.453]  So it's multinational corporations trying to get rid of the nation-state.
[00:13:23.553 --> 00:13:27.556]  And in the U.S., the nation-state has not stood up to big tech and the globalists and has been taken over.
[00:13:27.976 --> 00:13:33.339]  I mean, Senator Rand Paul has a hearing with a medical doctor about natural immunities much better than the vaccine.
[00:13:33.439 --> 00:13:35.740]  And YouTube says, that is not what the U.N.
[00:13:35.780 --> 00:13:36.020]  said.
[00:13:36.581 --> 00:13:38.582]  Your Senate hearing is banned.
[00:13:39.571 --> 00:13:41.032]  We are under the globalist control.
[00:13:41.573 --> 00:14:02.649]  Xi Jinping is in charge of his country to a great extent, and he's a dictator, and I'm bloodthirsty, but he says, hey, I'm in charge, and has been arresting globalist front people and kicking out foreign operatives that don't totally roll over and turn their companies like Apple has over to them.
[00:14:04.864 --> 00:14:06.745]  China has motives to release the weapon.
[00:14:07.386 --> 00:14:11.108]  Through Fauci, who's a China-phile on the surface, so is Bill Gates.
[00:14:12.249 --> 00:14:20.915]  But, now as you began to see the proof that it was lab-made come out, you noticed our media suddenly said, okay, it was the Chinese that did it.
[00:14:21.876 --> 00:14:23.397]  And maybe they released it on purpose.
[00:14:24.673 --> 00:14:26.314]  And that's the globalists through the U.S.
[00:14:26.334 --> 00:14:33.178]  that they control more than China saying, hey, if you're about to say that we released it, that is the globalists, we'll just say you released it.
[00:14:33.838 --> 00:14:38.721]  So when I weigh all this and look up this and the motives and all of it, and knowing the globalists are the most powerful group.
[00:14:40.404 --> 00:14:45.448]  That tells me that they are the ones that got China involved, got China to agree to this stuff.
[00:14:45.488 --> 00:14:46.629]  The Pentagon said no.
[00:14:47.329 --> 00:14:48.210]  DARPA said no.
[00:14:48.610 --> 00:14:53.574]  And then when it was time to embarrass Trump, you saw Fauci come out and say, don't worry, he'll be challenged by a big pandemic.
[00:14:53.874 --> 00:14:54.714]  Then they release it.
[00:14:54.975 --> 00:14:55.655]  They blame Trump.
[00:14:55.675 --> 00:14:56.396]  They blame America.
[00:14:56.436 --> 00:14:57.477]  They say China's good.
[00:14:57.817 --> 00:15:05.663]  But they also had that in their hip pocket to blackmail China that, hey, you worked with us on this, if they didn't go along with what the globalists wanted.
[00:15:06.423 --> 00:15:07.604]  So now you see how that works.
[00:15:07.824 --> 00:15:11.006]  And Xi Jinping's calling their bluff and saying, well, let's have a nuclear war.
[00:15:11.686 --> 00:15:13.648]  So that's the best analysis I can give you.
[00:15:13.668 --> 00:15:16.049]  That's what I've seen the information.
[00:15:16.069 --> 00:15:20.612]  But that is speculation with a massive amount of the pieces in place.
[00:15:21.032 --> 00:15:24.535]  But it could, when we get the other pieces, be something different than what we thought we were looking at.
[00:15:25.995 --> 00:15:28.897]  But overall, we know that they made it.
[00:15:28.977 --> 00:15:29.618]  It's artificial.
[00:15:29.918 --> 00:15:31.119]  The Chai Kams were involved.
[00:15:31.839 --> 00:15:32.159]  The U.S.
[00:15:32.179 --> 00:15:34.281]  government was involved, but got cold feet.
[00:15:35.575 --> 00:15:40.060]  Maybe because they already had it and some other element in the government actually released it and is now blackmailing the globalists in China.
[00:15:41.141 --> 00:15:42.122]  This is real thought here.
[00:15:42.162 --> 00:15:44.505]  This is the type of stuff going on in the back of my head that I don't even get into on air.
[00:15:45.006 --> 00:15:48.109]  When we come back, we'll give you the latest on all this and tell you what we do know.
[00:15:49.130 --> 00:15:51.333]  Tomorrow's News Today, I'm Alex Jones.
[00:15:51.393 --> 00:15:52.694]  This is the InfoWar.
[00:15:53.155 --> 00:15:54.376]  Tell everybody you know, tune in now.
[00:15:54.416 --> 00:15:55.457]  Be part of the victory.
[00:15:56.391 --> 00:16:00.013]  Ladies and gentlemen, we are back live broadcasting worldwide.
[00:16:00.133 --> 00:16:04.855]  I am your host Alex Jones on this live September 23rd, 2021 broadcast.
[00:16:04.895 --> 00:16:05.695]  Thank you for joining us.
[00:16:05.796 --> 00:16:09.937]  Okay, so let me just slow down and get to the biggest issue facing our world.
[00:16:10.558 --> 00:16:17.161]  The threat of COVID-19, whether you think it's completely fraudulent or completely real, and we know what it is now, it's a group of attacks.
[00:16:20.950 --> 00:16:41.256]  They are using it to take control of our society to create a corrupt, authoritarian, world government with a world social credit score that tracks and traces everywhere you go, that decides where you can go, what you can do, that decides who is essential, who isn't essential, and that will say, oh, as part of reparations, you pay nothing for milk, but a white person pays $5.
[00:16:41.396 --> 00:16:43.377]  And that's being proposed.
[00:16:44.810 --> 00:16:53.116]  And again, it's not about empowering black people, it's about getting it set in stone that discrimination is okay, so we accept the global social credit score.
[00:16:53.596 --> 00:17:02.062]  Bankrupting all the small businesses, saying they're not essential, so you get a universal basic income, so they can dictate where that universal income can be spent.
[00:17:02.882 --> 00:17:04.663]  This is beyond just currency controls.
[00:17:05.184 --> 00:17:08.226]  This is deciding where you can spend that currency.
[00:17:09.571 --> 00:17:10.952]  It's about total control.
[00:17:11.232 --> 00:17:13.074]  The root of all evil is the love of money.
[00:17:13.654 --> 00:17:14.815]  Well, this is beyond the love of money.
[00:17:14.835 --> 00:17:16.376]  This is the control of money.
[00:17:17.897 --> 00:17:18.618]  This is next level.
[00:17:18.638 --> 00:17:20.239]  This is a hellish system.
[00:17:22.040 --> 00:17:22.921]  So, continuing.
[00:17:25.342 --> 00:17:37.211]  We know Fauci, funded by Gates, through Peter Daszak, on record, created hundreds of Chimera COVID viruses, thousands of total deadly viruses, over the last 15 years.
[00:17:39.355 --> 00:17:43.136]  In the U.S., but when that got banned because of lots of pressure, they moved to China.
[00:17:43.617 --> 00:17:46.037]  Not just Wuhan, but more than 10 labs around the country.
[00:17:48.118 --> 00:17:55.121]  We now know from the documents that came out that they don't deny that DARPA and the Defense Department declassified when it was requested.
[00:17:55.481 --> 00:17:56.561]  Normally, they would not release that.
[00:17:56.601 --> 00:17:57.281]  They wanted it out.
[00:17:57.822 --> 00:17:59.942]  But they told Fauci, no, this will kill people.
[00:18:00.603 --> 00:18:01.423]  Basically, you're crazy.
[00:18:02.469 --> 00:18:03.991]  They said we're shocked by this proposal.
[00:18:04.052 --> 00:18:04.833]  I showed it to you yesterday.
[00:18:05.173 --> 00:18:06.375]  They said this will infect humans.
[00:18:06.395 --> 00:18:06.996]  What are you doing?
[00:18:07.016 --> 00:18:11.443]  You're going to put airborne super virus in the air?
[00:18:11.463 --> 00:18:14.228]  And then put it into animals that then...
[00:18:15.151 --> 00:18:20.154]  Fly around human populations, because we know that we get cold viruses from squirrels, from dogs, from everything.
[00:18:20.755 --> 00:18:21.355]  We share them.
[00:18:21.695 --> 00:18:25.358]  That's why you can't have a vaccine for them, because there's always new pools for their development.
[00:18:25.898 --> 00:18:28.139]  You can for smallpox, but it's only in humans.
[00:18:28.760 --> 00:18:31.041]  There's no pools once everybody's inoculated.
[00:18:31.081 --> 00:18:34.383]  So that's what the science, you know, trust the science shows.
[00:18:34.403 --> 00:18:37.465]  When they say, we're not going to show you any facts, just trust the science, you know, it's the opposite.
[00:18:37.505 --> 00:18:40.367]  So we know Fauci did it.
[00:18:40.447 --> 00:18:44.430]  Here's the 64 gazillion prize number.
[00:18:46.187 --> 00:18:47.748]  The $64 trillion question.
[00:18:49.449 --> 00:18:51.110]  Who does Fauci work for?
[00:18:51.511 --> 00:18:52.431]  Who has the power?
[00:18:52.511 --> 00:18:53.972]  Who stands to gain the most?
[00:18:54.953 --> 00:18:56.114]  Who controls the media?
[00:18:57.295 --> 00:18:58.375]  Who controls the currency?
[00:18:58.415 --> 00:18:59.496]  Who controls the countries?
[00:19:00.317 --> 00:19:02.078]  Who shut up the UN?
[00:19:02.318 --> 00:19:03.579]  Who shut up Communist China?
[00:19:04.309 --> 00:19:09.610]  The Rockefellers, who are the front of the Robert Barron families, who created Operation Lockstep that plans all this.
[00:19:10.311 --> 00:19:11.831]  So I'm not defending Xi Jinping.
[00:19:11.851 --> 00:19:14.212]  I think the Communist Party should be removed, overthrown.
[00:19:14.232 --> 00:19:21.534]  I'd love to see free market, Christian capitalism, Chinese were highly Christian before they got overthrown, Buddhist, whatever.
[00:19:22.074 --> 00:19:22.934]  I'd like to see them be free.
[00:19:25.376 --> 00:19:26.076]  It'd be great.
[00:19:26.096 --> 00:19:26.937]  It'd be great for humanity.
[00:19:26.957 --> 00:19:28.418]  We'd probably beat the globalists if we could do that.
[00:19:28.498 --> 00:19:30.058]  But the globalists were smart.
[00:19:30.118 --> 00:19:48.547]  They went in there, took over, did their anthropology analysis, and set them up as the new communist slash Chinese civilization, which they would then slant all the business deals and all of the trade deals to where all development would go there, and the globalists would control that development so they could then control the whole planet.
[00:19:48.907 --> 00:19:53.750]  But China, again, at the last minute, just like tyrants always do, are fighting with the other wing.
[00:19:56.254 --> 00:19:57.115]  So that's where we are.
[00:19:58.135 --> 00:20:02.779]  And so now they're bringing it out that not only did it happen at the Wuhan lab, but China's behind it.
[00:20:04.360 --> 00:20:14.747]  Right as the evidence comes out that it wasn't China, that it was the globalists who are attacking America and China and the whole world's freedom with it and propping up authoritarianism by releasing it.
[00:20:16.529 --> 00:20:20.532]  We weren't sure until now, was it a joint globalist Chinese attack?
[00:20:21.476 --> 00:20:21.896]  Well, no.
[00:20:22.157 --> 00:20:29.362]  It helped the Chai-coms, but it also helped the globalists more, because now everything's shut down here, and they're the middlemen getting more money and power than the Chai-coms get.
[00:20:29.382 --> 00:20:30.763]  That's what Trump talked about.
[00:20:30.783 --> 00:20:32.264]  He saw the numbers.
[00:20:32.324 --> 00:20:36.708]  The globalists get about 45% of the wealth and power out of all Chinese transactions.
[00:20:37.668 --> 00:20:39.590]  The Chai-coms might get 20%, 25%.
[00:20:40.130 --> 00:20:45.814]  And then the rest goes to the other respective countries and their populations.
[00:20:46.835 --> 00:20:47.636]  So think about that.
[00:20:47.736 --> 00:20:52.686]   The globalists get almost half Of everything that goes out of China.
[00:20:55.168 --> 00:21:15.541]  And so, Xi Jinping wants to change that, and he says, now we're going to have three children, and we're going to arrest homosexuals, and you're not going to make us like Americans, you're not going to have sissy men, because he sees what they've done here, he's going to the other extreme, and the left was still praising, oh yes, arrest the gays, kill the Christians, kill the Buddhists, kill the... They're like, well now, you're not with us, well now, Xi Jinping's bad.
[00:21:16.082 --> 00:21:16.902]  Duke Xi Jinping!
[00:21:19.584 --> 00:21:20.165]  So here we are.
[00:21:21.189 --> 00:21:25.711]  The big question is, who controls Fauci?
[00:21:27.552 --> 00:21:29.112]  And it's all right here.
[00:21:29.152 --> 00:21:30.493]  Next segment is a long segment.
[00:21:30.553 --> 00:21:32.994]  I'm going to get into that there and I'm going to lay it all out.
[00:21:33.074 --> 00:21:34.755]  And this is the big enchilada.
[00:21:35.075 --> 00:21:35.815]  We have the history.
[00:21:35.855 --> 00:21:36.495]  We have who did it.
[00:21:36.535 --> 00:21:37.196]  We have the motive.
[00:21:37.216 --> 00:21:39.136]  We have all the proof they made COVID-19 and more.
[00:21:40.457 --> 00:21:41.718]  And they're releasing the new strains.
[00:21:41.798 --> 00:21:42.458]  We've got it all.
[00:21:43.607 --> 00:21:44.267]  It's all right here.
[00:21:44.547 --> 00:22:01.235]  They're trying to say, oh, there's a rumor, a Chinese defector says he heard a rumor that at this military drill that they first planted the story a year and a half ago on that the Chinese government was going to release a bioweapon there onto the Westerners.
[00:22:02.449 --> 00:22:03.129]  With no evidence.
[00:22:03.169 --> 00:22:14.817]  But then we have the documents, and the DARPA documents, and the admissions, and the Peter Daszak documents, and the Dick Cheney statements previously, and all of it, and Bill Gates and the rest of it, all right there.
[00:22:14.837 --> 00:22:15.797]  Yeah, the Cheneys are involved.
[00:22:17.418 --> 00:22:24.403]  That they were doing it, they were preparing it, so they could blame it on the Chinese, or the U.S., or whoever they wanted to.
[00:22:25.844 --> 00:22:28.986]  Hell, they probably got a plan to blame it on some right-winger or something.
[00:22:30.655 --> 00:22:34.477]  That way they can play it however they want and can move the goalpost.
[00:22:36.698 --> 00:22:40.279]  So, the absolute documentation and incredible proof coming up next segment.
[00:22:40.359 --> 00:22:43.421]  Separately, we're not going to be on air if you don't support us, and I'm not complaining.
[00:22:44.141 --> 00:22:45.081]  We're doing very important work.
[00:22:45.121 --> 00:22:46.062]  You're doing very important work.
