[00:00:00.229 --> 00:00:02.331]  It's Sunday, August 1st.
[00:07:15.882 --> 00:07:38.949]  That the so-called COVID-19 vaccinations, whether they be a virus vector from Johnson & Johnson or AstraZeneca, or whether they be an mRNA from Moderna or Pfizer, all of them make you get COVID and make you shed COVID and make you create deadly variants and doesn't work.
[00:07:40.229 --> 00:07:42.410]  It doesn't lessen how bad your sickness is.
[00:07:42.570 --> 00:07:43.330]  All of it was a lie.
[00:07:43.690 --> 00:07:49.531]  And it turns out they knew from hundreds of prestigious studies and government initiatives.
[00:07:50.931 --> 00:07:52.672]  The University of Texas wasn't studies.
[00:07:52.792 --> 00:08:05.754]  It was a four-year initiative of seven universities led by the University of Texas, where they gave all sorts of spike protein vaccines for coronaviruses to rats, ferrets, other animals.
[00:08:06.294 --> 00:08:07.495]  And some rats lived.
[00:08:07.635 --> 00:08:08.475]  None of the ferrets lived.
[00:08:13.080 --> 00:08:14.941]  And this is all a test to see what they can do to you.
[00:08:14.961 --> 00:08:20.065]  Just like they said six months ago, oh, it's a rare heart condition, a rare blood clot in the brain, a rare stroke.
[00:08:20.145 --> 00:08:21.827]  No, it's in the majority of people.
[00:08:22.727 --> 00:08:25.349]  Because it starts growing protein crystals.
[00:08:25.389 --> 00:08:33.956]  You don't have a virus, you get given protein crystals, that's what the spike protein is, and your body starts growing it.
[00:08:37.498 --> 00:08:40.841]  And in every case they've done this, it kills the lab animals, the vast majority.
[00:08:41.661 --> 00:08:48.102]  They knew what they did, like if you poured a gallon of gasoline on yourself, let it soak in and then struck a match, what's gonna happen?
[00:08:48.722 --> 00:08:49.703]  You're gonna burn to death.
[00:08:50.763 --> 00:08:56.044]  Or if you took a shotgun and put it in your mouth and pull the trigger, you're gonna blow your head off.
[00:08:57.864 --> 00:08:58.924]  See?
[00:08:59.444 --> 00:09:07.746]  And that's why I'm so shocked is, this is 100% known, like eating a teaspoon of cyanide with your iced tea, you're gonna be dead in two minutes.
[00:09:10.876 --> 00:09:14.238]  Or if I laid my hand out on this table, took a hatchet right to my fingers, it's going to cut them off.
[00:09:17.800 --> 00:09:19.801]  So I've got the actual CDC study here.
[00:09:19.821 --> 00:09:21.983]  I'm not going to just show you articles at Infowars.com.
[00:09:22.143 --> 00:09:23.504]  I'm going to show you the actual study.
[00:09:23.744 --> 00:09:24.464]  Overhead shot, please.
[00:09:25.505 --> 00:09:31.228]  CDC released a study showing three-fourths of Delta cases are among the vaccinated, says mask are the answer.
[00:09:31.348 --> 00:09:32.889]  More lies from the same people.
[00:09:33.710 --> 00:09:35.131]  It goes on to say 74% of the individuals
[00:09:38.666 --> 00:09:48.773]  That have tested positive, took the vaccine, and it goes on into all the different sloughing off of new, more deadly variants of the virus, which all these top scientists warn would be the case.
[00:09:50.734 --> 00:09:51.195]  Here's another one.
[00:09:51.215 --> 00:09:55.978]  CDC study admits 74% of COVID sufferers in Massachusetts outbreak were fully vaccinated.
[00:09:57.579 --> 00:09:59.540]  But let's look at some other countries, see what they found.
[00:09:59.700 --> 00:10:01.061]  Because I don't just believe the CDC.
[00:10:01.101 --> 00:10:01.461]  Look at this.
[00:10:03.083 --> 00:10:04.804]  Andrew Bosman, MDMS.
[00:10:04.964 --> 00:10:07.726]  A link through right to the government of Finland.
[00:10:08.695 --> 00:10:09.856]  And I got stacks of these.
[00:10:09.876 --> 00:10:13.779]  76% of the infections among the patients occurred with those fully or partially vaccinated.
[00:10:39.192 --> 00:10:39.912]  That's in 44 to 58.
[00:10:39.952 --> 00:10:41.933]  And it goes on.
[00:10:43.793 --> 00:10:44.954]  Here's another one out of Israel.
[00:10:44.974 --> 00:10:47.594]  This is with 6 million people participating.
[00:10:47.774 --> 00:10:50.455]  The biggest test in history of a coronavirus.
[00:10:50.815 --> 00:10:54.336]  And the vast majority, again over 70%, were inoculated.
[00:10:56.837 --> 00:10:57.357]  Think about that.
[00:10:59.616 --> 00:11:00.837]  Can I have an overhead shot, guys, please?
[00:11:00.897 --> 00:11:02.078]  Thanks.
[00:11:02.318 --> 00:11:07.103]  So just look at this here for yourself.
[00:11:07.203 --> 00:11:09.665]  Yeah, we got a frozen camera.
[00:11:10.206 --> 00:11:16.051]  Anyways, we'll post all these up on InfoWars.com and NewsWars.com.
[00:11:16.071 --> 00:11:16.892]  You can find any of this.
[00:11:16.932 --> 00:11:17.552]  It's all over the news.
[00:11:17.592 --> 00:11:19.074]  I mean, none of this is even debated.
[00:11:21.619 --> 00:11:23.561]  Oh, and then meanwhile, what else is going on?
[00:11:23.922 --> 00:11:29.989]  Miracle drug is life-saving against COVID and will stop sufferers needing hospitalization and treatment.
[00:11:31.390 --> 00:11:37.778]  And from all over the world, they're reporting that either pills of steroids, not the type that
[00:11:39.929 --> 00:11:49.617]  Get you big like Arnold Schwarzenegger, but the type that kill inflammation, corticotypic, either in pill form or inhaled, have basically 100% rate.
[00:11:49.917 --> 00:11:53.440]  And guess who the UN and others are working with to suppress that?
[00:11:53.500 --> 00:11:53.961]  Big tech.
[00:11:54.681 --> 00:11:57.704]  So again, talk about criminal activity, ladies and gentlemen.
[00:11:58.124 --> 00:12:00.867]  That's the way these systems operate.
[00:12:02.388 --> 00:12:04.630]  And it goes on and it continues from there.
[00:12:04.830 --> 00:12:06.231]  Here's the Washington Post headline.
[00:12:06.551 --> 00:12:07.732]  Most people infected
[00:12:08.743 --> 00:12:11.806]  In Providencetown, COVID outbreak, we're vaccinated, CDC study shows.
[00:12:12.026 --> 00:12:14.888]  There's your God, The Washington Post, telling you that.
[00:12:17.070 --> 00:12:17.731]  But it gets worse.
[00:12:19.352 --> 00:12:21.494]  We've been here this entire time.
[00:12:23.427 --> 00:12:35.434]  For a year and a half telling you these vaccines weren't vaccines, that they were frankenshots, they were GMO, that they wouldn't work, that they'd lower your immunity next time, that they would make you sick, and that Bill Gates is on record saying he wants to depopulate the Earth.
[00:12:36.095 --> 00:12:42.979]  And we had all these scientists on specifically warning you, and showed you clips of hundreds of prominent scientists and researchers coming out.
[00:12:43.419 --> 00:12:51.068]  Like the former head scientist at Pfizer, and the Nobel Prize winner for the discovery of HIV, and the head EU advisor Wolfgang Wudart.
[00:12:51.328 --> 00:12:53.571]  Those are just known names I've been telling you for a year and a half.
[00:12:55.046 --> 00:12:58.688]  And now they have the Dean of the Baylor Medical School coming out saying it.
[00:12:58.928 --> 00:12:59.948]  I have her on video.
[00:13:00.208 --> 00:13:00.869]  That's coming up.
[00:13:01.849 --> 00:13:17.696]  I have more than 30 clips of the heads of universities, the heads of major scientific institutions in the United States, in England, in Ireland, and I got plenty from Germany, it's just in German, and I got plenty from France, and all over the world saying the same thing.
[00:13:18.116 --> 00:13:24.379]  This is going to kill millions and millions and millions and millions of people, and it doesn't protect you, and they knew it.
[00:13:28.086 --> 00:13:29.787]  But it still just got pushed forward.
[00:13:29.827 --> 00:13:32.028]  People warned you and it still happened.
[00:13:32.068 --> 00:13:33.889]  So the question is, why did the Globalists do this?
[00:13:34.229 --> 00:13:35.369]  Knowing it was going to come out, they did it.
[00:13:37.650 --> 00:13:40.111]  We have to war game every angle of this during the break.
[00:13:40.131 --> 00:13:41.972]  We'll see if I can fix the overhead shot.
[00:13:43.773 --> 00:13:47.314]  So I can actually show you all this or I can work with the crew maybe to get it on the computer in there for you.
[00:13:48.115 --> 00:13:50.756]  But I want to show everybody this tonight.
[00:13:50.776 --> 00:13:51.716]  I want you to see this.
[00:13:51.756 --> 00:13:52.577]  I want you to understand this.
[00:13:52.837 --> 00:13:53.857]  And I want you to see the U.S.
[00:13:53.937 --> 00:13:55.218]  Patent Office documents.
[00:13:56.752 --> 00:14:09.137]  Where Fauci and Bill Gates and others from Chapel Hill, North Carolina at a bioweapons lab sent all the ingredients and how to make this virus that they would own and control to the Wuhan lab to develop it and put it together.
[00:14:11.218 --> 00:14:12.678]  So we've got all of this coming up tonight.
[00:14:12.698 --> 00:14:19.321]  And then the really big news, the British official government agency responding to bio threats
[00:14:21.243 --> 00:14:30.609]  Has come out, ladies and gentlemen, and said mutants from the vaccinated may create a super strain that they believe will kill 2.6 plus billion people.
[00:14:31.069 --> 00:14:35.131]  That's the headline, InfoWars.com, FreeWorldNews.tv.
[00:14:49.008 --> 00:14:51.148]  Waging war on corruption.
[00:14:51.168 --> 00:14:56.790]  It's Alex Jones, coming to you live from the front lines of the InfoWars.
[00:14:58.670 --> 00:15:02.591]  Alright, it's the worst of times, but it's also the best of times at the same time.
[00:15:03.031 --> 00:15:04.531]  Horrible things are happening.
[00:15:05.471 --> 00:15:07.212]  Incredible tyranny is taking place.
[00:15:07.372 --> 00:15:11.733]  Massive censorship of top scientists and top medical doctors.
[00:15:12.433 --> 00:15:17.114]  And victims of these poison vaccines are being carried out by big tech.
[00:15:18.203 --> 00:15:21.325]  Who themselves are heavily invested in big pharma and vice versa.
[00:15:21.825 --> 00:15:27.149]  Then you've got the controlled corporate media that's biggest sponsor is the big pharmaceutical companies.
[00:15:27.869 --> 00:15:39.757]  And then you ask yourself, why would they then roll out extremely tested vaccines on other animals and humans in other trials previously with coronaviruses targeting the spike protein?
[00:15:41.618 --> 00:15:45.101]  And why in all the studies did they say, don't give it to humans, it'll kill them?
[00:15:46.550 --> 00:16:09.392]  Because they've got to attack us sometime, they've got to depopulate us, and they've got to make us sick so it sucks everything out of the economy, so that as the economy collapses, they pose as the saviors, the big megabanks, who have endless currency, because they just make it out of nothing, so that when the society collapses, they give us universal basic income, and then they control the dwindling resources and completely win.
[00:16:10.560 --> 00:16:18.745]  That's in the book written early last year by Klaus Schwab who calls for depopulating the earth with David Rockefeller and of course his protege Bill Gates.
[00:16:19.365 --> 00:16:22.027]  This is the battle plan that is now being executed.
[00:16:23.647 --> 00:16:29.751]  This is like Caesar writing letters home when he was in Germania and Gaul for 15 years, conquering it.
[00:16:30.091 --> 00:16:31.892]  Letters back to the Senate about what he'd done.
[00:16:32.112 --> 00:16:32.733]  This is like one of
[00:16:33.581 --> 00:16:38.845]  The first letters Caesar sent back to the Senate to tell them how great he was.
[00:16:38.865 --> 00:16:45.909]  This is Klaus Schwab bragging how they're executing us in live time and bringing in world government and depopulating us and everything.
[00:16:45.929 --> 00:16:47.170]  That's a wartime letter.
[00:16:49.272 --> 00:16:59.739]  This is a battle plan funded by the Rockefeller Foundation in 1974, the culmination of a decade-long research process with the man who later became the White House
[00:17:01.750 --> 00:17:04.812]  Science czar for eight years under Barack Hussein Obama.
[00:17:05.513 --> 00:17:06.393]  Ecoscience.
[00:17:06.994 --> 00:17:11.077]  How to sterilize you, how to poison you, and how to use that to break down society.
[00:17:11.637 --> 00:17:15.700]  And how medical tyranny is the way to take over because people trust the medical system.
[00:17:15.980 --> 00:17:21.604]  So if world government, the UN, and big corporations poses the medical system, they could conquer the world.
[00:17:21.844 --> 00:17:22.625]  Ecoscience.
[00:17:22.985 --> 00:17:24.786]  Population, resources, environment.
[00:17:25.247 --> 00:17:26.548]  John P. Holdren.
[00:17:29.540 --> 00:17:33.644]  Another depopulationist, Paul Ehrlich and Annie Ehrlich, his wife.
[00:17:38.047 --> 00:17:38.808]  Might want to read it.
[00:17:39.228 --> 00:17:39.328]  Oh!
[00:17:41.210 --> 00:17:42.992]  There's another one you might want to read from two months ago.
[00:17:44.333 --> 00:17:50.258]  The new terrorism plan under our puppet president says anyone questioning lockdowns is a terrorist.
[00:17:50.578 --> 00:17:50.698]  Oh!
[00:17:51.399 --> 00:17:53.240]  And now he's saying new lockdowns may be needed.
[00:17:53.340 --> 00:17:54.782]  Funny how that works.
[00:17:57.993 --> 00:18:22.061]  And when you read Spar's pandemic 2025-2028, put out by John Hopkins with all the UN and Bill Gates funding, it's set in the year 2025-2028, that's supposed to be 2020-2023, and it describes everything they're doing in lifetime, just like Operation Lockstep, and even how they're going to burn some public health officials and act like it's all a big accident that they killed billions of you.
[00:18:23.901 --> 00:18:25.682]  They've got it all planned out.
[00:18:31.567 --> 00:18:32.716]  And you're like, they're going to get destroyed!
[00:18:32.836 --> 00:18:33.421]  They don't care.
[00:18:33.602 --> 00:18:34.206]  They want to kill.
[00:18:37.964 --> 00:18:38.944]  They want to kill.
[00:18:39.945 --> 00:18:47.028]  So, our overhead shot every once in a while, maybe twice a year, one of these wireless cameras seizes up, it just did last segment, but they got it back up and running.
[00:18:47.228 --> 00:18:53.470]  Let me show you those articles if you're a TV viewer, radio listeners, you can find these easily, just write down what I say and you'll go find them.
[00:18:54.511 --> 00:19:00.193]  CDC releases study showing three-fourths of Delta cases are among the vaccinated.
[00:19:00.213 --> 00:19:02.354]  It says masks are the answer, even though it does nothing.
[00:19:03.746 --> 00:19:09.310]  And they go on to say that the majority of the people sick and the majority dying have had the shot.
[00:19:11.131 --> 00:19:12.092]  Isn't that a big news story?
[00:19:12.792 --> 00:19:14.573]  And that's out of just an area of Massachusetts.
[00:19:14.853 --> 00:19:19.657]  But I showed you out of Finland, the exact same numbers.
[00:19:19.717 --> 00:19:26.441]  In fact, this is 76% of the people 44 to 58 that were there.
[00:19:26.741 --> 00:19:29.183]  And it goes on to say all the deaths were vaccinated.
[00:19:33.218 --> 00:19:36.421]  In this state, it's two-thirds of the infections and deaths.
[00:19:36.441 --> 00:19:36.821]  67 occurred.
[00:19:37.001 --> 00:19:38.162]  There's one here where it's 100%.
[00:19:38.482 --> 00:19:39.743]  Let me just show you those numbers.
[00:19:40.063 --> 00:19:41.084]  Again, here's out of Israel.
[00:19:41.164 --> 00:19:51.632]  Six million people studied the biggest study ever on a coronavirus, and they found that the vast majority, again, same thing, had been inoculated, and the vast majority dying aren't.
[00:19:53.094 --> 00:19:55.415]  And they're suppressing all the different miracle drugs and the rest of it.
[00:19:55.435 --> 00:19:56.276]  Big articles on that.
[00:19:56.636 --> 00:20:01.220]  Can't have you suppress it with something like ivermectin or things like the steroid
[00:20:04.062 --> 00:20:08.743]  Now let's get to the really ultra-massive news.
[00:20:08.763 --> 00:20:08.843]  Oops!
[00:20:08.863 --> 00:20:10.904]  FDA accidentally reveals a list of COVID vaccine side effects, including
[00:20:30.563 --> 00:20:34.304]  Microcardiitis, nothing like a heart attack, autoimmune disease, and death.
[00:20:35.004 --> 00:20:36.705]  And this was from last year.
[00:20:37.245 --> 00:20:40.806]  Turns out a staffer didn't like what had happened, so they left the slide in.
[00:20:42.006 --> 00:20:50.488]  Which, by the way, they already admitted previously, it's why they wouldn't approve it, that these type of vaccines cause this.
[00:20:50.508 --> 00:20:57.690]  I'm going to show you top doctors around the world coming out, including now the dean of the Baylor Medical School.
[00:20:59.980 --> 00:21:01.520]  That's a pretty prestigious medical school.
[00:21:02.561 --> 00:21:10.903]  They worked, by the way, on the UT study, the UT initiative on rats given a vaccine for spike protein, where 87% of the rats died.
[00:21:12.603 --> 00:21:13.223]  That's coming up.
[00:21:13.283 --> 00:21:15.724]  I mean, do you realize that they know all about this?
[00:21:17.004 --> 00:21:18.725]  So a lot of this is cover the ass time.
[00:21:19.665 --> 00:21:26.646]  That's why, I mean, it's a who's who of elite scientists saying this is insane and basically everybody that's taking the shot is going to be an invalid.
[00:21:26.766 --> 00:21:28.667]  If they're lucky, a lot of you are going to be dead.
[00:21:29.833 --> 00:21:34.895]  So now they're getting ready to start giving you, for the rest of your life, I guess, blood thinners and other stuff?
[00:21:35.015 --> 00:21:36.915]  I mean, they have really hurt you bad.
[00:21:38.816 --> 00:21:40.537]  And you're like, that'll collapse society.
[00:21:40.557 --> 00:21:41.877]  That's what the globalists want.
[00:21:43.358 --> 00:21:44.578]  They don't care what happens to Joe Biden.
[00:21:44.598 --> 00:21:47.959]  They don't care what happens to... They want to bring down civilization.
[00:21:47.979 --> 00:21:49.220]  They want a post-industrial world.
[00:21:49.440 --> 00:21:49.980]  How do you do it?
[00:21:50.240 --> 00:21:52.421]  You kill billions of people and you make billions of people sick.
[00:21:52.601 --> 00:21:53.761]  And that'll collapse civilization.
[00:21:54.722 --> 00:21:56.822]  Everybody else will be scared to go into work or be around anybody?
[00:21:57.283 --> 00:21:58.183]  Or be around the vaccinated?
[00:21:59.312 --> 00:22:01.613]  This is a psychological weapon of fear.
[00:22:03.414 --> 00:22:05.156]  It's meant to destroy confidence in the government.
[00:22:05.596 --> 00:22:06.416]  You think the U.S.
[00:22:06.436 --> 00:22:08.417]  government will ever have credibility again when this all comes out?
[00:22:10.439 --> 00:22:13.721]  And it finally all clicked this morning, and it's why I actually got dizzy.
[00:22:14.502 --> 00:22:18.447]  You've heard, like, women will get told, hey, your husband was just found dead, and the woman will stagger back and fall over?
[00:22:18.767 --> 00:22:27.999]  I've been studying all day, and when this all crystallized in my mind, like a thousand points plus a thousand, I actually got dizzy, and I was stumbling around, and it all hit me.
[00:22:28.019 --> 00:22:29.621]  I had to sit down.
[00:22:32.668 --> 00:22:40.074]  That's why they did it during Trump and got him to sign on to it to discredit Trump and nationalism and patriotism and populism.
[00:22:40.094 --> 00:22:44.378]  And they knew that Trump would be so pig-headed, he'll keep defending it even as it starts killing everybody.
[00:22:45.639 --> 00:22:47.701]  So, man, they really know what they're doing.
[00:22:47.801 --> 00:22:49.563]  I mean, these are some sophisticated people.
[00:22:50.405 --> 00:22:50.785]  Wow.
[00:22:51.466 --> 00:23:02.594]  And again, if you're a new listener, it is completely confirmed, absolutely confirmed, even mainstream news, the vaccine doesn't help you, hurts you, and makes you spread all this other garbage.
[00:23:02.634 --> 00:23:04.576]  Just what all the scientists said over a year ago would happen.
[00:23:05.116 --> 00:23:08.298]  And it's just a giant trap, a giant bear trap.
[00:23:08.779 --> 00:23:09.599]  We're all caught in it.
[00:23:09.639 --> 00:23:10.780]  And I haven't even hit the new news.
[00:23:11.161 --> 00:23:13.803]  Sage, that's the big government agency in the UK?
[00:23:15.680 --> 00:23:20.103]  They say that the vaccinated could trigger a new super variant that kills 2.625 billion.
[00:23:20.163 --> 00:23:25.147]  Stay with us.
[00:23:27.829 --> 00:23:31.552]  Infowars.com is tomorrow's news.
[00:23:31.892 --> 00:23:36.096]  Today, you're listening to the Alex Jones Show.
[00:23:41.195 --> 00:23:44.917]  So, I've been politically awake and involved for over 30 years.
[00:23:44.937 --> 00:23:47.338]  I've been on air for 27, coming up on 28 years.
[00:23:47.358 --> 00:23:52.201]  And I knew the globalists wanted depopulation.
[00:23:52.221 --> 00:23:54.322]  I knew the Rockefellers set up the UN to carry it out.
[00:23:54.802 --> 00:24:00.565]  I'd read a lot of the books they'd written about different ways to sterilize us and different plans they had to launch depopulation.
[00:24:01.025 --> 00:24:08.269]  How they'd use the breakup of the family and the destruction of small businesses under UN environmental auspices.
[00:24:09.765 --> 00:24:16.747]  And I watched them eat around the edges of it, but I really hoped we could expose them and back them off so they wouldn't launch the main attack.
[00:24:18.767 --> 00:24:37.132]  But then when I saw what they rolled out in China, and the fear-mongering, and the Wuhan lab, and the lockdowns here, and the masks, and suppressing treatments for regular viral infections so they get some high death numbers, and sending sick people into nursing homes but not letting their families go in, I knew they were making their move.
[00:24:38.755 --> 00:24:53.663]  And then I'd already read Operation Lockstep and I'd already read Spar's pandemic drill by John Hopkins years ago because it was globalist battle drills on how they were going to bring in world government, how they admitted they were going to bring in worldwide authoritarianism.
[00:24:55.303 --> 00:24:57.945]  But when I saw all these top scientists
[00:25:00.714 --> 00:25:03.855]  Come out last year and say, we've looked at what they say the vaccine does.
[00:25:04.315 --> 00:25:05.735]  It'll cause autoimmune disease.
[00:25:05.795 --> 00:25:06.876]  It'll cause brain damage.
[00:25:07.436 --> 00:25:09.676]  It will cause all of these serious problems.
[00:25:10.437 --> 00:25:11.817]  Antibody dependent enhancement.
[00:25:13.617 --> 00:25:18.699]  And all these top people are like, I think it'll kill 30-40% of those that take it within about 2-3 years.
[00:25:18.719 --> 00:25:20.639]  According to these rat studies.
[00:25:21.840 --> 00:25:22.980]  Then I went and looked up the studies.
[00:25:23.040 --> 00:25:24.120]  I didn't believe these people.
[00:25:24.540 --> 00:25:26.441]  Even though they were respected and it was all true.
[00:25:27.924 --> 00:25:48.232]  Then we watch people take the shot, start having heart attacks and strokes and all the rest of it, and now they're having this whole antibody-dependent enhancement, and it's all over the news, and they're now in the Washington Post saying, people that have the shot are more likely to give people COVID now, and they're having autoimmune disorders, antibody dependence.
[00:25:49.853 --> 00:25:51.914]  Now you'd think, oh Jones, I bet he got happy.
[00:25:52.034 --> 00:25:52.854]  No, I didn't get happy.
[00:25:53.014 --> 00:25:54.595]  I am totally freaked out.
[00:25:57.813 --> 00:26:00.415]  Because it's one thing to know their plan, it's another thing to be living it.
[00:26:01.095 --> 00:26:03.176]  And to think about how psychotic they are.
[00:26:03.457 --> 00:26:17.765]  Because they even, like I said, they've got the heads of major medical schools, the dean of the Baylor Medical School, that's one of the, that's a top ten medical school, saying this is crazy and evil and wrong, she's just out today!
[00:26:19.827 --> 00:26:24.690]  And now the CDC says, three-fourths of the people spreading it have it, from the shot.
[00:26:25.580 --> 00:26:27.641]  And this big one that I want to get Chris Guy's take on.
[00:26:27.661 --> 00:26:30.383]  I want to get Chris Guy on for a full hour this week.
[00:26:30.483 --> 00:26:32.944]  We got until five minutes of the next hour.
[00:26:33.425 --> 00:26:35.406]  This is the British government agency SAGE.
[00:26:35.506 --> 00:26:39.508]  Next COVID variant could kill one in three people.
[00:26:39.528 --> 00:26:40.229]  2.625 billion.
[00:26:40.789 --> 00:26:47.313]  In the estimates of the mutations, similar to what they saw with MERS, if it became gain-of-function.
[00:26:47.493 --> 00:26:49.094]  And they're telling you what they got next for you.
[00:26:49.114 --> 00:26:50.235]  They're going to claim it's a mutation.
[00:26:51.431 --> 00:27:04.614]  So Chris Sky back in September of last year was extremely prescient looking at their own government documents that have been confirmed to be real, where they're talking about the permanent lockdown and a permanent dictatorship.
[00:27:04.874 --> 00:27:15.536]  Since he was last on, in fact I forgot it, guys get the Nova Scotia health minister, says we need to stop people demonstrating, stop people going outside, keep lockdowns he said, to stop people talking.
[00:27:16.824 --> 00:27:22.629]  Since then, the German, the French, and the Australian health ministers have all said the same thing.
