[00:00:00.049 --> 00:00:00.390]  All right.
[00:02:40.812 --> 00:02:57.579]  And in the midst of that, they're coming with an mRNA recombinant mutagenic system that actually transforms our very cells and rewrites our genetic code and telling us we will take it if we want to buy and sell, have a job or travel or live.
[00:02:57.639 --> 00:03:00.240]  Fauci just came out and said forced inoculations are on the table.
[00:03:01.363 --> 00:03:01.945]  Of course they are.
[00:03:01.965 --> 00:03:05.234]  They're going to keep pushing and pushing and pushing.
[00:03:05.715 --> 00:03:08.041]  Now, I don't know who these globalists have made a deal with.
[00:03:09.929 --> 00:03:14.753]  But what they're setting up is not good for anybody on Earth and is anti-human.
[00:03:15.354 --> 00:03:24.702]  And that's why I continue to warn you about the NBC and ABC and CBS and Wall Street Journal articles and stories saying humans are dirty and bad.
[00:03:24.802 --> 00:03:25.723]  COVID proved that.
[00:03:25.743 --> 00:03:28.485]  We need to get rid of humans and merge with machines.
[00:03:28.805 --> 00:03:31.488]  It's going to be so beautiful and you're going to do it.
[00:03:33.169 --> 00:03:34.490]  This is the final revolution.
[00:03:35.230 --> 00:03:41.257]  This isn't a Star Trek episode where the Borg cube shows up and says, you will assimilate.
[00:03:41.998 --> 00:03:43.860]  This is really happening.
[00:03:45.441 --> 00:03:50.988]  And so now all the slow motion beta test creeping we've seen with the Globulus is going into warp speed.
[00:03:51.994 --> 00:03:53.856]  Ladies and gentlemen, I believe in a human future.
[00:03:54.636 --> 00:03:58.780]  I believe we'll defeat this dystopian vision that the New World Order is bringing forth.
[00:03:59.721 --> 00:04:04.986]  And I know that God's real, and I know that Revelation warned us 2,000 years ago about what is now unfolding.
[00:04:05.854 --> 00:04:09.056]  Churches are controlled, and they're not unimportant.
[00:04:09.096 --> 00:04:16.501]  So you've got to start reading the Bible, you've got to start praying, you've got to start opening up your soul to God and asking for discernment, and God will deliver.
[00:04:17.162 --> 00:04:24.967]  And you've got to override the globalist censors that have shut almost everybody else down, and tell people about Ban.Video and InfoWorks.com.
[00:04:25.267 --> 00:04:26.688]  People are ready to hear the truth.
[00:04:26.948 --> 00:04:27.929]  The Great Awakening's here.
[00:04:28.249 --> 00:04:29.370]  The enemy's making their move.
[00:04:29.930 --> 00:04:30.271]  So again,
[00:04:30.971 --> 00:04:32.692]  Join us weekdays, 11 a.m.
[00:04:32.712 --> 00:04:33.352]  to 3 p.m.
[00:04:33.653 --> 00:04:35.994]  Tune into the other InfoWars shows and come to D.C.
[00:04:36.014 --> 00:04:40.236]  with us on the 5th and 6th as we expose globalist election fraud and attempt to take our country over.
[00:04:41.137 --> 00:04:42.198]  We've only begun to fight.
[00:04:42.738 --> 00:04:43.478]  God's on our side.
[00:04:43.518 --> 00:04:44.099]  We will win.
[00:04:44.299 --> 00:04:45.760]  But the great testing is now here.
[00:04:46.260 --> 00:04:47.441]  God bless and good luck.
[00:04:51.483 --> 00:04:53.324]  The Greek reset is the end of humanity.
[00:04:54.994 --> 00:05:01.079]  The populist movement that elected President Trump four years ago reelected him by an even bigger landslide.
[00:05:01.540 --> 00:05:04.662]  Rejecting and repudiating and discrediting the globalists.
[00:05:05.203 --> 00:05:07.164]  That's why they had to overturn the chessboard.
[00:05:07.445 --> 00:05:10.547]  That's why they had to engage in naked election fraud in front of everyone.
[00:05:10.988 --> 00:05:11.728]  And as long as we
[00:05:12.609 --> 00:05:14.170]  Never accept the fraudulent results.
[00:05:14.530 --> 00:05:29.740]  As long as we don't let them gaslight us into submission, as long as we point out this is a foreign globalist takeover of our country, and that all the depression and all of the collapse that's coming is because of the New World Order, this will end up fully destroying them in the future if we don't submit.
[00:05:30.180 --> 00:05:37.464]  If we submit, they'll normalize the communism, they'll normalize putting us into a depression, they'll normalize breaking up our families, taking our guns.
[00:05:37.985 --> 00:05:41.127]  We can't let that happen, and InfoWars is more important than ever.
[00:05:41.687 --> 00:05:44.412]  So please, Paul Reveres, I salute you for your past actions.
[00:05:44.753 --> 00:05:51.405]  Keep spreading VanDot video and InfoWars.com and come to the big DC marches on the 5th and 6th of January.
[00:05:51.585 --> 00:05:52.326]  I'll see you there.
[00:05:52.426 --> 00:05:52.907]  God bless.
[00:05:56.312 --> 00:06:04.293]  From the front lines of the Information War, it's Alex Jones.
[00:06:04.474 --> 00:06:06.574]  It's Sunday, January 3rd.
[00:06:06.674 --> 00:06:08.014]  We are in the year 2021.
[00:06:24.286 --> 00:06:30.951]  And a global government with a scientific dictatorship in control of it is taking over our planet, our very genetic code.
[00:06:31.392 --> 00:06:32.473]  I'm Alex Jones, your host.
[00:06:32.793 --> 00:06:34.114]  Thank you so much for joining us.
[00:06:34.674 --> 00:06:41.820]  Thank you for having us in your living rooms, in your homes, at your campsites, in your churches, across the world.
[00:06:41.860 --> 00:06:46.104]  We are blessed and honored to be here.
[00:06:46.124 --> 00:06:48.546]  17 days until the attempted installation.
[00:06:50.007 --> 00:06:50.127]  The
[00:06:53.123 --> 00:06:54.625]  Installment of Joe Biden.
[00:06:55.786 --> 00:06:59.710]  And this truly is the week that will change the world.
[00:06:59.770 --> 00:07:00.951]  What's coming up on the 6th.
[00:07:01.512 --> 00:07:06.156]  Now over 160 House members say they're set to vote to call for a.
[00:07:07.555 --> 00:07:10.356]  10 day investigation of the election fraud that's overwhelming.
[00:07:11.076 --> 00:07:13.717]  Ted Cruz has now come out and said that that is actually his plan.
[00:07:14.378 --> 00:07:25.862]  And then if they find evidence of fraud, the Senate and House will vote to call for a new election in the five states, something I've been pushing for since November 4th, seeing what the plan was.
[00:07:28.103 --> 00:07:28.903]  And how did this happen?
[00:07:30.029 --> 00:07:44.498]  Well, we let in five key states, actually six states, but the five that Trump needs to win, or he did win, where he was winning by two points, three points, four points, five points, six points, when the polls closed, when they stopped counting in the middle of the night.
[00:07:45.299 --> 00:07:51.423]  Well, you can't have them do that without the legislature saying they're going to accept these 80 million mailed-in ballots.
[00:07:53.018 --> 00:07:57.039]  And so, on its face, the law was violated, the Constitution was violated.
[00:07:57.079 --> 00:07:59.220]  You ask why the Supreme Court has stabbed Trump in the back?
[00:07:59.260 --> 00:08:03.861]  Because they're part of the neocon, rhino, warmongering group that works for the Democrats.
[00:08:06.102 --> 00:08:11.523]  But Mitch McConnell is weak, and he's known to be a communist Chinese agent along with his dirtbag wife.
[00:08:12.904 --> 00:08:16.965]  And so there's a major fight brewing and a history's happening, but they need to see
[00:08:18.962 --> 00:08:22.185]  Millions of Americans on the 5th and the 6th there in D.C.
[00:08:22.205 --> 00:08:24.266]  and I've seen people making a lot of excuses.
[00:08:24.467 --> 00:08:25.688]  Oh, Antifa's dangerous.
[00:08:26.308 --> 00:08:28.029]  It's a lot more dangerous walking across the street.
[00:08:28.129 --> 00:08:29.110]  There's hardly no Antifa.
[00:08:29.370 --> 00:08:30.091]  They're a bunch of cowards.
[00:08:30.672 --> 00:08:32.053]  Oh, the hotels are all closed.
[00:08:32.073 --> 00:08:33.534]  They're not letting anybody come to D.C.
[00:08:33.994 --> 00:08:34.855]  I've made the phone calls.
[00:08:34.895 --> 00:08:35.576]  That's not true.
[00:08:35.976 --> 00:08:38.718]  One hotel that the Proud Boys had rented out closed.
[00:08:39.839 --> 00:08:40.900]  Oh, there's no porta-potties.
[00:08:41.040 --> 00:08:41.280]  Really.
[00:08:41.660 --> 00:08:43.902]  I'm involved in setting it all up at both events.
[00:08:44.182 --> 00:08:45.584]  There are porta-potties by the hundreds.
[00:08:46.440 --> 00:08:56.289]  So, what you're hearing about, don't go to D.C., we're not welcome there, well, if they'd have told George Washington there were no porta-potties back in 1776, I guess we'd still be a British colony.
[00:08:57.210 --> 00:08:58.211]  But there are porta-potties.
[00:08:58.872 --> 00:08:59.712]  And there are hotels.
[00:09:00.413 --> 00:09:05.838]  They went under their Stage 5 lockdown of no restaurants open, but that's what's happening in California, you name it.
[00:09:06.098 --> 00:09:08.801]  You can still, quote, get food delivered to you or take it with you.
[00:09:09.081 --> 00:09:11.724]  This is two days, everyone needs to be there.
[00:09:12.674 --> 00:09:13.495]  Be part of history.
[00:09:14.096 --> 00:09:14.836]  Fight for Trump.
[00:09:14.897 --> 00:09:15.798]  Fight for America.
[00:09:16.478 --> 00:09:21.664]  Find all the details at InfoWars.com, NewsWars.com, and Band.Video.
[00:09:21.984 --> 00:09:25.889]  And I told you last week it's going to be on the Ellipse, south of the White House.
[00:09:26.269 --> 00:09:27.911]  I told you the President will speak at noon.
[00:09:28.912 --> 00:09:30.894]  And the people were like shocked when that was all announced.
[00:09:31.675 --> 00:09:33.798]  It's not about InfoWars getting the credit for this.
[00:09:35.430 --> 00:09:38.772]  It's about the fact that no one would step up and put the money in.
[00:09:39.493 --> 00:09:42.154]  The federal government doesn't pay for a Trump rally or a Trump event.
[00:09:42.474 --> 00:09:43.095]  Donors do.
[00:09:43.635 --> 00:09:59.605]  He's been deserted by the donors, by the Republican Party, so I stepped up and put the money in for the 5th and for the 6th, and then a donor came along, a great patriot, and paid $400,000 plus for the rest of it.
[00:10:04.272 --> 00:10:05.953]  I'm in over $130,000.
[00:10:06.494 --> 00:10:08.435]  And I'm not complaining about that.
[00:10:08.976 --> 00:10:11.538]  I'm putting that out saying there wasn't a magic cue group.
[00:10:13.159 --> 00:10:21.546]  There wasn't some secret group at the NSA or the CIA or the FBI or the Justice Department or the Pentagon that went and put the money down for this.
[00:10:22.167 --> 00:10:25.149]  I had to do it when no one else was two weeks ago.
[00:10:26.070 --> 00:10:26.670]  And a week ago.
[00:10:27.951 --> 00:10:31.654]  And I'd already put in more money until I got reimbursed because no one was doing it.
[00:10:33.246 --> 00:10:36.869]  I tell you that to explain to you that America is surrounded by globalists.
[00:10:36.889 --> 00:10:37.890]  We're actually very strong.
[00:10:37.910 --> 00:10:40.032]  Our ideology, our spirit, our connection to God.
[00:10:40.393 --> 00:10:41.774]  We have the truth on our side.
[00:10:42.294 --> 00:10:43.595]  China Joe can barely talk.
[00:10:44.056 --> 00:10:46.398]  He has big national events 1,000 people watch.
[00:10:46.738 --> 00:10:48.320]  He can't get 20 people to his events.
[00:10:48.700 --> 00:10:50.021]  He's canceling his inauguration.
[00:10:50.041 --> 00:10:51.142]  They're pulling down the stands.
[00:10:51.603 --> 00:10:52.744]  Trump's not giving him the briefings.
[00:10:53.164 --> 00:10:54.345]  The guy is a joke.
[00:10:55.927 --> 00:10:56.607]  But they need us.
[00:10:56.947 --> 00:10:57.908]  There he is about 10 years ago.
[00:10:58.820 --> 00:11:09.123]  But they need us, show him now, but they need us to buy the gaslighting that Trump lost and there's no evidence of fraud and go to sleep when all there is is evidence.
[00:11:10.484 --> 00:11:11.344]  And so that's why we're here.
[00:11:11.684 --> 00:11:13.384]  Now, I'm not going to bore you with this.
[00:11:13.464 --> 00:11:15.105]  Fox News has a big compilation.
[00:11:16.065 --> 00:11:22.787]  Democrats who praised 2000 and 2004 objections to Electoral College certification now slam Senator Hawley.
[00:11:24.408 --> 00:11:28.349]  And then we've got him objecting in 2016 trying to not let Trump's electors be seated.
[00:11:29.420 --> 00:11:30.681]  So it's in the Constitution.
[00:11:31.181 --> 00:11:31.841]  They can do it.
[00:11:32.262 --> 00:11:43.968]  And if they've got evidence, and if the members of the House and Senate are willing to do this in front of their constituents, which the constituents want, they can overturn the fraudulent election in those five states.
[00:11:45.689 --> 00:11:46.650]  And so that's where we are.
[00:11:47.310 --> 00:11:49.912]  Are we going to buy their propaganda and their BS, or are we going to say no?
[00:11:50.993 --> 00:11:55.195]  And so we have all the videos of them doing this previously, but now they say it's criminal.
[00:11:55.515 --> 00:11:56.756]  Now they say it's sedition.
[00:11:57.076 --> 00:11:58.377]  Now they say you should be arrested.
[00:11:59.915 --> 00:12:02.256]  I've had national ABC News hosts calling me.
[00:12:02.296 --> 00:12:04.696]  I've had big Democrat lawyers calling me off record.
[00:12:04.716 --> 00:12:07.017]  So when it's off record, I don't say who they are.
[00:12:07.037 --> 00:12:09.178]  I'm saying generally what they work for.
[00:12:10.098 --> 00:12:11.058]  So the channel stays open.
[00:12:11.078 --> 00:12:13.399]  They're like, why are you coming to DC to be violent?
[00:12:13.419 --> 00:12:14.199]  This is scary.
[00:12:14.439 --> 00:12:15.579]  You shouldn't challenge this.
[00:12:15.619 --> 00:12:16.500]  This is fascist.
[00:12:16.900 --> 00:12:18.200]  Be democratic, Alex.
[00:12:18.220 --> 00:12:19.920]  We never thought you were this evil man.
[00:12:19.940 --> 00:12:20.981]  I went, come on.
[00:12:21.441 --> 00:12:22.881]  Save your line for somebody else.
[00:12:23.601 --> 00:12:24.542]  It's in the Constitution.
[00:12:24.582 --> 00:12:24.862]  It's in...
[00:12:25.908 --> 00:12:27.509]  The basic strictures of our law.
[00:12:27.890 --> 00:12:29.051]  We have massive fraud.
[00:12:29.071 --> 00:12:30.172]  These are elected representatives.
[00:12:30.412 --> 00:12:31.112]  It's in the Constitution.
[00:12:31.132 --> 00:12:32.153]  They're the checks and balances.
[00:12:32.494 --> 00:12:33.775]  We want hearings on this.
[00:12:34.075 --> 00:12:34.976]  We want a new election.
[00:12:35.896 --> 00:12:42.082]  I think it's too much to overturn it and hand it to Trump and forfeit the states because the public, at least a portion of it's dumbed down, wouldn't get it.
[00:12:42.802 --> 00:12:49.508]  But the move to have a commission, a 10-day hearing, will clearly show all the massive evidence that's already there.
[00:12:49.888 --> 00:12:51.990]  Mainstream media and big tech won't be able to hide it.
[00:12:53.885 --> 00:12:55.486]  Now we're showing you Biden rallies, nobody's at them.
[00:12:55.506 --> 00:12:57.628]  We'll show you Trump rallies, hundreds of thousands.
[00:12:58.368 --> 00:12:59.949]  But the big ones, tens of thousands, small ones.
[00:13:00.950 --> 00:13:10.677]  And we can point out the Constitution was violated, state legislators were not involved accepting the mail-in ballots with no signatures, no proof of ID, and we said we have new elections.
[00:13:10.757 --> 00:13:11.518]  That's the answer.
[00:13:11.898 --> 00:13:22.726]  And Lin Wood, the lawyer, is right when he says he filed an emergency deal with the Supreme Court to block the election on the 5th for those two Senate seats.
[00:13:24.960 --> 00:13:30.643]  Because they're doing the exact same fraud they engaged in back on November 3rd, right now, yet again.
[00:13:31.083 --> 00:13:39.007]  Let's go ahead and play Ted Cruz talking about how they're calling the Democrats for his arrest for doing what they did four years ago.
[00:13:39.147 --> 00:13:40.528]  Simply authoritarian.
[00:13:41.738 --> 00:13:44.060]  Well, listen, I think everyone needs to calm down.
[00:13:44.620 --> 00:13:46.461]  I think we need to tone down the rhetoric.
[00:13:46.481 --> 00:13:49.063]  This is already a volatile situation.
[00:13:49.083 --> 00:13:53.526]  It's like a tinderbox and throwing lit matches into it.
[00:13:53.546 --> 00:13:58.009]  And so I think the kind of hyperbole we're seeing, the kind of angry language.
[00:13:58.029 --> 00:14:03.313]  Yesterday, when I released my statement with 10 other senators, I had multiple Democrats
[00:14:06.375 --> 00:14:12.497]  Urging that I should be arrested and tried for the crimes of sedition and treason.
[00:14:13.318 --> 00:14:14.498]  Now look, that's not helpful.
[00:14:14.518 --> 00:14:20.700]  At a time when this country, when we're pitted against each other, just relax and let's do our jobs.
[00:14:20.780 --> 00:14:23.561]  We have a responsibility to follow the law.
[00:14:24.501 --> 00:14:33.045]  Now here's Jake Tapper in pure projection calling this an attempt at a bloodless coup when they've tried this at least four separate times against our populace.
[00:14:33.065 --> 00:14:34.145]  President Trump, here it is.
[00:14:35.185 --> 00:14:38.526]  What are the President and a big chunk of Congressional Republicans focused on?
[00:14:39.986 --> 00:14:41.427]  Undermining the results of the election.
[00:14:41.827 --> 00:14:45.548]  Essentially a bloodless coup, leading the Republican Party to a state of turmoil.
[00:14:46.088 --> 00:14:55.611]  Saturday, 11 Republican Senators said they would vote against counting electoral votes in Congress next week, calling for a, quote, emergency 10-day audit of election returns, despite there being
[00:14:57.320 --> 00:14:57.701]  Pardon me.
[00:14:58.601 --> 00:15:01.503]  Despite there being no evidence of widespread voter fraud.
[00:15:02.023 --> 00:15:10.549]  The group is following the lead of Senator Josh Hawley, who says he will formally object to Biden's decisive win, despite zero credible evidence that would justify such a move.
[00:15:10.629 --> 00:15:10.929]  Zero.
[00:15:11.810 --> 00:15:20.996]  Senator Ben Sasse of Nebraska slammed Hawley and other members of the Sedition Caucus, saying, quote, adults don't point a loaded gun at the heart of legitimate self-government.
[00:15:21.556 --> 00:15:25.217]  Late Saturday, Senator Mitt Romney said in a blistering statement, quote, That's enough of them.
[00:15:25.557 --> 00:15:32.758]  These are all the neocon globalist traitors, you know, that tell you we should ban the word mother and father, as Pelosi's now done from House debate and law.
[00:15:33.118 --> 00:15:35.419]  They will not mention the word mother or father now in U.S.
[00:15:35.479 --> 00:15:35.739]  law.
[00:15:36.059 --> 00:15:37.119]  It is terms of evil.
[00:15:37.779 --> 00:15:44.961]  Well, anybody saying mothers and fathers are evil, like Mitt Romney and Nancy Pelosi, are enemies of humanity and God and will burn in hell.
[00:15:45.301 --> 00:15:45.921]  We'll be right back.
[00:15:45.941 --> 00:15:46.341]  Stay with us.
[00:15:53.697 --> 00:15:55.979]  The debate is over.
[00:15:57.860 --> 00:16:07.567]  Private, corporate, authoritarian, world government backed up by Communist China is now overthrowing the elected government of the United States of America.
[00:16:09.148 --> 00:16:17.774]  And the goals of this corporate world government are nothing less than a science fiction dystopian nightmare.
[00:16:18.975 --> 00:16:19.895]  The Great Reset.
[00:16:21.436 --> 00:16:21.776]  Agenda 2030.
[00:16:24.195 --> 00:16:28.978]  The planetary plan to end the human system as we know it is here.
[00:16:30.038 --> 00:16:43.045]  Nancy Pelosi has announced today that they are officially going to have house rules that legislation cannot have the word father or mother or family or boy or girl.
[00:16:43.926 --> 00:16:44.766]  Let that sink in.
[00:16:46.027 --> 00:16:47.148]  That's how alien
[00:16:48.345 --> 00:16:51.487]  This takeover is telling us we're dirty, we've got to wear masks.
[00:16:51.947 --> 00:16:53.508]  That fathers and mothers are bad.
[00:16:53.568 --> 00:16:55.089]  That boys and girls are bad.
[00:16:56.550 --> 00:16:58.931]  This is alien any way you look at it.
[00:17:00.412 --> 00:17:04.395]  They've come out and said that in a year and a half they're going to declassify contact with aliens.
[00:17:05.669 --> 00:17:08.031]  Is that being staged to make us not believe in God?
[00:17:08.831 --> 00:17:10.072]  Or to tell us the aliens are God?
[00:17:10.873 --> 00:17:13.875]  Is it part of the harshly declassified Plan Project Bluebeam?
[00:17:14.696 --> 00:17:15.136]  I don't know.
[00:17:16.077 --> 00:17:16.817]  But I know this.
[00:17:17.077 --> 00:17:24.943]  The cross-human-animal clones they've been making for 50 years, and declassified for the 20, have not been shown to the world.
[00:17:26.544 --> 00:17:29.486]  They weren't just developed in petri dishes or test tubes.
[00:17:30.807 --> 00:17:31.628]  They were brought to term.
[00:17:32.708 --> 00:17:34.349]  And they're now admitting this.
[00:17:35.149 --> 00:17:40.430]  So all the hidden technology, all the horrors, are about to be shown to the world.
[00:17:41.411 --> 00:17:56.776]  And in the midst of that, they're coming with an mRNA recombinant mutagenic system that actually transforms our very cells and rewrites our genetic code and telling us we will take it if we want to buy and sell, have a job, or travel or live.
[00:17:58.216 --> 00:18:00.817]  Fauci just came out and said, forced inoculations are on the table.
[00:18:01.943 --> 00:18:02.484]  Of course they are.
[00:18:02.524 --> 00:18:05.810]  They're going to keep pushing and pushing and pushing.
[00:18:06.291 --> 00:18:08.615]  Now, I don't know who these globalists have made a deal with.
[00:18:10.506 --> 00:18:15.329]  But what they're setting up is not good for anybody on Earth and is anti-human.
[00:18:15.930 --> 00:18:25.296]  And that's why I continue to warn you about the NBC and ABC and CBS and Wall Street Journal articles and stories saying humans are dirty and bad.
[00:18:25.376 --> 00:18:26.297]  COVID proved that.
[00:18:26.317 --> 00:18:29.079]  We need to get rid of humans and merge with machines.
[00:18:29.379 --> 00:18:32.041]  It's going to be so beautiful and you're going to do it.
[00:18:33.732 --> 00:18:35.073]  This is the final revolution.
[00:18:35.833 --> 00:18:41.856]  This isn't a Star Trek episode where the Borg cube shows up and says you will assimilate.
[00:18:42.576 --> 00:18:44.357]  This is really happening.
[00:18:46.017 --> 00:18:51.560]  And so now all the slow motion beta test creeping we've seen with the Globulus is going into warp speed.
[00:18:52.574 --> 00:18:54.456]  Ladies and gentlemen, I believe in a human future.
[00:18:55.237 --> 00:18:59.342]  I believe we'll defeat this dystopian vision that the New World Order is bringing forth.
[00:18:59.362 --> 00:19:05.568]  And I know that God's real, and I know that Revelation warned us 2,000 years ago about what is now unfolding.
[00:19:06.434 --> 00:19:09.636]  Churches are controlled, and they're not unimportant.
[00:19:09.676 --> 00:19:17.100]  So you've got to start reading the Bible, you've got to start praying, you've got to start opening up your soul to God and asking for discernment, and God will deliver.
[00:19:17.740 --> 00:19:25.805]  And you've got to override the globalist censors that have shut almost everybody else down, and tell people about Ban.Video and InfoWorks.com.
[00:19:25.845 --> 00:19:27.285]  People are ready to hear the truth.
[00:19:27.525 --> 00:19:28.506]  The Great Awakening's here.
[00:19:28.846 --> 00:19:29.927]  The enemy's making their move.
[00:19:30.487 --> 00:19:33.271]  So again, join us weekdays, 11 a.m.
[00:19:33.291 --> 00:19:33.951]  to 3 p.m.
[00:19:34.232 --> 00:19:36.574]  Tune into the other InfoWars shows and come to D.C.
[00:19:36.595 --> 00:19:40.820]  with us on the 5th and 6th as we expose globalist election fraud and the attempt to take our country over.
[00:19:41.721 --> 00:19:42.782]  We've only begun to fight.
[00:19:43.323 --> 00:19:44.084]  God's on our side.
[00:19:44.104 --> 00:19:44.684]  We will win.
[00:19:44.905 --> 00:19:46.366]  But the great testing is now here.
[00:19:46.847 --> 00:19:47.988]  God bless and good luck.
[00:19:56.047 --> 00:20:01.989]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:20:07.190 --> 00:20:14.953]  Waging war on corruption, it's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:20:18.160 --> 00:20:25.962]  They're censoring InfoWars.com and NewsWars.com and Banned.Video on Twitter, Facebook and Google and all the other channels.
[00:20:26.222 --> 00:20:27.382]  They're also censoring the U.S.
[00:20:27.482 --> 00:20:32.044]  Senate and the fraud hearings they had in the last few weeks, showing pure evidence of election fraud.
[00:20:32.604 --> 00:20:34.604]  Saying, oh, we don't allow the American people to see that.
[00:20:35.284 --> 00:20:36.865]  You don't get to see your Senate hearings.
[00:20:37.885 --> 00:20:39.385]  Well, we have a new URL.
[00:20:39.465 --> 00:20:40.846]  I'm sure they'll ban it in a week or two.
[00:20:41.286 --> 00:20:43.926]  But it's TheResistance.Video.
[00:20:44.747 --> 00:20:45.827]  TheResistance.Video.
[00:20:47.313 --> 00:20:52.496]  .video, that is the new URL that you can share and get out to everyone you know.
[00:20:53.057 --> 00:21:01.362]  Because it is a fight to not just, oh, they're censoring us, oh, they're suppressing us, oh, we just go away, we just shut up, we just quiet ourselves.
[00:21:02.142 --> 00:21:02.362]  No.
[00:21:02.903 --> 00:21:07.265]  We redouble our efforts because they're not silencing us because we're weak.
[00:21:07.745 --> 00:21:10.607]  They're silencing us because the truth will defeat them.
[00:21:11.388 --> 00:21:13.509]  Forget that internet meme that's been around for 10 years.
[00:21:13.889 --> 00:21:15.110]  No one knows who created it, but
[00:21:17.142 --> 00:21:20.763]  They wouldn't be engaging in all this propaganda if they weren't losing.
[00:21:21.863 --> 00:21:22.984]  It's basically what it comes down to.
[00:21:24.864 --> 00:21:26.905]  Okay, let me just roll through this.
[00:21:26.925 --> 00:21:31.926]  I'm going into the huge COVID global government martial law news that is unfolding.
[00:21:31.966 --> 00:21:42.949]  The checkpoints, the digital IDs, the forced inoculations, the secret camps where they take you and put a tube down your lungs and then turn it up on high and murder you.
[00:21:43.269 --> 00:21:44.890]  The new guillotine is the ventilator.
[00:21:45.649 --> 00:21:50.952]  That's not just in Australia, or that's not just in Canada, in Quebec.
[00:21:52.093 --> 00:21:53.974]  That's not just in Spain.
[00:21:54.374 --> 00:21:55.215]  That's now here.
[00:21:55.775 --> 00:21:58.917]  That's the live feed show headline today.
[00:21:59.878 --> 00:22:01.439]  Deals with that Sunday live.
[00:22:01.839 --> 00:22:06.882]  Dems prepare to activate COVID camps if Biden captures White House.
[00:22:08.916 --> 00:22:13.501]  And that has been their goal all along, is no due process, absolute control.
[00:22:13.781 --> 00:22:23.851]  And I'm going to show you where the UN, where NIH officials in the UK, where Canadian officials, where US officials, all say Communist China is our goal.
[00:22:24.312 --> 00:22:32.140]  In fact, when I do that next segment, guys, will you pull in Canadian Prime Minister
[00:22:33.766 --> 00:22:40.477]  Trudeau, a few years ago, saying on TV, they said, what's your favorite model of government?
[00:22:41.098 --> 00:22:42.100]  And he said, dictatorship.
[00:22:42.962 --> 00:22:44.063]  I love communist China.
[00:22:44.945 --> 00:22:46.808]  It turns out he's on the communist Chinese payroll.
[00:22:47.725 --> 00:23:03.716]  First guy's got Chinese troops training in Canada, but you need to see this for yourself, because he's just being honest about what Agenda 2030 is about, what the Great Reset's about, when he also said, we're using COVID to bankrupt the middle class and end the way of life in the West as we know it.
[00:23:04.697 --> 00:23:09.860]  And he commits to that on video, so we'll show you that coming up next segment.
