[00:00:27.609 --> 00:00:28.750]  It's Sunday Live.
[00:02:52.677 --> 00:02:54.679]  And you really should go there and I guess find the HD version.
[00:02:54.699 --> 00:02:55.860]  We can put it on screen, but there it is.
[00:02:56.680 --> 00:02:57.321]  And it's a wolf
[00:02:58.311 --> 00:03:00.213]  It's a wolf, if you're a radio listener, I'll narrate it.
[00:03:00.633 --> 00:03:06.759]  It's a wolf in the woods, the frozen landscape, and he says, humans at a campfire.
[00:03:06.819 --> 00:03:08.180]  It's cold and I'm starving.
[00:03:08.620 --> 00:03:10.742]  Maybe I should ask for some scraps.
[00:03:12.224 --> 00:03:14.065]  What's the worst thing that could happen?
[00:03:15.527 --> 00:03:19.370]  10,000 years later, you've got a very cute pug wearing a
[00:03:20.751 --> 00:03:30.595]  Birthday cake hat on top of its head, completely domesticated, totally and absolutely enslaved by the nanny state, a shadow of its former self.
[00:03:30.615 --> 00:03:39.999]  And I really think Arctopoly, I'm going to reverse engineer this or make our own t-shirt version of this, meme shirt, because this really says everything.
[00:03:40.400 --> 00:03:42.921]  Humanity's choice, ladies and gentlemen.
[00:03:43.905 --> 00:03:46.767]  That is where we are right now.
[00:03:46.827 --> 00:03:49.629]  This is really, this is really humanity's choice.
[00:03:50.489 --> 00:04:07.820]  And this whole velvet octopus that is the New World Order is sucking all of our energy, all of our will, all of our male and female energy, and not trying to domesticate us so we can be a lapdog, domesticating us so we can be phased out from the face of the earth.
[00:04:07.840 --> 00:04:11.303]  I've got a lot of huge articles dealing with that.
[00:04:11.323 --> 00:04:13.124]  We're gonna be laying out here today.
[00:04:14.963 --> 00:04:19.226]  Right away when we come back, because we have two big guests that I need to hit a lot in the first 30 minutes or so.
[00:04:20.067 --> 00:04:24.069]  We have the London Guardian and others saying it's time to empty out half the Earth's population.
[00:04:25.250 --> 00:04:29.053]  You have all these declarations of transhumanist war on the family.
[00:04:29.073 --> 00:04:30.053]  They're now out in the open.
[00:04:30.734 --> 00:04:35.037]  It is all coming up on this live Sunday show.
[00:04:35.177 --> 00:04:41.241]  Oh, and the big headline for the live show that I have on InfoWars.com is CDC admits COVID-19 vaccine
[00:04:43.359 --> 00:04:44.160]  Does not work.
[00:04:44.680 --> 00:04:47.642]  They're now saying, so's the UN, put your masks back on.
[00:04:48.242 --> 00:04:49.563]  Permanent lockdown forever.
[00:04:49.583 --> 00:04:52.485]  Because it's all about bankrupting us and taking control of us.
[00:04:52.845 --> 00:04:55.227]  You could never make a vaccine for the common cold.
[00:04:55.487 --> 00:04:56.668]  It's all a criminal fraud.
[00:04:57.428 --> 00:04:58.149]  Big Brother.
[00:04:59.129 --> 00:05:00.390]  Mainstream media.
[00:05:01.451 --> 00:05:02.572]  Government cover-ups.
[00:05:03.232 --> 00:05:04.693]  You want to stop tyranny?
[00:05:05.313 --> 00:05:06.614]  Well, so does he.
[00:05:07.475 --> 00:05:12.138]  Live from the InfoWars.com studios, it's Alex Jones.
[00:05:23.672 --> 00:05:28.553]  Welcome my friends, welcome to this live June 27th Sunday broadcast.
[00:05:29.093 --> 00:05:30.314]  I'm your host Alex Jones.
[00:05:30.334 --> 00:05:35.735]  We've got big breaking news on the looming attempts to indict President Trump and his family.
[00:05:36.155 --> 00:05:42.637]  We told you about a month ago that they were planning to launch in New York City by July 4th.
[00:05:42.757 --> 00:05:50.218]  Now CNN says the plan is to have the Trump Organization indicted, very rare operation, by July 4th.
[00:05:50.258 --> 00:05:52.219]  We have sources inside the enemy camp.
[00:05:52.819 --> 00:06:04.204]  Roger Stone will be joining us at the bottom of the hour, and then Mike Lindell to help break down the massive evidence of fraud pouring out of the Arizona audit, and so much more.
[00:06:04.264 --> 00:06:08.285]  President Trump more and more saying he can be reinstated, saying that Biden's an imposter.
[00:06:08.785 --> 00:06:14.768]  You've got Al Gore and you've got Mitt Romney and all of them on TV scared, saying it's white supremism.
[00:06:14.808 --> 00:06:16.549]  What does that have to do with
[00:06:17.549 --> 00:06:18.470]  The election being stolen.
[00:06:19.010 --> 00:06:23.914]  If we go find evidence of it, just throwing that out there, they are really getting desperate.
[00:06:23.954 --> 00:06:27.136]  So that's coming up on this live Sunday edition.
[00:06:27.176 --> 00:06:30.359]  Then Owen Schroer comes in with the new Sunday live show.
[00:06:30.419 --> 00:06:31.059]  It's very proper.
[00:06:31.079 --> 00:06:33.021]  We've been doing now for about six months.
[00:06:33.641 --> 00:06:34.982]  It's crazy how time flies.
[00:06:35.342 --> 00:06:36.843]  And that is 6 to 8 p.m.
[00:06:36.923 --> 00:06:38.805]  Central, right after this transmission.
[00:06:38.865 --> 00:06:39.986]  Again, I'm Alex Jones, your host.
[00:06:40.566 --> 00:06:42.688]  But let's hit this first right now.
[00:06:43.919 --> 00:06:47.483]  The Leals have completely come off the COVID-19 fraud.
[00:06:48.344 --> 00:06:51.848]  Why did they never have a vaccine for just the basic common cold?
[00:06:52.869 --> 00:06:55.152]  The coronavirus is the main cause of the common cold.
[00:06:55.533 --> 00:07:00.478]  If you're debilitated on the right amount of vitamins and minerals, it will go in, it will replicate, and you will get sick.
[00:07:01.700 --> 00:07:02.441]  That's known science.
[00:07:03.686 --> 00:07:06.809]  Well, because there's too many variants of it.
[00:07:06.929 --> 00:07:08.991]  There's hundreds of thousands a year.
[00:07:09.231 --> 00:07:09.891]  There's millions.
[00:07:09.911 --> 00:07:11.933]  I mean, they're always finding more and more and more.
[00:07:11.953 --> 00:07:16.457]  There's like fish in the sea, sand at the beach, leaves on trees in the forest.
[00:07:16.477 --> 00:07:17.158]  There's a lot.
[00:07:17.858 --> 00:07:22.182]  And it's our body's defenses that defeat that 99.999% of the time.
[00:07:22.663 --> 00:07:27.287]  Not taking a vaccine that is specifically for one variant.
[00:07:27.887 --> 00:07:38.563]  When viruses are constantly changing and their own medical science admits, when you take a vaccine like this, it causes your body to slough off things that basically are other variants of the virus.
[00:07:38.603 --> 00:07:39.704]  That's even Wall Street Journal.
[00:07:40.458 --> 00:07:43.780]  That's the discoverer of HIV saying that, saying this is insane, don't take it.
[00:07:44.180 --> 00:08:03.273]  So the mainline science has said all along, armies of top scientists, armies of Nobel Prize winners, and heads of universities, and heads of hospitals, and heads of research firms, and the chief scientist at Pfizer, who just retired three years ago, saying this is going to cause blood clots and heart attacks, and it did!
[00:08:04.033 --> 00:08:07.094]  Because they've already done studies on similar vaccines.
[00:08:07.374 --> 00:08:09.175]  Well, here it is out of the VAERS reporting system.
[00:08:09.575 --> 00:08:13.877]  Reported deaths, COVID vaccines, more than the last 10 years combined.
[00:08:14.197 --> 00:08:16.278]  And they think about 1 in 40 is the real number.
[00:08:16.458 --> 00:08:17.719]  Not 1 in 10, not 1 in 100.
[00:08:17.979 --> 00:08:21.340]  About 1 in 40 of these things get put down as COVID.
[00:08:21.360 --> 00:08:22.901]  So it's 40 times worse than that.
[00:08:22.921 --> 00:08:23.481]  40 times 5,888 dead.
[00:08:27.700 --> 00:08:32.142]  Oh, and now the FDA adds warning to COVID vaccine about risk of heart inflammation.
[00:08:32.182 --> 00:08:34.142]  No longer just saying, oh, it's rare.
[00:08:34.563 --> 00:08:35.463]  It's very common.
[00:08:36.523 --> 00:08:43.966]  And estimates are now out that you're 500 times more likely to die from a COVID vaccine than from COVID if you are young.
[00:08:45.282 --> 00:08:45.983]  For whatever reason.
[00:08:46.203 --> 00:08:49.566]  And we're going to be breaking some of that down coming up as well.
[00:08:50.067 --> 00:08:50.968]  Here's another headline.
[00:08:51.328 --> 00:08:57.995]  Who urges fully vaccinated people to continue to wear masks as Delta COVID variant spreads?
[00:08:58.135 --> 00:09:00.377]  Oh, a variant of the cold virus.
[00:09:00.677 --> 00:09:02.679]  My goodness, we can't ever leave our houses again.
[00:09:03.629 --> 00:09:05.030]  People better wake up now, folks.
[00:09:05.070 --> 00:09:05.650]  BBC.
[00:09:06.730 --> 00:09:10.111]  Andrew Marr says he caught COVID after getting the vaccine.
[00:09:10.131 --> 00:09:11.212]  A lot of folks dying.
[00:09:11.232 --> 00:09:13.493]  They say they're dying of COVID or dying from the vaccine.
[00:09:13.513 --> 00:09:14.813]  That's BBC and RT.
[00:09:15.293 --> 00:09:19.655]  Some fully vaccinated people may get sick if exposed to variants, CDC says.
[00:09:19.935 --> 00:09:20.375]  CNN.
[00:09:20.775 --> 00:09:24.797]  COVID-19 killed 26 Indonesian doctors in June after they'd been vaccinated.
[00:09:25.297 --> 00:09:27.258]  Chin had taken China's Sinovac vaccine.
[00:09:28.018 --> 00:09:30.720]  And it goes on and on and on.
[00:09:30.740 --> 00:09:35.602]  4,115 vaccinated people have died, been hospitalized with COVID-19 breakthrough infections.
[00:09:35.782 --> 00:09:36.043]  Uh-huh.
[00:09:38.044 --> 00:09:39.965]  Again, it goes through all of it right here.
[00:09:40.485 --> 00:09:42.426]  And I've got so much more just in this stack.
[00:09:42.446 --> 00:09:48.029]  But the first thing I want to hit is Bill Maher finally waking up that his audience isn't buying his bull.
[00:09:48.289 --> 00:09:48.990]  Or maybe he said,
[00:09:51.334 --> 00:10:01.263]  The road to Damascus awakening that Paul did, but he's totally, absolutely getting it now and saying, wait a minute.
[00:10:03.845 --> 00:10:07.248]  We've got Google and Facebook invested at the Wuhan lab.
[00:10:07.848 --> 00:10:13.253]  We've got them invested billions in these vaccines and then they're involved covering up.
[00:10:14.734 --> 00:10:15.315]  That's criminal.
[00:10:16.598 --> 00:10:16.979]  That's right.
[00:10:16.999 --> 00:10:19.422]  I mean, how did I tell you last year Google and Facebook were all involved?
[00:10:19.662 --> 00:10:21.125]  I went and looked it up.
[00:10:22.705 --> 00:10:24.586]  They're obsessed with depopulation.
[00:10:24.866 --> 00:10:25.607]  It's their cult.
[00:10:26.167 --> 00:10:28.489]  So they paid to have the viruses found in the wild.
[00:10:28.769 --> 00:10:29.970]  They paid to have them spliced.
[00:10:30.030 --> 00:10:31.490]  Facebook and Google.
[00:10:32.151 --> 00:10:34.332]  Facebook and Google aren't just big tech companies.
[00:10:34.352 --> 00:10:37.814]  They are the tip of the New World Order attack system.
[00:10:38.235 --> 00:10:39.075]  They surveil you.
[00:10:39.135 --> 00:10:39.756]  They watch you.
[00:10:40.036 --> 00:10:40.796]  They listen to you.
[00:10:41.056 --> 00:10:42.037]  They censor you.
[00:10:42.317 --> 00:10:43.238]  They control you.
[00:10:43.618 --> 00:10:46.160]  And they report you to your bank and you lose your bank account.
[00:10:46.940 --> 00:10:54.363]  If you question the election, they are the intimidators, they are the bullies, they are the trillion pound gorilla on our back.
[00:10:56.984 --> 00:10:58.665]  And they are bringing in the new dark age.
[00:10:59.705 --> 00:11:01.606]  They're monsters, and they know they're monsters.
[00:11:01.726 --> 00:11:04.387]  They're not liberal, well-meaning idiots that just go too far.
[00:11:05.899 --> 00:11:07.099]  They are the brainwashers.
[00:11:07.160 --> 00:11:08.000]  They are the controllers.
[00:11:08.380 --> 00:11:17.904]  Now, on the children's games and children's articles and everything on Facebook, to be allowed to be on Facebook, all teaching material that came out, is going to have to use gender-neutral pronouns in all this.
[00:11:18.224 --> 00:11:20.705]  This is an assault on humanity itself.
[00:11:21.545 --> 00:11:23.686]  On our very biology for depopulation.
[00:11:23.866 --> 00:11:30.289]  And in the white papers out of Tavistock Institute, I've got articles on it today, they admit, oh, we're doing this to depopulate the Earth.
[00:11:31.462 --> 00:11:34.404]  That's why we're sterilizing all the autistic and mentally retarded children.
[00:11:34.664 --> 00:11:37.326]  We don't want them having kids, so we teach them to be transgender.
[00:11:37.866 --> 00:11:40.048]  We make it a celebration of having their genitals removed.
[00:11:40.268 --> 00:11:45.252]  So first they brain damage you with the vaccines, then they cut your testicles off, and they admit they're doing it!
[00:11:46.392 --> 00:11:51.316]  Is this something all of you really want to sign on to this madness, this evil, which is only going to get worse?
[00:11:52.631 --> 00:11:58.235]  Once you sign on to the eugenics and the depopulation and the transhumanism that we're bombarded with everywhere.
[00:11:58.495 --> 00:12:04.979]  Three weeks ago the Senate wouldn't even outlaw human animal cloning that they admitted was well it's been going on for 30 years in the U.S.
[00:12:05.439 --> 00:12:06.460]  and so we're not gonna ban it.
[00:12:07.000 --> 00:12:07.420]  See?
[00:12:09.401 --> 00:12:10.122]  How did you know that?
[00:12:10.182 --> 00:12:11.523]  It's in all the medical literature!
[00:12:13.336 --> 00:12:19.801]  They're not supposed to grow the clones up with brains, but they do, because the clones don't operate enough if they don't have brains.
[00:12:20.522 --> 00:12:21.623]  So they have accelerated aging.
[00:12:21.643 --> 00:12:22.644]  They don't even know what they are.
[00:12:22.664 --> 00:12:24.685]  They're basically kept in these facilities.
[00:12:25.046 --> 00:12:26.107]  And it's all going to come out, folks.
[00:12:26.127 --> 00:12:34.233]  That's why they're desperately got all these new shows on TV about the clones and about the human-animal hybrids like Sweet Tooth and Sexy Beast.
[00:12:34.894 --> 00:12:40.659]  They're just desperately trying to acclimate you before it all comes out, because they can't even hide it anymore.
[00:12:41.937 --> 00:12:46.419]  You're gonna wake up and find out they've created alien species by the thousands on Earth.
[00:12:47.139 --> 00:12:47.879]  Intestines.
[00:12:48.500 --> 00:12:50.000]  New species that never existed.
[00:12:50.520 --> 00:12:55.462]  Salmon is now on store shelves that has walking stick and asparagus genes in it.
[00:12:55.703 --> 00:13:01.025]  I don't... The Pfizer shot has the entire genome of a jellyfish hive colony creature.
[00:13:03.906 --> 00:13:04.786]  You know why, right?
[00:13:05.286 --> 00:13:11.349]  They've already announced that if you have contact with a certain type of tick from Texas,
[00:13:12.469 --> 00:13:13.210]  We're good to go.
[00:13:23.146 --> 00:13:27.228]  And it's the same jellyfish that they put in you with a human genome.
[00:13:27.528 --> 00:13:35.612]  They combined the jellyfish colony creature genome with a boy who died in the 60s.
[00:13:36.052 --> 00:13:37.472]  It's in the patent.
[00:13:37.993 --> 00:13:41.994]  They say it's secret why they did it, but they spliced a human with a jellyfish and they injected it.
[00:13:42.035 --> 00:13:44.876]  And you saw the professor on TV last week, took a cross and played it.
[00:13:45.016 --> 00:13:46.356]  They had bioethicists in the US.
[00:13:46.717 --> 00:13:49.358]  He said, we're going to inject you so that you never eat meat again, beef again.
[00:13:49.878 --> 00:13:49.958]  Yeah.
[00:13:49.978 --> 00:13:54.661]  So it's not just you're going to be sterile, it's not just you're not going to be able to have children, you're not going to be able to eat beef anymore.
[00:13:55.621 --> 00:13:58.343]  They're hitting you and hitting you hard.
[00:13:58.543 --> 00:13:59.703]  They're like kamikazes.
[00:13:59.883 --> 00:14:01.084]  You go, well, they're all going to go to prison.
[00:14:01.104 --> 00:14:01.944]  They're all going to get in trouble.
[00:14:02.105 --> 00:14:02.725]  They don't care.
[00:14:02.865 --> 00:14:03.665]  They're psychos.
[00:14:03.986 --> 00:14:05.726]  It's a control cult.
[00:14:06.107 --> 00:14:08.928]  It's their excuse to play God and take over to save the earth.
[00:14:12.070 --> 00:14:13.891]  We know what they're doing, ladies and gentlemen.
[00:14:13.911 --> 00:14:15.432]  I'm going to say it again.
[00:14:16.485 --> 00:14:19.548]  Salmon sold in stores across the U.S., unlabeled.
[00:14:20.188 --> 00:14:23.231]  Joe Biden removed a order on that.
[00:14:23.752 --> 00:14:27.855]  So you can now eat a fish that's part insect.
[00:14:29.337 --> 00:14:30.357]  And you're like, well, that's not too bad.
[00:14:30.378 --> 00:14:31.799]  They tell me I'm gonna eat bugs all over TV.
[00:14:31.979 --> 00:14:33.100]  See, it's just acclimate you.
[00:14:33.380 --> 00:14:34.401]  Oh, you're gonna have sex with animals.
[00:14:34.421 --> 00:14:35.542]  You're gonna have sex with children.
[00:14:35.742 --> 00:14:36.423]  You're gonna eat bugs.
[00:14:36.483 --> 00:14:40.627]  It's all just to shock you, disorient you, so you accept all of this.
[00:14:41.459 --> 00:14:46.901]  We're gonna come back, I'm gonna play the Bill Maher piece, another powerful Gregg Reese piece, and then Roger Stone with exclusive intel.
[00:14:47.301 --> 00:14:51.802]  Straight ahead, I'm Alex Jones, InfoWars.com, NewsWars.com, Band.Video.
[00:14:57.044 --> 00:14:58.844]  Monday through Friday from 11 a.m.
[00:14:59.985 --> 00:15:00.525]  to 3 p.m.
[00:15:00.585 --> 00:15:01.045]  I'm live.
[00:15:01.565 --> 00:15:02.205]  I'm Alex Jones.
[00:15:02.665 --> 00:15:07.747]  Then, we return Sunday nights, 4 to 6 p.m.
[00:15:07.787 --> 00:15:10.528]  Central, and of course, Owen Schroer that also hosts
[00:15:12.455 --> 00:15:13.796]  The War Room, 3 to 6 p.m.
[00:15:13.816 --> 00:15:14.336]  weekdays.
[00:15:14.396 --> 00:15:17.357]  He also hosts two hours on Sunday night, right when this transmission ends.
[00:15:17.877 --> 00:15:20.738]  And of course, there's other great broadcasts like Harrison Smith, 8 a.m.
[00:15:21.579 --> 00:15:23.459]  weekday mornings with American Journal.
[00:15:23.499 --> 00:15:26.360]  So many great guests, so many great callers, and his amazing analysis.
[00:15:27.341 --> 00:15:29.402]  All right, so let's get back into
[00:15:30.643 --> 00:15:31.563]  The COVID situation.
[00:15:32.064 --> 00:15:35.005]  Real science shows that they cooked it in a lab.
[00:15:35.065 --> 00:15:45.249]  Real science shows they did that so they'd have a new chimera virus they can corporately own and produce vaccines off of that companies tied to Fauci and Gates would make hundreds of billions of dollars off of.
[00:15:45.529 --> 00:15:47.650]  And now it came out in government documents last week.
[00:15:48.830 --> 00:15:49.530]  And major U.S.
[00:15:49.570 --> 00:15:59.014]  universities had had copies of this that the federal government that Fauci had destroyed last year right under Trump's nose that they were
[00:16:00.071 --> 00:16:09.134]  A month before COVID was even announced, preparing COVID-19 vaccines at Wuhan, and that they were developing vaccines for COVID-19 there that they then released themselves.
[00:16:09.875 --> 00:16:19.798]  I remember Peter Daszak said in 2019, in an interview, that they were developing vaccines off of combining five viruses from bats in the COVID family.
[00:16:20.999 --> 00:16:22.279]  That was always hiding in plain view.
[00:16:22.359 --> 00:16:23.459]  We were the first to hammer that.
[00:16:24.180 --> 00:16:25.320]  And Tucker covered it as well.
[00:16:25.360 --> 00:16:27.521]  But I mean, again, I could talk for hours about this.
[00:16:28.786 --> 00:16:31.227]  We have every damn facet of it.
[00:16:32.047 --> 00:16:51.034]  How they cooked it up, why they did it, the lockdown, the control, the carbon taxes, the shutting down their competition, the rolling out the vaccines that they own themselves, because when they could isolate it and already know it was about to be released, they could then tell Pfizer, Moderna, and others what they were supposed to create and respond to.
[00:16:51.374 --> 00:16:55.576]  They told them, oh, don't do like China's doing, making wonders of an attenuated COVID virus.
[00:16:56.564 --> 00:16:58.286]  No, no, no, that's a virus that can't replicate.
[00:16:58.946 --> 00:17:17.604]  We want you to create something for the spike protein around the virus, so all the other makers around the world, because they're getting globalist money from Gates and others, they came out with one not for the sequence of the RNA, but for the shell of the virus, which again is all over the damn body.
[00:17:18.405 --> 00:17:19.706]  So your body attacks itself.
[00:17:19.986 --> 00:17:21.346]  It kills you in a thousand different ways.
[00:17:22.066 --> 00:17:24.167]  And this is, you understand, this is not debatable.
[00:17:24.707 --> 00:17:29.809]  They have committed giant crimes against humanity on a scale of Hitler, Stalin, and Mao.
[00:17:30.229 --> 00:17:32.770]  I mean, you are living to just see insaneness.
[00:17:33.110 --> 00:17:34.251]  But they're depopulationists?
[00:17:34.531 --> 00:17:37.812]  They said, we've only got a few years to save the Earth, we've got to depopulate now.
[00:17:38.112 --> 00:17:42.874]  It's their excuse towards mass murder and control, while they get rich in the process.
[00:17:44.229 --> 00:17:52.497]  So Bill Maher is starting to understand this and going, wait, big tech are involved in this and they're the ones covering it up?
[00:17:53.378 --> 00:17:55.380]  They're the very ones we want to investigate.
[00:17:55.420 --> 00:17:56.041]  Here's Bill Maher.
[00:17:57.362 --> 00:18:00.886]  All right, let me ask you about the media aspect of this because I find this outrageous.
[00:18:00.986 --> 00:18:08.013]  Facebook banned any post for four months about COVID coming from a lab.
[00:18:09.082 --> 00:18:11.883]  Of course, now even the Biden administration is looking into this.
[00:18:12.504 --> 00:18:24.109]  Google, a Wall Street Journal reporter asked the head of Google's health division, notice that they don't do autofill searches for coronavirus lab leak the way they do it for any other question.
[00:18:24.870 --> 00:18:33.474]  And the guy said, well, we want to make sure the search isn't leading people down pathways that we would find to be not authoritative information.
[00:18:34.346 --> 00:18:37.327]  Well, you were wrong, Google and Facebook.
[00:18:37.627 --> 00:18:38.487]  We don't know.
[00:18:39.287 --> 00:18:42.288]  The reason why we want you is because we're checking on this.
[00:18:43.228 --> 00:18:48.069]  He said, we want to ensure the first thing users see is information from the CDC, the WHO.
[00:18:48.649 --> 00:18:50.050]  That's who I'm checking on.
[00:18:50.890 --> 00:18:55.311]  The WHO has been very corrupt about a lot of sh**, and the CDC's been wrong about a lot of sh**.
[00:18:56.328 --> 00:19:01.590]  This is outrageous that I can't look this information up and now they're doing it with this drug Ivermectin.
[00:19:02.030 --> 00:19:04.971]  They threw Brett Weinstein off YouTube or almost.
[00:19:04.991 --> 00:19:06.651]  He's one strike away.
[00:19:06.992 --> 00:19:10.373]  YouTube should not be telling me what I can see about Ivermectin.
[00:19:10.633 --> 00:19:12.713]  Ivermectin isn't a registered Republican.
[00:19:13.094 --> 00:19:13.914]  It's a drug.
[00:19:13.934 --> 00:19:18.655]  I don't know if it works or not and a lot of other doctors don't either.
[00:19:20.756 --> 00:19:22.337]  So there you go, ladies and gentlemen.
[00:19:22.377 --> 00:19:23.337]  This is a big deal.
[00:19:24.744 --> 00:19:37.990]  Of course, Maher doesn't know, or he's covering up, but he probably just doesn't know that they're blocking ivermectin and they're blocking all these other cures because then you can't have an emergency authorization vaccine if there's a treatment that even has 5% efficacy.
[00:19:38.211 --> 00:19:42.833]  These others have like 98, 99% if you get to somebody on time with any viral infection.
[00:19:43.433 --> 00:19:45.414]  So think about how cold-blooded and evil this is.
[00:19:45.954 --> 00:19:48.176]  They're blocking real treatments from the public.
[00:19:48.596 --> 00:19:56.220]  When they go and sit with a cold or the flu, not even COVID, they won't give them these other treatments doctors have always used for decades because the UN says they can't now.
[00:19:56.560 --> 00:19:57.680]  That's total enslavement!
[00:19:58.041 --> 00:20:02.203]  Here's Greg Reese's latest powerful report, Smoking Gun Proof COVID Pandemic is a Scam.
[00:20:10.782 --> 00:20:20.106]  According to the official narrative, COVID-19 was first discovered as a pneumonia outbreak in the city of Wuhan on December 31st of 2019.
[00:20:20.646 --> 00:20:30.890]  And it wasn't until January 9th of 2020 when this supposed mystery virus was officially diagnosed as a novel coronavirus.
[00:20:31.690 --> 00:20:40.040]  Operation Warp Speed began on May 15th of 2020 to facilitate and accelerate the development of COVID-19 vaccines.
[00:20:40.521 --> 00:20:47.189]  Of the companies receiving research funding, the one responsible for the mRNA vaccine was Moderna.
[00:20:48.931 --> 00:20:51.094]  But we know that none of this checks out.
[00:20:52.765 --> 00:21:01.773]  We now know that Anthony Fauci used NIH funds to create a novel coronavirus capable of directly infecting humans.
[00:21:02.894 --> 00:21:10.820]  And we also know that Moderna has been working with Fauci's NIH on the mRNA COVID vaccine since December of 2019.
[00:21:14.088 --> 00:21:31.346]  Born in 2010 as Mode RNA Therapeutics, they were criticized for their radical specialty of mRNA biohacking that transforms human cells into drug factories, and later changed their name to Moderna.
[00:21:33.413 --> 00:21:44.720]  With a reputation for losing top talent and keeping investors in the dark due to dangerous, unpredictable side effects, Moderna somehow became Big Pharma's golden unicorn.
[00:21:45.681 --> 00:21:52.405]  They went public in December of 2018 with the largest ever IPO in the biotech industry.
[00:21:53.626 --> 00:21:58.429]  Without even having a safe, effective product, they blew up faster than Uber.
[00:21:59.713 --> 00:22:20.614]  And a year later, before COVID-19 ever made headlines, Moderna was working with Fauci's NIH outsourcing redacted challenge studies, where subjects are deliberately infected with the Fauci-funded Wuhan lab-made coronavirus and treated with Moderna's experimental gene therapy.
[00:22:22.836 --> 00:22:26.957]  And as fate would have it, the massive investment in Moderna paid off.
[00:22:27.878 --> 00:22:34.059]  Operation Warp Speed brought Moderna's COVID-19 payoff to just under $2.5 billion.
[00:22:34.380 --> 00:22:37.260]  And actual sales to the U.S.
[00:22:37.340 --> 00:22:40.521]  alone is already over $15 billion.
[00:22:41.562 --> 00:22:44.143]  There does not seem to be any breakthrough science.
[00:22:45.203 --> 00:22:51.365]  The mRNA shots are still proving to be as unpredictable and deadly as experts have been saying for years.
[00:22:53.720 --> 00:22:58.112]  And we now officially know that the shot is permanently changing the person's DNA.
[00:22:59.517 --> 00:23:02.839]  And yet, people are still lining up to get the shot.
[00:23:03.960 --> 00:23:05.781]  Thanks to media and Big Pharma.
[00:23:06.742 --> 00:23:12.126]  And thanks to the self-proclaimed philanthropists who fund the media and Big Pharma.
[00:23:13.066 --> 00:23:15.508]  The ones who call themselves the Good Club.
[00:23:16.389 --> 00:23:24.014]  The ones who met in 2009 to discuss how to save the world and how overpopulation was a major priority.
