[00:00:00.000 --> 00:00:01.000]  [clicking]
[00:04:21.626 --> 00:04:23.988]  So long as humanity does nothing to stop it.
[00:04:24.949 --> 00:04:31.949]  For InfoWars.com, this is Greg Reese.
[00:04:31.949 --> 00:04:38.949]  For InfoWars.com, this is Greg Reese.
[00:04:39.949 --> 00:04:46.949]  For InfoWars.com, this is Greg Reese.
[00:04:47.949 --> 00:04:54.949]  For InfoWars.com, this is Greg Reese.
[00:04:54.610 --> 00:04:59.890]   It's Alex Jones coming to you live from the front lines of the InfoWar.
[00:04:59.890 --> 00:05:09.651]  Sunday, October 17, 2021.
[00:05:09.838 --> 00:05:13.059]  And I'm your host, Alex Jones.
[00:05:16.021 --> 00:05:30.427]  Here we are, and we are inside the world government, we are inside the New World Order, we are feeling the leading edge of their spears and swords and daggers and arrows piercing into humanity's flesh.
[00:05:30.507 --> 00:05:35.209]   They've already killed over 35 million people from starvation with the COVID lockdowns.
[00:05:36.049 --> 00:05:40.531]  They have killed millions of others with intubation and blocking of medical care.
[00:05:41.091 --> 00:05:45.053]  They cooked up COVID-19 and released it onto the world.
[00:05:46.293 --> 00:05:48.654]  The vaccines are not vaccines and are poison.
[00:05:49.515 --> 00:06:01.140]   And even mainline John Hopkins, mainline British government documents Admit that you are twice as likely to get COVID and that you're more likely to end up in the hospital or die if you have the shot.
[00:06:01.220 --> 00:06:08.403]  That's mainline British government documents from their reporting system from doctors.
[00:06:08.883 --> 00:06:11.545]  That's the mainline John Hopkins reporting around the world.
[00:06:11.725 --> 00:06:20.229]  It's the same similar numbers in Germany, very similar numbers in Gibraltar or in Singapore or in Israel or in Canada or in the U.S.
[00:06:21.308 --> 00:06:23.649]  They start the shots and the death begins.
[00:06:24.150 --> 00:06:28.092]  It is just an incredible time to be alive.
[00:06:28.392 --> 00:06:36.136]  And then for me personally, on Friday, a bunch of other key pieces of the puzzle went into place.
[00:06:37.037 --> 00:06:39.178]  And I was like, oh my gosh, why didn't I see that?
[00:06:39.918 --> 00:06:42.040]  They want to collapse the economy by design.
[00:06:42.480 --> 00:06:47.463]  They want to be able to federalize it, internationalize it, and just phase us in to martial law.
[00:06:48.408 --> 00:06:52.490]  And the medical system is one-fifth of the U.S.
[00:06:52.530 --> 00:06:52.950]  economy.
[00:06:53.490 --> 00:06:55.791]  And it's also a large portion of all the other economies.
[00:06:56.251 --> 00:07:01.813]  And big corporations have taken over medicine now, and have removed the Hippocratic Oath, and shut up their own bioethics systems.
[00:07:01.873 --> 00:07:08.375]  And so, Friday, I was watching The War Room, and they were playing a clip of a nurse on there.
[00:07:09.416 --> 00:07:11.356]  Christy Lee was a guest hosting for Owen Schroer.
[00:07:13.874 --> 00:07:17.375]  She was saying, you know, I work here at this hospital and I'm not going to take the shot.
[00:07:17.855 --> 00:07:18.855]  We're being fired.
[00:07:19.475 --> 00:07:26.657]  And in come the FEMA replacement people and they're talking about National Guard coming in.
[00:07:27.377 --> 00:07:30.398]  And she said, hey, we don't have to take the shot.
[00:07:31.958 --> 00:07:32.798]  FEMA told them that.
[00:07:32.838 --> 00:07:34.119]  So I went and looked it up on.
[00:07:36.089 --> 00:07:44.415]  The CDC's own website, and I'm going to be showing that to you, and it says right there, there is no law, and FEMA employees and FEMA nurses don't have to take it.
[00:07:44.475 --> 00:07:45.816]  So let's explain that.
[00:07:46.777 --> 00:07:58.126]  You fire tens of thousands, hell, tens of thousands just in New York State, hundreds of thousands of nurses and medical workers around the country, these big HMO-owned hospitals, dude.
[00:07:59.520 --> 00:08:08.129]  So they can trigger the hundred-plus billion that's still sitting there, unspent from last year, of the hundreds of billions that were put in for, quote, the collapsed hospitals.
[00:08:08.149 --> 00:08:11.933]  Remember, staying home for 15 days to flatten the curve, the hospitals are going to be overwhelmed.
[00:08:12.153 --> 00:08:12.894]  That was all a lie.
[00:08:13.114 --> 00:08:18.819]  And so where'd all that money go, quote, in case the hospitals are overwhelmed and collapsed because of the massive COVID cases?
[00:08:19.560 --> 00:08:30.223]  Oh, well as soon as they trigger the FEMA emergency and the National Guard emergency, that hundred plus billion that's left is triggered to the hospitals who then get that money.
[00:08:30.664 --> 00:08:32.584]  So they come out with a shot they know is poisonous.
[00:08:32.604 --> 00:08:33.484]  They know it doesn't work.
[00:08:33.945 --> 00:08:35.765]  They let it come out that it's poisoning people.
[00:08:36.045 --> 00:08:38.366]  The medical workers see it making people sick and killing people.
[00:08:38.826 --> 00:08:39.726]  They all quit.
[00:08:40.147 --> 00:08:43.168]  It's 60% of the TSA hasn't taken the injections, not 40%.
[00:08:43.468 --> 00:08:44.268]  That's come out.
[00:08:45.706 --> 00:08:48.913]  It's some police forces, half the police have quit.
[00:08:49.674 --> 00:08:51.979]  All these other major police forces say they're not taking it.
[00:08:52.159 --> 00:08:55.185]  They just fired the Miami police chief as he tried to force them to take it.
[00:08:56.186 --> 00:08:56.967]  And you're like, yay!
[00:08:57.027 --> 00:08:58.368]  Humanity's fighting back!
[00:08:58.448 --> 00:08:59.108]  We're winning!
[00:08:59.188 --> 00:09:01.390]  Everybody is refusing to take the shots!
[00:09:02.030 --> 00:09:03.411]  But that was the plan.
[00:09:03.471 --> 00:09:07.734]  I'm not saying take the shots, I'm saying think in third dimensional, fourth dimensional chess here.
[00:09:08.374 --> 00:09:09.535]  Don't play checkers, play chess.
[00:09:10.316 --> 00:09:11.557]  They want to have a great reset.
[00:09:11.577 --> 00:09:12.798]  They want to collapse our society.
[00:09:12.818 --> 00:09:14.058]  They want to shut down all the businesses.
[00:09:14.479 --> 00:09:15.559]  Bankrupt them and take them over.
[00:09:16.240 --> 00:09:24.650]   They are federalizing medicine right now, and Didn't just send $53,000 to every hospital for every person they intubated.
[00:09:24.670 --> 00:09:38.877]  That's why they'd say, hey, you've got a sore throat, you can't breathe, we're not going to give you antibiotics, we're not going to give you antivirals, we're not going to give you a checkup, we're not going to check you, we're not going to give you inhalable steroids, we're not going to give you ivermectin, we're not going to give you hydroxychloroquine, we're not going to give you vitamin D or zinc.
[00:09:39.217 --> 00:09:40.578]  No, nothing will save you.
[00:09:41.138 --> 00:09:42.619]  Only the vaccine, and it's not here yet.
[00:09:42.659 --> 00:09:43.039]  Go home.
[00:09:43.300 --> 00:09:54.445]   And by the time you couldn't breathe and got your oxygen down to 80, You pass out, you're on an ambulance, and you never wake up because they get you, they put you in a coma, they intubate you, and you wake up dead.
[00:09:54.465 --> 00:09:56.307]  Because you never wake up.
[00:09:56.907 --> 00:09:59.910]  And they get $53,000 for killing your ass.
[00:10:00.891 --> 00:10:01.571]  That's a fact.
[00:10:01.692 --> 00:10:04.254]  Even USA Today fact-checkers admitted it.
[00:10:04.394 --> 00:10:06.336]  Yeah, $53,000 when they intubate.
[00:10:06.556 --> 00:10:08.258]  Hell, they get even more once you die.
[00:10:08.878 --> 00:10:10.900]  Another $15,000, so do your math.
[00:10:13.479 --> 00:10:17.361]  And that's a lot of money even for the fanciest hitmen out there, 60 plus thousand dollars.
[00:10:18.101 --> 00:10:21.762]  So every part of this was actuaried out by the hospitals.
[00:10:22.022 --> 00:10:27.925]  Doesn't matter if you're in Germany, doesn't matter if you are in the UK or Canada or the US or Australia or New Zealand.
[00:10:27.965 --> 00:10:29.045]  It's all the same system.
[00:10:30.386 --> 00:10:33.667]  And so I'm going, man, look, all these people are quitting.
[00:10:33.687 --> 00:10:34.508]  All these people are leaving.
[00:10:34.528 --> 00:10:37.549]  They're getting fired and it's going to collapse the hospitals.
[00:10:37.589 --> 00:10:41.450]  They're going to have National Guard and they're going to have FEMA nurses come in and do all this.
[00:10:42.051 --> 00:10:42.691]  And then boom.
[00:10:43.894 --> 00:10:48.155]  It turns out that the FEMA people are not injected and are not made to do it.
[00:10:48.716 --> 00:10:50.676]  And that's how you get federalization.
[00:10:50.756 --> 00:10:53.857]  And that's how you get martial law now over medicine.
[00:10:54.137 --> 00:11:01.139]  And that's how you get that hundred plus billion dollars that was in the emergency fund to sure up the hospitals.
[00:11:02.080 --> 00:11:04.660]  Because 4.3% of the public is going to die.
[00:11:04.680 --> 00:11:07.341]  And we're going to have tens of millions of people in the hospitals.
[00:11:07.721 --> 00:11:08.642]  Stay in your homes.
[00:11:08.822 --> 00:11:10.142]  There'll be millions within a month.
[00:11:10.382 --> 00:11:10.962]  Don't leave.
[00:11:11.042 --> 00:11:11.883]  Flatten the curve.
[00:11:12.103 --> 00:11:12.663]  My God!
[00:11:13.283 --> 00:11:20.207]  And here we are, 20 months later, and, oh, COVID's in decline and everything's fine.
[00:11:20.487 --> 00:11:21.307]  Go back to sleep.
[00:11:21.367 --> 00:11:23.808]  Really, the hospital is starting to actually fill up with people that have had the shots.
[00:11:24.008 --> 00:11:25.249]  They're going, oh, you don't have COVID.
[00:11:25.589 --> 00:11:30.232]  It's a new thing called the super cold.
[00:11:31.072 --> 00:11:34.994]  Oh, that looks like antibody dependency enhancement.
[00:11:38.380 --> 00:11:42.223]  Oh, oh, now you are dying because you come in contact with a regular cold virus.
[00:11:42.243 --> 00:11:47.767]  Now you're super allergic to it because the vaccine makes you produce the spike protein in your body.
[00:11:47.967 --> 00:11:50.849]  Well, now every time your body sees it, it freaks out and produces it again.
[00:11:51.149 --> 00:11:52.991]  And then you get sick, ladies and gentlemen.
[00:11:54.512 --> 00:11:57.054]  And it creates the antibodies that start attacking your own body.
[00:11:58.072 --> 00:12:00.434]  That's what was predicted by all the major experts!
[00:12:01.174 --> 00:12:14.485]  And I was thinking, like, 20 months ago, we have all the experts, we have all the facts, it's gonna kill people, it's gonna destroy people, people aren't gonna take the shot, and then they're gonna fire everybody, and then collapse the entire civilization.
[00:12:16.626 --> 00:12:18.448]  Collapse the entire civilization.
[00:12:18.488 --> 00:12:19.849]  Now, let me just do this.
[00:12:21.650 --> 00:12:23.011]  Overhead shot, please, for TV viewers.
[00:12:23.031 --> 00:12:27.154]  For radio listeners, I'm just gonna read you the headlines here from just today.
[00:12:28.280 --> 00:12:29.501]  And then I'm going to tell you where it came from.
[00:12:31.543 --> 00:12:36.486]  More than 6.6 billion shots given COVID tracker.
[00:12:36.786 --> 00:12:37.586]  Bloomberg.
[00:12:37.586 --> 00:12:44.386]  You heard that right? 666.
[00:12:44.392 --> 00:12:43.211]  666.
[00:12:44.913 --> 00:12:45.753]  Let's continue here.
[00:12:46.774 --> 00:12:55.441]  For Pfizer, a COVID-19 vaccine may just be the beginning for the potential revolutionary promise of mRNA technology.
[00:12:56.328 --> 00:13:00.350]  And when you read the tweet, can we put the tweet on screen please for folks, from which this article is printed?
[00:13:00.910 --> 00:13:10.235]  It says in the tweet, paid post for at Pfizer hashtag ad CNBC.
[00:13:12.676 --> 00:13:21.040]  And now they're going to roll it out for the flu and everything else, and they're saying you must take it, and they're in charge of the UN and everything else, and who's heavily invested?
[00:13:21.460 --> 00:13:24.622]  Peter Daszak, Bill Gates, Dr. Fauci.
[00:13:25.390 --> 00:13:33.539]  I mean, you talk about beyond conflict of interest, and all the major regulators now are former Pfizer executives and board members.
[00:13:33.859 --> 00:13:38.664]  In fact, some are in the FDA and are still on the damn board!
[00:13:40.726 --> 00:13:41.627]  Totally illegal!
[00:13:42.328 --> 00:13:43.169]  Total takeover!
[00:13:43.209 --> 00:13:47.874]  I'll show you that coming up here in just a moment.
[00:13:48.993 --> 00:13:49.573]  Next segment.
[00:13:49.953 --> 00:14:09.040]  And I'm also going to play the first three minutes from that emergency Saturday report I did, where I play the nurse talking about it, and I show the documentation of them saying, oh, we're firing all you, you didn't take the shot, and we're going to bring in people that don't have to take the shot, who are part of the special anointed superclass FEMA workers, because it was never about you even taking the shot.
[00:14:09.341 --> 00:14:18.224]  It was about us taking over and federalizing, and then transferring $100 billion into these hospital groups, because it's now the hospital groups and big pharma that control the regulators.
[00:14:18.624 --> 00:14:22.227]  This is big business, owning medicine, raping everyone.
[00:14:25.430 --> 00:14:26.671]  All right.
[00:14:26.530 --> 00:14:29.110]  (upbeat music)
[00:14:29.110 --> 00:14:39.530]   All right, thank you for joining us on this live Sunday, October 17th, worldwide broadcast.
[00:14:39.530 --> 00:14:44.889]   And I just wanna thank all you that are tuned in to the Alex Jones Show and those of you that watch it later
[00:14:44.889 --> 00:14:50.049]   on podcasts and share it because you're just as important as I am when you simply take that action.
[00:14:50.126 --> 00:14:51.407]  That's what overrides the censors.
[00:14:51.427 --> 00:14:52.308]  That's what saves lives.
[00:14:53.169 --> 00:14:57.252]  So I've come in here with the COVID news because it's so insane and there's no way to even scratch the surface.
[00:14:57.472 --> 00:14:59.554]  I've got over a hundred nightmare stories.
[00:15:00.174 --> 00:15:08.103]  Being pushed that if you read it in 1984 in high school, you think it would never happen in America or never happen in Europe or Australia or even North Korea.
[00:15:08.423 --> 00:15:09.084]  And it's happening.
[00:15:09.425 --> 00:15:11.627]  I mean, we are being put in the bacon grease.
[00:15:11.687 --> 00:15:13.529]  We are being put in the French fryer.
[00:15:14.550 --> 00:15:18.315]  There's no doubt worldwide corporate medical martial laws being put in.
[00:15:19.753 --> 00:15:31.016]  The big central banks with major corporations are destroying the economies, destroying the world currencies, buying everything up while they make the currency worthless so that we're left holding the bag.
[00:15:31.156 --> 00:15:32.436]  And then they're on TV.
[00:15:32.956 --> 00:15:38.338]  Booty Judge and others saying, it's your fault you didn't take your shots.
[00:15:38.898 --> 00:15:41.318]  That's why the economy is falling apart.
[00:15:41.478 --> 00:15:44.299]  Or people are starving to death because of COVID-19.
[00:15:44.839 --> 00:15:47.860]  No, they're starving to death because of the lockdowns around the world.
[00:15:48.792 --> 00:15:49.753]  So it's just insane.
[00:15:49.833 --> 00:15:50.073]  U.S.
[00:15:50.093 --> 00:15:56.276]  Treasury Sec warns unvaxed Americans that shortages will continue until everyone is jabbed.
[00:15:56.597 --> 00:15:57.457]  And then there's more shots.
[00:15:57.837 --> 00:16:03.260]  And Booty Judge says that, oh, get used to it till next year and there'll be new leadership.
[00:16:03.821 --> 00:16:05.161]  I've got all those clips coming up.
[00:16:05.462 --> 00:16:06.962]  Hashtag Empty Shelves Joe.
[00:16:07.043 --> 00:16:07.523]  Trends.
[00:16:07.963 --> 00:16:08.764]  Dominates Twitter.
[00:16:09.604 --> 00:16:11.665]  As ships back up at ports by the thousands.
[00:16:12.145 --> 00:16:13.346]  What's really going on?
[00:16:13.426 --> 00:16:14.267]  I'm going to lay that out.
[00:16:15.148 --> 00:16:17.670]  But first, let me go back to these headlines and just read you these headlines.
[00:16:17.690 --> 00:16:18.630]  I'm going to show you something huge.
[00:16:19.751 --> 00:16:36.041]  Bloomberg, why is there at least 10 bills I've seen for implantable microchips implanted inside so-called vaccines and vaccine tattoos that are little microchips that are embedded in your skin, microglass that's on the patch then goes into your skin.
[00:16:36.901 --> 00:16:44.885]  And global blockchain to control the human body, and it's all from the UN, and it's all from the Rockefeller Foundation, and Bill Gates.
[00:16:45.125 --> 00:16:45.925]  I mean, it's all there.
[00:16:45.945 --> 00:16:46.806]  You can pull it up yourself.
[00:16:47.266 --> 00:16:49.387]  And then they just always call the bill numbers 666.
[00:16:52.408 --> 00:17:03.033]  And they just fetishize that number to rub it in our face, as they bring in a world cashless society that you cannot buy nor sell unless you take whatever the new thing is they're wanting to put in your body.
[00:17:03.916 --> 00:17:05.438]  They're saying, oh, at least 10 shots a year.
[00:17:06.159 --> 00:17:12.125]  More than 666 billion shots given, COVID-9-11 tracker claims.
[00:17:12.706 --> 00:17:18.673]  They don't normally even put those headlines out, but when it hit 6.6 billion, they wanted to rub your nose in it.
[00:17:18.693 --> 00:17:19.234]  Here's another one.
[00:17:20.299 --> 00:17:22.919]  Again, CNBC tweets this Pfizer article.
[00:17:22.979 --> 00:17:23.780]  Pfizer wrote this.
[00:17:24.140 --> 00:17:31.301]  For Pfizer, a COVID-19 vaccine may just be the beginning for the potential revolutionary promise of mRNA technology.
[00:17:31.641 --> 00:17:36.322]  That's experimental, that they just foisted on us, and it's killing a bunch of people, but that's just the way it is.
[00:17:36.342 --> 00:17:37.502]  You're gonna take it in your body.
[00:17:38.842 --> 00:17:40.263]  Starting to get the picture here?
[00:17:40.603 --> 00:17:41.323]  Here's another article.
[00:17:41.663 --> 00:17:47.884]  Navy to segregate unvaccinated officers under same category used for drug offenders and sexual deviants.
[00:17:48.905 --> 00:17:49.886]  You're a criminal.
[00:17:49.926 --> 00:17:51.406]  You're in a digital gulag.
[00:17:53.187 --> 00:17:53.888]  Here's another one.
[00:17:53.988 --> 00:17:55.869]  Paul Joseph Watson, InfoWars.com.
[00:17:56.349 --> 00:17:59.951]  Expert, so-called expert, like Hitler was an expert too, right?
[00:18:00.251 --> 00:18:04.213]  Calls for denying life-saving hospital treatment to the unvaccinated.
[00:18:04.533 --> 00:18:06.374]  And then it's going to be your social credit score.
[00:18:06.394 --> 00:18:07.334]  You got to do everything they say.
[00:18:07.354 --> 00:18:09.735]  You got to live the way they want you to live.
[00:18:09.755 --> 00:18:11.236]  You got to support what they want you to support.
[00:18:11.456 --> 00:18:13.537]  Or you don't get your social credit score.
[00:18:13.557 --> 00:18:14.518]  You don't get medical care.
[00:18:14.818 --> 00:18:18.440]  The UK already says we don't want to give right-wingers or conservatives medical care.
[00:18:19.269 --> 00:18:20.690]  That's what's being announced in the UK.
[00:18:21.010 --> 00:18:30.956]  An expert whose work on cybersecurity has been cited by the New York Times, Washington Post, announced on Twitter that the unvaccinated should be denied life-saving hospital treatment because they're not fit for life on Earth.
[00:18:31.316 --> 00:18:32.917]  Not fit for life on Earth?
[00:18:33.197 --> 00:18:38.060]  Won't let the experimental shot that doubles your chances of getting COVID, even the British Medical Journal now admits.
[00:18:39.321 --> 00:18:51.210]  Chris Vickery, who describes himself as a data breach hunter, also brags about how his findings have contributed to investigations conducted by the FTC, FBI, SEC, Secret Service, and a bunch of other agencies.
[00:18:51.230 --> 00:18:54.293]  So it's all the spooks are telling us they're going to put this in our bodies.
[00:18:55.294 --> 00:19:09.919]   Oh, and here's out of .de, National Deutsch Television, supermarkets in German state of Hesse Can now block entry to the unvaccinated.
[00:19:10.359 --> 00:19:13.760]  You've got to swipe your phone to even get in, or you'll be arrested.
[00:19:13.780 --> 00:19:22.043]  Supermarkets in Frankfurt and the surrounding region can now implement rules that only allow vaccinated and COVID-recovered people onto their premises.
[00:19:23.063 --> 00:19:23.904]  The mark of the beast.
[00:19:24.004 --> 00:19:25.124]  Oh, what did Bloomberg call it?
[00:19:25.904 --> 00:19:26.245]  The 666?
[00:19:27.245 --> 00:19:29.466]  More than 6.66 billion shots given?
[00:19:30.186 --> 00:19:30.646]  The tracker?
[00:19:31.306 --> 00:19:33.387]  And it goes on and on and on.
[00:19:35.612 --> 00:19:37.292]  Oh, and Israel now took their third shot.
[00:19:37.312 --> 00:19:38.713]  Now they say, oh, sorry, doesn't work.
[00:19:38.773 --> 00:19:43.934]  There's a fourth shot and their deaths are the highest of COVID anywhere in the world.
[00:19:44.374 --> 00:19:45.294]  But that's just the facts.
[00:19:45.334 --> 00:19:48.154]  Now, let's ask ourselves what world we've reached here.
[00:19:49.194 --> 00:19:55.296]  This is a military globalist assault through the medical system by the central banks to collapse civilization.
[00:19:56.396 --> 00:20:03.337]  They know that people that have taken these shots are going to have ADE, antibody dependency enhancement.
[00:20:04.414 --> 00:20:10.766]  When they come in contact with regular cold viruses, they're going to get deathly ill and they're going to get sicker and sicker and die in a large portion of the cases.
[00:20:12.639 --> 00:20:14.981]  And if they don't die, they'll die the next time they have the ADE.
[00:20:15.001 --> 00:20:17.582]  So every fall and winter, you'll see a mass of them dying.
[00:20:17.602 --> 00:20:19.304]  And they'll go, oh my god, it's a new bug.
[00:20:19.624 --> 00:20:25.147]  Don't worry, they got a new mRNA vaccine they're working on in England for what they call the super cold.
[00:20:25.468 --> 00:20:26.949]  All these people are suddenly dying.
[00:20:26.969 --> 00:20:27.989]  They're all vaccinated, by the way.
[00:20:28.310 --> 00:20:29.951]  And it's called a super cold.
[00:20:30.651 --> 00:20:32.172]  Oh, you mean a super coronavirus.
[00:20:32.733 --> 00:20:34.274]  And they've got another shot for that.
[00:20:35.214 --> 00:20:36.975]  Until you get Marek's disease.
[00:20:37.116 --> 00:20:40.098]  You might want to look into Marek's phenomenon in humans.
[00:20:40.878 --> 00:20:41.899]  I'm giving you key things here.
[00:20:43.877 --> 00:20:47.618]  Now let me just show you this little jewel.
[00:20:48.758 --> 00:20:51.839]  This is a screenshot image we're going to put on screen for TV viewers.
[00:20:51.899 --> 00:20:54.219]  It's also in Saturday's emergency broadcast.
[00:20:54.239 --> 00:20:54.920]  You'll want to find it there.
[00:20:54.940 --> 00:21:08.523]  And I'm going to ask our great Jamie White, who's up here working on Sunday evening, to take this meme image, we'll give it to him, and to post it under the live show feed of the broadcast today so you can share it like your life depends on it, because it does.
[00:21:08.563 --> 00:21:09.503]  So let's read from this.
[00:21:10.950 --> 00:21:12.350]  For radio listeners, I'll narrate it.
[00:21:12.390 --> 00:21:21.033]  It's got an image of Scott Gottlieb, who is at the FDA, and then next to him, a Pfizer executive, who is him.
[00:21:21.814 --> 00:21:22.714]  Scott Gottlieb.
[00:21:23.134 --> 00:21:27.195]  On the left is the former FDA commissioner in charge of regulating Pfizer.
[00:21:27.896 --> 00:21:32.837]  On the right is a current member of the board of directors of Pfizer, making tens of millions a year.
[00:21:33.418 --> 00:21:34.078]  Can you see that?
[00:21:34.818 --> 00:21:35.479]  Here's another one.
[00:21:35.779 --> 00:21:36.580]  Stephen Hahn.
[00:21:37.201 --> 00:21:38.362]  Here he is at the FDA.
[00:21:38.843 --> 00:21:39.864]  Here he is at Moderna.
[00:21:40.404 --> 00:21:41.145]  That means Gates.
[00:21:41.586 --> 00:21:42.346]  Stephen Hahn.
[00:21:42.447 --> 00:21:45.610]  On the left is the former FDA commissioner in charge of regulating Moderna.
[00:21:45.970 --> 00:21:51.797]  On the right is the current chief medical officer of flagship pioneering, the venture capital firm behind Moderna.
[00:21:52.037 --> 00:21:52.698]  That's Bill Gates.
[00:21:53.359 --> 00:21:53.879]  Oh, here's another one.
[00:21:54.500 --> 00:21:55.040]  Reuters.
[00:21:55.481 --> 00:21:55.561]  Oh!
[00:21:56.656 --> 00:22:21.025]   The CEO of Reuters, who wrote two articles last week saying that we were making it up, that Fauci cooked it up in a lab, which is all admitted, and that Fauci bragged about how he needed a new virus to scare everyone into accepting mRNA technology, which he said Oh, look, James C. Smith on the left is the CEO of Reuters in charge of informing people about the COVID-19 vaccines.
[00:22:21.725 --> 00:22:26.469]  On the right is a current member of the board of directors of Pfizer, James C. Smith.
[00:22:27.748 --> 00:22:28.469]  Here's another one.
[00:22:28.929 --> 00:22:35.314]  Anthony Fauci, on the left, is the NIAID director under the National Institutes of Health.
[00:22:35.714 --> 00:22:43.900]  On the right is the funder of bioweapons research on gain-of-function-backed coronaviruses at the Wuhan Institute of Virology.
[00:22:44.681 --> 00:22:45.381]  That's a fact.
[00:22:45.861 --> 00:22:46.742]  But let me guess.
[00:22:47.162 --> 00:22:48.964]  You know the fact checker said this isn't true.
[00:22:49.264 --> 00:22:49.964]  It's all true.
[00:22:50.405 --> 00:22:51.125]  They're lying to you.
[00:22:51.185 --> 00:22:52.987]  You can verify this in 10 seconds.
[00:22:54.844 --> 00:22:55.484]  Then why would they do that?
[00:22:55.504 --> 00:22:58.325]  Because they're training you psychologically to accept their criminal line.
[00:22:58.786 --> 00:23:01.427]  And then buying the news like they've already done.
[00:23:01.447 --> 00:23:03.527]  I mean, this is a criminal takeover.
[00:23:03.567 --> 00:23:06.268]  These men are guilty of war crimes against humanity.
[00:23:06.107 --> 00:23:13.107]  They are on the same par as Adolf A. Louis Hitler.
[00:23:13.107 --> 00:23:28.107]   Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:23:28.107 --> 00:23:31.446]  [MUSIC PLAYING]
[00:23:31.446 --> 00:23:33.107]  (upbeat music)
[00:23:32.947 --> 00:23:37.970]  All right, let me give you the big picture, and then I'm just going to roll on from there.
[00:23:38.711 --> 00:23:57.547]   There is no longer any doubt, not one grain of doubt, That this is the big assault, and it's designed to totally collapse all major civilization, and then drive us into a permanent re-education camp system where they kill 90% of the population by 2030.
