[00:00:00.229 --> 00:00:01.850]  The world is rejecting the globalists.
[00:03:53.624 --> 00:04:03.372]  Big Democrat activist, big-time Democrat activist, and he's the lawyer representing Officer Dunn.
[00:04:03.692 --> 00:04:16.302]  So, again, the entire hearing yesterday was nothing more than propaganda, nothing more than lies, and
[00:04:19.966 --> 00:04:29.729]  The American media and the Democrat Party think you're too stupid, or you're too lazy, to go out and do a tiny bit of research on these individuals, and that's all it took!
[00:04:30.450 --> 00:04:36.032]  A couple journalists just did a tiny bit of research, and they found dozens of tweets.
[00:04:36.912 --> 00:04:47.856]  Oh, and not only are they avowed Democrat activists that have been implanted into the DC police, as I was warned about three years ago by the DC police,
[00:04:49.326 --> 00:05:01.891]  When I was sitting in a jail cell, I was told, they said, Owen, you're not going to believe what's going on here, but Democrats have implanted activists into our units and there's nothing we can do about it.
[00:05:03.412 --> 00:05:04.172]  And they all know it.
[00:05:05.313 --> 00:05:07.274]  And you just saw them on Capitol Hill yesterday.
[00:05:07.354 --> 00:05:10.095]  Now they've been unmasked, pun not intended.
[00:05:13.696 --> 00:05:14.777]  So we'll talk about that.
[00:05:16.681 --> 00:05:19.262]  But coming up in the next segment is Alex Jones.
[00:05:22.164 --> 00:05:25.046]  And they admit the vaccine doesn't work.
[00:05:25.706 --> 00:05:29.608]  They now admit the vaccine doesn't work, but they're promoting a third booster.
[00:05:30.649 --> 00:05:37.593]  So the vaccine doesn't work, the mask doesn't work, but they're going to force you to wear a mask and force you to take a vaccine.
[00:05:39.134 --> 00:05:40.034]  It's all slavery.
[00:05:40.814 --> 00:05:41.395]  That's what it is.
[00:05:44.005 --> 00:05:51.475]  They have never guessed the right flu virus for the mutation of what the main flu is the next year, and it's always a whole bunch of flus, dozens and dozens of them.
[00:05:52.116 --> 00:05:56.762]  And that it does nothing to protect you from the next flu if it's not the exact flu!
[00:05:58.905 --> 00:06:01.668]  That's why they never ask why they don't have a vaccine for the common cold.
[00:06:01.968 --> 00:06:03.109]  Because it's too varied.
[00:06:03.409 --> 00:06:04.590]  Because there's thousands of them.
[00:06:04.890 --> 00:06:06.852]  And because you have to get it exactly right.
[00:06:07.132 --> 00:06:08.594]  And viruses are always mutating.
[00:06:08.754 --> 00:06:10.576]  But you notice they're telling you they've got a vaccine.
[00:06:10.916 --> 00:06:14.239]  They want you willingly to go take whatever it is that's going to be in there.
[00:06:14.739 --> 00:06:17.021]  Now Fauci has come out of you.
[00:06:17.061 --> 00:06:17.482]  Just joined us.
[00:06:17.502 --> 00:06:19.063]  We're going to play the clip again first here in a moment.
[00:06:19.744 --> 00:06:22.146]  And said, hey, we're going to surveil people.
[00:06:22.166 --> 00:06:23.687]  We're going to cycle into other seasons.
[00:06:23.807 --> 00:06:25.129]  Next year you won't be able to go out either.
[00:06:26.383 --> 00:06:33.689]  So they'll run into the middle of summer, and then let you have a month or two, and then clamp it back down, but there'll be special apps they're announcing, you'll be tracked, China was the model.
[00:06:34.750 --> 00:06:37.412]  They're gonna roll it out like they just got these ideas, but it's all pre-planned.
[00:06:38.393 --> 00:06:46.699]  By the Rockefeller Foundation, Bill and Melinda Gates, the tabletop exercises, predicting COVID-19 in November when it was already launched in China.
[00:06:46.940 --> 00:06:54.526]  I think all of you already instinctively know this is the big one, and if we fail this test, we're gonna be ruled by the threat
[00:06:55.709 --> 00:06:58.913]  ...of unending invisible bio-weapons.
[00:07:06.556 --> 00:07:09.497]  Immediately that aren't even as bad as the current strain.
[00:07:09.517 --> 00:07:14.059]  They'll say they're worse, fear monger and then clamp down even stronger.
[00:07:14.879 --> 00:07:15.980]  That's what they've done in Italy.
[00:07:16.060 --> 00:07:21.262]  It's what they've done in other areas where they've been beta testing like Spain and now moving towards Australia.
[00:07:21.282 --> 00:07:22.442]  So this is all formulaic.
[00:07:22.502 --> 00:07:25.344]  It's all heavily scripted and we know their plan.
[00:07:26.424 --> 00:07:34.307]  InfoWars.
[00:07:34.387 --> 00:07:35.508]  Tomorrow's news.
[00:07:35.568 --> 00:07:35.928]  Today.
[00:07:37.892 --> 00:07:38.692]  You don't need a mask.
[00:07:38.732 --> 00:07:40.153]  The mask is about compliance.
[00:07:40.373 --> 00:07:42.454]  Because they know Canadians like to do what they're told.
[00:07:42.754 --> 00:07:44.255]  So they tell you, you have to wear a mask.
[00:07:44.595 --> 00:07:46.416]  Next they're going to tell you, you have to contact trace.
[00:07:46.776 --> 00:07:48.737]  Then they're going to tell you, you have to take the vaccine.
[00:07:49.057 --> 00:07:52.579]  And because Canadians like to do what they're told, they're hoping that everyone just complies.
[00:07:52.859 --> 00:07:53.900]  And then guess what, kids?
[00:07:54.280 --> 00:07:58.042]  Once you take your vaccine, like a dumb person that doesn't know any better,
[00:07:58.562 --> 00:08:10.271]  They're gonna tell you, sorry, the vaccine isn't as effective as we thought it was gonna be, so now you still gotta wear your mask, still gotta get contact trace, still have all the restrictions and social distancing, and still take your vaccine.
[00:08:10.531 --> 00:08:11.953]  And then what did you get out of all of this?
[00:08:12.333 --> 00:08:19.559]  You got a whole year where you weren't allowed to travel, your business was closed, they took your rights and freedoms, they forced a vaccine on you, and...
[00:08:20.319 --> 00:08:20.819]  What happened?
[00:08:21.120 --> 00:08:22.421]  The same amount of people died.
[00:08:22.781 --> 00:08:23.962]  Everything is the exact same.
[00:08:24.182 --> 00:08:30.526]  And now they're going to put you back on lockdown and bring it all the way till July of next year so they can do the same thing again.
[00:08:30.887 --> 00:08:36.570]  Bring you from July, August and September, getting you off lockdown, but just to bring you back on lockdown again.
[00:08:36.591 --> 00:08:38.532]  If you idiots haven't figured it out yet.
[00:08:38.932 --> 00:08:41.873]  It's a perpetual cycle that you never get out of.
[00:08:42.133 --> 00:08:46.795]  And it's a way to take your rights, your freedoms, close your business, take your wealth.
[00:08:47.095 --> 00:08:47.375]  Why?
[00:08:47.455 --> 00:08:49.076]  So you become dependent on government.
[00:08:49.456 --> 00:08:49.776]  Why?
[00:08:49.796 --> 00:08:53.177]  If you're independent, the government works for you like it's supposed to.
[00:08:53.498 --> 00:09:02.521]  If you depend on the government to give you a paycheck to feed your family every month because they closed your business on you, now the government doesn't work for you, the government rules you.
[00:09:02.881 --> 00:09:04.962]  So instead of a middle class, we have
[00:09:05.342 --> 00:09:10.686]  The government, upper class, and the lower class dependents that rely on the government to survive.
[00:09:10.967 --> 00:09:12.908]  In other words, we have a slave class.
[00:09:13.409 --> 00:09:14.369]  And that's what they're trying to do.
[00:09:14.429 --> 00:09:15.030]  It's that simple.
[00:09:16.107 --> 00:09:26.856]  So ladies and gentlemen, now you understand why InfoWars had to be banned off of the internet well in advance of this operation going down.
[00:09:28.017 --> 00:09:33.962]  Now you know why they had to demonize InfoWars and lie about Alex Jones and lie about what we do here.
[00:09:34.783 --> 00:09:39.606]  Because if we had the ear of the nation, if we had the ear of the world,
[00:09:40.836 --> 00:09:42.397]  Then none of this would be going on.
[00:09:43.238 --> 00:09:45.379]  They would have said, no, we were warned about this.
[00:09:45.519 --> 00:09:46.840]  We're not going to comply.
[00:09:46.920 --> 00:09:48.801]  We're not going to fall for the propaganda.
[00:09:49.081 --> 00:09:50.202]  We're going to remain free.
[00:09:50.442 --> 00:09:51.683]  You're not going to deceive us.
[00:09:52.263 --> 00:09:53.284]  But they lied about us.
[00:09:53.364 --> 00:09:55.786]  They demonized us and they censored us off the Internet.
[00:09:56.206 --> 00:09:57.307]  Now they are running.
[00:09:58.618 --> 00:10:04.063]  Phase two, phase three, phase whatever of their global tyranny.
[00:10:04.483 --> 00:10:07.405]  Imprisonment of man for the rest of time.
[00:10:07.726 --> 00:10:10.848]  This is the Alex Jones Show live on this Wednesday, July 28, 2021.
[00:10:11.168 --> 00:10:15.152]  Owen Schroer in the InfoWars World Headquarters in Austin, Texas.
[00:10:15.252 --> 00:10:18.695]  Alex Jones on the phone with us now.
[00:10:19.475 --> 00:10:22.898]  And so it doesn't matter that the CDC says the vaccine doesn't work.
[00:10:22.938 --> 00:10:24.800]  They're even pushing for a third booster.
[00:10:25.080 --> 00:10:27.323]  It doesn't matter that they admit the mask doesn't work.
[00:10:27.363 --> 00:10:28.604]  They want you to wear it forever.
[00:10:28.844 --> 00:10:33.749]  And they've even brought back the old moniker, Alex, of two weeks to slow the spread.
[00:10:34.069 --> 00:10:36.091]  Boy, they really think we're stupid, don't they?
[00:10:37.492 --> 00:10:46.634]  Well, they do, Owen, and I wasn't intending to be on today, but this huge CDC announcement you said was imminent yesterday did happen right after you got off the air, so I'm actually on the road here.
[00:10:47.334 --> 00:10:48.855]  Can you, am I coming in clear for you?
[00:10:49.175 --> 00:10:49.975]  Loud and clear.
[00:10:51.415 --> 00:10:54.256]  Okay, I need listeners to listen to me very carefully.
[00:10:54.296 --> 00:10:57.277]  We can beat this, but we don't have much time, and
[00:10:57.785 --> 00:10:58.926]  We do have the year of the nation.
[00:10:58.966 --> 00:11:00.587]  We have the year of the world of the people that count.
[00:11:01.047 --> 00:11:06.510]  The hardcore folks from every continent and every region of every race, color, and creed who bleed red blood.
[00:11:06.530 --> 00:11:07.230]  I love you all.
[00:11:07.631 --> 00:11:08.831]  This is an attack on humans.
[00:11:08.851 --> 00:11:10.232]  This is a post-industrial world.
[00:11:10.752 --> 00:11:21.318]  This is a system designed to confuse people, designed to destroy confidence, designed to discredit American institutions when it's globalists that are actually doing this.
[00:11:21.899 --> 00:11:22.399]  All of this
[00:11:23.440 --> 00:11:31.225]  Whether it's destroying the police or whether it's destroying the family, all of this doesn't mean families are perfect or police are perfect, but they were our institutions.
[00:11:31.785 --> 00:11:35.667]  Those are being destroyed and discredited now to bring in their new world order.
[00:11:35.707 --> 00:11:44.913]  And the people bringing it in, Cover Story, New Yorker Magazine, do not forget, 30 plus thousand children as young as two given to hardcore rapists to be gang raped.
[00:11:45.473 --> 00:11:49.015]  Now, I told you this years ago, but the point is, is that that's who runs things.
[00:11:49.456 --> 00:11:51.657]  People that have a mindset like that, people like Ed Buck,
[00:11:52.945 --> 00:12:10.452]  Who had a giant red skull on the wall and would vampirically torture black men and he said I'm sucking your energy and he would want them to OD and start dying and then he would give them the drug to not OD to bring them back and he said he was feeding on their energy.
[00:12:10.492 --> 00:12:16.455]  Okay, that's low-level stuff ladies and gentlemen and now the videos are being shown in LA in court of him
[00:12:17.379 --> 00:12:20.442]  Over them, saying, I'm sucking your energy, give me your soul.
[00:12:20.842 --> 00:12:23.404]  That's a low-level Renfield operator, okay?
[00:12:24.084 --> 00:12:27.947]  Need to understand, because they got a thing for sucking the energy of black men, too.
[00:12:27.967 --> 00:12:29.208]  And I spent the whole show on this.
[00:12:29.428 --> 00:12:30.369]  It's just insane.
[00:12:30.409 --> 00:12:31.450]  It's in all the criminology.
[00:12:32.010 --> 00:12:33.311]  But there's different types of empires.
[00:12:34.272 --> 00:12:36.694]  They don't have fangs, but they do drink blood.
[00:12:37.014 --> 00:12:39.176]  They don't live forever, but the spirits in them are very, very old.
[00:12:39.216 --> 00:12:41.418]  That's why, you know, the old thing is, oh, they're immortal.
[00:12:41.858 --> 00:12:45.781]  And that's why in Transylvania or all over Europe, they said, don't get near the castle at night to their kids.
[00:12:46.727 --> 00:12:48.729]  The vampire will grab you and eat you because it was true.
[00:12:48.749 --> 00:12:53.414]  The lord or his son or whoever would grab you and rape you and murder you.
[00:12:53.875 --> 00:12:55.497]  So that's where all these legends come from.
[00:12:55.517 --> 00:12:59.541]  It's psychotic ruling elites that are inbred.
[00:13:00.049 --> 00:13:06.113]  And that's why in ancient Japan they had stories of, don't go by the castle at night, because some of the nobles were evil.
[00:13:06.234 --> 00:13:07.695]  They would grab you and drink your blood.
[00:13:08.115 --> 00:13:10.317]  Every culture said, don't go near the castle at night.
[00:13:10.957 --> 00:13:13.159]  Men in black will jump out with fangs and drink your blood.
[00:13:13.599 --> 00:13:18.402]  So again, that's not because they're real vampires, but because they are these satanic, demon-possessed people.
[00:13:18.442 --> 00:13:25.408]  The ancient Greeks would lock up certain areas at night because there were psychotics that would go in there and grab people and drink their blood.
[00:13:25.628 --> 00:13:26.228]  Look that up, folks.
[00:13:26.248 --> 00:13:27.069]  That's mainstream history.
[00:13:28.540 --> 00:13:30.001]  We're giving you tomorrow's news today.
[00:13:30.601 --> 00:13:35.503]  If none of this makes sense to you, it's because you don't want to tie down two-year-olds and suck their blood.
[00:13:36.023 --> 00:13:44.506]  You don't want to OD black men and then bring them back over and over again with adrenaline injections because you want to suck their souls.
[00:13:45.106 --> 00:13:55.510]  You're not a person who even thinks like that to have a giant red skull and a black magic temple where the head of the House Intelligence Committee reportedly liked to party with that buck.
[00:13:56.090 --> 00:13:57.151]  You're not one of these people.
[00:13:58.614 --> 00:13:59.595]  I wasn't trying to be calm.
[00:13:59.615 --> 00:14:02.897]  I was trying to just come on and talk about why this is such a big deal.
[00:14:03.197 --> 00:14:09.702]  But there was a clip of myself in February, March, and April and May of last year telling it was coming.
[00:14:10.062 --> 00:14:15.125]  Then there was a clip of Sky in May after me laying out the exact same thing.
[00:14:15.946 --> 00:14:16.766]  How do we know it was coming?
[00:14:18.047 --> 00:14:24.532]  Because we understand what we're dealing with, we understand the enemy's operations, and they've scripted it all out in white papers.
[00:14:25.132 --> 00:14:27.894]  What's incredible is, is we always said they're going to announce
[00:14:29.036 --> 00:14:37.340]  In the end, that the vaccinator shatters, and that the vaccinators, I mean those that have been injected, are basically diseased now.
[00:14:37.420 --> 00:14:38.080]  How do we know that?
[00:14:39.201 --> 00:14:44.883]  It's an Operation Crimson Contagion from three years before the event.
[00:14:45.483 --> 00:14:53.507]  And then Crimson Contagion is set in real time, contemporary now, that it comes out within a year of the injections that they were poisoned and maimed people.
[00:14:54.108 --> 00:14:57.210]  And that it's going to shed all these new viruses, which I don't even think is true.
[00:14:57.230 --> 00:15:00.973]  I think they're going to release new versions that they've had cooked up already in those labs.
[00:15:01.553 --> 00:15:06.856]  But then that's why they had COVID-19 as basically an attenuated virus that I actually predicted three years ago.
[00:15:07.297 --> 00:15:09.398]  They were released an attenuated first, get you used to it.
[00:15:09.798 --> 00:15:14.341]  Then they would release new bioweapons in a similar family, but claim that they were naturally occurring.
[00:15:14.702 --> 00:15:18.044]  That way you won't get a nuclear war started between countries blaming each other.
[00:15:19.454 --> 00:15:21.795]  We're going to come back and I'm going to finish up and let Owen take over.
[00:15:21.815 --> 00:15:26.377]  He's got a lot to say, but I'm going to tie it all together with the January 6th information and so much more.
[00:15:27.578 --> 00:15:30.299]  Thank you so much for joining us on this live Wednesday edition.
[00:15:30.319 --> 00:15:33.820]  I'm Alex Jones, hijacking my own show because the news is just so insane.
[00:15:34.381 --> 00:15:37.142]  I gotta say, Owen's been doing an excellent job boiling all this down.
[00:15:37.162 --> 00:15:46.646]  I just want to point out that January 6th is all about taking that Threat Assessment National Memorandum of the President, the puppet, two months ago, Joe Biden,
[00:15:47.629 --> 00:16:01.536]  I've been hammering on and declaring that anyone that questions lockdowns, fraudulent elections, open borders, or legitimacy of anything Biden does as a terrorist and directs the Pentagon, the CIA, to spy on and attack the American people.
[00:16:01.776 --> 00:16:06.118]  They even on TV talk about taking out members of Congress, Frank Figliuzzi and others.
[00:16:06.158 --> 00:16:09.740]  So, they are really trying to get their forces ready.
[00:16:11.162 --> 00:16:13.423]  For a permanent coup, because they've already stolen the election.
[00:16:13.463 --> 00:16:15.284]  Now they have to submit their ill-gotten gains.
[00:16:15.384 --> 00:16:17.725]  So that's the historic point we've gotten to.
[00:16:17.745 --> 00:16:28.209]  And so all the theater we saw yesterday by the political operatives, all of that, again, is meant to brand the American people and the opposition and the unvaccinated as terrorists.
[00:16:28.229 --> 00:16:30.991]  But they thought they'd get 60, 70 percent, 80 percent to take it.
[00:16:31.951 --> 00:16:34.512]  It's way less than 50 from the numbers they've got.
[00:16:35.393 --> 00:16:36.333]  They've been exaggerating.
[00:16:37.646 --> 00:16:39.788]  And so they've got a big problem on their hands.
[00:16:39.828 --> 00:16:44.972]  So they're going to double back on the group that they've already got under their control and say, oh, you've got Stockholm syndrome.
[00:16:45.573 --> 00:16:48.896]  You're like an abused prostitute under a pimp's control that breaks her arm.
[00:16:50.277 --> 00:16:53.920]  We're going to come back at you now and say, guess what?
[00:16:53.940 --> 00:16:54.841]  You've got to wear a mask, too.
[00:16:54.861 --> 00:16:55.882]  And you've got to take more shots.
[00:16:55.942 --> 00:16:57.643]  Well, Bill Gates said that over a year ago.
[00:16:57.683 --> 00:16:58.784]  This has all been attempted.
[00:16:59.565 --> 00:17:00.606]  This has all been planned out.
[00:17:00.726 --> 00:17:02.768]  And I just want to reach out to the Democrats.
[00:17:04.609 --> 00:17:05.250]  Every crowd on the ground.
[00:17:05.885 --> 00:17:08.126]  You're not going to get money and power and control out of this.
[00:17:08.666 --> 00:17:13.689]  I know you've been trained to hate Christians and hate Republicans and feel like you're part of the intellectual elite and everything because you buy into all this.
[00:17:14.469 --> 00:17:15.390]  All you are is schmucks.
[00:17:16.110 --> 00:17:16.991]  All you are is idiots.
[00:17:18.291 --> 00:17:19.432]  The globalists use you.
[00:17:19.472 --> 00:17:20.312]  They're destroying you.
[00:17:20.332 --> 00:17:22.293]  This is a post-human, post-industrial world.
[00:17:22.814 --> 00:17:24.414]  You're not going to get any power out of this.
[00:17:24.875 --> 00:17:29.177]  The average Democrat's got two or three degrees, and they work bagging groceries.
[00:17:29.897 --> 00:17:31.378]  But everybody I know that doesn't have degrees
[00:17:32.262 --> 00:17:33.422]  I'm not putting folks down that have degrees.
[00:17:33.482 --> 00:17:35.663]  I'm saying, you know, are making $200,000 a year, $100,000 a year.
[00:17:36.163 --> 00:17:40.824]  So I just really feel sorry for these folks because they're in a cult.
[00:17:41.745 --> 00:17:43.145]  They're lied to every step of the way.
[00:17:43.765 --> 00:17:49.047]  They're told, oh, your vaccine isn't working because other people didn't take the shot.
[00:17:49.067 --> 00:17:53.728]  But now they have to admit, no, you're the ones that are actually shedding all these new
[00:17:54.986 --> 00:17:55.547]  We're good to go.
[00:18:23.038 --> 00:18:25.919]  That's part of the official UN Replacement Migration Plan.
[00:18:25.979 --> 00:18:35.943]  So again, we can continue to tell you exactly what's going to happen years before it happens, or we can do something and organize and get serious and move against these globalists.
[00:18:35.963 --> 00:18:40.425]  So more and more, Owen, I just ask the question, how do we form the opposition to this?
[00:18:40.485 --> 00:18:43.486]  When Fauci ran the lab, they obviously released it on purpose.
[00:18:43.826 --> 00:18:45.067]  They blocked all the good treatments.
[00:18:46.047 --> 00:18:48.108]  For regular flus and colds, killing millions.
[00:18:48.308 --> 00:18:50.108]  They've starved tens of millions to death, the U.N.
[00:18:50.169 --> 00:18:50.989]  admits, when the U.N.'
[00:18:50.969 --> 00:18:51.989]  's the one that ran the whole thing.
[00:18:52.449 --> 00:18:54.190]  They are mass-murdering criminals.
[00:18:54.750 --> 00:18:59.812]  We are in their clutches, and they're only going to keep pushing this assault until they get pushed back against.
[00:19:00.252 --> 00:19:11.316]  So the question is, how do we begin to aggressively, legally, and lawfully push back against them, when they've already lost the Rubicon and are violently assaulting us with these poison GMO cranking shots?
[00:19:12.637 --> 00:19:13.537]  I mean, what do we do, Owen?
[00:19:14.707 --> 00:19:18.570]  Well, historically, Alex, I do believe there's two answers to this question.
[00:19:18.891 --> 00:19:26.057]  And the one obvious answer is what we're trying to avoid at all costs, and that's a violent confrontation with these people.
[00:19:26.818 --> 00:19:31.282]  Again, that's just historically what you have to do in the face of tyranny, in the face of oppression.
[00:19:31.642 --> 00:19:33.043]  But we'd like to avoid that.
[00:19:33.083 --> 00:19:35.085]  We don't want a violent confrontation.
[00:19:35.225 --> 00:19:36.587]  We know what that would look like.
[00:19:37.107 --> 00:19:39.669]  And that's not even necessarily an assured victory.
[00:19:40.550 --> 00:19:57.444]  We've got Putin announcing today they're launching two new doomsday planes in case of a nuclear war because Putin understands that if the American globalist corrupt regime actually gets questioned and loses their seat dominating the world like they have been, then they'll just launch a nuclear war.
[00:19:57.784 --> 00:20:07.192]  That's why they were able to get Trump out of the White House because they threatened him and they said, look, if you don't leave and you actually lead this American populist resistance against us, we're just going to blow the planet up.
[00:20:07.592 --> 00:20:09.254]  And Trump didn't want that to happen on his watch.
[00:20:09.274 --> 00:20:10.215]  You can say that's a mistake.
[00:20:10.255 --> 00:20:11.216]  You can say it's a good thing.
[00:20:11.536 --> 00:20:13.057]  That's how they got him out of the White House.
[00:20:13.077 --> 00:20:13.958]  He knew he won.
[00:20:15.039 --> 00:20:16.721]  And Owen, I'm really glad you bring that point up.
[00:20:16.741 --> 00:20:18.242]  That's a point I meant to make, but I never make.
[00:20:19.083 --> 00:20:24.768]  The globalists saw populist rebellions in Europe, in Asia, in Latin America, in Africa, and in North America.
[00:20:25.229 --> 00:20:25.829]  So they panicked.
[00:20:25.969 --> 00:20:28.352]  And they'd always had on the shelf for population control
[00:20:29.281 --> 00:20:29.661]  I think so.
[00:20:51.169 --> 00:20:54.832]  People like Charlie Munger say he wants to set up a malice regime in America.
[00:20:55.233 --> 00:20:59.376]  Why is Justin Trudeau not in jail saying he wants to turn Canada into China?
[00:20:59.556 --> 00:21:02.439]  I mean, these are declarations of war against humanity, people!
[00:21:03.288 --> 00:21:04.528]  Well, here's the good news, Alex.
[00:21:04.609 --> 00:21:09.951]  Five years ago, most people would have never heard of any of these individuals.
[00:21:10.411 --> 00:21:12.472]  And so we're speeding the timetables up.
[00:21:12.852 --> 00:21:16.153]  Now everybody knows who Anthony Fauci is and wants him arrested.
[00:21:16.473 --> 00:21:21.015]  Now everybody knows the diabolical thoughts and actions of Bill Gates and want him arrested.
[00:21:21.175 --> 00:21:27.738]  So the worm is turning there, but as you said, they have all of these things in their back pocket to bring their slaves to heel.
[00:21:27.778 --> 00:21:30.879]  But Alex, here's the other option in the two
[00:21:31.759 --> 00:21:44.807]  In the question you asked, the two options historically, and that is peacefully and politically use democracies and vote these people out of power, vote people into power who want to do something about this, but there's the hiccup.
[00:21:45.108 --> 00:21:46.288]  They steal our elections!
[00:21:47.009 --> 00:21:49.911]  Who knows the last time we had an actual election in this country?
[00:21:50.211 --> 00:21:55.674]  Who knows the last time Americans actually decided their fate politically with the vote at the ballot box?
[00:21:56.014 --> 00:21:59.537]  And that's why you see the Democrats so up in arms and panicked right now.
[00:22:00.257 --> 00:22:19.325]  About these vote audits coming out, about the push to end the Dominion voting machine rigging of our elections because they know that's their ultimate power over us is the belief that, hey, we can still go vote, we can still peacefully and politically overturn this stuff, we just have to make our voices heard, get to the polls and beat them in a democracy.
[00:22:19.806 --> 00:22:20.946]  They rig all the elections!
[00:22:21.326 --> 00:22:24.888]  So they've already beaten us there because we don't even have free and fair elections!
[00:22:25.328 --> 00:22:27.029]  And that's why they're so panicked over that.
[00:22:28.254 --> 00:22:33.148]  That's right, but as you said, the good news is Trump really won in the count of votes by 70%.
[00:22:33.590 --> 00:22:35.154]  Real internal numbers are coming out.
[00:22:35.723 --> 00:22:37.324]  The world is rejecting the globalists.
[00:22:37.745 --> 00:22:39.266]  They're rejecting the neoliberals.
[00:22:39.726 --> 00:22:47.752]  They're rejecting George Soros, who now with Bill Gates is going to be over the UN global testing regime and control the contact tracer apps.
[00:22:47.792 --> 00:22:48.753]  I mean, what a nightmare.
[00:22:49.033 --> 00:22:52.816]  George Soros with the Clinton Foundation and Bill Gates to control your medical files.
[00:22:53.156 --> 00:22:54.277]  They're not going to get away with this.
[00:22:54.657 --> 00:23:05.105]  I'm just so ashamed of the average leftist subserviently wanting a vaccine pass and wanting to get all the shots and just buying into the fraud and pretending like they're part of the establishment.
[00:23:05.445 --> 00:23:06.225]  It's these people.
[00:23:07.166 --> 00:23:13.027]  It's the proletariat left going along with this, pretending like they're part of the ruling class that's going to destroy us.
[00:23:13.327 --> 00:23:17.869]  We have to realize communism is a tool of the ruling class to suppress and wage war against the people.
