[00:00:00.425 --> 00:00:01.425]  So here's the big announcement.
[00:04:07.893 --> 00:04:15.115]  And they did it masterfully the way they roped in a bunch of people through Q and the way they infiltrated the Oath Keepers and the Proud Boys and others.
[00:04:19.056 --> 00:04:29.999]  And now because of court documents that have come out, it's confirmed that 20 FBI agents, actual agents, and informants
[00:04:32.381 --> 00:04:39.867]  He led the attack with a consortium of Antifa like Jaden X on record admitting days before they were going to try to burn the Capitol down.
[00:04:41.348 --> 00:04:44.931]  And of course the police were put in the middle of it, under band, by design.
[00:04:45.792 --> 00:04:56.981]  This was a psychological warfare operation to manipulate a crowd and President Trump was set up, I was set up, and I've been saying that since the day it happened.
[00:04:58.422 --> 00:05:02.865]  But I've been in contact with the great folks over at Revolver News.
[00:05:03.485 --> 00:05:06.827]  I've been working with them some, giving them my feedback on this for several weeks.
[00:05:07.828 --> 00:05:13.671]  I had been working with other folks to get the information, obviously, out to the great Tucker Carlson.
[00:05:15.412 --> 00:05:18.614]  And Tucker did a really splendid job last night.
[00:05:18.634 --> 00:05:21.976]  So I'm going to air the entire 15-minute monologue coming up.
[00:05:22.297 --> 00:05:27.159]  And then the investigative journalist from Revolver News
[00:05:28.328 --> 00:05:31.189]  That really should get a Pulitzer Prize for what he's done.
[00:05:31.249 --> 00:05:40.692]  Darren Beatty will be joining us, but you need to read the full report at Revolver News, and that is,
[00:05:59.650 --> 00:06:11.375]  And I've wondered if I subconsciously haven't really gone after this because I was in the middle of all this and felt guilty for not seeing it coming.
[00:06:12.615 --> 00:06:13.856]  And I really think that's the case.
[00:06:13.876 --> 00:06:18.918]  I mean, I've been all over this like flies on you-know-what, but we should have been even more intensely focused on this.
[00:06:21.238 --> 00:06:23.379]  Because this is the key, and I'll explain when we come back.
[00:06:23.519 --> 00:06:36.807]  They're getting ready to stage massive false flags to blame on us, so we need to expose this false flag to stop the next false flags that I believe will be much bigger and more devastating and will usher in hell on earth that I'll lay out so you get tomorrow's news today when we come back.
[00:06:37.808 --> 00:06:40.029]  And, I mean, I'll give you all the inside baseball.
[00:06:40.469 --> 00:06:44.512]  Welcome, ladies and gentlemen, to this live June 16th Wednesday transmission.
[00:06:45.432 --> 00:06:47.894]  Every day I'm on air could be my very last.
[00:06:50.174 --> 00:06:54.858]  Every day that you're tuning in could be the last time you ever hear this broadcast live.
[00:06:56.520 --> 00:07:02.545]  I am like a man on a piece of wreckage in the ocean with large tiger sharks circling me.
[00:07:03.486 --> 00:07:04.307]  But that's okay.
[00:07:04.808 --> 00:07:07.830]  I didn't think that I would make it this far in the fight against the New World Order.
[00:07:08.931 --> 00:07:12.335]  I always knew it would be up to others that will win the fight in the end because we don't have a choice.
[00:07:13.075 --> 00:07:15.477]  This is such an incredible anti-human evil that we face.
[00:07:16.986 --> 00:07:25.274]  But you saw it trend over the weekend, arrest Alex Jones, the number one thing, a political search term.
[00:07:26.795 --> 00:07:28.397]  Alex Jones trended number one, period.
[00:07:30.759 --> 00:07:33.462]  And you see the left just lying about us constantly.
[00:07:34.916 --> 00:07:38.139]  I'm saying arrest me for January 6th because they know they staged it.
[00:07:38.199 --> 00:07:38.979]  They know they did it.
[00:07:39.019 --> 00:07:40.561]  They even had that Time Magazine article.
[00:07:40.601 --> 00:07:41.762]  In fact, print me that again, guys.
[00:07:42.902 --> 00:07:44.804]  The Time Magazine article from a few months ago.
[00:07:44.824 --> 00:07:52.630]  I forget the exact headline, but it was a headline like, learn about the secret coalition that worked together and the cabal that stopped Trump.
[00:07:53.230 --> 00:07:56.333]  And they admit they set us up on January 6th, all of it.
[00:07:56.373 --> 00:07:57.974]  So criminals love to brag.
[00:07:57.994 --> 00:07:58.855]  They love to celebrate.
[00:08:00.256 --> 00:08:08.523]  At the same time, while they try to put myself and President Trump in prison for January 6th, that's not going to happen because they don't want a real investigation of it.
[00:08:08.883 --> 00:08:24.596]  I could destroy them in court, destroy them in Congress, destroy in front of any grand jury in five minutes and show that 20 FBI agents and hundreds of informants in federal court documents that Tucker Carlson covered last night.
[00:08:25.257 --> 00:08:28.460]  I made the decision not to get into this until it broke on Tucker.
[00:08:30.626 --> 00:08:32.227]  Because I thought he'd do a better job than I did.
[00:08:32.427 --> 00:08:32.687]  He did.
[00:08:32.727 --> 00:08:33.787]  He did a great job in 15 minutes.
[00:08:33.807 --> 00:08:35.188]  We're going to be playing it coming up.
[00:08:36.769 --> 00:08:44.011]  And we have Darren Beattie, the incredible investigative journalist, who I did work with some on the story, joining us as well in the second hour.
[00:08:44.592 --> 00:08:47.713]  Been working on it with him a little bit for the last few weeks with some other great folks.
[00:08:47.833 --> 00:08:50.514]  So that's all happening.
[00:08:50.554 --> 00:08:52.375]  That's all about to unfold here.
[00:08:52.455 --> 00:08:57.197]  But you need to understand that the reason this is so important
[00:08:58.542 --> 00:09:20.687]  Is that they are preparing massive false flags, probably at the end of the summer, maybe even sooner, that are going to trigger a huge, bloody race war in this country and the attempt to have gun confiscation, which will cause a civil war, which is the plan of the globalists to once and for all scuttle and wreck the country for communist China and the EU to take over.
[00:09:22.147 --> 00:09:24.008]  The globalists hate Russia and they hate America.
[00:09:24.804 --> 00:09:37.351]  Because of the two linked up, the Carnegie Endowment always admitted you would have a land bridge from Alaska to Russia, and you could have a system linking the whole world.
[00:09:37.811 --> 00:09:42.734]  We have the troops, we have the resources, we have the culture, we have the ingenuity, we have everything.
[00:09:43.374 --> 00:09:45.015]  And that a Russia-U.S.
[00:09:45.195 --> 00:09:47.776]  linkup would be the world power, period.
[00:09:48.617 --> 00:09:49.057]  No debate.
[00:09:51.278 --> 00:10:15.911]  Geographical control alone, and it basically ends it at that point because Russia sits in the middle of the main world and then the United States sits in the middle of the Americas, the new world, and I'm not going to go into all the books, scientific reports and historical analyses that have been done on that, but we are to be destroyed, so is Russia, and then out of that the EU and China are to rise and rule the entire planet and then depopulate.
[00:10:17.731 --> 00:10:24.716]  And so they have a KEPP group of criminals, globalists, communists, perverts, pedophiles that run the Justice Department.
[00:10:24.736 --> 00:10:27.278]  I mean, it's a club of pedophiles at the top.
[00:10:27.358 --> 00:10:28.638]  They're pretty much all pedophiles.
[00:10:29.519 --> 00:10:32.941]  And that's why you saw them cover up Penn State and all the rest of it.
[00:10:33.902 --> 00:10:38.985]  And I knew about that from Ted Gunderson, who said the pedophiles were taking over the FBI.
[00:10:40.046 --> 00:10:42.308]  He learned after he retired and left the FBI.
[00:10:42.348 --> 00:10:43.649]  He was in line to be the FBI director.
[00:10:44.400 --> 00:10:46.561]  He's the kind of guy that wanted to be the director.
[00:10:46.841 --> 00:10:50.962]  That was the old FBI that had its own problems, but the new one was just satanic.
[00:10:51.382 --> 00:10:53.143]  And we can all see the fruits of that.
[00:10:54.723 --> 00:10:55.704]  So here's the big announcement.
[00:10:56.264 --> 00:11:01.606]  They got court documents and others are now having to come out as they try to try and have trials.
[00:11:03.926 --> 00:11:08.208]  We're almost six months out, these people being held in solitary confinement, that the feds had
[00:11:10.330 --> 00:11:23.679]  Up to 20 agents, hundreds of informants inside, and they were basically leading the Proud Boys, leading the other organizations like Oath Keepers.
[00:11:24.460 --> 00:11:28.743]  And that doesn't mean that the majority of Oath Keepers are bad or Stuart Rhodes is bad, but I mean it was riddled.
[00:11:29.594 --> 00:11:31.495]  Riddled with actual federal officers.
[00:11:32.495 --> 00:11:38.016]  And that's why you'd see a few of them indicted and later they had to drop the charges because that was one hand not knowing what the other hand was doing.
[00:11:38.737 --> 00:11:44.198]  But we're in there leading it just like Jaden X was inside leading it with his crew of Antifoam.
[00:11:44.218 --> 00:11:49.080]  We have video of them getting out of their black uniforms into their Make America Great Again gear.
[00:11:52.260 --> 00:11:53.461]  So it's all coming out.
[00:11:54.326 --> 00:12:01.390]  We're going to talk to the investigative reporter coming up next hour, but I just want to telegraph to all of you and be one billion percent clear, one trillion.
[00:12:01.991 --> 00:12:04.752]  I want to be just to infinity clear on this, okay?
[00:12:06.834 --> 00:12:23.704]  They didn't produce hundreds of TV shows, hundreds of movies, hundreds of thousands of news articles the last five, six years about race war and killing the white people and white people are the devil and white people are killing blacks in record numbers.
[00:12:25.117 --> 00:12:32.400]  Not just here, but Black Lives Matter is a worldwide movement that Western countries are bad, that capitalism is bad, that white people are bad.
[00:12:32.900 --> 00:12:34.961]  So the government can then speak for black people.
[00:12:37.001 --> 00:12:39.482]  Corporations can hide behind black people as their spokespersons.
[00:12:39.502 --> 00:12:40.863]  It has nothing to do with black people.
[00:12:41.083 --> 00:12:47.005]  They're just being used as the guilt figurehead to then get everyone to sign on to a globalist agenda.
[00:12:47.445 --> 00:12:53.928]  And then out of that, they're going to trigger events, bombings, shooting attacks of black churches, colleges.
[00:12:55.419 --> 00:13:09.229]  Events that will then be blamed on the secret underground foggy, you know, right-wing white supremacy that Biden and the Attorney General and all of them tell you is the number one threat and is going to just kill millions of people.
[00:13:09.269 --> 00:13:13.012]  I mean, they're saying it's about this giant secret army of white supremacists are about to take over.
[00:13:13.952 --> 00:13:37.302]  And really all that is, is as the globalists take the nation over, as the globalists try to take the guns, they will stage events, they will escalate a civil war, and they will call everyone fighting for America, and freedom, and the Second Amendment, and the right to life, Nazis, and then stir up racial conflict in the middle of it, to then try to sell that idea in the media, and get everybody else to come out and declare, no, we're with the government, and we're with the confiscation of guns, we're not Nazis.
[00:13:39.062 --> 00:13:41.643]  So that's the whole movement to Buffalo everybody into that.
[00:13:41.683 --> 00:13:42.564]  And when the FBI says, oh,
[00:13:43.939 --> 00:13:48.683]  The Q movement is getting ready to start killing federal agents everywhere and killing citizens.
[00:13:48.723 --> 00:13:58.310]  They mean federal agents that are Q, manipulating people who are not part of the federal government or the FBI to carry out attacks.
[00:13:58.350 --> 00:13:59.971]  And that's the FBI specialty.
[00:14:00.051 --> 00:14:08.998]  Even 10 years ago, the New York Times had the headline that the FBI triggered and created all of the last decade's terror attacks.
[00:14:11.983 --> 00:14:25.075]  And I can go through every major event where it was a black supremacist, white supremacist, islamicist, you name it, they would go wind them up, they would direct them, they would give them the bomb, they would let them then carry out the attacks so the FBI would get more funding.
[00:14:25.595 --> 00:14:30.259]  So, yeah, the FBI created the Unabomber as well.
[00:14:30.740 --> 00:14:31.660]  There's the headline right there.
[00:14:32.061 --> 00:14:33.122]  And the CIA.
[00:14:33.382 --> 00:14:36.685]  So, this is done over and over again and this time,
[00:14:38.814 --> 00:14:41.919]  The Secret Service, the FBI, at the highest levels were all involved.
[00:14:42.640 --> 00:14:46.004]  And they directly tried to set the President up, they tried to set me up, but it misfired.
[00:14:47.527 --> 00:14:52.113]  There were people that thought they were going in there with some rapid reaction team that's come out with the zip ties.
[00:14:53.274 --> 00:15:05.100]  To grab the members of Congress and all that, and then it would have been such a huge real crisis that they could have brought in permanent martial law, which they already had set up and ready with the barbed wire and the troops they were going to call up, but it misfired.
[00:15:05.140 --> 00:15:08.782]  So that looked like tyranny instead of a response to a horrible attack.
[00:15:09.723 --> 00:15:17.347]  And it's because a bunch of people thought twice at the end, a lot of veterans and people that thought they were being secretly commanded by Trump, but really it was the FBI through Q.
[00:15:20.390 --> 00:15:28.799]  And so it was going to be so horrible that they thought that they probably would have then killed Trump that day, probably would have killed me, and then started their civil war with America.
[00:15:29.420 --> 00:15:32.383]  But by the grace of God, the whole thing basically was a flop.
[00:15:33.224 --> 00:15:34.025]  It fizzled out.
[00:15:35.424 --> 00:15:36.344]  Not really a dud.
[00:15:37.265 --> 00:15:42.907]  You can have a hot shell, a hot round that was overloaded, and boom, you fire your rifle and you tell it was a hot load.
[00:15:43.247 --> 00:15:56.933]  Or you can have one that's a misfire, or kind of a fizzle-out is the term I hear my grandpa use, but where the shot goes out, it's like a shotgun, but you shoot a slug out of the shotgun and it doesn't even go through the piece of metal you were shooting.
[00:15:56.953 --> 00:15:59.314]  It was kind of a weak load that didn't fully
[00:16:00.239 --> 00:16:01.220]  Detonate all the powder?
[00:16:01.720 --> 00:16:02.741]  That's what happened there.
[00:16:03.421 --> 00:16:12.428]  But they're organizing rapidly and getting total martial law set up and everything, and the lockdown was a drill for that, for the big event.
[00:16:12.588 --> 00:16:16.331]  And we better start talking about that and getting ready, because they're not going to give up, I guarantee you.
[00:16:16.932 --> 00:16:20.014]  The Attorney General's got car bombs loaded up right now, truck bombs loaded up.
[00:16:20.755 --> 00:16:22.376]  All right, ladies and gentlemen, welcome back.
[00:16:22.436 --> 00:16:26.079]  This is the Alex Jones Show, and I want to be completely clear again.
[00:16:27.844 --> 00:16:41.734]  The globalists have been massively preparing the minds of the public for huge false flag terror attacks to be blamed on their political opposition.
[00:16:42.295 --> 00:16:46.598]  There is basically no white supremacist violence or attacks in the United States.
[00:16:47.419 --> 00:16:49.100]  It's incredibly rare.
[00:16:50.649 --> 00:17:03.296]  But the head of the FBI, the head of the Justice Department, are all over TV, all over Congress, saying it is just incredibly deadly, and it's imminent, and everyone's gonna be dying.
[00:17:04.896 --> 00:17:06.557]  I'll play some of those clips coming up next segment.
[00:17:08.138 --> 00:17:12.060]  So that when it happens, everybody's got their talking points, and they're ready, and they're lined up.
[00:17:12.580 --> 00:17:17.203]  And with it comes extrajudicial gun confiscation, which is gonna kick off real resistance.
[00:17:18.757 --> 00:17:20.498]  And listen, I don't want a civil war.
[00:17:20.538 --> 00:17:21.739]  I'm not going to be involved in this.
[00:17:22.279 --> 00:17:24.320]  I'm not enemies with anybody at the FBI.
[00:17:25.240 --> 00:17:32.484]  If I was in federal law enforcement, I would be the last person that would want to be in the middle of a civil war with the American people.
[00:17:33.484 --> 00:17:38.127]  This is so stupid how the globalists are playing everybody off against each other.
[00:17:39.526 --> 00:17:49.222]  But that's what's happening and they haven't just arrested one of our crew members that did go into the Capitol and was peaceful as a journalist and recorded what was happening.
[00:17:51.001 --> 00:17:55.385]  They have pulled in other people that work here and have interrogated them.
[00:17:55.425 --> 00:17:59.268]  They've asked me, my crew has, not to get into the names of who that was done to.
[00:17:59.928 --> 00:18:03.191]  But it's all about me and it's all about are we planning this and that.
[00:18:03.571 --> 00:18:05.713]  So this is going on everywhere.
[00:18:06.374 --> 00:18:08.656]  They're not asking us what we did on January 6th.
[00:18:08.696 --> 00:18:12.319]  They know we tried to stop what federal agents did, provocateuring the crowd.
[00:18:13.783 --> 00:18:15.884]  They, by the way, did a pretty good job, but it fizzled out.
[00:18:16.584 --> 00:18:22.326]  So, you know, at first they were winning, but then the best laid plans of mice and men often go astray.
[00:18:24.306 --> 00:18:39.331]  They're wanting to know about what we're planning and what we're going to do because we're being framed and set up for a massive false flag where the truck bomb gets detonated or somebody shoots up the church, the black church, and then they did it for Alex Jones.
[00:18:39.351 --> 00:18:40.471]  They did it for Donald Trump.
[00:18:41.291 --> 00:18:42.712]  They did it because they were mad about
[00:18:44.258 --> 00:18:58.228]  Forced inoculation, whatever the case is, you can see it, and you turn on the TV, the plots of the cop shows and the movies, the state of Jones, it's just everywhere.
[00:18:58.548 --> 00:19:02.411]  I can't turn television on, and it's evil white people are killing black people.
[00:19:03.592 --> 00:19:08.656]  To create this guilt, and then the media goes, well, we represent the black people, so do what the government says.
[00:19:10.339 --> 00:19:12.920]  It's a very, very simple equation.
[00:19:12.961 --> 00:19:19.884]  In fact, I saw a meme I'm going to send to the crew of Big Fat Cat Corporation sitting on top of the Capitol.
[00:19:20.204 --> 00:19:21.705]  The big fat cat's like a pig.
[00:19:22.185 --> 00:19:29.710]  He's got his big top hat on and the left's like, you fascist, you know, rich billionaire, I'm going to get you.
[00:19:30.050 --> 00:19:37.014]  And now the left's all hugging him because he's put a rainbow flag out in front of the Capitol and has a rainbow flag on his hat.
[00:19:37.114 --> 00:19:39.115]  I mean, that's all that is, is
[00:19:40.331 --> 00:19:43.353]  Again, big corporations hiding behind, oh, we're gay, we're rainbow.
[00:19:43.373 --> 00:19:47.115]  And you can't criticize gay.
[00:19:48.256 --> 00:19:50.197]  So they need a takeover.
[00:19:51.378 --> 00:19:52.899]  And this is the most important point I'm going to make here.
[00:19:54.200 --> 00:19:56.821]  They know it's coming out about the massive concerted election fraud.
[00:19:56.841 --> 00:20:00.363]  They know states are passing laws under the Constitution to block further fraud.
[00:20:01.584 --> 00:20:02.825]  They know Biden's falling apart.
[00:20:02.845 --> 00:20:04.166]  They know Kamala is falling apart.
[00:20:05.046 --> 00:20:06.727]  They know that all their agenda is in trouble.
[00:20:06.787 --> 00:20:09.289]  They know that the truth is coming out about the deep state.
[00:20:10.343 --> 00:20:14.724]  Under Obama and others command, launching the attack out of Wuhan.
[00:20:15.505 --> 00:20:17.525]  So they know this is all going on.
[00:20:20.446 --> 00:20:23.947]  And they know that it's all coming out.
[00:20:25.468 --> 00:20:35.111]  And so they desperately need a big victory to cast everyone in America
[00:20:36.431 --> 00:20:36.871]  As evil.
[00:20:37.152 --> 00:20:38.092]  All whites are evil.
[00:20:38.813 --> 00:20:40.094]  All capitalism is evil.
[00:20:40.815 --> 00:20:42.456]  America itself existing is bad.
[00:20:42.496 --> 00:20:52.384]  That's taught in the military now, officially, as a litmus test to identify who says no to it and fire them, whether they're the head of Space Force or whether they're a captain in the Army.
[00:20:53.244 --> 00:20:53.845]  It doesn't matter.
[00:20:54.505 --> 00:21:04.953]  So these are classical things authoritarian regimes do, and if there's a checklist of 1 to 100, they're getting down to about checklist number 90.
[00:21:06.499 --> 00:21:22.747]  And the last 10 things or so they do lead us not into a tyranny, because we're already in a tyranny, with censorship, surveillance, control, harassment, peaceful people that just were waved in by police, held in solitary confinement, their eyeballs knocked out because they're white.
[00:21:22.767 --> 00:21:25.849]  I mean, we're already in a tyranny.
[00:21:27.554 --> 00:21:38.632]  But you see, it's about to get white hot, ladies and gentlemen, and they're going to try to legitimize their takeover, their cultural takeover, and commit massive false flag terror attacks.
[00:21:40.145 --> 00:21:43.909]  That make Oklahoma City and Waco look tame in comparison.
[00:21:44.509 --> 00:21:53.418]  Because Waco, as the Feds went in to start a fight and start a shootout and then got their ass kicked, so came back with the Army and had the Army burn everybody up and blow everybody up inside with the Delta Force.
[00:21:54.139 --> 00:21:56.962]  And then, I mean, the ATF couldn't even kill those people themselves.
[00:21:57.002 --> 00:21:57.702]  I mean, what a joke.
[00:21:59.444 --> 00:22:04.029]  And so, that's what they're going to do.
[00:22:06.598 --> 00:22:11.140]  That's how Hitler got into power, was they firebombed the Capitol building.
[00:22:11.460 --> 00:22:13.781]  He had already been elected president, but he wasn't chancellor.
[00:22:14.481 --> 00:22:17.943]  And Hindenburg was about to die, February 27th, 1933.
[00:22:19.703 --> 00:22:21.144]  And so they firebombed the building.
[00:22:22.064 --> 00:22:25.246]  They found a autistic, mentally retarded man, Marinus van der Lubbe.
[00:22:26.106 --> 00:22:28.487]  And they had a show trial for him and executed him very, very quickly.
[00:22:28.507 --> 00:22:29.287]  And the rest is history.
[00:22:32.489 --> 00:22:33.269]  You know how the Nazis
[00:22:35.250 --> 00:22:35.690]  We're good to go.
[00:22:47.386 --> 00:22:55.235]  They attacked their own radio station and even dressed up some concentration camp workers like German and Polish soldiers so it'd look real.
[00:22:55.796 --> 00:22:56.637]  They didn't use mannequins.
[00:22:56.677 --> 00:22:57.498]  They shot them up.
[00:22:58.319 --> 00:22:59.320]  Shot newsreels of it.
[00:23:00.121 --> 00:23:05.548]  And that's how World War II really went into high gear with the invasion of Poland.
[00:23:07.068 --> 00:23:09.128]  So this stuff's done over and over again.
[00:23:09.208 --> 00:23:11.249]  I know the names of the feds that planted the bombs.
[00:23:11.329 --> 00:23:12.509]  I know the witnesses that saw it.
[00:23:12.569 --> 00:23:14.029]  I know the cops that got killed.
[00:23:14.049 --> 00:23:15.690]  I've interviewed their wives, their daughters.
[00:23:16.190 --> 00:23:18.150]  I've interviewed Don Browning, the head of the K-9 unit.
[00:23:19.471 --> 00:23:20.571]  He listed the FBI agents.
[00:23:20.591 --> 00:23:22.251]  He was the second cop to get to Oklahoma City.
[00:23:22.851 --> 00:23:25.272]  Like five minutes after it happened, Terence Yankee got there right away.
[00:23:25.992 --> 00:23:31.213]  And the feds came into his office and they said, we're going to kill you if you keep telling people there were bombs in that building.
[00:23:32.697 --> 00:23:42.086]  And he needed to shut up, so the next day he came back a month later, he named them on my show, Marine Corps Veteran of Vietnam, and he named the FBI guys, and they came back in and they said, we're going to kill your wife too.
[00:23:43.327 --> 00:23:46.671]  So, he needed to shut up by the way, he said, you better get out of my office.
[00:23:46.711 --> 00:23:53.137]  But, I mean, America's got to stop being intimidated by this, and stop being so scared.
[00:23:54.658 --> 00:23:56.000]  People better start being scared of God.
[00:23:58.447 --> 00:24:02.249]  The last thing I want is any type of violence, okay?
[00:24:02.269 --> 00:24:03.009]  That's what they want.
[00:24:04.450 --> 00:24:13.675]  But we have a compromised criminal government at the top, totally run by foreign banks that have sold the country out, who want to get rid of the nation itself and fold us into a world government.
[00:24:14.756 --> 00:24:22.520]  And so they are preparing false flags, they say the terror attacks are coming, they stand to gain, and they ran the January 6th operation.
[00:24:22.560 --> 00:24:27.623]  That's what we'll go to with Tucker Carlson next in this incredible revolver report that
[00:24:28.573 --> 00:24:36.779]  is at Revolver's website and obviously Tucker Carlson covered last night and we have the Revolver investigative journalist joining us coming up in the second hour.
[00:24:37.560 --> 00:24:39.822]  So you do not want to miss any of this today.
[00:24:39.862 --> 00:24:50.650]  This is going to go through the whole thing, name the names, all of it, straight ahead of exactly who they are and what they did and how they carried out the attack, how the FBI did it.
[00:24:52.230 --> 00:24:52.730]  Welcome back.
[00:25:07.176 --> 00:25:07.316]  I think?
[00:25:27.571 --> 00:25:27.951]  I don't think so.
[00:25:51.400 --> 00:25:59.147]  And so we have China on one side, NATO and the globalist system, and then Russia is to be taken down as well and absorbed into NATO.
[00:26:00.668 --> 00:26:04.451]  But any group that is sovereign and not part of the globalist system is to be gotten rid of.
[00:26:04.471 --> 00:26:09.715]  So that's why you see this project of demonizing America, demonizing veterans, demonizing gun owners.
[00:26:11.137 --> 00:26:11.837]  It's outrageous.
[00:26:11.897 --> 00:26:13.659]  It says the country's evil and shouldn't exist.
[00:26:13.819 --> 00:26:18.523]  They're the bad guys that run the Justice Department and that run the FBI now are just hideously evil.
[00:26:20.675 --> 00:26:28.541]  And we have a nation of yes-men that just have gone along with this and so now they are prepping everyone for massive terror attacks.
[00:26:29.541 --> 00:26:33.004]  They are preparing the public for that and
[00:26:34.349 --> 00:26:35.650]  They are going to go ahead with it.
[00:26:36.291 --> 00:26:42.917]  Clearly, it's their only move, or they're going to be exposed for the election fraud, and their system's going to come hurtling down.
[00:26:43.277 --> 00:26:45.139]  So this country is in a crisis.
[00:26:45.739 --> 00:26:46.700]  It's on its last legs.
[00:26:48.041 --> 00:26:49.522]  And I'm very, very sad for this nation.
[00:26:49.923 --> 00:26:54.147]  You know, I'll tell you, if the globalists weren't pedophiles and devil worshippers, I would just leave the country.
[00:26:55.027 --> 00:26:57.228]  Uh, if they were just corrupt and looting it for fun.
[00:26:57.748 --> 00:26:59.168]  Uh, I have to stand against them.
[00:26:59.228 --> 00:27:00.248]  I have to not back down.
[00:27:00.288 --> 00:27:01.288]  I will not evacuate.
[00:27:01.368 --> 00:27:07.970]  I've made the strong decision that I'm going to go all the way against them and just turn loose everything I've got in information warfare and truth and prayer.
[00:27:08.630 --> 00:27:10.850]  Uh, because I will not be a coward in front of God.
[00:27:11.470 --> 00:27:17.732]  But I will tell you something, all the fools that are going along with this, you're destroying yourself in the process, but I know you can't help it.
[00:27:18.132 --> 00:27:19.932]  It's why you're evil because you're weak.
[00:27:20.572 --> 00:27:20.892]  I get it.
[00:27:21.652 --> 00:27:23.973]  And so this is the good old fashioned good versus evil.
[00:27:24.773 --> 00:27:29.896]  And everybody that's going to try to sit on the fence, you're going to find out that's the worst place to be.
[00:27:29.977 --> 00:27:36.181]  So I commit myself into God's hands, and all of you should be doing that as well, because this country is in deep trouble.
[00:27:36.481 --> 00:27:37.461]  We've got terminal cancer.
[00:27:38.522 --> 00:27:44.706]  And we can come out of the ashes if we had a revival, but I don't see that happening anytime soon.
[00:27:44.766 --> 00:27:48.549]  So, human-animal cloning, just total nightmares everywhere.
[00:27:48.569 --> 00:27:51.711]  The stuff coming out now in the schools, I can't even believe it.
[00:27:53.097 --> 00:27:57.347]  Where they are bullying children to saying they're another gender and then taking the children away from the parents.
[00:27:58.088 --> 00:28:00.534]  All over the country, I mean, we are just entering hell.
[00:28:01.216 --> 00:28:01.977]  We are entering hell.
[00:28:03.578 --> 00:28:17.764]  So the first part, Tucker Carlson gets into how they're trying to create racial division, how they're covering up black-on-white crime, and then he gets into why that happened, and then he fingers the FBI with the documents for actually leading the attack on January 6th, which they did.
[00:28:17.844 --> 00:28:30.149]  Special units, controlled by the deep state, the same ones that did Oklahoma City, literally, the same ones that illegally spied on Trump, that criminal group, working with intelligence agencies as cue around the operation.
[00:28:30.329 --> 00:28:30.629]  Here it is.
[00:28:31.531 --> 00:28:37.876]  This weekend, police in Columbus, Georgia arrested a 35-year-old man called Justin Tyren Roberts.
[00:28:38.497 --> 00:28:43.461]  Over the course of a single day, Roberts shot five separate people in two different states.
