[00:00:01.348 --> 00:00:02.509]  The corrupt U.S.
[00:04:33.169 --> 00:04:34.050]  That's all we should care about.
[00:04:34.070 --> 00:04:35.790]  Tucker Carlson is doing God's work.
[00:04:35.990 --> 00:04:36.610]  Absolutely.
[00:04:36.630 --> 00:04:38.611]  We're turning our lives over to it.
[00:04:39.451 --> 00:04:40.871]  We're giving it the power.
[00:04:41.431 --> 00:04:45.512]  See the full report at man.video and on X at Real Alex Jones.
[00:04:45.572 --> 00:04:48.713]  Artificial intelligence and the grim future of a divided humanity.
[00:04:49.173 --> 00:04:50.954]  That's the topic of today's broadcast.
[00:04:50.994 --> 00:04:51.634]  Please stay with us.
[00:05:00.819 --> 00:05:02.300]  Ladies and gentlemen, it is back.
[00:05:02.500 --> 00:05:10.025]  Vitamin Mineral Fusion, the platinum standard of advanced multivitamin formulas, has returned to InfoWarsStore.com.
[00:05:10.105 --> 00:05:18.731]  After being out of stock for months, there's no better time to make sure that you're boosting your natural systems and getting your essential vitamins and minerals and nutrients than with Vitamin Mineral Fusion.
[00:05:19.071 --> 00:05:20.372]  We don't live in a perfect world.
[00:05:20.412 --> 00:05:22.872]  Our diets no longer contain everything that we need.
[00:05:23.213 --> 00:05:31.275]  So instead of spending huge amounts of money and time trying to make up for the lack of nutrition in your diet, just get Vitamin Mineral Fusion and you're good to go.
[00:05:31.355 --> 00:05:32.576]  InfoWarsStore.com.
[00:05:32.636 --> 00:05:33.596]  Vitamin Mineral Fusion.
[00:05:33.856 --> 00:05:34.677]  It's back in stock.
[00:05:34.837 --> 00:05:35.857]  It will sell out quickly.
[00:05:35.877 --> 00:05:37.258]  It's one of our most popular products.
[00:05:37.538 --> 00:05:40.179]  So make sure you go now to InfoWarsStore.com.
[00:05:40.479 --> 00:05:41.099]  It's good for you.
[00:05:41.179 --> 00:05:42.179]  It's good for the whole family.
[00:05:42.600 --> 00:05:45.761]  Vitamins A, B, C, D, B12.
[00:05:46.982 --> 00:05:51.129]  Calcium, Magnesium, Zinc, Selenium, L-Glutamine, the list goes on.
[00:05:51.149 --> 00:05:52.651]  I don't even have time to list everything in here.
[00:05:52.671 --> 00:05:56.618]  So go to InfoWarsTore.com and find out what Vitamin Mineral Fusion can do for you.
[00:06:10.778 --> 00:06:14.681]  If you are receiving this transmission, you are the resistance.
[00:06:15.161 --> 00:06:17.523]  You're listening to Alex Jones.
[00:06:20.985 --> 00:06:24.468]  Ladies and gentlemen, it is Tuesday, April 23rd, 2024.
[00:06:24.508 --> 00:06:27.390]  I am your host, Alex Jones.
[00:06:27.410 --> 00:06:32.814]  We're going to be live here for the next four hours ahead of Owen Schroer, 3 p.m.
[00:06:32.834 --> 00:06:33.074]  Central.
[00:06:33.134 --> 00:06:36.036]  It's 195 days, 12 hours, 33 minutes, 34 seconds.
[00:06:36.636 --> 00:06:38.718]  The most important election in world history.
[00:06:39.418 --> 00:06:46.701]  All right, some of the great radio stations we have do not carry the first five minutes of the broadcast, but we still do it while they carry local news.
[00:06:47.261 --> 00:06:57.526]  And if you tune into that, you saw part of an incredibly important report by Greg Reese that's at Band.Video right now on AI and the takeover of humanity.
[00:06:57.566 --> 00:07:02.468]  And we're also reposting it as we speak at RealAlexJones on X.
[00:07:03.769 --> 00:07:08.711]  Now, I really do want to talk about AI and what I've been talking about for years.
[00:07:08.851 --> 00:07:23.955]  And then we have Tom Renz with some really big poison vaccine, poison mRNA shot news concerning who inside the Trump camp is one of the main people still pushing all this garbage and a key weak link in Trump.
[00:07:24.056 --> 00:07:26.016]  And so we're going to do a deep dive on that.
[00:07:26.176 --> 00:07:28.457]  But putting that back on screen, there is Greg Reese's report.
[00:07:29.983 --> 00:07:32.924]  Artificial intelligence and the grim future of a divided humanity.
[00:07:32.944 --> 00:07:35.705]  It just went up in the last few hours.
[00:07:35.765 --> 00:07:37.606]  It needs to get millions of views.
[00:07:38.446 --> 00:07:47.770]  But Tucker Carlson, on Joe Rogan's last show last week, explained, why are we creating gain-of-function bioweapons that'll kill everybody?
[00:07:48.410 --> 00:07:50.791]  Why are we producing more hydrogen bombs?
[00:07:51.392 --> 00:07:54.173]  Why are we letting AI take over and acting like it's just some
[00:07:56.021 --> 00:07:58.522]  Storm blowing in that we can't stop or some virus.
[00:07:59.342 --> 00:08:13.366]  It is being directed by most of these companies and groups to predatorily manage and control humanity and monopolize and vertically integrate markets and end human competition as we know it that is extremely destructive to our species.
[00:08:13.946 --> 00:08:19.408]  But I was speaking of Joe Rogan having dinner like three years ago with Joe and a very prominent computer scientist.
[00:08:19.428 --> 00:08:20.108]  I'm not going to say who.
[00:08:20.988 --> 00:08:28.792]  From MIT, and we had a two and a half hour, you know, a deep discussion on AI and the future of robotics, computers, everything.
[00:08:29.372 --> 00:08:36.455]  And I said, what is currently the most powerful, and that was three years ago, AI system on Earth?
[00:08:37.775 --> 00:08:41.217]  And the engineer said, what?
[00:08:42.297 --> 00:08:45.339]  And I said, it's the red light camera systems.
[00:08:45.599 --> 00:08:47.620]  It's the synchronized light systems around the world.
[00:08:48.783 --> 00:08:53.666]  Because by my measure, the most powerful AI doesn't have to be a powerful program.
[00:08:55.407 --> 00:09:02.632]  The way AI is being rolled out, what they call AI, gets humans to basically follow its orders, and that's its power.
[00:09:02.932 --> 00:09:12.238]  And we voluntarily, most of the time, go along with the street lights because we believe it's a better system to stop traffic jams and be safer and move the traffic.
[00:09:16.403 --> 00:09:18.605]  And so it's not really artificially intelligent.
[00:09:19.165 --> 00:09:26.611]  Its intelligence is in its simplicity and the fact that we as a mass together buy into it.
[00:09:27.672 --> 00:09:29.193]  And so it is controlling us.
[00:09:30.214 --> 00:09:37.199]  Because we've made the decision to sync with those lights and to let it give us orders like it's our captain of a ship.
[00:09:39.040 --> 00:09:40.502]  And they thought that was pretty profound.
[00:09:42.443 --> 00:09:45.806]  But the larger point is, is that artificial intelligence
[00:09:47.742 --> 00:09:49.404]  Doesn't think a sunset is beautiful.
[00:09:49.964 --> 00:09:55.149]  Artificial intelligence doesn't have ancestors going back eons and eons that we are all part of.
[00:09:55.790 --> 00:09:59.954]  Artificial intelligence is not connecting to the higher dimensions.
[00:10:00.034 --> 00:10:05.339]  Artificial intelligence is not made up of colonies of billions of cells.
[00:10:06.320 --> 00:10:07.521]  Artificial intelligence
[00:10:09.318 --> 00:10:28.914]  Or an aware autonomous computer is simply something programmed to carry out a mission, and Tucker's analogy of a backhoe is not a god, it's not artificially intelligent, even if it's run by a robot, it just simply can dig a ditch a hundred times faster than a man.
[00:10:30.295 --> 00:10:31.616]  It can do the job of a hundred men.
[00:10:32.117 --> 00:10:38.522]  Okay, we choose to do that because it lets us build bigger and better things, but we don't worship the bulldozer
[00:10:40.051 --> 00:10:40.771]  Or the backhoe.
[00:10:42.612 --> 00:10:56.696]  But in the process of taking the Texas Instruments calculator that came out in the 70s, that was hundreds of dollars at the time, and decades later, the same calculator was $5, I was still in school when they made us do most of the math by pencil.
[00:10:57.596 --> 00:11:01.398]  And back then, I was not good at math, but I was, you know, I could pass the classes.
[00:11:02.018 --> 00:11:03.558]  Now, I try to remember how to do math.
[00:11:04.559 --> 00:11:07.059]  It's like an ancient, you know, thing I've forgotten.
[00:11:08.000 --> 00:11:09.040]  Because I use a calculator.
[00:11:10.268 --> 00:11:12.131]  And you say, well, are you a troglodyte?
[00:11:12.191 --> 00:11:12.892]  Are you against tools?
[00:11:13.032 --> 00:11:13.272]  No.
[00:11:13.793 --> 00:11:27.090]  But just because I can have my legs cut off and have robot treads put on, I don't get rid of my legs because I'm loyal to my humanity, and I want to walk, and it pumps blood through my body, and it makes me healthier, and I like it, and it's what I am.
[00:11:28.379 --> 00:11:41.123]  Even if they perfected all this AI 200 years from now and it could create utopias, we should still be loyal to our ancestors and loyal to what we are and our species and stand up as a species.
[00:11:41.163 --> 00:11:48.205]  But from day one, this entire globalist, transhumanist project, it goes back to Francis Galton 170 years ago.
[00:11:50.205 --> 00:12:06.880]  Has been about replacing humans and has been about the elite finding the fountain of youth and life extension and bringing in a type of neo-feudalism that is only a bridge to the anti-human, post-human world once we've been destroyed.
[00:12:06.980 --> 00:12:08.462]  And that is the official
[00:12:10.165 --> 00:12:23.494]  Doctrine of the Club of Rome, and the World Trade Organization, and the IMF, and the WEF, and you all know Harari, and Bill Gates, and Klaus Schwab, and all the rest of these people.
[00:12:26.657 --> 00:12:33.742]  They believe they are directing an accelerated evolution, I would call it a de-evolution, a devolving, on us.
[00:12:34.002 --> 00:12:39.265]  And we've got to have a larger debate and discussion about that.
[00:12:40.273 --> 00:12:46.234]  And we've got to stop always following the stimuli of the system.
[00:12:47.354 --> 00:12:50.995]  The social engineers tell us we're animals, we have no free will, but they have free will, they say.
[00:12:52.035 --> 00:12:55.536]  Well, if you don't hand your authority over to them, they don't have any power.
[00:12:55.956 --> 00:12:57.556]  And that's really the main message.
[00:12:57.576 --> 00:13:00.257]  So let's put on screen the live show headline from today.
[00:13:01.717 --> 00:13:03.497]  Because it's important.
[00:13:04.718 --> 00:13:05.338]  What I wrote there.
[00:13:05.738 --> 00:13:06.298]  It's very simple.
[00:13:07.574 --> 00:13:10.255]  Humanity is splitting into two distinct groups.
[00:13:10.916 --> 00:13:11.796]  The quickening is here.
[00:13:11.876 --> 00:13:12.777]  The wheat from the chaff.
[00:13:13.597 --> 00:13:14.578]  The pewter from the gold.
[00:13:15.979 --> 00:13:17.139]  The sheep from the goats.
[00:13:19.941 --> 00:13:22.002]  And there's always been really two groups of humans.
[00:13:23.423 --> 00:13:24.623]  But there's been a lot of people in the middle.
[00:13:24.703 --> 00:13:28.565]  But that dichotomy, that split is becoming more clear, more evident than ever.
[00:13:28.685 --> 00:13:30.286]  Tuesday, emergency broadcast.
[00:13:30.967 --> 00:13:33.248]  Humanity is splitting into two distinct groups.
[00:13:33.808 --> 00:13:36.850]  Learn the secrets of what's happening and what's coming.
[00:13:39.321 --> 00:13:59.458]  And so you see it, you see people that believe mainstream media and government lies, that are murderers of logic, that are completely ridiculous, that have no facts, no common sense, that don't care they're being lied to, that believe whatever new lie they're given, complete paradoxes, where there's no logic and things don't make sense, oxymoronic.
[00:14:01.240 --> 00:14:03.662]  But then you've also got people that don't believe the system,
[00:14:04.867 --> 00:14:23.055]  Who are even more delusional, and then just believe everything's wonderful, and basically Q2.0, where all the evil world leaders have been arrested, and have been killed, and there's actors and clones, and the Delta Force saved us.
[00:14:24.696 --> 00:14:32.279]  Meanwhile, hundreds of thousands are dying from fentanyl, massive human trafficking, the dollars being devalued, huge wars breaking out everywhere, 20 plus million dead from poison shots.
[00:14:34.295 --> 00:14:36.236]  We're entering a hellish dystopia.
[00:14:37.157 --> 00:14:43.462]  All the numbers are coming in on actual production and shipping is way down domestically and foreign.
[00:14:43.902 --> 00:14:46.204]  The economy is going into hell itself.
[00:14:48.225 --> 00:14:50.987]  Massive third world collapse from the years of lockdown.
[00:14:52.008 --> 00:14:54.570]  Huge surging illegal alien populations.
[00:14:54.690 --> 00:14:55.191]  Crime.
[00:14:55.711 --> 00:14:57.332]  Defunding of police by design.
[00:14:59.134 --> 00:15:00.134]  Mass mental illness.
[00:15:00.214 --> 00:15:01.515]  Life expectancy plunging.
[00:15:02.396 --> 00:15:03.437]  Birth rates plunging.
[00:15:06.038 --> 00:15:07.179]  Suicide exploding.
[00:15:08.059 --> 00:15:09.560]  Every form of cancer off the chart.
[00:15:10.180 --> 00:15:11.941]  I mean, all the real gauges.
[00:15:12.921 --> 00:15:24.066]  I mean, the Cube Movement's driving a car along, and all the lights are flashing red, and there's steam coming out of the radiator, and black smoke out of the engine, and then the car burst into flames, and they're saying, look!
[00:15:24.687 --> 00:15:25.647]  We're invincible!
[00:15:26.027 --> 00:15:27.708]  JFK Sr.
[00:15:27.848 --> 00:15:28.568]  is Cube!
[00:15:30.709 --> 00:15:31.970]  And the world is flat!
[00:15:38.032 --> 00:15:47.299]  And it's because you had a lot of gullible people that thought America was the best and everything was fine and we were doing great and they were in denial for decades and now they know they were lied to.
[00:15:47.779 --> 00:15:57.746]  They don't have any historical basis or deep research on the founding fathers or on the major wars or the different syndicates or the private central banks.
[00:15:58.426 --> 00:16:03.090]  And then it's easy just to make it like a fiction event where anything you make up that you want to believe
[00:16:04.838 --> 00:16:08.179]  It's put out there because people don't want to admit how much trouble they're in.
[00:16:10.680 --> 00:16:19.982]  And it's very, very sad and it's extremely, extremely dangerous to see what happens during a collapse and a societal betrayal and a broken social contract.
[00:16:20.302 --> 00:16:24.364]  People just don't jump out of buildings, like in the Great Depression by the tens of thousands.
[00:16:25.224 --> 00:16:29.185]  They commit the murder of their logic.
[00:16:31.187 --> 00:16:41.669]  And so the left says two men can have a baby, and pedophilia's okay, and Joe Biden's super sharp and wonderful, and there's no inflation, or inflation's good, they say both.
[00:16:42.609 --> 00:16:56.331]  And then on the other side of the crazy town, the world is flat, and Hillary Clinton was executed at Gitmo, and on, and on, and on, and on, and on.
[00:16:56.351 --> 00:16:58.672]  It is so dangerous.
[00:17:00.560 --> 00:17:07.786]  You've got the left brainwashed believing total idiocy and the transgenders out with the Hamas protesters that would cut their heads off in Gaza.
[00:17:11.228 --> 00:17:14.651]  Over with all the Q people and all the mental illness.
[00:17:15.888 --> 00:17:25.754]  You've got those that are taking on the great delusion, the Bible warns us of in the end times, that even the elect could be deceived because it was such a great delusion and God gives them over to it.
[00:17:26.074 --> 00:17:44.066]  So you've got people that are just totally in cuckoo world and they're getting worse by the day, worse by the minute over here, and then you've got people that are getting back to God, back to country, back to family, back to common sense, and studying how things really work and realizing what's happening.
[00:17:46.957 --> 00:18:07.667]  And there are powerful banking combines that were set up by very evil, very smart people hundreds of years ago that had this big technology project for total control that has delivered because humans are so smart and because they have the money they can buy up the technology they wanted and basically deploy it and set it up the way they wanted to.
[00:18:12.149 --> 00:18:14.270]  But the people that have inherited it
[00:18:15.290 --> 00:18:17.651]  And the people running it are the very worst of us.
[00:18:17.691 --> 00:18:20.672]  And some are black, some are white, some are brown, some are old, some are young.
[00:18:21.573 --> 00:18:27.556]  But you look at them and they are the most delusional of all.
[00:18:28.376 --> 00:18:38.281]  And that's why the normal checks and balances that would stop a nuclear war, or a gain of function release, or putting out a shot to depopulate people, and to think that they could then cover that up.
[00:18:39.611 --> 00:18:43.653]  Massage it as a test and then bring out something even worse and of course that's backfired on them.
[00:18:44.314 --> 00:19:04.625]  And so they have to go dig bunkers and get ready for the end of the world when they're the ones ushering in the end of the world because they're not thinking through the processes or they're delusional and believe their dystopic oppression of us and their manipulation of the public having us in fight will be enough to have us all fighting and killing each other while they run away with civilization.
[00:19:05.205 --> 00:19:06.126]  And that's not happening.
[00:19:06.146 --> 00:19:18.175]  They're destroying the very civilization that they live off of in the process of claiming they're going to build a breakaway civilization and remain immune from the evil and the corruption of their actions.
[00:19:19.996 --> 00:19:22.658]  They think they're going to escape justice.
[00:19:23.659 --> 00:19:25.280]  And they're not going to escape justice.
[00:19:27.290 --> 00:19:32.773]  If you think things are crazy now, and I've been saying this for a long, long, long, long, long time, they're about to get a lot crazier.
[00:19:33.193 --> 00:19:35.274]  So I've done a little preaching here at the beginning.
[00:19:35.594 --> 00:19:37.235]  Now, let me tell you what I got coming up today.
[00:19:37.395 --> 00:19:37.695]  All right?
[00:19:39.636 --> 00:19:41.517]  Obviously, we've got the show Trial of Trump.
[00:19:41.558 --> 00:19:44.119]  That's interesting, but we know he's innocent and it's all crap.
[00:19:44.519 --> 00:19:45.540]  So what's the point of covering?
[00:19:45.560 --> 00:19:46.980]  And I'll hit it some.
[00:19:48.721 --> 00:19:49.922]  But what's really important
[00:19:51.628 --> 00:20:04.020]  Is with one voice, whether you're in Brazil, or Australia, or New Zealand, or Germany, or the UK, or Canada, or the Democrats in America, they're all saying, arrest Elon Musk now.
[00:20:04.741 --> 00:20:05.602]  That's just overnight.
[00:20:06.783 --> 00:20:14.571]  Senators in Australia, Congress people in the US, because he won't take government orders
[00:20:15.919 --> 00:20:18.760]  To censor people that are putting things out that are illegal.
[00:20:19.000 --> 00:20:22.800]  And he won't take orders from Australia of what to do around the rest of the world.
[00:20:25.401 --> 00:20:36.723]  So you've got them, the EU coming after him criminally, you've got Brazil coming after him criminally, Australia, I've got clips of them saying it in English, we need to arrest him.
[00:20:36.743 --> 00:20:38.363]  I'll play it in a moment.
[00:20:39.003 --> 00:20:40.663]  A senator in Australia, we need to arrest him.
[00:20:40.984 --> 00:20:41.924]  He's got too much power.
[00:20:41.984 --> 00:20:43.084]  And the other side will say,
[00:20:45.592 --> 00:20:46.813]  Why do you support Elon Musk?
[00:20:47.514 --> 00:20:47.994]  He's evil.
[00:20:49.375 --> 00:20:53.899]  The globalists are coming after him, and they also said they want to shut down Rumble.
[00:20:55.560 --> 00:20:56.561]  Rumble's not perfect.
[00:20:57.822 --> 00:20:59.663]  They're about as good as it gets when it comes to freedom.
[00:21:01.485 --> 00:21:04.627]  But do I politically align with Rumble 100%?
[00:21:04.707 --> 00:21:06.449]  No, it's millions of people using it.
[00:21:06.489 --> 00:21:08.630]  It's diverse, but that's a great group.
[00:21:08.971 --> 00:21:09.791]  Same people are after them.
[00:21:11.670 --> 00:21:13.911]  They're after them for real, okay?
[00:21:13.951 --> 00:21:16.332]  I mean, this is real stuff Elon Musk is doing.
[00:21:16.372 --> 00:21:17.692]  I mean, putting me back on air?
[00:21:18.872 --> 00:21:21.093]  We're reaching... I hate to even say it, it's ridiculous.
[00:21:21.113 --> 00:21:22.633]  It just makes the enemy more upset.
[00:21:22.653 --> 00:21:26.935]  Kind of like being under the radar, but... 20 million extra people a day, conservatively.
[00:21:29.556 --> 00:21:33.557]  Oh yeah, the song goes, I'm back in the saddle again.
[00:21:33.777 --> 00:21:36.298]  I'm back, but we were never gone.
[00:21:36.698 --> 00:21:39.939]  But the issue is, don't look again towards the mouth.
[00:21:41.306 --> 00:21:45.290]  I mean, you know, I'll take what I can get.
[00:21:46.711 --> 00:22:02.385]  So, if you don't stand with Elon Musk, when they're trying to destroy Tesla, they're trying to destroy SpaceX, trying to take his funding away, they are suing him everywhere, the same law firms that sued me and rig courts are after him, and they rig them, folks.
[00:22:03.586 --> 00:22:05.988]  And all of this is going on
[00:22:07.861 --> 00:22:09.902]  And you're like, well, he's not perfect on this or that.
[00:22:10.122 --> 00:22:10.562]  I get it.
[00:22:10.702 --> 00:22:12.463]  The point is he's moved way over to us.
[00:22:13.283 --> 00:22:26.529]  It's a larger discussion of, OK, so you don't want any freedom on Rumble or on X. I mean, I don't own stock in Rumble.
[00:22:26.549 --> 00:22:27.390]  I don't.
[00:22:29.490 --> 00:22:36.774]  I support them just like I support Elon Musk, because those are the two biggest, safest places there are.
[00:22:37.748 --> 00:22:47.571]  And you've got Infowars, and you know, you've got Steve Bannon over there really knocking it out of the park, which is a lot of people, and you've got Tucker Carlson just devastating the enemy, and you've got Joe.
[00:22:48.651 --> 00:22:53.933]  Like I told you two years ago, three years ago, I said, wait for Joe to get real hardcore, because behind the scenes, he's hardcore.
[00:22:54.233 --> 00:23:00.575]  And he's awake now, but he likes to move in on them, kind of a jujitsu, slither up on you before you know what got you.
[00:23:01.515 --> 00:23:02.855]  And you see what I told you is true again.
[00:23:04.156 --> 00:23:04.316]  And so,
[00:23:05.899 --> 00:23:07.962]  This is a really crazy time to be alive.
[00:23:09.124 --> 00:23:10.586]  But I was just talking to Joe.
[00:23:10.986 --> 00:23:13.109]  He didn't say it was off record, but you know, he was just like, thank God.
[00:23:13.129 --> 00:23:14.291]  A few weeks ago, I was talking to him.
[00:23:15.192 --> 00:23:17.876]  He said, thank God for Elon Musk, because he takes all the heat for us.
[00:23:17.916 --> 00:23:18.436]  And that's true.
[00:23:19.451 --> 00:23:28.895]  I mean, now that they're moved on to trying to destroy him and Tucker Carlson, who are, I would say, bigger, obviously Elon Musk way bigger, and then Tucker Carlson does reach more people and I think is more eloquent in many ways.
[00:23:30.176 --> 00:23:32.496]  I'm not trying to size people up or I'm not in competition.
[00:23:32.957 --> 00:23:46.782]  I go to sleep at night feeling good that Joe Rogan's hardcore now and feeling really good that Elon Musk is doing what he's doing and feeling really good that Tucker is so real and so smart and so populist and can really communicate.
[00:23:48.311 --> 00:23:49.292]  I want to beat this thing.
[00:23:49.732 --> 00:23:51.373]  I don't want to be the big talk show host.
[00:23:51.954 --> 00:24:03.963]  But so many other talk show hosts, and I'm not going to name names, never promote other shows, never have other people on from other systems, because to them it's all about one thing, bottom line money.
[00:24:05.625 --> 00:24:13.551]  And that's why those same groups won't go half as far as a Tucker Carlson or an Alex Jones will go, because they're trying to play it safe.
[00:24:15.100 --> 00:24:18.922]  And in this evil globalist system, ladies and gentlemen, you cannot play it safe.
[00:24:19.002 --> 00:24:20.663]  Playing it safe is how we get destroyed.
[00:24:20.683 --> 00:24:23.325]  You've got to be all in against the globalists.
[00:24:25.686 --> 00:24:27.087]  Because they're all in against you.
[00:24:28.468 --> 00:24:31.810]  And you may not believe in the devil, but the devil believes in your ass and wants to destroy you.
[00:24:33.351 --> 00:24:34.232]  Kill, steal, and destroy.
[00:24:34.252 --> 00:24:37.033]  So we're going to play that clip when we come back in a few minutes.
[00:24:38.874 --> 00:24:42.277]  And then, I meant to get to this yesterday, but there's more comments today, so I'm glad I waited.
[00:24:42.577 --> 00:24:44.458]  Hillary Clinton saying Trump's going to be a dictator.
[00:24:47.219 --> 00:24:57.147]  It's like a fox seeing a toad in the farm and screaming, oh my god, the toad's going to eat the chickens.
[00:24:59.429 --> 00:25:00.210]  Unbelievable.
[00:25:00.250 --> 00:25:01.791]  We're going to get to that.
[00:25:01.811 --> 00:25:07.256]  We've got so much on all the different tyranny that's taking place.
[00:25:09.258 --> 00:25:10.579]  It's insane.
[00:25:11.539 --> 00:25:13.041]  Absolutely insane what's going on.
[00:25:15.069 --> 00:25:20.333]  Blocking colleges, attacking people, blocking Jews from going into these schools.
[00:25:21.874 --> 00:25:26.437]  You could be against Israel or what Israel's doing, but most of the Jews are liberals and against Israel.
[00:25:26.477 --> 00:25:27.318]  I mean, it doesn't matter.
[00:25:27.598 --> 00:25:29.079]  The point is demanding IDs.
[00:25:29.119 --> 00:25:30.000]  That sounds Jewish.
[00:25:30.040 --> 00:25:30.801]  You can't come to school.
[00:25:31.501 --> 00:25:36.965]  Columbia blocking the IDs of Jewish professors.
[00:25:37.425 --> 00:25:38.686]  They're not allowed to come into work.
