[00:00:00.287 --> 00:00:00.647]  Jump into it.
[00:01:44.036 --> 00:01:53.539]  I run a news site called revolver.news, which is reported extensively on January 6th, and you can also see me on X at Darren J. Beattie.
[00:01:53.819 --> 00:01:55.719]  And you're a Trump advisor and speechwriter.
[00:01:56.119 --> 00:01:56.359]  Yes.
[00:01:56.499 --> 00:02:03.141]  And a former professor, and you help quarterback a lot of the groundbreaking stuff that Tucker Carlson put up.
[00:02:03.462 --> 00:02:03.762]  Indeed.
[00:02:04.062 --> 00:02:04.962]  So I'll send you praises.
[00:02:05.002 --> 00:02:05.342]  Thank you.
[00:02:05.422 --> 00:02:10.164]  And we also have, coming in remote, live, Glenn Greenwald from your studio in Brazil.
[00:02:10.324 --> 00:02:11.204]  What's happening, Glenn?
[00:02:12.691 --> 00:02:17.195]  Hey everybody, Glenn Greenwald, I'm a journalist, I'm the host of System Update on Rumble.
[00:02:17.215 --> 00:02:23.400]  I had planned to be there in person, a little logistical problems intervened and I wish I could be, but I'm really looking forward to participating.
[00:02:23.761 --> 00:02:36.772]  And I just want to echo Alex, I think what Zero Hedge is doing is so important, organizing these kind of substantive, structured debates among people who obviously disagree pretty strongly on things and yet nonetheless can have what I hope will be a civil and spirited debate, what I expect
[00:02:36.992 --> 00:02:39.853]  It will be, so I'm really looking forward to it and I appreciate being asked.
[00:02:40.113 --> 00:02:47.936]  Yes, that is my job, is to make sure that it maintains civility, structure, organization, and that we don't talk over each other, that we end up listening to each other.
[00:02:47.956 --> 00:02:55.599]  The real value of humanity, one of the most powerful tools we have is communication, so I think tonight's going to be an exemplary example of that.
[00:02:55.979 --> 00:02:57.840]  Let's go, let's go, let's go for this.
[00:02:58.300 --> 00:03:05.662]  The first question I got for you guys, and this is really for the entire panel, and anyone that wants to start it off, maybe we can start with you Edson, just because you're on the end and we can move around, is January 6, 2021.
[00:03:07.902 --> 00:03:08.922]  Was it an insurrection?
[00:03:09.102 --> 00:03:11.143]  And before you answer, before you answer, I want to read this.
[00:03:11.363 --> 00:03:15.004]  This is actually what the, it's called 18 U.S.
[00:03:15.084 --> 00:03:17.664]  Code 2383, rebellion or insurrection.
[00:03:17.684 --> 00:03:18.785]  Yeah, let me do an overhead shot.
[00:03:19.005 --> 00:03:20.285]  This is right out of Cornell Law here.
[00:03:21.238 --> 00:03:21.578]  Excellent.
[00:03:21.658 --> 00:03:22.538]  Alright, I'm going to start reading this.
[00:03:22.558 --> 00:03:23.679]  This is according to the U.S.
[00:03:23.699 --> 00:03:23.779]  Code.
[00:03:23.799 --> 00:03:25.259]  It technically doesn't define insurrection.
[00:03:25.279 --> 00:03:26.239]  It's the code talking about
[00:03:47.523 --> 00:03:51.532]  But I guess what an insurrection is, of course they use the word insurrection in the actual code itself.
[00:03:51.872 --> 00:03:52.394]  But what do you think?
[00:03:52.414 --> 00:03:53.757]  Do you guys think it was an insurrection?
[00:03:54.258 --> 00:03:56.903]  So I personally believe it was an insurrection.
[00:03:58.516 --> 00:04:02.238]  And I base that on the fact that 20 court decisions called it an insurrection.
[00:04:02.679 --> 00:04:08.662]  And the fact that there was a bill passed in the Senate that called them a mob of insurrectionists.
[00:04:08.722 --> 00:04:12.224]  I think the bill passed, or it was in the House of Representatives, 406 to 21.
[00:04:12.324 --> 00:04:16.607]  That was a statute to award the police officers medals.
[00:04:17.227 --> 00:04:19.949]  And it referred to these individuals as insurrectionists.
[00:04:20.629 --> 00:04:24.792]  So, I mean, I think the term can be subjective.
[00:04:25.292 --> 00:04:26.113]  I think, you know,
[00:04:27.796 --> 00:04:37.908]  People can say nobody was charged with violating Section 2383 of Title 18, which is the insurrection and rebellion statute.
[00:04:38.729 --> 00:04:39.790]  And nobody was, right?
[00:04:40.151 --> 00:04:45.197]  But I don't think that defines whether the event was an insurrection.
[00:04:45.417 --> 00:04:46.598]  When I say insurrection,
[00:04:47.479 --> 00:04:51.201]  I don't mean everybody there was partaking in an insurrection.
[00:04:51.561 --> 00:04:52.741]  There were people who were peaceful.
[00:04:53.061 --> 00:04:58.563]  The people who walked into the Capitol and did nothing, I don't think that they were insurrectionists.
[00:04:59.564 --> 00:05:03.185]  I think they violated the law, but I don't think they were partaking in an insurrection.
[00:05:03.405 --> 00:05:06.746]  I do think the Proud Boys were partaking in an insurrection.
[00:05:07.127 --> 00:05:09.848]  I think you could say Donald Trump incited the insurrection.
[00:05:10.588 --> 00:05:10.908]  I do.
[00:05:12.489 --> 00:05:13.289]  Destiny, what do you think, man?
[00:05:14.780 --> 00:05:18.482]  I would say the plot from start to finish is quite obviously an insurrection.
[00:05:18.542 --> 00:05:27.828]  The only way to get around that is to either justify an insurrection, which is what most conservatives do, they don't realize it, or to deny that an insurrection could ever happen.
[00:05:28.088 --> 00:05:29.949]  Or, if you're not aware of all the facts of what happened.
[00:05:30.309 --> 00:05:35.232]  I think that Donald Trump and his cronies had a very coherent plan that they tried to enact from start to finish.
[00:05:35.652 --> 00:05:36.413]  We're good to go.
[00:05:56.570 --> 00:06:03.659]  And I want to make sure that we don't force this into like what they want to call a debate debate where you gotta be wait to be called on or anything.
[00:06:03.679 --> 00:06:06.682]  So if any of you guys, Glenn, you as well, man, if any of you guys want to jump in.
[00:06:06.903 --> 00:06:08.284]  Yeah, two of them just went.
[00:06:09.206 --> 00:06:11.008]  I want Glenn to go, but I just want to say something here.
[00:06:12.009 --> 00:06:12.490]  I was there.
[00:06:13.905 --> 00:06:14.145]  I don't know.
[00:06:32.646 --> 00:06:33.327]  We're good to go.
[00:06:53.448 --> 00:06:54.189]  We're good to go.
[00:07:20.345 --> 00:07:31.450]  Of people taking off their Antifa stuff and putting on the Trump garb and the police fake arresting people, attacking them and then high-fiving them.
[00:07:31.470 --> 00:07:35.312]  I mean, this has all come out in the new footage and it's all... Fake arresting them.
[00:07:35.532 --> 00:07:36.253]  How were they faking it?
[00:07:51.630 --> 00:07:54.092]  They now admit hundreds of federal officers were there.
[00:08:08.843 --> 00:08:12.027]  A few hundred people got manipulated into fighting the police.
[00:08:12.047 --> 00:08:14.950]  They were led and driven by provocateurs and other groups.
[00:08:15.251 --> 00:08:19.075]  They were others, then they opened the doors and the police waved them in in hundreds of videos.
[00:08:19.375 --> 00:08:24.802]  They walked through the velvet ropes and then they indict over a thousand people that just walked through velvet ropes.
[00:08:25.462 --> 00:08:31.265]  And then now we're told in the National Security Directive of President Biden, the number one threat is the American people.
[00:08:31.285 --> 00:08:38.610]  And he had a declaration of war yesterday against all Trump supporters and says to protect democracy, we're not going to let you vote for Trump.
[00:08:38.650 --> 00:08:41.171]  So as Stalin said, I care not who cast the votes.
[00:08:41.231 --> 00:08:42.051]  I care who counts them.
[00:08:42.352 --> 00:08:44.473]  Well, Biden doesn't care who cast the votes.
[00:08:44.493 --> 00:08:46.614]  He cares who's allowed on the ballot.
[00:08:46.634 --> 00:08:47.995]  So we've already won.
[00:08:48.015 --> 00:08:49.596]  No one's buying this.
[00:08:50.016 --> 00:08:51.557]  And when this happened three years ago,
[00:08:52.157 --> 00:08:56.943]  The Wall Street Journal had a printer retraction, but they said I was there as a coward telling people to attack.
[00:08:57.343 --> 00:09:02.089]  Well, no, they wouldn't let me put the video on Twitter before I was saying don't go in.
[00:09:02.429 --> 00:09:04.351]  But the truth is it's coming out.
[00:09:05.012 --> 00:09:07.435]  And so so that's the bottom line here.
[00:09:07.935 --> 00:09:09.437]  And this attempt by Biden to.
[00:09:10.578 --> 00:09:16.302]  Cast the American people as the enemy in all these movies about martial law and civil war and race war.
[00:09:16.343 --> 00:09:18.064]  That's their only hope.
[00:09:18.384 --> 00:09:26.951]  Because the corrupt, evil Democratic Party and its evil twin, the Republicans, they've lost power and populism is rising.
[00:09:26.971 --> 00:09:28.792]  Quite frankly, this was not an insurrection.
[00:09:28.812 --> 00:09:30.193]  It was an insurrection that would have been guns.
[00:09:30.633 --> 00:09:35.897]  And it's in the Declaration of Independence that it's our right and duty to get rid of a government that's destructive of
[00:09:36.678 --> 00:09:37.159]  What do you think?
[00:09:54.497 --> 00:09:55.417]  Carville admits it.
[00:09:55.698 --> 00:10:02.880]  They all admit this attempt, like we're in Venezuela or something, to take Trump off the ballot when he's never been convicted of insurrection.
[00:10:03.081 --> 00:10:05.221]  This is a military tribunal U.S.
[00:10:05.281 --> 00:10:07.062]  code from the Civil War.
[00:10:07.422 --> 00:10:14.925]  If a military tribunal found you were guilty of being involved in insurrection, that meant after the war ended... Can I ask you a question?
[00:10:15.105 --> 00:10:16.726]  Alex, can I ask you a question?
[00:10:16.946 --> 00:10:17.106]  Yeah.
[00:10:17.546 --> 00:10:23.489]  So, do you think the Confederates during the Civil War were partaking in insurrection?
[00:10:25.520 --> 00:10:30.444]  I mean, in retrospect, because I wasn't alive then, I think the South got manipulated into that.
[00:10:30.904 --> 00:10:32.845]  I thought there was real issues from the North and South.
[00:10:32.865 --> 00:10:36.548]  The abolitionists, you know, had a good point, and slavery needed to end.
[00:10:37.148 --> 00:10:39.430]  But it was really about the North and South.
[00:10:39.490 --> 00:10:45.114]  So just to be clear, the person that's defending the J6 rioters won't say that the Confederate states were engaged in insurrection.
[00:10:45.134 --> 00:10:47.676]  No, that's not what I... See, here's what happens.
[00:10:47.816 --> 00:10:48.697]  I don't... Hold on, hold on.
[00:10:48.717 --> 00:10:49.237]  That's not true.
[00:10:52.199 --> 00:10:52.980]  That's what it sounded like you said.
[00:10:53.000 --> 00:10:53.660]  Well, you can correct the record.
[00:10:53.680 --> 00:10:55.021]  So do you think they were engaged in an insurrection?
[00:10:55.061 --> 00:10:56.122]  No, I was trying to talk.
[00:10:57.122 --> 00:10:59.504]  And the thing I said was, I think the South was wrong.
[00:10:59.844 --> 00:11:01.305]  And then you just said...
[00:11:02.580 --> 00:11:05.801]  You just said that I support what the South did.
[00:11:05.881 --> 00:11:05.961]  No.
[00:11:05.981 --> 00:11:06.881]  I didn't say you supported that.
[00:11:06.921 --> 00:11:08.882]  I said that you said that they weren't engaged in insurrection.
[00:11:08.902 --> 00:11:10.562]  Do you think the Confederate States were engaged in insurrection?
[00:11:10.582 --> 00:11:26.226]  The Insurrection Act was that because there were rebellions during Reconstruction at the end of the Civil War, and they were saying if you lead an uprising against the Northern Occupation of the South, you're precluded from running from office because they were worried about Southerners getting office again, like Jefferson.
[00:11:27.066 --> 00:11:31.989]  No, so no, I do not support the Civil War or slavery and I'm not a quote confederate.
[00:11:32.009 --> 00:11:34.150]  My question is was it an insurrection, yes or no?
[00:11:39.969 --> 00:11:44.011]  The law, yes, I think that it was a civil war and you can say an insurrection.
[00:11:44.051 --> 00:11:45.231]  Okay, so it was an insurrection.
[00:11:45.492 --> 00:11:48.373]  Did anybody get charged with insurrection and rebellion?
[00:11:48.653 --> 00:11:50.414]  What I'm saying is... Violating the statute.
[00:11:50.554 --> 00:11:51.334]  You're not listening.
[00:11:51.374 --> 00:11:53.015]  No, I'm asking, you just said it was an insurrection.
[00:11:53.035 --> 00:11:57.037]  Did anybody get charged with violating the insurrection and rebellion statute?
[00:11:57.711 --> 00:11:58.291]  Yes, people did.
[00:11:58.492 --> 00:12:00.413]  No, because there was no statute there.
[00:12:00.593 --> 00:12:01.314]  That's my point.
[00:12:03.275 --> 00:12:12.483]  You don't need to violate that statute in order to be partaking in an insurrection because the Civil War was an insurrection and nobody got charged with violating that.
[00:12:12.523 --> 00:12:13.483]  No, that's what I'm saying.
[00:12:13.504 --> 00:12:15.465]  That's my point, Alex.
[00:12:15.485 --> 00:12:17.607]  You're changing the subject because you know it's correct.
[00:12:17.927 --> 00:12:25.890]  Democratic Party lawyers on CNN say you have to be convicted under the 14th Amendment of this before you can be.
[00:12:25.910 --> 00:12:30.772]  You can't, you can't just because... You don't get convicted under the 14th Amendment.
[00:12:30.792 --> 00:12:32.873]  You get convicted under Section 2383 of Title 18.
[00:12:32.913 --> 00:12:33.674]  Let's slow down a little.
[00:12:33.694 --> 00:12:34.374]  Let's slow down a little.
[00:12:34.514 --> 00:12:35.934]  He hasn't been indicted for that.
[00:12:53.119 --> 00:12:54.940]  He's the Yankee Yankee!
[00:12:55.160 --> 00:12:57.301]  He's not somebody in Georgia!
[00:12:57.561 --> 00:12:59.002]  He's not Robert E. Lee!
[00:12:59.202 --> 00:13:01.763]  This has nothing to do with it!
[00:13:01.843 --> 00:13:04.764]  On the 14th Amendment, it doesn't require a conviction under Section 3.
[00:13:04.804 --> 00:13:07.025]  You can literally put it on the text on the screen.
[00:13:07.285 --> 00:13:09.026]  It does not say it needs to be convicted.
[00:13:09.046 --> 00:13:10.847]  I guess we need to define the difference.
[00:13:10.947 --> 00:13:11.767]  Alex, Alex, Alex.
[00:13:12.107 --> 00:13:13.108]  One second, one second.
[00:13:13.128 --> 00:13:18.090]  We need to define the difference between the casual term insurrection and the legal definition of insurrection.
[00:13:18.170 --> 00:13:18.330]  Yes.
[00:13:18.530 --> 00:13:20.491]  Well, there's another thing we need to talk about.
[00:13:20.791 --> 00:13:28.075]  So, yes, there's the casual term, there's the etymology of the term insurrection, which simply suggests a rising up.
[00:13:28.595 --> 00:13:32.718]  So by that definition, that could encompass a wide range of things.
[00:13:33.618 --> 00:13:34.759]  Wait, wait, wait, wait.
[00:13:34.860 --> 00:13:36.662]  So there's a rising up.
[00:13:37.082 --> 00:13:45.292]  Then there's the legal definition, but we have politically weaponized court systems, so that's not even, I think, a proper standard.
[00:13:45.312 --> 00:13:51.339]  I think the proper standard is the sweep of a proper historical perspective.
[00:13:52.000 --> 00:14:00.390]  Does the event of January 6th compare to the antecedent that we've been discussing, the Civil War?
[00:14:00.770 --> 00:14:06.777]  So if the question is, oh, is Civil War an insurrection, my question is, is the scope
[00:14:07.057 --> 00:14:08.338]  It's a lie on it's face.
[00:14:08.358 --> 00:14:10.139]  They say it's bigger than Pearl Harbor and 9-11.
[00:14:32.970 --> 00:14:34.311]  Bullshit!
[00:14:34.331 --> 00:14:37.072]  So here, let me finish what my point is.
[00:14:37.152 --> 00:14:39.053]  Yeah, do that, and then I want to go to Glenn for a second after you do that.
[00:14:39.073 --> 00:14:40.793]  So my point is that, two things.
[00:14:41.314 --> 00:14:42.794]  The Civil War was an insurrection.
[00:14:42.974 --> 00:14:44.075]  I think it's hard to argue that.
[00:14:44.695 --> 00:14:50.177]  Nobody got charged with a crime of violating the Insurrection and Rebellion Statute, 2383.
[00:14:51.798 --> 00:14:54.440]  What about 1992, the L.A.
[00:14:54.500 --> 00:14:54.881]  riots?
[00:14:55.261 --> 00:14:59.424]  George Herbert Walker Bush, he invoked the Insurrection Act.
[00:15:00.726 --> 00:15:05.369]  12,000 people were arrested, 63 people were killed, hundreds were injured.
[00:15:05.630 --> 00:15:06.731]  Was that an insurrection?
[00:15:06.991 --> 00:15:08.432]  What do you guys think?
[00:15:08.472 --> 00:15:10.414]  It's a declaration of federal martial law.
[00:15:10.914 --> 00:15:12.095]  But was it an insurrection?
[00:15:12.115 --> 00:15:14.697]  Because nobody there was charged with violating...
[00:15:15.638 --> 00:15:20.563]  Nobody there was charged with violating Section 2383, the Insurrection and Rebellion Statute.
[00:15:20.743 --> 00:15:22.685]  But we still consider that an insurrection, right?
[00:15:22.725 --> 00:15:26.828]  I mean, by that yardstick, Kamala Harris bailing out people that firebombed federal buildings.
[00:15:26.869 --> 00:15:27.749]  That is not true.
[00:15:27.769 --> 00:15:28.430]  Glenn, talk to me.
[00:15:28.450 --> 00:15:29.231]  You have something to say.
[00:15:30.396 --> 00:15:34.158]  Yeah, I actually think what Destiny and what Ed are saying are very important.
[00:15:34.598 --> 00:15:42.743]  First of all, I was going to say that I think one of the problems with how these things are debated is that a lot of people these days have very binary prisms for understanding things.
[00:15:42.763 --> 00:15:46.085]  A lot of that comes from YouTube debate, where you have to declare yourself on one side or the other.
[00:15:46.105 --> 00:15:54.950]  So Destiny said, oh, everybody either hates this insurrection, thinks it's an insurrection, or they deny it happens, or they think it's good.
[00:15:55.130 --> 00:15:56.351]  And there's so much middle ground.
[00:15:56.751 --> 00:15:57.552]  Namely that, for me,
[00:15:58.272 --> 00:16:04.857]  This was a political protest that spilled over into a riot where a small minority of the people engaged in violence.
[00:16:05.277 --> 00:16:07.479]  I don't think we want to urge that to happen.
[00:16:07.519 --> 00:16:08.459]  We don't want to defend that.
[00:16:08.580 --> 00:16:09.960]  I consider that lamentable.
[00:16:10.481 --> 00:16:16.065]  But the fact that it's laughable to call this an insurrection is actually demonstrated by the examples that they're using.
[00:16:16.625 --> 00:16:21.368]  This was a three-hour riot that was extremely easily subdued.
[00:16:21.388 --> 00:16:26.891]  It doesn't remotely compare to any prior insurrections, let alone to the Civil War.
[00:16:27.351 --> 00:16:40.599]  The only people who were killed on January 6th were four people, all four of whom were Trump supporters, two of whom dropped dead of a heart attack and one from a speed overdose, because these were not exactly a well-trained militia.
[00:16:41.563 --> 00:16:50.851]  And when Jack Smith went to charge Donald Trump with multiple crimes, he had a lot of options to charge him with, and he charged him with a lot of crimes, including very dubious ones.
[00:16:51.271 --> 00:16:57.296]  He did not charge him with inciting an insurrection for reasons that I think we ought to ask ourselves why.
[00:16:57.336 --> 00:17:08.966]  But the fact that this is such a minor event in history is demonstrated by the fact that the media who needed this to be a major event immediately started lying about what happened, saying that Brian Sicknick,
[00:17:09.486 --> 00:17:10.147]  We're good to go.
[00:17:25.268 --> 00:17:31.592]  Supposedly perpetrating the insurrection, killed anybody, pulled out a gun, let alone discharged a weapon.
[00:17:31.672 --> 00:17:32.572]  All of which is true.
[00:17:32.732 --> 00:17:34.593]  It's a joke to call this an insurrection.
[00:17:34.653 --> 00:17:35.694]  At best, it's a riot.
[00:17:36.174 --> 00:17:39.856]  And that's the reason why Trump hasn't been charged with an insurrection.
[00:17:39.896 --> 00:17:47.181]  The only time he ever commented on January 6th about whether he thought there should be violence or not was when he said the following.
[00:17:47.221 --> 00:17:47.621]  He said,
[00:17:48.777 --> 00:17:55.559]  I know that everyone here will soon be marching over to the Capitol building to peacefully and patriotically make your voices heard.
[00:17:55.619 --> 00:17:58.640]  He urged them to be peaceful in how they went there.
[00:17:59.020 --> 00:18:05.502]  To the extent there was violence, I think you can make the argument that the FBI informants, that even the New York Times admits were there, were the ones that urged it.
[00:18:05.542 --> 00:18:10.303]  But even if the people who were there were the ones responsible, at best this is a riot.
[00:18:10.343 --> 00:18:12.484]  You could so easily make the case that the 2020 riots
[00:18:13.604 --> 00:18:17.169]  Where it's a far greater insurrectionary threat than anything that happened on January 6th.
[00:18:32.388 --> 00:18:37.451]  And then we marched down there to have another rally, and then I see this terrible thing happening.
[00:18:37.491 --> 00:18:38.231]  It was medieval.
[00:18:38.891 --> 00:18:43.274]  And then Biden's saying, they're all bad, and we can't let you vote for Trump.
[00:18:43.814 --> 00:18:45.675]  I mean, come on, man.
[00:18:45.695 --> 00:18:48.376]  We have a clip from Biden's speech I want to play.
[00:18:48.536 --> 00:18:49.937]  And then let's get back to you, Destiny.
[00:18:49.957 --> 00:18:50.597]  You had something to say.
[00:18:50.617 --> 00:18:54.179]  But if you guys have this, it's clip number four, Biden's speech.
[00:18:54.919 --> 00:18:55.740]  This is from yesterday.
[00:18:55.780 --> 00:18:57.981]  It's only 50 seconds, but let's load this up.
[00:18:59.101 --> 00:19:01.764]  Trump's mob wasn't a peaceful protest.
[00:19:02.364 --> 00:19:03.445]  It was a violent assault.
[00:19:04.686 --> 00:19:06.868]  They were insurrectionists, not patriots.
[00:19:08.189 --> 00:19:10.291]  They weren't there to uphold the Constitution.
[00:19:10.832 --> 00:19:12.914]  They were there to destroy the Constitution.
[00:19:15.216 --> 00:19:17.698]  Trump won't do what an American president must do.
[00:19:18.739 --> 00:19:21.681]  He refuses to denounce political violence.
[00:19:23.363 --> 00:19:24.203]  So hear me clearly.
[00:19:25.276 --> 00:19:26.577]  I'll say what Donald Trump won't.
[00:19:27.078 --> 00:19:31.201]  Political violence is never, ever acceptable in the United States.
[00:19:31.221 --> 00:19:33.944]  Never, never, never.
[00:19:34.044 --> 00:19:35.845]  It has no place in a democracy.
[00:19:36.106 --> 00:19:36.426]  None.
[00:19:37.467 --> 00:19:43.412]  You can't be pro-insurrectionist and pro-American.
[00:19:44.853 --> 00:19:48.597]  Trump and his MAGA supporters not only embrace political violence, but they laugh about it.
[00:19:49.411 --> 00:19:50.732]  The insurrection is the open border.
[00:19:51.072 --> 00:19:55.115]  So the insurrection was not just the three-hour riot that happened at the White House afterwards.
[00:19:55.155 --> 00:19:57.596]  I think that's the least charitable reading of everything that happened.
[00:19:57.656 --> 00:20:07.642]  And that's not, if you read any of the charges that either Jack Smith or the Georgia-Rico case has alleged against Trump, are saying that, in fact, not much of the focus is on the three-hour riot at all.
[00:20:07.762 --> 00:20:08.223]  Hold on, Alex.
[00:20:08.243 --> 00:20:09.463]  Let Stephen finish his thought first.
[00:20:12.345 --> 00:20:15.427]  Not much of those indictments are actually focusing on the three hour riot itself.
[00:20:15.507 --> 00:20:30.858]  The unprecedented act that there is no answer for that Kamala Harris or Joe Biden or Hillary Clinton have not engaged in is using knowingly false election claims for months to try to pressure state electors to change their vote and then when they wouldn't do that
[00:20:31.118 --> 00:20:32.239]  I can explain that if you want.
[00:20:32.259 --> 00:20:32.619]  Yeah, please do.
[00:20:56.393 --> 00:21:06.580]  Yeah, so in 1960, JFK and Nixon, there was a dispute because there was a recount.
[00:21:07.141 --> 00:21:09.862]  I think JFK ended up winning by like 150 votes.
[00:21:10.383 --> 00:21:17.207]  At the time, each state decided, or the state decided to certify two sets of electors.
[00:21:17.387 --> 00:21:21.090]  Decided to choose two different slates of electors.
[00:21:21.430 --> 00:21:22.211]  Depending on how it went.
[00:21:23.311 --> 00:21:25.592]  But they were certified by the states.
[00:21:25.652 --> 00:21:26.833]  They were in the middle of a recount.
[00:21:26.853 --> 00:21:28.894]  Well Trump tried to get us certified.
[00:21:28.914 --> 00:21:29.915]  None of us were certified yet.
[00:21:29.955 --> 00:21:44.241]  What happened with Trump was that Trump tried to get the states to certify a second slate of electors based off of conspiracy theory crap that Electrumistola...
[00:21:46.088 --> 00:21:46.529]  They did.
[00:21:46.609 --> 00:21:47.669]  He took it to court.
[00:21:47.689 --> 00:21:48.750]  62 cases.
[00:21:49.391 --> 00:21:51.593]  30 cases were looked at on merit.
[00:21:51.873 --> 00:21:55.015]  So are they taking him off the ballot now?
[00:21:55.055 --> 00:22:01.841]  That's a separate... Is the not purest form of election theft is taking someone off the ballot?
[00:22:02.041 --> 00:22:03.382]  Alex, let's get back to the 1960s.
[00:22:06.303 --> 00:22:18.595]  What happened was that they did a recount, and Kennedy ended up winning by, I think, 150 votes, and they chose the Kennedy electors, they certified the Kennedy electors, and Kennedy ended up winning that state.
[00:22:18.615 --> 00:22:19.976]  That's what Trump said!
[00:22:20.076 --> 00:22:25.262]  What Trump did was Trump tried to get the states to certify an alternate slate of electors.
[00:22:26.089 --> 00:22:30.794]  They refused because the court said there's no no they're there.
[00:22:31.515 --> 00:22:45.630]  And then when that didn't go through, Trump decided you get his own slate of electors above the states that were not certified and tried to use that to force Mike Pence to say that Joe Biden didn't win these electoral votes.
[00:22:45.710 --> 00:22:46.251]  I just need to.
[00:22:47.232 --> 00:23:03.002]  If we want to be precise in terms of the scope of the debate, I think it's about January 6th, and so the lead up to it might be relevant to some of the criminal indictments, but it's technically speaking outside the scope of the January 6th discussion.
[00:23:03.062 --> 00:23:09.647]  If we're going to bring it into the discussion, I think there's an operative word there, knowingly.
[00:23:09.667 --> 00:23:15.231]  And that's operative within the context of the charging documents, but the idea that
[00:23:15.811 --> 00:23:23.816]  Trump thought that he lost the election and he was knowingly lying and knowingly engaging.
[00:23:24.156 --> 00:23:39.045]  No, he believes, I guarantee it, whether you believe it or not, Trump believes that the election was stolen and he was using the legal recourses available to him at the advice of his legal advisors.
[00:23:39.865 --> 00:23:41.167]  That is not true.
[00:23:41.568 --> 00:23:43.750]  Most of his legal advisors said that this idea was crazy.
[00:23:54.684 --> 00:23:55.264]  I'm asking a question.
[00:23:55.284 --> 00:23:57.666]  Why does the United States sanction countries that take people off the ballot?
[00:24:20.475 --> 00:24:22.536]  What, that's not even remotely relevant here.
[00:24:22.796 --> 00:24:23.757]  Oh, okay, alright.
[00:24:24.197 --> 00:24:28.020]  So you know what the United States would usually do?
[00:24:28.060 --> 00:24:30.221]  If we do want insurrection, you'd know it.
[00:24:30.321 --> 00:24:35.704]  It would probably be for things like circumventing the vote, like asking the Vice President, for instance, to unilaterally win the election.
[00:24:35.724 --> 00:24:37.185]  That would be something that we might sanction another country for.
[00:24:37.205 --> 00:24:38.126]  So you can't vote for somebody
