[00:00:00.169 --> 00:00:00.929]  How you doing Alex?
[00:02:49.118 --> 00:03:12.580]   It's Article 1, Section 10, Clause 3 of the United States Constitution, where a state can defend itself and its citizens to protect their safety from the imminent danger that we are facing, and from an invasion Of millions of people coming from across the globe into our country who are unaccompanied whatsoever.
[00:03:13.502 --> 00:03:21.387]   And I applaud and thank That the members, the governors, they're with us here today.
[00:03:21.827 --> 00:03:26.748]  We're here with our fellow governors today standing with you and many governors that are not.
[00:03:27.409 --> 00:03:30.410]  Because every state in our country now is a border state.
[00:03:31.130 --> 00:03:32.310]  Because of what we're having.
[00:03:32.450 --> 00:03:36.552]  You think about the fentanyl, the trafficking that's coming.
[00:03:36.832 --> 00:03:38.572]  They're coming to every state in the country.
[00:03:39.093 --> 00:03:40.593]  And every governor's out, you know.
[00:03:44.169 --> 00:03:50.293]  58 million lethal doses of fentanyls that have been detained at this border.
[00:03:50.874 --> 00:03:52.675]  Think about the doses that were not.
[00:03:53.115 --> 00:03:56.117]  Every governor's dealing with that.
[00:03:56.357 --> 00:03:57.838]  51 million dollars in cash.
[00:03:58.639 --> 00:04:05.243]  56,000 pounds of methamphetamine that every state in the country is having to deal with.
[00:04:05.904 --> 00:04:08.706]  This is ruining lives in our states.
[00:04:09.506 --> 00:04:10.927]  It's ruining our communities.
[00:04:11.427 --> 00:04:13.189]  It is taking a toll on our families.
[00:04:13.889 --> 00:04:16.970]  And it is time that something was done about this.
[00:04:17.710 --> 00:04:23.872]  And that is why we are standing here as governors, making sure that that gets done.
[00:04:24.233 --> 00:04:28.434]  Every state in the country is depending on John F. Biden acting.
[00:04:29.014 --> 00:04:32.795]  And if he does not, we will continue to do so.
[00:04:32.815 --> 00:04:35.476]  Mr. Newton, Governor Abbott, and what he is doing.
[00:04:36.357 --> 00:04:43.279]  Each one of us understands the devastating effects that the border policy is having on every one of our states individually.
[00:04:44.028 --> 00:04:54.275]  And we're here to get our tip to Iowa that we want to support Texas and to fight for the safety and security of people all across the country.
[00:04:54.496 --> 00:04:59.199]  This experiment in an open border policy has catastrophically failed America.
[00:05:00.900 --> 00:05:05.484]  This country is in desperate need of leadership as it relates to this issue.
[00:05:06.460 --> 00:05:17.369]  If somebody makes it across the border illegally, the President has the responsibility imposed by Congress to detain any illegal immigrants that come here.
[00:05:18.229 --> 00:05:32.741]  As opposed to detaining any illegal immigrants, Biden instead has let them all loose across the entire country with no ability to accurately determine their whereabouts or what they may be doing.
[00:05:33.968 --> 00:05:40.173]  Over the tenure of Joe Biden, we've had three Houstons cross the border illegally.
[00:05:41.173 --> 00:05:42.074]  All time records.
[00:05:43.015 --> 00:05:45.837]  And we see the dangers every single day.
[00:05:46.417 --> 00:05:51.801]  The governors here have repeatedly called on the Biden administration to step up and do their job.
[00:05:52.461 --> 00:05:59.927]  Most recently, in a joint letter, we asked for the names and identities of people that have crossed illegally into this country.
[00:06:01.431 --> 00:06:03.112]  That request was met with silence.
[00:06:04.072 --> 00:06:05.512]  The average American is at eight.
[00:06:06.573 --> 00:06:12.555]  The number one issue in the United States of America is the broken border and the illegal immigration that Joe Biden has created.
[00:06:13.095 --> 00:06:14.676]  We don't have time to wait until November.
[00:06:15.536 --> 00:06:17.717]  We got lives on the line every single day.
[00:06:18.337 --> 00:06:23.899]  Say that to the parents who have lost a child to deadly fentanyl.
[00:06:24.519 --> 00:06:26.660]  They're throwing a number across the country.
[00:06:27.443 --> 00:06:29.904]  There are lives at risk every single day.
[00:06:30.604 --> 00:06:39.666]  It's like every police officer in every city, in our great state, that understands that they have a daily duty to make sure that their communities are safe, regardless of when elections take place.
[00:06:40.187 --> 00:06:46.248]  We are 273 days, 12 hours, 53 minutes, 41 seconds out from the most important election in world history.
[00:06:47.148 --> 00:06:53.570]  I'm coming to you from deep in the heart of Texas, Austin, broadcasting worldwide, thanks to your support, your prayer, and your word of mouth.
[00:06:54.951 --> 00:06:56.091]  Alright, uh, look.
[00:06:59.110 --> 00:07:04.232]  They just released the quote bipartisan Senate bill that they claim they have the votes for to pass in the House and Senate.
[00:07:06.093 --> 00:07:07.393]  And I got up about 5 a.m.
[00:07:07.433 --> 00:07:08.354]  as I normally do today.
[00:07:08.374 --> 00:07:11.615]  A couple hours of research before my daughter and wife got up.
[00:07:13.616 --> 00:07:22.079]  And I saw the subsections of the bill that Jack Posobiec and others were posting and I went and read most of the thing this morning.
[00:07:23.019 --> 00:07:30.407]   It's a big bill but There are sections in this that even shocked Alex Jones, because I know they're a bunch of criminals.
[00:07:31.748 --> 00:07:40.636]  But it actually says that Biden has the power of a dictator, which shows they would never give this power to Trump.
[00:07:41.097 --> 00:07:42.818]  So they intend to steal the election in nine months.
[00:07:43.739 --> 00:07:56.523]   And it says, for any reason, Biden can declare an emergency and do whatever he wants on the border, including in cities around the country, and giving them unlimited money.
[00:07:57.224 --> 00:08:10.911]  And it gets worse, only the special court in DC, which they totally control, you see all the kangaroo action there, all the rigged show trials there, that that court has the jurisdiction.
[00:08:11.011 --> 00:08:13.653]  And I mean, I sat there and marked up the bill.
[00:08:16.144 --> 00:08:20.729]  There's got to be like 30 things in there that are just jaw-dropping.
[00:08:22.411 --> 00:08:24.333]  Jaw-dropping.
[00:08:25.735 --> 00:08:29.639]  The good news is they've been trying to spin this in the last month with different versions.
[00:08:31.441 --> 00:08:36.146]  And they do this thing where they won't show you the version and then they bring it out hours before they try to vote on it.
[00:08:36.166 --> 00:08:37.268]  They've been doing the same crap here.
[00:08:39.195 --> 00:08:44.719]  They try to spin it and say, oh, Trump says don't do the deal because he wants the crisis to continue so he gets elected.
[00:08:44.779 --> 00:08:44.999]  No.
[00:08:45.780 --> 00:08:52.965]  Even Bill Maher's read the law and said Friday on his show on HBO, no, they have all the power.
[00:08:53.186 --> 00:08:54.266]  The president has the power.
[00:08:55.247 --> 00:08:57.109]  Biden has deliberately opened the border.
[00:08:58.510 --> 00:09:06.556]  Which I know you know and I know he said when he was running for office, he said, once I steal the election, technically, he said, once I win, immediately surge the border.
[00:09:07.432 --> 00:09:09.013]  He said it in three different video clips.
[00:09:10.174 --> 00:09:12.195]  By the way, we always show the one for some reason.
[00:09:12.215 --> 00:09:15.878]  Well, you guys, he said it three times that I've seen.
[00:09:16.458 --> 00:09:21.381]  Find me the three times Biden said, surge the border.
[00:09:21.441 --> 00:09:22.282]  He said that in one.
[00:09:22.342 --> 00:09:25.224]  The others he said immediately, come to the U.S., come to the border.
[00:09:25.744 --> 00:09:28.046]  Maybe that's why when you search it, he only said surge once.
[00:09:28.086 --> 00:09:31.708]  But he said three times, when I win, come here, seek asylum.
[00:09:32.389 --> 00:09:32.769]  It's open.
[00:09:34.542 --> 00:09:41.427]  So it's so damning to sit here years later, three and a half years later, and he's running around saying, oh no, that's not what we're doing.
[00:09:41.447 --> 00:09:55.716]  So I've got three stacks on this, and the border is everything because it's so illustrative of how the government is hijacked by criminals and how they don't care about us, and then how they bring in the illegals to then sign them up for welfare, but also make them get jobs.
[00:09:56.217 --> 00:10:20.992]   And they have Democrat Party NGOs and community organizers and law firms own and run these people, and that's why they put Their deportation hearings out on average five years, some are out nine years, is they're gonna control them, and the minute you get Epity as a illegal alien they brought in, as a permanent underclass quote migrant, your ass is deported.
[00:10:21.512 --> 00:10:22.312]  And that's who they deport.
[00:10:22.933 --> 00:10:30.816]  Not criminals, not MS-13, that's all admitted in the legislation, and it's admitted in his orders to the Border Patrol in the last three years.
[00:10:32.276 --> 00:10:37.583]   Just because somebody's a felon, just because somebody As a gang member in MS-13, doesn't matter.
[00:10:37.723 --> 00:10:39.324]  Doesn't matter you've caught them six, seven times.
[00:10:39.344 --> 00:10:40.605]  Doesn't matter they've got three convictions.
[00:10:40.985 --> 00:10:41.946]  You're going to let them go.
[00:10:42.906 --> 00:10:44.047]  But woo boy!
[00:10:44.727 --> 00:10:48.189]  The IRS with no evidence claims you owe a bunch of money and sends you some letter.
[00:10:48.970 --> 00:10:50.771]  No judge, no jury is going to take your house.
[00:10:52.912 --> 00:10:55.973]  So this is something we need to open the phones up today on.
[00:10:56.634 --> 00:10:57.754]  And I have cleared the decks.
[00:10:57.794 --> 00:10:59.095]  We have several guests already booked.
[00:10:59.695 --> 00:11:00.736]  I've moved those guests.
[00:11:01.016 --> 00:11:01.737]  I'm going to take.
[00:11:02.997 --> 00:11:03.458]  I will take.
[00:11:04.508 --> 00:11:09.649]  Hours and hours of calls today, but I'm going to call it speed calls.
[00:11:11.050 --> 00:11:12.310]  Dispense with the pleasantries.
[00:11:12.490 --> 00:11:13.690]  I love you, you love me.
[00:11:14.010 --> 00:11:15.871]  If you want to say you hate me, then go ahead and say that.
[00:11:16.371 --> 00:11:18.511]  But like Limbaugh always said, just ditto.
[00:11:18.531 --> 00:11:25.433]  Because if you go into, oh, you're so great, you're so great, back and forth, we're burning time to cover information here, what you have to say.
[00:11:26.053 --> 00:11:27.814]  So I'm going to go to your calls.
[00:11:27.934 --> 00:11:29.794]  If you want to support us, spread the word about the show.
[00:11:30.134 --> 00:11:32.155]  If you love the show, buy some of the products in 4Store.
[00:11:33.416 --> 00:11:38.317]  Dispense today with us spending half our time in a love fest here.
[00:11:38.477 --> 00:11:39.177]  I love you, too.
[00:11:39.297 --> 00:11:39.778]  You love me?
[00:11:39.858 --> 00:11:40.098]  Great.
[00:11:40.938 --> 00:11:41.818]  I want to go to your call.
[00:11:41.878 --> 00:11:43.659]  So the calls are always so good.
[00:11:44.459 --> 00:11:46.399]  If the call is okay, you get 60 seconds.
[00:11:46.459 --> 00:11:47.439]  If I'm really hooked, you get 120.
[00:11:47.940 --> 00:11:51.300]  And that means everybody gets to get on, or at least a lot of you.
[00:11:51.901 --> 00:12:00.343]  So I'm going to give the number out coming up at the bottom of the hour, and we're taking a SH-T load of your calls.
[00:12:00.483 --> 00:12:05.041]   Okay, so Let me just mention some of the headlines here with the border situation.
[00:12:05.061 --> 00:12:07.122]  We've got all the other stuff here as well, but it all ties in.
[00:12:08.643 --> 00:12:10.924]  And then I'm going to drill into the bill.
[00:12:10.944 --> 00:12:12.425]  I've got a copy of it here.
[00:12:14.532 --> 00:12:17.374]  And Chuckie Schumer is having orgasms on television.
[00:12:18.074 --> 00:12:19.315]  He's beside himself.
[00:12:19.455 --> 00:12:21.176]  Oh, Mitch McConnell is the greatest.
[00:12:22.056 --> 00:12:24.858]  Mitch McConnell freezes up every time he's on TV now.
[00:12:25.298 --> 00:12:27.839]  Mitch McConnell's wife is an admitted communist Chinese spy.
[00:12:27.859 --> 00:12:29.600]  It's not just Democrats that are on the payroll.
[00:12:30.320 --> 00:12:31.861]  Like Swallows Well and Feng Feng.
[00:12:34.042 --> 00:12:35.703]  And, or Fang Fang, or whatever her name is.
[00:12:36.404 --> 00:12:38.905]  Or, you know, Dianne Feinstein before she died.
[00:12:38.925 --> 00:12:40.726]  Her chief of staff was a Chinese agent.
[00:12:41.466 --> 00:12:42.747]  It's Republican leadership.
[00:12:44.233 --> 00:12:54.838]  And the Speaker of the House claims this legislation is dead on arrival, but if you look at the votes, it's close.
[00:12:55.918 --> 00:12:56.698]  I've seen enough.
[00:12:56.758 --> 00:13:03.301]  This bill is even worse than we expected and won't come close to ending the border catastrophe the President has created.
[00:13:04.261 --> 00:13:08.823]  As the lead Democrat negotiator proclaimed under this legislation, the border never closes.
[00:13:08.943 --> 00:13:09.664]  They said that.
[00:13:10.164 --> 00:13:12.365]  If this bill reaches the House, it will be dead on arrival.
[00:13:14.983 --> 00:13:19.444]  So, this is an illustration of the complete insane arrogance.
[00:13:19.484 --> 00:13:22.245]  I'm going to say this again very slowly, and then I'm going to show you the text.
[00:13:23.706 --> 00:13:48.342]   For any reason, the President can declare an emergency or undeclare an emergency, and has all power over all actions at the border, and can create any funds he wants or direct funds to the cities, and all disputes will be Brought to a special court that he set up in D.C.
[00:13:48.522 --> 00:13:49.643]  I mean, wow.
[00:13:50.723 --> 00:13:51.444]  So, rubber stamp.
[00:13:51.924 --> 00:13:52.764]  Here's some of the headlines.
[00:13:53.085 --> 00:13:54.065]  Don't be stupid.
[00:13:54.125 --> 00:13:59.067]  Trump slams Senate border bill, demands separate package, not tied to foreign aid.
[00:13:59.748 --> 00:14:00.908]  Oh, and it's got all that in it, too.
[00:14:01.508 --> 00:14:01.929]  I forgot.
[00:14:01.949 --> 00:14:07.211]  It's got a ton of money for Israel, ton of money for Ukraine.
[00:14:08.612 --> 00:14:09.492]  He literally said it wouldn't.
[00:14:10.513 --> 00:14:11.213]  It's got billions.
[00:14:12.506 --> 00:14:19.469]  For the NGOs, a couple billion smackers to pay for the UN bureaucrats that are running all this.
[00:14:21.410 --> 00:14:23.711]  We got a good boil down on it on InfoWars.com.
[00:14:25.272 --> 00:14:34.416]  Scandalous Senate deal allows 1.5 million illegals per year, allocates 2.3 billion to NGOs, trafficking them and gives 60 billion to Ukraine.
[00:14:38.254 --> 00:14:49.310]  Trump says only a fool or radical left Democrat would vote for this horrendous border bill, which only gives shutdown authority after 5,000 encounters a day, when we already have the right to close the border now.
[00:14:50.677 --> 00:14:51.518]  Which must be done.
[00:14:51.898 --> 00:14:55.641]  This bill is a great gift to the Democrats and the death wish of the Republican Party.
[00:14:56.041 --> 00:15:03.067]  It takes a horrible job the Democrats have done on immigration and the border, absolves them, and puts them squarely on the shoulders of the Republicans.
[00:15:03.367 --> 00:15:04.188]  Don't be stupid.
[00:15:04.568 --> 00:15:06.910]  We need a separate border and immigration bill.
[00:15:07.251 --> 00:15:10.373]  It should not be tied to foreign aid in any way, shape, or form.
[00:15:10.393 --> 00:15:12.395]  The Democrats broke immigration and the border.
[00:15:12.575 --> 00:15:13.216]  They should fix it.
[00:15:13.476 --> 00:15:14.156]  Make America great again.
[00:15:15.938 --> 00:15:16.758]  I got Bill Maher.
[00:15:16.818 --> 00:15:18.280]  Let's just play this short clip.
[00:15:19.485 --> 00:15:24.828]  Raymond Bill Maher says it's in the law, they don't need a new law, they can control the border.
[00:15:25.208 --> 00:15:26.929]  Let me tell you, we had a crew down there for the last week.
[00:15:27.109 --> 00:15:30.811]  We still got Drew Hernandez down there right now filing reports with the governors and everything.
[00:15:33.233 --> 00:15:37.195]  And when the convoys showed up and reporters showed up, both sides just shut down.
[00:15:37.575 --> 00:15:38.536]  Nobody else showed up.
[00:15:38.556 --> 00:15:40.377]  They got diverted down the road a hundred miles.
[00:15:41.057 --> 00:15:42.158]  It's total coordination.
[00:15:42.218 --> 00:15:42.678]  Here's Bill Maher.
[00:15:44.056 --> 00:15:52.043]  Part two of the acting is Joe Biden saying, you know what, if you just give me a new law, why doesn't, the president can fix this.
[00:15:52.343 --> 00:15:54.085]  He already has the existing laws.
[00:15:54.105 --> 00:15:56.146]  And border patrol will bring that right to your face.
[00:15:56.206 --> 00:15:58.869]  I need a piece of paper from Congress to deal with the border.
[00:15:58.889 --> 00:16:00.030]  No, you already have that.
[00:16:04.513 --> 00:16:05.634]  So you know you lost it.
[00:16:05.855 --> 00:16:08.597]  You know the system's in trouble when Bill Maher is speaking out against you.
[00:16:09.804 --> 00:16:10.905]  You're like, tell us something we don't know.
[00:16:11.085 --> 00:16:12.046]  I know you know this.
[00:16:12.086 --> 00:16:14.267]  The general public doesn't tune in.
[00:16:14.287 --> 00:16:15.148]  Yeah, we reach millions a day.
[00:16:15.168 --> 00:16:19.971]  The general public still thinks that, oh, the border crisis wasn't created by Biden.
[00:16:20.612 --> 00:16:22.493]  More and more are figuring it out, though, and that's important.
[00:16:23.594 --> 00:16:25.915]  So, here's President Biden.
[00:16:25.935 --> 00:16:31.179]  We've reached an agreement on a bipartisan deal that includes the toughest and fairest set of border reforms in decades.
[00:16:32.060 --> 00:16:36.403]  And it includes support for Ukraine and Israel, provides humanitarian assistance for the Palestinian people.
[00:16:40.726 --> 00:16:41.787]  Let me do this.
[00:16:41.887 --> 00:16:48.514]  Let me start getting in to the subsections of the bill that I just mentioned.
[00:16:49.095 --> 00:16:49.375]  You know what?
[00:16:49.395 --> 00:16:50.156]  Let's do that in a minute.
[00:16:51.317 --> 00:16:52.639]  I got copies of it right here.
[00:16:52.699 --> 00:16:53.620]  See these subsections?
[00:16:53.640 --> 00:16:54.601]  I'm going to show you this in a minute.
[00:16:55.082 --> 00:16:56.383]  First, let's look at Elon Musk.
[00:16:56.403 --> 00:16:58.466]  Because people say, oh, Elon Musk is getting perfect blah blah blah.
[00:17:00.054 --> 00:17:01.434]  I'm not saying Elon Musk is perfect.
[00:17:01.495 --> 00:17:02.415]  I'm not his apologist.
[00:17:02.455 --> 00:17:03.335]  I don't work for Elon Musk.
[00:17:03.975 --> 00:17:12.278]  But he's reaching 50-something million people a day, saying Biden wants to destroy America and the borders are wide open, and it's totally criminal.
[00:17:12.298 --> 00:17:17.180]  There's CHICOM agents coming across, and the globalists want to depopulate you and your family.
[00:17:17.480 --> 00:17:19.060]  We've got to defeat the globalists.
[00:17:19.120 --> 00:17:24.002]  And I interview him, and he says we need team humanity to stop the global depopulation.
[00:17:24.282 --> 00:17:26.743]  The globalists are going to destroy the Earth and collapse everything.
[00:17:27.183 --> 00:17:28.704]  I'm supposed to just go, well, screw you.
[00:17:28.744 --> 00:17:29.524]  You're not good enough.
[00:17:32.438 --> 00:17:35.599]  I'm not going to sit there when somebody starts swinging way over to our direction.
[00:17:38.521 --> 00:17:40.462]  Again, he was never pointed purely at evil.
[00:17:40.942 --> 00:17:43.043]  But let's just say he was 360 pointed at evil.
[00:17:44.823 --> 00:17:45.504]  We don't want a 360.
[00:17:46.444 --> 00:17:47.945]  We want a 180 to good.
[00:17:48.325 --> 00:17:49.265]  He's already swung like 90%.
[00:17:49.726 --> 00:17:52.267]  So I don't look at gift horse the mouth, folks.
[00:17:55.362 --> 00:18:10.156]  Musk says Dems want illegals to vote, exposes Chinese pipeline in the U.S., calls for arrest of NGOs in epic spree, says they're trafficking children, shows all the Senate reports, says arrest them now, calls for state attorney generals to indict the NGOs, which I've said a thousand times.
[00:18:10.617 --> 00:18:12.479]  The NGOs are smuggling children.
[00:18:12.539 --> 00:18:13.480]  It's still federal law.
[00:18:13.500 --> 00:18:14.120]  You can't do it.
[00:18:14.340 --> 00:18:15.201]  They're unaccompanied.
[00:18:15.241 --> 00:18:17.183]  In fact, the crew sent me another report.
[00:18:17.604 --> 00:18:18.605]  I forgot to give the rest of the crew.
[00:18:19.745 --> 00:18:25.407]  The Border Patrol told us they're so upset because there's hundreds of little kids per crossing a day by themselves.
[00:18:26.327 --> 00:18:32.188]  And they say, I've been told at gunpoint to come here, five, six year olds, and then a van picks them up and drives off with some men.
[00:18:32.749 --> 00:18:37.190]  And the Border Patrol knows that's illegal and says, we want the authority which we have under law to stop this.
[00:18:39.070 --> 00:18:40.371]  Elon Musk, damn him.
[00:18:40.451 --> 00:18:41.291]  He's so horrible.
[00:18:42.731 --> 00:18:43.451]  Stop it, Musk.
[00:18:43.491 --> 00:18:45.552]  Do not call for the arrest of NGOs.
[00:18:46.451 --> 00:18:47.692]  You are not pure enough.
[00:18:47.792 --> 00:18:51.555]  You, you, you should just shut up and not fight the tyranny.
[00:18:52.336 --> 00:18:53.096]  That makes no sense.
[00:18:53.657 --> 00:18:56.038]  But it's all the cause celeb thing to attack Elon Musk.
[00:18:56.178 --> 00:18:56.619]  Okay, great.
[00:18:57.099 --> 00:18:59.401]  I mean, he's just totally almost done a 180 here.
[00:18:59.721 --> 00:19:01.643]  He's almost completely like Alex Jones now.
[00:19:01.663 --> 00:19:04.825]  And I'm supposed to just sit back and say, well, you're not a purist.
[00:19:04.845 --> 00:19:08.108]  You're not, we don't, hey, I'm not even saying trust Musk.
[00:19:08.688 --> 00:19:09.369]  Like Joe Rogan.
[00:19:09.429 --> 00:19:11.050]  I've known Joe 25, 26 years.
[00:19:11.490 --> 00:19:13.031]  God, longer than, I don't know, since 1998.
[00:19:13.111 --> 00:19:14.272]  I've been friends with him since 1999.
[00:19:16.513 --> 00:19:16.993]  Good friends.
[00:19:17.373 --> 00:19:18.534]  And I've seen his evolution.
[00:19:18.934 --> 00:19:19.615]  I know he's pissed.
[00:19:19.635 --> 00:19:21.515]  A lot of people that know him must have had the scenes.
[00:19:21.776 --> 00:19:24.717]  Unless he's put on a giant act, he's completely awake now, folks.
[00:19:25.177 --> 00:19:26.618]  And they're sure as hell coming after him, aren't they?
[00:19:28.159 --> 00:19:31.040]  I've told you forever, you've got to be ready to start winning, folks.
[00:19:31.140 --> 00:19:32.061]  Freedom is popular.
[00:19:32.601 --> 00:19:33.181]  But continuing.
[00:19:33.401 --> 00:19:36.523]  Not everybody started 30 years ago and has always been the antinomial order like me.
[00:19:37.847 --> 00:19:41.030]  Most people don't have that pedigree, folks, and I'm not trying to say I'm holier-than-thou.
[00:19:41.250 --> 00:19:44.193]  It was all because of my family and educating me.
[00:19:44.773 --> 00:19:46.615]  Well, we're educating Joe Rogan and Elon Musk.
[00:19:46.695 --> 00:19:57.545]  So, Musk says Dems want illegals to vote, exposes Chinese pipeline of the U.S., calls for arrest of NGOs, and epic post spree that reached, I said 50 million.
[00:19:57.765 --> 00:19:59.347]  That was like three of the posts reached 50 million.
[00:19:59.667 --> 00:20:01.629]  I think if you count them all, it's like 100 million people.
[00:20:03.257 --> 00:20:04.578]  Man, I wish he'd shut up.
[00:20:04.658 --> 00:20:06.859]  I mean, you're calling for the arrest of the U.N.
[00:20:06.899 --> 00:20:07.680]  smuggling kids?
[00:20:07.780 --> 00:20:08.540]  Man, must!
[00:20:09.341 --> 00:20:10.422]  That guy's bad!
[00:20:11.462 --> 00:20:14.484]  I need to shut him down right now.
[00:20:14.504 --> 00:20:17.066]  I agree with Soros and the E.U.
[00:20:18.047 --> 00:20:21.229]  Fourteen governors, border convoy protest eagle passes.
[00:20:22.009 --> 00:20:24.210]  Open border becomes full-blown national security crisis.
[00:20:24.270 --> 00:20:27.130]  Great job to the convoy organizers.
[00:20:27.190 --> 00:20:28.051]  It's been peaceful.
[00:20:28.311 --> 00:20:29.691]  The Border Patrol's on our side.
[00:20:29.971 --> 00:20:39.934]  The state police, the National Guard, the State Guard, 14 governors showed up, pledging to take action and start prosecuting the smugglers and the NGOs.
[00:20:40.274 --> 00:20:40.794]  Yes!
[00:20:41.514 --> 00:20:42.114]  Yes!
[00:20:43.594 --> 00:20:47.615]  Just because Biden waves a wand and says the border's up, it doesn't mean you're allowed to smuggle kids.
[00:20:49.136 --> 00:20:49.296]  So.
[00:20:50.658 --> 00:20:51.539]  Abbott's doing the right thing.
[00:20:51.559 --> 00:20:53.380]  He's not perfect, but he's swinging our way.
[00:20:54.661 --> 00:20:55.621]  Soros isn't perfect.
[00:20:55.661 --> 00:20:57.643]  He's far from perfect.
[00:20:57.663 --> 00:20:58.203]  He's our enemy.
[00:20:58.223 --> 00:20:59.444]  Soros is coming after Musk.
[00:21:01.005 --> 00:21:02.025]  The Globals are coming after Musk.
[00:21:02.085 --> 00:21:02.826]  Musk isn't perfect.
[00:21:03.800 --> 00:21:04.781]  That's what I said about Soros.
[00:21:04.861 --> 00:21:11.408]  We know the whole Soros-Biden-Leptis combine is coming after all these people that are swinging our direction.
[00:21:11.588 --> 00:21:12.649]  And again, they're not perfect.
[00:21:13.169 --> 00:21:14.651]  But it doesn't matter.
[00:21:14.691 --> 00:21:16.152]  Everybody second-guessed the convoy.
[00:21:16.393 --> 00:21:17.314]  Now it's top news.
[00:21:17.354 --> 00:21:18.835]  Now there's 14 governors down there.
[00:21:19.135 --> 00:21:22.419]  That's how we draw attention to that, which will create the solution.
[00:21:22.619 --> 00:21:27.464]  It's how we kill these evil bills, and it's how we create the legislation we need to stop this.
[00:21:29.795 --> 00:21:34.958]  Fourteen governors join border convoy, protests at Eagle Pass on open border, becomes full-blown national security crisis.
[00:21:36.579 --> 00:21:38.540]  Trump doubles down on mass deportations.
[00:21:38.980 --> 00:21:39.741]  Says we gotta do it.
[00:21:39.761 --> 00:21:41.542]  I got the video of that coming up.
[00:21:43.303 --> 00:21:45.004]  But now let's do this.
[00:21:47.085 --> 00:21:58.572]  Let's get into the legislation that Mitch McConnell, a totally compromised globalist, giving it to the State Department, the Soros, the whole New World Order project, is doing.
[00:21:59.537 --> 00:22:01.098]  All right, this is from the bill.
[00:22:04.859 --> 00:22:07.900]  In Wokeness said, holy crap, this might be the worst insane part.
[00:22:08.460 --> 00:22:09.661]  And I didn't just believe these posts.
[00:22:09.681 --> 00:22:11.242]  I went and checked it in the bill this morning.
[00:22:11.262 --> 00:22:11.922]  This is all true.
[00:22:13.102 --> 00:22:19.905]  The bill grants the far left DC court exclusive authority over future immigration disputes.
[00:22:21.817 --> 00:22:43.645]  17.
[00:22:22.397 --> 00:22:46.241]   Only by the United States District Court for the District of Columbia which shall have sole and original jurisdiction to hear challenges whether constitutional or otherwise the validity of this section or any written policy directive within policy guideline written procedures or the implementation thereof issued by the under the authority of a secretary Implementation of this section.
