[00:00:01.025 --> 00:00:01.886]  You can feel it.
[00:04:50.385 --> 00:04:56.406]  We need to reject the global agenda and know who the world rulers really are and what they are up to.
[00:04:57.067 --> 00:04:59.187]  The fight for humanity is happening.
[00:05:00.800 --> 00:05:08.982]  Cellular damage from a type of free radical known as reactive oxygen species can cause decreased cellular function.
[00:05:09.342 --> 00:05:16.204]  DNA Force Plus contains what are believed to be the most beneficial ingredients to remedy this.
[00:05:16.804 --> 00:05:20.645]  Now 40% off at InfoWarsStore.com.
[00:05:21.105 --> 00:05:29.287]  The main ingredient in the real red pill plus is pregnenolone, which occurs naturally in our body but decreases with age.
[00:05:29.787 --> 00:05:34.731]  Low levels of pregnenolone are associated with fatigue and low brain function.
[00:05:35.091 --> 00:05:43.117]  The real Red Pill Plus is also full of essential trace minerals to synergistically support optimal cognitive function.
[00:05:43.497 --> 00:05:46.880]  Now 40% off at InfoWarsStore.com.
[00:05:47.801 --> 00:05:52.364]  Get them both today at 50% off the supercharged special.
[00:05:52.945 --> 00:05:58.409]  Support your health and support the InfoWar at InfoWarsStore.com.
[00:06:34.677 --> 00:06:39.082]  Ladies and gentlemen, it is Monday, January 22nd, 2024.
[00:06:39.182 --> 00:06:50.134]  There are 287 days, 12 hours, 53 minutes, 26 seconds for the most important election in world history.
[00:06:50.775 --> 00:06:56.241]  A referendum on nationalism, freedom, capitalism, security...
[00:06:58.249 --> 00:07:03.854]  Or a tyrannical world government literally waging war against humanity.
[00:07:04.375 --> 00:07:06.997]  The battle is now.
[00:07:08.758 --> 00:07:15.324]  I cannot come up with words enough to hype how epic the historical crossroads we're at right now is.
[00:07:16.145 --> 00:07:17.226]  You don't need me to tell you.
[00:07:17.306 --> 00:07:17.686]  You know it.
[00:07:18.867 --> 00:07:20.989]  We've come so far in this fight against the globalists.
[00:07:21.810 --> 00:07:22.791]  All right, listen.
[00:07:23.806 --> 00:07:44.455]  We have the biggest news yet from the Darien Gap, where the Communist Chinese are officially building highways and bridges out of South America into Panama, where they're also financing with State Department money, with the CHICOMs, gigantic illegal alien gathering centers, UN refugee camps.
[00:07:44.495 --> 00:07:51.237]  There are already huge ones down there, but Jan has now flown more drones in the last few days over it.
[00:07:51.277 --> 00:07:52.518]  He shot the video you see here.
[00:07:54.335 --> 00:08:01.137]  And these facilities are bigger than the Gigantor ones in South Texas on the border.
[00:08:02.317 --> 00:08:08.178]  I mean, we're talking football field after football field after football field of giant white tents.
[00:08:08.878 --> 00:08:11.399]  And you can see all the earth moving equipment building more.
[00:08:12.079 --> 00:08:16.480]  This is a military attack on America.
[00:08:18.288 --> 00:08:18.748]  We're good to go.
[00:08:44.306 --> 00:09:00.317]  Austin, Texas discovered it's the same UN NGOs that run the invasion of Europe and built the giant illegal alien camps out of the Middle East and out of Africa into Europe are the ones running these.
[00:09:00.337 --> 00:09:01.118]  We have the names.
[00:09:01.138 --> 00:09:01.678]  We know the groups.
[00:09:02.179 --> 00:09:10.705]  Michael Yan joins us today, fresh out of the jungle, to break this down from Central America from his hotel room.
[00:09:11.510 --> 00:09:12.331]  Federal pipe bomb January 6th.
[00:09:12.351 --> 00:09:13.532]  False flag that didn't detonate event.
[00:09:13.572 --> 00:09:14.012]  He'll be joining us.
[00:09:14.032 --> 00:09:16.334]  I intend to open the phones up.
[00:09:40.086 --> 00:09:47.551]  On a host of topics in the second hour into the fourth hour with the great Gerald Cilente.
[00:09:48.952 --> 00:09:51.494]  Primary in New Hampshire about to unfold.
[00:09:51.514 --> 00:09:53.015]  We've got all those political developments.
[00:09:54.576 --> 00:09:57.879]  We've got big news out of Ukraine and Russia.
[00:09:57.939 --> 00:10:02.462]  Huge news out of the Middle East with bases, U.S.
[00:10:02.562 --> 00:10:06.305]  bases in Iraq being showered with
[00:10:07.202 --> 00:10:09.503]  Ballistic missiles injuring a bunch of U.S.
[00:10:09.603 --> 00:10:10.103]  forces.
[00:10:11.243 --> 00:10:13.223]  More ships being attacked in the Red Sea.
[00:10:15.124 --> 00:10:17.224]  More missiles raining down into other U.S.
[00:10:17.304 --> 00:10:19.405]  bases on the edge of Syria.
[00:10:20.625 --> 00:10:30.087]  And now Biden has announced that they're going to go ahead and go to full-scale bombing of the Houthis backed by Iran in Yemen.
[00:10:32.065 --> 00:10:35.827]  So things are accelerating towards World War III quite nicely.
[00:10:35.867 --> 00:10:38.128]  In fact, I'd say we're already in the early stages of it.
[00:10:38.148 --> 00:10:39.128]  I think that's fair to say.
[00:10:39.148 --> 00:10:40.389]  Most animals agree with that statement.
[00:10:41.109 --> 00:10:42.630]  But I've got to just say this first.
[00:10:44.571 --> 00:10:47.252]  Oh, there's more WF announcements about how they're going to cut the food off.
[00:10:47.833 --> 00:10:49.273]  And they're listing more food that's evil.
[00:10:51.294 --> 00:10:52.955]  And, of course, it's always the most popular stuff.
[00:10:54.176 --> 00:10:54.516]  Rice.
[00:10:56.297 --> 00:10:56.617]  Beef.
[00:10:58.238 --> 00:10:58.598]  Fish.
[00:11:00.079 --> 00:11:00.559]  Poultry.
[00:11:02.401 --> 00:11:02.641]  Wheat.
[00:11:04.082 --> 00:11:06.104]  And now... Coffee.
[00:11:08.466 --> 00:11:09.547]  Boy, they're in the commodity.
[00:11:09.567 --> 00:11:17.173]  They don't want to say it's bad so they can control it and artificially sequester it so they can jack up the prices of it.
[00:11:17.693 --> 00:11:18.694]  It's all coming up today.
[00:11:18.734 --> 00:11:23.738]  But I want to go back to the theme of last night's Sunday show where I hosted 4 to 6 p.m.
[00:11:23.758 --> 00:11:25.059]  as I've been doing for 16 years.
[00:11:26.700 --> 00:11:29.423]  The Sunday edition of this broadcast that I've been doing for 27 years...
[00:11:31.883 --> 00:11:32.323]  We're good to go.
[00:11:57.088 --> 00:12:02.911]  I want to talk about something that is the biggest issue happening in the world today.
[00:12:07.533 --> 00:12:09.754]  And it's two-pronged.
[00:12:09.894 --> 00:12:15.136]  It's political, but it's also spiritual.
[00:12:16.597 --> 00:12:22.980]  And the two things are inexplicably intertwined.
[00:12:26.027 --> 00:12:30.431]  And so, later, got a frog in my throat here.
[00:12:32.193 --> 00:12:35.997]  That's what happens when I forget to eat breakfast and I wolf down a breakfast taco two minutes before I went live.
[00:12:36.017 --> 00:12:40.121]  I think that should do it.
[00:12:43.004 --> 00:12:49.891]  And that is the fact that things aren't going the way the New World Order wanted it to go.
[00:12:53.217 --> 00:12:57.439]  And the globalists have explained to us exactly how they plan to have this takeover unfold.
[00:12:59.420 --> 00:13:08.225]  And so if we just grow up and look at their own documents and look at their own statements and look at the fact that what they said they'd do 70 years ago, they got done.
[00:13:08.265 --> 00:13:11.227]  And what they said they'd do 50 years ago, they got done.
[00:13:11.267 --> 00:13:13.388]  What they said they'd do 30 years ago, they've gotten done.
[00:13:14.589 --> 00:13:19.992]  And now we really don't want them to get the rest of it done because now we're in the endgame.
[00:13:21.127 --> 00:13:21.928]  I think we're good to go.
[00:13:47.145 --> 00:13:58.172]  We always said that we'll go from beta to absolute war mode against humanity in 2020, completing the conquest and extermination of almost everyone by 2047.
[00:13:58.252 --> 00:14:04.776]  The world, as you know, will be over with billions dead by 2030.
[00:14:04.957 --> 00:14:12.942]  And these are really staggering statements, but when everybody from Bill Gates to Jane Goodall
[00:14:14.195 --> 00:14:14.916]  We're good to go.
[00:14:30.489 --> 00:14:32.110]  We're good to go.
[00:14:59.454 --> 00:15:17.021]  Because if they carry these operations out and aren't billed as the saviors, or if they're not casted in the role of the saviors, they will all be destroyed long before they implement it.
[00:15:17.081 --> 00:15:23.043]  So they must be in the position of the guardians of the earth while they kill it.
[00:15:24.344 --> 00:15:27.065]  They must be in position of the guardians of the nation states.
[00:15:28.609 --> 00:15:29.089]  We're good to go.
[00:15:55.660 --> 00:16:08.304]  Then political leaders around the world talking about it, and the Wall Street Journal and the New York Times and Politico running headlines saying, globalism is not trusted, it's hated, and everyone's coming against us.
[00:16:09.305 --> 00:16:09.925]  What do we do?
[00:16:10.505 --> 00:16:13.106]  And they say, well, the number one mission is censor people more.
[00:16:14.206 --> 00:16:16.107]  That's how we make them trust us.
[00:16:16.207 --> 00:16:17.407]  We just lie to them more.
[00:16:18.708 --> 00:16:21.989]  So we've really reached beyond the tipping point.
[00:16:22.449 --> 00:16:25.050]  The tipping point was in about the last 12 months, about a year ago.
[00:16:26.912 --> 00:16:27.493]  We're good to go.
[00:16:54.431 --> 00:17:04.014]  The globalists always intended to have a societal, cultural, industrial tipping point, and out of that crisis they would get total control and just a nightmare mad scientist society.
[00:17:05.535 --> 00:17:22.041]  But instead of there's a tipping point and a capsizing and a submersion of civilization, if as we go under we know they're the ones that sucked us under, what are they going to do?
[00:17:24.002 --> 00:17:28.666]  Well, they're going to try to get the boat turned back up because they know they're going down with us.
[00:17:29.607 --> 00:17:30.988]  In fact, they're going down the hardest.
[00:17:31.708 --> 00:17:51.926]  So this is simple cause and effect, simple politics, but because people weren't facing there was a corporate world government, even as it was set up, even as they were bragging about it and saying their aims of just you'll drink sewage water, you'll live in a 250 square foot coffin apartment in 5G, bathing, you will eat bugs, you will...
[00:17:52.995 --> 00:18:00.259]  Your convicted pedophiles will come as high priest and bounce your children on their leg in elementary school and preschool.
[00:18:01.739 --> 00:18:05.881]  People are just like, come on, it's not really that bad.
[00:18:05.901 --> 00:18:09.203]  Yeah, it is.
[00:18:10.163 --> 00:18:12.464]  So the bad news is we're in a lot of trouble.
[00:18:14.065 --> 00:18:15.286]  The good news is...
[00:18:17.577 --> 00:18:26.663]  That everything they had planned was to be the saviors during this crisis, and instead, people are going, oh, you did this.
[00:18:27.784 --> 00:18:34.529]  And now they're learning all about their governmental systems and all about their central bank digital currencies and all about their ESGs.
[00:18:36.050 --> 00:18:37.391]  Spiritual... Physical... Death...
[00:19:05.427 --> 00:19:33.679]  And so we need to just, I think, ponder and reflect on the fact that thanks to all the old-timers in the 40s, 50s, 60s, 70s, 80s, and 90s that talked about this and wrote books and had their little conferences and fought like hell to get the word out that the second big wave that began in the early 1990s against the New World Order, when they began to roll out of Gen 21 and as it became public,
[00:19:34.887 --> 00:19:35.247]  I think?
[00:20:00.694 --> 00:20:05.677]  Then you're fighting a losing battle because you cut one head off, it just grows two more.
[00:20:06.697 --> 00:20:15.581]  But if you capture the beast and throw it off the edge of a 10,000-foot cliff, it's going to break its back and die.
[00:20:16.682 --> 00:20:18.183]  And so I'd use the analogy of not us.
[00:20:19.474 --> 00:20:29.998]  Even five minutes of the Hydra, but us just as a mass running headlong, billions of us, that's a giant wave a thousand times bigger than the New World Order Hydra.
[00:20:30.718 --> 00:20:32.699]  He looks real big until you pull back and see us.
[00:20:32.979 --> 00:20:41.223]  We're a giant wave, and all we got to do is crash into the Hydra that's on the edge of a cliff, and it will go over.
[00:20:41.663 --> 00:20:42.443]  Here's the thing, though.
[00:20:42.723 --> 00:20:44.544]  We don't even need 10% of the wave to hit.
[00:20:46.192 --> 00:20:50.554]  Because, yeah, those that do this will go over with the globalists over the edge of the cliff.
[00:20:51.094 --> 00:20:52.275]  Not spiritually, but physically.
[00:20:52.855 --> 00:20:57.718]  A lot of us have to still understand that in this next phase, this is a kamikaze operation.
[00:20:58.178 --> 00:21:09.003]  We don't want to wait until things get so bad that the whole wave hits them, because then the waves going off the edge of the cliff, because the globalist plan would have been so far progressed, we will fall with them.
[00:21:09.584 --> 00:21:13.566]  It's up to us, the men, the serious men and women that wish to join us,
[00:21:14.554 --> 00:21:15.054]  We're good to go.
[00:21:38.194 --> 00:21:50.046]  All those archetypes and the hero of a thousand faces comes from experiences and things that have happened over and over and over again in history.
[00:21:51.087 --> 00:21:52.828]  And so we're at that major turning point.
[00:21:53.209 --> 00:21:55.291]  We're at that major event horizon right now.
[00:21:55.311 --> 00:21:57.973]  And I've already gone past the point of return.
[00:21:58.354 --> 00:22:02.618]  And I hope you realize that if the general public doesn't get behind men like me,
[00:22:04.281 --> 00:22:13.729]  And if we don't get behind people like Tucker Carlson and President Trump and Elon Musk, and none of these people are perfect, but I know I believe in a pro-human future.
[00:22:14.049 --> 00:22:15.251]  I don't believe in depopulation.
[00:22:15.531 --> 00:22:18.373]  Neither does Donald Trump, neither does Elon Musk, neither does Tucker Carlson.
[00:22:19.034 --> 00:22:21.676]  That if you don't get behind us, you are suicidal.
[00:22:22.277 --> 00:22:22.777]  You're crazy.
[00:22:25.019 --> 00:22:26.480]  But I just want listeners to let that burn in.
[00:22:27.081 --> 00:22:29.163]  This isn't just some flavor of politics.
[00:22:29.203 --> 00:22:31.685]  This show isn't just some interesting novelty.
[00:22:33.021 --> 00:22:41.449]  If you go back 25 years ago, or 10 years ago, or 5 years ago, when you listen to this show, you'll think this guy's a time traveler.
[00:22:41.649 --> 00:22:42.009]  I'm not.
[00:22:42.190 --> 00:22:44.512]  The enemy has a frickin' blueprint, okay?
[00:22:45.916 --> 00:22:56.463]  So it's like, if they were destroying part of a city and building a new city there, and I had the blueprint, and I went to people and said, okay, in a couple years they're going to bulldozer all this, and they're going to build a building here and there, and people don't know what blueprints are.
[00:22:56.803 --> 00:22:59.305]  I've got this fictional world I'm talking about, and they think you're a weirdo.
[00:22:59.585 --> 00:23:03.968]  But they suddenly see the bulldozer show up, and over the next few years, it all gets destroyed, and they build a new city.
[00:23:04.428 --> 00:23:05.769]  Later, they're like, he's magic.
[00:23:05.849 --> 00:23:07.170]  He knew they were going to do this.
[00:23:07.670 --> 00:23:08.490]  No, I'm not magic.
[00:23:10.492 --> 00:23:15.275]  And that's the most frustrating part about this, is people either say I'm psychic, and everybody's psychic to a certain extent,
[00:23:17.336 --> 00:23:19.496]  Or I'm being secret information.
[00:23:20.957 --> 00:23:22.397]  It's not secret, ladies and gentlemen.
[00:23:23.137 --> 00:23:25.117]  So I got all this news to hit, and we're going to hit it.
[00:23:25.918 --> 00:23:34.239]  But if you missed last night's show, particularly the first hour... I really hit it the second hour, excuse me.
[00:23:35.239 --> 00:23:42.781]  The second hour, we did a good job of explaining this, and I went over a bunch of Davos clubs, and it was very, very important.
[00:23:42.841 --> 00:23:44.201]  So this is a big deal.
[00:23:45.373 --> 00:23:47.634]  And we're covering the heart of the Hydra here.
[00:23:48.314 --> 00:23:53.416]  We're covering what it is, what its plans are, what it's doing, how to stop it.
[00:23:54.617 --> 00:24:11.484]  It's like I go on X every day and I'm, here's this UN treaty, here's the UN land grab, here's how they're doing it, here's how the State Department funds the NGOs with the Communist Chinese to build the refugee centers and they're building roads from South America all the way up to Mexico and into the United States.
[00:24:11.864 --> 00:24:13.525]  We need to cut the State Department money.
[00:24:16.172 --> 00:24:17.093]  We're good to go.
[00:24:30.754 --> 00:24:44.478]  And sure, there's globalists in all those groups, but I'm like, here's the legislation, here's the executive order, here's the UN funding, here's the treaty, here's video of where these bases are, here's the roads, call Congress, get them to cut the funding.
[00:24:44.758 --> 00:24:47.519]  Like, I'm trying to do real world stuff.
[00:24:49.780 --> 00:24:56.682]  And I know it's fun to kind of stay in the 1980s, 1990s, oh look, the CERN symbols, three sixes.
[00:24:58.530 --> 00:24:59.090]  Yeah, I know.
[00:24:59.151 --> 00:25:00.391]  They're openly devil worshippers.
[00:25:00.892 --> 00:25:01.652]  I'll cover that later.
[00:25:02.233 --> 00:25:03.354]  They're openly saying it now.
[00:25:03.374 --> 00:25:04.795]  They're not hiding it in symbols anymore.
[00:25:08.778 --> 00:25:11.940]  But again, we can cut the money off from these guys.
[00:25:12.841 --> 00:25:19.926]  But once they get their cashless society in, once they get their social credit score in, it's going to be much harder to turn this around.
[00:25:20.247 --> 00:25:21.528]  And the Bible tells us
[00:25:22.432 --> 00:25:24.113]  Well, regardless of what you think...
[00:25:51.854 --> 00:25:52.475]  We're good to go.
[00:26:05.840 --> 00:26:07.161]  We're good to go.
[00:26:07.181 --> 00:26:07.321]  I think?
[00:26:23.806 --> 00:26:24.606]  This is a test.
[00:26:25.307 --> 00:26:29.409]  And we're not meant to just sit here and watch this happen to our children and other children.
[00:26:29.869 --> 00:26:34.151]  We're not supposed to sit here and go, oh, the New World Order is too big, it's too powerful, Satan is too powerful.
[00:26:34.631 --> 00:26:38.153]  Our God is infinity more powerful than Satan.
[00:26:41.194 --> 00:26:43.055]  And you can say, well, Satan doesn't exist.
[00:26:43.435 --> 00:26:49.958]  Look around you at people doing evil, even when it hurts them, because it's the desire of their heart and of their father, the devil.
[00:26:50.851 --> 00:26:56.977]  So whether you believe in that entity or not, that the spirit, the manifestation of it, it's a real thing in action.
[00:26:59.860 --> 00:27:05.326]  And so this world is already going through incredible crisis.
[00:27:06.527 --> 00:27:12.453]  If you live in the West, crime's up, you don't have as much money, there's problems, mental illness exploding, suicide, death.
[00:27:13.732 --> 00:27:15.993]  Cancer exploding, live expectancy is going down.
[00:27:16.333 --> 00:27:24.455]  In the third world, last time the UN put numbers out, five, six months ago, they admitted 80-plus million people have starved to death because of the lockdowns.
[00:27:25.716 --> 00:27:29.077]  They say because of the virus, and the response to it, no, was by their fear-mongering.
[00:27:30.017 --> 00:27:31.218]  Where's the news coverage of that?
[00:27:31.258 --> 00:27:31.978]  Just a footnote.
[00:27:32.118 --> 00:27:33.438]  Oh, the UN needs more money.
[00:27:33.818 --> 00:27:38.780]  The last four years, 80-something million extra people starved to death because there was no jobs and no food.
[00:27:39.120 --> 00:27:41.961]  See, a lockdown here, you just exhaust your bank account.
[00:27:43.561 --> 00:27:44.502]  Maybe lose your house.
[00:27:45.783 --> 00:27:48.525]  A lockdown in the third world means you starve to death.
[00:27:55.150 --> 00:27:58.833]  And then the very NGOs that call for the lockdowns go, oh, give us money.
[00:28:00.275 --> 00:28:01.696]  The third world's starving to death.
[00:28:03.008 --> 00:28:19.233]  And again, I can sit here and cover all the new news and all the new clips and cover all this other interesting heads of the Hydras or whiskers on the Hydras or a tooth on the Hydra or a wart on the Hydra's head and we can attack the wart and we can attack a speck in its eye and we can stab them in the face all we want.
[00:28:20.612 --> 00:28:26.916]  You stab a hydrant, blood sprays out and flails around, and you bring down one of these people politically, but they just sprouts one more.
[00:28:27.337 --> 00:28:34.662]  You got to get into the guts of it, and you got to run your sword into the guts.
[00:28:37.444 --> 00:28:38.745]  You got to get it into that heart.
[00:28:40.406 --> 00:28:41.447]  That's an analogy, media.
[00:28:41.507 --> 00:28:44.569]  I'm not saying any hydrants were harmed in this segment.
[00:28:45.640 --> 00:28:46.260]  We'll be right back.
[00:28:46.340 --> 00:28:48.282]  Infowars.com tomorrow's news today.
[00:28:48.762 --> 00:28:51.144]  But the globalists, their narrative is not working.
[00:28:51.204 --> 00:28:52.024]  Everybody knows it's them.
[00:28:52.284 --> 00:28:53.105]  They are screwed.
[00:28:53.385 --> 00:28:54.546]  But they're still going to go through with it.
[00:28:55.467 --> 00:29:02.231]  Hey, let me start by saying you do a great show.
[00:29:02.391 --> 00:29:02.731]  Thank you.
[00:29:02.932 --> 00:29:05.493]  Hey, let me point out that I took X2 iodine.
[00:29:05.573 --> 00:29:06.814]  I started taking that stuff.
[00:29:06.854 --> 00:29:10.056]  The best iodine I think I ever found is what you guys are selling.
[00:29:10.156 --> 00:29:11.077]  When did you start taking it?
[00:29:11.357 --> 00:29:15.160]  About four years ago, I had high blood pressure, and I was on blood pressure medicine.
[00:29:15.180 --> 00:29:15.320]  Mm-hmm.
[00:29:15.900 --> 00:29:16.041]  Mm-hmm.
[00:29:16.061 --> 00:29:16.181]  Mm-hmm.
[00:29:32.279 --> 00:29:46.186]  And even though I do think all your other products are good, I recommend to anybody that they start with X2 iodine because it detoxifies your body and kind of kicks your natural DNA into full force.
[00:29:46.246 --> 00:29:49.728]  So in my life, I found X2 iodine the best.
[00:29:50.188 --> 00:29:53.630]  I tried other iodines and they didn't have the same effect.
[00:29:53.950 --> 00:29:56.232]  So X2 iodine, I really wanted to point that out.
[00:30:00.345 --> 00:30:01.145]  Winter is coming.
[00:30:01.826 --> 00:30:03.847]  Winter is coming.
[00:30:04.247 --> 00:30:04.988]  Winter is coming.
[00:30:05.308 --> 00:30:06.408]  Winter is coming.
[00:30:07.449 --> 00:30:08.890]  Winter is coming.
[00:30:09.250 --> 00:30:10.651]  Winter isn't coming.
[00:30:11.231 --> 00:30:12.512]  Winter is here.
[00:30:12.912 --> 00:30:20.436]  And while the sun isn't helping us produce as much vitamin D, do yourself a favor and try InfoWars Life Winter Sun Plus.
[00:30:20.696 --> 00:30:25.039]  Now back in stock and 40% off at InfoWarsStore.com.
[00:30:25.279 --> 00:30:36.482]  Winnersome Plus is a powerful vitamin D-based formula bringing you straight vitamin D3 free of toxic chemicals, allergens, preservatives, artificial colors, and GMOs.
[00:30:36.922 --> 00:30:47.625]  Our vitamin D3 formula supports the body's natural immune system, promotes calcium absorption for healthy bones and teeth, and helps sustain healthy tissue and systems of the body.
[00:30:47.985 --> 00:30:50.506]  When the winters come, they come cold.
[00:30:50.686 --> 00:30:54.407]  So weather the storm and supplement with Winnersome Plus.
[00:30:54.987 --> 00:30:59.530]  40% off for a limited time at InfoWarsStore.com.
[00:30:59.791 --> 00:31:01.572]  Real death is shutting off the economy.
[00:31:01.772 --> 00:31:04.074]  The bureaucrats and the corporations control the economy.
[00:31:04.394 --> 00:31:07.896]  As they vertically integrate the economy and consolidate power, they murder people en masse.
[00:31:08.537 --> 00:31:15.742]  And Elon Musk has warned them that if you destroy civilization, you won't be able to have certain redoubts of it and certain city-states that still have it.
[00:31:15.762 --> 00:31:18.143]  The Hunger Games model, it will destroy the elite as well.
[00:31:18.404 --> 00:31:21.186]  And anybody that studies history and has common sense knows that.
[00:31:21.866 --> 00:31:26.849]  The wars that are going to come out of the starvation and the inflation are being blamed on global warming.
[00:31:27.069 --> 00:31:29.771]  The viruses that come out of the labs are being blamed on global warming.
[00:31:30.011 --> 00:31:33.433]  The third world hordes being organized by the UN to invade are being blamed on global warming.
[00:31:34.274 --> 00:31:35.975]  The mass starvation is blamed on the virus.
[00:31:37.416 --> 00:31:39.637]  And everywhere we're told it's going to get worse.
[00:31:39.737 --> 00:31:40.698]  Billions are coming.
[00:31:40.858 --> 00:31:43.200]  Al Gore and Bill Clinton and Hillary Clinton.
[00:31:44.096 --> 00:31:51.242]  And the Rothschilds and the Davos Group and Bill Gates and Klaus Schwab and Yvonne O'Harrari say billions are coming to Europe.
[00:31:51.462 --> 00:31:52.943]  A billion are coming to the U.S.
[00:31:53.404 --> 00:31:54.685]  because of climate change.
[00:31:55.205 --> 00:31:59.629]  No, because you cut their economy off because the IMF or World Bank controls the loans and ordered lockdowns.
[00:32:00.009 --> 00:32:03.732]  Why do you think the globalists are desperately trying to censor everybody?
[00:32:04.052 --> 00:32:07.235]  Why are they attacking myself and Donald Trump and Elon Musk and everybody else?
[00:32:07.635 --> 00:32:12.079]  Because they can't get through this giant megalomaniacal power grab if we're here exposing them.
[00:32:12.699 --> 00:32:14.840]  But we're not just exposing their operation.
[00:32:15.140 --> 00:32:23.125]  In my new book, we give you the solutions to build a new, better world, an alternative to Klaus Schwab's You Will Eat the Bugs.
[00:32:23.746 --> 00:32:29.489]  This is The Great Awakening, the plan to defeat the globalists and launch the second great renaissance.
[00:32:29.969 --> 00:32:33.511]  It's a companion to my last book that was a number one worldwide bestseller.
