[00:00:01.277 --> 00:00:01.598]  The End.
[00:08:03.958 --> 00:08:04.518]  That's what they call it.
[00:08:05.539 --> 00:08:06.919]  People that stay out of things.
[00:08:07.500 --> 00:08:09.040]  They're totally going for Trump.
[00:08:10.901 --> 00:08:16.463]  This all signifies massive, total landslide, the likes of which we haven't ever seen.
[00:08:18.264 --> 00:08:19.625]  Except, I guess, George Washington.
[00:08:23.046 --> 00:08:23.746]  This is incredible.
[00:08:25.867 --> 00:08:27.848]  Then we've got Google's Bud Light moment is here.
[00:08:29.656 --> 00:08:35.959]  Tech giant's AI erasure of whites from history has triggered an explosive awakening by black people and everybody.
[00:08:35.999 --> 00:08:37.619]  They're like, what the hell is this?
[00:08:39.580 --> 00:08:46.563]  By the way, it's some white leftist, you know, globalist manipulator that engineer that did all this, of course he's ordered to.
[00:08:47.944 --> 00:08:53.486]  So I made the statement that it's elitist globalists manipulating black against white.
[00:08:55.007 --> 00:08:57.408]  That's why I said, I guess we do have kind of an old white man problem.
[00:09:00.916 --> 00:09:04.277]  I mean, I guess you could call the head of the ADL a white man.
[00:09:05.057 --> 00:09:07.597]  Any of those guys trying to divide us.
[00:09:09.898 --> 00:09:13.939]  And all the division we see coming out of Biden.
[00:09:13.979 --> 00:09:14.619]  But yeah, there it is.
[00:09:14.659 --> 00:09:16.839]  Trump hits new pole highs with black Hispanic voters.
[00:09:18.139 --> 00:09:20.480]  What to make of it, says the Washington Post.
[00:09:20.560 --> 00:09:23.640]  I mean, I wasn't even looking for this news today.
[00:09:23.760 --> 00:09:25.961]  And when I went through 200 articles like I always do,
[00:09:26.900 --> 00:09:30.742]  I just tell them, print me everything, and then I send them hundreds of things, usually a hundred things or more.
[00:09:31.922 --> 00:09:32.863]  And it's just everywhere.
[00:09:33.823 --> 00:09:36.224]  And again, I don't need to see those polls.
[00:09:37.845 --> 00:09:38.425]  I'm famous.
[00:09:38.826 --> 00:09:40.026]  Which, I mean, I'm famous.
[00:09:40.767 --> 00:09:41.707]  Again, you're not famous.
[00:09:41.767 --> 00:09:42.187]  It's great.
[00:09:42.247 --> 00:09:42.848]  You have anonymity.
[00:09:42.868 --> 00:09:43.288]  It's wonderful.
[00:09:43.328 --> 00:09:46.309]  I wish I didn't need to be famous, because it's got its downsides.
[00:09:46.329 --> 00:09:48.050]  But people know who I am.
[00:09:49.010 --> 00:09:49.831]  Everybody does, basically.
[00:09:50.031 --> 00:09:51.892]  And when I go out in public, all I get is love now.
[00:09:52.822 --> 00:09:57.264]  Love, love, love, love, love, can't hardly buy lunch, can't hardly buy dinner with my family.
[00:09:58.204 --> 00:10:02.446]  People buy our dinner, they buy our lunch, they buy us, the owners come out and buy us lunch.
[00:10:05.568 --> 00:10:08.849]  I say half the time Hispanic people buy my lunch.
[00:10:09.249 --> 00:10:11.470]  I have the majority, but they particularly love me.
[00:10:11.870 --> 00:10:20.394]  So, all the demonization, all the attacks, Alex Jones is the worst person in the world, and people hate the system so much they go, oh, he's good.
[00:10:24.028 --> 00:10:27.610]  So I'm telling you, I see all the polls, they show what I'm telling you.
[00:10:28.810 --> 00:10:32.032]  But I get these calls, I get these text messages, I get these emails, you hear the callers.
[00:10:33.193 --> 00:10:35.294]  Well, I don't think anybody's awake where I'm at.
[00:10:35.714 --> 00:10:37.275]  Well, that's because you're in the wrong place.
[00:10:38.455 --> 00:10:40.016]  And the left are all in nest.
[00:10:43.738 --> 00:10:50.722]  Because the left doesn't put up with anybody that doesn't agree with them in their companies, in their systems, in their academic circles, in their governmental jobs.
[00:10:51.722 --> 00:10:53.323]  But outside of those little bubbles,
[00:10:55.503 --> 00:11:06.427]  There's a giant awakening, and I played the Trudeau clip yesterday, the so-called leader of Canada, and he's like, people are in their bubbles, no one believes us, and they hate us now, and no one believes anything we say, because you're a damn liar!
[00:11:07.448 --> 00:11:09.809]  We're not the one in the bubble, buddy, it's you!
[00:11:14.050 --> 00:11:23.494]  So, I got all the Trump poll news, and you have to understand, six, seven years ago, five years ago,
[00:11:24.923 --> 00:11:26.324]  I started getting a lot better about four years ago.
[00:11:27.225 --> 00:11:28.165]  I would walk the dog.
[00:11:29.286 --> 00:11:30.047]  Dog's since died.
[00:11:30.067 --> 00:11:30.747]  I haven't gotten a new one.
[00:11:31.127 --> 00:11:32.748]  So sad to lose somebody who's like a family member.
[00:11:33.689 --> 00:11:41.955]  And I would have, if I walked down the road five miles, I would have probably, you know, 30 cars honk and wave.
[00:11:42.015 --> 00:11:43.476]  Maybe people pull over to man pictures.
[00:11:43.956 --> 00:11:47.539]  But I'd get two or three, you're a Russian agent, go to hell.
[00:11:47.559 --> 00:11:49.780]  We're gonna, you know, you need to die.
[00:11:49.840 --> 00:11:50.621]  Screw your family.
[00:11:52.113 --> 00:11:56.877]  And now it's almost two years and I think two or three times maximum I've been confronted.
[00:12:04.102 --> 00:12:06.504]  Because even leftists know they're wrong.
[00:12:07.484 --> 00:12:09.706]  And they can't get up the courage to confront me anymore.
[00:12:11.908 --> 00:12:13.009]  That's my biggest piece of evidence.
[00:12:13.249 --> 00:12:16.431]  Because I believe my own eyeballs and what I see on the ground, that's the best intelligence.
[00:12:16.451 --> 00:12:18.993]  But then I see it everywhere in the raw numbers as well.
[00:12:20.514 --> 00:12:21.375]  So getting back to this,
[00:12:23.243 --> 00:12:25.824]  The system has completely screwed the pooch.
[00:12:27.024 --> 00:12:29.265]  Everything they're doing is backfiring on them at every level.
[00:12:29.305 --> 00:12:30.065]  We've got that.
[00:12:31.165 --> 00:12:33.846]  Then you've got globalists everywhere, feverishly.
[00:12:33.986 --> 00:12:35.606]  And I know the people that are building the bunkers.
[00:12:36.747 --> 00:12:37.447]  They reach out to me.
[00:12:38.067 --> 00:12:38.567]  Everywhere I go.
[00:12:41.748 --> 00:12:44.469]  I mean, I went to Hawaii a year ago.
[00:12:45.345 --> 00:12:47.486]  And I'm going to get into all of the news, the positive news, and get into it.
[00:12:47.546 --> 00:12:49.407]  But here's just a microcosm.
[00:12:49.987 --> 00:12:51.088]  I go to Kauai for a week.
[00:12:51.388 --> 00:12:52.629]  It's where my wife and kids love to go.
[00:12:52.669 --> 00:13:02.014]  We go there and we stay there on the east coast of the island.
[00:13:04.115 --> 00:13:07.457]  And at the airport I'm leaving and a whole Asian
[00:13:08.871 --> 00:13:11.514]  ...Hawaiian guy, but everybody's intermarried so you can't really say they're Hawaiian.
[00:13:11.754 --> 00:13:15.058]  They always point that out to you, there's very few Hawaiians because everybody's intermarried, but whatever, an Asian man.
[00:13:16.539 --> 00:13:26.731]  Comes over and he goes, I work at Zuckerberg's place, and it's ten stories down, and there's combat robots, and he's a total piece of filth, and blah blah blah, and everything collapses, we're gonna basically... I'm like, okay, okay.
[00:13:28.186 --> 00:13:37.089]  Then I take a snorkel trip out a few days later, and the Asian men running the boat, one's great-grandfather was Japanese, moved there, he was Japanese.
[00:13:37.489 --> 00:13:39.790]  He tells me how much he loves the show, how much he hates the New World Order.
[00:13:42.611 --> 00:13:43.931]  The white captain's a listener.
[00:13:43.951 --> 00:13:48.493]  The Hawaiian first mate's a listener.
[00:13:48.513 --> 00:13:51.234]  This is a big, you know, snorkel boat, bunch of people on it.
[00:13:53.973 --> 00:13:59.614]  The woman behind the thing making hamburgers for lunch is a listener and says her husband loves me and wants a picture.
[00:14:00.014 --> 00:14:00.614]  She's Asian.
[00:14:00.634 --> 00:14:03.535]  And they're all talking about how much they hate Zuckerberg.
[00:14:04.075 --> 00:14:07.115]  So the Japanese guy comes over and he goes, my real job is a contractor.
[00:14:07.335 --> 00:14:08.295]  Here's photos of it.
[00:14:08.335 --> 00:14:09.096]  Here's what's going on.
[00:14:09.116 --> 00:14:10.076]  He wouldn't let me get some of them.
[00:14:10.096 --> 00:14:10.736]  I showed him to you on air.
[00:14:11.216 --> 00:14:12.156]  And he described the same thing.
[00:14:12.676 --> 00:14:15.897]  And then I'm at a restaurant a few nights later, the day before we leave.
[00:14:17.797 --> 00:14:22.538]  Not only are people in trouble, but a white guy comes over.
[00:14:24.005 --> 00:14:25.706]  And he's one of the main contractors, he tells me.
[00:14:25.726 --> 00:14:26.906]  I'm just going to leave it at that.
[00:14:26.926 --> 00:14:37.792]  And he tells me the whole thing, and how the natives all talk about when that, you know what, hits the oscillating fan, that that's the first place they're going.
[00:14:40.713 --> 00:14:48.737]  Now imagine, I'm not, I'm trying to snorkel and hang out with my kids, and that was more people than that talked about Zuckerberg.
[00:14:48.757 --> 00:14:52.319]  I mean, that's all they talked about is how they can't wait to go after him.
[00:14:53.868 --> 00:14:55.269]  Boy, what a corner.
[00:14:55.289 --> 00:14:56.911]  I'm not going to repeat the things they said.
[00:14:56.971 --> 00:14:57.851]  I'm just going to stop right there.
[00:14:58.652 --> 00:15:05.518]  They're like, the minute things go down, he is in a lot of trouble.
[00:15:06.258 --> 00:15:08.520]  Let's just say he'll be swinging from the end of a rope.
[00:15:09.381 --> 00:15:11.102]  And I'm not asking for that, and I'm not seeing him do that.
[00:15:11.843 --> 00:15:14.285]  But just a man, I mean, and these people aren't playing games.
[00:15:17.776 --> 00:15:28.161]  And they said to me, as I'm driving down the coast to go over to Shoreclin, because you go by all the big billionaire houses where you go around the mountain there to the Poly Coast, they're like, this billionaire leftist lives there.
[00:15:28.441 --> 00:15:29.802]  That's a Google executive right there.
[00:15:30.142 --> 00:15:32.303]  My wife works in that person's house right there.
[00:15:32.583 --> 00:15:37.545]  And they're all talking 24-7 about when it goes down, what they're going to do.
[00:15:38.365 --> 00:15:41.827]  New World Order, you are completely screwed.
[00:15:42.067 --> 00:15:43.388]  And you know why they all want to kill you?
[00:15:44.408 --> 00:15:45.609]  They know you released the virus.
[00:15:46.792 --> 00:15:48.093]  They know you're driving up the prices.
[00:15:48.533 --> 00:15:51.094]  They know you, hey everybody, they know you treat everybody like crap.
[00:15:52.175 --> 00:15:54.096]  They recognize you as the enemy.
[00:15:57.037 --> 00:15:58.938]  And it's the same thing all over the world.
[00:15:59.298 --> 00:16:01.199]  Everybody hates Klaus Schwab.
[00:16:01.579 --> 00:16:02.960]  Everybody hates Bill Gates.
[00:16:03.620 --> 00:16:04.921]  Everybody hates Justice Trudeau.
[00:16:05.361 --> 00:16:07.242]  Anybody with a brain hates Barack Obama.
[00:16:07.562 --> 00:16:08.383]  It's over.
[00:16:08.743 --> 00:16:14.706]  Do you understand that I can't walk down the street without people pulling over and telling me they want to kill you?
[00:16:17.984 --> 00:16:19.165]  That's what the public really tells me.
[00:16:19.605 --> 00:16:21.546]  And I go, no, no, no, we're going to fix this peacefully.
[00:16:21.886 --> 00:16:22.926]  No, no, no, no, we're not.
[00:16:23.266 --> 00:16:29.029]  Now, obviously, the Globos are going to stage false flags and stuff and try to pull on heartstrings and make it look like we're violent to head that off.
[00:16:29.089 --> 00:16:30.149]  That's why we don't want to do that.
[00:16:31.590 --> 00:16:32.610]  We're going to win politically.
[00:16:34.091 --> 00:16:38.273]  But they'll probably push it in a full-armed revolt and conflict and then fine.
[00:16:38.513 --> 00:16:41.214]  I mean, if that's what they're looking for, but you know what they're going to do?
[00:16:43.895 --> 00:16:44.756]  They're going to cut the power.
[00:16:45.942 --> 00:16:46.942]  And say the Russians did it.
[00:16:47.002 --> 00:16:49.944]  So, we don't want this violent route.
[00:16:51.024 --> 00:16:58.627]  We want what Kevin O'Leary talked about, and so many others eloquently, and Patrick McDavid did a great report on it, I watched this morning.
[00:17:00.708 --> 00:17:09.111]  We just need people to stop committing collective suicide, and just stop the policies, and not go along with it, and boycott it, and remove our support from it.
[00:17:09.151 --> 00:17:10.472]  That's the real way to win this war.
[00:17:11.212 --> 00:17:13.213]  Not fantasies about killing these people.
[00:17:15.538 --> 00:17:16.979]  But that's how pissed the public is.
[00:17:17.800 --> 00:17:24.225]  That's the number one thing I get from the public is how they want to kill the big tech CEOs.
[00:17:25.406 --> 00:17:31.651]  I mean, they know you're running things, so it doesn't matter what you pull and what you do and how you try to divide us.
[00:17:32.072 --> 00:17:35.695]  You may get some idiots to get in a race war, white supremacist idiots, black supremacist idiots.
[00:17:35.715 --> 00:17:36.856]  They're definitely out there.
[00:17:38.131 --> 00:17:39.051]  But let me explain something.
[00:17:39.071 --> 00:17:42.873]  This isn't the asleep public where you can blow something up and blame it on us and be the victims.
[00:17:42.953 --> 00:17:43.453]  No, no.
[00:17:43.473 --> 00:17:44.794]  The police know what you're up to.
[00:17:45.094 --> 00:17:46.534]  The military knows what you're up to.
[00:17:46.855 --> 00:17:59.220]  You may have a bunch of men in dresses that are the top generals that'll do whatever you say, but everybody beneath them isn't going along with it, and you don't have your robots and your drones in place, and you don't have your AI in place, and you're a day late and a dollar short, and you're done.
[00:17:59.480 --> 00:18:00.200]  You've lost.
[00:18:00.560 --> 00:18:01.060]  It's over.
[00:18:01.280 --> 00:18:02.441]  You know what I'm like right now?
[00:18:03.301 --> 00:18:06.803]  The classic FBI hostage negotiator with a bullhorn.
[00:18:07.663 --> 00:18:11.589]  Or on the telephone to the bank robbers that are surrounded and they got the tellers held hostage.
[00:18:11.869 --> 00:18:12.931]  And I'm just saying, listen.
[00:18:13.531 --> 00:18:17.317]  Right now, you're just looking at 20 years in prison for bank robbery and hostages.
[00:18:17.637 --> 00:18:18.979]  If you come out, we'll go easy on you.
[00:18:19.019 --> 00:18:19.880]  You'll get 10 years.
[00:18:19.920 --> 00:18:20.481]  We promise.
[00:18:21.843 --> 00:18:23.305]  I got the prosecutors on the phone.
[00:18:23.325 --> 00:18:24.507]  They'll even tell you that.
[00:18:25.785 --> 00:18:35.650]  But listen, if you kill hostages, we're going to storm that place and you're probably going to die, or you're definitely going to go to life in prison, or you're going to be given lethal injection.
[00:18:36.190 --> 00:18:37.031]  And you just explain it.
[00:18:37.291 --> 00:18:37.811]  Just listen.
[00:18:39.492 --> 00:18:40.873]  Come out with your hands up.
[00:18:41.353 --> 00:18:41.673]  Okay?
[00:18:42.094 --> 00:18:45.896]  And that's what I'm saying to the Justice Department leadership and Big Tech and all of you.
[00:18:46.196 --> 00:18:48.277]  Come out with your hands up.
[00:18:50.137 --> 00:18:50.877]  Give up!
[00:18:51.378 --> 00:18:52.118]  Give up!
[00:18:52.198 --> 00:18:53.819]  You're getting your asses kicked!
[00:18:54.179 --> 00:18:55.920]  Do you understand that, dumbasses?
[00:18:57.761 --> 00:19:11.989]  Now, I mentioned all the polls and all those numbers, and when I get on the street, then there's Bukele, who I remember when he was first getting elected, Kaiser goes, I'm moving down there, I'm his advisor, he wants you to come down here and meet with him.
[00:19:13.576 --> 00:19:14.718]  I've since been invited down.
[00:19:14.778 --> 00:19:17.102]  I didn't take Bolsonaro's invitation from his son.
[00:19:17.342 --> 00:19:18.905]  I should have gone to Brazil a few years ago.
[00:19:19.025 --> 00:19:21.950]  I didn't because I'm so busy here, but I'm going to go to El Salvador soon.
[00:19:22.884 --> 00:19:43.074]  This guy gets up and gives a speech at CPAC and says the New World Order, George Soros' plan is to have all these gangs and all these criminals defund the police because they really work for them and then they're going to start assassinating all of the populist leadership and then they're going to confiscate all your property and take over and everything he's saying is true.
[00:19:43.414 --> 00:19:44.294]  This is a formula.
[00:19:44.534 --> 00:19:45.915]  This is a takeover formula.
[00:19:47.694 --> 00:19:53.039]  And the point is, he's talking about the New World Order, the globalists, their plan to take down America.
[00:19:53.059 --> 00:19:54.220]  And you're like, we already know all that.
[00:19:54.520 --> 00:19:58.604]  Yeah, now it's presidents of countries that have completely done 180s.
[00:20:01.026 --> 00:20:03.709]  From the most dangerous country in the world to the second safest in the world.
[00:20:05.190 --> 00:20:06.171]  The safest in this hemisphere.
[00:20:08.313 --> 00:20:13.278]  So, Chicago's homicide rate is over 50 times El Salvador's.
[00:20:14.830 --> 00:20:19.873]  And the guy is basically Alex Jones, but very well-spoken and eloquent.
[00:20:22.054 --> 00:20:25.877]  And then I've got all these other leaders around the world saying the same thing, because it's true.
[00:20:26.337 --> 00:20:28.338]  And once you identify it, it's game over.
[00:20:28.358 --> 00:20:30.980]  Remember when Pelosi said, it's all God's children, MS-13?
[00:20:31.000 --> 00:20:35.602]  They're a bunch of young street kids they get, brainwashed, having to commit murders.
[00:20:36.263 --> 00:20:41.206]  And then they got corporations and groups up above them through their gang leaders that control them.
[00:20:41.226 --> 00:20:43.267]  That way there's plausible non-ability when they go out and kill people.
[00:20:44.462 --> 00:20:50.425]  I remember what the head of the RNC in Arizona told Terry Lake.
[00:20:52.246 --> 00:20:57.489]  He said, well, if you don't take the money, you could be in danger by this East Coast group.
[00:20:57.509 --> 00:20:58.650]  Who do you think that is?
[00:20:58.730 --> 00:20:59.250]  Soros.
[00:20:59.290 --> 00:21:00.231]  No, he's the front guy.
[00:21:01.432 --> 00:21:03.133]  And he goes, what do you mean?
[00:21:03.153 --> 00:21:07.415]  He goes, well, you know, the Latin American gangs.
[00:21:14.963 --> 00:21:16.904]  That's how Mexico has controlled things.
[00:21:16.924 --> 00:21:18.084]  There's only a few families doing that.
[00:21:18.104 --> 00:21:19.165]  The cartels work for them.
[00:21:19.205 --> 00:21:20.325]  The CIA is heavily involved.
[00:21:20.345 --> 00:21:21.206]  That's declassified.
[00:21:22.006 --> 00:21:25.288]  They're doing the same thing they've done around the world to take control.
[00:21:25.648 --> 00:21:28.509]  This is how communists take you down in the first phase.
[00:21:30.230 --> 00:21:31.670]  Then they get the gangs under control later.
[00:21:32.451 --> 00:21:34.912]  Or a country never gets under one group's controls.
[00:21:34.952 --> 00:21:40.854]  It goes in flux back and forth like El Salvador for 50 years with civil war after civil war.
[00:21:40.874 --> 00:21:42.055]  And let me tell you, the New World Order is something.
[00:21:43.305 --> 00:21:46.488]  You're not going to get some quick commie takeover with crime gangs and stuff.
[00:21:46.848 --> 00:21:47.909]  People already see that's happening.
[00:21:48.250 --> 00:21:50.011]  You're going to get civil wars, which they want.
[00:21:51.252 --> 00:21:53.254]  That's their plan B. They'd rather have the full takeover.
[00:21:55.496 --> 00:22:05.986]  So the knowledge level, the knowledge base is accelerating so fast that
[00:22:08.524 --> 00:22:09.965]  I am approaching obsolescence.
[00:22:10.045 --> 00:22:11.486]  I'll still give you over-the-horizon analysis.
[00:22:11.526 --> 00:22:12.247]  I'm still going to stay on air.
[00:22:12.267 --> 00:22:33.042]  I still have important contributions, but I've always known for 30 years, and I've said it on air, 30 years in April, in two months, a month and a half, that my vision, my understanding of this would be to prepare everyone, and that if we simply put the truth out, then once the new order made its move, it would be so obvious, we would have planted so many seeds that what is now happening is happening.
[00:22:34.878 --> 00:22:36.778]  I mean, look at the dream team we've got.
[00:22:37.078 --> 00:22:40.039]  All the top talk show hosts around the world are anti-globalist.
[00:22:40.479 --> 00:22:42.659]  All these new leaders getting elected are anti-New World Order.
[00:22:42.679 --> 00:22:43.380]  They're calling it out.
[00:22:44.780 --> 00:22:46.000]  Populism is surging.
[00:22:47.320 --> 00:22:49.121]  The New World Order admits they're in crisis mode.
[00:22:49.541 --> 00:22:52.681]  The World Economic Forum has a big meeting and says, oh my God, everybody hates us.
[00:22:52.921 --> 00:22:56.022]  We've got to get your trust back, and then comes out with the same crap again.
[00:22:57.042 --> 00:23:02.863]  I'm just telling you, the listeners of this show are seen by the globalists rightfully as the detonator.
[00:23:04.011 --> 00:23:07.694]  Imagine, this is a non-violent analogy, but it's an analogy using kinetic energy.
[00:23:07.714 --> 00:23:09.435]  So I'm not calling for this remedial spin.
[00:23:10.255 --> 00:23:17.301]  This broadcast was five pounds of plastic explosive inside the munitions factory of the New World Order.
[00:23:18.922 --> 00:23:31.631]  And this broadcast in the last 30 years in slow motion, 30 years is a twinkle of an eye, detonated and now the entire structure is chain reaction blowing up in a huge mushroom cloud in front of us.
[00:23:33.046 --> 00:23:37.371]  So you have the little bumper stickers, the little stickers people put on gas pumps with Biden pointing saying, I did that?
[00:23:40.274 --> 00:23:47.982]  Well, you can have this broadcast, I guess, symbolized by me with pointing at the New World Order and showing them collapsing and saying, I did that, you did that.
[00:23:49.644 --> 00:23:52.727]  Now, look, we're far from out of the woods because these guys are destructive.
[00:23:52.747 --> 00:23:54.049]  They may take us all down with them.
[00:23:54.821 --> 00:23:56.382]  That's why the quicker they get removed, the better.
[00:23:56.442 --> 00:23:59.723]  And I'm saying that to large sections of the establishment.
[00:23:59.763 --> 00:24:04.805]  It's a minority, but a large section, and some of the substrata, and also managers of the globalist system.
[00:24:05.345 --> 00:24:06.926]  You can see this isn't working.
[00:24:07.986 --> 00:24:11.708]  I use the analogy of Hitler, or the historical parallel.
[00:24:11.728 --> 00:24:13.869]  In 1943, in late 43, the German staff, they were Nazis.
[00:24:23.214 --> 00:24:25.015]  Bad guys, but they knew they were going to lose.
[00:24:27.857 --> 00:24:33.501]  Because they would go into Russian tank factories and find 30,000 tanks just sitting there that have just been built.
[00:24:34.522 --> 00:24:35.943]  The Germans even had 30,000 tanks.
[00:24:36.563 --> 00:24:44.649]  And then they would aerially see like seven more factories over the next thousand miles that they'll never get to, turning out thousands of tanks a day.
[00:24:49.485 --> 00:24:52.826]  And it turned out the Russians would fight just as much as the Nazis.
[00:24:52.846 --> 00:24:54.847]  26 million dead Russians, 22 million dead Germans.
[00:24:57.008 --> 00:24:57.728]  In World War II.
[00:24:58.768 --> 00:25:02.250]  And so they did Operation Valkyrie, trying to take Hitler out, and it failed.
[00:25:03.030 --> 00:25:06.231]  So you saw what happened to Germany and the rest of Europe, it went on for another year and a half.
[00:25:07.411 --> 00:25:08.292]  Total devastation.
[00:25:09.512 --> 00:25:14.274]  So, there's not one head we can chop off of this new world order.
[00:25:15.114 --> 00:25:16.975]  There's not one person we can kill and get this done.
[00:25:18.200 --> 00:25:20.522]  That's why I've explained it to all the tough guys who constantly want violence.
[00:25:20.542 --> 00:25:21.303]  That's not what we want.
[00:25:21.823 --> 00:25:34.473]  We want to kill their bad ideas, destroy their names, fully expose them, withdraw all support from them, maximum support the people resisting them, and convict them in public opinion completely.
[00:25:35.034 --> 00:25:37.956]  Which we have basically successfully done.
[00:25:38.236 --> 00:25:39.197]  We've gone over the mountain.
[00:25:39.918 --> 00:25:41.259]  We are now at the top of the mountain.
[00:25:41.279 --> 00:25:43.420]  We have now scaled to the summit.
[00:25:43.901 --> 00:25:47.163]  We have now achieved the destruction of the enemy's
[00:25:48.078 --> 00:25:48.438]  Identity.
[00:25:48.899 --> 00:25:49.740]  To what they really are.
[00:25:49.840 --> 00:25:51.802]  Horrible, degenerate, inbred scum.
[00:25:54.945 --> 00:25:56.066]  Depopulationists.
[00:25:56.206 --> 00:25:57.427]  They make Hitler blush.
[00:25:59.589 --> 00:26:01.071]  We have now reached that point.
[00:26:01.151 --> 00:26:04.674]  We are now in the pole position to win the race.
[00:26:05.355 --> 00:26:07.257]  We haven't won the race, but we are in the lead.
[00:26:07.317 --> 00:26:11.581]  We are in the pole position for the checkered flag, ladies and gentlemen.
[00:26:17.885 --> 00:26:20.546]  And when I come back, I'm going to lay all this out.
