[00:00:01.325 --> 00:00:02.465]  The corrupt U.S.
[00:02:35.825 --> 00:02:42.968]  So the first stage of the Industrial Revolution consisted of people building machines that were stronger than the human body.
[00:02:43.148 --> 00:02:43.349]  Right.
[00:02:44.389 --> 00:02:45.670]  So the steam-powered loom.
[00:02:45.890 --> 00:02:46.170]  Sure.
[00:02:46.650 --> 00:02:47.411]  The backhoe.
[00:02:47.451 --> 00:02:48.331]  Combustion engine.
[00:02:48.391 --> 00:02:49.092]  Combustion engine.
[00:02:49.132 --> 00:02:51.273]  They replace muscles.
[00:02:51.633 --> 00:02:51.814]  Right.
[00:02:52.274 --> 00:02:52.434]  Right.
[00:02:52.454 --> 00:02:53.395]  So that's what the machine does.
[00:02:53.435 --> 00:02:55.556]  It becomes stronger than the human body.
[00:02:55.976 --> 00:03:01.720]  The second stage, which we're in the middle of, consists of creating machines that are more powerful than the human mind.
[00:03:02.980 --> 00:03:03.961]  That's what computing is.
[00:03:04.461 --> 00:03:09.864]  And I would say AI or supercomputing is just that exponentially.
[00:03:12.213 --> 00:03:25.698]  But that doesn't make it a god, in the sense that the machine, however powerful it is, any more than a backhoe is a god, because it can dig a trench faster than a hundred men, it's still something that people created.
[00:03:25.978 --> 00:03:28.479]  So the story hasn't really changed.
[00:03:28.559 --> 00:03:29.860]  At the center of the story are people.
[00:03:31.417 --> 00:03:40.026]  And their creative power may lead to unintended consequences, but the machines that they build did not make the universe and did not make people.
[00:03:40.086 --> 00:03:41.047]  People made the machines.
[00:03:41.468 --> 00:03:42.008]  Right.
[00:03:43.370 --> 00:03:46.453]  But I would say the part I agree with is there's a spiritual component here for sure,
[00:03:47.694 --> 00:03:49.775]  People will worship AI as a god.
[00:03:50.335 --> 00:03:53.877]  AI, Ted Kaczynski was likely right, will get away from us.
[00:03:54.017 --> 00:03:56.018]  We will be controlled by the thing that we made.
[00:03:56.458 --> 00:03:57.278]  All those are bad.
[00:03:57.639 --> 00:03:58.539]  Like, that's just bad.
[00:03:58.579 --> 00:04:00.200]  And we need to say unequivocally, it's bad.
[00:04:00.240 --> 00:04:02.441]  It's bad to be controlled by machines.
[00:04:02.921 --> 00:04:03.161]  Right.
[00:04:03.361 --> 00:04:05.122]  Machines are helpmates.
[00:04:05.182 --> 00:04:10.064]  Like, we created them to help us, to make our lives better, not to take orders from them.
[00:04:12.305 --> 00:04:15.087]  So I don't know why we're not having any of these conversations right now.
[00:04:15.127 --> 00:04:21.631]  We're just acting as if this is like some kind of virus, like COVID, that spreads across the world inexorably.
[00:04:21.651 --> 00:04:22.672]  There's nothing we can do about it.
[00:04:22.712 --> 00:04:23.533]  Just wait to get it.
[00:04:24.053 --> 00:04:24.813]  It's like, no.
[00:04:25.514 --> 00:04:33.139]  If we agree that the outcome is bad, and specifically it's bad for people, we should care what's good for people.
[00:04:33.179 --> 00:04:34.059]  That's all we should care about.
[00:04:34.099 --> 00:04:35.240]  Is it good for people or not?
[00:04:35.981 --> 00:04:39.823]  If it's bad for people, then we should strangle it in its crib right now.
[00:04:40.003 --> 00:04:40.284]  Right.
[00:04:41.158 --> 00:04:42.620]  And why not just blow up the data centers?
[00:04:42.640 --> 00:04:43.821]  Why is that hard?
[00:04:43.982 --> 00:04:55.155]  If it's actually going to become what you just described, which is a threat to people, humanity, life, then we have a moral obligation to murder it immediately.
[00:04:55.295 --> 00:04:57.198]  And since it's not alive, we don't need to feel bad about that.
[00:05:00.848 --> 00:05:09.693]  DNA Force Plus from Infowarsstore.com is the perfect formula to help you support optimal energy levels while adapting your body to handle the daily bombardment of toxins.
[00:05:09.853 --> 00:05:14.215]  And that's why DNA Force Plus has exactly what you need to provide your cells with protection.
[00:05:14.495 --> 00:05:19.078]  The powerhouse ingredients in DNA Force Plus include LFATP, PQQ, CoQ,
[00:05:19.298 --> 00:05:20.138]  Thank you so much.
[00:05:35.663 --> 00:05:38.566]  In the amounts that are in DNA Force Plus is incredibly difficult.
[00:05:38.766 --> 00:05:40.448]  This stuff sells out at full price.
[00:05:40.668 --> 00:05:45.354]  You can get it right now for 50% off at InfoWarsStore.com.
[00:05:45.634 --> 00:05:52.121]  That's DNA Force Plus, our most powerful product, 50% off for a limited time at InfoWarsStore.com.
[00:05:52.181 --> 00:05:53.542]  I'm telling you, it sells out at full price.
[00:05:54.083 --> 00:05:56.866]  You gotta act now to get it at 50% off at InfoWarsStore.com.
[00:06:16.046 --> 00:06:16.827]  InfoWars.
[00:06:17.167 --> 00:06:18.828]  Tomorrow's news, today.
[00:06:21.209 --> 00:06:23.531]  The program leftists failed to silence.
[00:06:24.111 --> 00:06:25.692]  It's the Alex Jones Show.
[00:06:31.195 --> 00:06:42.920]  One of the things you've been talking about on your show is your allegation that government officials are aiding in pedophilia, child trafficking, and the grooming of children.
[00:06:43.240 --> 00:06:43.420]  Right?
[00:06:43.660 --> 00:06:46.401]  Well, you mean like what Jeffrey Epstein did with clones?
[00:06:57.378 --> 00:07:00.040]  Welcome to the Alex Jones Show, ladies and gentlemen.
[00:07:00.141 --> 00:07:02.103]  I am Chase Geyser, your host.
[00:07:02.203 --> 00:07:05.346]  This morning and this afternoon, we have a wild show ahead.
[00:07:05.366 --> 00:07:06.828]  It's going to be very exciting.
[00:07:08.220 --> 00:07:12.623]  Alex called me about an hour and a half ago and asked me to fill in because he is having a family emergency this morning.
[00:07:13.143 --> 00:07:15.785]  There is a member of his family who apparently is in critical condition.
[00:07:15.805 --> 00:07:18.627]  So please, your prayers for Alex and his loved ones.
[00:07:18.667 --> 00:07:20.589]  He will be back in studio as soon as possible.
[00:07:21.029 --> 00:07:30.876]  So I, Chase Geyser, am hosting on this Wednesday, April 24, 2024, as we come up on the most pivotal election in the history of the United States of America.
[00:07:31.730 --> 00:07:36.652]  At the top of the next hour, we are going to have Harrison Smith joining us, and then the great Owen Schroer at the top of the hour after that.
[00:07:36.712 --> 00:07:43.516]  So, we've got some great hosts lined up today, great guests lined up today, and this incredible news has come across the desk.
[00:07:43.816 --> 00:07:47.898]  FDA says bird flu found in cow's milk.
[00:07:48.738 --> 00:08:08.461]  Now, there have been a number of stories over the course of the last year about cow's milk and arrests related to raw milk and the crackdown on milk, and I was doing some research, and this has been some time since I've done the research, so you'll have to correct me if I'm wrong, but I believe our milk, our grocery store milk here in the United States of America is illegal in like 200 countries or something.
[00:08:09.102 --> 00:08:23.719]  So, the stuff that you buy at the store is not considered healthy by many nations across the globe, yet our government seems to believe that raw milk is a danger to public health, and now they're coming out and saying that bird flu is found in this cow's milk.
[00:08:23.759 --> 00:08:26.882]  And before I get into the details of this story, I just want to point out, why is it
[00:08:27.603 --> 00:08:31.907]  That every single election season, we seem to have a new outbreak.
[00:08:31.967 --> 00:08:36.472]  It was the swine flu in 2008, then it was Ebola in 2012.
[00:08:37.173 --> 00:08:46.182]  It seems like every single time we're about ready to go into election, there's some sort of weird testing of fear-mongering of some new disease.
[00:08:46.242 --> 00:08:51.307]  Now, we know since the most recent pandemic, the COVID-19 pandemic, for lack of a better term,
[00:08:52.642 --> 00:09:03.348]  There has been talk among globalists all over the world of disease X. Now we hear more and more reports of this bird flu, bird flu, bird flu, and it's always a bird when they really want to spook you.
[00:09:03.828 --> 00:09:05.829]  It's always a bird for some reason.
[00:09:05.929 --> 00:09:15.915]  I think it goes back to influenza being associated with birds, and they want everyone to think back to that terrible, terrible pandemic that occurred about 100 years ago, a little over 100 years ago now.
[00:09:15.935 --> 00:09:17.055]  The U.S.
[00:09:17.135 --> 00:09:21.138]  Food and Drug Administration, FDA, has issued an alert Tuesday
[00:09:21.838 --> 00:09:40.854]  Which indicated that highly pathogenic avian influenza, AH5 and AH7 virus, HPAI, has been detected in pasteurized cow's milk weeks after novel influenza A, H5N1, avian flu, was detected in a human after the man was in contact with dairy cows.
[00:09:40.894 --> 00:09:44.778]  Now we're going to run clip 24 here in a second, the clip associated with this article, but I want to read this quote to you.
[00:09:44.798 --> 00:09:45.138]  The U.S.
[00:09:45.158 --> 00:09:46.179]  Department of Agriculture, USDA,
[00:09:47.580 --> 00:09:47.980]  The U.S.
[00:09:48.000 --> 00:10:02.171]  Food and Drug Administration, FDA, and the Centers for Disease Control and Prevention, CDC, along with state partners, continue to investigate an outbreak of highly pathogenic avian influenza, HPAI virus, impacting dairy cows in multiple states.
[00:10:02.191 --> 00:10:03.632]  We're going to run this clip and then unpack it.
[00:10:10.979 --> 00:10:18.889]  After a dairy worker in nearby Texas was infected with bird flu, New Mexico dairy producer Jared Cooper put his farm on lockdown.
[00:10:19.190 --> 00:10:24.677]  He restricted people from coming in and has begun separating and treating sick cows from other animals.
[00:10:25.128 --> 00:10:29.389]  At first, it was like, oh, man, I hope this doesn't happen to me.
[00:10:30.089 --> 00:10:32.069]  That's the first thing that goes through your mind.
[00:10:32.309 --> 00:10:32.889]  It's over there.
[00:10:33.530 --> 00:10:39.711]  But then it becomes reality when you start to think, well, this is something that's migrating and migrating pretty fast.
[00:10:40.151 --> 00:10:47.672]  Now that the bird flu outbreak has spread to more than two dozen herds of cattle in eight states, he is concerned on the effect it will have on dairy farmers.
[00:10:48.132 --> 00:10:51.033]  If you ask me overall milk prices, they've been terrible.
[00:10:51.853 --> 00:10:59.442]  And with that, this has been a hard thing to handle amongst the dairy industry because we've already been at a suppressed milk price.
[00:10:59.842 --> 00:11:01.484]  The bird flu has been killing U.S.
[00:11:01.564 --> 00:11:11.836]  chickens for a few years, but the infection of a dairy worker in Texas has health officials concerned because it's the first known case of a person catching this version of bird flu from a mammal.
[00:11:12.436 --> 00:11:20.378]  In addition to the Texas dairy worker, an individual from Colorado working with poultry was diagnosed with bird flu in 2022.
[00:11:21.398 --> 00:11:22.079]  Although U.S.
[00:11:22.139 --> 00:11:27.340]  officials say the risk for the public is low, the prospect of continued cases worries some.
[00:11:27.640 --> 00:11:30.841]  So, no, this virus is not going to cause the next big pandemic.
[00:11:31.381 --> 00:11:43.570]  The worry is, will a mutation of this virus and learn to transmit very easily person to person, that is one person gets it and another human being can catch it from them, then we really have to worry.
[00:11:44.430 --> 00:11:51.035]  Agriculture officials in at least 17 states have restricted imports of dairy cattle from states where the virus has been detected.
[00:11:51.435 --> 00:11:52.115]  Still, U.S.
[00:11:52.155 --> 00:11:56.518]  health officials say commercially processed milk is still safe to drink.
[00:11:56.859 --> 00:12:00.081]  Marta Markovits, TRT World, Clovis, New Mexico.
[00:12:01.673 --> 00:12:18.843]  So it's just absolutely incredible to me the audacity of these globalist institutions, and I know technically they're United States institutions like the FDA and the USDA and the CDC, but they've really been hijacked by the WHO and turned into globalist institutions.
[00:12:18.883 --> 00:12:24.247]  But the audacity of these institutions to come out and try to fearmonger about this
[00:12:26.138 --> 00:12:26.338]  This is
[00:12:56.818 --> 00:13:08.125]  Frankly, the EPA came out with a study during COVID that ranked all of the different types of masks based on their efficacy at preventing the spread of viruses.
[00:13:08.986 --> 00:13:15.289]  And the type of masks that everyone was wearing were less effective than putting a bandana on your face.
[00:13:15.830 --> 00:13:20.652]  But I remember this very distinctly because my daughter was born prematurely in
[00:13:22.571 --> 00:13:24.632]  The middle of this pandemic here in Austin, Texas.
[00:13:25.252 --> 00:13:31.374]  And when we went to the hospital, I was wearing a bandana on my face because they required a mask in the hospital.
[00:13:31.414 --> 00:13:36.376]  We were in the NICU, which is the intensive care unit for newborn children.
[00:13:37.720 --> 00:13:40.484]  And the hospital was like, hey, you can't wear that bandana.
[00:13:40.504 --> 00:13:43.708]  You have to wear one of our masks that we give you at the door.
[00:13:44.049 --> 00:13:48.194]  And they were like these yellow jaundice looking masks that they were handing out.
[00:13:48.234 --> 00:13:49.596]  They would make your throat scratch.
[00:13:49.616 --> 00:13:55.363]  There was some metal or something laced in the mask itself that was supposed to be antiviral.
[00:13:56.374 --> 00:14:03.561]  And I remember looking up this EPA study and seeing that bandanas were more effective than the masks that were being handed out.
[00:14:03.621 --> 00:14:08.866]  Certainly the way that people were wearing these masks, it's different than an N95 properly worn.
[00:14:09.547 --> 00:14:17.955]  And thinking to myself, wow, it's amazing that even the EPA admits that there are better, more effective ways to cover your face during this pandemic.
[00:14:18.235 --> 00:14:27.604]  But it's insisting on this uniform paper mask look, this disposable mask look, because frankly, if you're wearing a bandana, you look like a rebel.
[00:14:27.844 --> 00:14:29.185]  You look like an outlaw.
[00:14:29.225 --> 00:14:35.811]  You look like somebody who isn't complying or doesn't buy into the narrative of the CDC and the government during this pandemic.
[00:14:36.371 --> 00:14:38.593]  So they would rather have me be more at risk.
[00:14:39.574 --> 00:14:44.256]  Wearing their crappy mask, then less at risk wearing a mask that seemed too counter-narrative.
[00:14:44.656 --> 00:14:46.677]  That was what really woke me up.
[00:14:46.697 --> 00:14:48.237]  I mean, there were several things that really woke me up.
[00:14:48.297 --> 00:14:55.920]  Even if you looked at the data of the pandemic early on in 2020, the numbers did not justify the disproportionate response that we saw from our own government.
[00:14:56.200 --> 00:14:59.341]  It was obvious something was amiss very early out of the gate.
[00:14:59.681 --> 00:15:04.263]  Alex Jones predicted things like this years and years ago, months and months before they happened.
[00:15:04.303 --> 00:15:07.564]  But looking at the data in real time, anybody with critical thinking skills
[00:15:07.924 --> 00:15:08.464]  We're good to go.
[00:15:27.592 --> 00:15:45.983]  And to be totally honest with you, I would rather suffer the negative symptoms, impacts, side effects, outcomes of a genuine, real pandemic than suffer the outcomes and symptoms of the tyranny that will be used as a response or justified by a pandemic in response.
[00:15:47.915 --> 00:15:49.056]  I mean, what was the famous quote?
[00:15:49.076 --> 00:15:53.178]  Was it Jefferson that said, I would rather afford the inconveniences of too much liberty than too small a degree of it?
[00:15:53.458 --> 00:15:54.959]  That's the way I feel about these pandemics now.
[00:15:55.220 --> 00:16:09.949]  Frankly, I'd rather die of influenza than have to deal with more lockdowns and businesses getting shut down and the printing of 40% of all dollars ever printed within a short period of time that totally amounts to radical, massive hyperinflation.
[00:16:11.400 --> 00:16:19.402]  Increasing the gap between the wealthy and the poor in this country, just so they can use that gap as an excuse to combat or argue against capitalism, when we know this isn't capitalism at all.
[00:16:19.442 --> 00:16:20.122]  It's fascism.
[00:16:20.783 --> 00:16:21.983]  They call it crony capitalism.
[00:16:22.003 --> 00:16:23.083]  It's not even crony capitalism.
[00:16:23.143 --> 00:16:24.024]  It's just fascism.
[00:16:24.044 --> 00:16:25.064]  That's what fascism is.
[00:16:25.504 --> 00:16:27.485]  Fascism is crony capitalism, the same thing.
[00:16:27.745 --> 00:16:30.425]  They don't want to call it fascism because they are fascists.
[00:16:30.826 --> 00:16:35.427]  They want to call it crony capitalism because capitalism is an American ideal, and so they come after it.
[00:16:36.147 --> 00:17:00.444]  But this particular story is next level in terms of shocking because now they're not only claiming that there's this dangerous flu coming about, but they're claiming that it's associated specifically with cows after we've seen time and time again from the likes of the World Economic Forum and other globalist institutions or climate change activists this call to stop eating beef because of cattle's negative impact on our environment.
[00:17:01.124 --> 00:17:06.026]  We've seen the likes of Bill Gates buy up thousands upon thousands of acres of farmland in the United States.
[00:17:06.046 --> 00:17:11.309]  We've seen the CCP buy up thousands upon thousands of acres of farmland in the United States.
[00:17:11.589 --> 00:17:17.112]  And there's been a push for basically several years now, if not longer than that, to eradicate cattle.
[00:17:17.132 --> 00:17:20.473]  I mean, remember the Impossible Burger, which supposedly went out of business?
[00:17:20.493 --> 00:17:21.754]  It was a burger that wasn't really a burger.
[00:17:21.774 --> 00:17:23.035]  They were trying to get everybody to eat that.
[00:17:23.535 --> 00:17:25.136]  Now they're trying to get everybody to eat the bugs.
[00:17:26.112 --> 00:17:28.394]  I know we meme that Klaus Schwab explicitly said that.
[00:17:28.434 --> 00:17:35.359]  He didn't explicitly say you will eat the bugs, but his World Economic Forum has been advocating for alternative forms of protein.
[00:17:36.394 --> 00:17:37.755]  You know who really eats bugs?
[00:17:38.416 --> 00:17:41.059]  Grasshoppers and crickets and cockroaches?
[00:17:41.940 --> 00:17:50.689]  Poor people in North Korea under communist rule have to resort to eating insects because they are so starved by their regime.
[00:17:50.729 --> 00:17:52.911]  This is well documented, well reported.
[00:17:52.951 --> 00:17:58.918]  There are survivors who have escaped North Korea that have complained about needing to eat insects in order to survive as children.
[00:18:00.600 --> 00:18:03.661]  And now they're advocating that we should do it because we care so much about the climate.
[00:18:03.781 --> 00:18:13.343]  All of this in the context of reports now that Joe Biden wants to declare a national emergency in the name of climate change.
[00:18:14.044 --> 00:18:22.946]  All that in the context of the lies and lies and lies that we've been told by climate change advocates for 50 years at least.
[00:18:23.973 --> 00:18:30.357]  I mean, how many predictions from Al Gore's documentary, An Inconvenient Truth, actually came true?
[00:18:30.377 --> 00:18:42.764]  I think Alex Jones, just a couple of weeks ago, if not last week, maybe even this week, showed a clip of sea levels over the course of the last 30 or 40 years on a particular coastline, totally unchanged.
[00:18:42.864 --> 00:18:44.926]  There's a time-lapse video from a satellite image.
[00:18:45.882 --> 00:18:48.443]  Of these sea levels just staying the same ever since the 80s.
[00:18:48.463 --> 00:18:49.043]  They've measured it.
[00:18:49.283 --> 00:18:53.304]  There's been no increase or rise in sea levels on that particular coast.
[00:18:54.024 --> 00:18:56.105]  And you just have to look at the market to really understand it.
[00:18:56.405 --> 00:19:08.648]  Why is it that properties on the coast, whether in the Gulf or in Florida or in California, why is it that properties still go for billions and billions of dollars and they can still get insured and they can still get approved for 30-year mortgages?
[00:19:09.628 --> 00:19:24.514]  If the sea level is supposed to wipe out all of those properties in the next 10, 20 or 30 years, no bank or investor or mortgage company or insurer would ever allow the purchase of property on the coast if they actually believed that the sea level was going to rise.
[00:19:25.492 --> 00:19:53.940]  So all the indications show that regardless of whether there is any truth at all to climate change, especially any truth at all to climate change being impacted by human beings, it is being drastically exaggerated by the institutions of our government, by these NGOs, by these for-profit green energy companies, because they are trying to grift taxpayer dollars like Ukraine or something from the federal government for their green energy initiatives.
[00:19:54.875 --> 00:20:01.316]  There is way too much money behind this green energy industry for us to believe anything that they say.
[00:20:01.356 --> 00:20:08.558]  And the real shame of it is that there may actually be some truth to humans negatively impacting the environment.
[00:20:08.778 --> 00:20:20.340]  There may be some small truth to that, some correctable truth, some things that we could be doing better that wouldn't be a violation of our rights as capitalists or the free market or a violation of our rights as Americans, but now
[00:20:20.680 --> 00:20:26.590]  There's no reason for us to believe anything that they say at all because they have lied so drastically about all of these details.
[00:20:29.334 --> 00:20:29.535]  I mean...
[00:20:31.164 --> 00:20:32.305]  Even in this article, we dive in.
[00:20:32.345 --> 00:20:34.026]  For only the second time in the U.S.
[00:20:34.066 --> 00:20:37.809]  and the first time in Texas, a human was infected with bird flu, according to this article.
[00:20:38.209 --> 00:20:47.956]  According to the Texas Department of Health and Human Services on April 1st, April Fool's Day, the patient became ill following contact with dairy cows presumed to be infected with avian influenza.
[00:20:48.056 --> 00:20:53.079]  The patient's primary symptom was conjunctivitis, the HHS alert said.
[00:20:53.119 --> 00:20:58.143]  The FDA is using its findings to discourage the consumption of raw milk.
[00:20:58.763 --> 00:21:01.385]  They want you only using their state-approved milk.
[00:21:01.405 --> 00:21:04.566]  We know that the agriculture lobby is incredibly powerful here in the United States.
[00:21:05.327 --> 00:21:19.875]  We know that there's a reason that after World War II, suddenly all of our farmers were producing corn to be transferred into ethanol or high-fructose corn syrup, and they started putting high-fructose corn syrup in all of our food instead of pure cane sugar.
[00:21:20.916 --> 00:21:25.101]  Which has caused diabetes and obesity to an excessive rate.
[00:21:25.121 --> 00:21:27.703]  We know that the food pyramid is basically a lie.
[00:21:28.564 --> 00:21:32.308]  And so what's happening here is everyone's figuring out that raw milk is actually better for you.
[00:21:32.549 --> 00:21:33.650]  It tastes amazing.
[00:21:33.690 --> 00:21:35.572]  It tastes like melted ice cream.
[00:21:36.493 --> 00:21:40.357]  First time I ever had raw milk was just months ago here in the InfoWars studio.
[00:21:41.380 --> 00:21:45.004]  Some friends brought it around and I tasted it and I could not believe how delicious it was.
[00:21:45.285 --> 00:21:49.069]  My wife won't even let me bring it home because she's worried that it's gonna cause salmonella or something for the kids.
[00:21:49.309 --> 00:21:53.654]  I try to convince her, I try to argue with her about it, but she's just brainwashed by this narrative here.
[00:21:54.730 --> 00:22:02.957]  And so what we have is an agriculture lobby trying to inhibit the growth of the raw milk market as people wake up.
[00:22:03.738 --> 00:22:14.066]  And on top of that, we have the green energy people all over this because they want the eradication of all cows in the country in the name of clean energy or improving the climate.
[00:22:14.767 --> 00:22:29.010]  And the globalists love this because it gives them an excuse to enact their manufactured food shortage, their manufactured food crisis, their manufactured orchestrated famine.
[00:22:30.931 --> 00:22:35.952]  And they're looking at the Great Leap Forward between 1958 and 1962, where estimates range from 50 to 100 million Chinese people died of starvation
[00:22:44.673 --> 00:22:59.038]  And they blame it on natural famine and natural disasters, but we know that the members of the Chinese Communist Party were too scared to accurately report the yields of the crops in their districts to their higher-ups in the Communist Party, so they lied.
[00:22:59.538 --> 00:23:03.739]  And by the time it was figured out that the yields weren't really the yields, it was too late.
[00:23:04.039 --> 00:23:04.760]  And for years...
[00:23:05.760 --> 00:23:09.401]  Tens of millions of people starve to death in China.
[00:23:10.001 --> 00:23:24.106]  And despite the fact that everyone living in China today knows or is directly related to somebody who died of starvation between 1958 and 1962 in China, there is still a cult of personality around Chairman Mao.
[00:23:24.326 --> 00:23:28.487]  He is still determined to be some sort of hero of these people.
[00:23:30.388 --> 00:23:33.349]  And so the globalists look at that and they say, look, if Mao can get away with
[00:23:34.875 --> 00:23:40.057]  Screwing up that much, dropping the ball that much, causing the deaths of up to 100 million people.
[00:23:40.077 --> 00:23:41.757]  Like I said, estimates range.
[00:23:41.777 --> 00:23:44.658]  100 million's the top, at least 50 million people of starvation in China.
[00:23:44.939 --> 00:23:46.939]  Then why can't we do the same and get away with it?
[00:23:47.239 --> 00:23:53.121]  Especially if we say that these shortages of food are going to be a result of climate change for years and years in advance.
[00:23:53.161 --> 00:23:54.922]  This is prescriptive programming.
[00:23:54.962 --> 00:24:00.044]  It's not just predictive programming, it is prescriptive programming, as Klaus Schwab recently said.
[00:24:01.004 --> 00:24:02.685]  Where we don't even predict what's going to happen,
[00:24:03.806 --> 00:24:05.746]  In our media, in our art, in our entertainment.
[00:24:05.907 --> 00:24:08.327]  But we can actually prescribe what's going to happen.
[00:24:08.367 --> 00:24:11.728]  We can make the future what we want it to be with the content we put out.
[00:24:11.768 --> 00:24:15.969]  Everything from Civil War or Barbie to articles like this.
[00:24:16.089 --> 00:24:20.090]  So then, when all the cows die or disappear, they can say, oh, it was because of this flu.
[00:24:20.270 --> 00:24:23.151]  A flu which was probably created
[00:24:24.144 --> 00:24:24.825]  By the government.
[00:24:25.305 --> 00:24:30.009]  And we're going to get more into it on the other side because there is this ex-Joe Biden stenographer.
[00:24:30.510 --> 00:24:33.252]  CIA collaborated with China to release COVID-19.
[00:24:33.272 --> 00:24:37.416]  We're going to show some clips of this in a moment.
[00:24:37.816 --> 00:24:40.038]  And frankly, we have time to run clip number three here.
[00:24:40.358 --> 00:24:41.099]  Let's run clip three.
[00:24:41.119 --> 00:24:47.184]  This is late Justice Antonin Scalia predicting the weaponization of government against American citizens and the end of the Bill of Rights.
[00:24:47.404 --> 00:24:50.127]  This is exactly what we're talking about right now today.
[00:24:50.147 --> 00:24:51.128]  Let's run clip number three.
[00:24:52.288 --> 00:24:58.252]  I think it's even a little more fundamental than the one that Stephen has just put forward.
[00:24:59.893 --> 00:25:06.537]  I ask them, what do you think is the reason that America is such a free country?
[00:25:07.458 --> 00:25:12.942]  What is it in our Constitution that makes us what we are?
[00:25:13.877 --> 00:25:34.212]  And I guarantee you that the response I will get, and you will get this from almost any American, including the woman that he was talking to at the supermarket, the answer would be freedom of speech, freedom of the press, no unreasonable searches and seizures, no quartering of troops in hope, those marvelous provisions of the Bill of Rights.
[00:25:36.353 --> 00:25:39.756]  But then I tell them, if you think that a Bill of Rights
[00:25:41.556 --> 00:25:42.757]  is what sets us apart.
[00:25:42.877 --> 00:25:43.578]  You're crazy.
[00:25:44.759 --> 00:25:47.642]  Every banana republic in the world has a Bill of Rights.
[00:25:48.603 --> 00:25:51.705]  Every president for life has a Bill of Rights.
[00:25:52.642 --> 00:25:58.687]  The Bill of Rights of the former evil empire, the Union of Soviet Socialist Republics, was much better than ours.
[00:25:58.787 --> 00:25:59.628]  I mean it literally.
[00:26:00.188 --> 00:26:00.989]  It was much better.
[00:26:01.709 --> 00:26:03.571]  We guarantee freedom of speech and of the press.
[00:26:03.611 --> 00:26:04.031]  Big deal.
[00:26:04.291 --> 00:26:15.340]  They guaranteed freedom of speech, of the press, of street demonstrations and protests, and anyone who is caught trying to suppress criticism of the government will be called to account.
[00:26:15.740 --> 00:26:16.000]  Whoa!
[00:26:16.341 --> 00:26:17.522]  That is wonderful stuff!
[00:26:18.542 --> 00:26:19.003]  Of course.
[00:26:20.418 --> 00:26:21.579]  It's just words on paper.
[00:26:22.259 --> 00:26:25.762]  What our framers would have called a parchment guarantee.
[00:26:26.402 --> 00:26:31.366]  And the reason is that the real constitution of the Soviet Union.
[00:26:32.407 --> 00:26:33.808]  Think of the word constitution.
[00:26:33.868 --> 00:26:34.629]  It doesn't mean a bill.
[00:26:34.669 --> 00:26:35.669]  It means structure.
